EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Arc3Assists,PtsPutbacks,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffAtRimReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFGM,LongMidRangeFGA,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls Drawn,LiveBallTurnoverPct,DefFTReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,LostBallTurnovers,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,on,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,OffThreePtRebounds,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,Corner3Assists,BadPassOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3FGM,FTOffRebounds,BlockedShortMidRange,3SecondViolations,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PtsUnassisted3s,Technical Free Throw Trips,DefensiveGoaltends
101110,1610612757,Martell Webster,Martell Webster,101110,POR,994.0,17,2.0,32,35,31,29,5.0,67,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,8.0,33.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,8.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,8.0,31,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.6,0.42857142857142855,0.5,0.42857142857142855,0.4444444444444444,0.5,0.4444444444444444,0.2857142857142857,27.027027027027028,0.08333333333333333,0.08333333333333333,0.5,0.2222222222222222,0.06666666666666667,0.3333333333333333,0.25,0.4,1.0,0.25,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,1.0,0.5,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.7142857142857143,0.48738571428571426,0.6192,0.48738571428571426,0.125,0.16666666666666666,0.25,1.0,4.08,26.1,0.96875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101143,1610612757,Travis Diener,Travis Diener,101143,POR,440.0,7,-3.0,14,15,14,14,3.0,29,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,1.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201965,1610612757,Jeff Ayres,Jeff Ayres,201965,POR,994.0,17,2.0,32,35,31,29,5.0,67,2.0,3.0,1.0,1.0,2.0,3.0,,1.0,,,2.0,4.0,,3.0,7.0,33.0,1.0,1.0,2.0,2.0,4.0,,3.0,7.0,2.0,2.0,,,,,,2.0,,,,2.0,2.0,,2.0,,1.0,1.0,1.0,,1.0,,2.0,4.0,1.0,1.0,7.0,31,1.0,1.0,0.5,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5833333333333334,1.0,0.5833333333333334,,18.91891891891892,,0.16666666666666666,,,0.13333333333333333,,,,,,0.75,0.6666666666666666,0.6666666666666666,0.25,,,,,1.0,1.0,0.75,0.6666666666666666,,0.75,0.50935,0.5887,0.50935,0.2,0.2,0.2857142857142857,1.0,2.65,,0.96875,,,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.2,0.25,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201967,1610612757,Dante Cunningham,Dante Cunningham,201967,POR,951.0,16,2.0,31,33,30,27,5.0,64,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,6.0,1.0,5.0,9.0,30.0,1.0,1.0,2.0,2.0,5.0,1.0,5.0,9.0,2.0,2.0,1.0,,,,,1.0,1.0,2.0,4.0,1.0,5.0,,2.0,1.0,,1.0,1.0,,2.0,,3.0,6.0,,3.0,9.0,30,1.0,3.0,0.5,1.0,0.3333333333333333,1.0,0.4,0.2857142857142857,1.0,0.3333333333333333,0.45,1.0,0.5,0.14285714285714285,30.555555555555557,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.3333333333333333,,0.2,,,0.14285714285714285,1.0,1.0,,,,,0.14285714285714285,1.0,1.0,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,0.4425142857142857,0.5721,0.4396166666666666,,,0.2222222222222222,1.0,14.450000000000001,24.9,0.967741935483871,,,2.0,1.0,,,1.0,,,,,,,,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3333333333333333,0.7142857142857143,0.2,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612757,Patty Mills,Patty Mills,201988,POR,638.0,11,2.0,21,24,21,23,4.0,45,1.0,3.0,,,1.0,3.0,,,1.0,1.0,1.0,3.0,1.0,1.0,6.0,22.0,,,,1.0,3.0,1.0,1.0,6.0,2.0,,1.0,2.0,3.0,,7.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,6.0,21,1.0,,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.625,,0.625,0.75,,0.75,0.25,20.0,,,,,,,,,,,0.75,0.3333333333333333,0.5,,,,,0.25,,,0.75,0.3333333333333333,0.25,1.0,0.6309625,,0.6309625,0.25,0.3333333333333333,,1.0,,25.1,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612757,Andre Miller,Andre Miller,1889,POR,74.0,1,3.0,1,2,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201573,1610612757,Jerryd Bayless,Jerryd Bayless,201573,POR,356.0,6,,11,11,10,6,1.0,22,1.0,2.0,,,1.0,2.0,,1.0,,,1.0,3.0,,,2.0,11.0,,,,1.0,3.0,,,2.0,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,1.0,,,,,,2.0,10,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,25.0,,,,,,,,,,,0.6666666666666666,0.5,0.5,0.3333333333333333,,,,,,,0.6666666666666666,0.5,,0.6666666666666666,0.6311333333333334,,0.6311333333333334,,,,1.0,2.566666666666667,,0.9090909090909091,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,43.0,1,,1,2,1,2,,3,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201164,1610612757,Rudy Fernandez,Rudy Fernandez,201164,POR,480.0,8,2.0,17,18,16,13,2.0,35,,,,,,,,,1.0,1.0,,,1.0,,3.0,16.0,,,,,,1.0,,3.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,3.0,16,,,,,,,,1.5,,1.5,1.5,,1.5,1.0,5.2631578947368425,0.125,,,0.1111111111111111,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,0.5343,,0.5343,,,,1.0,,24.1,0.9411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101110,1610612757,Martell Webster,Martell Webster,101110,POR,8118.0,135,-38.0,243,248,86,95,37.0,491,9.0,11.0,3.0,4.0,4.0,4.0,,4.0,10.0,4.0,14.0,30.0,15.0,8.0,51.0,301.0,4.0,6.0,11.0,4.0,9.0,8.0,5.0,19.0,14.0,14.0,9.0,2.0,3.0,2.0,7.0,5.0,7.0,8.0,15.0,6.0,21.0,1.0,4.0,3.0,,2.0,,4.0,10.0,,14.0,14.0,4.0,1.0,19.0,86,4.0,1.0,0.5,0.6363636363636364,0.4666666666666667,0.6666666666666666,0.4444444444444444,0.4777777777777778,0.6875,0.4117647058823529,0.51,0.6875,0.5,0.3333333333333333,18.118466898954704,0.11594202898550725,0.05434782608695652,0.16666666666666666,0.13513513513513514,0.04918032786885246,0.04,0.1111111111111111,0.125,0.3,0.041666666666666664,0.24444444444444444,0.8181818181818182,0.8181818181818182,0.08888888888888889,,,,0.2222222222222222,0.5,0.75,0.23529411764705882,1.0,0.23529411764705882,0.5777777777777777,0.47374090909090916,0.5165285714285714,0.4804382352941178,0.12244897959183673,0.125,0.21568627450980393,0.37254901960784315,10.849999999999998,25.886666666666663,0.35390946502057613,1.0,1.0,6.0,1.0,,,1.0,3.0,3.0,3.0,1.0,0.125,0.023255813953488372,0.3333333333333333,0.4444444444444444,5.0,15.0,,2.0,1.0,1.0,1.0,,0.10526315789473684,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,4.0,1.0,5.0,2.0,15.0,4.0,,,,1.0,2.0,1.0,0.3333333333333333,0.25,0.35714285714285715,,,0.4,0.4,1.0,0.25,0.4444444444444444,False,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,0.03333333333333333,0.043478260869565216,0.1111111111111111,0.2,0.2,1.0,0.125,0.125,1.0,1.0,0.23529411764705882,0.25,0.11764705882352941,,,,,,,,,,,,,,,,,,,,,,,
