EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Fg3aBlocked,DefThreePtRebounds,FG3APctBlocked,Arc3PctBlocked,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,Travels,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,3SecondViolations,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Technical Free Throw Trips,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BlockedShortMidRange,StepOutOfBoundsTurnovers,DefCorner3ReboundPct,on,BlockedLongMidRange,LongMidRangePctBlocked,LostBallOutOfBoundsTurnovers
101114,1610612762,Deron Williams,Deron Williams,101114,UTA,8557.0,143,-5.0,291,293,141.0,186.0,32.0,584,13.0,23.0,5.0,11.0,3.0,4.0,7.0,17.0,7.0,15.0,1.0,1.0,2.0,8.0,23.0,44.0,7.0,15.0,36.0,103.0,341,1.0,1.0,1.0,1.0,1.0,6.0,8.0,21.0,2.0,8.0,24.0,46.0,12.0,34.0,12.0,9.0,2.0,2.0,13.0,7.0,4.0,37.0,7.0,44.0,5.0,2.0,21.0,5.0,11.0,95.0,2.0,5.0,5.0,2.0,7.0,1.0,5.0,1.0,4.0,6.0,4.0,5.0,5.0,1.0,11.0,1.0,8.0,4.0,12.0,1.0,34.0,1.0,2.0,43.0,3.0,16.0,7.0,46.0,141.0,3.0,6.0,0.2608695652173913,0.2727272727272727,0.5714285714285714,0.4666666666666667,1.0,0.25,0.5384615384615384,0.5227272727272727,1.0,0.38095238095238093,0.5677966101694916,1.25,0.3793103448275862,0.6518987341772152,1.0,0.5476190476190477,0.2542372881355932,0.09090909090909091,0.17391304347826086,27.692307692307693,0.5454545454545454,0.05952380952380952,0.024691358024691357,0.04424778761061947,0.017543859649122806,0.03225806451612903,0.0625,0.047619047619047616,0.07692307692307693,0.05405405405405406,0.043478260869565216,0.3898305084745763,0.5652173913043478,0.6842105263157895,0.15384615384615385,0.06779661016949153,0.75,0.75,0.3333333333333333,0.288135593220339,0.4117647058823529,0.4117647058823529,0.42857142857142855,0.2542372881355932,0.4666666666666667,0.4666666666666667,0.5714285714285714,0.5,1.0,1.0,0.3793103448275862,0.45454545454545453,0.27586206896551724,0.25,0.6440677966101694,0.5384615384615384,0.5290491228070175,0.556525,0.5201370370370371,0.2222222222222222,0.2807017543859649,0.05825242718446602,0.44660194174757284,8.11590909090909,29.4,0.4845360824742268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101139,1610612762,CJ Miles,CJ Miles,101139,UTA,5401.0,90,-23.0,176,176,51.0,50.0,19.0,352,6.0,8.0,2.0,2.0,1.0,2.0,,4.0,1.0,11.0,,,,5.0,7.0,14.0,1.0,11.0,10.0,27.0,202,1.0,2.0,,,,2.0,3.0,5.0,,5.0,2.0,8.0,10.0,4.0,3.0,,2.0,,11.0,1.0,,5.0,,5.0,,,3.0,,2.0,10.0,3.0,3.0,6.0,3.0,9.0,,1.0,1.0,,6.0,1.0,3.0,1.0,3.0,7.0,2.0,2.0,6.0,15.0,,7.0,,2.0,10.0,,4.0,1.0,8.0,51.0,2.0,1.0,0.7142857142857143,0.8333333333333334,1.0,0.09090909090909091,,,0.09090909090909091,0.5,0.5,0.6,0.34,0.5,0.3,0.45,0.5,0.36363636363636365,0.44,,,18.781725888324875,0.8571428571428571,0.06382978723404255,0.05454545454545454,0.08450704225352113,0.0410958904109589,0.05555555555555555,,0.058823529411764705,0.07142857142857142,0.0625,,0.32,0.75,0.75,0.6666666666666666,0.08,0.5,0.5,1.0,0.16,,,,0.44,0.09090909090909091,0.1,1.0,,,,0.2,1.0,0.5,,0.76,0.09090909090909091,0.4892399999999999,0.5892,0.46915500000000004,0.13793103448275862,0.2222222222222222,0.07407407407407407,0.2962962962962963,5.571428571428571,25.90909090909091,0.2897727272727273,1.0,2.0,1.0,3.0,0.09090909090909091,0.09090909090909091,0.125,0.09090909090909091,0.14285714285714285,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
200794,1610612762,Paul Millsap,Paul Millsap,200794,UTA,11197.0,187,6.0,361,371,138.0,172.0,39.0,732,26.0,32.0,5.0,9.0,10.0,23.0,7.0,13.0,,1.0,,,,1.0,43.0,68.0,,1.0,24.0,110.0,428,4.0,5.0,,,9.0,17.0,10.0,19.0,,1.0,8.0,28.0,64.0,22.0,,,6.0,1.0,,,4.0,11.0,1.0,12.0,,1.0,4.0,2.0,5.0,25.0,7.0,26.0,37.0,12.0,49.0,,6.0,3.0,3.0,3.0,,1.0,4.0,2.0,7.0,1.0,,12.0,19.0,1.0,25.0,,4.0,35.0,3.0,17.0,2.0,28.0,138.0,1.0,1.0,0.7441860465116279,0.8,,,,,,0.6323529411764706,0.8,0.5263157894736842,0.6231884057971014,0.8,0.5,0.6470588235294118,0.85,0.56,0.014492753623188406,0.058823529411764705,0.0625,22.71604938271605,0.42857142857142855,0.24528301886792453,0.06306306306306306,0.22448979591836735,0.07746478873239436,0.07692307692307693,0.037037037037037035,0.12121212121212122,0.16666666666666666,0.3953488372093023,,0.463768115942029,0.8125,0.8666666666666667,0.7307692307692307,0.3333333333333333,0.43478260869565216,0.47619047619047616,0.6,0.18840579710144928,0.5384615384615384,0.5384615384615384,1.0,0.014492753623188406,,,,,,,0.45,0.5555555555555556,0.05,,0.4782608695652174,,0.4767426470588236,0.5558,0.46475263157894736,0.20481927710843373,0.2073170731707317,0.15454545454545454,0.2545454545454545,6.185294117647059,69.1,0.38227146814404434,4.0,4.0,,7.0,,,0.17073170731707318,0.06666666666666667,0.2,0.8,1.0,4.0,1.0,4.0,1.0,2.0,6.0,6.0,6.0,4.0,0.08695652173913043,0.3076923076923077,0.06666666666666667,0.12903225806451613,0.11538461538461539,0.2,0.6666666666666666,0.25,,,,,,,,,,,,,,,,,,True,,,
201178,1610612762,Kyrylo Fesenko,Kyrylo Fesenko,201178,UTA,2850.0,48,5.0,98,98,38.0,52.0,14.0,196,4.0,7.0,2.0,3.0,,2.0,,,,,,,,,4.0,9.0,,,3.0,11.0,101,,3.0,,,,,2.0,4.0,,,,4.0,8.0,,,,,,,,3.0,1.0,3.0,4.0,2.0,1.0,1.0,,,11.0,2.0,6.0,7.0,2.0,9.0,,,,,3.0,1.0,1.0,4.0,2.0,7.0,,3.0,6.0,7.0,1.0,4.0,,,8.0,,3.0,1.0,4.0,38.0,,1.0,1.0,1.0,,,,,,0.4444444444444444,,0.5,0.4444444444444444,,0.5,0.4230769230769231,,0.4,,0.3333333333333333,0.2857142857142857,17.857142857142854,0.42857142857142855,0.1875,0.07407407407407407,0.18421052631578946,0.05,,0.14285714285714285,,0.3,0.2727272727272727,,0.7777777777777778,0.5714285714285714,0.8,1.0,0.2222222222222222,,,,,,,,,,,,,,,0.75,0.6666666666666666,,,0.7777777777777778,,0.5347666666666666,0.5629000000000001,0.5317000000000001,0.25,0.25,,0.36363636363636365,1.1888888888888889,,0.3877551020408163,,2.0,,1.0,,,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,True,,,
2594,1610612762,Kyle Korver,Kyle Korver,2594,UTA,12611.0,210,-5.0,414,417,163.0,199.0,49.0,831,4.0,6.0,1.0,1.0,1.0,1.0,16.0,31.0,8.0,14.0,,,3.0,4.0,21.0,38.0,11.0,23.0,8.0,83.0,486,3.0,5.0,,1.0,,6.0,7.0,11.0,4.0,8.0,5.0,31.0,32.0,10.0,30.0,3.0,,,14.0,8.0,,11.0,2.0,13.0,2.0,,7.0,2.0,2.0,28.0,,9.0,11.0,,11.0,,5.0,2.0,3.0,1.0,4.0,1.0,6.0,,7.0,,2.0,8.0,22.0,2.0,13.0,,4.0,9.0,1.0,1.0,2.0,31.0,163.0,6.0,2.0,0.7619047619047619,0.7619047619047619,0.9090909090909091,0.4782608695652174,,0.5,0.4782608695652174,0.5526315789473685,0.6,0.6363636363636364,0.6147540983606558,0.5,0.6842105263157895,0.6349206349206349,0.5,0.7142857142857143,0.3770491803278688,,,14.957264957264957,0.14285714285714285,0.07563025210084033,,0.06172839506172839,,,,0.08108108108108109,0.08571428571428572,0.06382978723404255,,0.09836065573770492,0.6666666666666666,0.6666666666666666,0.5,0.01639344262295082,1.0,1.0,1.0,0.5081967213114754,0.5161290322580645,0.5161290322580645,0.8125,0.22950819672131148,0.5714285714285714,0.5714285714285714,0.875,,,,0.05263157894736842,1.0,0.21052631578947367,0.75,0.47540983606557374,0.5714285714285714,0.47814344262295094,0.46024000000000004,0.4667,0.01639344262295082,0.02631578947368421,0.07228915662650602,0.37349397590361444,15.77894736842105,24.504347826086953,0.39371980676328505,1.0,2.0,,1.0,,,0.023255813953488372,,0.027777777777777776,0.3333333333333333,0.5,,,1.0,,2.0,,,,,,0.06666666666666667,,,,,,,,3.0,9.0,1.0,1.0,4.0,4.0,0.14754098360655737,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.21052631578947367,0.25,,,,True,,,
201585,1610612762,Kosta Koufos,Kosta Koufos,201585,UTA,1212.0,20,3.0,39,38,15.0,16.0,5.0,77,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,,,,,,,4.0,8.0,,,,8.0,37,3.0,3.0,,,,6.0,3.0,5.0,,,,6.0,2.0,6.0,,,6.0,,,,1.0,,,,,,,,,,3.0,1.0,2.0,4.0,6.0,2.0,,,,1.0,,,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,6.0,15.0,1.0,,0.25,1.0,,,,,,0.5,1.0,0.6,0.5,1.0,0.6,0.5,1.0,0.6,,0.125,,22.727272727272727,0.5,0.07142857142857142,0.25,0.125,0.2222222222222222,0.25,0.4,0.3333333333333333,,,0.6666666666666666,0.25,0.5,0.5,,0.5,0.5,0.6666666666666666,,0.25,0.5,0.5,1.0,,,,,,,,0.4,0.5,,,0.25,,0.4188875,0.4687333333333333,0.40342,,,0.75,0.75,8.7125,,0.38461538461538464,1.0,1.0,,1.0,,,0.5,,0.5,0.3333333333333333,1.0,1.0,,,1.0,,1.0,,1.0,1.0,0.25,,,0.16666666666666666,,0.5,1.0,,,,,,,,,,,,,,,,1.0,,,True,,,
2430,1610612762,Carlos Boozer,Carlos Boozer,2430,UTA,8985.0,150,-17.0,294,292,118.0,140.0,34.0,586,18.0,31.0,5.0,10.0,7.0,15.0,8.0,18.0,,,,,,,33.0,64.0,,,6.0,72.0,361,7.0,14.0,,,2.0,16.0,11.0,22.0,,,4.0,26.0,40.0,26.0,,,8.0,,,,8.0,10.0,4.0,14.0,4.0,,4.0,2.0,4.0,32.0,13.0,23.0,36.0,16.0,52.0,1.0,,,,6.0,1.0,4.0,3.0,2.0,9.0,1.0,3.0,5.0,10.0,,11.0,,,16.0,,3.0,5.0,26.0,118.0,2.0,5.0,0.6060606060606061,0.6896551724137931,,,,,,0.515625,0.5,0.5,0.515625,0.5,0.5,0.5,0.5333333333333333,0.4642857142857143,,0.125,0.22580645161290322,24.324324324324323,0.6666666666666666,0.3194444444444444,0.14130434782608695,0.29906542056074764,0.13333333333333333,0.21212121212121213,0.25,0.45454545454545453,0.2916666666666667,0.23076923076923078,0.043478260869565216,0.484375,0.5806451612903226,0.75,0.6111111111111112,0.234375,0.4666666666666667,0.5,0.42857142857142855,0.28125,0.4444444444444444,0.4444444444444444,0.75,,,,,,,,0.45454545454545453,0.5,,,0.484375,,0.488846875,0.5225846153846154,0.48454545454545445,0.04477611940298507,0.04477611940298507,0.2222222222222222,0.3611111111111111,7.159375,,0.4013605442176871,4.0,10.0,,9.0,,,0.2571428571428571,0.02564102564102564,0.25,0.7142857142857143,0.4,3.0,,4.0,,1.0,3.0,3.0,3.0,3.0,0.06666666666666667,0.4444444444444444,,0.10714285714285714,0.13043478260869565,,1.0,,,,,,,,,,,,,,,,,1.0,0.2857142857142857,True,,,
202083,1610612762,Wesley Matthews,Wesley Matthews,202083,UTA,6844.0,114,18.0,233,229,115.0,146.0,29.0,462,7.0,12.0,4.0,7.0,1.0,4.0,,1.0,3.0,12.0,,,1.0,6.0,8.0,17.0,5.0,16.0,14.0,45.0,267,,2.0,,,,,5.0,11.0,3.0,8.0,9.0,28.0,8.0,8.0,15.0,,,,12.0,3.0,3.0,6.0,,6.0,,,3.0,1.0,2.0,12.0,2.0,3.0,9.0,3.0,12.0,,4.0,3.0,1.0,3.0,,1.0,,2.0,3.0,1.0,1.0,6.0,15.0,,17.0,1.0,4.0,18.0,2.0,7.0,3.0,28.0,115.0,6.0,3.0,0.5,0.5,1.0,0.3125,,0.375,0.3125,0.47058823529411764,,0.45454545454545453,0.4696969696969697,,0.5,0.5487804878048781,,0.56,0.48484848484848486,0.17647058823529413,0.16666666666666666,16.666666666666664,1.0,0.04285714285714286,0.030303030303030304,0.06741573033707865,0.03333333333333333,,,,0.047619047619047616,0.06666666666666667,,0.36363636363636365,0.5833333333333334,0.7,0.5714285714285714,0.12121212121212122,0.25,0.3333333333333333,,0.030303030303030304,,,,0.36363636363636365,0.25,0.2727272727272727,1.0,,,,0.3684210526315789,0.5714285714285714,0.3157894736842105,0.16666666666666666,0.8484848484848485,0.25,0.5319500000000001,0.3775,0.5055052631578948,0.18421052631578946,0.3181818181818182,,0.6222222222222222,2.935294117647059,24.49375,0.49356223175965663,,1.0,1.0,3.0,0.0625,0.08333333333333333,0.15789473684210525,0.07692307692307693,0.14285714285714285,0.5,,1.0,,3.0,,,2.0,,2.0,1.0,0.25,0.3,,0.041666666666666664,0.05555555555555555,,0.5,,,2.0,4.0,,2.0,2.0,,0.12121212121212122,0.5,0.5,1.0,,0.10526315789473684,1.0,2.0,,0.2,True,,,
101179,1610612762,Ronnie Price,Ronnie Price,101179,UTA,4056.0,68,,123,125,22.0,14.0,17.0,248,1.0,3.0,,,,1.0,2.0,5.0,2.0,6.0,,1.0,1.0,2.0,3.0,9.0,2.0,6.0,1.0,13.0,145,,,,1.0,,,,1.0,1.0,2.0,,3.0,2.0,4.0,3.0,3.0,,1.0,5.0,2.0,1.0,9.0,4.0,13.0,3.0,1.0,4.0,,5.0,30.0,2.0,2.0,4.0,2.0,6.0,,4.0,2.0,2.0,1.0,,,1.0,1.0,2.0,,,6.0,14.0,1.0,5.0,,2.0,2.0,,1.0,,3.0,22.0,2.0,,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,0.5,0.4,0.3333333333333333,,,0.4,,0.5,0.40625,,0.5,0.4,0.1111111111111111,,12.587412587412588,0.5,0.05714285714285714,0.044444444444444446,0.08163265306122448,0.03773584905660377,0.07692307692307693,,,0.2222222222222222,,,0.2,0.3333333333333333,0.3333333333333333,,0.06666666666666667,,,,0.3333333333333333,0.4,0.4,0.5,0.4,0.3333333333333333,0.3333333333333333,0.5,1.0,,,,,0.6666666666666666,0.5,0.6,0.4,0.4883428571428571,,0.3821,0.0625,0.1,,0.23076923076923078,11.833333333333334,31.71666666666667,0.17886178861788618,,,,2.0,,,0.14285714285714285,0.058823529411764705,0.07692307692307693,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,
1905,1610612762,Andrei Kirilenko,Andrei Kirilenko,1905,UTA,919.0,15,-10.0,28,32,8.0,16.0,4.0,60,1.0,1.0,,,,,1.0,2.0,,1.0,,,,,2.0,3.0,,1.0,1.0,5.0,43,1.0,1.0,,,1.0,3.0,,1.0,,,,,2.0,2.0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,3.0,1.0,,1.0,1.0,1.0,,,8.0,1.0,,0.5,0.5,,,,,,0.6666666666666666,1.0,,0.5,1.0,,0.625,1.5,,0.25,,,12.5,,0.06666666666666667,,0.0625,,,,,,0.14285714285714285,,0.25,1.0,1.0,1.0,,,,,0.5,0.5,0.5,,0.25,,,,,,,,,,,0.5,,0.4977875,0.5754,0.4359,0.25,0.3333333333333333,0.6,,11.833333333333334,24.1,0.2857142857142857,1.0,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,True,,,
