EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,AtRimAssists,ShortMidRangeAssists,LostBallSteals,BadPassTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PtsUnassisted3s,Arc3Assists,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Travels,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,SelfORebPct,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,3SecondViolations,3pt And 1 Free Throw Trips,LongMidRangePctBlocked,BlockedCorner3,SecondChanceAtRimPctAssisted
1563,1610612760,Kevin Ollie,Kevin Ollie,1563,OKC,73.0,1,-3,2,2,2,1,4,6,2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201586,1610612760,Serge Ibaka,Serge Ibaka,201586,OKC,9157.0,153,31,286,288,97,101,574,289,97,0.33916083916083917,40.0,9.0,13.0,4.0,7.0,3.0,4.0,7.0,9.0,4.0,13.0,20.0,35.0,7.0,47.0,5.0,9.0,5.0,15.0,5.0,11.0,2.0,12.0,26.0,14.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,8.0,10.0,12.0,4.0,26.0,13.0,39.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,6.0,1.0,1.0,9.0,19.0,2.0,1.0,9.0,2.0,10.0,4.0,1.0,12.0,9.0,1.0,2.0,12.0,5.0,1.0,1.0,12.0,1.0,1.0,0.65,0.8666666666666667,0.5714285714285714,0.5555555555555556,0.45454545454545453,0.5714285714285714,0.5555555555555556,0.45454545454545453,0.5875,0.625,0.46153846153846156,0.02857142857142857,0.07692307692307693,14.02439024390244,0.16666666666666666,0.4,0.1276595744680851,0.08163265306122448,0.21739130434782608,0.16129032258064516,0.15714285714285714,0.10077519379844961,0.11627906976744186,0.08333333333333333,0.16,0.16666666666666666,0.08823529411764706,0.2,0.11428571428571428,0.18421052631578946,0.375,0.4166666666666667,0.37142857142857144,0.6923076923076923,0.75,0.5555555555555556,0.2571428571428571,0.7777777777777778,0.7777777777777778,0.5714285714285714,0.37142857142857144,0.3076923076923077,0.3076923076923077,1.0,0.7777777777777778,0.5714285714285714,0.36363636363636365,0.75,0.37142857142857144,0.4545771428571429,0.55754,0.40980909090909085,0.10256410256410256,0.10256410256410256,0.3191489361702128,0.2553191489361702,8.448571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201935,1610612760,James Harden,James Harden,201935,OKC,5864.0,98,18,181,181,60,61,362,193,60,0.3314917127071823,23.0,4.0,12.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,15.0,13.0,37.0,,1.0,,,2.0,2.0,5.0,18.0,6.0,6.0,,2.0,8.0,1.0,9.0,1.0,1.0,19.0,,1.0,5.0,4.0,1.0,10.0,1.0,11.0,6.0,3.0,3.0,,,,1.0,,3.0,1.0,,3.0,8.0,,,14.0,,16.0,5.0,4.0,1.0,1.0,,,1.0,,,,18.0,,3.0,0.5,0.5,0.4,,1.0,0.46153846153846156,,1.0833333333333333,0.5606060606060606,,1.0,0.13333333333333333,0.16666666666666666,17.475728155339805,1.0,0.125,0.06557377049180328,0.015873015873015872,0.17857142857142858,,0.10112359550561797,0.012195121951219513,0.029411764705882353,,,,,0.06666666666666667,0.11538461538461539,0.13043478260869565,0.4,,0.46153846153846156,0.3333333333333333,0.4,0.5,0.07692307692307693,0.5,0.5,1.0,0.038461538461538464,1.0,1.0,,1.0,,0.16666666666666666,1.0,0.8846153846153846,0.5610903846153846,0.5415,0.5846,0.1724137931034483,0.2777777777777778,,0.4864864864864865,2.64,1.0,4.0,1.0,1.0,3.0,7.0,2.0,3.0,4.0,11.0,3.0,4.0,12.0,7.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,1.0,0.36363636363636365,0.75,0.36363636363636365,0.4230769230769231,0.15384615384615385,0.25,0.25,1.0,0.2692307692307692,0.42857142857142855,0.42857142857142855,1.0,0.16666666666666666,1.0,0.5,0.6666666666666666,0.42857142857142855,24.454545454545453,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,3820.0,64,10,119,118,25,40,237,116,25,0.21008403361344538,14.0,,5.0,,,,1.0,4.0,7.0,1.0,2.0,5.0,14.0,9.0,22.0,,,1.0,1.0,1.0,2.0,7.0,12.0,,10.0,,2.0,8.0,1.0,9.0,,1.0,19.0,,1.0,2.0,4.0,,6.0,1.0,7.0,1.0,1.0,4.0,,,,,,4.0,,,3.0,5.0,,,8.0,1.0,11.0,3.0,3.0,,,,,1.0,1.0,,,12.0,1.0,3.0,,,0.35714285714285715,,0.5,0.34210526315789475,,0.625,0.4583333333333333,0.5,0.75,0.14285714285714285,0.2,20.588235294117645,1.0,,0.10256410256410256,0.023255813953488372,0.1,,0.1016949152542373,0.017543859649122806,0.043478260869565216,,,,0.2,,0.08333333333333333,0.0625,0.25,1.0,0.2631578947368421,,,,0.3684210526315789,0.5714285714285714,0.6666666666666666,,0.10526315789473684,0.5,0.5,,,,0.25,,0.5263157894736842,0.4553710526315789,,0.4627375,0.14285714285714285,0.1875,0.045454545454545456,0.5454545454545454,7.214285714285714,,,,,1.0,5.0,1.0,2.0,1.0,5.0,1.0,2.0,,5.0,1.0,5.0,2.0,,4.0,,1.0,,0.2,0.5,0.2,0.2631578947368421,,,,,0.2631578947368421,0.2,0.2,,,,0.5,0.5,0.2,25.24,3.0,1.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2041,1610612760,Etan Thomas,Etan Thomas,2041,OKC,793.0,13,1,24,25,5,15,49,29,5,0.20833333333333334,2.0,3.0,4.0,,,,,1.0,1.0,,,4.0,5.0,2.0,10.0,,,2.0,2.0,,,,,8.0,,,1.0,,,,,,,,1.0,,3.0,,3.0,1.0,4.0,,,,,,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,,1.0,1.0,0.8,,,0.8,,,0.8333333333333334,1.0,,0.2,0.25,23.076923076923077,,,0.2727272727272727,0.16666666666666666,,,0.23076923076923078,0.1,0.25,,,,0.3333333333333333,0.25,0.25,,,,0.8,0.75,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,,,0.8,0.56938,,,0.16666666666666666,0.16666666666666666,0.2,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
200757,1610612760,Thabo Sefolosha,Thabo Sefolosha,200757,OKC,745.0,12,11,26,27,7,24,53,18,7,0.2692307692307692,3.0,1.0,2.0,,1.0,,,,1.0,,,1.0,3.0,2.0,4.0,,1.0,,,,,,,,2.0,,2.0,,1.0,1.0,,,3.0,,1.0,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,,,,,,,,,,,2.0,1.0,,3.0,,3.0,2.0,,,,,,,,,,,2.0,,,,0.3333333333333333,,,0.25,,,0.4,,,0.6666666666666666,0.5,17.24137931034483,,,0.09090909090909091,0.2,0.16666666666666666,,0.11764705882352941,0.125,,,,,0.125,,,0.16666666666666666,,,0.5,0.5,1.0,,0.25,,,,,,,,1.0,,,,0.75,0.5555875,0.4485,,0.4,0.5,,,3.3666666666666667,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,0.25,0.25,,,,,,,,,,,,,22.9,,1.0,,,1.0,0.5,,,,,,,,,,,,,,True,,,,,,,,,,,,
201142,1610612760,Kevin Durant,Kevin Durant,201142,OKC,6189.0,103,35,200,200,87,85,400,193,87,0.435,30.0,5.0,12.0,,1.0,2.0,7.0,4.0,10.0,9.0,19.0,18.0,41.0,37.0,88.0,,3.0,5.0,11.0,4.0,15.0,25.0,39.0,22.0,14.0,,3.0,7.0,1.0,8.0,,2.0,17.0,,2.0,9.0,11.0,1.0,21.0,2.0,23.0,,,7.0,3.0,7.0,,5.0,1.0,14.0,,5.0,,7.0,,2.0,24.0,,41.0,12.0,8.0,5.0,3.0,1.0,1.0,5.0,3.0,1.0,,39.0,3.0,8.0,0.6111111111111112,0.6111111111111112,0.43902439024390244,,0.26666666666666666,0.4473684210526316,0.5,0.3333333333333333,0.564935064935065,0.6111111111111112,0.5588235294117647,0.07317073170731707,0.16666666666666666,39.737991266375545,0.5,0.2,0.1746031746031746,0.03076923076923077,0.2647058823529412,,0.20618556701030927,0.023255813953488372,0.038461538461538464,0.037037037037037035,,,0.22727272727272727,0.11764705882352941,0.16666666666666666,0.26666666666666666,0.25,0.6,0.21052631578947367,0.4166666666666667,0.5,0.8,0.17543859649122806,0.4,0.4444444444444444,0.5,0.3333333333333333,0.47368421052631576,0.47368421052631576,0.5555555555555556,0.16666666666666666,,0.3333333333333333,0.2857142857142857,0.49122807017543857,0.4762267857142857,0.50396,0.48233750000000003,0.17391304347826086,0.22641509433962265,0.125,0.4431818181818182,10.560975609756097,,1.0,,,5.0,15.0,2.0,6.0,5.0,16.0,2.0,6.0,9.0,14.0,5.0,5.0,,,2.0,,,0.6,0.3125,0.3333333333333333,0.3333333333333333,0.2807017543859649,0.017543859649122806,,,,0.2631578947368421,0.3333333333333333,0.3333333333333333,0.6,,,0.2857142857142857,0.3333333333333333,0.35714285714285715,26.949999999999996,6.0,1.0,,,0.1,,2.0,3.0,2.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,1.0,,,True,,,,,,,,,,,,
201145,1610612760,Jeff Green,Jeff Green,201145,OKC,5548.0,92,6,170,173,52,35,343,175,52,0.3058823529411765,26.0,2.0,5.0,,,,,1.0,3.0,2.0,4.0,5.0,12.0,9.0,25.0,,1.0,,,1.0,1.0,1.0,3.0,4.0,6.0,,1.0,2.0,2.0,4.0,,,10.0,,,4.0,3.0,3.0,10.0,,10.0,2.0,1.0,2.0,,,,1.0,,2.0,,2.0,5.0,6.0,,,9.0,,10.0,3.0,1.0,,,,,,,,,3.0,,1.0,0.4,0.4,0.4166666666666667,,1.0,0.42105263157894735,,0.3333333333333333,0.5,,0.375,0.08333333333333333,0.2,12.56281407035176,1.0,0.6,0.05660377358490566,,0.14285714285714285,,0.08641975308641975,,,,,,0.09523809523809523,,0.05555555555555555,0.19047619047619047,,,0.2631578947368421,0.4,0.5,0.5,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.21052631578947367,0.5,0.5,0.5,,,,,0.631578947368421,0.4744499999999999,0.3921,0.38951666666666673,0.13636363636363635,0.2,,0.12,8.683333333333334,1.0,2.0,,,1.0,5.0,,2.0,2.0,7.0,,2.0,6.0,5.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.2857142857142857,,0.2857142857142857,0.3684210526315789,0.10526315789473684,0.5,0.5,1.0,0.2631578947368421,0.2,0.2,1.0,,,0.6666666666666666,,0.2,24.885714285714283,,2.0,,,,,,,,,,,2.0,,,,,,,True,,,,,,,,,,,,
201566,1610612760,Russell Westbrook,Russell Westbrook,201566,OKC,5337.0,89,21,167,170,72,61,337,173,72,0.4311377245508982,26.0,8.0,13.0,1.0,1.0,4.0,7.0,4.0,7.0,6.0,16.0,18.0,36.0,14.0,59.0,2.0,3.0,5.0,9.0,6.0,15.0,10.0,22.0,6.0,30.0,2.0,1.0,11.0,2.0,13.0,,6.0,28.0,,3.0,4.0,11.0,,15.0,3.0,18.0,5.0,3.0,4.0,,1.0,,2.0,,5.0,,1.0,1.0,7.0,1.0,1.0,13.0,1.0,17.0,8.0,2.0,,,,,1.0,1.0,,,22.0,2.0,2.0,0.16666666666666666,0.17647058823529413,0.5,0.6666666666666666,0.4,0.5232558139534884,0.6666666666666666,0.35294117647058826,0.59,0.9,0.4782608695652174,0.027777777777777776,0.07692307692307693,28.645833333333336,0.8,,0.2,0.05454545454545454,0.15384615384615385,,0.18518518518518517,0.041666666666666664,0.05,0.04,,,0.2631578947368421,0.23076923076923078,0.13043478260869565,0.13636363636363635,0.25,1.0,0.3023255813953488,0.6153846153846154,0.6666666666666666,0.125,0.16279069767441862,0.5714285714285714,0.5714285714285714,0.25,0.37209302325581395,0.375,0.375,0.16666666666666666,0.3333333333333333,1.0,0.4117647058823529,0.5714285714285714,0.46511627906976744,0.47714285714285715,0.4370333333333334,0.484103125,0.16666666666666666,0.1951219512195122,0.15254237288135594,0.3728813559322034,9.266666666666667,,,,,3.0,7.0,,2.0,3.0,7.0,,2.0,6.0,6.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,0.6666666666666666,0.42857142857142855,,0.5,0.16279069767441862,,,,,0.16279069767441862,0.42857142857142855,0.42857142857142855,0.6666666666666666,,,0.11764705882352941,,0.5,27.67142857142857,3.0,2.0,1.0,1.0,,0.1,,,,,1.0,,,,,,,2.0,0.1,True,,,,,,,,,,,,
2555,1610612760,Nick Collison,Nick Collison,2555,OKC,5936.0,99,27,180,181,56,58,361,171,56,0.3111111111111111,26.0,6.0,13.0,2.0,7.0,,1.0,,1.0,1.0,3.0,7.0,17.0,3.0,17.0,2.0,7.0,,4.0,,1.0,2.0,2.0,10.0,4.0,4.0,4.0,1.0,1.0,2.0,,1.0,5.0,,8.0,1.0,6.0,1.0,8.0,8.0,16.0,4.0,4.0,,,1.0,,,,1.0,,1.0,9.0,16.0,3.0,1.0,10.0,,7.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,2.0,2.0,1.0,0.7142857142857143,1.0,0.4117647058823529,0.2857142857142857,,0.3888888888888889,0.2857142857142857,,0.40476190476190477,0.2857142857142857,0.3333333333333333,0.23529411764705882,0.3076923076923077,10.628019323671499,,0.16666666666666666,0.10714285714285714,0.12698412698412698,0.03225806451612903,,0.08045977011494253,0.09876543209876543,0.13793103448275862,0.09090909090909091,,,,0.07142857142857142,0.20833333333333334,0.04,,1.0,0.7222222222222222,0.46153846153846156,0.6666666666666666,0.6666666666666666,0.05555555555555555,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2857142857142857,1.0,,0.7777777777777778,0.5256111111111111,0.5856142857142858,0.5506,0.15,0.15789473684210525,0.23529411764705882,0.11764705882352941,3.894117647058824,,,,,,1.0,,,,1.0,,,,1.0,,,,,,5.0,1.0,,,,,0.05555555555555555,,,,,0.05555555555555555,,,,,,,,,27.0,,1.0,,,,0.16666666666666666,,,,,,,,,,,,,,True,,,,,,,,,,,,
