EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,Usage,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,LongMidRangeFGA,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,Loose Ball Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,LongMidRangeFrequency,PenaltyPointsPct,ShortMidRangeFGM,FG2M,PenaltyFG2M,PtsUnassisted2s,DeadBallTurnovers,Turnovers,PenaltyTurnovers,3SecondViolations,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGA,PenaltyCorner3FGA,ShootingFouls,Fouls,Corner3Frequency,PenaltyCorner3Frequency,on,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Corner3FGM,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LostBallSteals,BadPassTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,Travels,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,BlockedCorner3,SelfORebPct,SecondChanceAtRimPctAssisted
1563,1610612760,Kevin Ollie,Kevin Ollie,1563,OKC,254.0,4,-4.0,9,8,9,8,17,1.0,1.0,7,1.0,9,11.11111111111111,1.0,0.4002,0.4002,12.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200757,1610612760,Thabo Sefolosha,Thabo Sefolosha,200757,OKC,135.0,2,-4.0,5,4,5,4,9,,,4,,5,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,254.0,4,-4.0,9,8,9,8,17,,,7,,9,11.11111111111111,,0.4014,0.4014,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.6666666666666666,0.4,0.6666666666666666,1.0,1.0,1.0,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201957,1610612760,Byron Mullens,Byron Mullens,201957,OKC,254.0,4,-4.0,9,8,9,8,17,,2.0,7,2.0,9,33.333333333333336,,0.3649,0.3649,17.15,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,1610612760,Etan Thomas,Etan Thomas,2041,OKC,254.0,4,-4.0,9,8,9,8,17,1.0,1.0,7,1.0,9,22.22222222222222,1.0,0.4013,0.4013,5.6,1.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201935,1610612760,James Harden,James Harden,201935,OKC,119.0,2,,4,4,4,4,8,,,3,,4,25.0,,0.60315,0.60315,,1.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,1610612760,Kevin Ollie,Kevin Ollie,1563,OKC,73.0,1,-3.0,2,2,2,1,4,,,6,,2,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201586,1610612760,Serge Ibaka,Serge Ibaka,201586,OKC,9157.0,153,31.0,286,288,97,101,574,9.0,35.0,289,11.0,97,14.02439024390244,0.2571428571428571,0.4545771428571429,0.40980909090909085,8.448571428571428,0.33916083916083917,,,,,,10.0,26.0,39.0,,0.21739130434782608,0.15714285714285714,0.18421052631578946,,,0.37142857142857144,,13.0,7.0,47.0,2.0,12.0,9.0,2.0,10.0,1.0,12.0,1.0,0.5875,0.46153846153846156,0.37142857142857144,0.2553191489361702,7.0,20.0,5.0,14.0,5.0,6.0,1.0,,0.5714285714285714,0.45454545454545453,0.5714285714285714,0.45454545454545453,0.7777777777777778,0.7777777777777778,,,9.0,19.0,,,False,40.0,9.0,13.0,4.0,7.0,3.0,4.0,4.0,5.0,9.0,5.0,15.0,26.0,10.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5.0,8.0,12.0,4.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,12.0,9.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,0.65,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.625,0.02857142857142857,0.07692307692307693,0.16666666666666666,0.4,0.1276595744680851,0.08163265306122448,0.16129032258064516,0.10077519379844961,0.11627906976744186,0.08333333333333333,0.16,0.16666666666666666,0.08823529411764706,0.2,0.11428571428571428,0.375,0.4166666666666667,0.37142857142857144,0.6923076923076923,0.75,0.5555555555555556,0.5714285714285714,0.3076923076923077,0.3076923076923077,1.0,0.7777777777777778,0.5714285714285714,0.36363636363636365,0.75,0.55754,0.10256410256410256,0.10256410256410256,0.3191489361702128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201935,1610612760,James Harden,James Harden,201935,OKC,7083.0,118,4.0,219,218,83,75,437,2.0,15.0,244,2.0,83,16.205533596837945,0.06666666666666667,0.5611233333333333,0.5605875,2.64,0.3789954337899543,8.0,4.0,15.0,6.0,8.0,6.0,14.0,15.0,0.5,0.16666666666666666,0.11538461538461539,0.15384615384615385,0.26666666666666666,0.5,0.9,24.253333333333334,1.0,16.0,46.0,8.0,24.0,16.0,,19.0,4.0,24.0,3.0,0.6052631578947368,1.0,0.03333333333333333,0.5217391304347826,1.0,6.0,2.0,6.0,,3.0,,,0.4,1.0,0.5,1.0,0.5,0.5,7.0,2.0,5.0,13.0,0.23333333333333334,0.25,False,30.0,4.0,12.0,,1.0,1.0,1.0,1.0,,1.0,,,6.0,,2.0,9.0,2.0,11.0,1.0,1.0,24.0,,1.0,6.0,2.0,1.0,6.0,3.0,3.0,,,1.0,,1.0,,,6.0,1.0,1.0,,,1.0,,,,1.0,0.5,0.5,,,,0.13333333333333333,0.16666666666666666,1.0,0.18181818181818182,0.08823529411764706,0.01282051282051282,,0.009615384615384616,0.023809523809523808,,,,0.043478260869565216,0.1111111111111111,0.1111111111111111,0.2,,0.4,0.3333333333333333,0.4,0.5,1.0,1.0,1.0,,1.0,,0.125,1.0,0.5415,0.20588235294117646,0.3157894736842105,,3.0,2.0,3.0,2.0,6.0,4.0,18.0,3.0,1.0,6.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.4,0.6666666666666666,0.4,0.42857142857142855,0.42857142857142855,1.0,0.375,0.375,1.0,1.0,0.5,0.375,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,4316.0,72,4.0,136,137,31,52,273,7.0,14.0,137,2.0,31,18.83116883116883,0.3684210526315789,0.4553710526315789,0.4627375,7.214285714285714,0.22794117647058823,5.0,2.0,5.0,2.0,5.0,2.0,6.0,7.0,0.2631578947368421,0.09523809523809523,0.09375,0.0625,0.2631578947368421,0.5,0.5263157894736842,25.24,2.0,9.0,22.0,7.0,12.0,9.0,2.0,11.0,3.0,12.0,3.0,0.4583333333333333,0.75,0.10526315789473684,0.5454545454545454,4.0,5.0,1.0,10.0,,5.0,,,0.35714285714285715,0.5,0.34210526315789475,0.625,0.5714285714285714,0.6666666666666666,,,3.0,5.0,,,False,15.0,,5.0,,,,1.0,1.0,,,1.0,1.0,,,2.0,8.0,1.0,9.0,,1.0,19.0,,1.0,4.0,,1.0,1.0,1.0,5.0,,,1.0,,,,,3.0,,,,,1.0,1.0,,,1.0,,,,,0.5,0.14285714285714285,0.2,1.0,,0.09302325581395349,0.020833333333333332,,0.015151515151515152,0.038461538461538464,,,,0.16666666666666666,,0.07692307692307693,0.2,1.0,0.2631578947368421,,,,,0.5,0.5,,,,0.25,,,0.14285714285714285,0.1875,0.045454545454545456,,,1.0,1.0,1.0,1.0,,1.0,1.0,5.0,2.0,,4.0,,1.0,,,,0.2,0.5,0.2,,,,0.2,0.2,,,0.5,0.2,,3.0,1.0,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,
