EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Arc3FGA,FG3A,NonHeaveArc3FGA,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,ShootingFouls,Loose Ball Fouls,FG3APct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,Fg2aBlocked,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,NonShootingPenaltyNonTakeFouls,FtPoints,SecondChanceFtPoints,AtRimPctAssisted,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,OffThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFtPoints,PtsUnassisted3s,LongMidRangeAssists,BadPassTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyTurnovers,3SecondViolations,PenaltyAtRimFGM,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,DefensiveGoaltends,OffensiveGoaltends,OffLongMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangePctAssisted,PenaltyAtRimAccuracy,3pt And 1 Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,Travels,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SelfOReb,BlockedCorner3,SelfORebPct,SecondChanceAtRimPctAssisted
201586,1610612760,Serge Ibaka,Serge Ibaka,201586,OKC,720.0,12,4.0,22,23,3,14,2.0,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,4.0,23,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,16.666666666666668,1.0,0.1,0.16666666666666666,0.5,0.16666666666666666,0.1,0.25,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.4339,0.5477,0.3613,0.5,0.5,9.799999999999999,0.13636363636363635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201602,1610612760,Kyle Weaver,Kyle Weaver,201602,OKC,720.0,12,4.0,22,23,3,14,2.0,45,,2.0,,,,,1.0,1.0,3,2.0,23,,,,,,,2.0,,,2.0,,4.0,,1.0,1.0,,2.0,,2.0,,,,2.0,,,3,0.3333333333333333,,,0.25,,,0.25,,,16.666666666666668,,0.1,,0.5,0.16666666666666666,,,,0.5,0.5,,,,,,0.25,,,0.75,0.526825,,,,,6.5,0.13636363636363635,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,0.25,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201935,1610612760,James Harden,James Harden,201935,OKC,720.0,12,4.0,22,23,3,14,2.0,45,1.0,2.0,,,1.0,1.0,1.0,3.0,4,9.0,23,,,,1.0,1.0,5.0,4.0,,,1.0,,2.0,,,1.0,,1.0,,1.0,,,,1.0,2.0,5.0,3,0.75,,1.0,0.6428571428571429,,1.25,0.6428571428571429,,1.25,29.166666666666668,,0.1,,,0.08333333333333333,,,,,0.2857142857142857,0.5,1.0,0.14285714285714285,1.0,1.0,0.14285714285714285,,,0.7142857142857143,0.53095,,0.382,,0.5555555555555556,7.55,0.13636363636363635,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,0.42857142857142855,,1.0,1.0,0.14285714285714285,24.099999999999998,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,0.25,0.5,0.25,1.0,0.2857142857142857,0.5,0.5,1.0,0.5,1.0,0.14285714285714285,0.25,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,720.0,12,4.0,22,23,3,14,2.0,45,,,,,1.0,2.0,,1.0,2,2.0,23,,,,,,,2.0,,,2.0,,4.0,,,2.0,,2.0,,2.0,,,,2.0,,,3,0.5,,,0.3333333333333333,,,0.3333333333333333,,,12.5,,0.2,,,0.16666666666666666,,,0.3333333333333333,,,,,0.6666666666666666,0.5,0.5,,,,0.3333333333333333,0.3880666666666666,,,,,9.6,0.13636363636363635,,1.0,1.0,1.0,2.0,1.0,1.0,,,0.3333333333333333,,,,0.3333333333333333,25.6,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,1610612760,Etan Thomas,Etan Thomas,2041,OKC,720.0,12,4.0,22,23,3,14,2.0,45,3.0,4.0,,,1.0,1.0,,4.0,5,10.0,23,,,2.0,,,,,,,,,,1.0,,3.0,,3.0,1.0,4.0,,,,1.0,1.0,,3,0.8,,,0.8,,,0.8333333333333334,1.0,,25.0,,0.3,0.16666666666666666,,0.25,0.1,0.25,0.3333333333333333,,0.8,0.75,1.0,0.2,1.0,1.0,,,,0.8,0.56938,,,0.2,,0.96,0.13636363636363635,,,,,,,,1.0,,,0.3333333333333333,,,,,,,,,,,,8.0,,1.0,2.0,,1.0,1.0,1.0,,,,,0.2,0.25,0.25,1.0,,,,,,,0.16666666666666666,0.16666666666666666,,2.0,2.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,1610612760,Kevin Ollie,Kevin Ollie,1563,OKC,327.0,5,-7.0,11,10,11,9,,21,,,,,,1.0,,,1,,13,,,,,1.0,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,9.090909090909092,,,,,,,,,,,,,1.0,,,,,,,0.4002,,0.4002,,,12.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200757,1610612760,Thabo Sefolosha,Thabo Sefolosha,200757,OKC,7619.0,127,-24.0,242,242,48,73,35.0,484,5.0,10.0,,2.0,,1.0,3.0,5.0,14,27.0,252,,3.0,3.0,,1.0,,6.0,,3.0,7.0,,17.0,2.0,5.0,9.0,1.0,15.0,3.0,18.0,,,2.0,15.0,8.0,,48,0.35714285714285715,,,0.35185185185185186,0.375,,0.45,0.375,,11.347517730496454,0.16666666666666666,0.10588235294117647,0.020202020202020204,0.1388888888888889,0.11570247933884298,0.021897810218978103,,0.09090909090909091,0.1111111111111111,0.37037037037037035,0.5,0.7142857142857143,0.037037037037037035,,,0.1111111111111111,0.5,,0.8518518518518519,0.5662944444444444,0.45106666666666667,0.4929,0.1111111111111111,,4.821428571428571,0.19834710743801653,,6.0,13.0,6.0,4.0,4.0,,3.0,3.0,0.48148148148148145,0.07407407407407407,,,0.2222222222222222,23.853846153846156,2.0,7.0,,1.0,3.0,,1.0,4.0,9.0,4.0,9.0,2.0,4.0,0.4,0.4,1.0,0.23076923076923078,,0.23076923076923078,0.2857142857142857,0.3,0.16,,0.25925925925925924,0.2857142857142857,0.2857142857142857,1.0,0.5,,0.16666666666666666,0.25,5.0,8.0,,0.4,False,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,6.0,4.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,0.02631578947368421,0.08695652173913043,0.03225806451612903,0.2222222222222222,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.25,1.0,1.0,0.16666666666666666,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201953,1610612760,Eric Maynor,Eric Maynor,201953,OKC,3850.0,64,-4.0,123,122,37,46,13.0,245,,5.0,,,3.0,5.0,2.0,4.0,12,20.0,121,,,1.0,1.0,2.0,12.0,8.0,,1.0,7.0,,15.0,1.0,4.0,2.0,,6.0,1.0,7.0,,,5.0,3.0,9.0,12.0,37,0.3333333333333333,,0.5,0.3235294117647059,,0.5,0.45454545454545453,0.5,0.6666666666666666,19.424460431654676,,0.05714285714285714,0.022222222222222223,0.18181818181818182,0.10526315789473684,0.01639344262295082,0.045454545454545456,0.13333333333333333,0.17647058823529413,0.29411764705882354,,,0.29411764705882354,0.6,0.75,0.11764705882352941,,,0.5882352941176471,0.4640735294117647,,0.45047,0.05,0.6,6.816666666666666,0.3008130081300813,1.0,5.0,5.0,5.0,6.0,4.0,1.0,3.0,,0.29411764705882354,,0.5,0.5,0.29411764705882354,24.9,,,,,1.0,1.0,3.0,,,2.0,11.0,1.0,3.0,,,,0.2,0.3333333333333333,0.2,0.16666666666666666,0.2,,,,,,,,,0.15789473684210525,0.21428571428571427,,9.0,1.0,,False,,,1.0,,,1.0,1.0,,1.0,1.0,,5.0,1.0,,,,,,,1.0,1.0,,0.2,1.0,,,,0.2,1.0,0.2,0.2,,,,,0.2,,1.0,1.0,3.0,7.0,3.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,0.2,0.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
201957,1610612760,Byron Mullens,Byron Mullens,201957,OKC,254.0,4,-4.0,9,8,9,8,,17,,,,,,,2.0,,2,1.0,7,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,9,,,,,,,0.16666666666666666,,0.16666666666666666,33.333333333333336,,,,,,,,,,,,,,,,1.0,,,,0.3649,,0.3649,,1.0,17.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2041,1610612760,Etan Thomas,Etan Thomas,2041,OKC,327.0,5,-7.0,11,10,11,9,,21,,,,,1.0,1.0,,1.0,1,2.0,13,,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,2.0,11,1.0,,1.0,1.0,,1.0,1.0,,1.0,18.181818181818183,,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.4013,,0.4013,,1.0,5.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
