EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ThreePtAssists,Arc3Assists,PtsPutbacks,BadPassSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffAtRimReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Fg2aBlocked,OffThreePtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls Drawn,DefensiveGoaltends,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAssists,LongMidRangeAssists,LostBallTurnovers,2pt And 1 Free Throw Trips,BadPassOutOfBoundsTurnovers,SecondChanceFtPoints,Corner3Assists,SecondChanceAtRimPctAssisted,on,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,OffArc3ReboundPct,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,Travels,Offensive Fouls Drawn,BlockedLongMidRange,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,SecondChanceCorner3FGM,FTOffRebounds,BlockedShortMidRange,3SecondViolations,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PtsUnassisted3s,Technical Free Throw Trips
101110,1610612757,Martell Webster,Martell Webster,101110,POR,2214.0,37,-2.0,73,75,46,44,10.0,148,3.0,4.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,3.0,5.0,8.0,3.0,7.0,2.0,21.0,82,1.0,2.0,1.0,1.0,5.0,4.0,6.0,2.0,4.0,2.0,16.0,4.0,6.0,9.0,1.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,6.0,4.0,1.0,1.0,16.0,46,2.0,1.0,0.4,0.4,1.0,0.42857142857142855,1.0,0.5,0.5,0.625,0.5,0.6666666666666666,0.6333333333333333,0.8333333333333334,0.7,0.6176470588235294,0.8333333333333334,0.6666666666666666,0.4666666666666667,21.42857142857143,0.045454545454545456,0.04,0.23076923076923078,0.11428571428571428,0.03125,0.16666666666666666,0.1,0.2,0.3333333333333333,0.16666666666666666,0.26666666666666666,0.75,0.75,0.2,0.3333333333333333,0.3333333333333333,1.0,0.06666666666666667,1.0,1.0,1.0,0.06666666666666667,1.0,1.0,1.0,0.4,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,0.3333333333333333,1.0,1.0,0.4,0.75,0.1,1.0,0.3,0.3333333333333333,0.7333333333333333,0.4,0.5090821428571428,0.6079,0.514205,0.0625,0.1111111111111111,0.23809523809523808,0.7619047619047619,6.0375,28.271428571428572,0.6301369863013698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
101143,1610612757,Travis Diener,Travis Diener,101143,POR,440.0,7,-3.0,14,15,14,14,3.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201965,1610612757,Jeff Ayres,Jeff Ayres,201965,POR,951.0,16,2.0,31,33,30,27,5.0,64,2.0,3.0,1.0,1.0,2.0,3.0,,1.0,,,,,,,,,,,,,2.0,4.0,,,3.0,7.0,30,1.0,1.0,,,2.0,2.0,4.0,,,3.0,7.0,2.0,2.0,,,,,,,,,2.0,,,,2.0,2.0,,2.0,,1.0,1.0,1.0,,1.0,,2.0,4.0,1.0,1.0,7.0,30,1.0,1.0,0.5,1.0,,,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5833333333333334,1.0,0.5833333333333334,,19.444444444444446,,0.16666666666666666,,,0.13333333333333333,,,,,,0.75,0.6666666666666666,0.6666666666666666,0.25,,,,,,,,,,,,,,,,1.0,1.0,,,,0.75,0.6666666666666666,,,,,0.75,,0.50935,0.5887,0.50935,0.2,0.2,0.2857142857142857,1.0,2.65,,0.967741935483871,,,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.2,0.25,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201967,1610612757,Dante Cunningham,Dante Cunningham,201967,POR,2521.0,42,-14.0,86,86,56,53,12.0,172,4.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,8.0,,,,,,1.0,,,,1.0,9.0,14.0,,1.0,5.0,23.0,98,2.0,2.0,,,4.0,5.0,8.0,,1.0,5.0,15.0,12.0,6.0,,,1.0,,,,,,3.0,3.0,4.0,9.0,4.0,13.0,,5.0,4.0,1.0,3.0,2.0,4.0,10.0,1.0,4.0,6.0,,3.0,15.0,56,2.0,3.0,0.6666666666666666,0.8571428571428571,,,,,,0.6428571428571429,1.0,0.625,0.6,1.0,0.5555555555555556,0.6388888888888888,1.0,0.625,0.06666666666666667,21.21212121212121,0.17391304347826086,0.0967741935483871,0.2,0.18421052631578946,0.1,0.14285714285714285,0.18181818181818182,0.18181818181818182,0.25,,0.3333333333333333,0.8,1.0,0.06666666666666667,1.0,1.0,1.0,0.5333333333333333,0.5,0.5,0.75,,,,,0.06666666666666667,,,,1.0,1.0,,,,0.2222222222222222,1.0,,,0.1111111111111111,,0.4,,0.46372666666666656,0.56215,0.44029999999999997,,,0.17391304347826086,0.6521739130434783,10.85,24.9,0.6511627906976745,,,4.0,1.0,,,1.0,,,,,0.09090909090909091,0.07692307692307693,,0.5,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.07142857142857142,0.2,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.5,0.2,0.14285714285714285,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201988,1610612757,Patty Mills,Patty Mills,201988,POR,595.0,10,2.0,20,22,20,21,4.0,42,1.0,3.0,,,1.0,3.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,19,,,,,,1.0,3.0,1.0,1.0,1.0,6.0,2.0,,3.0,,1.0,1.0,2.0,2.0,,4.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,6.0,20,,,1.0,1.0,1.0,1.0,,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.625,,0.625,0.75,,0.75,0.25,20.833333333333336,,,,,,,,,,,0.75,0.3333333333333333,0.5,,,,,,,,,,,,,0.25,1.0,1.0,1.0,,,,,,0.75,0.3333333333333333,,,0.25,1.0,1.0,1.0,0.6309625,,0.6309625,0.25,0.3333333333333333,,1.0,,25.1,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1889,1610612757,Andre Miller,Andre Miller,1889,POR,1097.0,18,-21.0,35,36,16,20,3.0,71,2.0,4.0,,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,3.0,5.0,,,1.0,7.0,55,,1.0,,,,1.0,3.0,,,,2.0,,6.0,,,,,,1.0,,3.0,1.0,,,,1.0,1.0,,,,1.0,2.0,1.0,,1.0,,3.0,4.0,2.0,,2.0,16,1.0,,,,,,,,,0.6,,0.3333333333333333,0.6,,0.3333333333333333,0.5,,0.3333333333333333,,23.684210526315788,,0.1,,,0.08333333333333333,,,,,,0.8,0.5,0.6666666666666666,0.2,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,0.3333333333333333,,,,,0.8,,0.53542,0.5789,0.5430333333333334,0.2857142857142857,0.2857142857142857,,0.2857142857142857,1.46,,0.45714285714285713,1.0,1.0,,,,,,,,,,,0.25,,,1.0,,,1.0,1.0,,,0.2,0.25,0.5,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,851.0,14,-7.0,31,28,13,12,5.0,59,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,2.0,2.0,32,,,,,2.0,,3.0,,,,,,,,,,,,,,,,1.0,3.0,5.0,,5.0,,,,,1.0,,,,,1.0,2.0,1.0,,,13,,,,,,,,,,,,,,,,0.16666666666666666,1.0,,,18.91891891891892,0.3333333333333333,,0.25,0.3076923076923077,,,0.2,,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.39144,,0.3871,0.16666666666666666,0.16666666666666666,1.0,,17.4,,0.41935483870967744,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,0.5,,,1.0,,,2.0,,,True,,,,,,,,,,,,,,,,,,,,,,
201573,1610612757,Jerryd Bayless,Jerryd Bayless,201573,POR,1621.0,27,-3.0,56,55,31,25,7.0,111,3.0,5.0,,,2.0,3.0,,3.0,1.0,3.0,,1.0,,1.0,,1.0,,,,1.0,4.0,11.0,,2.0,3.0,11.0,58,,1.0,,,,2.0,7.0,,2.0,,4.0,2.0,6.0,,,1.0,,5.0,7.0,2.0,16.0,,2.0,1.0,4.0,,4.0,,2.0,,2.0,3.0,2.0,,3.0,1.0,2.0,4.0,2.0,,4.0,31,,,0.25,0.25,,,,,,0.36363636363636365,,0.2857142857142857,0.3076923076923077,,0.2222222222222222,0.36666666666666664,,0.2222222222222222,0.15384615384615385,28.125,0.06666666666666667,,0.2,0.12,,,0.125,0.3333333333333333,,,0.38461538461538464,0.6,0.6,0.23076923076923078,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.07692307692307693,,,,0.07692307692307693,,,,,,,,,0.3333333333333333,0.6666666666666666,0.1111111111111111,,0.1111111111111111,,0.5384615384615384,,0.5181038461538462,,0.5467833333333334,0.13333333333333333,0.15384615384615385,,0.36363636363636365,7.79090909090909,24.35,0.5535714285714286,2.0,1.0,,2.0,1.0,,,,,,,,,,0.3333333333333333,,,1.0,1.0,,,,,,0.3333333333333333,0.2,,,,,1.0,2.0,1.0,,,,1.0,,True,,,,,,,,,,,,,,,,,,,,,,
201164,1610612757,Rudy Fernandez,Rudy Fernandez,201164,POR,752.0,13,-11.0,27,25,21,18,3.0,52,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,2.0,,,,,,,21,2.0,,,,,,,,,,,,,,,,,,,3.3333333333333335,0.125,,,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7777777777777778,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,0.5,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201587,1610612757,Nicolas Batum,Nicolas Batum,201587,POR,148.0,2,-8.0,6,5,3,2,1.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
