EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PenaltyFG2M,PtsPutbacks,Fg3aBlocked,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg2Pct,FG3APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PtsUnassisted3s,Technical Free Throw Trips,DefensiveGoaltends,on,Arc3PctBlocked
1515,1610612739,Anthony Parker,Anthony Parker,1515,CLE,15682.0,261,26.0,517,525,137.0,125.0,45.0,1042,3.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,9.0,18.0,1.0,1.0,3.0,8.0,17.0,1.0,5.0,6.0,11.0,17.0,35.0,9.0,72.0,545,1.0,1.0,1.0,1.0,3.0,1.0,2.0,8.0,2.0,8.0,10.0,2.0,51.0,1.0,16.0,8.0,2.0,6.0,4.0,10.0,3.0,1.0,3.0,1.0,2.0,24.0,1.0,9.0,12.0,2.0,23.0,1.0,24.0,6.0,3.0,3.0,4.0,1.0,3.0,3.0,1.0,2.0,7.0,1.0,4.0,13.0,11.0,4.0,13.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,8.0,137.0,2.0,0.8333333333333334,0.8333333333333334,1.0,0.4857142857142857,0.25,0.5,0.5454545454545454,1.0,0.6847826086956522,0.5,0.3333333333333333,0.7058823529411765,0.75,0.4,0.7608695652173914,0.18181818181818182,0.4,10.13986013986014,0.5714285714285714,0.11764705882352941,0.061855670103092786,0.006993006993006993,0.16071428571428573,0.084,0.004761904761904762,0.023255813953488372,0.03508771929824561,0.10638297872340426,0.05555555555555555,0.16666666666666666,0.14285714285714285,1.0,0.10869565217391304,0.6,1.0,1.0,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.06521739130434782,0.6666666666666666,0.6666666666666666,0.5,0.391304347826087,0.5,0.5,1.0,0.3695652173913043,0.47058823529411764,0.47058823529411764,1.0,0.5,1.0,1.0,0.5,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.2,0.8695652173913043,0.5,0.5635277777777777,0.7585,0.5542250000000001,0.11764705882352941,0.2857142857142857,0.05405405405405406,0.041666666666666664,0.1111111111111111,7.627272727272728,24.691428571428577,0.26499032882011603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1712,1610612739,Antawn Jamison,Antawn Jamison,1712,CLE,18623.0,310,48.0,610,610,172.0,135.0,55.0,1220,29.0,42.0,6.0,10.0,6.0,11.0,23.0,6.0,17.0,1.0,6.0,2.0,,1.0,6.0,23.0,2.0,5.0,46.0,82.0,7.0,29.0,23.0,136.0,628,8.0,16.0,4.0,4.0,26.0,19.0,2.0,6.0,10.0,36.0,70.0,22.0,21.0,,23.0,6.0,7.0,8.0,3.0,11.0,3.0,,7.0,,1.0,25.0,8.0,14.0,34.0,7.0,55.0,14.0,69.0,6.0,3.0,3.0,8.0,1.0,6.0,9.0,2.0,,17.0,5.0,17.0,34.0,27.0,1.0,30.0,4.0,13.0,,9.0,7.0,,2.0,9.0,7.0,,36.0,172.0,3.0,0.7608695652173914,0.8536585365853658,1.0,0.2413793103448276,0.3333333333333333,0.2413793103448276,0.5609756097560976,0.5,0.509009009009009,0.55,0.52,0.5483870967741935,0.5909090909090909,0.5806451612903226,0.26126126126126126,0.08536585365853659,0.11904761904761904,20.88888888888889,0.47058823529411764,0.4117647058823529,0.14847161572052403,0.050314465408805034,0.208955223880597,0.16216216216216217,0.05327868852459016,,0.234375,0.15254237288135594,0.09433962264150944,0.2,0.22727272727272727,0.7777777777777778,0.3783783783783784,0.6904761904761905,0.7837837837837838,0.7241379310344828,0.2072072072072072,0.4782608695652174,0.5,0.7272727272727273,0.15315315315315314,0.35294117647058826,0.375,1.0,0.05405405405405406,0.16666666666666666,0.2,1.0,0.2072072072072072,0.2608695652173913,0.2608695652173913,1.0,0.5,0.6,0.16666666666666666,0.1,0.24,0.04,,0.2,0.4,0.6396396396396397,0.2608695652173913,0.5165252252252251,0.511628125,0.4683680000000001,0.10833333333333334,0.14285714285714285,,0.19117647058823528,0.2647058823529412,6.976829268292684,24.76896551724138,0.2819672131147541,4.0,1.0,1.0,2.0,2.0,10.0,10.0,1.0,5.0,1.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,0.5,0.5263157894736842,0.034482758620689655,0.043478260869565216,0.058823529411764705,0.16666666666666666,0.045454545454545456,0.058823529411764705,0.08928571428571429,0.057692307692307696,0.05084745762711865,0.07692307692307693,0.061224489795918366,0.5,1.0,0.1,0.5,1.0,0.6666666666666666,,,,True,
200081,1610612739,Jamario Moon,Jamario Moon,200081,CLE,3513.0,59,5.0,110,115,31.0,21.0,7.0,225,2.0,2.0,,,,,1.0,,,2.0,4.0,,2.0,3.0,4.0,6.0,,1.0,2.0,3.0,6.0,10.0,,22.0,122,,,1.0,,,,2.0,4.0,,6.0,4.0,,18.0,,6.0,4.0,,1.0,2.0,3.0,2.0,,1.0,,,8.0,,,8.0,,8.0,1.0,9.0,1.0,1.0,,,,,,,,,,2.0,6.0,2.0,,1.0,1.0,1.0,,4.0,2.0,,2.0,4.0,2.0,,6.0,31.0,1.0,1.0,1.0,1.0,0.6,0.5,0.6,0.6666666666666666,,0.8461538461538461,,0.75,0.8461538461538461,,0.75,0.7692307692307693,,,10.655737704918034,,,0.14545454545454545,,,0.13333333333333333,,,0.25,,0.14285714285714285,,,0.5,0.15384615384615385,1.0,1.0,1.0,0.07692307692307693,,,,,,,,0.3076923076923077,0.5,0.5,1.0,0.46153846153846156,0.6666666666666666,0.6666666666666666,1.0,,,,,,0.75,0.6666666666666666,0.25,,0.9230769230769231,0.6666666666666666,0.5532923076923077,0.54435,0.542475,0.07692307692307693,0.3333333333333333,,,0.2727272727272727,4.1000000000000005,24.119999999999997,0.2818181818181818,,,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,0.14285714285714285,,,,,,,,,1.0,,,,,,,True,
201581,1610612739,JJ Hickson,JJ Hickson,201581,CLE,3014.0,50,2.0,95,101,34.0,22.0,6.0,196,8.0,10.0,,,4.0,2.0,4.0,,1.0,,,,,,,,,,10.0,15.0,,,10.0,30.0,103,1.0,2.0,,,2.0,6.0,,,4.0,14.0,18.0,2.0,,,,,2.0,,1.0,1.0,1.0,,,,,3.0,1.0,2.0,2.0,,4.0,1.0,5.0,,,,,,,3.0,,1.0,3.0,,2.0,7.0,10.0,1.0,15.0,3.0,9.0,,,,,,,,,14.0,34.0,2.0,0.9,0.9,,,,,0.6666666666666666,0.5,0.6666666666666666,0.5,0.8333333333333334,0.7142857142857143,0.5,0.875,,0.13333333333333333,0.1,23.52941176470588,,,0.05128205128205128,0.041666666666666664,0.16666666666666666,0.0784313725490196,0.02857142857142857,0.09090909090909091,,0.09090909090909091,0.09090909090909091,0.14285714285714285,0.2,,0.6666666666666666,0.8,0.8888888888888888,0.875,0.26666666666666666,0.5,0.5,1.0,0.06666666666666667,,,,,,,,,,,,,,,,0.6666666666666666,,,,,0.6666666666666666,,0.5340466666666667,0.3473,0.5395333333333333,0.42857142857142855,0.42857142857142855,,0.06666666666666667,0.4666666666666667,3.573333333333333,,0.35789473684210527,4.0,,,,,5.0,,,,,,,,,1.0,2.0,,,,,,0.8333333333333334,,,1.0,,,,,,,,,,,,,,1.0,,,,True,
2590,1610612739,Mo Williams,Mo Williams,2590,CLE,24656.0,411,46.0,799,803,230.0,177.0,67.0,1602,11.0,19.0,,,6.0,8.0,21.0,16.0,35.0,2.0,10.0,,1.0,3.0,15.0,42.0,4.0,18.0,35.0,75.0,17.0,52.0,37.0,158.0,841,,1.0,1.0,,,20.0,5.0,21.0,16.0,55.0,28.0,42.0,42.0,,42.0,15.0,3.0,46.0,13.0,59.0,10.0,3.0,30.0,8.0,8.0,131.0,2.0,5.0,25.0,1.0,31.0,3.0,34.0,6.0,3.0,3.0,11.0,8.0,7.0,12.0,4.0,,23.0,6.0,21.0,35.0,32.0,4.0,46.0,2.0,15.0,,2.0,,1.0,1.0,2.0,2.0,,55.0,230.0,6.0,0.4,0.4,0.8235294117647058,0.3269230769230769,0.23809523809523808,0.3269230769230769,0.4666666666666667,,0.4763779527559055,,0.47560975609756095,0.5241379310344828,,0.54,0.4094488188976378,0.04,0.10526315789473684,19.047619047619047,0.4782608695652174,0.043478260869565216,0.08116883116883117,0.0091324200913242,0.05952380952380952,0.07653061224489796,0.009287925696594427,,0.08163265306122448,0.12658227848101267,0.05343511450381679,0.03278688524590164,0.13043478260869565,1.0,0.14960629921259844,0.5789473684210527,0.6470588235294118,0.2727272727272727,0.16535433070866143,0.38095238095238093,0.38095238095238093,0.375,0.2755905511811024,0.45714285714285713,0.47058823529411764,0.5,0.07874015748031496,0.2,0.2,1.0,0.33070866141732286,0.35714285714285715,0.35714285714285715,0.8,,,,,0.14634146341463414,0.07317073170731707,0.3333333333333333,0.43902439024390244,0.2222222222222222,0.5590551181102362,0.35714285714285715,0.49030314960629917,0.3405,0.4740097560975611,0.10714285714285714,0.17045454545454544,,,0.34810126582278483,11.545333333333334,24.984615384615385,0.2878598247809762,5.0,,,1.0,,12.0,,,1.0,,1.0,3.0,,,3.0,,1.0,5.0,,5.0,,0.6,,,0.02857142857142857,,,0.009615384615384616,,0.02702702702702703,,0.03333333333333333,0.014492753623188406,,,0.5,,,0.8333333333333334,9.0,8.0,,True,
2544,1610612739,LeBron James,LeBron James,2544,CLE,21515.0,359,63.0,704,703,225.0,170.0,61.0,1407,40.0,59.0,1.0,2.0,23.0,10.0,20.0,14.0,38.0,,4.0,1.0,,1.0,14.0,30.0,2.0,8.0,64.0,117.0,14.0,34.0,64.0,234.0,727,2.0,3.0,2.0,3.0,10.0,40.0,2.0,9.0,35.0,87.0,46.0,82.0,21.0,,30.0,14.0,10.0,42.0,23.0,65.0,13.0,10.0,30.0,5.0,7.0,153.0,6.0,17.0,54.0,5.0,76.0,9.0,85.0,16.0,8.0,8.0,21.0,5.0,12.0,13.0,9.0,,34.0,17.0,8.0,18.0,61.0,,86.0,12.0,38.0,,16.0,10.0,1.0,5.0,16.0,9.0,,87.0,225.0,1.0,0.359375,0.36507936507936506,0.5,0.4117647058823529,0.2222222222222222,0.4117647058823529,0.5470085470085471,0.6666666666666666,0.5629139072847682,0.7,0.5306122448979592,0.6223404255319149,0.625,0.6304347826086957,0.2251655629139073,0.08547008547008547,0.13559322033898305,28.442728442728445,0.6176470588235294,0.23809523809523808,0.2,0.03225806451612903,0.22077922077922077,0.20461095100864554,0.028469750889679714,0.01639344262295082,0.12195121951219512,0.16666666666666666,0.27586206896551724,0.2,0.2727272727272727,0.5625,0.39072847682119205,0.6779661016949152,0.7843137254901961,0.375,0.13245033112582782,0.5,0.5555555555555556,0.3,0.25165562913907286,0.3684210526315789,0.3684210526315789,0.35714285714285715,0.026490066225165563,,,,0.1986754966887417,0.4666666666666667,0.4666666666666667,0.5,0.4,0.5,,0.2,0.46938775510204084,0.02040816326530612,,0.16326530612244897,0.25,0.6158940397350994,0.4666666666666667,0.5187672185430463,0.5544666666666668,0.5151887755102041,0.21468926553672316,0.26573426573426573,,0.042735042735042736,0.3717948717948718,8.391452991452992,25.294117647058822,0.3196022727272727,17.0,,1.0,1.0,1.0,23.0,2.0,,2.0,1.0,4.0,,3.0,1.0,,5.0,1.0,11.0,,9.0,0.5,0.575,,0.1,,,0.03333333333333333,0.021052631578947368,0.06153846153846154,0.016666666666666666,0.030303030303030304,,0.06349206349206349,,,0.2,1.0,,0.7391304347826086,21.0,,1.0,True,
2753,1610612739,Delonte West,Delonte West,2753,CLE,9887.0,165,20.0,311,311,98.0,78.0,25.0,622,6.0,8.0,2.0,2.0,3.0,4.0,8.0,9.0,17.0,1.0,3.0,,1.0,3.0,1.0,6.0,,,19.0,33.0,2.0,9.0,11.0,55.0,334,3.0,4.0,1.0,,9.0,6.0,1.0,3.0,4.0,15.0,8.0,30.0,6.0,,6.0,1.0,2.0,15.0,3.0,18.0,2.0,1.0,11.0,3.0,1.0,39.0,2.0,1.0,6.0,,7.0,5.0,12.0,8.0,5.0,3.0,8.0,2.0,7.0,6.0,1.0,,14.0,2.0,4.0,12.0,10.0,,12.0,1.0,3.0,1.0,2.0,2.0,,,2.0,,,15.0,98.0,4.0,0.21052631578947367,0.2222222222222222,1.0,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.5757575757575758,0.75,0.5238095238095238,0.9,0.6111111111111112,0.5851063829787234,0.9,0.6818181818181818,0.21428571428571427,0.06060606060606061,0.125,17.83625730994152,0.5714285714285714,,0.04838709677419355,0.02564102564102564,0.03125,0.04487179487179487,0.04201680672268908,0.04,,0.06060606060606061,0.09302325581395349,0.047619047619047616,,,0.19047619047619047,0.75,0.8571428571428571,0.16666666666666666,0.19047619047619047,0.5,0.5714285714285714,,0.40476190476190477,0.5294117647058824,0.5294117647058824,0.3333333333333333,0.07142857142857142,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.16666666666666666,0.16666666666666666,1.0,0.4,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,0.40476190476190477,0.16666666666666666,0.47684285714285707,0.5392,0.5520277777777778,0.08888888888888889,0.08571428571428572,0.1,0.16363636363636364,0.2727272727272727,12.10909090909091,24.53333333333333,0.31511254019292606,2.0,,1.0,1.0,1.0,4.0,2.0,,3.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,,2.0,1.0,0.6666666666666666,,0.125,,,,0.07317073170731707,,0.041666666666666664,0.09375,,0.05263157894736842,,,0.2,1.0,1.0,0.6666666666666666,,,,True,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,10254.0,171,43.0,326,326,132.0,109.0,25.0,652,13.0,23.0,,4.0,3.0,2.0,11.0,1.0,2.0,,,,,,,1.0,,1.0,16.0,36.0,,1.0,20.0,52.0,336,1.0,6.0,,2.0,4.0,10.0,,1.0,8.0,18.0,28.0,4.0,,,1.0,,3.0,4.0,,4.0,,,1.0,1.0,2.0,8.0,10.0,5.0,26.0,4.0,35.0,13.0,48.0,7.0,4.0,3.0,3.0,1.0,1.0,5.0,2.0,,8.0,2.0,15.0,29.0,21.0,4.0,26.0,1.0,10.0,,8.0,7.0,,1.0,8.0,4.0,,18.0,132.0,4.0,0.875,0.9333333333333333,,,,,0.4444444444444444,0.16666666666666666,0.43243243243243246,0.16666666666666666,0.45454545454545453,0.52,0.2857142857142857,0.5,0.02702702702702703,0.08333333333333333,0.08695652173913043,15.789473684210527,0.375,0.25,0.20967741935483872,0.11627906976744186,0.13513513513513514,0.19254658385093168,0.09230769230769231,0.04,0.15384615384615385,0.2222222222222222,0.26666666666666666,0.15625,,0.5,0.6216216216216216,0.5652173913043478,0.6190476190476191,1.0,0.2972972972972973,0.18181818181818182,0.2,,0.05405405405405406,0.5,0.5,1.0,,,,,0.02702702702702703,,,,0.6666666666666666,,,,0.2727272727272727,,,0.09090909090909091,,0.6486486486486487,,0.5344716216216217,0.5654833333333333,0.47125909090909085,0.21739130434782608,0.2222222222222222,,0.07692307692307693,0.34615384615384615,4.380555555555556,24.7,0.4049079754601227,3.0,,,,,5.0,2.0,,2.0,1.0,2.0,,1.0,2.0,3.0,3.0,3.0,4.0,,4.0,,0.5,,0.09090909090909091,,,0.05555555555555555,0.045454545454545456,0.16,0.1388888888888889,0.0625,,0.1111111111111111,,,,,,1.0,,,,True,
406,1610612739,Shaquille O'Neal,Shaquille O'Neal,406,CLE,13467.0,224,-11.0,436,436,59.0,38.0,39.0,872,37.0,59.0,11.0,19.0,7.0,8.0,29.0,,,,,,,,,,,,45.0,88.0,,,29.0,119.0,466,11.0,22.0,,3.0,25.0,9.0,,,6.0,18.0,50.0,40.0,,,,,4.0,10.0,4.0,14.0,4.0,,4.0,2.0,4.0,32.0,13.0,5.0,32.0,,37.0,21.0,58.0,2.0,1.0,1.0,7.0,2.0,4.0,15.0,3.0,1.0,22.0,1.0,20.0,33.0,37.0,,41.0,5.0,21.0,,13.0,7.0,3.0,3.0,13.0,8.0,2.0,18.0,59.0,,0.5555555555555556,0.6097560975609756,,,,,0.5113636363636364,0.5,0.5113636363636364,0.5,0.6666666666666666,0.5613207547169812,0.5208333333333334,0.6428571428571429,,0.045454545454545456,0.05084745762711865,26.446280991735538,0.3181818181818182,,0.19753086419753085,0.0962962962962963,0.11627906976744186,0.18048780487804877,0.1111111111111111,0.02702702702702703,0.125,0.13636363636363635,0.2692307692307692,0.12903225806451613,0.08333333333333333,0.6153846153846154,0.6704545454545454,0.6271186440677966,0.6607142857142857,0.5945945945945946,0.32954545454545453,0.27586206896551724,0.2857142857142857,0.375,,,,,,,,,,,,,0.8636363636363636,0.5789473684210527,0.36363636363636365,,0.7777777777777778,,,,,0.6704545454545454,,0.5446806818181817,0.57468125,0.6163555555555554,0.20192307692307693,0.20192307692307693,,0.21008403361344538,0.15126050420168066,3.123863636363636,,0.1353211009174312,5.0,,,,,6.0,8.0,,8.0,,6.0,,3.0,,1.0,8.0,2.0,2.0,1.0,1.0,,0.6666666666666666,,0.034482758620689655,,,,0.14814814814814814,0.18867924528301888,0.044444444444444446,0.14285714285714285,0.15789473684210525,0.15384615384615385,,,,,,0.7142857142857143,,,,True,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,2516.0,42,-5.0,83,81,32.0,10.0,5.0,164,2.0,2.0,1.0,1.0,1.0,,,2.0,5.0,,,,,,,,,,4.0,7.0,,,1.0,9.0,93,1.0,1.0,,,2.0,4.0,,,1.0,5.0,6.0,2.0,,,,,,2.0,,2.0,,,1.0,,1.0,4.0,1.0,,1.0,1.0,2.0,2.0,4.0,,,,,,,,,,,,3.0,6.0,2.0,,1.0,1.0,1.0,,4.0,3.0,,1.0,4.0,1.0,,5.0,32.0,1.0,0.75,1.0,,,,,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5,0.6428571428571429,1.0,0.625,,,,7.865168539325842,,0.3333333333333333,0.030303030303030304,0.04,,0.025,0.06060606060606061,,,,0.07692307692307693,,,0.25,0.2857142857142857,1.0,1.0,0.5,,,,,0.7142857142857143,0.4,0.4,1.0,,,,,,,,,1.0,1.0,,,0.25,,,,,0.2857142857142857,,0.4723428571428571,0.6529,0.46545,0.14285714285714285,0.14285714285714285,,0.2222222222222222,0.5555555555555556,14.214285714285714,,0.3855421686746988,1.0,,,,,2.0,2.0,,1.0,,,,,,,,1.0,,,,,0.5,,,,,,0.125,,0.14285714285714285,0.14285714285714285,,,,,,,,1.0,,,,True,
