EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3Assists,LongMidRangeAssists,Loose Ball Fouls,Offensive Fouls,3SecondViolations,SecondChanceCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,ShortMidRangeAssists,LostBallSteals,LostBallTurnovers,Travels,Blocked2s,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,PenaltyFg3Pct,ShortMidRangePctBlocked,BlocksRecoveredPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,Fg3aBlocked,StepOutOfBoundsTurnovers,BlockedAtRim,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on
101141,1610612749,Ersan Ilyasova,Ersan Ilyasova,101141,MIL,5627.0,94,-7.0,168,170,62,50,28.0,338,6.0,13.0,3.0,8.0,4.0,8.0,3.0,5.0,3.0,7.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,12.0,25.0,2.0,6.0,7.0,37.0,186,4.0,10.0,1.0,3.0,11.0,6.0,12.0,2.0,2.0,14.0,16.0,8.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,7.0,2.0,4.0,14.0,4.0,22.0,15.0,37.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,8.0,10.0,9.0,1.0,2.0,7.0,1.0,3.0,1.0,14.0,62,1.0,0.6666666666666666,0.8,1.0,0.3333333333333333,0.3333333333333333,0.48,0.4,0.5,0.4838709677419355,0.36363636363636365,0.42857142857142855,0.5441176470588235,0.4583333333333333,0.4666666666666667,0.1935483870967742,0.04,0.07692307692307693,18.40796019900498,0.3333333333333333,0.5,0.5,0.21875,0.10606060606060606,0.23529411764705882,0.2,0.2222222222222222,0.13541666666666666,0.1111111111111111,0.2,0.06896551724137931,0.18181818181818182,0.25,0.25,0.125,0.25,0.2,0.2857142857142857,0.125,0.41935483870967744,0.46153846153846156,0.5,0.6666666666666666,0.16129032258064516,0.6,0.6,0.3333333333333333,0.22580645161290322,0.42857142857142855,0.42857142857142855,1.0,0.06451612903225806,0.5,0.5,1.0,0.12903225806451613,0.25,0.25,1.0,0.7272727272727273,0.375,0.3333333333333333,0.09090909090909091,0.5714285714285714,0.5,0.07142857142857142,0.07142857142857142,0.6129032258064516,0.25,0.5106274193548388,0.5523277777777778,0.5195321428571428,0.09090909090909091,0.1111111111111111,0.2972972972972973,0.3783783783783784,6.855999999999999,25.066666666666666,0.36904761904761907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201601,1610612749,Luc Mbah a Moute,Luc Mbah a Moute,201601,MIL,9190.0,153,-23.0,262,266,32,25,43.0,528,23.0,35.0,7.0,9.0,2.0,5.0,,3.0,1.0,4.0,,,,,1.0,1.0,,24.0,42.0,,1.0,12.0,60.0,300,7.0,10.0,1.0,4.0,18.0,2.0,6.0,,1.0,5.0,28.0,20.0,,10.0,1.0,,4.0,3.0,2.0,5.0,1.0,1.0,12.0,3.0,9.0,,,18.0,1.0,19.0,12.0,31.0,,2.0,2.0,1.0,1.0,1.0,4.0,,5.0,,1.0,2.0,14.0,13.0,1.0,,20.0,4.0,12.0,,5.0,32,,0.5833333333333334,0.7368421052631579,,,,0.5714285714285714,0.7,0.3333333333333333,0.5581395348837209,0.6363636363636364,0.3333333333333333,0.5882352941176471,0.6923076923076923,0.35714285714285715,0.023255813953488372,0.09523809523809523,0.11428571428571428,18.006430868167204,0.2,0.5,,0.16071428571428573,0.08737864077669903,,0.07142857142857142,0.13333333333333333,0.08275862068965517,0.08888888888888889,0.1111111111111111,0.075,0.058823529411764705,0.125,0.1875,0.14705882352941177,0.15217391304347827,,,,0.813953488372093,0.6571428571428571,0.7419354838709677,0.5652173913043478,0.06976744186046512,,,,0.09302325581395349,0.25,0.25,1.0,,,,,0.023255813953488372,,,,0.8181818181818182,0.7777777777777778,0.14285714285714285,0.09090909090909091,0.8333333333333334,0.4,,,0.8372093023255814,,0.5409802325581395,0.5744333333333334,0.5179833333333334,0.23529411764705882,0.24,0.3,0.08333333333333333,3.0285714285714285,25.7,0.12213740458015267,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
201943,1610612749,Brandon Jennings,Brandon Jennings,201943,MIL,14961.0,249,-14.0,437,440,101,79,69.0,877,21.0,43.0,2.0,3.0,7.0,13.0,8.0,13.0,8.0,23.0,,2.0,,12.0,39.0,5.0,7.0,37.0,79.0,12.0,41.0,21.0,131.0,488,3.0,4.0,6.0,,18.0,10.0,18.0,7.0,13.0,39.0,10.0,64.0,15.0,2.0,38.0,12.0,14.0,16.0,9.0,25.0,5.0,9.0,59.0,1.0,4.0,,4.0,12.0,,16.0,5.0,21.0,,8.0,2.0,5.0,1.0,1.0,3.0,,8.0,2.0,3.0,9.0,19.0,24.0,,2.0,26.0,2.0,7.0,7.0,39.0,101,6.0,0.13513513513513514,0.1388888888888889,0.4166666666666667,0.2926829268292683,0.3,0.46835443037974683,0.75,0.5555555555555556,0.4583333333333333,0.9,0.52,0.4962121212121212,0.9,0.5909090909090909,0.3416666666666667,0.17721518987341772,0.27906976744186046,27.184466019417474,0.625,,,0.06818181818181818,0.023809523809523808,0.10526315789473684,0.014705882352941176,0.07476635514018691,0.0211864406779661,0.0547945205479452,,,0.019230769230769232,,0.03571428571428571,0.10416666666666667,0.06944444444444445,0.16,,,0.35833333333333334,0.4883720930232558,0.6774193548387096,0.23809523809523808,0.10833333333333334,0.6153846153846154,0.7272727272727273,,0.19166666666666668,0.34782608695652173,0.34782608695652173,,0.016666666666666666,,,,0.325,0.3076923076923077,0.3076923076923077,0.4166666666666667,0.3,0.6666666666666666,0.5,0.5,0.52,0.5384615384615384,,0.28,0.7,0.3157894736842105,0.5060357142857143,0.4906166666666667,0.5161770833333333,0.056,0.08333333333333333,0.13740458015267176,0.29770992366412213,7.1873417721519,25.860975609756096,0.2311212814645309,4.0,6.0,,,,1.0,4.0,2.0,4.0,2.0,21.0,1.0,1.0,6.0,4.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,0.6666666666666666,0.2857142857142857,0.15384615384615385,0.25,0.1,0.8,0.75,0.2857142857142857,,,,,,,,,,,,,,True
2056,1610612749,Primoz Brezec,Primoz Brezec,2056,MIL,865.0,14,,24,24,14,10,6.0,48,1.0,1.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,4.0,,,,2.0,19,,,,,,1.0,4.0,,,2.0,2.0,,,,,,,,,,,,,,1.0,,,2.0,,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,2.0,2.0,1.0,,,,,,,2.0,14,,1.0,1.0,,,,0.25,,0.25,0.25,,0.25,0.25,,0.25,,,,12.5,,,,0.15384615384615385,0.07692307692307693,,,0.13333333333333333,0.05555555555555555,,0.3333333333333333,,,,0.2,,0.14285714285714285,,,,0.25,1.0,1.0,1.0,0.25,,,,0.5,,,,,,,,,,,,,,,,0.25,1.0,,,0.25,,0.432625,,0.432625,,,,1.0,9.3,,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2422,1610612749,John Salmons,John Salmons,2422,MIL,14025.0,234,1.0,409,408,94,69,66.0,817,14.0,27.0,1.0,2.0,1.0,2.0,7.0,13.0,12.0,25.0,1.0,4.0,1.0,3.0,16.0,1.0,3.0,33.0,65.0,4.0,20.0,24.0,102.0,449,4.0,7.0,3.0,2.0,10.0,7.0,11.0,4.0,17.0,34.0,16.0,50.0,12.0,2.0,16.0,3.0,9.0,16.0,8.0,24.0,4.0,10.0,56.0,1.0,6.0,,4.0,11.0,1.0,16.0,7.0,23.0,1.0,6.0,3.0,7.0,1.0,5.0,3.0,,10.0,2.0,,5.0,18.0,19.0,,1.0,25.0,1.0,7.0,6.0,34.0,94,6.0,0.24242424242424243,0.25,1.0,0.2,0.2,0.5076923076923077,0.5714285714285714,0.6363636363636364,0.4588235294117647,0.4,0.5666666666666667,0.5257731958762887,0.45454545454545453,0.7083333333333334,0.23529411764705882,0.13846153846153847,0.2962962962962963,22.15320910973085,0.7,0.125,,0.06666666666666667,0.0379746835443038,0.11428571428571428,0.016129032258064516,0.075,0.031818181818181815,0.05970149253731343,0.03571428571428571,0.015873015873015872,0.020833333333333332,,0.07547169811320754,,0.1044776119402985,0.12,0.1,0.02631578947368421,0.3176470588235294,0.5185185185185185,0.7368421052631579,0.14285714285714285,0.15294117647058825,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.29411764705882354,0.48,0.5,0.4166666666666667,0.047058823529411764,0.25,0.25,1.0,0.18823529411764706,0.1875,0.2,1.0,0.2,0.5,,0.1,0.13333333333333333,0.5,0.06666666666666667,0.2,0.5529411764705883,0.1875,0.47887882352941186,0.47264285714285714,0.43084,0.07692307692307693,0.09859154929577464,0.09803921568627451,0.3333333333333333,9.100000000000001,25.145000000000003,0.22982885085574573,4.0,5.0,,1.0,,2.0,,1.0,,1.0,,,1.0,3.0,2.0,,2.0,,,,1.0,2.0,,2.0,,0.25,,,0.2,,,0.3333333333333333,1.0,1.0,1.0,0.05,0.04,0.0625,,,,,,,,True
2557,1610612749,Luke Ridnour,Luke Ridnour,2557,MIL,2492.0,42,-14.0,72,72,26,15,13.0,144,1.0,3.0,,1.0,1.0,2.0,,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,,,4.0,9.0,2.0,4.0,5.0,19.0,89,1.0,3.0,,,2.0,2.0,4.0,1.0,1.0,8.0,,8.0,6.0,,3.0,1.0,,5.0,,5.0,,4.0,10.0,1.0,,,2.0,1.0,,3.0,1.0,4.0,,3.0,2.0,2.0,1.0,2.0,1.0,,3.0,,2.0,,,5.0,,,6.0,,2.0,1.0,8.0,26,1.0,,,1.0,0.5,0.5,0.4444444444444444,0.3333333333333333,0.5,0.5384615384615384,0.3333333333333333,0.7,0.59375,0.3333333333333333,0.6666666666666666,0.3076923076923077,,,21.34831460674157,0.6666666666666666,,,0.05555555555555555,,0.2857142857142857,0.1,0.12,0.023255813953488372,,,,0.2,,,0.14285714285714285,,,0.6666666666666666,,0.23076923076923078,0.3333333333333333,0.3333333333333333,,0.07692307692307693,,,,0.38461538461538464,0.6,0.6,,0.07692307692307693,1.0,1.0,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,0.4,0.5,0.2,,0.5384615384615384,0.3333333333333333,0.4604538461538462,0.3889333333333333,0.47497000000000006,0.13333333333333333,0.18181818181818182,0.10526315789473684,0.42105263157894735,11.666666666666666,24.75,0.3611111111111111,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,True
2568,1610612749,Carlos Delfino,Carlos Delfino,2568,MIL,10823.0,180,-39.0,313,317,70,42,48.0,630,6.0,14.0,2.0,3.0,,3.0,1.0,6.0,,8.0,7.0,17.0,3.0,5.0,10.0,1.0,1.0,7.0,28.0,12.0,27.0,3.0,53.0,371,2.0,5.0,4.0,,7.0,,5.0,4.0,1.0,7.0,6.0,8.0,36.0,,10.0,5.0,4.0,9.0,2.0,11.0,1.0,4.0,24.0,,1.0,1.0,3.0,14.0,1.0,18.0,2.0,20.0,,4.0,1.0,7.0,,6.0,2.0,,9.0,,1.0,2.0,12.0,9.0,,1.0,4.0,,1.0,1.0,7.0,70,1.0,0.42857142857142855,0.42857142857142855,1.0,0.4444444444444444,0.4444444444444444,0.25,0.4,,0.45454545454545453,0.3888888888888889,0.3333333333333333,0.4649122807017544,0.3888888888888889,0.35,0.4909090909090909,0.14285714285714285,0.2857142857142857,17.934782608695652,0.7777777777777778,0.25,0.16666666666666666,0.1076923076923077,0.00819672131147541,0.11538461538461539,,0.10897435897435898,0.005917159763313609,,0.045454545454545456,,,,0.1,0.18421052631578946,0.057692307692307696,0.1111111111111111,0.125,,0.2545454545454545,0.42857142857142855,0.6,0.5,0.10909090909090909,0.16666666666666666,0.16666666666666666,,0.14545454545454545,,,,0.3090909090909091,0.4117647058823529,0.4375,1.0,0.18181818181818182,0.5,0.5,1.0,0.3333333333333333,0.6666666666666666,1.0,0.1111111111111111,0.3333333333333333,,0.3333333333333333,0.1111111111111111,0.7454545454545455,0.5,0.5278740740740742,0.4950428571428572,0.5102333333333333,0.017857142857142856,0.034482758620689655,0.1320754716981132,0.1320754716981132,6.889285714285715,24.35555555555555,0.22364217252396165,1.0,4.0,,1.0,,3.0,,1.0,1.0,2.0,,,1.0,3.0,1.0,1.0,2.0,,,1.0,,2.0,,2.0,0.25,0.5,,,0.3333333333333333,,,1.0,1.0,,1.0,0.037037037037037035,,,1.0,0.3333333333333333,1.0,1.0,0.058823529411764705,0.3333333333333333,1.0,True
703,1610612749,Kurt Thomas,Kurt Thomas,703,MIL,10056.0,168,26.0,295,295,55,33,41.0,590,4.0,5.0,1.0,2.0,,,3.0,7.0,8.0,20.0,,,,,,,,15.0,32.0,,,4.0,34.0,326,3.0,6.0,,2.0,8.0,,1.0,,3.0,3.0,26.0,4.0,,2.0,,,,5.0,5.0,10.0,2.0,3.0,25.0,2.0,7.0,,3.0,35.0,1.0,39.0,9.0,48.0,,3.0,3.0,1.0,1.0,1.0,7.0,,8.0,1.0,2.0,10.0,22.0,10.0,3.0,4.0,5.0,,,3.0,3.0,55,2.0,0.8666666666666667,0.9285714285714286,,,,0.46875,0.5,,0.46875,0.5,,0.4857142857142857,0.5714285714285714,0.5,,,,12.42603550295858,0.125,0.25,,0.28225806451612906,0.0707070707070707,0.12,0.047619047619047616,0.2550335570469799,0.06382978723404255,0.07692307692307693,0.16666666666666666,0.023809523809523808,0.030303030303030304,0.1111111111111111,0.19444444444444445,0.2571428571428571,0.3584905660377358,0.16666666666666666,,,0.15625,0.8,0.8,0.75,0.21875,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.625,0.4,0.4,1.0,,,,,,,,,0.3333333333333333,0.5,,,,,,,0.15625,,0.44120937499999996,0.4721666666666667,0.3325,,,0.23529411764705882,0.08823529411764706,13.112499999999997,,0.1864406779661017,3.0,1.0,2.0,6.0,,,,,,,,,1.0,,,,2.0,,,,,2.0,1.0,3.0,,,,0.5,,,,,,,2.0,,,,,,,,,,,True
711,1610612749,Jerry Stackhouse,Jerry Stackhouse,711,MIL,4614.0,77,17.0,139,141,38,51,19.0,280,4.0,9.0,,1.0,,1.0,,1.0,2.0,7.0,4.0,5.0,,,3.0,,1.0,6.0,17.0,4.0,8.0,8.0,32.0,137,,2.0,,,,,2.0,1.0,2.0,2.0,6.0,6.0,12.0,,3.0,,2.0,2.0,2.0,4.0,,2.0,10.0,,1.0,,,4.0,2.0,6.0,1.0,7.0,,3.0,3.0,,,,1.0,1.0,1.0,,,,1.0,6.0,,,10.0,,5.0,,2.0,38,,0.5,0.5,1.0,0.5,0.5,0.35294117647058826,,,0.48,,,0.5333333333333333,,0.25,0.32,0.11764705882352941,0.2222222222222222,19.49685534591195,,0.3333333333333333,,0.06896551724137931,0.02127659574468085,,,0.05714285714285714,0.014084507042253521,0.045454545454545456,,,,,0.05263157894736842,,0.10714285714285714,,,,0.36,0.4444444444444444,0.5714285714285714,0.5,0.04,,,,0.28,0.2857142857142857,0.2857142857142857,0.5,0.2,0.8,0.8,1.0,0.12,,,,0.5,,,,0.3333333333333333,,,0.3333333333333333,0.68,,0.529842,0.45645,0.4406999999999999,0.16666666666666666,0.22727272727272727,,0.0625,8.023529411764706,24.125,0.2733812949640288,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,0.125,,0.3333333333333333,,,,,,,,True
2429,1610612749,Dan Gadzuric,Dan Gadzuric,2429,MIL,2103.0,35,-19.0,64,64,11,18,12.0,128,1.0,4.0,,1.0,,,,1.0,1.0,3.0,,,,,,,,2.0,8.0,,,,4.0,73,,2.0,,,,1.0,3.0,,,2.0,4.0,,,,,,1.0,,,,,,,,3.0,,,5.0,,5.0,3.0,8.0,,1.0,,2.0,,2.0,2.0,,4.0,1.0,1.0,6.0,8.0,1.0,1.0,,,,,,2.0,11,,1.0,1.0,,,,0.25,,0.3333333333333333,0.25,,0.3333333333333333,0.25,,0.3333333333333333,,0.125,0.25,15.584415584415584,0.5,,,0.25,0.0967741935483871,,,0.2,0.07317073170731707,0.0625,,0.18181818181818182,,,0.1111111111111111,0.2,0.5,,,,0.5,0.25,0.3333333333333333,1.0,0.125,,,,0.375,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,0.5,,,,,,,,0.5,,0.4143875,0.46665,0.39346666666666663,,,,0.5,7.55,,0.171875,,,1.0,,1.0,,,,,,,,,1.0,,,2.0,,,,,2.0,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,True
