EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,FoulsDrawn,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,Usage,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,LongMidRangeAssists,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,Steals,BadPassSteals,LostBallSteals,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassTurnovers,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,PenaltyPointsPct,SecondChanceTurnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,FtPoints,FTA,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,OffThreePtRebounds,BlockedAtRim,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,HeaveAttempts,AtRimAssists,ShortMidRangeAssists,FTDefRebounds,SelfOReb,SecondChanceFg3Pct,DefFTReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,on,PenaltyCorner3FGA,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PenaltyFtPoints,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,PenaltyCorner3FGM,PtsUnassisted3s,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers
101107,1610612737,Marvin Williams,Marvin Williams,101107,ATL,290.0,5.0,-3.0,7.0,8.0,1.0,15,1.0,1.0,1.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.5,0.5,1.0,25.0,0.5,0.5,1.0,1.0,0.5,0.4716,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612737,Jamal Crawford,Jamal Crawford,2037,ATL,1346.0,22.0,-5.0,41.0,43.0,8.0,84,1.0,1.0,6.0,3.0,9.0,12.0,45.0,,1.0,,1.0,,2.0,,0.3333333333333333,0.46153846153846156,0.46153846153846156,0.1111111111111111,,34.0,0.07692307692307693,0.46153846153846156,0.16666666666666666,0.2,0.38461538461538464,0.4762692307692307,14.100000000000001,2.0,8.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,6.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.3076923076923077,0.16666666666666666,0.25,0.15384615384615385,0.10526315789473684,0.25,1.0,1.0,1.0,0.15384615384615385,0.5,0.5,1.0,1.0,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.07692307692307693,1.0,1.0,1.0,1.0,0.43655,0.3973,23.725,0.04878048780487805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612737,Maurice Evans,Maurice Evans,2230,ATL,1081.0,18.0,-11.0,31.0,33.0,7.0,64,2.0,,,,2.0,,38.0,,1.0,1.0,1.0,,3.0,,,,,0.5,0.5,5.128205128205128,1.0,,,,1.0,0.723,0.75,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06451612903225806,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,1610612737,Zaza Pachulia,Zaza Pachulia,2585,ATL,1160.0,19.0,-9.0,34.0,37.0,7.0,71,4.0,,1.0,3.0,6.0,6.0,38.0,6.0,2.0,,,,,2.0,0.5,0.5,0.5,0.3333333333333333,0.25,16.666666666666668,0.6666666666666666,0.16666666666666666,,,0.6666666666666666,0.45448333333333335,5.216666666666666,2.0,8.0,3.0,,1.0,,,,,,,3.0,1.0,,,,,,,4.0,5.0,7.0,1.0,,,,1.0,1.0,3.0,,2.0,,,,,,,1.0,1.0,0.3076923076923077,0.29411764705882354,0.2222222222222222,0.75,1.0,,0.16666666666666666,,,,,,,,,,,,,,0.5059666666666667,0.6564,,0.058823529411764705,,,,,3.0,3.0,1.0,1.0,3.0,6.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11764705882352941,0.25,0.1,0.25,0.1111111111111111,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,1610612737,Joe Smith,Joe Smith,693,ATL,1419.0,24.0,-7.0,42.0,45.0,8.0,87,1.0,,2.0,,3.0,,47.0,,1.0,,,,,,,,,0.3333333333333333,1.0,7.8431372549019605,0.3333333333333333,0.6666666666666666,,,0.3333333333333333,0.40359999999999996,10.666666666666666,2.0,8.0,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,,,,,,,,1.0,0.07142857142857142,0.05,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,0.047619047619047616,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.05263157894736842,,0.043478260869565216,,0.1,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,1610612737,Mike Bibby,Mike Bibby,1710,ATL,314.0,5.0,9.0,10.0,10.0,1.0,20,,,,,,2.0,4.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,,,9.090909090909092,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,0.2857142857142857,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,0.5,,0.5,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,1610612737,Al Horford,Al Horford,201143,ATL,252.0,4.0,2.0,7.0,8.0,1.0,15,1.0,1.0,1.0,2.0,2.0,4.0,9.0,,,,,,,,1.0,1.0,1.0,,,25.0,0.5,0.5,1.0,1.0,0.5,0.58645,8.8,,,1.0,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,1610612737,Joe Johnson,Joe Johnson,2207,ATL,1024.0,17.0,1.0,31.0,34.0,7.0,65,2.0,1.0,3.0,5.0,9.0,14.0,27.0,10.0,,,4.0,,8.0,1.0,0.5555555555555556,0.5,0.5,,,35.8974358974359,0.15384615384615385,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.46153846153846156,0.48003333333333337,9.944444444444445,2.0,8.0,2.0,2.0,4.0,,1.0,1.0,3.0,1.0,4.0,1.0,,,3.0,2.0,1.0,4.0,1.0,2.0,5.0,8.0,,,,,,1.0,1.0,,2.0,,,1.0,0.25,0.3333333333333333,0.3076923076923077,,,0.15384615384615385,0.21052631578947367,0.125,1.0,1.0,,0.3076923076923077,0.5,0.5,,,0.07692307692307693,,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.5,0.600175,,30.325000000000003,0.06451612903225806,,,,,1.0,1.0,,,1.0,5.0,,,,3.0,2.0,3.0,,,,,1.0,,0.8333333333333334,,0.8333333333333334,,0.1875,0.3333333333333333,0.15789473684210525,0.3333333333333333,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,,0.35714285714285715,,,,,,,,1.0,2.0,1.0,0.07142857142857142,0.1,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201952,1610612737,Jeff Teague,Jeff Teague,201952,ATL,190.0,3.0,-10.0,6.0,6.0,,12,,,1.0,,1.0,,12.0,,,,,,,,,,,,,33.333333333333336,,1.0,,,,0.3896,16.2,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201238,1610612737,Mario West,Mario West,201238,ATL,12.0,,-2.0,,1.0,,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
