EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,PenaltyOffPossExcludingTakeFouls,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,FTOffRebounds,DefThreePtRebounds,OffRebounds,OffFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,ThreePtAssists,Assists,Arc3Assists,AssistPoints,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,AtRimAssists,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,AtRimFGM,AtRimFGA,FG2M,PtsAssisted2s,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,on,PenaltyDefPoss,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,FtPoints,SecondChanceFG2A,SecondChanceFtPoints,PenaltyFG2A,PenaltyFtPoints,PtsUnassisted2s,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PenaltyFG2M,PtsPutbacks,LongMidRangeAssists,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg2Pct,PenaltyFg2Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,ShortMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,Corner3Assists,StepOutOfBoundsTurnovers,Corner3FGA,PtsUnassisted3s,Corner3Frequency,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedCorner3,OffensiveGoaltends
101124,1610612741,Hakim Warrick,Hakim Warrick,101124,CHI,135.0,2,3.0,5,6,1,1,11,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,33.333333333333336,0.5,0.3333333333333333,1.0,1.0,0.4054,16.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201181,1610612741,Chris Richard,Chris Richard,201181,CHI,135.0,2,3.0,5,6,1,1,11,,,2,,1.0,2.0,,,,,1,,,0.3333333333333333,,,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201949,1610612741,James Johnson,James Johnson,201949,CHI,135.0,2,3.0,5,6,1,1,11,,,2,,,,,,,,1,,,,,,,,0.2,,,,,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,1610612741,Jannero Pargo,Jannero Pargo,2457,CHI,135.0,2,3.0,5,6,1,1,11,,1.0,2,,,,,,,,1,50.0,,,,,0.43406666666666666,11.0,0.2,,,,,,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.5,1.0,1.0,0.5,0.5,1.5,1.5,0.5,1.5,1.5,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.41295,0.41295,1.0,1.0,26.6,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,1610612741,Devin Brown,Devin Brown,2484,CHI,135.0,2,3.0,5,6,1,1,11,,1.0,2,1.0,1.0,1.0,,,,,1,16.666666666666668,0.5,0.3333333333333333,,,0.7651,,0.2,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101124,1610612741,Hakim Warrick,Hakim Warrick,101124,CHI,1721.0,29,-8.0,56,55,16,8,111,4.0,9.0,65,1.0,1.0,4.0,,1.0,2.0,,16,21.538461538461537,0.058823529411764705,0.045454545454545456,,0.4,0.44025,10.477777777777778,0.2857142857142857,,,3.0,,,,,,,,2.0,,1.0,,,,1.0,,1.0,9.0,,,1.0,,1.0,3.0,,1.0,,,,3.0,,,,,,0.2,,,0.34615384615384615,0.25,0.375,0.1,0.2,0.1,,,,,,,0.5,,0.4,,0.3358,0.40835,0.1111111111111111,0.3333333333333333,25.9,,3.0,2.0,2.0,4.0,6.0,,2.0,0.5,0.5,0.2222222222222222,,0.3,,,,0.16666666666666666,0.18181818181818182,False,29.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3333333333333333,1.0,0.07142857142857142,0.3333333333333333,0.0967741935483871,0.09090909090909091,0.1111111111111111,1.0,0.16666666666666666,0.5,0.5,0.25,0.25,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1610612741,Brad Miller,Brad Miller,1802,CHI,5559.0,93,-29.0,174,175,26,17,349,7.0,23.0,212,8.0,15.0,18.0,5.0,7.0,16.0,2.0,26,19.072164948453608,0.1702127659574468,0.17105263157894737,0.0625,0.25925925925925924,0.49242592592592593,7.665217391304348,0.14942528735632185,,5.0,3.0,,0.1724137931034483,0.043478260869565216,,4.0,,8.0,6.0,,4.0,,,,2.0,,4.0,27.0,,,6.0,,2.0,7.0,,4.0,,4.0,2.0,7.0,,,,,,0.37037037037037035,0.6,0.25,0.43333333333333335,0.6,0.5,0.14814814814814814,0.2222222222222222,0.14814814814814814,,,,,,,0.5,,0.5185185185185185,,0.5166000000000001,0.5139625,0.2222222222222222,0.25925925925925924,25.299999999999997,4.0,10.0,10.0,16.0,13.0,7.0,,1.0,0.8,1.0,0.43478260869565216,0.23529411764705882,0.37037037037037035,0.4,0.4444444444444444,0.5,0.03571428571428571,0.041666666666666664,False,47.0,4.0,2.0,2.0,4.0,7.0,5.0,,2.0,5.0,4.0,4.0,,3.0,2.0,1.0,9.0,3.0,2.0,,2.0,0.17391304347826086,0.1,0.2857142857142857,0.043478260869565216,,0.03409090909090909,0.09523809523809523,,,0.21428571428571427,0.3333333333333333,0.5,0.5714285714285714,0.6666666666666666,1.0,0.8,0.5,2.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.6,0.5,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.0625,0.6666666666666666,0.07692307692307693,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,11291.0,188,-34.0,368,369,93,48,737,12.0,53.0,423,32.0,45.0,65.0,7.0,15.0,20.0,2.0,93,18.07511737089202,0.34782608695652173,0.29931972789115646,0.2647058823529412,0.22641509433962265,0.5386075471698113,5.666037735849057,0.25271739130434784,1.0,12.0,20.0,0.16666666666666666,0.21818181818181817,0.16666666666666666,2.0,13.0,2.0,28.0,11.0,,,,,,,,,74.0,,,22.0,,,16.0,,,,11.0,1.0,16.0,,,,,,0.5283018867924528,0.6666666666666666,0.5833333333333334,0.5967741935483871,0.6875,0.6153846153846154,,0.20754716981132076,,,,,,,,,,0.5660377358490566,,0.5581666666666667,0.5236583333333334,0.2972972972972973,0.21621621621621623,,19.0,30.0,28.0,32.0,17.0,19.0,1.0,9.0,0.5714285714285714,0.7619047619047619,0.5283018867924528,0.37142857142857144,0.5660377358490566,0.6333333333333333,0.76,0.631578947368421,0.14754098360655737,0.14754098360655737,False,110.0,12.0,6.0,5.0,4.0,18.0,15.0,2.0,12.0,2.0,24.0,7.0,2.0,17.0,8.0,5.0,6.0,3.0,1.0,,1.0,0.1320754716981132,0.16666666666666666,0.5333333333333333,0.10559006211180125,0.06666666666666667,0.09947643979057591,0.20408163265306123,0.0547945205479452,,0.43478260869565216,0.45454545454545453,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.75,0.8,0.5,8.0,2.0,10.0,7.0,14.0,9.0,1.0,,1.0,3.0,1.0,2.0,3.0,,7.0,6.0,7.0,0.6666666666666666,0.5833333333333334,0.18181818181818182,,0.06666666666666667,0.07692307692307693,0.3157894736842105,,0.2,0.6666666666666666,0.3333333333333333,1.0,9.0,5.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,2.0,0.09090909090909091,0.7142857142857143,0.125,,,,,,,,,,,,,,,,,,
201565,1610612741,Derrick Rose,Derrick Rose,201565,CHI,12748.0,212,-54.0,416,417,107,50,833,46.0,119.0,489,4.0,13.0,17.0,4.0,13.0,8.0,,107,31.302521008403364,0.038834951456310676,0.0783132530120482,0.02702702702702703,0.368,0.4671648,10.016806722689076,0.25721153846153844,,9.0,4.0,,0.14285714285714285,0.18181818181818182,6.0,36.0,5.0,78.0,40.0,2.0,6.0,,,,1.0,2.0,6.0,134.0,,,10.0,,1.0,39.0,6.0,6.0,2.0,30.0,10.0,39.0,1.0,0.3333333333333333,,,0.3333333333333333,0.464,0.4444444444444444,0.38095238095238093,0.49264705882352944,0.5,0.4148936170212766,0.048,0.32,0.048,0.3333333333333333,0.3333333333333333,1.0,,,,0.023809523809523808,,0.312,0.3333333333333333,0.4228666666666667,0.4413571428571427,0.07462686567164178,0.291044776119403,25.2,13.0,33.0,55.0,26.0,21.0,22.0,,8.0,0.23636363636363636,0.24074074074074073,0.46218487394957986,0.02702702702702703,0.264,0.3939393939393939,0.5652173913043478,0.3076923076923077,0.06015037593984962,0.06299212598425197,False,132.0,1.0,9.0,23.0,19.0,18.0,9.0,2.0,41.0,7.0,84.0,13.0,2.0,2.0,9.0,6.0,6.0,3.0,3.0,1.0,3.0,0.1092436974789916,0.30303030303030304,0.6923076923076923,0.0111731843575419,0.0625,0.018957345971563982,,0.011764705882352941,0.1111111111111111,0.06896551724137931,0.575,0.6052631578947368,0.41304347826086957,0.4222222222222222,0.42105263157894735,0.1111111111111111,0.21428571428571427,,,4.0,16.0,2.0,17.0,,1.0,1.0,3.0,,2.0,,,,,,0.4444444444444444,0.3902439024390244,0.05,0.021739130434782608,,0.023255813953488372,0.05263157894736842,0.018518518518518517,0.043478260869565216,,,3.0,4.0,3.0,1.0,2.0,1.0,,,,,,,0.043478260869565216,,,1.0,1.0,,,,,,,,,,,,,,,,
2436,1610612741,Flip Murray,Flip Murray,2436,CHI,5843.0,97,-7.0,180,176,57,30,356,11.0,25.0,214,1.0,9.0,13.0,,1.0,3.0,,57,19.35483870967742,0.0196078431372549,0.08108108108108109,,0.2972972972972973,0.5129716216216218,9.675999999999998,0.31666666666666665,,5.0,4.0,,0.21739130434782608,0.2631578947368421,1.0,10.0,,21.0,2.0,4.0,11.0,1.0,1.0,,2.0,4.0,12.0,42.0,1.0,1.0,7.0,,2.0,6.0,6.0,11.0,4.0,9.0,5.0,6.0,0.5,0.3333333333333333,1.0,,0.3333333333333333,0.4594594594594595,1.1666666666666667,0.375,0.5121951219512195,1.1666666666666667,0.375,0.32432432432432434,0.05405405405405406,0.2972972972972973,0.36363636363636365,0.36363636363636365,0.5,0.3333333333333333,1.0,1.0,0.25,,0.6486486486486487,0.36363636363636365,0.6332666666666666,0.43533125,0.16666666666666666,0.14285714285714285,24.8,7.0,12.0,11.0,6.0,6.0,8.0,,3.0,0.2727272727272727,0.3,0.44,,0.32432432432432434,0.5833333333333334,0.6363636363636364,0.2857142857142857,0.075,0.10714285714285714,False,70.0,2.0,2.0,,4.0,8.0,2.0,,6.0,,16.0,1.0,,4.0,1.0,,2.0,1.0,1.0,1.0,,0.04,0.08333333333333333,1.0,0.04819277108433735,,0.041666666666666664,0.0967741935483871,0.029411764705882353,,0.07692307692307693,,,0.36363636363636365,0.36363636363636365,0.25,0.6666666666666666,0.25,2.0,2.0,2.0,3.0,2.0,4.0,3.0,,,1.0,,1.0,,,,,,1.0,0.5,,,0.42857142857142855,,,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,0.5,1.0,,1.0,6.0,0.02702702702702703,,,,,,,,,,,,,
