EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,LostBallTurnovers,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,SecondChanceFtPoints,ShortMidRangeAssists,Loose Ball Fouls,BlockedAtRim,PenaltyArc3FGA,HeaveAttempts,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3Frequency,PtsUnassisted3s,Technical Free Throw Trips,BlockedLongMidRange,PtsPutbacks,FTOffRebounds,OffensiveGoaltends,OffFTReboundPct,Loose Ball Fouls Drawn,OffShortMidRangeReboundPct,OffCorner3ReboundPct,on,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Accuracy,PenaltyArc3FGM,BadPassOutOfBoundsTurnovers,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,DefensiveGoaltends
101121,1610612743,Joey Graham,Joey Graham,101121,DEN,686.0,11,-3,26,25,15,6,2.0,51,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,28,2.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,15,1.0,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,0.625,0.25,21.428571428571427,0.4,0.3333333333333333,0.375,0.3333333333333333,0.5,0.3333333333333333,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.25,0.3333333333333333,1.0,0.3333333333333333,0.5,0.48972499999999997,0.5115,0.2,0.25,1.0,12.233333333333334,23.9,0.5769230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
101130,1610612743,Johan Petro,Johan Petro,101130,DEN,1309.0,22,9,45,46,7,9,1.0,91,1.0,2.0,,,,,,,2.0,3.0,,,4.0,50,,,,,,4.0,1.0,3.0,5.0,6.0,2.0,2.0,7.0,1.0,1.0,1.0,,,,7,1.0,1.0,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,10.869565217391305,0.23076923076923078,0.25,0.23529411764705882,0.25,,0.25,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,0.6666666666666666,0.5510666666666667,,,,,1.5333333333333332,,0.15555555555555556,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.09090909090909091,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201167,1610612743,Arron Afflalo,Arron Afflalo,201167,DEN,7218.0,120,-5,244,244,67,46,20.0,488,11.0,11.0,1.0,1.0,,1.0,11.0,3.0,14.0,18.0,14.0,9.0,55.0,291,1.0,3.0,3.0,4.0,6.0,16.0,3.0,7.0,11.0,12.0,3.0,4.0,21.0,,9.0,,11.0,4.0,6.0,67,0.5714285714285714,0.5714285714285714,0.7777777777777778,0.3333333333333333,0.71875,0.16666666666666666,0.7432432432432432,0.375,0.4375,15.355805243445694,0.1111111111111111,0.12,0.11363636363636363,0.05,0.11764705882352941,0.1,0.34375,1.0,1.0,0.7272727272727273,0.03125,,,,0.34375,0.16666666666666666,1.0,0.5,0.78125,0.5547484374999999,0.5198,0.11428571428571428,0.19047619047619047,0.10909090909090909,4.0777777777777775,23.578571428571426,0.27459016393442626,3.0,6.0,4.0,7.0,4.0,17.0,1.0,1.0,1.0,,1.0,,10.0,2.0,2.0,2.0,,3.0,0.125,0.015384615384615385,0.01098901098901099,,0.15384615384615385,,0.1875,0.5,0.5,,2.0,2.0,5.0,1.0,1.0,3.0,1.0,2.0,6.0,2.0,2.0,1.0,3.0,7.0,12.0,18.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,1.0,0.7,0.7,0.25,0.034482758620689655,0.2,0.5,0.45454545454545453,0.45454545454545453,1.0,0.09375,0.3333333333333333,0.3333333333333333,1.0,0.4,1.0,0.5,0.2,0.4,0.5,1.0,0.3333333333333333,0.51625,0.12727272727272726,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
201951,1610612743,Ty Lawson,Ty Lawson,201951,DEN,1838.0,31,-4,60,58,13,19,5.0,118,4.0,6.0,1.0,1.0,,,1.0,,4.0,8.0,2.0,4.0,18.0,75,1.0,2.0,,2.0,4.0,,,1.0,1.0,1.0,2.0,3.0,8.0,2.0,5.0,,6.0,3.0,4.0,13,,,0.5,0.5,0.7,0.5,0.6923076923076923,0.6666666666666666,0.2,24.615384615384613,0.06666666666666667,,0.045454545454545456,,0.16666666666666666,,0.6,0.6666666666666666,1.0,,,,,,0.1,0.5,1.0,,0.8,0.557055,0.48725,0.23076923076923078,0.2727272727272727,0.2222222222222222,1.75,24.55,0.21666666666666667,,2.0,2.0,4.0,,10.0,,,,,1.0,1.0,4.0,,,,,,,,,,,,0.2,,,,,,1.0,,1.0,1.0,,,2.0,,,,,,8.0,6.0,1.0,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,0.3333333333333333,,,,1.0,1.0,1.0,0.1,1.0,1.0,1.0,,,,,,,,1.0,,,3.0,1.0,2.0,1.0,0.375,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,5527.0,92,14,185,185,40,13,15.0,370,14.0,23.0,3.0,7.0,6.0,17.0,2.0,,23.0,46.0,6.0,11.0,66.0,206,3.0,10.0,,2.0,8.0,14.0,4.0,4.0,8.0,11.0,5.0,8.0,9.0,4.0,11.0,,12.0,7.0,8.0,40,0.30434782608695654,0.30434782608695654,0.5,0.3,0.5288461538461539,0.3,0.5789473684210527,0.36363636363636365,0.11538461538461539,32.01970443349754,0.08163265306122448,0.19047619047619047,0.11428571428571428,0.0625,0.08333333333333333,0.17647058823529413,0.4423076923076923,0.6086956521739131,0.7,0.35714285714285715,0.3269230769230769,0.35294117647058826,0.35294117647058826,0.3333333333333333,0.038461538461538464,0.7,0.42857142857142855,,0.5576923076923077,0.5177615384615385,0.5559100000000001,0.12280701754385964,0.13725490196078433,0.12121212121212122,7.7586956521739125,24.733333333333334,0.21621621621621623,3.0,6.0,5.0,7.0,3.0,16.0,3.0,,3.0,3.0,7.0,4.0,2.0,1.0,,1.0,,,,0.05454545454545454,0.04285714285714286,0.10526315789473684,0.09523809523809523,0.13043478260869565,0.11538461538461539,0.5,0.5,,1.0,3.0,1.0,,2.0,4.0,,,3.0,1.0,5.0,,,3.0,32.0,9.0,4.0,2.0,2.0,,3.0,3.0,,1.0,,,5.0,2.0,,1.0,1.0,,1.0,0.5,,0.5,0.2,0.2,0.25,0.375,0.038461538461538464,0.25,1.0,0.5,0.5,1.0,0.07692307692307693,0.5,0.5,1.0,0.6,0.3333333333333333,,,,,,0.5,0.49973999999999996,0.045454545454545456,3.0,2.0,1.0,3.0,0.06521739130434782,0.13043478260869565,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2124,1610612743,Malik Allen,Malik Allen,2124,DEN,105.0,2,-3,5,5,5,5,,10,,,,,,,,,,,,,,7,,,,,,,,,,,,,1.0,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
2747,1610612743,JR Smith,JR Smith,2747,DEN,1772.0,30,-10,63,64,26,35,5.0,127,3.0,3.0,1.0,1.0,,3.0,2.0,,3.0,6.0,10.0,7.0,22.0,81,1.0,3.0,3.0,5.0,7.0,,,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,,7.0,2.0,7.0,26,,,0.5,0.3333333333333333,0.46875,0.16666666666666666,0.5789473684210527,0.4375,0.625,31.884057971014496,0.2,,0.15,0.25,,,0.1875,1.0,1.0,,0.1875,,,,0.125,0.16666666666666666,1.0,,0.8125,0.5172166666666667,0.46607000000000004,0.11764705882352941,0.2857142857142857,0.3181818181818182,10.283333333333333,28.090000000000003,0.4126984126984127,,,1.0,2.0,,5.0,1.0,,2.0,1.0,1.0,1.0,,,,,,1.0,,0.07692307692307693,0.08,0.14285714285714285,0.2857142857142857,0.1111111111111111,,,,,1.0,1.0,2.0,,1.0,8.0,,,3.0,1.0,1.0,,,2.0,6.0,9.0,7.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,,2.0,1.0,0.3,,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.5,0.125,0.125,1.0,1.0,1.0,,,,,,0.14285714285714285,,0.09090909090909091,,1.0,,,,,,,1.0,,,3.0,1.0,1.0,0.08333333333333333,0.14285714285714285,0.5,,,,,,,,,,,True,,,,,,,,,,,,
1497,1610612743,Chauncey Billups,Chauncey Billups,1497,DEN,5505.0,92,2,188,188,55,25,17.0,376,8.0,13.0,1.0,2.0,2.0,7.0,2.0,,11.0,23.0,13.0,12.0,49.0,219,1.0,3.0,2.0,9.0,11.0,6.0,5.0,3.0,8.0,8.0,2.0,9.0,7.0,2.0,13.0,,12.0,3.0,11.0,55,0.2727272727272727,0.2727272727272727,0.4782608695652174,0.3333333333333333,0.5138888888888888,0.2,0.5853658536585366,0.6111111111111112,0.3611111111111111,24.038461538461537,0.061224489795918366,0.25,0.11594202898550725,0.058823529411764705,0.08333333333333333,0.26666666666666666,0.3611111111111111,0.6153846153846154,0.7272727272727273,0.25,0.19444444444444445,0.2857142857142857,0.2857142857142857,0.5,0.05555555555555555,0.4,0.5,,0.7222222222222222,0.5633055555555555,0.56234,0.07894736842105263,0.12,0.22448979591836735,6.543478260869565,24.73846153846154,0.2925531914893617,1.0,3.0,18.0,20.0,15.0,42.0,,,,,3.0,2.0,3.0,2.0,,2.0,,,,,,,0.05,,0.08333333333333333,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,4.0,11.0,1.0,1.0,5.0,,1.0,1.0,1.0,3.0,16.0,3.0,11.0,4.0,2.0,1.0,1.0,7.0,2.0,,,,4.0,1.0,3.0,,,3.0,0.2,0.38461538461538464,1.0,0.38461538461538464,,0.75,0.75,0.7777777777777778,,0.2,,0.5,0.5,,0.3055555555555556,0.36363636363636365,0.36363636363636365,0.25,0.5,,,,0.5,1.0,,0.36363636363636365,0.548525,0.061224489795918366,2.0,1.0,3.0,5.0,0.08695652173913043,0.15384615384615385,,,,,,2.0,,,,,0.4,12.0,1.0,2.0,,,,,,,,True,,,,,,,,,,,,
2030,1610612743,Kenyon Martin,Kenyon Martin,2030,DEN,5667.0,94,-11,192,192,53,24,17.0,384,10.0,12.0,5.0,6.0,1.0,7.0,,,14.0,23.0,,4.0,32.0,239,7.0,8.0,,,14.0,18.0,3.0,12.0,16.0,20.0,2.0,5.0,10.0,1.0,3.0,,6.0,3.0,14.0,53,0.6428571428571429,0.8181818181818182,0.6086956521739131,0.875,0.6086956521739131,0.875,0.6153846153846154,0.875,,14.691943127962086,0.25,0.16666666666666666,0.22727272727272727,0.25,0.16666666666666666,0.21428571428571427,0.5217391304347826,0.8333333333333334,0.8333333333333334,0.6,0.30434782608695654,0.14285714285714285,0.14285714285714285,1.0,,0.75,0.8333333333333334,,0.5217391304347826,0.5070434782608696,0.5437875,0.11538461538461539,0.11538461538461539,0.4375,7.21304347826087,,0.2760416666666667,3.0,4.0,5.0,6.0,4.0,13.0,2.0,1.0,4.0,1.0,5.0,3.0,4.0,4.0,,4.0,,,0.3333333333333333,0.0392156862745098,0.04285714285714286,0.11764705882352941,0.3,0.1111111111111111,0.17391304347826086,0.75,0.75,0.6666666666666666,3.0,3.0,,,,,,,,3.0,3.0,,,6.0,10.0,,,,1.0,,2.0,3.0,1.0,,,,2.0,,,1.0,,,,,,,1.0,1.0,1.0,0.6,,,0.25,,,,,,,,1.0,1.0,,,,,,,0.57725,0.1875,,1.0,1.0,2.0,,,,,,1.0,4.0,,,1.0,0.05263157894736842,0.07692307692307693,,,,,6.0,1.0,1.0,0.2,,,,True,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,5152.0,86,-11,170,171,44,33,16.0,341,10.0,14.0,1.0,3.0,1.0,3.0,,,11.0,18.0,,11.0,33.0,204,1.0,3.0,,2.0,4.0,16.0,4.0,6.0,13.0,18.0,2.0,3.0,12.0,1.0,14.0,,17.0,9.0,4.0,44,0.7272727272727273,0.7272727272727273,0.6111111111111112,0.3333333333333333,0.6111111111111112,0.3333333333333333,0.6346153846153846,0.4,,15.343915343915345,0.1276595744680851,0.2222222222222222,0.15384615384615385,0.07692307692307693,0.08333333333333333,0.23076923076923078,0.7777777777777778,0.7142857142857143,0.8333333333333334,0.7,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.3333333333333333,,0.7777777777777778,0.5475944444444445,0.5705666666666667,0.34615384615384615,0.34615384615384615,0.12121212121212122,2.9944444444444445,,0.25882352941176473,,1.0,4.0,8.0,3.0,20.0,3.0,3.0,5.0,,1.0,,3.0,,,,,2.0,0.5,0.058823529411764705,0.05714285714285714,0.09523809523809523,0.18181818181818182,,0.05555555555555555,,,,,1.0,,,,,,,,,1.0,,,2.0,6.0,,,,4.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.2,,,,,,,,,1.0,,,,,,,,0.4715,0.06060606060606061,3.0,3.0,,1.0,0.16666666666666666,0.14285714285714285,1.0,2.0,1.0,,,,,1.0,0.05263157894736842,,,,,,,1.0,,0.2,1.0,0.1111111111111111,0.125,True,,,,,,,,,,,,
