EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsPutbacks,ThreePtAssists,Arc3Assists,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,BlockedShortMidRange,RecoveredBlocks,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,OffAtRimReboundPct,DefCorner3ReboundPct,2pt And 1 Free Throw Trips,Corner3FGA,SecondChanceFtPoints,ShortMidRangeAssists,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Corner3Frequency,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,OffThreePtRebounds,SelfOReb,Offensive Fouls,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,on,PenaltyCorner3FGA,Corner3Assists,Loose Ball Fouls,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,ShortMidRangePctBlocked,OffCorner3ReboundPct,PenaltyCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceTurnovers,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers
101107,1610612737,Marvin Williams,Marvin Williams,101107,ATL,1490.0,25,1,50,51,21.0,17.0,4.0,101,1.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,53,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,21.0,0.2,0.2,0.35714285714285715,0.25,16.666666666666664,1.0,0.15384615384615385,0.08695652173913043,0.3333333333333333,0.3333333333333333,0.4,0.5,0.5,0.4,0.2,0.4,0.36416,0.375,0.2857142857142857,0.2857142857142857,0.2,6.74,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,1610612737,Mike Bibby,Mike Bibby,1710,ATL,375.0,6,3,10,11,,11.0,1.0,21,1.0,1.0,,1.0,2.0,2.0,,7.0,13,,,,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,1.0,1.1666666666666667,1.1666666666666667,,27.272727272727273,,,,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.6666666666666666,0.4456333333333333,,,,,10.25,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201238,1610612737,Mario West,Mario West,201238,ATL,992.0,17,-1,33,33,30.0,17.0,3.0,66,3.0,3.0,,,3.0,3.0,,6.0,43,3.0,,6.0,4.0,,1.0,,3.0,1.0,,1.0,2.0,,,,,,2.0,4.0,,,,,,,,6.0,30.0,1.0,1.0,1.0,1.0,8.333333333333334,,0.1111111111111111,0.07142857142857142,,,1.0,1.0,1.0,,,1.0,0.6631666666666667,0.6631666666666667,,,1.0,,0.9090909090909091,,,,,,2.0,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.1,0.25,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.4996,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201952,1610612737,Jeff Teague,Jeff Teague,201952,ATL,3509.0,58,-32,110,111,39.0,66.0,13.0,221,3.0,5.0,3.0,8.0,5.0,16.0,,16.0,140,6.0,,9.0,10.0,4.0,4.0,2.0,8.0,1.0,,2.0,2.0,1.0,,,4.0,1.0,2.0,3.0,,,,,1.0,,1.0,9.0,39.0,0.3125,0.38095238095238093,0.38095238095238093,0.6428571428571429,20.32520325203252,,0.03571428571428571,0.045454545454545456,,0.125,0.23809523809523808,0.6,1.0,0.14285714285714285,0.38095238095238093,0.47619047619047616,0.4847974999999999,0.41490714285714286,,,0.5625,10.787500000000001,0.35454545454545455,2.0,2.0,5.0,2.0,5.0,,3.0,5.0,2.0,,,0.5,0.4,0.4,0.23809523809523808,0.25,0.2857142857142857,,0.23809523809523808,0.4,0.4,0.5,0.4,27.880000000000003,,,2.0,2.0,,,,3.0,,,,,,3.0,2.0,1.0,,0.5,,0.6428571428571429,,,,,,,,,0.2857142857142857,1.0,0.5508,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.1875,0.4,0.125,0.75,0.0625,0.125,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2746,1610612737,Josh Smith,Josh Smith,2746,ATL,1464.0,24,-14,42,43,7.0,32.0,7.0,85,5.0,5.0,1.0,4.0,6.0,10.0,,12.0,56,3.0,,4.0,8.0,,1.0,,3.0,1.0,1.0,3.0,5.0,,,,,,3.0,3.0,1.0,,,,2.0,2.0,2.0,4.0,7.0,0.6,0.6,0.6,0.6666666666666666,20.408163265306122,0.5,0.1,0.14285714285714285,0.5,,0.5,1.0,1.0,0.1,0.4,0.5,0.49227,0.5497,,,0.3333333333333333,8.969999999999999,0.16666666666666666,1.0,,,,,4.0,,,,0.3333333333333333,0.5,,,,,0.25,0.25,1.0,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.1111111111111111,0.09090909090909091,0.09090909090909091,,0.2,1.0,1.0,0.6666666666666666,1.0,0.49905,0.3333333333333333,,,,,,,,,,1.0,1.0,,,,,,,,,,,,0.25,,,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201043,1610612737,Randolph Morris,Randolph Morris,201043,ATL,242.0,4,-1,8,10,1.0,10.0,1.0,18,1.0,1.0,,,1.0,1.0,1.0,3.0,10,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.5,,11.11111111111111,,,0.14285714285714285,,,1.0,1.0,1.0,,,1.0,0.5634,,1.0,1.0,,1.6,0.125,,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612737,Jamal Crawford,Jamal Crawford,2037,ATL,3024.0,50,-31,96,97,35.0,55.0,12.0,193,4.0,6.0,2.0,4.0,4.0,12.0,7.0,18.0,123,4.0,1.0,6.0,6.0,4.0,4.0,1.0,8.0,2.0,,6.0,6.0,1.0,,,4.0,1.0,1.0,4.0,4.0,,9.0,1.0,,,,6.0,35.0,0.3333333333333333,0.3235294117647059,0.45,0.375,22.22222222222222,,0.08333333333333333,0.15789473684210525,,0.25,0.35294117647058826,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.23529411764705882,0.6470588235294118,0.46918235294117644,0.4477142857142858,0.15,0.07692307692307693,0.3333333333333333,7.350000000000001,0.3645833333333333,,1.0,4.0,1.0,5.0,2.0,3.0,4.0,1.0,0.25,0.25,1.0,0.2,0.2,0.29411764705882354,,,,0.23529411764705882,0.25,0.25,1.0,0.25,25.74,,,1.0,2.0,,,3.0,1.0,,,,,,4.0,1.0,1.0,,0.25,,0.35714285714285715,1.5,,,,,0.25,,,0.2857142857142857,0.5,,0.16666666666666666,,1.0,3.0,,1.0,3.0,,,2.0,4.0,3.0,3.0,1.0,3.0,,,,0.3333333333333333,,,,0.75,0.2857142857142857,0.375,,,0.42857142857142855,0.3333333333333333,,0.16666666666666666,,1.0,3.0,1.0,1.0,1.0,2.0,0.058823529411764705,0.2857142857142857,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2585,1610612737,Zaza Pachulia,Zaza Pachulia,2585,ATL,2445.0,41,-21,83,82,37.0,41.0,7.0,165,4.0,5.0,3.0,3.0,6.0,11.0,12.0,24.0,99,8.0,11.0,23.0,6.0,2.0,2.0,2.0,4.0,3.0,,3.0,7.0,1.0,,,1.0,,2.0,4.0,10.0,1.0,16.0,7.0,1.0,1.0,1.0,23.0,37.0,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.8214285714285714,21.11111111111111,,0.14285714285714285,0.08571428571428572,,0.14285714285714285,0.45454545454545453,0.8,1.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.4737363636363636,0.512325,0.4375,0.4375,0.9583333333333334,7.681818181818182,0.4457831325301205,1.0,,,,,6.0,,,,0.5,0.6,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,1.0,1.0,4.0,4.0,1.0,1.0,4.0,6.0,2.0,,,3.0,4.0,1.0,,,1.0,0.75,1.0,0.75,1.0,0.1,0.10810810810810811,0.14285714285714285,0.25,0.5,1.0,1.0,0.5,1.0,0.6879,0.16666666666666666,,,,,,,,1.0,,,1.0,,,,,,,,0.09090909090909091,0.2,,,,,,,,,,,2.0,,2.0,,,,,,,1.0,1.0,1.0,1.0,2.0,2.0,0.14285714285714285,0.125,0.2,0.25,0.3333333333333333,0.3333333333333333,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612737,Maurice Evans,Maurice Evans,2230,ATL,1782.0,30,-30,60,56,22.0,33.0,7.0,116,1.0,2.0,,3.0,2.0,5.0,,4.0,75,1.0,,2.0,2.0,,1.0,,3.0,,,1.0,1.0,,,,1.0,,1.0,3.0,,,,,,,,2.0,22.0,0.4,0.25,0.25,1.0,13.636363636363635,,,0.043478260869565216,,,0.25,0.5,0.5,,0.375,0.625,0.45614375,0.5613,,,0.5,11.02,0.36666666666666664,1.0,,2.0,,3.0,2.0,,2.0,,0.5,0.5,,,,0.375,0.3333333333333333,0.3333333333333333,,0.25,,,,,25.133333333333336,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,0.5,1.0,0.5,1.0,0.5,,,,,1.0,1.0,0.5,1.0,1.0,0.5649500000000001,0.5,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,1.0,0.1111111111111111,,,,,,,0.16666666666666666,,1.0,,,,,,0.125,,,,,,,,,,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,1610612737,Al Horford,Al Horford,201143,ATL,937.0,16,-10,24,25,,21.0,4.0,49,1.0,1.0,1.0,4.0,4.0,6.0,1.0,9.0,38,,,,2.0,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.75,,21.428571428571427,,0.25,0.14285714285714285,,,0.16666666666666666,1.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.40301666666666663,,0.16666666666666666,0.16666666666666666,,13.316666666666668,,2.0,,,,,6.0,,,,0.75,0.75,,,,,0.5,0.5,1.0,,,,,,,,,,,1.0,2.0,2.0,,,,,,,1.0,,1.0,0.5,,0.5,,0.5,,,,0.25,1.0,,,,,0.397,0.2222222222222222,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
