EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg2aBlocked,LongMidRangeAssists,OffThreePtRebounds,LostBallSteals,BadPassTurnovers,Blocked3s,BlockedArc3,BlockedAtRim,RecoveredBlocks,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,HeaveAttempts,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Arc3FGM,PenaltyArc3FGM,PenaltyFG3M,NonHeaveArc3FGM,Corner3Assists,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,PenaltyFg3Pct,OffCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTOffRebounds,OffFTReboundPct,OffShortMidRangeReboundPct,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,SecondChanceArc3FGA,SecondChanceArc3Frequency,3SecondViolations,on,BlockedLongMidRange,PenaltyCorner3FGM,SecondChanceArc3FGM,Defensive 3 Seconds Violations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,6295.0,105.0,7,189,191,37.0,16,27.0,380,1.0,5.0,1.0,2.0,1.0,2.0,7.0,10.0,16.0,28.0,24.0,43.0,21.0,69.0,198,2.0,6.0,3.0,7.0,7.0,9.0,3.0,17.0,20.0,28.0,2.0,6.0,2.0,8.0,2.0,3.0,3.0,18.0,3.0,5.0,14.0,3.0,22.0,3.0,25.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,7.0,1.0,1.0,16.0,2.0,22.0,3.0,10.0,3.0,1.0,1.0,1.0,17.0,37.0,1.0,1.0,0.4166666666666667,0.43478260869565216,0.5581395348837209,0.3333333333333333,0.7777777777777778,0.5581395348837209,0.3333333333333333,0.7777777777777778,0.6509433962264151,0.4375,0.85,25.114155251141554,0.3333333333333333,0.3333333333333333,0.2028985507246377,0.041666666666666664,0.3125,0.2235294117647059,0.03225806451612903,0.09090909090909091,0.034482758620689655,0.21428571428571427,0.3181818181818182,0.12121212121212122,0.3076923076923077,0.3333333333333333,0.05263157894736842,0.11627906976744186,0.2,0.2,0.23255813953488372,0.7,0.7,0.2857142857142857,0.6511627906976745,0.5714285714285714,0.5714285714285714,0.5,0.3333333333333333,0.5,0.2222222222222222,0.5,0.11627906976744186,0.4306953488372093,0.49436,0.44208888888888886,0.2,0.2,0.10144927536231885,0.2463768115942029,13.611627906976747,0.19576719576719576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,8894.0,148.0,17,270,276,68.0,60,39.0,546,14.0,24.0,4.0,5.0,6.0,7.0,10.0,28.0,,3.0,24.0,55.0,4.0,52.0,276,6.0,10.0,,12.0,7.0,12.0,1.0,15.0,32.0,16.0,8.0,6.0,,6.0,,2.0,1.0,12.0,5.0,1.0,15.0,2.0,18.0,7.0,25.0,1.0,1.0,,6.0,2.0,2.0,,8.0,2.0,5.0,12.0,,2.0,5.0,1.0,5.0,1.0,2.0,1.0,1.0,,3.0,15.0,68.0,,1.0,0.6666666666666666,0.8,0.43636363636363634,0.6,0.5833333333333334,0.4067796610169492,0.6,0.5,0.4262295081967213,0.6,0.5,22.044728434504794,0.75,0.18181818181818182,0.13636363636363635,0.04950495049504951,0.04,0.11851851851851852,0.05426356589147287,0.1,0.05555555555555555,0.07142857142857142,0.1388888888888889,0.17391304347826086,0.058823529411764705,,0.034482758620689655,0.4067796610169492,0.5833333333333334,0.6363636363636364,0.4745762711864407,0.35714285714285715,0.38461538461538464,0.7,0.05084745762711865,,,,0.5,0.8,0.5,0.8571428571428571,0.4745762711864407,0.49386355932203385,0.481225,0.5213892857142858,0.03333333333333333,0.03571428571428571,0.23076923076923078,0.28846153846153844,4.998181818181819,0.2518518518518518,3.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,3.0,0.06779661016949153,0.07272727272727272,0.08333333333333333,0.07142857142857142,0.07142857142857142,0.125,1.0,0.6428571428571429,0.05084745762711865,0.01694915254237288,0.25,0.07142857142857142,0.07142857142857142,23.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,3905.0,65.0,21,120,123,40.0,41,12.0,243,1.0,3.0,,,1.0,2.0,5.0,7.0,1.0,5.0,7.0,15.0,8.0,31.0,128,,,1.0,4.0,2.0,5.0,2.0,6.0,8.0,6.0,,6.0,2.0,8.0,2.0,2.0,4.0,18.0,,,4.0,,4.0,,4.0,,2.0,,1.0,,1.0,,1.0,,2.0,8.0,,,6.0,1.0,10.0,,5.0,,,,,6.0,40.0,3.0,,0.5714285714285714,0.5714285714285714,0.4666666666666667,,0.4,0.5,1.5,0.2857142857142857,0.5535714285714286,1.0,0.375,21.641791044776117,1.0,,0.0784313725490196,,,0.06349206349206349,,,,,0.1,0.125,,,,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.30434782608695654,0.7142857142857143,0.8333333333333334,0.8,0.21739130434782608,0.2,0.2,,,,0.2857142857142857,0.5,0.4782608695652174,0.48944772727272723,0.558,0.5228416666666668,0.17857142857142858,0.25,0.12903225806451613,0.1935483870967742,10.600000000000001,0.3333333333333333,5.0,,3.0,2.0,8.0,2.0,2.0,1.0,,,2.0,,,,,,0.34782608695652173,0.06666666666666667,,0.14285714285714285,,,,,0.21739130434782608,0.13043478260869565,,,0.2857142857142857,25.724999999999998,3.0,1.0,1.0,3.0,1.0,1.0,9.0,1.0,1.0,0.375,1.0,0.42857142857142855,0.6,0.6,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,2322.0,39.0,-13,68,75,18.0,22,7.0,143,3.0,4.0,,,,1.0,,3.0,,,3.0,7.0,1.0,10.0,88,,,,,,1.0,,3.0,2.0,4.0,,4.0,3.0,7.0,,2.0,1.0,17.0,,,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,3.0,2.0,2.0,,5.0,1.0,2.0,5.0,,1.0,3.0,,3.0,,1.0,,1.0,,1.0,3.0,18.0,1.0,,0.3333333333333333,0.3333333333333333,0.42857142857142855,,,0.5,,0.75,0.5,,0.75,19.736842105263158,0.6,0.3333333333333333,0.037037037037037035,,,0.027777777777777776,0.03571428571428571,,,0.2,,,,,0.25,0.4444444444444444,0.75,0.75,0.3333333333333333,,,,,,,,,,0.5,,0.6666666666666666,0.5361722222222222,,0.585375,0.1,0.125,,0.3,3.1714285714285713,0.2647058823529412,1.0,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,0.2222222222222222,0.14285714285714285,,0.3333333333333333,0.2,,1.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,,,0.5,23.2,,,,1.0,,,3.0,,1.0,0.5,,0.5,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,
2059,1610612742,Eduardo Najera,Eduardo Najera,2059,DAL,766.0,13.0,-4,21,23,11.0,17,4.0,44,1.0,2.0,1.0,2.0,,,,,,,1.0,2.0,,2.0,24,1.0,2.0,,2.0,,,,,,2.0,2.0,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,11.0,,,,,0.5,0.5,,0.25,0.5,,0.25,0.5,,15.384615384615383,,,,0.1,,,0.06666666666666667,,,,,,,,,0.5,0.5,0.5,,,,,,,,,1.0,0.5,,,1.0,0.615,0.63,0.5304,,,1.0,,0.8,0.5238095238095238,1.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,0.5,,,,,,,,0.25,0.25,,,1.0,23.549999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.25,,,,,,,,True,,,,,,,
2217,1610612742,Brendan Haywood,Brendan Haywood,2217,DAL,3997.0,67.0,44,123,124,27.0,21,15.0,247,5.0,7.0,3.0,3.0,2.0,2.0,,2.0,,,5.0,9.0,9.0,19.0,113,3.0,3.0,5.0,11.0,2.0,2.0,2.0,6.0,4.0,6.0,4.0,3.0,,3.0,,1.0,,6.0,9.0,4.0,8.0,1.0,13.0,10.0,23.0,,4.0,3.0,,2.0,,1.0,2.0,1.0,6.0,9.0,1.0,1.0,9.0,1.0,15.0,1.0,7.0,1.0,5.0,4.0,5.0,6.0,27.0,,1.0,0.4,0.6666666666666666,0.5555555555555556,1.0,1.0,0.5555555555555556,1.0,1.0,0.59375,0.6875,1.0,12.949640287769785,,1.0,0.1568627450980392,0.2571428571428571,0.3076923076923077,0.1875,0.2127659574468085,0.2727272727272727,0.36363636363636365,0.07692307692307693,0.16666666666666666,0.2,0.3,0.3333333333333333,,0.7777777777777778,0.7142857142857143,0.8333333333333334,0.2222222222222222,,,,,,,,1.0,1.0,1.0,1.0,0.7777777777777778,0.5554222222222223,0.6018333333333333,0.5683,0.4666666666666667,0.4666666666666667,0.5789473684210527,0.3157894736842105,1.8222222222222224,0.21951219512195122,,,,,,,,1.0,2.0,1.0,1.0,,,,1.0,3.0,,0.1111111111111111,0.14285714285714285,,0.08333333333333333,,0.6,0.4,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,0.15384615384615385,,,,,,,,True,,,,,,,
2406,1610612742,Caron Butler,Caron Butler,2406,DAL,5872.0,98.0,10,179,184,41.0,44,31.0,363,9.0,14.0,1.0,2.0,2.0,3.0,3.0,6.0,10.0,23.0,22.0,43.0,15.0,71.0,171,3.0,5.0,,6.0,4.0,7.0,4.0,12.0,30.0,14.0,,2.0,,2.0,,,,4.0,1.0,3.0,14.0,,17.0,2.0,19.0,,5.0,4.0,5.0,5.0,2.0,1.0,10.0,1.0,3.0,8.0,,1.0,14.0,1.0,17.0,1.0,7.0,2.0,,,,12.0,41.0,1.0,2.0,0.6818181818181818,0.6818181818181818,0.5116279069767442,0.6,0.5714285714285714,0.5283018867924528,0.6,0.5,0.5819672131147541,0.6,0.6,33.490566037735846,0.5,,0.18181818181818182,0.013157894736842105,0.2,0.18478260869565216,0.02127659574468085,,0.03571428571428571,0.09523809523809523,0.13636363636363635,0.2647058823529412,0.16666666666666666,0.3333333333333333,,0.2641509433962264,0.6428571428571429,0.6428571428571429,0.11320754716981132,0.5,0.5,1.0,0.4339622641509434,0.43478260869565216,0.43478260869565216,0.6,0.4,0.5,0.375,0.6666666666666666,0.4528301886792453,0.5016622641509435,0.51065,0.50650625,0.11864406779661017,0.14285714285714285,0.08450704225352113,0.16901408450704225,10.906976744186046,0.22905027932960895,5.0,1.0,5.0,,10.0,1.0,5.0,,2.0,1.0,1.0,3.0,,,,,0.18867924528301888,,,,0.05555555555555555,,,0.6666666666666666,0.09433962264150944,0.09433962264150944,,0.125,,24.15,2.0,,,4.0,,,6.0,,0.5,0.4,,0.4,0.4,0.4,0.5,,,,2.0,,,2.0,,,1.0,,,0.14285714285714285,0.4,0.4,0.5,,0.4,,,,6.0,2.0,1.0,1.0,,,,True,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,8135.0,136.0,20,248,252,64.0,50,37.0,500,2.0,5.0,,,,1.0,1.0,4.0,2.0,5.0,5.0,14.0,9.0,28.0,245,,1.0,,,2.0,4.0,3.0,10.0,4.0,6.0,,20.0,2.0,22.0,1.0,7.0,7.0,46.0,1.0,6.0,13.0,1.0,20.0,3.0,23.0,,10.0,5.0,5.0,2.0,1.0,,7.0,2.0,4.0,6.0,,,9.0,,10.0,,1.0,4.0,,,,10.0,64.0,1.0,2.0,0.4,0.4,0.35714285714285715,,0.5,0.3392857142857143,,0.5,0.42424242424242425,,0.5555555555555556,13.541666666666668,0.7142857142857143,0.1,0.12745098039215685,0.010869565217391304,0.2608695652173913,0.152,0.025423728813559324,,0.029411764705882353,0.07692307692307693,0.0625,0.20454545454545456,0.3333333333333333,0.125,,0.17857142857142858,0.4,0.4,0.14285714285714285,0.25,0.3333333333333333,,0.17857142857142858,0.4,0.4,1.0,,,0.14285714285714285,,0.6785714285714286,0.5177196428571429,0.465,0.5144285714285715,0.034482758620689655,0.06666666666666667,,0.35714285714285715,8.728571428571428,0.25806451612903225,2.0,1.0,12.0,2.0,14.0,3.0,12.0,1.0,6.0,2.0,5.0,4.0,,,,,0.5,0.07142857142857142,,0.25,0.07692307692307693,0.0625,,,0.07142857142857142,0.42857142857142855,,0.14285714285714285,0.2857142857142857,24.500000000000004,,,,3.0,,2.0,9.0,,1.0,0.21428571428571427,,0.21428571428571427,,,,,,,3.0,1.0,1.0,3.0,1.0,,1.0,,0.3333333333333333,0.1,0.25,0.25,1.0,0.5,0.25,,,,,2.0,,,2.0,0.6666666666666666,,True,,,,,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,3986.0,66.0,-24,122,122,27.0,19,21.0,244,,2.0,,2.0,,1.0,,2.0,,,,4.0,4.0,4.0,129,,3.0,,,,2.0,4.0,4.0,,,,2.0,,2.0,,,,4.0,7.0,,7.0,1.0,8.0,11.0,19.0,,1.0,,,2.0,,,2.0,1.0,7.0,8.0,,,4.0,,8.0,,1.0,3.0,3.0,2.0,3.0,4.0,27.0,,3.0,,,,,,,,,0.25,,0.4,6.8965517241379315,,0.16666666666666666,0.15217391304347827,0.12280701754385964,,0.125,0.15714285714285714,0.07142857142857142,0.16666666666666666,0.25,0.14285714285714285,0.1,,,,0.5,,,0.5,,,,,,,,0.6666666666666666,,0.5,,0.5,0.48505,0.5862,0.41090000000000004,0.2,0.2,,1.0,4.175,0.22131147540983606,,,,,,,,1.0,2.0,4.0,1.0,,,,1.0,1.0,,0.25,,0.5,0.3076923076923077,0.2857142857142857,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,,0.10526315789473684,,,,,,,2.0,True,,,,,,,
201958,1610612742,Rodrigue Beaubois,Rodrigue Beaubois,201958,DAL,291.0,5.0,9,9,9,6.0,9,2.0,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,3.0,,7.0,6,1.0,1.0,,2.0,2.0,3.0,,7.0,,4.0,,1.0,,1.0,,1.0,,2.0,1.0,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,,,,,0.6666666666666666,1.0,0.6666666666666666,0.7,1.0,0.7,0.7,1.0,0.7,41.66666666666667,,,0.4,0.5,,0.3333333333333333,0.25,,,0.3333333333333333,,1.0,,,,0.2,1.0,1.0,0.2,1.0,1.0,,0.2,,,,1.0,1.0,0.2,1.0,0.6,0.5098499999999999,0.6631,0.5098499999999999,,,0.2857142857142857,1.0,9.1,0.6666666666666666,,,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,0.4,,,,,,,,,0.4,,,0.4,24.7,,,,1.0,,,,,,0.5,,0.5,,,,,,,1.0,1.0,1.0,1.0,,,,,0.5,,0.5,0.5,,0.5,0.5,,,1.0,3.0,,,,,,,True,,,,,,,
