EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,OpponentPoints,DefTwoPtRebounds,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,LongMidRangeFrequency,ShortMidRangeFGA,LongMidRangeFGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,Steals,BadPassSteals,ShootingFouls,FG3APct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,Arc3Frequency,Avg3ptShotDistance,Corner3FGM,Corner3FGA,FG3M,FtPoints,PtsAssisted3s,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyFtPoints,PtsAssisted2s,Fg2aBlocked,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctAssisted,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,NonHeaveArc3FGM,ShortMidRangeAssists,LostBallTurnovers,PenaltyTurnovers,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG3A,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,on,SecondChanceFtPoints,DeadBallTurnovers,Travels,PenaltyCorner3FGM,PenaltyCorner3FGA,Offensive Fouls,Loose Ball Fouls Drawn,BlockedAtRim,RecoveredBlocks,AtRimPctBlocked,BlocksRecoveredPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,StepOutOfBoundsTurnovers,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGA,BlockedLongMidRange,OffCorner3ReboundPct,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,106.0,2.0,2.0,2.0,4,1.0,3.0,1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,33.333333333333336,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7581,0.7581,0.7581,1.0,1.0,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,147.0,2.0,,4.0,6,4.0,6.0,3.0,10,,,,,,,,2.0,,,,,,2.0,,,,,,1.0,,1.0,,4.0,,,,,,,,,,28.57142857142857,,,,,,,,,,,,,0.38539999999999996,,0.38539999999999996,,,18.0,1.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,1560.0,26.0,-2.0,41.0,44,9.0,22.0,7.0,85,1.0,1.0,,,,,5.0,6.0,10.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,,1.0,,4.0,1.0,5.0,2.0,9.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,1.0,1.0,16.0,,0.047619047619047616,0.038461538461538464,,0.16666666666666666,1.0,1.0,,,,,0.16666666666666666,0.4356166666666667,,0.2907,0.2,0.2,15.133333333333333,0.21951219512195122,4.0,46.0,1.0,0.09090909090909091,0.26666666666666666,,0.6666666666666666,1.0,4.0,3.0,2.0,5.0,1.0,1.0,2.0,1.0,12.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.16666666666666666,0.14285714285714285,0.6666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,1687.0,28.0,-2.0,45.0,49,13.0,27.0,10.0,94,1.0,2.0,1.0,2.0,,,1.0,2.0,2.0,1.0,2.0,2.0,,,,2.0,2.0,4.0,1.0,4.0,5.0,9.0,,13.0,0.5,0.5,,0.3333333333333333,0.5,,0.3333333333333333,0.5,,5.2631578947368425,0.5,0.14814814814814814,0.15625,,0.6666666666666666,0.5,0.5,1.0,0.5,,,1.0,0.643,0.643,,1.0,,0.95,0.28888888888888886,,48.0,2.0,0.15384615384615385,0.17647058823529413,,,,,,,,,,,,,1.0,1.0,,,,,2.0,1.0,1.0,,,,1.0,,0.25,0.14285714285714285,,0.3333333333333333,,1.0,,,,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.3333333333333333,0.2,0.5,0.2,0.4,0.3333333333333333,38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1916,1610612764,Calvin Booth,Calvin Booth,1916,WAS,20.0,,,,1,,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,1610612764,Roger Mason Jr.,Roger Mason Jr.,2427,WAS,658.0,11.0,3.0,18.0,21,2.0,4.0,3.0,39,1.0,1.0,,,,,1.0,3.0,7.0,,,,,,,2.0,,,,,,,,2.0,0.3333333333333333,,,0.625,,,0.875,,,19.047619047619047,,,,,0.25,1.0,1.0,,,,,0.5,0.56975,,,,,10.933333333333332,0.1111111111111111,1.0,19.0,,,,,0.25,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,0.25,,,,1.0,,,1.0,1.0,,0.25,,,,,,22.8,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2553,1610612764,Jarvis Hayes,Jarvis Hayes,2553,WAS,1002.0,17.0,3.0,27.0,29,13.0,21.0,6.0,56,,,,,,,1.0,3.0,3.0,,,,1.0,3.0,3.0,,,1.0,,,1.0,1.0,3.0,13.0,0.3333333333333333,,0.3333333333333333,0.25,,0.3333333333333333,0.3,,0.375,14.285714285714286,,0.058823529411764705,0.05263157894736842,0.125,,,,,,,,0.25,0.4215375,,0.3634,,1.0,15.566666666666668,0.48148148148148145,2.0,24.0,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,0.25,0.5,0.5,1.0,1.0,1.0,,,,1.0,0.25,,,,,0.25,24.3,,,,1.0,,2.0,,,1.0,,,,,,,,,0.2,0.25,,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612764,DeShawn Stevenson,DeShawn Stevenson,2052,WAS,1009.0,17.0,-5.0,27.0,27,11.0,22.0,7.0,54,,2.0,,,,,,6.0,6.0,,1.0,,,2.0,3.0,,,,,,,,3.0,11.0,,,,0.3,,0.5,0.3,,0.5,33.333333333333336,,,,,0.2,,,,,,,0.6,0.51276,0.3509,0.4249,,0.5,12.316666666666665,0.4074074074074074,4.0,29.0,,,,,0.4,,,1.0,,1.0,,,,,2.0,,,2.0,,2.0,,,,,,,,,1.0,,,,,,,,,,4.0,4.0,4.0,,,,,0.4,,,,,0.4,24.75,,,2.0,,6.0,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,1135.0,19.0,-4.0,32.0,33,12.0,23.0,8.0,65,2.0,5.0,1.0,4.0,1.0,3.0,4.0,12.0,11.0,2.0,5.0,4.0,1.0,5.0,3.0,2.0,,3.0,,3.0,4.0,7.0,3.0,12.0,0.3333333333333333,0.4,0.2,0.2857142857142857,0.3333333333333333,0.2,0.34375,0.3333333333333333,0.25,38.095238095238095,,0.15,0.16666666666666666,0.09090909090909091,0.35714285714285715,0.4,0.4,0.6666666666666666,0.25,0.6,0.3333333333333333,0.5,0.4506178571428571,0.54224,0.44505999999999996,0.36363636363636365,0.2727272727272727,8.783333333333333,0.375,4.0,35.0,3.0,0.375,0.2727272727272727,,0.2857142857142857,3.0,1.0,,1.0,1.0,1.0,,,,3.0,,1.0,,,,,1.0,3.0,,,,,,,,0.5,0.3333333333333333,,,0.1,0.21428571428571427,0.25,0.25,2.0,2.0,2.0,1.0,,,1.0,0.14285714285714285,0.25,,0.25,1.0,0.14285714285714285,25.75,,,,3.0,,4.0,,,1.0,,,,,,,,,0.06666666666666667,0.07692307692307693,,1.0,6.0,,0.75,0.75,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,1.0,0.16666666666666666,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,1610612764,Darius Songaila,Darius Songaila,2443,WAS,912.0,15.0,-8.0,24.0,26,,6.0,4.0,50,2.0,2.0,,,,,2.0,6.0,5.0,,,,,,,2.0,,,,2.0,,2.0,,,0.3333333333333333,,,0.3333333333333333,,,0.4166666666666667,,,21.428571428571427,,,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.4160333333333333,,,,,10.766666666666667,,3.0,32.0,2.0,0.2857142857142857,0.25,,0.5,1.0,,1.0,,1.0,,,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,0.6666666666666666,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,0.16666666666666666,0.16666666666666666,,,2.0,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,199.0,3.0,3.0,5.0,5,,,1.0,10,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.666666666666668,,,,,,,,,,,,,0.3442,,,,,9.8,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,1379.0,23.0,-13.0,43.0,42,12.0,8.0,4.0,85,1.0,1.0,,,,,3.0,5.0,7.0,1.0,1.0,3.0,,,,4.0,2.0,2.0,1.0,3.0,2.0,5.0,,12.0,0.6,1.0,,0.6,1.0,,0.7,1.5,,12.244897959183673,0.5,0.08695652173913043,0.07407407407407407,0.09090909090909091,0.2,1.0,1.0,,,,,0.2,0.45888,0.5265,,0.42857142857142855,,12.36,0.27906976744186046,3.0,51.0,2.0,0.10526315789473684,0.08695652173913043,0.25,0.6,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,1.0,,0.14285714285714285,0.125,,,,0.2,0.3333333333333333,0.3333333333333333,,,,,,,2.0,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,0.2,0.2,,,2.0,,0.3333333333333333,0.5,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,False,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,884.0,15.0,,28.0,27,,12.0,4.0,55,1.0,1.0,,,,,1.0,4.0,3.0,,,,,,,2.0,,,,2.0,,2.0,,,0.25,,,0.25,,,0.375,,,18.75,,,,,0.25,1.0,1.0,,,,,0.25,0.488425,,,,,11.0,,2.0,28.0,1.0,0.1,0.14285714285714285,,0.5,1.0,,4.0,,4.0,,,3.0,1.0,8.0,1.0,,1.0,1.0,2.0,,2.0,1.0,,,,,,0.5,0.25,,,0.3333333333333333,,,0.25,,,,,,,,,2.0,,,,,0.16666666666666666,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
