EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PtsAssisted2s,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,PtsUnassisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,BadPassOutOfBoundsTurnovers,AtRimAssists,SelfOReb,Steals,BadPassSteals,OffShortMidRangeReboundPct,SelfORebPct,LostBallSteals,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,DefAtRimReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Assists,2pt And 1 Free Throw Trips,Offensive Fouls Drawn,on,ShortMidRangeFGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,HeaveAttempts,ShortMidRangeAssists,Loose Ball Fouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,SecondChanceFg3Pct,OffLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,Travels,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations
1506,1610612742,Austin Croshere,Austin Croshere,1506,DAL,2012.0,34,-19,64,63,25,40,8.0,127,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,1.0,8.0,3.0,4.0,4.0,15.0,84.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,9.0,2.0,9.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,1.0,1.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,4.0,1.0,1.0,9.0,25,1.0,1.0,1.0,0.75,0.5,0.75,0.125,0.5,1.0,0.4583333333333333,0.5,0.8333333333333334,0.5357142857142857,0.5,0.9,0.3333333333333333,0.25,0.5,22.22222222222222,0.5,0.25,0.1,0.10526315789473684,0.09090909090909091,0.1111111111111111,0.09523809523809523,0.10714285714285714,0.3333333333333333,0.25,0.25,0.125,0.3333333333333333,0.25,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.75,0.75,1.0,0.5,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.6666666666666666,0.75,0.4627583333333334,0.5556,0.5155,0.07692307692307693,0.1111111111111111,0.13333333333333333,0.6,7.1625,24.55,0.390625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,1231.0,21,-12,38,38,8,16,6.0,76,2.0,3.0,,,,,1.0,,,1.0,,,2.0,4.0,,1.0,4.0,8.0,53.0,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,2.0,3.0,6.0,1.0,7.0,1.0,,2.0,3.0,1.0,3.0,1.0,4.0,1.0,4.0,2.0,,,8,,,,,,,0.5,,,0.4,,,0.5714285714285714,,,0.2,0.25,,22.727272727272727,0.3333333333333333,1.0,0.3333333333333333,,0.16666666666666666,0.25,0.25,0.0625,,,0.5,,0.6,0.6666666666666666,0.6666666666666666,0.2,,0.2,,,,,,,,,,0.8,,0.55619,,,0.2857142857142857,0.3333333333333333,,,1.15,26.2,0.21052631578947367,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,1334.0,22,-19,42,40,14,22,6.0,82,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,3.0,1.0,3.0,,5.0,61.0,,1.0,,1.0,2.0,,1.0,,2.0,2.0,,,3.0,1.0,,,,1.0,,,1.0,,1.0,2.0,2.0,2.0,4.0,,1.0,1.0,,,,,,2.0,14,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.5,0.4166666666666667,,0.3333333333333333,0.4166666666666667,,0.3333333333333333,0.5,,,20.833333333333336,0.5,,,,0.14285714285714285,,0.07692307692307693,,,,,,0.16666666666666666,1.0,1.0,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,,0.3333333333333333,1.0,0.3333333333333333,,0.6666666666666666,0.3333333333333333,0.4450083333333333,0.3501,0.44261666666666666,,,,0.4,9.533333333333333,26.066666666666666,0.3333333333333333,,,1.0,2.0,,,,,,0.5,,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,849.0,14,3,27,27,11,25,4.0,54,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,,,,2.0,27.0,1.0,1.0,2.0,1.0,2.0,,,,2.0,2.0,,2.0,,,,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,2.0,11,,,,,,,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,,,9.67741935483871,1.0,,0.25,0.125,,,0.125,0.07692307692307693,,,,,0.5,1.0,1.0,0.5,,,,,,1.0,1.0,0.5,1.0,,,0.5,,0.4198,0.4758,0.4198,,,1.0,1.0,3.35,,0.4074074074074074,,1.0,,1.0,,,,,0.5,,,,1.0,,1.0,,,2.0,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,1256.0,21,-17,39,40,11,21,6.0,79,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,,,,,3.0,5.0,,,,6.0,53.0,1.0,1.0,2.0,1.0,2.0,,,,2.0,4.0,,2.0,,,,,1.0,,1.0,,1.0,1.0,2.0,,,,,1.0,2.0,,,,,,,2.0,11,1.0,,,,,,0.6,1.0,0.5,0.6,1.0,0.5,0.6,1.0,0.5,,,,11.11111111111111,,,0.16666666666666666,0.06666666666666667,,,0.09090909090909091,0.05555555555555555,0.16666666666666666,,,,0.6,1.0,1.0,,0.4,,,,,1.0,1.0,0.5,1.0,,,0.6,,0.5831,0.5941,0.50145,,,0.3333333333333333,0.3333333333333333,6.720000000000001,,0.28205128205128205,2.0,,,,0.3333333333333333,0.5,,,0.5,,0.3333333333333333,,2.0,,2.0,,,4.0,,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,808.0,13,-21,28,27,14,17,3.0,55,,1.0,,,,1.0,,,,1.0,,,,1.0,1.0,3.0,,3.0,47.0,,,,,1.0,1.0,2.0,,3.0,,3.0,,1.0,,,,,,1.0,,1.0,,1.0,,,2.0,2.0,,,,,,,,,3.0,14,,,1.0,0.3333333333333333,0.5,0.3333333333333333,,,,0.375,,0.5,0.375,,0.5,0.75,,,19.35483870967742,,,0.2,,,,0.1111111111111111,,,,,,0.25,,,,,0.25,,,,,,0.3333333333333333,,,,1.0,,0.5370625,,0.5655833333333333,,,,1.0,,23.53333333333333,0.5,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,3.0,1.0,,,,,,,,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.5,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200772,1610612742,Maurice Ager,Maurice Ager,200772,DAL,923.0,15,-3,27,27,11,15,3.0,54,,,,,,,,4.0,1.0,1.0,,,2.0,4.0,2.0,2.0,2.0,12.0,29.0,,,,1.0,2.0,,,,2.0,2.0,3.0,,1.0,1.0,,,,1.0,1.0,,2.0,,2.0,,,,,,,,3.0,1.0,4.0,1.0,1.0,2.0,11,,,0.5,1.0,,1.0,0.5,,0.5,0.8333333333333334,,0.5,0.75,,0.5,0.3333333333333333,,,26.666666666666668,,,0.25,,0.14285714285714285,,0.18181818181818182,,,,0.5,0.2,,,,,0.6666666666666666,0.16666666666666666,1.0,1.0,,,,,,,,0.3333333333333333,1.0,0.4109583333333333,,0.3206,0.14285714285714285,0.2,,0.16666666666666666,20.6,24.299999999999997,0.4074074074074074,2.0,,,,0.5,0.5,,,,,,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,0.16666666666666666,1.0,1.0,1.0,,,2.0,0.5,0.5,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,1610612742,Devin Harris,Devin Harris,2734,DAL,829.0,14,-5,26,26,9,17,2.0,52,3.0,4.0,,,1.0,2.0,,2.0,,,,,4.0,6.0,1.0,3.0,3.0,14.0,39.0,,,,1.0,3.0,,,,2.0,8.0,3.0,,,,1.0,,,,1.0,,1.0,,1.0,,,,,4.0,6.0,,3.0,,3.0,2.0,,2.0,9,1.0,,1.0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.6111111111111112,,0.3333333333333333,0.7,,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,35.71428571428571,,,0.3333333333333333,,,,0.1,,,,1.0,,0.4444444444444444,0.75,1.0,,0.2222222222222222,,,,,,,0.6666666666666666,0.5,,,0.7777777777777778,,0.5079722222222222,,0.5195666666666666,0.2,0.2857142857142857,,0.14285714285714285,6.983333333333334,23.333333333333332,0.34615384615384615,,,,,,,,,,,,,,3.0,3.0,1.0,,9.0,,,,1.0,,,,1.0,1.0,3.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,,1.0,0.5,0.5,,2.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,522.0,9,2,18,18,12,18,2.0,36,,,,,,,,,,,,,,,,2.0,,,16.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.48877499999999996,,0.4743,,,,,,23.6,0.6666666666666666,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,,,,,,,2.0,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,122.0,2,4,5,4,5,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,1.0,,,5,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
