EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,3SecondViolations,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,OffensiveGoaltends,on,StepOutOfBoundsTurnovers,Corner3PctBlocked,BlockedCorner3
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,6308.0,105,-20,185,199,79,93,31,384,11.0,12.0,4.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,1.0,1.0,14.0,21.0,1.0,8.0,36.0,213,4.0,5.0,8.0,16.0,3.0,5.0,1.0,7.0,13.0,22.0,6.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,3.0,12.0,1.0,16,10.0,26,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,10.0,19,4.0,1.0,13.0,4.0,15.0,3.0,6.0,3.0,8.0,5.0,2.0,1.0,8.0,6.0,13.0,79,2.0,3.0,0.7857142857142857,0.9166666666666666,0.6666666666666666,0.8,0.6,0.6363636363636364,0.8,0.5,0.6428571428571429,0.7272727272727273,0.5909090909090909,0.045454545454545456,0.047619047619047616,0.2,14.746543778801843,0.5,0.08333333333333333,0.17391304347826086,0.09523809523809523,0.15,0.16,0.16853932584269662,0.11363636363636363,0.11764705882352941,0.14285714285714285,0.0625,0.1875,0.1111111111111111,0.15384615384615385,0.2222222222222222,0.16,0.2727272727272727,0.75,0.5454545454545454,0.9166666666666666,0.9166666666666666,0.8181818181818182,0.22727272727272727,0.4,0.5,0.5,0.18181818181818182,0.25,0.25,1.0,0.045454545454545456,0.8,1.0,0.5,0.6666666666666666,0.75,0.16666666666666666,0.5909090909090909,0.5204666666666666,0.579,0.61744,0.24,0.25,0.4444444444444444,0.3611111111111111,5.419047619047619,42.5,0.42702702702702705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,32210.0,537,92,973,961,355,342,132,1934,9.0,22.0,1.0,3.0,4.0,8.0,8.0,11.0,25.0,47.0,64.0,31.0,42.0,80.0,75.0,78.0,252.0,969,2.0,6.0,7.0,26.0,16.0,29.0,35.0,59.0,124.0,16.0,68.0,,,4.0,16.0,76.0,11.0,168.0,2.0,5.0,9.0,34.0,1.0,44,7.0,51,17.0,11.0,19.0,9.0,21.0,1.0,40.0,13.0,14.0,34,1.0,9.0,80.0,,93.0,1.0,20.0,22.0,2.0,1.0,,1.0,2.0,,124.0,355,3.0,22.0,0.19047619047619047,0.19047619047619047,0.525,0.3333333333333333,0.5517241379310345,0.5612903225806452,0.59375,0.5078125,0.6243654822335025,0.6842105263157895,0.625,0.4838709677419355,0.05,,21.066666666666666,0.475,0.017543859649122806,0.09164420485175202,0.014084507042253521,0.1125,0.018518518518518517,0.09534368070953436,0.01511879049676026,0.010309278350515464,0.0125,0.016853932584269662,0.012658227848101266,0.034482758620689655,0.04918032786885246,0.10638297872340426,0.11612903225806452,0.09433962264150944,,0.14193548387096774,0.4090909090909091,0.5,0.1111111111111111,0.07096774193548387,0.7272727272727273,0.7272727272727273,0.125,0.3032258064516129,0.5319148936170213,0.5319148936170213,0.24,0.4129032258064516,0.1875,0.3333333333333333,,0.125,0.5,0.484375,0.6258064516129033,0.48093116883116893,0.5014730769230769,0.46632968750000003,0.12,0.20202020202020202,0.10317460317460317,0.49206349206349204,12.00875,25.511999999999997,0.3648509763617677,4.0,11.0,1.0,4.0,26.0,5.0,10.0,10.0,30.0,5.0,10.0,11.0,57.0,33.0,64.0,26.0,1.0,60.0,5.0,20.0,9.0,31.0,1.0,6.0,5.0,10.0,6.0,3.0,5.0,7.0,1.0,1.0,0.6333333333333333,0.4,0.5,0.3142857142857143,0.4,0.013333333333333334,0.18181818181818182,0.015625,0.14814814814814814,0.013333333333333334,0.07096774193548387,0.36363636363636365,0.36363636363636365,0.5,0.40625,0.4126984126984127,0.6538461538461539,0.625,0.5,0.8,0.0625,0.25,0.3225806451612903,0.40625,0.013157894736842105,,,,,,,,,,,,,,True,,,
185,1610612765,Chris Webber,Chris Webber,185,DET,21879.0,365,10,641,631,148,136,89,1272,34.0,54.0,10.0,18.0,8.0,12.0,12.0,25.0,9.0,32.0,1.0,,55.0,111.0,1.0,23.0,133.0,677,16.0,26.0,2.0,34.0,12.0,26.0,,10.0,34.0,72.0,38.0,18.0,,5.0,4.0,22.0,2.0,48.0,3.0,28.0,6.0,42.0,11.0,59,31.0,90,13.0,8.0,9.0,5.0,14.0,1.0,23.0,9.0,29.0,46,1.0,4.0,41.0,3.0,43.0,9.0,23.0,3.0,9.0,7.0,1.0,1.0,9.0,4.0,34.0,148,4.0,3.0,0.6545454545454545,0.782608695652174,0.4954954954954955,0.6153846153846154,0.46153846153846156,0.49107142857142855,0.6153846153846154,0.46153846153846156,0.5155038759689923,0.6071428571428571,0.53125,0.008928571428571428,0.04504504504504504,,20.43010752688172,0.391304347826087,0.36666666666666664,0.1721311475409836,0.10727969348659004,0.14634146341463414,0.05660377358490566,0.16842105263157894,0.09872611464968153,0.15,0.08955223880597014,0.09701492537313433,0.05263157894736842,0.06666666666666667,0.12658227848101267,0.23728813559322035,0.16981132075471697,0.13333333333333333,0.4444444444444444,0.48214285714285715,0.6296296296296297,0.68,0.6764705882352942,0.22321428571428573,0.48,0.48,0.5,0.2857142857142857,0.28125,0.2903225806451613,0.7777777777777778,0.008928571428571428,0.6923076923076923,0.5555555555555556,0.2,0.46153846153846156,0.6666666666666666,,0.49107142857142855,0.4770477678571428,0.523525,0.4703576923076923,0.18253968253968253,0.184,0.2556390977443609,0.2556390977443609,6.936036036036036,26.6,0.23088923556942278,,,,,,,,,,,,,,,1.0,,,18.0,2.0,9.0,4.0,5.0,2.0,5.0,3.0,4.0,5.0,4.0,3.0,,,,,,,,,,0.07407407407407407,,0.18181818181818182,0.038461538461538464,,,,,,,,,,,,,,,,1.0,0.03125,,,,,,,,,,,,True,,,
1888,1610612765,Richard Hamilton,Richard Hamilton,1888,DET,38284.0,638,39,1144,1142,381,378,168,2286,28.0,52.0,5.0,8.0,8.0,17.0,27.0,54.0,45.0,126.0,10.0,1.0,100.0,232.0,20.0,77.0,301.0,1177,14.0,32.0,9.0,40.0,23.0,60.0,5.0,50.0,99.0,108.0,92.0,10.0,,16.0,15.0,60.0,11.0,135.0,7.0,25.0,6.0,28.0,3.0,37,32.0,69,14.0,10.0,20.0,12.0,11.0,1.0,31.0,8.0,23.0,60,2.0,3.0,55.0,,89.0,,18.0,23.0,,,,,2.0,1.0,99.0,381,10.0,22.0,0.54,0.5684210526315789,0.43103448275862066,0.4375,0.38333333333333336,0.4444444444444444,0.44285714285714284,0.3769230769230769,0.5034129692832765,0.4878048780487805,0.521978021978022,0.07936507936507936,0.06896551724137931,0.09259259259259259,24.215246636771298,0.6451612903225806,0.047619047619047616,0.06407322654462243,0.05747126436781609,0.061855670103092786,0.05426356589147287,0.06367041198501873,0.05673758865248227,0.07079646017699115,0.05154639175257732,0.05333333333333334,0.07692307692307693,,0.06578947368421052,0.0673076923076923,0.06077348066298342,0.04477611940298507,0.5,0.20634920634920634,0.5384615384615384,0.6511627906976745,0.5,0.21428571428571427,0.5,0.5510204081632653,0.3333333333333333,0.5,0.35714285714285715,0.3629032258064516,0.6888888888888889,0.03968253968253968,0.22857142857142856,0.625,0.4,0.26153846153846155,0.47058823529411764,0.015384615384615385,0.2857142857142857,0.44818087649402394,0.4346535714285714,0.44437343749999997,0.06666666666666667,0.072,0.132890365448505,0.3289036544850498,11.741379310344827,25.005,0.333041958041958,5.0,10.0,1.0,4.0,3.0,,1.0,,8.0,1.0,3.0,1.0,24.0,,10.0,3.0,,45.0,4.0,21.0,4.0,20.0,6.0,4.0,3.0,8.0,4.0,4.0,3.0,7.0,,1.0,1.0,0.4,0.3333333333333333,0.2,0.4,,0.17307692307692307,,0.1,0.047244094488188976,0.03968253968253968,0.5,0.5,1.0,0.3,0.3,1.0,0.02857142857142857,,,0.06153846153846154,0.25,,0.3,,,0.015873015873015872,1.0,2.0,2.0,2.0,0.05714285714285714,0.5,1.0,,,,,True,,,
2419,1610612765,Tayshaun Prince,Tayshaun Prince,2419,DET,34015.0,567,97,1021,1014,337,321,143,2035,28.0,50.0,6.0,11.0,8.0,16.0,12.0,35.0,16.0,44.0,20.0,5.0,56.0,129.0,39.0,35.0,195.0,1020,7.0,16.0,3.0,32.0,12.0,33.0,10.0,18.0,51.0,62.0,50.0,12.0,,3.0,15.0,48.0,9.0,111.0,5.0,15.0,16.0,36.0,12.0,64,22.0,86,12.0,8.0,16.0,10.0,9.0,2.0,25.0,9.0,16.0,22,1.0,2.0,38.0,2.0,47.0,5.0,20.0,6.0,5.0,4.0,,1.0,5.0,4.0,51.0,337,2.0,6.0,0.5535714285714286,0.62,0.43410852713178294,0.4375,0.36363636363636365,0.47619047619047616,0.6304347826086957,0.38372093023255816,0.5158730158730159,0.6666666666666666,0.4722222222222222,0.23214285714285715,0.023255813953488372,,18.08960270498732,0.64,0.21818181818181817,0.09137055837563451,0.0398936170212766,0.1839080459770115,0.04672897196261682,0.10810810810810811,0.041407867494824016,0.04,0.0449438202247191,0.0374331550802139,0.039473684210526314,0.06451612903225806,0.03816793893129771,0.07142857142857142,0.14545454545454545,0.18032786885245902,0.8,0.2976190476190476,0.56,0.5957446808510638,0.6428571428571429,0.20833333333333334,0.34285714285714286,0.34285714285714286,0.25,0.2619047619047619,0.36363636363636365,0.36363636363636365,0.625,0.11904761904761904,0.4782608695652174,0.5454545454545454,0.16666666666666666,0.37209302325581395,0.5,0.11627906976744186,0.5297619047619048,0.48759910714285715,0.54086875,0.4749337209302326,0.1092896174863388,0.1388888888888889,0.1641025641025641,0.26153846153846155,8.833333333333334,24.728205128205126,0.33006856023506365,8.0,19.0,2.0,5.0,8.0,4.0,5.0,1.0,16.0,5.0,7.0,3.0,48.0,,20.0,8.0,,33.0,6.0,12.0,8.0,13.0,7.0,4.0,3.0,6.0,1.0,,3.0,,,,1.0,0.41025641025641024,0.7142857142857143,0.3,0.41025641025641024,,0.06,,0.19230769230769232,0.07692307692307693,0.1130952380952381,0.42105263157894735,0.42105263157894735,1.0,0.4,0.4,1.0,0.21739130434782608,0.8,1.0,0.11627906976744186,0.4,0.2,0.4,,,,1.0,2.0,,,0.08695652173913043,0.5,1.0,2.0,0.05128205128205128,,,True,,,
2568,1610612765,Carlos Delfino,Carlos Delfino,2568,DET,4427.0,74,-48,134,137,56,71,22,271,2.0,3.0,1.0,1.0,,,,1.0,4.0,8.0,3.0,1.0,6.0,12.0,7.0,1.0,13.0,162,3.0,5.0,,6.0,,1.0,4.0,,,8.0,4.0,2.0,,1.0,,5.0,,10.0,,4.0,,6.0,1.0,7,4.0,11,3.0,3.0,2.0,2.0,1.0,,3.0,2.0,4.0,6,,,3.0,,2.0,,1.0,,1.0,1.0,,,1.0,1.0,,56,2.0,,0.6666666666666666,0.8,0.5,0.6,,0.3157894736842105,0.5,,0.325,0.5,,0.3684210526315789,0.08333333333333333,,14.19753086419753,0.6666666666666666,0.1111111111111111,0.13333333333333333,0.07407407407407407,,,0.1016949152542373,0.05263157894736842,0.08333333333333333,0.14285714285714285,0.05714285714285714,,,0.1,,0.21052631578947367,,1.0,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.5,0.05263157894736842,,,,0.42105263157894735,0.5,0.5714285714285714,0.75,0.15789473684210525,0.16666666666666666,1.0,,,,0.2,0.5263157894736842,0.48659473684210536,0.4689,0.5231,0.05,0.07692307692307693,0.46153846153846156,,12.475000000000001,23.842857142857145,0.417910447761194,,4.0,,3.0,,,,,,,1.0,,,,3.0,,,5.0,,2.0,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,0.21052631578947367,,,,,,,,,,0.6,,,,,1.0,0.125,,1.0,,,0.16666666666666666,,,,,,,True,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,16207.0,270,5,486,486,190,215,84,972,10.0,24.0,5.0,15.0,5.0,10.0,2.0,6.0,16.0,51.0,2.0,2.0,28.0,81.0,2.0,15.0,71.0,484,5.0,18.0,5.0,15.0,13.0,33.0,2.0,5.0,31.0,44.0,12.0,6.0,1.0,3.0,5.0,14.0,3.0,33.0,13.0,25.0,7.0,29.0,13.0,49,38.0,87,8.0,4.0,5.0,3.0,8.0,1.0,13.0,3.0,27.0,47,1.0,2.0,19.0,3.0,21.0,3.0,9.0,3.0,12.0,8.0,,4.0,12.0,8.0,31.0,190,8.0,3.0,0.7857142857142857,0.88,0.345679012345679,0.2777777777777778,0.3939393939393939,0.3373493975903614,0.2777777777777778,0.37142857142857144,0.3858695652173913,0.35714285714285715,0.3974358974358974,0.024096385542168676,0.037037037037037035,0.16666666666666666,17.94871794871795,0.38461538461538464,0.4642857142857143,0.15846994535519127,0.125,0.13725490196078433,0.203125,0.15384615384615385,0.14393939393939395,0.21428571428571427,0.09375,0.08928571428571429,0.125,0.4375,0.1791044776119403,0.1794871794871795,0.12987012987012986,0.1111111111111111,0.6666666666666666,0.2891566265060241,0.4166666666666667,0.43478260869565216,0.6,0.07228915662650602,0.3333333333333333,0.4,0.5,0.6144578313253012,0.3137254901960784,0.32,0.9375,0.024096385542168676,0.8333333333333334,0.3333333333333333,0.4,0.2857142857142857,0.5,0.05714285714285714,0.3132530120481928,0.44330246913580235,0.5481374999999999,0.43293333333333334,0.10112359550561797,0.10344827586206896,0.2112676056338028,0.43661971830985913,12.004938271604935,50.55,0.39094650205761317,,,,,,,,,,,,,,,1.0,,,9.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,,,1.0,,,,,,,0.041666666666666664,,0.2,0.04,,,,,,,,,,,,,,,,1.0,0.0196078431372549,,,,,,,,,,1.0,,True,,,
739,1610612765,Rasheed Wallace,Rasheed Wallace,739,DET,28874.0,481,76,863,854,272,230,116,1717,15.0,26.0,4.0,6.0,5.0,7.0,18.0,38.0,18.0,45.0,47.0,16.0,51.0,109.0,60.0,28.0,193.0,863,7.0,12.0,5.0,19.0,12.0,27.0,20.0,8.0,47.0,66.0,36.0,10.0,,9.0,7.0,23.0,7.0,53.0,3.0,14.0,13.0,69.0,7.0,89,18.0,107,15.0,10.0,8.0,5.0,8.0,,16.0,5.0,33.0,51,4.0,3.0,25.0,2.0,34.0,4.0,18.0,1.0,26.0,17.0,1.0,8.0,26.0,15.0,47.0,272,4.0,1.0,0.6470588235294118,0.717391304347826,0.46788990825688076,0.5833333333333334,0.4444444444444444,0.4881656804733728,0.4375,0.4148936170212766,0.5244565217391305,0.5277777777777778,0.4519230769230769,0.35502958579881655,0.08256880733944955,0.10526315789473684,20.02002002002002,0.5,0.15217391304347827,0.20535714285714285,0.04501607717041801,0.1780821917808219,0.029411764705882353,0.20048899755501223,0.04116222760290557,0.04878048780487805,0.05333333333333334,0.03896103896103896,0.028985507246376812,0.030303030303030304,0.17543859649122806,0.27058823529411763,0.1897810218978102,0.2,0.5769230769230769,0.15384615384615385,0.5769230769230769,0.6818181818181818,0.6,0.22485207100591717,0.47368421052631576,0.5294117647058824,0.5,0.26627218934911245,0.4,0.4090909090909091,0.8333333333333334,0.2781065088757396,0.375,0.6666666666666666,0.25,0.14893617021276595,0.7142857142857143,0.3404255319148936,0.5088757396449705,0.4625085798816569,0.5121678571428572,0.4405106382978723,0.09836065573770492,0.14634146341463414,0.09844559585492228,0.24352331606217617,10.697247706422019,25.05,0.31517960602549244,4.0,13.0,2.0,4.0,17.0,,2.0,3.0,21.0,,4.0,5.0,63.0,,47.0,17.0,,16.0,,10.0,2.0,4.0,2.0,5.0,3.0,3.0,1.0,3.0,,,,1.0,1.0,0.35,,0.25,0.35,,0.15384615384615385,,0.13043478260869565,0.022988505747126436,0.07692307692307693,0.3076923076923077,0.3076923076923077,1.0,0.3617021276595745,0.3617021276595745,1.0,0.125,,,0.0851063829787234,0.5,0.1875,0.3617021276595745,,1.0,0.022222222222222223,,2.0,,,0.125,,,1.0,0.02857142857142857,,,True,,,
905,1610612765,Dale Davis,Dale Davis,905,DET,2270.0,38,2,67,71,31,43,13,138,3.0,7.0,1.0,3.0,,,,1.0,,,,,3.0,8.0,,2.0,8.0,72,1.0,3.0,,2.0,,,,,,4.0,2.0,2.0,,2.0,,1.0,,2.0,2.0,3.0,1.0,3.0,1.0,5,5.0,10,2.0,1.0,,,2.0,,2.0,1.0,8.0,12,3.0,,4.0,,4.0,2.0,3.0,,2.0,2.0,,,2.0,,,31,2.0,,0.6666666666666666,1.0,0.375,0.3333333333333333,,0.375,0.3333333333333333,,0.4444444444444444,0.3333333333333333,,,0.25,,13.414634146341465,,0.125,0.11538461538461539,0.10714285714285714,0.5,0.2222222222222222,0.14285714285714285,0.13513513513513514,,0.16666666666666666,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.15384615384615385,,0.1,1.0,,0.875,0.42857142857142855,0.6,0.6666666666666666,0.125,,,,,,,,,1.0,0.3333333333333333,,,,,0.875,0.543675,0.5710999999999999,,0.3333333333333333,0.3333333333333333,0.25,,1.1375,,0.4626865671641791,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,
2436,1610612765,Flip Murray,Flip Murray,2436,DET,2699.0,45,-23,77,80,27,27,15,157,3.0,5.0,,1.0,1.0,3.0,,3.0,1.0,4.0,,,4.0,12.0,,4.0,12.0,105,,1.0,,,1.0,5.0,,2.0,4.0,2.0,6.0,,,,1.0,5.0,1.0,11.0,,2.0,,4.0,,4,2.0,6,,,2.0,1.0,,,2.0,1.0,,4,,,2.0,,4.0,,2.0,,,,,,,,4.0,27,1.0,,0.25,0.25,0.3333333333333333,,0.2,0.3333333333333333,,0.2,0.42857142857142855,,0.3333333333333333,,,,17.02127659574468,1.0,,0.13793103448275862,0.06666666666666667,,,0.12903225806451613,0.05405405405405406,,0.14285714285714285,0.06666666666666667,,,0.08333333333333333,0.16666666666666666,0.18181818181818182,,,0.4166666666666667,0.6,0.6,0.3333333333333333,0.25,,,,0.3333333333333333,0.25,0.25,,,1.0,,,0.6,0.3333333333333333,,0.4166666666666667,0.4614,0.6745,0.5135,0.14285714285714285,0.14285714285714285,,0.3333333333333333,9.066666666666666,,0.35064935064935066,,,,,,,,,,,,,,,,,,4.0,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
