EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,TwoPtAssists,Assists,AtRimAssists,AssistPoints,SecondChanceFG2A,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,OffThreePtRebounds,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,on,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,SecondChanceFtPoints,PenaltyFG3M,PtsAssisted3s,PtsPutbacks,HeaveAttempts,ThreePtAssists,Arc3Assists,Corner3Assists,LongMidRangeAssists,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,BlockedShortMidRange,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,NonHeaveArc3FGM,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,SecondChanceFg3Pct,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeAssists,FTOffRebounds,DefensiveGoaltends,OffensiveGoaltends,OffFTReboundPct,HeaveMakes,ThreePtShootingFoulsDrawn,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,Defensive 3 Seconds Violations,3SecondViolations
101145,1610612744,Monta Ellis,Monta Ellis,101145,GSW,644.0,11,-4,24,26,17.0,14,2.0,50,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,9.0,25,1.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,17.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.6,0.5,0.5,0.3333333333333333,0.6428571428571429,0.5,0.16666666666666666,0.2,0.5,34.61538461538461,1.0,0.25,0.14285714285714285,0.18181818181818182,0.5,0.25,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.5,0.4995083333333334,0.5281166666666667,0.16666666666666666,0.2,0.4444444444444444,7.839999999999999,24.2,0.7083333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101180,1610612744,Sarunas Jasikevicius,Sarunas Jasikevicius,101180,GSW,356.0,6,1,13,13,13.0,11,1.0,26,,,,,,,1.0,,,,1.0,,1.0,1.0,8,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,2.0,,1.0,,1.0,13.0,,,,,,,,,0.25,0.25,,,,14.285714285714285,,,,,,,,,,,,,,1.0,,,,,,0.3018,0.3018,0.5,0.5,1.0,22.4,,1.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101235,1610612744,Kelenna Azubuike,Kelenna Azubuike,101235,GSW,901.0,15,1,32,35,25.0,23,2.0,67,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,27,1.0,2.0,1.0,2.0,4.0,,2.0,1.0,,1.0,2.0,,3.0,4.0,1.0,1.0,,,,,1.0,1.0,,1.0,2.0,,1.0,,4.0,25.0,,,,,0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,,,11.76470588235294,,0.25,0.125,0.1875,,,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.4670666666666667,0.4670666666666667,0.25,0.3333333333333333,1.0,10.5,24.4,0.78125,,,,,1.0,1.0,1.0,0.14285714285714285,0.1,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,1610612744,Adonal Foyle,Adonal Foyle,1502,GSW,348.0,6,1,11,12,11.0,9,1.0,23,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,2.0,11,1.0,1.0,,,2.0,2.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,11.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,8.333333333333334,,0.25,0.5,0.3333333333333333,,0.5,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,0.579,0.579,,,1.0,,,1.0,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,1610612744,Josh Powell,Josh Powell,2694,GSW,350.0,6,-1,13,13,13.0,10,1.0,26,,,,,,,,,,,,,1.0,1.0,12,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,,1.0,,1.0,13.0,,,,,,,,,0.5,0.5,,,,7.142857142857142,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,0.25,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1733,1610612744,Al Harrington,Al Harrington,1733,GSW,452.0,8,2,17,17,10.0,10,1.0,34,1.0,1.0,,,,,,,,1.0,1.0,,1.0,3.0,8,,,,,,,2.0,,,2.0,1.0,1.0,4.0,4.0,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,,1.0,,,10.0,,,,,1.0,,1.0,,0.75,,,,,16.666666666666668,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,1.0,0.5296,,0.5,0.5,,,,0.5882352941176471,1.0,1.0,1.0,2.0,1.0,,,,,,1.0,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5296,0.6666666666666666,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2554,1610612744,Mickael Pietrus,Mickael Pietrus,2554,GSW,595.0,10,-1,18,24,18.0,20,,42,,,,,,1.0,2.0,,,,3.0,,4.0,4.0,19,,3.0,,4.0,4.0,,,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,2.0,4.0,,2.0,,4.0,18.0,,,,,,,,,0.4,0.4,,,,33.333333333333336,,,0.5,0.1,,0.5,,,,,0.3333333333333333,,,0.6666666666666666,,,,,,0.31833333333333336,0.31833333333333336,0.4,0.4,1.0,18.133333333333336,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1536,1610612744,Stephen Jackson,Stephen Jackson,1536,GSW,146.0,2,3,6,6,,1,1.0,12,,1.0,,,,,,,,,1.0,,,,4,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,28.57142857142857,,,,,,,1.0,,,,,,,,,,,,1.0,0.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2740,1610612744,Andris Biedrins,Andris Biedrins,2740,GSW,407.0,7,11,14,14,7.0,8,1.0,28,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,2.0,4,1.0,1.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,6.666666666666667,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,0.5424,0.5424,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,1610612744,Baron Davis,Baron Davis,1884,GSW,54.0,1,-4,2,3,2.0,3,,5,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
