EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceFG2A,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Technical Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,SecondChanceShotQualityAvg,ShortMidRangeFGA,Corner3FGM,PenaltyCorner3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Arc3FGM,SecondChanceArc3FGA,SecondChanceFG3A,NonHeaveArc3FGM,ShortMidRangeAssists,OffThreePtRebounds,OffRebounds,LostBallSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,ShortMidRangeFGM,PenaltyArc3FGM,LostBallOutOfBoundsTurnovers,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffTwoPtRebounds,SecondChanceTurnovers,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChancePointsPct,FTOffRebounds,OffFTReboundPct,HeaveAttempts,SecondChanceFtPoints,Loose Ball Fouls Drawn,on,StepOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,SelfOReb,SelfORebPct,SecondChanceCorner3FGA,PtsUnassisted3s,Fg3aBlocked,ThreePtShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,3SecondViolations,OffShortMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
101121,1610612761,Joey Graham,Joey Graham,101121,TOR,1717.0,29,-4,56,55,24.0,13.0,4.0,111,3.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,8.0,57,2.0,2.0,1.0,2.0,6.0,2.0,4.0,1.0,2.0,3.0,1.0,6.0,6.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,6.0,24.0,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,0.6,0.6666666666666666,0.6666666666666666,0.75,0.2,15.0,0.5,0.23076923076923078,0.18181818181818182,0.20833333333333334,0.2,0.3333333333333333,0.2222222222222222,0.6,1.0,1.0,0.3333333333333333,0.2,0.2,0.6666666666666666,1.0,0.3333333333333333,0.8,0.5205299999999999,0.5398166666666667,0.2,0.25,0.75,5.025,25.3,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
101181,1610612761,Jose Calderon,Jose Calderon,101181,TOR,2597.0,43,-17,84,83,22.0,12.0,5.0,167,2.0,5.0,1.0,1.0,13.0,1.0,,9.0,18.0,2.0,3.0,21.0,90,3.0,4.0,1.0,,6.0,,18.0,1.0,,3.0,,3.0,3.0,,,2.0,,5.0,1.0,3.0,1.0,4.0,,3.0,,1.0,,6.0,22.0,,,,0.5,0.75,0.45,0.6,0.47619047619047616,0.6,0.1,29.213483146067414,,0.11538461538461539,,0.07692307692307693,0.15384615384615385,,,0.25,0.4,0.6666666666666666,,0.65,0.05,0.2,1.0,,0.35,0.467265,0.46941999999999995,0.047619047619047616,0.05263157894736842,0.2857142857142857,14.027777777777779,23.8,0.2619047619047619,1.0,7.0,1.0,1.0,1.0,3.0,6.0,2.0,8.0,1.0,1.0,2.0,4.0,18.0,3.0,1.0,2.0,1.0,3.0,1.0,0.16666666666666666,0.4,0.07692307692307693,0.6,0.25,0.5384615384615384,0.5833333333333334,0.05,1.0,0.2,0.5662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
1515,1610612761,Anthony Parker,Anthony Parker,1515,TOR,1592.0,27,-11,53,52,24.0,7.0,2.0,105,,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,9.0,55,,1.0,2.0,3.0,6.0,2.0,,1.0,3.0,3.0,,6.0,6.0,,,,,,,,,3.0,,6.0,,2.0,1.0,6.0,24.0,1.0,1.0,1.0,0.3333333333333333,,0.4166666666666667,0.5,0.5,0.6,0.5,16.07142857142857,,0.15789473684210525,0.23076923076923078,0.1875,0.1,0.3333333333333333,0.2222222222222222,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,0.3333333333333333,,0.3333333333333333,0.6666666666666666,0.5259999999999999,0.5919333333333333,0.25,0.4,0.6666666666666666,10.799999999999999,23.5,0.4528301886792453,,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.25,0.16666666666666666,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
200745,1610612761,Andrea Bargnani,Andrea Bargnani,200745,TOR,2373.0,40,-18,78,78,33.0,18.0,4.0,156,1.0,2.0,1.0,1.0,4.0,3.0,,5.0,7.0,3.0,6.0,19.0,86,3.0,3.0,,2.0,8.0,6.0,4.0,3.0,1.0,2.0,,3.0,4.0,1.0,,,,2.0,2.0,3.0,,5.0,,8.0,,3.0,1.0,8.0,33.0,1.0,0.6,0.6,0.7142857142857143,1.0,0.65,1.0,0.6785714285714286,1.0,0.3,19.51219512195122,,0.07692307692307693,0.09090909090909091,0.08108108108108109,0.07692307692307693,,0.1,0.2,0.5,0.5,1.0,0.4,0.3,0.3333333333333333,1.0,,0.5,0.5112500000000001,0.5203333333333333,0.23076923076923078,0.3,0.42105263157894735,12.12857142857143,25.233333333333334,0.4230769230769231,,4.0,,,,,2.0,,2.0,,,,1.0,4.0,2.0,,2.0,,,,,,,1.0,0.2,1.0,1.0,,,,0.61875,1.0,,,1.0,,3.0,1.0,0.3333333333333333,,0.3333333333333333,,0.1,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.03333333333333333,0.125,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2413,1610612761,Juan Dixon,Juan Dixon,2413,TOR,3768.0,63,-22,125,123,47.0,28.0,9.0,248,1.0,2.0,1.0,2.0,9.0,6.0,3.0,6.0,13.0,8.0,,18.0,129,2.0,6.0,3.0,,7.0,8.0,4.0,6.0,1.0,3.0,,4.0,4.0,7.0,3.0,6.0,3.0,10.0,3.0,6.0,2.0,,,,,,,7.0,47.0,,0.6666666666666666,0.6666666666666666,0.46153846153846156,0.3333333333333333,0.42857142857142855,0.3888888888888889,0.42857142857142855,0.3888888888888889,0.38095238095238093,22.962962962962962,,0.08571428571428572,0.045454545454545456,0.07017543859649122,0.1111111111111111,0.09090909090909091,0.05555555555555555,0.09523809523809523,0.5,1.0,,0.42857142857142855,0.2857142857142857,0.2222222222222222,0.5,0.3333333333333333,0.47619047619047616,0.4558000000000001,0.4603944444444445,,,0.3888888888888889,14.653846153846153,24.700000000000003,0.376,,3.0,2.0,,2.0,1.0,3.0,,3.0,,,2.0,1.0,6.0,4.0,,,4.0,3.0,,0.07692307692307693,0.5,,0.4,,0.3333333333333333,0.3333333333333333,0.09523809523809523,,,0.55395,2.0,1.0,,2.0,1.0,6.0,1.0,0.25,0.3333333333333333,0.25,,0.09523809523809523,1.0,0.5,0.5,1.0,,1.0,1.0,1.0,1.0,,,,4.0,,,,,,,,,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0.16666666666666666,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2743,1610612761,Kris Humphries,Kris Humphries,2743,TOR,2278.0,38,-4,74,71,22.0,17.0,5.0,145,2.0,5.0,,2.0,1.0,,,2.0,6.0,,3.0,7.0,73,,2.0,,1.0,1.0,2.0,2.0,,2.0,3.0,,5.0,8.0,1.0,,1.0,,2.0,3.0,6.0,1.0,6.0,2.0,8.0,,4.0,,1.0,22.0,,0.5,1.0,0.3333333333333333,,0.3333333333333333,,0.35,0.16666666666666666,,15.189873417721518,,0.15789473684210525,0.16666666666666666,0.16129032258064516,,0.2857142857142857,0.2,0.8333333333333334,0.4,0.5,0.5,0.16666666666666666,,1.0,,,0.8333333333333334,0.5868333333333333,0.60065,0.4,0.4,0.14285714285714285,2.466666666666667,,0.2972972972972973,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,,3.0,1.0,,1.0,,1.0,,0.16666666666666666,0.2,,0.5,0.25,,,,1.0,,0.5685,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,1.0,,,0.11538461538461539,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.4,0.1,1.0,0.2857142857142857,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,1362.0,23,-16,47,46,12.0,12.0,5.0,93,,1.0,,,1.0,2.0,,,2.0,2.0,,,53,,,,,,,,2.0,1.0,,1.0,2.0,4.0,1.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,0.5,7.692307692307692,1.0,,0.14285714285714285,0.07692307692307693,,,0.14285714285714285,0.25,,,,0.25,0.5,,,,0.75,0.5330875,,,,,10.3,24.65,0.2553191489361702,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,0.14285714285714285,0.041666666666666664,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,1533.0,26,-15,54,53,16.0,9.0,4.0,107,2.0,3.0,,,3.0,2.0,1.0,3.0,9.0,2.0,6.0,12.0,52,,2.0,1.0,5.0,5.0,6.0,,,2.0,3.0,1.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,5.0,1.0,7.0,1.0,2.0,2.0,5.0,16.0,2.0,1.0,1.0,0.3333333333333333,,0.2727272727272727,,0.42857142857142855,0.4166666666666667,0.18181818181818182,25.423728813559322,0.5,0.17647058823529413,0.16666666666666666,0.1724137931034483,0.18181818181818182,0.25,,0.2727272727272727,0.6666666666666666,0.6666666666666666,1.0,0.2727272727272727,0.18181818181818182,,,0.3333333333333333,0.45454545454545453,0.4537222222222222,0.42675,0.16666666666666666,0.2,0.4166666666666667,8.744444444444444,57.45,0.2962962962962963,1.0,1.0,,,1.0,,,1.0,1.0,,1.0,,,3.0,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,1.0,,0.5416,3.0,,,,,,,,,,0.6666666666666666,0.2727272727272727,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,0.038461538461538464,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.047619047619047616,0.1111111111111111,,,,,,2.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,
2739,1610612761,Luke Jackson,Luke Jackson,2739,TOR,347.0,6,8,11,12,11.0,9.0,2.0,23,,,,,,,,,,,4.0,4.0,5,,,,4.0,4.0,,,,1.0,2.0,1.0,4.0,5.0,,,1.0,,1.0,1.0,1.0,,2.0,,4.0,,2.0,,4.0,11.0,,,,,,,,1.0,1.0,,23.076923076923077,1.0,0.5,1.0,0.6,,0.5,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,0.5,0.3333333333333333,0.5,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,0.5,,,,2.0,,True,,,,,,,,,,,,,,,,,,,,,,,,
2551,1610612761,T.J. Ford,T.J. Ford,2551,TOR,820.0,14,-14,28,27,12.0,5.0,2.0,55,2.0,4.0,,,2.0,,,2.0,6.0,,3.0,7.0,32,,,,3.0,3.0,,4.0,,1.0,,,1.0,2.0,1.0,,1.0,,2.0,,1.0,,3.0,,4.0,,,2.0,3.0,12.0,2.0,,,0.3333333333333333,,0.3333333333333333,,0.4375,0.75,,32.25806451612903,,,0.14285714285714285,0.08333333333333333,,,0.16666666666666666,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,,0.6666666666666666,0.5248666666666667,,,,0.42857142857142855,5.916666666666667,,0.42857142857142855,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,,0.3333333333333333,0.07142857142857142,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,
