EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FoulsDrawn,Offensive Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,PtsAssisted2s,NonHeaveArc3FGA,Fg3aBlocked,OffTwoPtRebounds,DeadBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,FG3APctBlocked,Corner3PctBlocked,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,FTDefRebounds,DefFTReboundPct,on,HeaveAttempts,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,Corner3Assists,AtRimAssists,ShortMidRangeAssists,SelfOReb,BadPassOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,3SecondViolations,LongMidRangePctBlocked,SecondChanceCorner3FGM,Blocked3s,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,StepOutOfBoundsTurnovers,OffFTReboundPct,BlockedCorner3,OffensiveGoaltends
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,268.0,4,7.0,10,10,10.0,10,1,20,1.0,1.0,1.0,1.0,2.0,2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,9.090909090909092,1.0,1.0,1.0,0.3431,0.3431,1.0,13.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612765,Nazr Mohammed,Nazr Mohammed,1737,DET,344.0,6,5.0,12,12,10.0,12,3,24,,1.0,1.0,2.0,5.0,4,1.0,1.0,5.0,2.0,,,,,2.0,,5.0,10.0,0.5,1.0,0.5,1.0,0.8333333333333334,1.25,20.0,0.5,,,0.46985,0.5667,1.0,6.95,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.5,0.5,1.0,0.3333333333333333,0.25,0.2857142857142857,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,1610612765,Flip Murray,Flip Murray,2436,DET,268.0,4,7.0,10,10,10.0,10,1,20,,,,,,2,,,,,,,,,,,,10.0,,,,,,,18.181818181818183,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2568,1610612765,Carlos Delfino,Carlos Delfino,2568,DET,344.0,6,5.0,12,12,10.0,12,3,24,,,1.0,1.0,2.0,4,1.0,1.0,2.0,,,,,,,,2.0,10.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,33.333333333333336,,,,0.4437333333333333,0.379625,1.0,18.4,0.8333333333333334,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,1.0,,,,,,,,,0.3333333333333333,,0.2857142857142857,0.16666666666666666,,0.3333333333333333,,,,,,,,0.6666666666666666,,,,1.0,,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.5,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.57195,25.4,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1610612765,Lindsey Hunter,Lindsey Hunter,283,DET,344.0,6,5.0,12,12,10.0,12,3,24,,,,1.0,,4,,1.0,,,,,,,,,,10.0,,,,,,,20.0,,,,0.35975,0.35975,,18.9,0.8333333333333334,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,0.25,,0.16666666666666666,0.3333333333333333,,,,,,,,,0.5,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,0.5,,,,,,0.5,,,,,0.5,,0.5,,27.1,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,76.0,1,-2.0,2,2,,2,2,4,,,,,,2,,,,,,,,,,,,,,,,,,,25.0,,,,0.50025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,25.8,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,1610612765,Antonio McDyess,Antonio McDyess,686,DET,76.0,1,-2.0,2,2,,2,2,4,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101131,1610612765,Jason Maxiell,Jason Maxiell,101131,DET,8518.0,142,-14.0,253,267,96.0,125,34,520,2.0,6.0,21.0,31.0,54.0,282,5.0,8.0,19.0,8.0,,1.0,,3.0,17.0,,19.0,96.0,0.6774193548387096,0.625,0.65625,0.5555555555555556,0.6428571428571429,0.6333333333333333,16.955017301038062,0.1875,0.3333333333333333,0.4,0.5120548387096774,0.55095,0.35185185185185186,6.180645161290323,0.3794466403162055,16.0,17.0,5.0,5.0,4.0,5.0,12.0,5.0,6.0,8.0,18.0,9.0,6.0,1.0,4.0,16.0,22.0,11.0,33.0,11.0,21.0,23.0,3.0,10.0,0.8333333333333334,0.8333333333333334,0.75,0.03225806451612903,0.16666666666666666,0.17582417582417584,0.13333333333333333,0.1694915254237288,0.09821428571428571,0.15789473684210525,0.16666666666666666,0.53125,0.9411764705882353,0.9411764705882353,0.8333333333333334,1.0,0.5555555555555556,0.8,0.5625,0.2564102564102564,0.2631578947368421,0.3333333333333333,5.0,4.0,1.0,7.0,2.0,0.7142857142857143,3.0,8.0,,,1.0,1.0,1.0,,1.0,34.0,,,7.0,2.0,,1.0,0.8095238095238095,0.9444444444444444,0.03125,,,0.08536585365853659,0.125,0.15789473684210525,0.25,0.375,0.375,1.0,,0.03125,,0.1111111111111111,0.57775,42.5,2.0,0.13333333333333333,False,1.0,1.0,1.0,4.0,4.0,3.0,1.0,1.0,4.0,4.0,3.0,9.0,6.0,2.0,1.0,9.0,6.0,2.0,2.0,3.0,0.14814814814814814,0.13636363636363635,0.045454545454545456,0.09090909090909091,0.21739130434782608,0.3076923076923077,0.6666666666666666,0.8125,0.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,1610612765,Chauncey Billups,Chauncey Billups,1497,DET,38854.0,648,113.0,1161,1149,411.0,399,148,2310,8.0,12.0,49.0,103.0,297.0,1154,19.0,34.0,143.0,76.0,72.0,91.0,37.0,201.0,100.0,6.0,143.0,411.0,0.47572815533980584,0.5588235294117647,0.5286458333333334,0.5333333333333333,0.5971074380165289,0.6376146788990825,21.63786626596544,0.0625,0.6666666666666666,0.7272727272727273,0.4813202631578947,0.47677635135135144,0.48148148148148145,12.31359223300971,0.35400516795865633,11.0,27.0,1.0,4.0,5.0,10.0,94.0,3.0,9.0,9.0,30.0,63.0,,8.0,2.0,35.0,46.0,7.0,53.0,16.0,39.0,113.0,2.0,27.0,0.3333333333333333,0.5526315789473685,0.6521739130434783,0.07766990291262135,0.08333333333333333,0.08045977011494253,0.015384615384615385,0.08333333333333333,0.012844036697247707,0.010526315789473684,0.041666666666666664,0.140625,0.4074074074074074,0.55,0.21052631578947367,0.25,0.13333333333333333,0.5,0.6041666666666666,0.12844036697247707,0.2109375,0.10101010101010101,24.0,12.0,12.0,46.0,13.0,0.5217391304347826,30.0,64.0,14.0,,75.0,36.0,89.0,10.0,41.0,22.0,75.0,2.0,5.0,22.0,3.0,9.0,0.22448979591836735,0.22448979591836735,0.4635416666666667,0.02247191011235955,,0.012048192771084338,0.010101010101010102,0.1043956043956044,0.3333333333333333,0.46875,0.46875,0.23333333333333334,0.07291666666666667,0.390625,,0.48,0.48470312499999996,25.54269662921349,1.0,0.015873015873015872,False,,19.0,13.0,10.0,19.0,11.0,8.0,2.0,1.0,,24.0,2.0,1.0,,1.0,2.0,,,5.0,24.0,0.09523809523809523,0.008849557522123894,0.014778325123152709,0.02857142857142857,0.09174311926605505,0.08571428571428572,,0.2727272727272727,0.125,,5.0,2.0,5.0,30.0,5.0,10.0,12.0,35.0,5.0,14.0,63.0,42.0,30.0,6.0,26.0,9.0,1.0,5.0,6.0,10.0,1.0,1.0,0.6,0.39325842696629215,0.5,0.34146341463414637,0.39325842696629215,0.25925925925925924,0.02666666666666667,0.11428571428571428,0.010638297872340425,0.35714285714285715,0.35714285714285715,0.4,0.4,0.410958904109589,0.6333333333333333,0.5263157894736842,0.5,0.8,0.06666666666666667,0.4,0.3333333333333333,0.4,0.011111111111111112,,,,,,,,,,,,
185,1610612765,Chris Webber,Chris Webber,185,DET,24238.0,404,3.0,710,698,173.0,162,97,1408,15.0,28.0,66.0,125.0,158.0,760,15.0,29.0,41.0,48.0,20.0,24.0,5.0,52.0,47.0,3.0,41.0,173.0,0.528,0.5172413793103449,0.5238095238095238,0.5172413793103449,0.541095890410959,0.5540540540540541,20.802919708029197,0.2222222222222222,0.5357142857142857,0.5357142857142857,0.484322619047619,0.4732551724137931,0.25949367088607594,6.3808,0.24366197183098592,42.0,65.0,13.0,22.0,10.0,14.0,26.0,19.0,30.0,2.0,40.0,11.0,24.0,6.0,3.0,46.0,64.0,36.0,100.0,33.0,51.0,49.0,9.0,25.0,0.6333333333333333,0.6333333333333333,0.625,0.048,,0.17557251908396945,0.05,0.16987179487179488,0.10588235294117647,0.046511627906976744,0.14942528735632185,0.5158730158730159,0.6461538461538462,0.7,0.7333333333333333,0.5909090909090909,0.4827586206896552,0.7142857142857143,0.5238095238095238,0.176056338028169,0.1773049645390071,0.25316455696202533,9.0,5.0,4.0,25.0,10.0,0.36,9.0,32.0,,,1.0,,1.0,,,84.0,1.0,,33.0,16.0,5.0,4.0,0.6363636363636364,0.7777777777777778,0.007936507936507936,,,0.11785714285714285,0.12,0.16666666666666666,0.25396825396825395,0.28125,0.2903225806451613,0.7777777777777778,,0.007936507936507936,,,0.535875,26.6,11.0,0.3333333333333333,False,,4.0,2.0,7.0,14.0,8.0,6.0,2.0,2.0,4.0,4.0,9.0,7.0,1.0,1.0,9.0,4.0,,4.0,4.0,0.14,0.16417910447761194,0.09420289855072464,0.058823529411764705,0.22950819672131148,0.1388888888888889,0.4444444444444444,0.6666666666666666,0.4666666666666667,0.15384615384615385,,,,,,,,,,,,,,2.0,11.0,4.0,3.0,3.0,5.0,,,,,,,,,0.07692307692307693,,0.14285714285714285,0.05555555555555555,,,,,,,,,,,,,,,2.0,0.03125,,,,,,,,,,
