EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,ThreePtAssists,Arc3Assists,AtRimAssists,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,2pt And 1 Free Throw Trips,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyPointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2A,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,SelfOReb,LostBallSteals,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffAtRimReboundPct,DefAtRimReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChancePointsPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,NonHeaveArc3FGM,Corner3Assists,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,FTDefRebounds,DefFTReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,on
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,2140.0,36,-1.0,62,64,21,23,8.0,126,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,64.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,21,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.6,8.219178082191782,0.18518518518518517,0.1282051282051282,0.16666666666666666,0.36363636363636365,0.2,1.0,1.0,0.2,0.2,1.0,1.0,1.0,0.4,0.5,0.8,0.43983999999999995,0.31715,0.16666666666666666,0.3333333333333333,7.65,24.599999999999998,0.3387096774193548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1853,1610612743,Anthony Carter,Anthony Carter,1853,DEN,623.0,10,-6.0,18,18,1,2,1.0,36,,,1.0,,,,,4.0,4.0,,,,8.0,30.0,1.0,,2.0,,,1.0,2.0,,5.0,,,,,2.0,1.0,1.0,1.0,1,,,,1.0,1.0,1.0,,25.0,,,,,,,,0.25,,,,,,,,0.381425,0.3282,0.25,0.25,15.975000000000001,,0.05555555555555555,1.0,3.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,4204.0,70,-17.0,125,134,42,45,19.0,259,1.0,4.0,1.0,,,2.0,1.0,1.0,6.0,,2.0,1.0,3.0,151.0,2.0,1.0,,,2.0,1.0,1.0,,2.0,8.0,12.0,17.0,3.0,8.0,2.0,2.0,1.0,42,,,,0.16666666666666666,0.125,0.16666666666666666,0.25,7.534246575342466,0.1702127659574468,0.16901408450704225,0.2222222222222222,0.26666666666666666,0.5,0.25,0.25,0.125,,,,,0.25,0.3333333333333333,0.75,0.4986625,0.49943333333333334,0.1111111111111111,0.14285714285714285,5.033333333333333,24.05,0.336,,,1.0,1.0,2.0,2.0,,,,1.0,,2.0,,2.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,,,0.125,,,,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0851063829787234,0.16666666666666666,0.07692307692307693,0.08333333333333333,0.13333333333333333,0.13333333333333333,0.08333333333333333,0.1875,0.125,1.0,1.0,1.0,0.6666666666666666,0.5,0.6787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2403,1610612743,Nene,Nene,2403,DEN,9286.0,155,-31.0,288,285,80,46,33.0,573,26.0,38.0,4.0,,,,,28.0,45.0,,,12.0,68.0,307.0,12.0,,12.0,,,8.0,11.0,4.0,25.0,11.0,14.0,29.0,10.0,21.0,12.0,14.0,7.0,80,,,,0.6222222222222222,0.6222222222222222,0.6666666666666666,,18.902439024390244,0.10476190476190476,0.1044776119402985,0.15151515151515152,0.06818181818181818,0.8444444444444444,0.6842105263157895,0.7647058823529411,0.08888888888888889,,,,,,,0.8444444444444444,0.5971177777777777,0.6069833333333333,0.14,0.14,2.2777777777777777,,0.2777777777777778,,2.0,3.0,9.0,22.0,44.0,3.0,3.0,4.0,8.0,,11.0,2.0,22.0,0.7857142857142857,0.9166666666666666,0.75,0.75,0.7857142857142857,,,0.06666666666666667,0.6666666666666666,0.6666666666666666,1.0,0.3235294117647059,9.0,9.0,11.0,11.0,,3.0,12.0,3.0,15.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,1.0,0.2727272727272727,0.10714285714285714,0.10344827586206896,0.12,0.10948905109489052,0.13793103448275862,0.11363636363636363,0.15789473684210525,0.07142857142857142,0.13333333333333333,1.0,0.7692307692307693,0.8181818181818182,0.9166666666666666,0.8181818181818182,0.5053555555555556,6.0,7.0,14.0,4.0,8.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.1111111111111111,0.10526315789473684,0.25,0.07692307692307693,0.10714285714285714,0.09090909090909091,0.6666666666666666,0.3333333333333333,0.20588235294117646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,12611.0,210,-24.0,388,391,123,92,51.0,779,23.0,35.0,16.0,2.0,4.0,14.0,4.0,38.0,80.0,9.0,18.0,31.0,134.0,420.0,26.0,5.0,40.0,27.0,14.0,4.0,6.0,1.0,14.0,20.0,25.0,43.0,,12.0,24.0,39.0,13.0,123,1.0,0.5,0.5,0.475,0.5255102040816326,0.5745614035087719,0.1836734693877551,29.687499999999996,0.13513513513513514,0.12562814070351758,0.06382978723404255,0.15517241379310345,0.35714285714285715,0.6571428571428571,0.71875,0.16326530612244897,0.04081632653061224,0.5,0.5,1.0,0.14285714285714285,0.12903225806451613,0.5408163265306123,0.5022913265306121,0.5198693548387097,0.11926605504587157,0.14285714285714285,8.669999999999998,24.38888888888889,0.3170103092783505,3.0,12.0,29.0,15.0,50.0,36.0,2.0,1.0,3.0,10.0,1.0,19.0,2.0,50.0,0.47368421052631576,0.5454545454545454,0.5769230769230769,0.5806451612903226,0.6282051282051282,0.1875,0.2,0.29591836734693877,0.41379310344827586,0.41379310344827586,0.5833333333333334,0.373134328358209,9.0,11.0,12.0,15.0,,4.0,14.0,5.0,18.0,5.0,3.0,9.0,2.0,1.0,,1.0,,,,,1.0,,0.47368421052631576,0.09210526315789473,0.09803921568627451,0.1111111111111111,0.09574468085106383,0.11904761904761904,0.08928571428571429,0.13793103448275862,0.10714285714285714,0.08695652173913043,,0.4782608695652174,0.47368421052631576,0.3870967741935484,0.9166666666666666,0.507978125,4.0,6.0,31.0,14.0,10.0,4.0,7.0,2.0,7.0,,1.0,5.0,7.0,,5.0,,1.0,5.0,0.4,0.5526315789473685,0.6458333333333334,0.05,0.08571428571428572,0.0625,0.07407407407407407,0.18604651162790697,0.15217391304347827,0.4444444444444444,,0.23134328358208955,1.0,1.0,1.0,7.0,2.0,3.0,2.0,3.0,4.0,10.0,2.0,7.0,1.0,5.0,0.75,0.4,0.5,0.5,1.0,0.05263157894736842,1.0,1.0,0.15789473684210525,0.6666666666666666,1.0,0.03225806451612903,0.5,0.5,,,,,,,True
2581,1610612743,Steve Blake,Steve Blake,2581,DEN,10155.0,169,-8.0,313,315,95,67,43.0,628,1.0,2.0,1.0,2.0,5.0,10.0,3.0,5.0,14.0,7.0,15.0,,31.0,331.0,4.0,4.0,6.0,18.0,10.0,19.0,23.0,5.0,50.0,8.0,10.0,11.0,3.0,8.0,3.0,,,95,0.8571428571428571,0.4666666666666667,0.4666666666666667,0.35714285714285715,0.5344827586206896,0.5344827586206896,0.5172413793103449,10.555555555555555,0.06451612903225806,0.06097560975609756,0.05,0.06,0.06896551724137931,0.5,1.0,0.034482758620689655,0.1724137931034483,0.4,0.4,1.0,0.3448275862068966,0.375,0.5862068965517241,0.492451724137931,0.4787875,,,15.142857142857142,24.253333333333334,0.3035143769968051,,4.0,11.0,1.0,5.0,4.0,4.0,3.0,13.0,1.0,,9.0,,5.0,0.4,0.4,0.25,0.3125,0.3125,,,0.3793103448275862,0.36363636363636365,0.36363636363636365,0.5,0.16129032258064516,,,1.0,,1.0,,1.0,2.0,1.0,3.0,2.0,8.0,1.0,,,2.0,,,,,,2.0,0.8888888888888888,0.007874015748031496,0.05,,0.006535947712418301,,,,0.045454545454545456,0.05555555555555555,,,,0.125,,0.648,,,3.0,,,1.0,,1.0,7.0,,,3.0,1.0,1.0,,,,,,1.5,1.5,0.07142857142857142,0.5,,0.023255813953488372,0.08823529411764706,,,,0.0967741935483871,,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,1.0,5.0,1.0,,1.0,0.25,0.5,0.5,0.8,,,,1.0,1.0,,0.125,0.3333333333333333,0.5,3.0,,,,,,True
947,1610612743,Allen Iverson,Allen Iverson,947,DEN,11637.0,194,-17.0,359,361,118,86,47.0,720,12.0,24.0,27.0,,1.0,13.0,2.0,31.0,81.0,5.0,14.0,22.0,99.0,383.0,26.0,2.0,58.0,6.0,13.0,17.0,25.0,5.0,58.0,2.0,3.0,3.0,5.0,11.0,29.0,28.0,11.0,118,0.4,0.35714285714285715,0.35714285714285715,0.38271604938271603,0.4052631578947368,0.4583333333333333,0.14736842105263157,28.5024154589372,0.014705882352941176,0.016483516483516484,0.023255813953488372,0.018518518518518517,0.25263157894736843,0.5,0.631578947368421,0.28421052631578947,0.010526315789473684,,,,0.1368421052631579,0.07142857142857142,0.4,0.48601263157894736,0.4817982142857143,0.10576923076923077,0.12222222222222222,9.488888888888887,24.75,0.3286908077994429,8.0,11.0,30.0,10.0,30.0,4.0,8.0,5.0,12.0,7.0,,11.0,2.0,30.0,0.06451612903225806,0.06451612903225806,0.38461538461538464,0.35714285714285715,0.4411764705882353,0.2962962962962963,0.3333333333333333,0.3157894736842105,0.36666666666666664,0.36666666666666664,0.18181818181818182,0.30303030303030304,2.0,5.0,8.0,5.0,,,,1.0,,7.0,3.0,4.0,3.0,,,,,,,,,1.0,0.36363636363636365,,0.021739130434782608,,,,,,0.041666666666666664,,,,0.4,0.2857142857142857,0.625,0.398875,1.0,2.0,5.0,10.0,,8.0,,4.0,1.0,,1.0,,2.0,1.0,4.0,,,3.0,0.4,0.4,0.5,0.09876543209876543,0.20833333333333334,0.1111111111111111,,,,0.5,,0.050505050505050504,,,,5.0,,,,,,1.0,,5.0,3.0,,,,0.38461538461538464,0.38461538461538464,0.4,,,,,,,,,0.38461538461538464,9.0,3.0,,,,,True
2747,1610612743,JR Smith,JR Smith,2747,DEN,1635.0,27,-19.0,56,53,22,16,9.0,109,4.0,7.0,,,1.0,8.0,4.0,4.0,7.0,,9.0,3.0,11.0,65.0,4.0,5.0,4.0,,8.0,,,,,2.0,4.0,4.0,1.0,4.0,2.0,3.0,2.0,22,,,,0.5714285714285714,0.25,0.3235294117647059,0.5625,27.142857142857146,0.125,0.17391304347826086,,0.16666666666666666,0.4375,0.5714285714285714,0.8,,0.0625,,,,0.5,0.4444444444444444,1.0,0.5466187499999999,0.5512611111111111,0.11764705882352941,0.25,0.1142857142857143,25.26666666666667,0.39285714285714285,,,,2.0,5.0,4.0,,,,,,2.0,1.0,5.0,0.5,0.5,0.5,0.2222222222222222,0.2777777777777778,,,,,,,0.45454545454545453,,2.0,4.0,,,,,2.0,,3.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,0.2857142857142857,,,,,,,0.5,,0.5,,0.4444444444444444,0.5,,,,2.0,1.0,,2.0,,,1.0,,,1.0,,,,,,,,,1.0,0.2857142857142857,0.2857142857142857,,,0.14285714285714285,,,,0.18181818181818182,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,0.1111111111111111,,,,,,,,,True
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,10764.0,179,3.0,331,334,113,83,44.0,665,10.0,23.0,7.0,,,,,16.0,44.0,,,4.0,36.0,349.0,9.0,,8.0,,,10.0,10.0,2.0,20.0,42.0,59.0,70.0,7.0,13.0,6.0,6.0,2.0,113,,,,0.36363636363636365,0.36363636363636365,0.3829787234042553,,14.698162729658792,0.3157894736842105,0.3016759776536313,0.3023255813953488,0.39215686274509803,0.5227272727272727,0.43478260869565216,0.47619047619047616,0.1590909090909091,,,,,,,0.5227272727272727,0.5366363636363637,0.5476,0.043478260869565216,0.043478260869565216,7.161363636363637,,0.3413897280966767,3.0,3.0,14.0,4.0,12.0,24.0,,,8.0,6.0,1.0,9.0,,12.0,0.75,0.8571428571428571,0.4444444444444444,0.4444444444444444,0.5454545454545454,0.42857142857142855,0.42857142857142855,0.3181818181818182,0.21428571428571427,0.21428571428571427,1.0,0.3333333333333333,9.0,1.0,5.0,10.0,,1.0,10.0,12.0,11.0,4.0,4.0,3.0,1.0,1.0,1.0,4.0,16.0,5.0,16.0,4.0,,,0.3333333333333333,0.07575757575757576,0.2608695652173913,0.04,0.07006369426751592,0.05555555555555555,0.08,,0.34615384615384615,0.15,0.25,0.7,0.9,0.5555555555555556,0.2,0.60845,3.0,4.0,8.0,4.0,4.0,2.0,2.0,,2.0,,1.0,4.0,3.0,,1.0,11.0,1.0,1.0,0.4,0.4,0.4,0.045454545454545456,0.08695652173913043,,0.08695652173913043,0.23076923076923078,0.07692307692307693,0.3333333333333333,,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,True
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,1789.0,30,-6.0,50,50,7,7,10.0,100,,2.0,2.0,,1.0,2.0,,1.0,5.0,,3.0,,2.0,51.0,2.0,,,,2.0,,,,,1.0,3.0,3.0,1.0,5.0,,,,7,,,,0.2,0.125,0.125,0.375,11.940298507462686,0.05263157894736842,0.1,,,0.25,,,0.25,0.125,,,,0.25,,0.625,0.52434375,0.49115,,,9.56,23.8,0.14,,1.0,1.0,,,2.0,,,,,,,,,1.0,1.0,,,,,,0.125,1.0,1.0,1.0,,,,1.0,1.0,,,,2.0,,,,,,,1.0,,,,,,,,,,0.18181818181818182,,,,,,0.2857142857142857,,,,,0.5,,0.3672,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,0.5,,,,,,,,,,,,False
