EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,Travels,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,BlocksRecoveredPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,BlockedAtRim,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,SecondChanceArc3Frequency,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,PenaltyCorner3Accuracy,on,SecondChanceCorner3FGA,Arc3PctBlocked,SecondChanceCorner3Frequency,3SecondViolations,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted
101121,1610612761,Joey Graham,Joey Graham,101121,TOR,2953.0,49,5.0,87,90,26.0,26.0,5.0,177,2.0,2.0,1.0,1.0,2.0,4.0,2.0,6.0,97,2.0,2.0,2.0,2.0,1.0,4.0,7.0,5.0,16.0,16.0,3.0,1.0,3.0,4.0,9.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,26.0,2.0,1.0,0.5,0.5,0.5,0.5,0.6,1.0,0.25,1.0,8.695652173913043,1.0,0.25925925925925924,0.26666666666666666,0.2619047619047619,0.25,0.16666666666666666,0.3076923076923077,0.375,0.14285714285714285,0.5,1.0,1.0,0.5,0.25,0.25,0.5,0.51115,0.3333333333333333,6.375,0.2988505747126437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
101181,1610612761,Jose Calderon,Jose Calderon,101181,TOR,8732.0,146,-9.0,269,270,68.0,80.0,18.0,539,11.0,20.0,2.0,35.0,32.0,57.0,5.0,78.0,288,1.0,13.0,,64.0,3.0,2.0,6.0,,8.0,10.0,6.0,,15.0,4.0,12.0,,1.0,6.0,,6.0,1.0,13.0,68.0,1.0,1.0,,,0.5614035087719298,0.5289855072463768,0.5422535211267606,0.5,0.05263157894736842,,29.86111111111111,,0.0759493670886076,0.046511627906976744,0.06557377049180328,0.058823529411764705,0.21428571428571427,0.03225806451612903,0.037037037037037035,0.0625,0.2898550724637681,0.55,0.6111111111111112,,0.028985507246376812,0.5072463768115942,0.463768115942029,0.4661036231884058,0.16666666666666666,12.231578947368424,0.2527881040892193,1.0,2.0,2.0,4.0,2.0,19.0,1.0,3.0,1.0,2.0,9.0,1.0,3.0,12.0,2.0,3.0,4.0,6.0,10.0,2.0,9.0,9.0,2.0,21.0,11.0,32.0,7.0,4.0,8.0,2.0,11.0,75.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,9.0,4.0,8.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,0.25,0.25,0.6666666666666666,0.6,0.6666666666666666,0.5,0.6666666666666666,0.17391304347826086,0.1,0.02857142857142857,0.6,0.011627906976744186,0.034482758620689655,0.017391304347826087,0.02127659574468085,0.045454545454545456,0.03225806451612903,1.0,1.0,0.5428571428571428,0.5588235294117647,0.043478260869565216,0.3333333333333333,0.3333333333333333,1.0,0.13043478260869565,0.2222222222222222,0.2222222222222222,1.0,0.6666666666666666,0.5,0.3333333333333333,0.5,0.08333333333333333,0.08333333333333333,0.2222222222222222,0.488,0.4597791666666666,0.02857142857142857,0.034482758620689655,0.05128205128205128,24.191666666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1515,1610612761,Anthony Parker,Anthony Parker,1515,TOR,6952.0,116,12.0,213,213,61.0,72.0,14.0,426,,4.0,5.0,12.0,9.0,21.0,13.0,43.0,219,10.0,20.0,10.0,8.0,4.0,7.0,9.0,,16.0,17.0,2.0,,3.0,4.0,9.0,,1.0,9.0,,16.0,3.0,20.0,61.0,3.0,3.0,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.45454545454545453,0.5256410256410257,0.625,0.19047619047619047,,18.502202643171806,,0.1323529411764706,0.1891891891891892,0.1523809523809524,0.10344827586206896,,0.2222222222222222,0.09523809523809523,0.3125,0.12121212121212122,,,,0.15151515151515152,0.36363636363636365,0.48484848484848486,0.45915,0.46511627906976744,12.671428571428569,0.2863849765258216,,,,1.0,2.0,7.0,1.0,4.0,,3.0,8.0,7.0,4.0,12.0,,2.0,,2.0,4.0,7.0,9.0,7.0,3.0,4.0,,4.0,,,2.0,1.0,1.0,8.0,,1.0,1.0,,3.0,2.0,1.0,1.0,,,,1.0,,,,2.0,1.0,0.75,0.3333333333333333,0.36363636363636365,,0.5,,0.45454545454545453,,0.36363636363636365,0.75,0.08333333333333333,0.3333333333333333,0.014705882352941176,,0.011111111111111112,0.02702702702702703,,,0.4,0.4,0.5833333333333334,0.6363636363636364,0.12121212121212122,0.25,0.3333333333333333,1.0,0.24242424242424243,0.375,0.375,0.6666666666666666,,,0.09090909090909091,,,0.6363636363636364,0.42857142857142855,0.3999,0.43794500000000003,0.08333333333333333,0.045454545454545456,,26.591666666666665,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.2857142857142857,0.08333333333333333,0.25,1.0,0.5,0.5714285714285714,0.2857142857142857,0.14285714285714285,,,,,,,,,,,,,,True,,,,,,,,,
1725,1610612761,Rasho Nesterovic,Rasho Nesterovic,1725,TOR,106.0,2,-4.0,3,3,2.0,3.0,,6,,,,,,,,,8,,,,,,,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,6022.0,100,-16.0,186,190,39.0,58.0,15.0,376,7.0,11.0,14.0,18.0,19.0,43.0,13.0,54.0,195,4.0,14.0,24.0,14.0,1.0,4.0,10.0,3.0,17.0,20.0,2.0,,5.0,5.0,6.0,,1.0,19.0,2.0,15.0,,14.0,39.0,,,0.631578947368421,0.631578947368421,0.4418604651162791,0.44565217391304346,0.5294117647058824,0.5833333333333334,0.023255813953488372,0.07142857142857142,27.722772277227723,0.375,0.1694915254237288,0.12903225806451613,0.15555555555555556,0.14814814814814814,0.3333333333333333,0.13043478260869565,0.15,0.09090909090909091,0.2391304347826087,0.6363636363636364,0.6363636363636364,0.8571428571428571,0.30434782608695654,0.391304347826087,0.30434782608695654,0.4260744444444444,0.25925925925925924,10.844186046511629,0.20967741935483872,,2.0,2.0,3.0,7.0,5.0,,,,1.0,3.0,1.0,1.0,3.0,,4.0,2.0,5.0,10.0,1.0,3.0,2.0,1.0,3.0,4.0,7.0,3.0,1.0,1.0,1.0,1.0,18.0,,3.0,3.0,2.0,2.0,,2.0,3.0,,2.0,,1.0,,,5.0,,10.0,1.0,0.3333333333333333,0.5,,0.5,,0.45454545454545453,0.2,0.06521739130434782,,,0.6,0.04477611940298507,,0.034482758620689655,,,0.08333333333333333,0.5,0.5384615384615384,0.2777777777777778,0.2777777777777778,,,,,0.06521739130434782,0.3333333333333333,0.3333333333333333,1.0,0.5,,0.2727272727272727,0.6666666666666666,,0.09090909090909091,0.5,0.427925,0.40377,0.19607843137254902,0.20833333333333334,0.037037037037037035,37.300000000000004,,,,1.0,,1.0,1.0,,7.0,1.0,7.0,4.0,1.0,,,,0.5714285714285714,0.2857142857142857,0.8,,,2.0,6.0,0.10526315789473684,0.1,,,,,,,,,,True,,,,,,,,,
200745,1610612761,Andrea Bargnani,Andrea Bargnani,200745,TOR,6868.0,114,-2.0,211,209,62.0,64.0,13.0,420,3.0,7.0,4.0,10.0,11.0,21.0,7.0,47.0,225,2.0,16.0,14.0,8.0,2.0,8.0,7.0,1.0,16.0,19.0,1.0,,2.0,5.0,11.0,,1.0,9.0,,10.0,1.0,16.0,62.0,,1.0,0.6363636363636364,0.7,0.5238095238095238,0.625,0.6351351351351351,0.8,0.09523809523809523,,17.333333333333332,0.14285714285714285,0.11290322580645161,0.27586206896551724,0.16483516483516483,0.03571428571428571,0.2727272727272727,0.13043478260869565,0.2777777777777778,0.2727272727272727,0.21875,0.42857142857142855,0.6,0.6666666666666666,0.125,0.3125,0.5625,0.49714375,0.3404255319148936,11.323809523809524,0.2938388625592417,1.0,1.0,2.0,2.0,2.0,6.0,,1.0,1.0,6.0,10.0,2.0,6.0,11.0,1.0,1.0,2.0,4.0,6.0,3.0,15.0,10.0,6.0,3.0,,3.0,,,,1.0,2.0,6.0,2.0,1.0,3.0,,4.0,4.0,,1.0,,1.0,,,,1.0,,,4.0,0.8333333333333334,0.5454545454545454,0.5454545454545454,1.0,0.6666666666666666,0.5,0.7777777777777778,0.5,0.34375,0.2857142857142857,,0.5,0.015384615384615385,0.08333333333333333,0.033707865168539325,0.027777777777777776,0.1111111111111111,,0.5,0.5,0.6,0.6,0.03125,,,,0.3125,0.6,0.6,0.8333333333333334,0.5,1.0,0.2222222222222222,1.0,0.1111111111111111,0.2222222222222222,0.6,0.61875,0.49348888888888887,0.1111111111111111,0.16,0.0425531914893617,24.572727272727274,2.0,2.0,3.0,,,,,,2.0,,2.0,1.0,,0.6666666666666666,,,0.5,0.5,0.6666666666666666,1.0,,,2.0,,,1.0,1.0,2.0,0.5,,,,,,True,,,,,,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,6455.0,108,-9.0,200,199,50.0,66.0,16.0,399,3.0,4.0,1.0,7.0,6.0,12.0,5.0,29.0,224,4.0,14.0,8.0,4.0,,4.0,6.0,1.0,11.0,15.0,1.0,,1.0,5.0,10.0,1.0,,4.0,1.0,6.0,2.0,14.0,50.0,2.0,2.0,0.6666666666666666,0.8,0.5,0.5714285714285714,0.6041666666666666,1.0,,,11.520737327188941,0.16666666666666666,0.1276595744680851,0.14285714285714285,0.13333333333333333,0.13636363636363635,0.125,0.11764705882352941,0.16666666666666666,0.1,0.19047619047619047,0.75,0.75,0.6666666666666666,0.047619047619047616,0.3333333333333333,0.6190476190476191,0.4905785714285715,0.4827586206896552,12.424999999999999,0.25,1.0,2.0,,,,3.0,2.0,3.0,2.0,2.0,6.0,,4.0,9.0,1.0,2.0,2.0,2.0,3.0,2.0,12.0,6.0,2.0,,1.0,1.0,1.0,,,,,3.0,3.0,,4.0,,2.0,,2.0,,,,,,,,,,1.0,1.0,0.4444444444444444,0.4444444444444444,0.5,0.6666666666666666,0.5,1.0,0.5,0.42857142857142855,,,,,0.125,0.03296703296703297,,0.1,,,,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,,,0.4,,0.3333333333333333,,0.43567,0.045454545454545456,0.07692307692307693,0.06896551724137931,24.255555555555556,,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,0.6666666666666666,,,,1.0,,,,,2.0,,2.0,1.0,0.5,0.25,1.0,True,,,,,,,,,
2413,1610612761,Juan Dixon,Juan Dixon,2413,TOR,2597.0,43,-17.0,84,83,22.0,12.0,5.0,167,,1.0,2.0,5.0,4.0,8.0,,14.0,90,,3.0,6.0,2.0,1.0,1.0,3.0,,4.0,4.0,5.0,,7.0,2.0,5.0,,2.0,,,,,3.0,22.0,,,0.75,0.75,0.5,0.5384615384615384,0.5384615384615384,0.375,0.125,,22.47191011235955,,0.11538461538461539,0.07692307692307693,0.10256410256410256,0.15384615384615385,,0.1111111111111111,0.1,,0.07692307692307693,,,,0.15384615384615385,0.38461538461538464,0.46153846153846156,0.44801538461538465,0.21428571428571427,13.612499999999999,0.2619047619047619,,,,1.0,2.0,2.0,1.0,1.0,,1.0,4.0,2.0,2.0,5.0,,1.0,,,2.0,2.0,6.0,4.0,1.0,3.0,,3.0,,,2.0,,1.0,6.0,,,,,6.0,2.0,4.0,2.0,,,,2.0,,2.0,,,,1.0,0.4,0.4,,,,0.375,,0.38461538461538464,1.0,,0.2857142857142857,,,,,,,1.0,1.0,0.4,0.4,0.07692307692307693,1.0,1.0,1.0,0.3076923076923077,0.25,0.25,1.0,,,0.25,,,0.5,0.25,,0.473375,,,,25.04,1.0,1.0,,,,3.0,,,,,,,,0.5,,,,0.5,1.0,0.5,,,,,,,,,,,,,,,True,,,,,,,,,
2743,1610612761,Kris Humphries,Kris Humphries,2743,TOR,2759.0,46,-6.0,84,83,9.0,17.0,4.0,167,3.0,5.0,,1.0,3.0,6.0,2.0,8.0,86,,,4.0,2.0,1.0,2.0,4.0,,6.0,8.0,1.0,,1.0,4.0,9.0,4.0,1.0,5.0,2.0,6.0,,,9.0,1.0,,0.6666666666666666,1.0,0.5,0.5,0.4444444444444444,,0.16666666666666666,,11.235955056179774,,0.15384615384615385,0.11764705882352941,0.13953488372093023,0.1111111111111111,0.16666666666666666,0.18181818181818182,0.18181818181818182,,0.8333333333333334,0.6,0.75,0.6666666666666666,,0.16666666666666666,0.8333333333333334,0.59455,,2.466666666666667,0.10714285714285714,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,2.0,,1.0,,,,,,1.0,1.0,1.0,,,,,3.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,3.0,,,,1.0,,1.0,,1.0,,0.2,,,0.08,,0.06060606060606061,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,0.5685,0.6044,0.3333333333333333,0.3333333333333333,0.25,,,,,,,,,,2.0,,2.0,1.0,,,,,0.5,,,,,,2.0,0.4,,,,2.0,,,,,,,True,,,,,,,,,
2739,1610612761,Luke Jackson,Luke Jackson,2739,TOR,92.0,2,1.0,3,3,,2.0,,6,,,,,,,,,3,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
