EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGA,SelfOReb,Steals,BadPassSteals,Loose Ball Fouls Drawn,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFouls,SelfORebPct,LongMidRangeFrequency,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,LiveBallTurnovers,BadPassTurnovers,Travels,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LostBallSteals,LostBallTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,on,DefensiveGoaltends
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,1895.0,32,-14.0,62,64,33.0,20.0,10.0,126,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,7,4.0,10.0,72,1.0,1.0,3.0,5.0,2.0,4.0,2.0,6.0,4.0,2.0,2.0,3.0,2.0,1.0,5.0,1.0,7.0,5.0,12.0,2.0,2.0,1.0,2.0,3.0,1.0,4.0,8.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,33.0,1.0,0.6666666666666666,1.0,0.42857142857142855,1.0,0.5,0.42857142857142855,1.0,0.5,0.45454545454545453,0.8333333333333334,0.42857142857142855,17.808219178082194,0.5,0.2,0.08695652173913043,0.1111111111111111,0.2727272727272727,0.17647058823529413,0.14705882352941177,0.25,0.07692307692307693,0.3,0.18181818181818182,0.2727272727272727,0.14285714285714285,0.5,0.2857142857142857,1.0,1.0,0.5,0.7142857142857143,0.2,0.2,1.0,1.0,1.0,0.25,1.0,0.2857142857142857,0.44132857142857146,0.5975,0.429775,0.3,0.3,0.5,0.6,6.142857142857143,0.532258064516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
101142,1610612747,Ronny Turiaf,Ronny Turiaf,101142,LAL,2086.0,35,-16.0,69,72,22.0,30.0,9.0,141,2.0,4.0,2.0,3.0,2.0,4.0,,5.0,2.0,10,6.0,10.0,85,2.0,4.0,2.0,6.0,2.0,7.0,2.0,6.0,,4.0,2.0,2.0,4.0,2.0,,1.0,3.0,6.0,9.0,1.0,1.0,,3.0,7.0,1.0,8.0,8.0,3.0,1.0,1.0,,1.0,1.0,1.0,,6.0,22.0,1.0,,,0.2,0.5,0.2857142857142857,0.2,0.5,0.2857142857142857,0.35714285714285715,0.5,0.3333333333333333,18.75,0.5,,0.15384615384615385,0.25,0.18181818181818182,0.07407407407407407,0.16216216216216217,0.2,0.3,0.2222222222222222,,,0.3333333333333333,1.0,0.4,0.5,0.5,,0.5,,,,0.75,0.6666666666666666,0.5714285714285714,0.5,0.4,0.4574,0.5938333333333333,0.49092857142857144,0.23076923076923078,0.23076923076923078,0.6,0.6,6.08,0.3188405797101449,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.375,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1742,1610612747,Shammond Williams,Shammond Williams,1742,LAL,3227.0,54,-23.0,103,107,30.0,38.0,20.0,210,2.0,3.0,,1.0,,,,1.0,2.0,7,,10.0,119,,1.0,,,,1.0,,3.0,4.0,,,1.0,1.0,1.0,,,1.0,2.0,3.0,1.0,2.0,,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,,,3.0,30.0,,1.0,1.0,0.2857142857142857,,,0.35714285714285715,,0.75,0.35714285714285715,,0.75,12.698412698412698,,,0.025,0.06666666666666667,0.043478260869565216,0.02040816326530612,0.031746031746031744,0.08333333333333333,,0.05263157894736842,,,0.07692307692307693,,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.07142857142857142,,,,1.0,,,,0.7142857142857143,0.48345000000000005,0.6489,0.42579999999999996,,,,0.3,9.528571428571428,0.2912621359223301,3.0,,,,,,1.0,,0.21428571428571427,1.0,2.0,6.0,1.0,1.0,2.0,7.0,1.0,1.0,3.0,3.0,6.0,2.0,1.0,4.0,4.0,2.0,2.0,8.0,1.0,1.0,1.0,1.0,0.5,0.2857142857142857,1.0,0.2857142857142857,0.5,0.14285714285714285,1.0,0.5,0.07142857142857142,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,25.414285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,11512.0,192,-54.0,373,378,97.0,109.0,56.0,751,24.0,40.0,10.0,16.0,6.0,14.0,7.0,22.0,38.0,74,12.0,97.0,429,11.0,20.0,1.0,23.0,9.0,21.0,2.0,23.0,22.0,54.0,16.0,1.0,19.0,8.0,33.0,4.0,45.0,20.0,65.0,5.0,10.0,3.0,8.0,17.0,3.0,17.0,24.0,14.0,,6.0,6.0,,6.0,2.0,,23.0,97.0,,0.2894736842105263,0.36666666666666664,0.5135135135135135,0.55,0.42857142857142855,0.5,0.5238095238095238,0.42,0.5105263157894737,0.5,0.4423076923076923,23.863636363636363,0.5,0.275,0.13380281690140844,0.14814814814814814,0.019230769230769232,0.23563218390804597,0.10309278350515463,0.18421052631578946,0.16666666666666666,,0.17142857142857143,0.3269230769230769,0.15384615384615385,0.3333333333333333,0.47058823529411764,0.6,0.6486486486486487,0.20833333333333334,0.25882352941176473,0.3181818181818182,0.3684210526315789,0.2857142857142857,0.7619047619047619,0.625,0.56,0.42857142857142855,0.6,0.48926176470588234,0.543771052631579,0.506992,0.14736842105263157,0.16666666666666666,0.23711340206185566,0.23711340206185566,5.602702702702703,0.26005361930294907,12.0,8.0,2.0,,,,2.0,0.21052631578947367,0.1411764705882353,1.0,2.0,10.0,,3.0,3.0,11.0,1.0,4.0,6.0,3.0,10.0,2.0,,8.0,11.0,4.0,2.0,25.0,5.0,3.0,1.0,,0.6666666666666666,0.2727272727272727,0.25,0.2727272727272727,0.12941176470588237,,,0.5,0.011764705882352941,0.11764705882352941,0.2,0.2,0.5,0.12,,0.2,25.509090909090904,7.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,0.08108108108108109,0.075,0.13636363636363635,0.045454545454545456,0.16666666666666666,0.30303030303030304,0.13333333333333333,0.5833333333333334,0.5833333333333334,0.5714285714285714,1.0,1.0,1.0,0.047619047619047616,0.04,1.0,,,,,,,,,,,,,,,,,True,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,10528.0,175,-51.0,341,348,91.0,102.0,50.0,689,16.0,22.0,1.0,1.0,5.0,8.0,10.0,23.0,40.0,84,24.0,125.0,402,3.0,6.0,2.0,8.0,9.0,20.0,11.0,32.0,16.0,64.0,,,1.0,9.0,10.0,,19.0,1.0,20.0,5.0,14.0,2.0,2.0,6.0,3.0,20.0,26.0,10.0,3.0,1.0,1.0,,1.0,1.0,,32.0,91.0,3.0,0.2,0.2,0.47619047619047616,0.5,0.45,0.47641509433962265,0.5,0.42,0.5344827586206896,0.5714285714285714,0.5161290322580645,32.5,,0.09433962264150944,0.007575757575757576,0.1956521739130435,,0.125,0.005747126436781609,,0.01818181818181818,,0.034482758620689655,0.10869565217391304,0.21212121212121213,1.0,0.20754716981132076,0.7272727272727273,0.8,0.125,0.2169811320754717,0.43478260869565216,0.47619047619047616,0.3,0.16666666666666666,1.0,0.32,0.625,0.41509433962264153,0.4565801886792454,0.3958,0.4542900000000001,0.09734513274336283,0.1111111111111111,0.064,0.256,11.220238095238095,0.2668621700879765,39.0,,5.0,3.0,,,,,0.36792452830188677,1.0,6.0,21.0,,4.0,7.0,22.0,1.0,5.0,,21.0,21.0,6.0,,10.0,13.0,5.0,1.0,29.0,9.0,3.0,1.0,,,0.3181818181818182,0.2,0.3181818181818182,0.20754716981132076,,,0.6428571428571429,0.009433962264150943,0.19811320754716982,0.2857142857142857,0.2857142857142857,,0.16,,0.2857142857142857,26.299999999999997,14.0,1.0,1.0,1.0,,,4.0,3.0,2.0,1.0,4.0,2.0,6.0,,,4.0,0.047619047619047616,0.09090909090909091,0.08695652173913043,,,0.12903225806451613,0.15384615384615385,0.358974358974359,0.358974358974359,0.21428571428571427,1.0,1.0,,,0.04,1.0,1.0,1.0,1.0,0.043478260869565216,,,,,,,,,,,,,True,
2230,1610612747,Maurice Evans,Maurice Evans,2230,LAL,2643.0,44,-17.0,91,90,44.0,30.0,16.0,181,1.0,2.0,,1.0,1.0,1.0,,2.0,2.0,6,,4.0,93,,2.0,,,2.0,3.0,,4.0,2.0,2.0,,,2.0,2.0,1.0,,3.0,2.0,5.0,,,,,1.0,,,,,,,,,,,,4.0,44.0,,0.5,0.5,0.3333333333333333,,0.6666666666666666,0.2,,0.3333333333333333,0.2,,0.3333333333333333,9.174311926605505,,0.030303030303030304,0.05263157894736842,0.2,,0.06976744186046512,0.03773584905660377,,0.11764705882352941,,0.08333333333333333,,0.2222222222222222,,0.2,0.5,0.5,1.0,0.2,,,,0.5,,0.16666666666666666,1.0,0.6,0.4957299999999999,0.47409999999999997,0.5101166666666667,,,,1.0,9.133333333333333,0.4835164835164835,2.0,,,,,,,,0.2,2.0,,2.0,,2.0,,4.0,,3.0,,,2.0,,,1.0,2.0,,1.0,5.0,,,,,,,,,0.4,,,,0.2,0.2,,,,0.3333333333333333,,,24.375,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,0.5,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,True,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,1659.0,28,-4.0,55,56,10.0,19.0,4.0,111,1.0,1.0,,,,,,,3.0,3,,6.0,57,,,,,,,,,2.0,4.0,,1.0,,,1.0,,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,10.0,,0.3333333333333333,0.3333333333333333,1.0,,,0.6,,,0.6,,,11.864406779661017,,0.047619047619047616,,,0.09090909090909091,0.03225806451612903,0.043478260869565216,,,0.1,,0.1111111111111111,,,0.2,1.0,1.0,,,,,,,,,,0.6,0.54318,,0.58995,,,,,13.166666666666666,0.18181818181818182,2.0,,1.0,1.0,,1.0,,,0.4,,,2.0,,1.0,,2.0,,1.0,,,2.0,,,,,,,,1.0,1.0,,1.0,,,,,0.4,,,0.5,,0.4,,,,1.0,,,25.25,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,True,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,763.0,13,-2.0,23,23,1.0,,4.0,46,,,,,,,,,,1,2.0,5.0,28,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,1.0,,3.0,4.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,0.5,,,0.625,,,17.857142857142854,,0.14285714285714285,,,,0.1,,,,,0.25,,,,,,,,,,,,,,,,0.6666666666666666,0.4876666666666667,,,0.25,0.5,,,18.6,0.043478260869565216,1.0,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,1.0,2.0,,,3.0,,1.0,1.0,,,,,,,,,1.0,,1.0,0.5,,0.5,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,1.0,25.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,6478.0,108,-22.0,207,206,43.0,35.0,28.0,413,6.0,6.0,,,3.0,3.0,2.0,5.0,10.0,17,6.0,32.0,241,,2.0,,,3.0,5.0,3.0,9.0,2.0,18.0,,,1.0,5.0,7.0,,12.0,1.0,13.0,3.0,5.0,2.0,2.0,9.0,2.0,6.0,7.0,3.0,1.0,1.0,,,1.0,,,9.0,43.0,1.0,0.1,0.1,0.5882352941176471,,0.6,0.5,,0.6,0.5517241379310345,,0.6428571428571429,14.049586776859504,,0.1076923076923077,0.012195121951219513,0.17857142857142858,,0.12903225806451613,0.009708737864077669,,,,0.14285714285714285,0.14285714285714285,0.2,,0.23076923076923078,1.0,1.0,,0.19230769230769232,0.4,0.4,,,,0.6,1.0,0.5769230769230769,0.5037038461538461,0.3876,0.6068,0.10714285714285714,0.15789473684210525,,0.28125,8.664705882352942,0.20772946859903382,6.0,,6.0,5.0,,1.0,,,0.23076923076923078,2.0,,7.0,,,2.0,9.0,,,6.0,,7.0,,,5.0,8.0,3.0,1.0,19.0,2.0,2.0,,1.0,1.0,0.2222222222222222,,0.2222222222222222,0.34615384615384615,,,0.4,0.07692307692307693,0.2692307692307692,,,,,,,25.12222222222222,2.0,2.0,,,,,,3.0,2.0,1.0,1.0,1.0,,,,1.0,,,,0.038461538461538464,,,0.125,0.3333333333333333,0.3333333333333333,0.5,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,True,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,6756.0,113,-32.0,220,220,48.0,50.0,29.0,440,5.0,11.0,1.0,2.0,1.0,2.0,2.0,9.0,8.0,22,3.0,34.0,261,2.0,3.0,,7.0,1.0,5.0,2.0,4.0,4.0,12.0,4.0,1.0,4.0,3.0,6.0,,9.0,8.0,17.0,4.0,11.0,1.0,6.0,12.0,,4.0,4.0,1.0,1.0,1.0,,1.0,1.0,,1.0,4.0,48.0,1.0,0.25,0.3333333333333333,0.36363636363636365,0.6666666666666666,0.2,0.4696969696969697,0.875,0.125,0.4857142857142857,0.875,0.2222222222222222,17.898832684824903,,0.09230769230769231,0.047619047619047616,0.08823529411764706,0.045454545454545456,0.09090909090909091,0.04716981132075472,0.08,0.027777777777777776,0.047619047619047616,0.11764705882352941,0.03225806451612903,0.047619047619047616,,0.3333333333333333,0.45454545454545453,0.5555555555555556,0.2,0.2727272727272727,0.2222222222222222,0.2857142857142857,0.5,0.5,0.5,0.25,0.5,0.6666666666666666,0.5189468749999999,0.598025,0.47602857142857147,0.029411764705882353,0.043478260869565216,0.20588235294117646,0.11764705882352941,5.413636363636363,0.21818181818181817,2.0,2.0,6.0,5.0,,,2.0,0.13333333333333333,0.06060606060606061,3.0,3.0,8.0,,2.0,5.0,11.0,,3.0,15.0,,7.0,3.0,,10.0,11.0,7.0,2.0,23.0,7.0,6.0,,3.0,1.0,0.45454545454545453,,0.5,0.3333333333333333,,,0.6363636363636364,0.09090909090909091,0.24242424242424243,0.375,0.375,1.0,0.25,,0.42857142857142855,26.336363636363636,1.0,2.0,,1.0,1.0,1.0,4.0,1.0,,1.0,1.0,1.0,1.0,2.0,3.0,,0.18181818181818182,0.18181818181818182,0.2222222222222222,0.043478260869565216,,0.17647058823529413,0.15384615384615385,0.5,0.5,,0.6666666666666666,0.6666666666666666,1.0,0.25,0.125,,1.0,,,,,,1.0,1.0,1.0,3.0,1.0,0.42857142857142855,1.0,1.0,,,True,
