EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,ShootingFouls,Fouls,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,Loose Ball Fouls Drawn,FTA,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,Fg3aBlocked,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGM,SecondChanceFtPoints,PtsPutbacks,HeaveAttempts,ShortMidRangeAssists,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,LongMidRangePctBlocked,BlockedLongMidRange,Corner3PctBlocked,on,OffensiveGoaltends,DefensiveGoaltends
1513,1610612739,Scot Pollard,Scot Pollard,1513,CLE,68.0,1.0,-2,2.0,2,2.0,1,1.0,4,2,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1800,1610612739,Damon Jones,Damon Jones,1800,CLE,7058.0,118.0,67,206.0,201,64.0,58,35.0,407,170,4.0,7.0,64.0,0.3106796116504854,1.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,1.0,1.0,3.0,2.0,11.0,1.0,3.0,1.0,4.0,5.0,19.0,3.0,20.0,2.0,1.0,1.0,1.0,6.0,3.0,8.0,2.0,15.0,11.0,2.0,1.0,7.0,8.0,3.0,4.0,1.0,23.0,1.0,5.0,3.0,8.0,1.0,9.0,2.0,1.0,3.0,1.0,8.0,1.0,1.0,1.0,0.2631578947368421,0.16666666666666666,0.2631578947368421,0.25,1.0,0.3695652173913043,0.35714285714285715,0.4166666666666667,0.5,0.8260869565217391,10.0418410041841,0.04054054054054054,0.16129032258064516,0.022727272727272728,0.0761904761904762,0.009345794392523364,0.038461538461538464,0.058823529411764705,0.05,0.23809523809523808,0.043478260869565216,1.0,1.0,1.0,0.08695652173913043,0.043478260869565216,0.34782608695652173,0.375,0.375,1.0,0.4782608695652174,0.18181818181818182,0.18181818181818182,1.0,0.5,0.5,0.14285714285714285,1.0,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.8695652173913043,0.18181818181818182,0.5146239130434782,0.5206714285714286,0.041666666666666664,0.05,0.4,9.700000000000001,24.347368421052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1956,1610612739,Ira Newble,Ira Newble,1956,CLE,338.0,6.0,-2,13.0,11,5.0,1,1.0,24,11,1.0,2.0,5.0,0.38461538461538464,,,,,,,,,,,,,2.0,,1.0,,,,2.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,14.285714285714285,0.25,,,0.2,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,0.485475,0.38295,,,,,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2562,1610612739,Sasha Pavlovic,Sasha Pavlovic,2562,CLE,9533.0,159.0,24,280.0,283,118.0,109,37.0,563,246,8.0,19.0,118.0,0.42142857142857143,10.0,26.0,3.0,7.0,4.0,11.0,3.0,5.0,,1.0,3.0,3.0,8.0,1.0,1.0,14.0,41.0,6.0,13.0,4.0,50.0,1.0,3.0,13.0,1.0,4.0,2.0,11.0,14.0,18.0,8.0,3.0,2.0,,2.0,,,2.0,4.0,1.0,4.0,9.0,15.0,4.0,19.0,4.0,,6.0,,11.0,0.5,0.5,1.0,0.46153846153846156,0.25,0.46153846153846156,0.34146341463414637,0.23076923076923078,0.42592592592592593,0.2647058823529412,0.43859649122807015,0.3055555555555556,0.24074074074074073,19.631901840490798,0.08411214953271028,0.16,0.030303030303030304,0.09848484848484848,0.01935483870967742,0.05,,0.09523809523809523,0.26666666666666666,0.48148148148148145,0.38461538461538464,0.5,0.5,0.07407407407407407,0.2037037037037037,0.09259259259259259,0.6,0.6,1.0,0.14814814814814814,0.375,0.42857142857142855,1.0,,0.25,0.4117647058823529,0.42857142857142855,0.17647058823529413,0.3333333333333333,0.058823529411764705,0.7222222222222222,0.375,0.5465601851851851,0.5192794117647059,0.05263157894736842,,0.22,6.785365853658535,24.26153846153846,1.0,3.0,4.0,1.0,3.0,2.0,14.0,6.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,4.0,3.0,3.0,1.0,2.0,7.0,2.0,3.0,1.0,1.0,3.0,1.0,7.0,0.3333333333333333,0.25,0.25,0.07692307692307693,0.14634146341463414,0.23076923076923078,0.125,0.5714285714285714,0.16666666666666666,0.09090909090909091,0.01639344262295082,0.020833333333333332,0.025,0.2,0.07692307692307693,0.36363636363636365,0.36363636363636365,0.5,0.75,0.3333333333333333,1.0,0.4608833333333333,0.06818181818181818,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
2760,1610612739,Anderson Varejao,Anderson Varejao,2760,CLE,26840.0,447.0,94,786.0,791,254.0,263,117.0,1577,714,28.0,53.0,254.0,0.3231552162849873,32.0,59.0,5.0,15.0,20.0,7.0,,,,,,,4.0,,3.0,46.0,86.0,,4.0,27.0,119.0,,7.0,22.0,,3.0,15.0,29.0,60.0,,,,8.0,3.0,11.0,2.0,1.0,4.0,25.0,10.0,12.0,46.0,73.0,46.0,119.0,64.0,7.0,48.0,,29.0,0.6521739130434783,0.7692307692307693,,,,,0.5348837209302325,0.3181818181818182,0.5111111111111111,0.28,0.5219298245614035,0.3625,0.044444444444444446,14.379084967320262,0.1602787456445993,0.1276595744680851,0.09345794392523364,0.15223097112860892,0.1141439205955335,0.07462686567164178,0.19047619047619047,0.11627906976744186,0.10344827586206896,0.6555555555555556,0.5423728813559322,0.64,0.6875,0.2222222222222222,0.07777777777777778,,,,,0.044444444444444446,,,,,,0.6,0.3333333333333333,,,0.12,0.7,,0.5454883720930231,0.5741636363636364,0.18518518518518517,,0.24369747899159663,3.6802325581395348,71.95,9.0,19.0,2.0,13.0,24.0,31.0,32.0,10.0,,36.0,,15.0,3.0,21.0,10.0,11.0,4.0,1.0,16.0,3.0,4.0,20.0,1.0,4.0,5.0,22.0,20.0,1.0,8.0,0.5416666666666666,0.5416666666666666,0.5166666666666667,,0.11627906976744186,0.15254237288135594,,0.2,0.4166666666666667,,0.12162162162162163,0.13725490196078433,0.125,0.20270270270270271,0.1,0.2857142857142857,0.2857142857142857,1.0,0.7916666666666666,0.47368421052631576,0.2222222222222222,0.5460105263157895,0.19230769230769232,0.2605042016806723,12.0,5.0,14.0,4.0,1.0,3.0,2.0,1.0,3.0,2.0,6.0,11.0,9.0,2.0,11.0,7.0,2.0,4.0,0.05,0.10526315789473684,0.125,0.16666666666666666,0.6363636363636364,0.6,0.631578947368421,0.5,,,,,,,,,,,,,,,,,,,True,,
200789,1610612739,Daniel Gibson,Daniel Gibson,200789,CLE,15909.0,265.0,53,462.0,460,142.0,136,69.0,922,444,7.0,21.0,142.0,0.30735930735930733,8.0,15.0,2.0,3.0,8.0,13.0,9.0,22.0,2.0,4.0,9.0,12.0,24.0,4.0,5.0,18.0,36.0,21.0,46.0,24.0,123.0,6.0,5.0,9.0,5.0,14.0,15.0,40.0,12.0,60.0,23.0,12.0,7.0,6.0,13.0,3.0,3.0,7.0,32.0,2.0,5.0,10.0,15.0,6.0,21.0,19.0,1.0,27.0,2.0,40.0,0.3333333333333333,0.3333333333333333,0.9523809523809523,0.45652173913043476,0.35714285714285715,0.4666666666666667,0.5,0.5555555555555556,0.6036585365853658,0.5434782608695652,0.6648351648351648,0.65,0.5609756097560976,17.929759704251385,0.06172839506172839,0.08620689655172414,0.02702702702702703,0.06818181818181818,0.02608695652173913,,0.06666666666666667,0.056338028169014086,0.08823529411764706,0.18292682926829268,0.5333333333333333,0.5714285714285714,0.125,0.0975609756097561,0.15853658536585366,0.2682926829268293,0.4090909090909091,0.4090909090909091,0.8888888888888888,0.2926829268292683,0.5,0.5,1.0,0.18181818181818182,0.36363636363636365,0.13043478260869565,0.6666666666666666,0.391304347826087,0.4444444444444444,0.21739130434782608,0.7439024390243902,0.5217391304347826,0.5130858024691356,0.4940931818181818,0.10344827586206896,0.041666666666666664,0.3252032520325203,9.158333333333333,25.006521739130434,2.0,3.0,5.0,3.0,5.0,19.0,24.0,1.0,,4.0,,,1.0,9.0,5.0,4.0,2.0,1.0,4.0,1.0,2.0,6.0,,1.0,1.0,,7.0,,3.0,0.6,0.6818181818181818,0.7307692307692307,,0.027777777777777776,0.06666666666666667,,0.3333333333333333,,,0.02564102564102564,0.03333333333333333,0.02631578947368421,0.06521739130434782,0.02564102564102564,0.38461538461538464,0.38461538461538464,0.6,0.2727272727272727,0.6666666666666666,,0.508075,0.1794871794871795,0.15447154471544716,5.0,4.0,,1.0,,,,,2.0,4.0,4.0,3.0,3.0,,3.0,2.0,,4.0,,0.017241379310344827,0.06451612903225806,0.08333333333333333,0.6666666666666666,0.625,0.625,0.4,1.0,2.0,1.0,3.0,3.0,3.0,0.5,0.5,1.0,0.5,1.0,0.2,,,,,,,True,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,24169.0,403.0,97,708.0,713,230.0,241,104.0,1421,633,8.0,16.0,230.0,0.3248587570621469,41.0,63.0,14.0,21.0,39.0,67.0,1.0,4.0,1.0,,1.0,8.0,30.0,1.0,16.0,72.0,169.0,9.0,34.0,77.0,248.0,2.0,22.0,47.0,3.0,17.0,24.0,77.0,28.0,9.0,28.0,8.0,46.0,23.0,69.0,15.0,8.0,24.0,161.0,3.0,13.0,44.0,63.0,13.0,76.0,78.0,,97.0,,77.0,0.19444444444444445,0.20588235294117646,0.3333333333333333,0.2647058823529412,0.17647058823529413,0.28125,0.4260355029585799,0.46808510638297873,0.4211822660098522,0.4140625,0.5020491803278688,0.4935897435897436,0.16748768472906403,34.428223844282236,0.1685823754789272,0.15294117647058825,0.03125,0.16473988439306358,0.036414565826330535,0.01639344262295082,0.136986301369863,0.23333333333333334,0.1320754716981132,0.3103448275862069,0.6507936507936508,0.6721311475409836,0.2682926829268293,0.1921182266009852,0.33004926108374383,0.019704433497536946,0.25,0.25,1.0,0.1477832512315271,0.26666666666666666,0.26666666666666666,0.25,0.045454545454545456,0.045454545454545456,0.328125,0.6666666666666666,0.015625,,0.25,0.47783251231527096,0.2857142857142857,0.47729800995024874,0.48338951612903225,0.19747899159663865,,0.31048387096774194,9.448520710059173,26.57058823529412,4.0,8.0,23.0,6.0,20.0,21.0,116.0,6.0,,10.0,,6.0,4.0,21.0,13.0,8.0,23.0,17.0,17.0,6.0,3.0,40.0,,14.0,4.0,,47.0,1.0,1.0,0.3,0.2727272727272727,0.36538461538461536,,0.03550295857988166,0.031746031746031744,,0.575,0.18181818181818182,,0.038314176245210725,0.08536585365853659,0.0410958904109589,0.08823529411764706,0.03571428571428571,0.34328358208955223,0.35384615384615387,0.13043478260869565,0.36363636363636365,0.5,,0.447428125,0.23039215686274508,0.0846774193548387,8.0,9.0,8.0,2.0,8.0,14.0,3.0,1.0,1.0,12.0,6.0,5.0,3.0,2.0,6.0,4.0,,5.0,0.05128205128205128,,0.05714285714285714,0.1875,0.6666666666666666,0.20512820512820512,0.21621621621621623,,,,3.0,,18.0,3.0,,,,,,0.1875,5.0,1.0,1.0,0.029850746268656716,,,True,,
727,1610612739,Eric Snow,Eric Snow,727,CLE,10783.0,180.0,-19,314.0,333,88.0,130,49.0,647,320,8.0,17.0,88.0,0.2802547770700637,3.0,11.0,2.0,3.0,5.0,12.0,,,,,,,2.0,,2.0,9.0,28.0,,2.0,3.0,21.0,,3.0,6.0,,2.0,1.0,7.0,10.0,,1.0,,15.0,5.0,20.0,1.0,4.0,7.0,45.0,1.0,8.0,8.0,16.0,5.0,21.0,7.0,1.0,6.0,,7.0,0.5555555555555556,0.5555555555555556,,,,,0.32142857142857145,0.5,0.3,0.375,0.3181818181818182,0.3888888888888889,0.06666666666666667,10.455764075067025,0.07272727272727272,0.20512820512820512,0.02631578947368421,0.10738255033557047,0.024096385542168676,0.03571428571428571,0.07407407407407407,0.0625,0.20833333333333334,0.36666666666666664,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.4,,,,,0.06666666666666667,,,,,,0.375,0.6666666666666666,,,0.25,0.43333333333333335,,0.45991428571428566,0.52015,0.0625,,0.3333333333333333,8.75,49.8,,,5.0,2.0,3.0,4.0,8.0,2.0,,3.0,1.0,,,6.0,5.0,1.0,4.0,3.0,2.0,1.0,,6.0,3.0,1.0,,1.0,2.0,,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,0.07142857142857142,0.18181818181818182,,0.6666666666666666,,0.07142857142857142,0.0234375,0.023255813953488372,,0.08571428571428572,,0.4166666666666667,0.4166666666666667,0.8,,,,0.4025666666666667,0.06666666666666667,0.19047619047619047,1.0,,,1.0,2.0,6.0,,,,,1.0,2.0,,2.0,2.0,1.0,,1.0,,0.03636363636363636,,0.2,0.5,0.2,0.2,,,,,,,,,,,,,,1.0,,,,,,True,,
1716,1610612739,Larry Hughes,Larry Hughes,1716,CLE,13652.0,228.0,54,405.0,405,142.0,142,61.0,810,347,5.0,12.0,142.0,0.3506172839506173,6.0,16.0,3.0,7.0,9.0,27.0,1.0,5.0,,,2.0,5.0,14.0,,6.0,17.0,52.0,6.0,19.0,22.0,74.0,,7.0,15.0,3.0,8.0,3.0,26.0,12.0,18.0,14.0,5.0,10.0,3.0,13.0,1.0,2.0,5.0,29.0,,5.0,20.0,25.0,2.0,27.0,18.0,,27.0,1.0,26.0,0.35294117647058826,0.35294117647058826,1.0,0.3157894736842105,0.375,0.3157894736842105,0.3269230769230769,0.4666666666666667,0.36619718309859156,0.5,0.44047619047619047,0.52,0.2676056338028169,21.35306553911205,0.13245033112582782,0.1,,0.12437810945273632,0.0049504950495049506,,0.09615384615384616,0.18840579710144928,0.12903225806451613,0.22535211267605634,0.375,0.5,0.3333333333333333,0.1267605633802817,0.38028169014084506,0.07042253521126761,0.2,0.2,1.0,0.19718309859154928,0.35714285714285715,0.35714285714285715,1.0,,,0.30434782608695654,0.42857142857142855,0.08695652173913043,,0.2608695652173913,0.49295774647887325,0.35714285714285715,0.4818492957746479,0.5222652173913044,0.14634146341463414,0.05,0.35135135135135137,11.45576923076923,24.7,1.0,2.0,10.0,1.0,6.0,3.0,22.0,8.0,,1.0,1.0,,,11.0,6.0,5.0,10.0,6.0,7.0,4.0,,17.0,3.0,4.0,,1.0,11.0,,3.0,0.16666666666666666,0.16666666666666666,0.21428571428571427,,0.15384615384615385,0.25,,0.5882352941176471,,0.0625,0.006172839506172839,,0.022727272727272728,0.06666666666666667,,0.37037037037037035,0.4,0.4,0.3333333333333333,0.5,,0.4623000000000001,0.1774193548387097,0.04054054054054054,1.0,1.0,,,2.0,3.0,2.0,,,1.0,2.0,6.0,4.0,1.0,6.0,3.0,,2.0,0.2222222222222222,,,0.05263157894736842,0.5,0.1111111111111111,0.14285714285714285,,,,3.0,,,,,,,,,0.5,3.0,,,0.07407407407407407,1.0,,True,,
980,1610612739,Zydrunas Ilgauskas,Zydrunas Ilgauskas,980,CLE,8794.0,147.0,3,255.0,249,50.0,56,34.0,504,255,12.0,21.0,50.0,0.19607843137254902,11.0,17.0,1.0,3.0,13.0,19.0,,,,,,,,,,24.0,49.0,,,15.0,63.0,,5.0,8.0,,,3.0,13.0,22.0,,,,4.0,2.0,6.0,2.0,,2.0,14.0,2.0,5.0,13.0,18.0,13.0,31.0,14.0,1.0,18.0,,13.0,0.4583333333333333,0.6111111111111112,,,,,0.4897959183673469,0.625,0.4897959183673469,0.625,0.5535714285714286,0.65,,20.666666666666668,0.1566265060240964,0.15625,0.1111111111111111,0.1565217391304348,0.09558823529411764,,0.11538461538461539,0.11428571428571428,0.1111111111111111,0.3469387755102041,0.6470588235294118,0.7333333333333333,0.18181818181818182,0.2653061224489796,0.3877551020408163,,,,,,,,,,,0.375,0.3333333333333333,,,,0.3469387755102041,,0.46440204081632663,0.49853749999999997,0.16363636363636364,,0.20634920634920634,9.416326530612244,,6.0,11.0,7.0,7.0,12.0,17.0,26.0,2.0,,11.0,,,1.0,3.0,2.0,1.0,1.0,1.0,5.0,,2.0,6.0,1.0,1.0,2.0,1.0,9.0,,1.0,0.5833333333333334,0.5833333333333334,0.6071428571428571,,0.04081632653061224,0.11764705882352941,,0.16666666666666666,,,0.09322033898305085,0.13953488372093023,0.11764705882352941,0.2727272727272727,0.043478260869565216,0.3684210526315789,0.3684210526315789,1.0,0.9166666666666666,0.5454545454545454,,0.5924909090909091,0.16363636363636364,0.2698412698412698,6.0,3.0,12.0,,,2.0,,,2.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,,1.0,,0.024390243902439025,0.3333333333333333,0.21428571428571427,1.0,0.46153846153846156,0.46153846153846156,0.3333333333333333,,,,,,1.0,,,,,,,1.0,,,,,,True,,
