EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShootingFouls,Loose Ball Fouls,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Arc3Assists,DefTwoPtRebounds,Offensive Fouls,Offensive Fouls Drawn,Blocked3s,BlockedArc3,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,LostBallTurnovers,Travels,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,DefShortMidRangeReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,PenaltyFg3Pct,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BlockedShortMidRange,on,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,FTOffRebounds,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations
1717,1610612742,Dirk Nowitzki,Dirk Nowitzki,1717,DAL,1775.0,30,-21,60,62,20,11,11.0,122,2.0,4.0,1.0,3.0,1.0,3.0,2.0,5.0,3.0,7.0,1.0,7.0,16.0,1.0,6.0,20.0,75.0,2.0,6.0,5.0,9.0,2.0,8.0,3.0,7.0,10.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,4.0,6.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,7.0,20,1.0,1.0,0.7142857142857143,0.8333333333333334,0.4375,0.3333333333333333,0.25,0.4117647058823529,0.3333333333333333,0.25,0.5,0.5625,0.3888888888888889,0.058823529411764705,27.63157894736842,0.5,0.3333333333333333,0.07142857142857142,0.1111111111111111,0.18181818181818182,0.038461538461538464,0.10256410256410256,0.16666666666666666,0.06666666666666667,0.25,0.16666666666666666,0.1,0.5,0.23529411764705882,0.5,0.5,0.29411764705882354,0.4,0.4,1.0,0.4117647058823529,0.42857142857142855,0.42857142857142855,1.0,0.058823529411764705,0.5,0.3333333333333333,0.375,0.3333333333333333,0.29411764705882354,0.41621176470588234,0.4599666666666667,0.42625,0.1111111111111111,0.11764705882352941,0.45,0.35,11.65,24.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,1610612742,Greg Buckner,Greg Buckner,1761,DAL,315.0,5,-5,11,12,11,9,1.0,23,,,,,,,,1.0,,,,,1.0,,,,14.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,11,1.0,,,,,,,,,,,,,,8.333333333333334,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,0.2966,,0.2966,,,,,4.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,1964.0,33,-14,67,69,19,10,11.0,136,1.0,1.0,,,,,,2.0,3.0,5.0,5.0,4.0,8.0,6.0,2.0,13.0,75.0,,1.0,,,1.0,3.0,2.0,4.0,2.0,6.0,,5.0,3.0,,3.0,,1.0,6.0,,,1.0,,1.0,,1.0,,2.0,1.0,1.0,4.0,4.0,,4.0,,,,1.0,,2.0,,,1.0,,1.0,1.0,1.0,,,4.0,19,,,0.25,0.25,0.5,,0.3333333333333333,0.39285714285714285,,0.2,0.43333333333333335,,0.3333333333333333,0.42857142857142855,22.89156626506024,1.0,,,0.08333333333333333,,0.029411764705882353,,,,,0.14285714285714285,,,0.07142857142857142,1.0,1.0,0.14285714285714285,,,,0.35714285714285715,0.6,0.6,0.3333333333333333,0.35714285714285715,,,,,0.5,0.4632714285714285,0.3672,0.42011000000000004,0.06666666666666667,0.1111111111111111,,0.3076923076923077,12.5125,24.733333333333334,0.2835820895522388,,,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.125,0.5,0.07142857142857142,0.2,0.2,1.0,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2572,1610612742,Josh Howard,Josh Howard,2572,DAL,2023.0,34,-18,68,69,20,10,10.0,137,3.0,4.0,,1.0,1.0,2.0,2.0,3.0,,7.0,1.0,5.0,14.0,2.0,5.0,15.0,78.0,,3.0,,,1.0,5.0,,2.0,2.0,8.0,,1.0,1.0,1.0,2.0,,1.0,5.0,,1.0,3.0,,7.0,1.0,8.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,3.0,7.0,,7.0,1.0,,4.0,,,,1.0,,,2.0,20,,,0.2,0.2,0.35714285714285715,,0.2,0.3125,,0.16666666666666666,0.39473684210526316,,0.16666666666666666,0.125,25.60975609756098,0.5,,0.03225806451612903,0.2727272727272727,,0.21875,0.025,,0.05,,0.42857142857142855,,,0.25,0.75,0.75,0.1875,0.6666666666666666,0.6666666666666666,,0.4375,,,,0.0625,0.3333333333333333,,0.3333333333333333,0.5,0.375,0.472471875,0.52085,0.479975,0.21052631578947367,0.23529411764705882,,0.13333333333333333,10.978571428571428,23.6,0.29411764705882354,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,0.0625,,,,,0.16666666666666666,,1.0,4.0,1.0,1.0,1.0,1.0,0.19047619047619047,0.5714285714285714,0.3333333333333333,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,2275.0,38,-22,78,79,29,19,12.0,157,2.0,3.0,,1.0,1.0,2.0,,,,,,2.0,3.0,,1.0,5.0,90.0,,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,,,,1.0,,1.0,,,2.0,3.0,6.0,4.0,1.0,8.0,9.0,17.0,1.0,,,,2.0,1.0,2.0,4.0,1.0,3.0,9.0,5.0,2.0,2.0,,,,1.0,,,,,1.0,3.0,29,,1.0,1.0,1.0,0.6666666666666666,,0.5,0.6666666666666666,,0.5,0.625,0.25,0.5,,8.421052631578947,0.5,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.2727272727272727,0.1891891891891892,0.19148936170212766,0.16666666666666666,0.13636363636363635,0.25,0.2222222222222222,1.0,,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,1.0,,1.0,0.5,1.0,0.5109666666666667,0.374,0.4748,,,0.2,0.6,1.0,,0.3717948717948718,6.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,,,0.13043478260869565,,1.0,1.0,1.0,0.25,0.3333333333333333,0.21428571428571427,0.4,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,1610612742,Jerry Stackhouse,Jerry Stackhouse,711,DAL,797.0,13,-2,26,27,15,14,8.0,53,1.0,1.0,,,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,5.0,2.0,2.0,6.0,26.0,,1.0,,,1.0,2.0,2.0,4.0,4.0,,,2.0,,,,,,,,1.0,1.0,,2.0,1.0,3.0,,,,,1.0,,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,4.0,15,,1.0,1.0,1.0,0.4,,0.5,0.2857142857142857,,0.25,0.375,,0.4,0.2857142857142857,24.324324324324326,1.0,,0.0625,0.16666666666666666,,0.125,0.045454545454545456,,0.14285714285714285,,,,,0.14285714285714285,1.0,1.0,0.2857142857142857,0.5,1.0,1.0,0.2857142857142857,,,,0.2857142857142857,,,0.25,1.0,0.42857142857142855,0.4723785714285715,0.4237,0.5133125000000001,,,,0.6666666666666666,11.82,24.85,0.5769230769230769,,,,,,2.0,,2.0,,,1.0,,,,,,0.2,0.5,,,,,,0.5,,,1.0,,,,,0.1,,1.0,1.0,,,,,0.3333333333333333,0.5,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2734,1610612742,Devin Harris,Devin Harris,2734,DAL,1345.0,22,-18,47,48,11,11,4.0,95,1.0,3.0,,,,,,,2.0,5.0,,3.0,8.0,2.0,,9.0,60.0,,,,,1.0,2.0,,5.0,,6.0,,,5.0,,5.0,,1.0,10.0,,1.0,,1.0,2.0,1.0,3.0,,1.0,1.0,,1.0,,,1.0,,,6.0,1.0,,,,,,,1.0,1.0,1.0,,,5.0,11,1.0,,,,0.375,,0.5,0.45,,0.625,0.45,,0.625,0.2,20.754716981132074,1.0,1.0,0.05555555555555555,,,0.041666666666666664,0.041666666666666664,,0.09090909090909091,,,,,0.3,0.3333333333333333,0.5,,,,,0.5,0.4,0.4,,,,,,,0.5,0.450255,,0.42623750000000005,,,,0.5555555555555556,11.775,22.8,0.23404255319148937,3.0,,2.0,2.0,,,1.0,2.0,3.0,,1.0,1.0,3.0,1.0,0.5,0.5,0.125,,0.2,,,,0.5,,,,1.0,,,,,0.058823529411764705,0.14285714285714285,,1.0,,,,,,,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612742,Devean George,Devean George,1904,DAL,701.0,12,-4,25,23,12,5,3.0,48,,,,,,,,,,3.0,,,3.0,,,,26.0,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,12,1.0,,,,,,,,,,,,,,10.344827586206897,,,,0.16666666666666666,,0.2,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,0.3844,0.4138,0.371,,,,,17.099999999999998,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.25,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200772,1610612742,Maurice Ager,Maurice Ager,200772,DAL,90.0,2,-3,4,3,4,3,,7,,,,,,,,,,1.0,,,1.0,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.26,,0.26,,,,,20.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,90.0,2,-3,4,3,4,3,,7,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
