EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimAssists,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyPoints,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,PenaltyPointsExcludingTakeFouls,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,PenaltyPointsPct,Arc3FGM,SecondChanceArc3FGM,SecondChanceFG3M,NonHeaveArc3FGM,Fg2aBlocked,LiveBallTurnovers,BadPassTurnovers,Turnovers,Loose Ball Fouls Drawn,SecondChanceFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceFtPoints,ThreePtAssists,Arc3Assists,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,FTDefRebounds,SelfOReb,3SecondViolations,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,SelfORebPct,PenaltyFtPoints,Corner3Assists,Travels,Technical Free Throw Trips,PenaltyCorner3FGA,LostBallTurnovers,PenaltyCorner3Frequency,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,on,StepOutOfBoundsTurnovers,ShortMidRangeAssists,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,PtsUnassisted3s,ShortMidRangePctAssisted
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,3929.0,65,-7.0,112,114,28,30,18.0,226,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,7.0,1.0,6.0,1.0,8.0,115.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,6.0,8.0,8.0,2.0,6.0,1.0,1.0,2.0,1.0,28,0.5,0.5,1.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.2692307692307692,0.2857142857142857,0.46153846153846156,10.0,0.13043478260869565,0.08695652173913043,0.11594202898550725,0.058823529411764705,0.09090909090909091,0.2222222222222222,0.14285714285714285,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.23076923076923078,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,0.5,0.5,1.0,0.3076923076923077,0.5,0.25,0.25,0.6923076923076923,0.4918423076923077,0.3672,0.40415,0.07142857142857142,0.125,9.014285714285716,24.200000000000003,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
1853,1610612743,Anthony Carter,Anthony Carter,1853,DEN,329.0,5,-6.0,8,10,2,3,1.0,18,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,1.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,,2,,,,,,,,,,,,1.0,0.3333333333333333,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
200821,1610612743,Yakhouba Diawara,Yakhouba Diawara,200821,DEN,75.0,1,,2,3,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,2911.0,49,-21.0,83,85,25,22,13.0,168,2.0,3.0,1.0,4.0,1.0,2.0,,1.0,1.0,,,4.0,9.0,,2.0,1.0,9.0,93.0,3.0,,1.0,,6.0,2.0,,1.0,1.0,1.0,,2.0,1.0,7.0,8.0,16.0,,4.0,2.0,1.0,2.0,1.0,25,0.75,1.0,,,,0.4444444444444444,0.36363636363636365,0.375,0.18181818181818182,11.650485436893204,0.21212121212121213,0.0625,0.16326530612244897,0.23076923076923078,0.14285714285714285,0.23076923076923078,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.36363636363636365,0.18181818181818182,0.5,0.5,1.0,0.09090909090909091,,,,0.09090909090909091,,1.0,,0.45454545454545453,0.50495,0.57655,0.5772,0.08333333333333333,0.1,8.411111111111111,23.15,0.30120481927710846,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,8.0,1.0,1.0,2.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.16666666666666666,0.14285714285714285,0.16,0.2727272727272727,0.14285714285714285,0.09090909090909091,0.2,0.14285714285714285,1.0,0.25,0.25,0.3333333333333333,1.0,0.2222222222222222,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2581,1610612743,Steve Blake,Steve Blake,2581,DEN,1430.0,24,11.0,41,40,7,12,8.0,81,,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,5.0,35.0,,1.0,1.0,,,2.0,3.0,1.0,4.0,4.0,1.0,8.0,1.0,1.0,2.0,2.0,,,,1.0,,,7,,,1.0,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.3333333333333333,9.433962264150942,0.05263157894736842,0.1111111111111111,0.07142857142857142,,0.25,,0.14285714285714285,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,,,,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.5315500000000001,0.50655,0.6746,,,9.7,24.5,0.17073170731707318,3.0,,,,,3.0,,,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,0.6,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
947,1610612743,Allen Iverson,Allen Iverson,947,DEN,3379.0,56,-4.0,96,96,27,23,15.0,192,8.0,13.0,2.0,7.0,1.0,10.0,,,4.0,1.0,,12.0,30.0,,4.0,5.0,29.0,95.0,1.0,1.0,10.0,,4.0,20.0,,4.0,5.0,6.0,3.0,13.0,,,,,2.0,3.0,,7.0,5.0,2.0,27,0.16666666666666666,0.16666666666666666,,,,0.4,0.35294117647058826,0.4027777777777778,0.11764705882352941,34.16666666666667,,,,,,,,0.38235294117647056,0.6153846153846154,0.6666666666666666,0.20588235294117646,0.29411764705882354,0.1,0.1,,,,,,0.11764705882352941,0.5,0.2,,0.5,0.496189705882353,0.58595,0.40397,0.05714285714285714,0.06451612903225806,8.190000000000001,25.275,0.28125,2.0,1.0,2.0,3.0,1.0,3.0,4.0,8.0,,,,,1.0,,8.0,1.0,0.4,0.5,0.4,0.75,0.4,,,,,,,,,0.25,0.42857142857142855,0.42857142857142855,0.5,1.0,0.10344827586206896,0.27586206896551724,,,,,1.0,2.0,2.0,6.0,,,0.03333333333333333,0.07692307692307693,0.3333333333333333,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,2511.0,42,2.0,71,70,3,7,15.0,141,7.0,14.0,2.0,3.0,1.0,1.0,,,,,,8.0,18.0,,,2.0,18.0,73.0,8.0,,2.0,,14.0,2.0,,,1.0,1.0,1.0,2.0,2.0,2.0,5.0,16.0,3.0,5.0,1.0,5.0,5.0,3.0,3,0.875,0.875,,,,0.4444444444444444,0.4444444444444444,0.45,,23.958333333333336,0.06896551724137931,0.14285714285714285,0.09302325581395349,,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.7777777777777778,0.5,0.6363636363636364,0.16666666666666666,0.05555555555555555,1.0,1.0,1.0,,,,,,,1.0,,0.7777777777777778,0.5682388888888888,0.4964142857142857,0.61735,0.15,0.15,2.8611111111111116,,0.04225352112676056,,6.0,,,2.0,4.0,,,,4.0,7.0,11.0,1.0,1.0,,0.25,,0.25,,0.2222222222222222,,0.2,0.36363636363636365,0.2391304347826087,0.23529411764705882,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.2,0.8571428571428571,,,0.75,,0.2222222222222222,,,,,,4.0,,,3.0,,,0.2222222222222222,0.21428571428571427,,,,,,,,1.0,,,,,,3.0,2.0,,,,,1.0,,0.16666666666666666,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,2140.0,36,-1.0,62,64,21,23,8.0,126,3.0,5.0,3.0,3.0,5.0,8.0,,,2.0,,,8.0,16.0,,2.0,6.0,22.0,64.0,4.0,,6.0,,6.0,10.0,,2.0,1.0,2.0,,5.0,2.0,4.0,6.0,9.0,,4.0,,4.0,6.0,3.0,21,0.375,0.42857142857142855,,,,0.5,0.4444444444444444,0.525,0.1111111111111111,35.61643835616439,0.14814814814814814,0.16666666666666666,0.15384615384615385,0.2,,0.18181818181818182,0.14285714285714285,0.2777777777777778,0.6,0.6,0.16666666666666666,0.4444444444444444,0.625,0.625,0.6,,,,,0.1111111111111111,,0.5,,0.3888888888888889,0.4646194444444445,0.534,0.5044666666666667,0.15,0.16666666666666666,11.325,25.0,0.3387096774193548,1.0,3.0,3.0,,1.0,4.0,4.0,11.0,2.0,1.0,2.0,3.0,2.0,,11.0,0.25,0.6666666666666666,0.25,0.6666666666666666,0.4,0.7142857142857143,0.08333333333333333,0.16666666666666666,0.1,0.14285714285714285,0.125,,0.2,0.2,,,,0.75,1.0,0.18181818181818182,0.5,,,,,,1.0,1.0,6.0,,,,,0.16666666666666666,,,,,,,1.0,2.0,1.0,,2.0,,5.0,,1.0,1.0,4.0,,1.0,,0.3333333333333333,,,,,,,,,,3.0,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,
2747,1610612743,JR Smith,JR Smith,2747,DEN,1645.0,27,-11.0,47,47,6,5,9.0,94,2.0,2.0,,,,1.0,,2.0,3.0,,,2.0,3.0,,5.0,5.0,9.0,51.0,2.0,,,1.0,,4.0,,3.0,2.0,2.0,,4.0,2.0,2.0,4.0,5.0,2.0,4.0,1.0,3.0,5.0,2.0,6,,,,,,0.6666666666666666,0.25,0.4,0.625,17.46031746031746,0.125,0.2222222222222222,0.16,,,0.2857142857142857,0.25,0.25,1.0,1.0,,0.125,,,,0.25,,,,0.375,,,,0.875,0.5995875,0.3696,0.4974,0.2,0.4,6.366666666666667,23.62,0.1276595744680851,2.0,1.0,,,1.0,4.0,,,,1.0,,1.0,1.0,,,0.5,,0.5,,0.6666666666666666,,,0.07692307692307693,0.029411764705882353,,,,0.1,0.2,,,,0.5,,0.4444444444444444,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,0.16666666666666666,,,,1.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,1296.0,22,2.0,38,41,19,22,3.0,79,2.0,3.0,2.0,1.0,1.0,2.0,,,,,,4.0,6.0,,,,8.0,37.0,1.0,,3.0,,4.0,4.0,,,1.0,1.0,,2.0,3.0,6.0,9.0,10.0,3.0,3.0,,,,,19,0.5,0.6666666666666666,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,,19.51219512195122,0.2857142857142857,0.3,0.2903225806451613,0.2857142857142857,0.25,0.3333333333333333,0.2857142857142857,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,,,,,,,0.6666666666666666,,0.5,0.5551166666666666,0.6355,0.5673666666666667,,,7.583333333333333,,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,,1.0,1.0,,,4.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,0.07692307692307693,,0.06666666666666667,0.5,,,,0.3333333333333333,0.5,1.0,1.0,1.0,0.5,0.25,0.5,,,,,,1.0,1.0,2.0,,,,,0.5,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,3.0,1.0,4.0,1.0,0.25,True,,,,,,,,,,,,,,,
