EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,SelfOReb,LiveBallTurnovers,BadPassTurnovers,StepOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,LongMidRangeAssists,Steals,BadPassSteals,SecondChanceArc3FGM,FtPoints,SecondChanceFG3M,PenaltyFtPoints,LostBallSteals,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,HeaveAttempts,Fg2aBlocked,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Travels,Technical Free Throw Trips,RecoveredBlocks,FG2APctBlocked,ShortMidRangePctBlocked,BlocksRecoveredPct,FTOffRebounds,SecondChanceTurnovers,OffFTReboundPct,Defensive 3 Seconds Violations,OffArc3ReboundPct,PenaltyArc3FGM,PenaltyArc3Accuracy,on,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,AtRimPctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,DefensiveGoaltends,SecondChanceAtRimPctAssisted
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,1071.0,18,-13.0,38,38,8.0,21.0,6,76,2.0,3.0,1.0,1.0,3.0,3.0,6.0,6.0,41,1.0,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,6.0,1.0,1.0,4.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.42857142857142855,0.5,0.5,18.181818181818183,0.3333333333333333,0.16666666666666666,0.07692307692307693,0.125,0.2,0.15,0.1111111111111111,0.2,1.0,0.2857142857142857,0.2,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.4763,0.48,0.3891,0.3333333333333333,0.3333333333333333,4.8,0.21052631578947367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,2840.0,47,-13.0,91,94,29.0,56.0,18,185,9.0,12.0,5.0,3.0,5.0,14.0,19.0,34.0,98,3.0,5.0,6.0,3.0,5.0,9.0,10.0,,5.0,2.0,10.0,1.0,13.0,5.0,18.0,2.0,3.0,3.0,5.0,,2.0,1.0,,,9.0,29.0,,0.35714285714285715,0.45454545454545453,0.7368421052631579,0.6,0.6,0.68,0.5,0.5625,0.68,0.5,0.5625,24.999999999999996,0.5,0.3125,0.15625,0.125,,0.25,0.09803921568627451,0.1111111111111111,,0.14285714285714285,0.09090909090909091,0.48,0.75,0.75,0.2222222222222222,0.2,0.6,0.6,0.3333333333333333,0.8333333333333334,0.72,0.49276599999999987,0.5760416666666667,0.5324875,0.17647058823529413,0.2647058823529412,4.1000000000000005,0.31868131868131866,3.0,3.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,6.0,1.0,1.0,3.0,18.0,6.0,6.0,5.0,1.0,1.0,2.0,3.0,2.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.24,0.3333333333333333,0.15384615384615385,0.2,0.3,0.625,0.2,0.2222222222222222,0.08,1.0,1.0,1.0,0.04,1.0,1.0,1.0,0.2,0.2,0.2,1.0,0.6,0.16666666666666666,0.625,0.6,0.125,1.0,0.25,0.2,0.04,0.05263157894736842,25.616666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2230,1610612747,Maurice Evans,Maurice Evans,2230,LAL,1204.0,20,-7.0,45,43,17.0,25.0,8,88,,1.0,1.0,,1.0,1.0,3.0,2.0,43,,1.0,,,,,2.0,,1.0,1.0,1.0,,2.0,1.0,3.0,,,,,,,,,,,17.0,,1.0,1.0,0.3333333333333333,,,0.2,,,0.2,,,9.433962264150942,,0.07692307692307693,0.07142857142857142,0.125,,0.09523809523809523,0.045454545454545456,,,0.14285714285714285,0.16666666666666666,0.2,,,,0.2,,,,1.0,0.6,0.50437,0.5709,0.57555,,,10.333333333333334,0.37777777777777777,,,,1.0,1.0,,2.0,,1.0,,,,,,2.0,,,1.0,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,0.4,,0.3333333333333333,,,,,,0.2,1.0,1.0,1.0,0.4,,,,,,,,,,,,1.0,,,,,,22.9,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,3532.0,59,-10.0,116,117,34.0,67.0,23,233,,2.0,1.0,,1.0,1.0,7.0,9.0,119,,2.0,3.0,,1.0,4.0,2.0,,4.0,1.0,2.0,,3.0,4.0,7.0,1.0,3.0,5.0,8.0,,4.0,4.0,2.0,,4.0,34.0,2.0,1.0,1.0,0.14285714285714285,,,0.19230769230769232,0.375,,0.3,0.375,0.5,12.67605633802817,,0.05128205128205128,0.0975609756097561,0.047619047619047616,,0.05,0.06451612903225806,0.07142857142857142,,,0.07692307692307693,0.15384615384615385,,,,0.07692307692307693,,,,0.25,0.6153846153846154,0.47567307692307687,0.440275,0.498875,0.3333333333333333,0.4444444444444444,10.542857142857143,0.29310344827586204,,,,1.0,4.0,,1.0,,,1.0,5.0,2.0,1.0,1.0,6.0,2.0,,1.0,,3.0,,5.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,2.0,2.0,2.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,0.46153846153846156,0.6666666666666666,0.14285714285714285,0.07692307692307693,,0.18181818181818182,,0.18181818181818182,0.3076923076923077,0.25,0.25,1.0,0.07692307692307693,,,,0.38461538461538464,0.2,0.2,1.0,,0.5,,,,,0.5,0.2,,,25.650000000000002,,3.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,263.0,4,,9,7,,,1,16,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,3162.0,53,-2.0,104,106,34.0,64.0,21,210,5.0,6.0,,2.0,7.0,12.0,23.0,36.0,103,,1.0,,3.0,6.0,11.0,2.0,,,4.0,4.0,,8.0,,8.0,4.0,8.0,,2.0,,9.0,10.0,1.0,,11.0,34.0,1.0,0.08333333333333333,0.08333333333333333,0.5217391304347826,,0.5,0.45,,0.3333333333333333,0.5303030303030303,,0.4583333333333333,32.28346456692913,,0.11428571428571428,,0.21052631578947367,,0.14814814814814814,,,,0.06666666666666667,0.25,0.2,0.8333333333333334,0.8333333333333334,0.2,0.23333333333333334,0.2857142857142857,0.3333333333333333,,,0.43333333333333335,0.46532413793103444,0.3957,0.42368333333333336,,0.3055555555555556,11.195652173913043,0.3269230769230769,,,,5.0,10.0,,,,,1.0,7.0,,3.0,1.0,7.0,,,3.0,22.0,,,6.0,1.0,6.0,2.0,8.0,1.0,3.0,18.0,,4.0,2.0,,2.0,2.0,3.0,5.0,2.0,2.0,2.0,,,0.14285714285714285,,0.16666666666666666,0.23333333333333334,0.5,,,0.18181818181818182,0.1111111111111111,0.14285714285714285,,0.3333333333333333,0.5,0.5,,,,,,0.23333333333333334,0.14285714285714285,0.14285714285714285,,,,,,,,0.3333333333333333,0.16666666666666666,0.15625,0.2,33.15714285714286,1.0,2.0,1.0,,9.0,,5.0,1.0,,,,,,,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.043478260869565216,0.14285714285714285,0.5,,,,,,,,True,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,1155.0,19,-5.0,40,39,17.0,30.0,9,79,,1.0,,1.0,1.0,1.0,2.0,2.0,38,1.0,1.0,2.0,,,,,,2.0,2.0,2.0,1.0,5.0,3.0,8.0,1.0,6.0,,1.0,1.0,,,,,,17.0,,,,0.5,1.0,,0.2,1.0,,0.2,1.0,,22.0,1.0,0.15384615384615385,0.15384615384615385,0.25,,0.19047619047619047,0.10526315789473684,0.25,,0.2,,0.2,,,,0.2,1.0,1.0,,,0.8,0.5531200000000001,0.5194,,1.0,,3.45,0.425,,,,,,,,,,,3.0,,,,3.0,,,,2.0,,2.0,3.0,,3.0,,3.0,,1.0,6.0,1.0,5.0,4.0,,2.0,,,,,,,1.0,,,,,0.6,0.8333333333333334,,0.3333333333333333,0.25,,0.2857142857142857,0.25,,,,,,,,,0.6,,,,,,,,,,,,,,26.5,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,True,,,,,,,,,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,696.0,12,-1.0,21,21,,4.0,3,42,,1.0,1.0,,,,4.0,5.0,24,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,2.0,,,3.0,4.0,,1.0,2.0,,,,,,,,,,,0.3,,,0.4166666666666667,,,24.0,1.0,,0.1,,,,0.08333333333333333,,,,,0.2,,,,,,,,1.0,0.4,0.48468,0.6402,,,,14.2,,,,,,3.0,,,,,1.0,1.0,,,1.0,1.0,,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,0.2,,,0.2,,,,,0.6,,,,,,,,0.2,1.0,1.0,1.0,,,,,,,,1.0,0.16666666666666666,0.2,25.7,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,
101142,1610612747,Ronny Turiaf,Ronny Turiaf,101142,LAL,647.0,11,-2.0,23,23,15.0,21.0,6,46,2.0,3.0,3.0,,3.0,2.0,6.0,4.0,25,2.0,4.0,4.0,2.0,5.0,4.0,,2.0,3.0,1.0,,,1.0,5.0,6.0,1.0,1.0,,2.0,,1.0,2.0,,,4.0,15.0,,,,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.2857142857142857,0.4,0.3333333333333333,25.806451612903228,,,0.3333333333333333,0.5,0.3333333333333333,0.1,0.3333333333333333,0.5,,,0.5,0.5,0.6666666666666666,0.6666666666666666,,0.5,,,,0.75,0.5,0.4959833333333334,0.5938333333333333,0.512,1.0,1.0,3.8833333333333333,0.6521739130434783,2.0,2.0,3.0,,,,,,,,,,,,,,,,4.0,,2.0,,,,,,,,,2.0,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,0.4,,,,,0.5,,,,,,,,,,,,,0.6666666666666666,,0.6,0.6666666666666666,,,,,0.14285714285714285,0.14285714285714285,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,0.4,,,True,,,,,,,,,,,
1742,1610612747,Shammond Williams,Shammond Williams,1742,LAL,1595.0,27,-4.0,48,51,9.0,25.0,10,99,2.0,3.0,1.0,,,2.0,5.0,7.0,53,,1.0,,,,3.0,4.0,1.0,1.0,,,,,2.0,2.0,1.0,1.0,1.0,3.0,,1.0,,,,3.0,9.0,,1.0,1.0,0.4,,,0.3888888888888889,,1.5,0.3888888888888889,,1.5,16.666666666666668,,,0.058823529411764705,,0.09090909090909091,,0.07142857142857142,0.14285714285714285,,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,,,,1.0,0.7777777777777778,0.4816444444444445,0.6489,0.4593,,0.42857142857142855,7.4799999999999995,0.1875,,,,,2.0,,,,,1.0,4.0,,1.0,1.0,4.0,,1.0,1.0,,3.0,,4.0,1.0,2.0,,2.0,,1.0,4.0,,,,,,,,,,,,1.0,1.0,0.25,1.0,0.25,0.4444444444444444,,,,,,,,0.2222222222222222,,,,,,,,0.4444444444444444,0.25,0.25,1.0,,,,,,,1.0,0.25,,,25.9,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,0.1,1.0,1.0,True,,,,,,,,,,,
