EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Arc3PctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,PenaltyFG2M,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,SecondChanceFg2Pct,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,LongMidRangeFGM,SecondChanceFtPoints,Corner3Assists,LostBallOutOfBoundsTurnovers,Travels,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy,OffensiveGoaltends,3SecondViolations,SecondChanceAtRimPctAssisted,on
101129,1610612745,Luther Head,Luther Head,101129,HOU,5230.0,87.0,-12.0,156.0,156,68.0,58.0,16.0,312,1.0,2.0,1.0,1.0,3.0,1.0,2.0,7.0,2.0,1.0,3.0,12.0,1.0,2.0,1.0,6.0,2.0,6.0,5.0,19.0,4.0,23.0,163.0,1.0,1.0,4.0,3.0,1.0,1.0,7.0,2.0,5.0,4.0,12.0,3.0,1.0,11.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,1.0,6.0,4.0,1.0,11.0,1.0,12.0,1.0,1.0,1.0,6.0,11.0,6.0,8.0,2.0,2.0,2.0,2.0,2.0,5.0,68.0,2.0,2.0,1.0,1.0,0.8,0.2631578947368421,0.25,0.14285714285714285,0.2777777777777778,0.3333333333333333,0.38,0.3,0.1875,0.39655172413793105,0.3,0.25,0.76,0.05263157894736842,0.08333333333333333,16.477272727272727,0.14285714285714285,0.06153846153846154,0.3157894736842105,0.03225806451612903,0.11904761904761904,0.0125,0.043478260869565216,0.125,0.05263157894736842,0.03333333333333333,0.3157894736842105,0.0625,0.08,0.5,0.5,1.0,0.12,0.3333333333333333,0.3333333333333333,1.0,0.04,0.28,0.2857142857142857,0.2857142857142857,0.5,0.48,0.25,0.2727272727272727,1.0,0.4,0.4,0.5,1.0,0.125,0.125,0.75,0.16666666666666666,0.84,0.2727272727272727,0.5343729166666668,0.4946333333333333,0.5745571428571428,0.07407407407407407,0.25,0.13043478260869565,0.21739130434782608,7.366666666666666,25.226315789473684,0.4358974358974359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,11663.0,194.0,-14.0,360.0,360,88.0,100.0,38.0,720,11.0,14.0,5.0,1.0,2.0,,,,,,,1.0,,,,1.0,12.0,16.0,,1.0,2.0,26.0,366.0,4.0,,,6.0,6.0,,1.0,,8.0,18.0,,,,1.0,,,2.0,1.0,3.0,1.0,1.0,,7.0,6.0,6.0,24.0,1.0,31.0,14.0,45.0,,8.0,4.0,10.0,22.0,8.0,5.0,3.0,,3.0,2.0,3.0,8.0,88.0,1.0,,0.75,1.0,,,,,,0.75,0.7058823529411765,0.75,0.5714285714285714,0.6842105263157895,0.75,0.5,0.058823529411764705,,,6.356968215158925,0.1,0.183206106870229,0.1875,0.0967741935483871,0.18404907975460122,0.07909604519774012,0.13513513513513514,0.17857142857142858,0.11764705882352941,0.21739130434782608,0.1935483870967742,,0.8235294117647058,0.7857142857142857,0.8461538461538461,0.7272727272727273,0.11764705882352941,0.5,0.5,1.0,,,,,,0.058823529411764705,,,,,,,,0.7142857142857143,,0.14285714285714285,,0.8823529411764706,,0.5401823529411764,0.5534,0.4910285714285714,0.15789473684210525,0.16666666666666666,0.23076923076923078,0.3076923076923077,0.8875,29.0,0.24444444444444444,3.0,4.0,4.0,3.0,4.0,6.0,6.0,1.0,1.0,8.0,4.0,4.0,2.0,3.0,2.0,7.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0.75,0.6666666666666666,0.0625,0.07142857142857142,0.5714285714285714,0.06956521739130435,0.03571428571428571,0.07894736842105263,0.08163265306122448,0.04,0.3333333333333333,1.0,0.75,0.8,,,,,,,,,,,,,,,,,,,,,,,,,True
101249,1610612745,John Lucas III,John Lucas III,101249,HOU,143.0,2.0,-6.0,4.0,5,4.0,5.0,,9,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True
1503,1610612745,Tracy McGrady,Tracy McGrady,1503,HOU,16796.0,280.0,-29.0,518.0,515,163.0,158.0,58.0,1033,21.0,34.0,11.0,10.0,20.0,70.0,,2.0,,1.0,9.0,34.0,,1.0,3.0,12.0,54.0,124.0,9.0,36.0,42.0,177.0,541.0,12.0,,1.0,15.0,40.0,3.0,13.0,30.0,79.0,32.0,15.0,12.0,,34.0,9.0,,32.0,19.0,51.0,6.0,19.0,12.0,121.0,2.0,6.0,28.0,2.0,36.0,5.0,41.0,2.0,5.0,4.0,5.0,12.0,55.0,57.0,20.0,8.0,6.0,3.0,6.0,79.0,163.0,3.0,8.0,0.2962962962962963,0.2962962962962963,0.5555555555555556,0.25,,0.23076923076923078,0.25,0.43548387096774194,0.421875,0.46153846153846156,0.46226415094339623,0.47580645161290325,0.46875,0.5563380281690141,0.225,,,35.32423208191126,0.13333333333333333,0.14507772020725387,0.13333333333333333,0.022222222222222223,0.14285714285714285,0.02,0.03278688524590164,0.046511627906976744,0.14583333333333334,0.18627450980392157,0.11627906976744186,0.022988505747126436,0.2125,0.6176470588235294,0.7777777777777778,0.2857142857142857,0.125,0.5,0.5263157894736842,0.3,0.4375,0.0125,,,,0.2125,0.2647058823529412,0.2647058823529412,0.5555555555555556,,0.07692307692307693,,,0.20754716981132076,0.018867924528301886,0.22641509433962265,0.25,0.4375,0.2647058823529412,0.4604889937106918,0.4497000000000001,0.4560057692307692,0.12359550561797752,0.14184397163120568,0.0847457627118644,0.4463276836158192,12.39032258064516,25.825000000000003,0.31467181467181465,1.0,2.0,7.0,6.0,20.0,76.0,,9.0,1.0,3.0,1.0,10.0,5.0,11.0,5.0,21.0,1.0,1.0,2.0,,1.0,3.0,1.0,5.0,,0.5,0.5,0.07258064516129033,0.20588235294117646,0.47619047619047616,0.01875,0.05263157894736842,,0.014925373134328358,,0.8333333333333334,0.15384615384615385,0.5,0.6363636363636364,3.0,5.0,23.0,3.0,13.0,2.0,2.0,1.0,2.0,2.0,0.05,0.014285714285714285,0.5,0.32857142857142857,0.3333333333333333,0.30434782608695654,0.05405405405405406,,,,,,,,True
436,1610612745,Juwan Howard,Juwan Howard,436,HOU,6123.0,102.0,-9.0,180.0,181,78.0,70.0,25.0,361,3.0,6.0,1.0,3.0,7.0,10.0,,,,,,,,,,,8.0,23.0,,,2.0,18.0,194.0,1.0,,,2.0,8.0,,,,4.0,12.0,,,,,,,3.0,2.0,5.0,2.0,2.0,1.0,12.0,3.0,2.0,8.0,2.0,12.0,6.0,18.0,,4.0,,2.0,4.0,2.0,2.0,1.0,,,,,4.0,78.0,1.0,,0.75,0.75,,,,,,0.34782608695652173,0.34782608695652173,,0.25,0.375,0.5,0.25,,,,13.333333333333332,0.2857142857142857,0.11428571428571428,0.125,0.08108108108108109,0.11627906976744186,0.06382978723404255,0.10714285714285714,,0.14285714285714285,0.14285714285714285,0.13333333333333333,,0.2608695652173913,0.5,1.0,1.0,0.30434782608695654,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.43478260869565216,,,,,,,,,,,,,0.125,,,,0.2608695652173913,,0.4436130434782609,0.3554,0.3796999999999999,0.041666666666666664,0.041666666666666664,0.1111111111111111,0.2222222222222222,10.665217391304349,,0.43333333333333335,,,1.0,,2.0,4.0,,3.0,,3.0,4.0,1.0,,3.0,1.0,4.0,2.0,,,1.0,,,,,1.0,,0.25,0.13043478260869565,0.5,0.25,0.05263157894736842,0.14285714285714285,0.05263157894736842,,,,,,1.0,2.0,3.0,2.0,2.0,,1.0,,,,,,,,0.2,0.2,0.5,,,,,,,,,True
87,1610612745,Dikembe Mutombo,Dikembe Mutombo,87,HOU,2398.0,40.0,-7.0,72.0,70,42.0,25.0,9.0,142,3.0,3.0,1.0,,,,,,,,,,,,,,3.0,3.0,,,3.0,9.0,77.0,2.0,,,4.0,1.0,,,2.0,4.0,2.0,,,,,,,1.0,,1.0,,,,2.0,3.0,1.0,4.0,,5.0,5.0,10.0,,,,1.0,5.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,42.0,2.0,,0.3333333333333333,1.0,,,,,,1.0,1.0,1.0,1.0,0.9,1.0,1.0,,,,4.761904761904762,,0.13333333333333333,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.13513513513513514,0.16666666666666666,,,0.2222222222222222,0.16666666666666666,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,0.5693666666666667,0.586,0.5759,0.25,0.25,0.4444444444444444,0.4444444444444444,,,0.5833333333333334,2.0,2.0,1.0,2.0,1.0,4.0,4.0,,1.0,2.0,,,,,,,,2.0,,1.0,,,,2.0,2.0,1.0,1.0,,,,0.10526315789473684,0.5,,0.07692307692307693,0.16666666666666666,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True
1747,1610612745,Rafer Alston,Rafer Alston,1747,HOU,15513.0,259.0,-6.0,482.0,477,147.0,144.0,55.0,959,3.0,9.0,5.0,2.0,5.0,6.0,5.0,13.0,,5.0,6.0,28.0,2.0,4.0,,5.0,7.0,20.0,11.0,41.0,8.0,55.0,491.0,1.0,2.0,4.0,10.0,6.0,2.0,10.0,3.0,13.0,,33.0,,1.0,27.0,6.0,,23.0,7.0,30.0,4.0,10.0,7.0,67.0,1.0,3.0,30.0,2.0,35.0,6.0,41.0,2.0,11.0,5.0,8.0,20.0,7.0,11.0,4.0,2.0,2.0,1.0,2.0,13.0,147.0,1.0,2.0,,,1.0,0.2682926829268293,0.5,0.2,0.275,0.35,0.38524590163934425,0.8,0.3125,0.4166666666666667,0.8333333333333334,0.3611111111111111,0.6721311475409836,,,14.678899082568806,0.15384615384615385,0.16853932584269662,0.06818181818181818,0.012195121951219513,0.14864864864864866,0.021739130434782608,,0.10256410256410256,0.18181818181818182,0.18947368421052632,0.07142857142857142,0.04878048780487805,0.14754098360655737,0.3333333333333333,0.3333333333333333,,0.08196721311475409,0.4,0.5,,0.09836065573770492,0.21311475409836064,0.38461538461538464,0.38461538461538464,1.0,0.45901639344262296,0.21428571428571427,0.21428571428571427,1.0,,0.8,0.5,1.0,0.3125,0.3125,0.3125,,0.819672131147541,0.2222222222222222,0.5332391666666666,0.566325,0.55311,0.0625,0.17391304347826086,0.18181818181818182,0.23636363636363636,8.32,25.048780487804883,0.3049792531120332,1.0,1.0,2.0,1.0,2.0,14.0,2.0,1.0,6.0,4.0,6.0,8.0,6.0,6.0,2.0,14.0,2.0,,,,,1.0,1.0,1.0,,1.0,0.3333333333333333,0.05,,0.5714285714285714,0.02702702702702703,0.08823529411764706,,0.016129032258064516,0.037037037037037035,0.5,0.2,1.0,0.4,5.0,5.0,2.0,2.0,3.0,,1.0,,,,0.2,,,0.3333333333333333,0.3333333333333333,,,2.0,1.0,0.07142857142857142,0.4,,,,True
2203,1610612745,Shane Battier,Shane Battier,2203,HOU,13115.0,219.0,-22.0,412.0,410,109.0,121.0,46.0,822,1.0,3.0,1.0,3.0,3.0,,12.0,25.0,1.0,3.0,6.0,13.0,,,1.0,2.0,4.0,6.0,18.0,38.0,5.0,67.0,433.0,,,1.0,,1.0,4.0,5.0,3.0,15.0,2.0,51.0,3.0,,13.0,6.0,,9.0,4.0,13.0,3.0,4.0,5.0,30.0,1.0,2.0,10.0,,12.0,3.0,15.0,,10.0,4.0,8.0,15.0,11.0,6.0,2.0,1.0,5.0,3.0,5.0,15.0,109.0,3.0,1.0,0.25,0.25,0.9444444444444444,0.47368421052631576,,0.8,0.47368421052631576,0.6666666666666666,0.7045454545454546,,1.0,0.7127659574468085,,0.9375,0.8636363636363636,,,11.422413793103448,,0.06711409395973154,0.06451612903225806,0.014285714285714285,0.06666666666666667,0.005128205128205128,0.02127659574468085,0.1388888888888889,0.09375,0.024691358024691357,0.06896551724137931,,0.06818181818181818,0.3333333333333333,0.3333333333333333,,0.06818181818181818,1.0,1.0,0.3333333333333333,,0.5681818181818182,0.48,0.48,0.9166666666666666,0.29545454545454547,0.46153846153846156,0.46153846153846156,1.0,1.0,,,,0.16666666666666666,0.5,0.3333333333333333,0.5,0.9318181818181818,0.46153846153846156,0.5507102272727272,,0.5623583333333333,0.043478260869565216,0.25,,0.22388059701492538,4.883333333333333,23.89736842105263,0.2645631067961165,,,,,,6.0,,,,,6.0,5.0,2.0,1.0,3.0,6.0,,1.0,1.0,,8.0,,,3.0,,,,,,0.8333333333333334,,,,,,0.6,,,,,,,,1.0,,,,,2.0,,,,,,,,3.0,2.0,0.2222222222222222,1.0,,,,True
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,12558.0,209.0,-27.0,393.0,389,104.0,102.0,42.0,782,23.0,33.0,11.0,20.0,56.0,9.0,,,,,,,,,,,45.0,98.0,,,45.0,135.0,414.0,17.0,,,17.0,27.0,,,19.0,41.0,72.0,,,,,,,,2.0,2.0,2.0,,,6.0,3.0,5.0,27.0,3.0,35.0,19.0,54.0,2.0,1.0,1.0,8.0,23.0,34.0,51.0,21.0,6.0,3.0,2.0,3.0,41.0,104.0,2.0,6.0,0.8,0.8571428571428571,,,,,,0.45918367346938777,0.45918367346938777,0.29411764705882354,0.4074074074074074,0.5532786885245902,0.425,0.5540540540540541,,,,34.32494279176201,0.3,0.1875,0.15625,0.05357142857142857,0.18181818181818182,0.10674157303370786,0.05,0.14285714285714285,0.22580645161290322,0.19230769230769232,0.16666666666666666,0.05,0.336734693877551,0.696969696969697,0.7931034482758621,0.7391304347826086,0.5714285714285714,0.35714285714285715,0.4166666666666667,0.9,0.09183673469387756,,,,,,,,,,,,,0.4074074074074074,,,,0.336734693877551,,0.4554214285714286,0.4851769230769231,0.4607222222222222,0.1810344827586207,0.1810344827586207,0.1259259259259259,0.3037037037037037,6.908163265306122,,0.26463104325699743,4.0,10.0,9.0,5.0,11.0,18.0,6.0,12.0,,16.0,,11.0,3.0,17.0,8.0,28.0,2.0,2.0,8.0,1.0,1.0,3.0,,,1.0,0.29411764705882354,0.4074074074074074,0.12244897959183673,0.12121212121212122,0.39285714285714285,0.13114754098360656,0.14285714285714285,0.12244897959183673,0.13333333333333333,0.0625,,0.5882352941176471,0.4,0.8181818181818182,1.0,5.0,2.0,7.0,,1.0,3.0,,,1.0,0.14285714285714285,,,0.2222222222222222,0.2222222222222222,0.5,,,,,,1.0,3.0,0.25,True
2745,1610612745,Kirk Snyder,Kirk Snyder,2745,HOU,441.0,7.0,-13.0,13.0,12,12.0,7.0,1.0,25,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,,2.0,,2.0,20.0,,,1.0,,1.0,,2.0,,2.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,2.0,12.0,,,1.0,1.0,,,,,,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.6666666666666666,,,26.666666666666668,,0.25,,,0.25,,,,,0.5,,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.3333333333333333,,,,0.3333333333333333,,,,,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,1.0,,0.5249,0.5271,0.5249,,,,1.0,,24.75,0.9230769230769231,,,1.0,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,True
