EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,Usage,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,PenaltyFG2M,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,AtRimFGA,Arc3FGA,FG3A,NonHeaveArc3FGA,DefTwoPtRebounds,ShootingFouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APct,DefTwoPtReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,LongMidRangeAssists,AtRimFGM,Arc3FGM,FG3M,FtPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,OffThreePtRebounds,OffRebounds,Offensive Fouls,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,SecondChanceAtRimFGA,SecondChanceFG2A,SecondChanceAtRimFrequency,FTDefRebounds,BlockedAtRim,DefFTReboundPct,on,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,Loose Ball Fouls,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyAtRimFGM,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,OffTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,PenaltyAtRimAccuracy,SecondChancePointsPct,SecondChanceAtRimFGM,PenaltyFtPoints,Fg2aBlocked,SelfOReb,LostBallOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,Corner3Assists,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,ShortMidRangePctAssisted
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,329.0,5,-6.0,8,10,2.0,3.0,1.0,18,1.0,1.0,1.0,1.0,2.0,2.0,12.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.5,22.22222222222222,0.5,0.5,1.0,1.0,1.0,0.3889,0.3664,16.85,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,1610612743,Anthony Carter,Anthony Carter,1853,DEN,839.0,14,-7.0,23,24,3.0,5.0,1.0,47,1.0,3.0,3.0,4.0,4.0,8.0,35.0,1.0,6.0,2.0,3.0,0.75,0.75,1.0,1.0,1.0,20.0,0.25,0.75,1.0,1.0,1.0,0.381425,0.3282,15.975000000000001,0.13043478260869565,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200821,1610612743,Yakhouba Diawara,Yakhouba Diawara,200821,DEN,75.0,1,,2,3,2.0,3.0,,5,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2059,1610612743,Eduardo Najera,Eduardo Najera,2059,DEN,649.0,11,-8.0,17,18,2.0,2.0,1.0,35,,,,,1.0,,28.0,,,1.0,2.0,,,,,,10.526315789473685,,,,,,0.59535,,1.8,0.11764705882352941,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.16666666666666666,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,0.5,1.0,0.5,0.5,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,1610612743,Steve Blake,Steve Blake,2581,DEN,218.0,4,1.0,7,7,2.0,4.0,,14,,,,,,,7.0,,,,2.0,,,,,,,,,,,,,,,0.2857142857142857,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,1610612743,Allen Iverson,Allen Iverson,947,DEN,587.0,10,-3.0,15,16,2.0,4.0,,31,,,,1.0,3.0,10.0,23.0,,,,2.0,,,0.3333333333333333,0.8,0.8333333333333334,43.75,,,,,,0.61947,,1.2666666666666668,0.13333333333333333,,,,2.0,2.0,,2.0,,,4.0,,,,,,1.0,2.0,2.0,,1.0,,,,,,,,,,0.16666666666666666,0.25,,3.0,2.0,2.0,2.0,,,,,,,0.4,,,,0.6,0.4,1.0,24.75,2.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,1610612743,Nene,Nene,2403,DEN,591.0,10,-9.0,17,16,1.0,,1.0,33,,,,2.0,2.0,6.0,27.0,,2.0,3.0,1.0,0.5,0.5,1.0,1.0,1.0,22.22222222222222,,,,,,0.67035,,1.3,0.058823529411764705,,,,2.0,2.0,,2.0,,1.0,4.0,,2.0,3.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,0.5,,,,0.3333333333333333,0.3333333333333333,,2.0,,,,2.0,2.0,,,,,,0.5,,,1.0,,1.0,,1.0,2.0,,,2.0,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.5,0.5,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2546,1610612743,Carmelo Anthony,Carmelo Anthony,2546,DEN,623.0,10,-6.0,18,18,1.0,2.0,1.0,36,1.0,,,1.0,3.0,2.0,30.0,,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,25.0,0.3333333333333333,,,,,0.5082666666666666,,4.6000000000000005,0.05555555555555555,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.6666666666666666,,0.6666666666666666,,,1.0,,,,,,,2.0,2.0,,,,,1.0,0.5,0.5,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612743,Marcus Camby,Marcus Camby,948,DEN,284.0,5,3.0,8,8,,2.0,,16,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,,1.0,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101132,1610612743,Linas Kleiza,Linas Kleiza,101132,DEN,3600.0,60,-1.0,104,104,26.0,27.0,17.0,208,2.0,,,1.0,5.0,6.0,103.0,2.0,,5.0,26.0,,,0.2,0.22727272727272727,0.25,9.16030534351145,0.18181818181818182,,,,,0.5105590909090908,0.41673333333333334,5.88,0.25,,,,2.0,2.0,,2.0,,,4.0,2.0,8.0,8.0,,,,1.0,2.0,,1.0,,,,,0.09090909090909091,0.12121212121212122,0.15384615384615385,,,0.08333333333333333,0.16666666666666666,,3.0,4.0,6.0,4.0,6.0,2.0,,,,,0.5454545454545454,0.13636363636363635,0.0625,,0.2727272727272727,0.36363636363636365,0.8181818181818182,24.200000000000003,2.0,1.0,,1.0,1.0,3.0,,,,,,1.0,0.16666666666666666,0.16666666666666666,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,0.09090909090909091,0.23529411764705882,,,1.0,,,,,False,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
