EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,FTOffRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,FoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,OffFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Defensive 3 Seconds Violations,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,Fg3aBlocked,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,FG3APct,FG3APctBlocked,Arc3PctBlocked,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,LongMidRangeFGA,PtsAssisted2s,OffTwoPtRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimPctAssisted,LongMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,ShortMidRangeFGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,FtPoints,SecondChanceFtPoints,FTDefRebounds,DefFTReboundPct,DefShortMidRangeReboundPct,PenaltyFtPoints,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG2APctBlocked,AtRimPctBlocked,DefLongMidRangeReboundPct,ShortMidRangeAssists,on,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls Drawn,BlockedLongMidRange,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,Corner3Assists,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffensiveGoaltends,3SecondViolations
101129,1610612745,Luther Head,Luther Head,101129,HOU,472.0,8.0,2.0,13.0,16,6.0,13,3.0,29,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,14.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,18.75,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5103,0.6386,0.6386,1.0,1.0,1.9,0.46153846153846156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101236,1610612745,Chuck Hayes,Chuck Hayes,101236,HOU,78.0,1.0,-4.0,2.0,3,2.0,3,,5,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101249,1610612745,John Lucas III,John Lucas III,101249,HOU,498.0,8.0,2.0,14.0,17,7.0,14,3.0,31,,,,,,,,,,14.0,,,,,,,,,,,,2.0,1.0,2.0,,,,,7.0,,,,,,,,,,17.64705882352941,,,,,,,,,1.0,,,,,,,0.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,1610612745,Tracy McGrady,Tracy McGrady,1503,HOU,143.0,2.0,-6.0,4.0,5,4.0,5,,9,,,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,1610612745,Juwan Howard,Juwan Howard,436,HOU,459.0,8.0,4.0,13.0,15,6.0,12,3.0,28,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,12.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,1.0,,,,,,1.0,2.0,6.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,18.75,,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.6666666666666666,0.6323,0.6558,0.6205499999999999,0.5,0.5,6.433333333333334,0.46153846153846156,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1610612745,Dikembe Mutombo,Dikembe Mutombo,87,HOU,13.0,,-2.0,,1,,1,,1,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2397,1610612745,Yao Ming,Yao Ming,2397,HOU,251.0,4.0,-4.0,6.0,7,2.0,5,,13,,,,,,,2.0,2.0,4.0,8.0,,,,,,,2.0,,,,2.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,,,1.0,,,1.0,,,50.0,,,,,,,,,,0.38705,,,,,8.1,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,0.5,0.5,,,,,,,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054,1610612745,Jake Tsakalidis,Jake Tsakalidis,2054,HOU,169.0,3.0,10.0,6.0,7,3.0,6,3.0,13,,,,,,,,,2.0,2.0,,,2.0,,,,,,,1.0,4.0,,,,,,1.0,,3.0,,,,,,,1.0,1.0,,11.11111111111111,,,,,,,,,,,,,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,0.5,0.5,0.5,,,1.0,1.0,,,,2.0,3.0,,,,,,,0.6666666666666666,,0.6666666666666666,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,1610612745,Vassilis Spanoulis,Vassilis Spanoulis,2779,HOU,169.0,3.0,10.0,6.0,7,3.0,6,3.0,13,1.0,2.0,,,1.0,1.0,1.0,2.0,4.0,2.0,,,,1.0,1.0,4.0,2.0,,,,1.0,,,,,,1.0,4.0,3.0,0.5,,1.0,0.5,,1.0,0.6666666666666666,,1.0,33.333333333333336,,1.0,0.5,1.0,,,1.0,1.0,1.0,0.6804,,0.674,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,2.0,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612745,Shane Battier,Shane Battier,2203,HOU,212.0,4.0,-2.0,5.0,6,1.0,4,,11,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
