EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Arc3Assists,AtRimAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,AtRimPctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,Corner3FGM,PenaltyCorner3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PtsUnassisted3s,HeaveAttempts,ShortMidRangeAssists,OffThreePtRebounds,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceArc3FGA,SecondChanceFG3A,PtsPutbacks,Fg3aBlocked,Loose Ball Fouls,BlockedAtRim,FG3APctBlocked,Arc3PctBlocked,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,FTOffRebounds,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceFtPoints,SelfOReb,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,SecondChanceCorner3FGA,Corner3PctBlocked,SecondChanceCorner3Frequency,3SecondViolations
101121,1610612761,Joey Graham,Joey Graham,101121,TOR,2341.0,39,3,74,74,31,22,1.0,148,2.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,7.0,2.0,8.0,75,1.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,10.0,10.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,4.0,31,1.0,1.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.5,0.42857142857142855,0.5,0.5,0.6666666666666666,0.14285714285714285,0.5,13.333333333333334,0.6666666666666666,0.19047619047619047,0.3333333333333333,0.24242424242424243,0.16666666666666666,0.25,0.18181818181818182,0.375,0.25,0.42857142857142855,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.5,1.0,1.0,0.2857142857142857,1.0,0.5,0.42857142857142855,0.4683999999999999,0.52235,0.5,8.085714285714285,0.4189189189189189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
101181,1610612761,Jose Calderon,Jose Calderon,101181,TOR,6868.0,114,-2,211,209,62,64,13.0,420,10.0,16.0,2.0,4.0,2.0,2.0,26.0,27.0,44.0,4.0,61.0,225,6.0,10.0,1.0,13.0,,54.0,2.0,8.0,23.0,2.0,54.0,2.0,4.0,,6.0,7.0,4.0,11.0,2.0,8.0,,6.0,5.0,1.0,13.0,62,,1.0,,,0.6136363636363636,0.6,0.5480769230769231,0.5454545454545454,0.5648148148148148,0.5416666666666666,0.045454545454545456,,28.88888888888889,,0.06451612903225806,0.06896551724137931,0.06593406593406594,0.03571428571428571,0.18181818181818182,0.043478260869565216,0.05555555555555555,0.09090909090909091,0.3076923076923077,0.625,0.6666666666666666,0.038461538461538464,1.0,1.0,,0.5,0.36363636363636365,0.5,0.46153846153846156,0.4722711538461538,0.4750818181818182,0.21311475409836064,12.081818181818182,0.2938388625592417,15.0,2.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,15.0,6.0,6.0,9.0,1.0,1.0,5.0,2.0,3.0,7.0,3.0,6.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,0.125,0.125,1.0,1.0,1.0,0.15384615384615385,0.0625,0.038461538461538464,0.6363636363636364,0.015384615384615385,0.011235955056179775,0.027777777777777776,0.5769230769230769,0.6,0.038461538461538464,0.11538461538461539,0.16666666666666666,0.16666666666666666,1.0,0.09090909090909091,0.16666666666666666,0.3434,0.03773584905660377,0.044444444444444446,0.03278688524590164,24.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
1515,1610612761,Anthony Parker,Anthony Parker,1515,TOR,8903.0,148,-21,279,276,86,89,18.0,555,,5.0,,1.0,3.0,5.0,18.0,12.0,28.0,18.0,54.0,305,3.0,6.0,12.0,24.0,12.0,12.0,4.0,,3.0,,6.0,6.0,8.0,1.0,15.0,16.0,3.0,7.0,3.0,7.0,1.0,14.0,23.0,3.0,24.0,86,1.0,3.0,0.5,0.5,0.42857142857142855,0.5,0.45,0.46153846153846156,0.53,0.6,0.14285714285714285,,19.19191919191919,0.1111111111111111,0.09523809523809523,0.15384615384615385,0.11382113821138211,0.08823529411764706,,0.14705882352941177,0.07692307692307693,0.3076923076923077,0.125,,,0.125,0.6,0.6,0.3333333333333333,0.45,0.07692307692307693,,0.425,0.46510256410256406,0.46425000000000005,0.4444444444444444,13.467857142857143,0.30824372759856633,9.0,5.0,1.0,2.0,7.0,4.0,12.0,,2.0,,7.0,9.0,6.0,2.0,3.0,,1.0,1.0,,1.0,6.0,4.0,2.0,4.0,,2.0,,2.0,1.0,1.0,,5.0,0.75,0.3333333333333333,0.36363636363636365,,,,0.3,0.8,,0.5714285714285714,,0.008695652173913044,,0.5,0.5,0.125,0.175,0.2857142857142857,0.2857142857142857,0.5,0.07692307692307693,0.3333333333333333,0.3999,0.14893617021276595,0.15151515151515152,,26.508333333333336,2.0,1.0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.2857142857142857,0.037037037037037035,0.05,1.0,0.5555555555555556,0.4,0.4,1.0,1.0,0.46153846153846156,0.16666666666666666,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
200745,1610612761,Andrea Bargnani,Andrea Bargnani,200745,TOR,10855.0,181,-38,341,338,105,109,24.0,679,4.0,8.0,2.0,2.0,3.0,7.0,14.0,15.0,29.0,15.0,66.0,376,5.0,9.0,6.0,22.0,20.0,10.0,2.0,,6.0,,12.0,9.0,11.0,1.0,21.0,24.0,3.0,7.0,7.0,16.0,2.0,17.0,19.0,3.0,22.0,105,,3.0,0.6666666666666666,0.7142857142857143,0.5172413793103449,0.5555555555555556,0.5543478260869565,0.6153846153846154,0.6,0.6875,0.06896551724137931,,16.939890710382514,0.1,0.11578947368421053,0.1875,0.13986013986013987,0.07692307692307693,0.2222222222222222,0.10526315789473684,0.17142857142857143,0.23076923076923078,0.17391304347826086,0.5,0.6666666666666666,0.15217391304347827,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.30434782608695654,0.15384615384615385,1.0,0.5434782608695652,0.4867163043478262,0.46925769230769226,0.3333333333333333,11.889655172413793,0.30791788856304986,8.0,1.0,1.0,7.0,16.0,7.0,17.0,1.0,1.0,2.0,4.0,18.0,16.0,7.0,6.0,,1.0,3.0,1.0,3.0,5.0,4.0,1.0,4.0,,3.0,,1.0,,1.0,1.0,7.0,0.8571428571428571,0.4117647058823529,0.4117647058823529,1.0,0.3333333333333333,0.3333333333333333,0.3695652173913043,0.25,,0.5714285714285714,0.009174311926605505,0.020833333333333332,0.015873015873015872,0.5714285714285714,0.5714285714285714,0.021739130434782608,0.34782608695652173,0.4375,0.4666666666666667,0.8571428571428571,0.07692307692307693,0.4375,0.593325,0.1346153846153846,0.2,0.030303030303030304,24.7,,,2.0,3.0,2.0,3.0,,2.0,2.0,,1.0,,,,,3.0,,3.0,2.0,,0.5,0.05714285714285714,0.07142857142857142,0.6666666666666666,0.75,,,,,0.23076923076923078,0.6666666666666666,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3.0,0.058823529411764705,0.0625,0.5,0.3333333333333333,1.0,0.6666666666666666,,,,,,,,,,,,,,True,,,,
2050,1610612761,Morris Peterson,Morris Peterson,2050,TOR,8407.0,140,-6,262,260,83,98,22.0,522,3.0,5.0,,,1.0,1.0,9.0,8.0,15.0,5.0,33.0,277,2.0,3.0,4.0,14.0,12.0,4.0,1.0,1.0,1.0,,3.0,7.0,11.0,2.0,20.0,25.0,2.0,3.0,7.0,17.0,,5.0,6.0,2.0,14.0,83,4.0,2.0,0.75,0.8571428571428571,0.5333333333333333,0.6666666666666666,0.6086956521739131,1.0,0.6346153846153846,1.0,0.06666666666666667,,10.175438596491228,0.2857142857142857,0.16666666666666666,0.1794871794871795,0.17142857142857143,0.17857142857142858,0.08333333333333333,0.19230769230769232,0.21428571428571427,0.09090909090909091,0.21739130434782608,0.6,0.75,0.043478260869565216,1.0,1.0,1.0,0.391304347826087,,,0.5652173913043478,0.48363260869565217,0.43567,0.42424242424242425,13.073333333333332,0.31679389312977096,4.0,3.0,2.0,2.0,5.0,4.0,8.0,1.0,2.0,2.0,2.0,12.0,5.0,2.0,,1.0,,,,5.0,2.0,,2.0,1.0,,1.0,,,,,,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.34782608695652173,0.2,,0.3333333333333333,,0.034782608695652174,,0.4444444444444444,0.4444444444444444,0.13043478260869565,0.21739130434782608,0.4,0.4,1.0,0.4,0.4,,0.041666666666666664,0.0625,0.06060606060606061,24.175,2.0,2.0,,,2.0,,,,4.0,1.0,1.0,1.0,1.0,,,2.0,,2.0,1.0,,1.0,0.14285714285714285,0.125,0.5,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,1.0,2.0,,,2.0,,1.0,2.0,,,0.6666666666666666,1.0,0.5,,1.0,0.16666666666666666,0.25,,,,,,,,,,,True,,,,
2413,1610612761,Juan Dixon,Juan Dixon,2413,TOR,2373.0,40,-18,78,78,33,18,4.0,156,,1.0,,1.0,2.0,2.0,3.0,3.0,6.0,,9.0,86,,3.0,,3.0,4.0,2.0,1.0,,2.0,,4.0,1.0,3.0,,4.0,4.0,3.0,4.0,1.0,2.0,1.0,,,,3.0,33,,,0.6666666666666666,0.6666666666666666,0.5,,0.4090909090909091,0.25,0.4090909090909091,0.25,0.16666666666666666,,18.29268292682927,,0.11538461538461539,0.09090909090909091,0.10810810810810811,0.15384615384615385,,0.125,0.1,,0.09090909090909091,,,0.18181818181818182,1.0,1.0,0.5,0.2727272727272727,0.16666666666666666,,0.5454545454545454,0.4427,0.46889166666666665,0.3333333333333333,12.549999999999999,0.4230769230769231,1.0,,,1.0,5.0,1.0,5.0,,1.0,,3.0,3.0,5.0,1.0,2.0,,2.0,,,,6.0,2.0,4.0,1.0,,,,1.0,,2.0,,,1.0,0.2,0.2,,,,0.45454545454545453,1.0,,0.25,,,,0.3333333333333333,0.3333333333333333,,0.45454545454545453,0.2,0.2,1.0,,0.2,,,,,25.560000000000002,,,1.0,3.0,1.0,,,,,,2.0,,,,,,,,,,0.3333333333333333,,,,1.0,,,,,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2547,1610612761,Chris Bosh,Chris Bosh,2547,TOR,7524.0,125,-33,236,235,66,73,22.0,471,8.0,13.0,2.0,3.0,4.0,9.0,22.0,17.0,44.0,14.0,51.0,261,4.0,10.0,6.0,14.0,22.0,12.0,,4.0,9.0,2.0,22.0,5.0,13.0,4.0,22.0,27.0,5.0,7.0,10.0,13.0,2.0,15.0,16.0,2.0,14.0,66,1.0,2.0,0.6470588235294118,0.6470588235294118,0.38636363636363635,0.4,0.39361702127659576,0.36363636363636365,0.4722222222222222,0.5,,,23.552123552123554,0.5714285714285714,0.19117647058823528,0.15151515151515152,0.1782178217821782,0.1,0.3333333333333333,0.23076923076923078,0.2,,0.2765957446808511,0.6153846153846154,0.6153846153846154,0.19148936170212766,0.4444444444444444,0.4444444444444444,0.25,0.46808510638297873,0.2727272727272727,0.6666666666666666,0.3404255319148936,0.43672934782608686,0.39157,0.27450980392156865,11.095454545454546,0.2796610169491525,5.0,,,1.0,3.0,1.0,3.0,,4.0,3.0,1.0,3.0,2.0,1.0,5.0,2.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,2.0,,1.0,,1.0,,1.0,2.0,7.0,1.0,0.3333333333333333,0.5,,,0.25,0.06382978723404255,,,0.2857142857142857,0.05747126436781609,0.04504504504504504,0.0196078431372549,0.22727272727272727,0.22727272727272727,,0.06382978723404255,0.3333333333333333,0.3333333333333333,1.0,,0.5,0.47885,0.1346153846153846,0.14285714285714285,0.058823529411764705,37.300000000000004,,,,1.0,,,1.0,3.0,,1.0,2.0,1.0,1.0,,,10.0,1.0,10.0,6.0,2.0,,,,0.6,0.6,,,,,0.09090909090909091,,,,3.0,,,,,1.0,9.0,,,0.875,0.75,,,,,,3.0,2.0,0.10714285714285714,0.125,0.07407407407407407,,,,,,True,,,,
2743,1610612761,Kris Humphries,Kris Humphries,2743,TOR,1509.0,25,-8,46,44,8,15,2.0,90,1.0,2.0,,1.0,,,1.0,1.0,3.0,2.0,4.0,52,,1.0,,,2.0,,,1.0,1.0,,3.0,1.0,4.0,,5.0,6.0,,,2.0,4.0,,5.0,6.0,,,8,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,12.244897959183673,,0.3076923076923077,0.2,0.2777777777777778,,0.3333333333333333,0.42857142857142855,0.25,,0.6666666666666666,0.5,0.5,,,,,0.3333333333333333,1.0,,0.6666666666666666,0.5847666666666667,0.6044,,4.933333333333334,0.17391304347826086,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,0.08333333333333333,0.05555555555555555,0.1111111111111111,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,True,,,,
1725,1610612761,Rasho Nesterovic,Rasho Nesterovic,1725,TOR,1074.0,18,-35,34,33,2,3,1.0,67,,,,,,1.0,1.0,1.0,2.0,,2.0,58,,,,,2.0,,,,1.0,,2.0,1.0,2.0,,3.0,3.0,,1.0,3.0,3.0,,,,,,2,,,1.0,1.0,0.5,,0.5,,0.5,,,,8.571428571428571,,0.3333333333333333,0.25,0.3,,0.5,0.5,0.3333333333333333,,,,,0.5,,,,0.5,,,,0.46675,,,11.850000000000001,0.058823529411764705,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
2551,1610612761,T.J. Ford,T.J. Ford,2551,TOR,3926.0,65,-37,127,126,38,38,11.0,253,3.0,10.0,2.0,4.0,5.0,6.0,19.0,15.0,35.0,12.0,48.0,148,8.0,14.0,5.0,24.0,6.0,24.0,1.0,2.0,11.0,,24.0,1.0,1.0,,2.0,5.0,4.0,9.0,,2.0,1.0,10.0,15.0,2.0,24.0,38,,2.0,0.2,0.21428571428571427,0.42857142857142855,0.5714285714285714,0.46153846153846156,0.6333333333333333,0.5217391304347826,0.6666666666666666,0.02857142857142857,,39.85507246376812,,0.03225806451612903,0.05555555555555555,0.04081632653061224,,,0.06666666666666667,0.0625,,0.2564102564102564,0.3,0.3333333333333333,0.15384615384615385,0.8333333333333334,0.8333333333333334,0.4,0.48717948717948717,0.26666666666666666,0.5,0.358974358974359,0.4762435897435897,0.46259666666666666,0.5,11.837142857142858,0.2992125984251969,7.0,1.0,,1.0,3.0,2.0,4.0,1.0,3.0,5.0,1.0,6.0,3.0,1.0,9.0,2.0,1.0,6.0,3.0,3.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,6.0,1.0,0.5,0.5,0.3333333333333333,0.5,0.5,0.10256410256410256,0.1,,0.5555555555555556,0.06666666666666667,0.05454545454545454,0.03571428571428571,0.3684210526315789,0.3684210526315789,0.02564102564102564,0.07692307692307693,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,0.5285375,0.13636363636363635,0.15,0.10416666666666667,24.35,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,,,2.0,,2.0,,,1.0,,,,0.14285714285714285,1.0,1.0,1.0,,0.06666666666666667,1.0,,,1.0,2.0,2.0,2.0,,,2.0,,,,0.2,,0.4,,,,,1.0,0.09090909090909091,0.16666666666666666,0.047619047619047616,1.0,1.0,0.5,0.5,1.0,True,,,,
