EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LongMidRangeAssists,FTOffRebounds,LostBallTurnovers,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedLongMidRange,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffFTReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,Clear Path Fouls
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,19378.0,323,70.0,593,587,143,143,61.0,1180,35.0,50.0,4.0,11.0,10.0,11.0,5.0,11.0,1.0,1.0,40.0,62.0,1.0,11.0,91.0,602,5.0,12.0,2.0,12.0,11.0,12.0,5.0,27.0,66.0,14.0,4.0,1.0,7.0,4.0,4.0,8.0,1.0,3.0,3.0,1.0,20.0,9.0,22.0,3.0,30.0,7.0,40.0,31.0,71.0,1.0,5.0,4.0,1.0,2.0,2.0,7.0,1.0,9.0,1.0,1.0,16.0,35.0,6.0,3.0,24.0,3.0,9.0,17.0,3.0,8.0,2.0,3.0,2.0,1.0,3.0,2.0,27.0,143,4.0,2.0,0.825,0.868421052631579,0.6451612903225806,0.4166666666666667,0.9166666666666666,0.6349206349206349,0.4166666666666667,0.9166666666666666,0.65,0.46153846153846156,0.9,0.015873015873015872,0.11290322580645161,0.1,0.18181818181818182,11.8796992481203,0.2222222222222222,0.35,0.12931034482758622,0.1134020618556701,0.05357142857142857,0.13846153846153847,0.11458333333333333,0.11969111969111969,0.11475409836065574,0.12698412698412698,0.1,0.15,0.12,0.10975609756097561,0.18032786885245902,0.11235955056179775,0.075,0.06666666666666667,0.7936507936507936,0.7,0.7777777777777778,0.8857142857142857,0.1746031746031746,0.45454545454545453,0.5555555555555556,0.4,0.015873015873015872,0.015873015873015872,0.9166666666666666,0.36363636363636365,0.5,0.9166666666666666,0.9090909090909091,0.8095238095238095,0.5894935483870968,0.5924454545454546,0.59385,0.11764705882352941,0.11940298507462686,0.13186813186813187,0.2967032967032967,2.395161290322581,58.8,0.2411467116357504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
109,1610612759,Robert Horry,Robert Horry,109,SAS,15289.0,255,22.0,489,469,176,177,48.0,958,5.0,6.0,3.0,3.0,1.0,1.0,,2.0,7.0,14.0,8.0,15.0,22.0,12.0,52.0,482,3.0,3.0,2.0,8.0,3.0,5.0,7.0,28.0,12.0,4.0,4.0,,1.0,13.0,7.0,20.0,3.0,4.0,7.0,1.0,47.0,,6.0,7.0,28.0,2.0,37.0,8.0,45.0,,7.0,2.0,5.0,7.0,5.0,1.0,,8.0,3.0,1.0,13.0,23.0,2.0,,12.0,2.0,1.0,14.0,,3.0,4.0,18.0,12.0,5.0,19.0,,28.0,176,2.0,4.0,0.75,1.0,0.5333333333333333,1.0,0.6,0.5405405405405406,0.5,0.7,0.5909090909090909,0.5714285714285714,0.7368421052631579,0.5945945945945946,0.06666666666666667,0.16666666666666666,,9.541284403669724,0.875,0.14285714285714285,0.15384615384615385,0.039735099337748346,0.1794871794871795,,0.1583710407239819,0.02843601895734597,0.04081632653061224,0.061224489795918366,0.018867924528301886,,,0.18666666666666668,0.061224489795918366,0.1896551724137931,0.25,,0.16216216216216217,0.8333333333333334,1.0,0.6,0.05405405405405406,,,,0.1891891891891892,0.3783783783783784,0.5,1.0,0.3333333333333333,0.06666666666666667,1.0,0.7567567567567568,0.5147067567567566,0.6140399999999999,0.4782533333333333,0.075,0.16666666666666666,0.15384615384615385,0.5384615384615384,9.360000000000001,24.245454545454546,0.35991820040899797,3.0,4.0,8.0,2.0,4.0,5.0,4.0,1.0,1.0,5.0,8.0,3.0,5.0,10.0,24.0,14.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.36363636363636365,0.5,0.36363636363636365,0.14285714285714285,0.06666666666666667,0.3684210526315789,0.42857142857142855,0.42857142857142855,1.0,0.21621621621621623,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,1.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.8,0.3333333333333333,0.2,0.2857142857142857,,,,,,,,,,,,,,,,,,,,True,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,34812.0,580,38.0,1063,1065,250,245,117.0,2128,5.0,7.0,,,1.0,1.0,2.0,7.0,20.0,4.0,12.0,34.0,61.0,2.0,107.0,1098,,2.0,,9.0,3.0,5.0,2.0,23.0,14.0,10.0,,1.0,2.0,17.0,6.0,23.0,3.0,3.0,5.0,5.0,52.0,2.0,3.0,8.0,35.0,13.0,56.0,6.0,62.0,2.0,24.0,15.0,9.0,4.0,2.0,8.0,2.0,12.0,2.0,2.0,13.0,48.0,2.0,1.0,14.0,3.0,9.0,2.0,,,1.0,3.0,1.0,2.0,3.0,,23.0,250,8.0,1.0,0.5833333333333334,0.5833333333333334,0.35294117647058826,,0.6,0.5526315789473685,0.5,0.5833333333333334,0.5572916666666666,0.5,0.6052631578947368,0.6421052631578947,0.058823529411764705,0.14285714285714285,0.14285714285714285,9.0,0.3333333333333333,0.37142857142857144,0.08333333333333333,0.008522727272727272,0.07407407407407407,0.01694915254237288,0.08143939393939394,0.010638297872340425,,0.00819672131147541,0.015503875968992248,0.014492753623188406,0.02040816326530612,0.042682926829268296,0.12612612612612611,0.09655172413793103,0.07894736842105263,0.03773584905660377,0.07368421052631578,0.7142857142857143,0.8333333333333334,0.6,0.07368421052631578,0.2857142857142857,0.3333333333333333,0.5,0.21052631578947367,0.042105263157894736,,,,0.05555555555555555,1.0,0.7157894736842105,0.5215760638297872,0.5306249999999999,0.5200588235294117,,,0.08411214953271028,0.21495327102803738,12.25294117647059,23.81475409836065,0.23518344308560676,5.0,27.0,57.0,6.0,5.0,12.0,,1.0,,1.0,27.0,7.0,5.0,13.0,78.0,3.0,,7.0,1.0,2.0,4.0,,,,1.0,,,0.9629629629629629,0.4426229508196721,0.38461538461538464,0.45,0.02127659574468085,0.0625,0.3333333333333333,0.25,0.25,0.6,0.6,0.47368421052631576,0.47368421052631576,0.9629629629629629,,,,0.6666666666666666,0.1111111111111111,0.6666666666666666,0.4166666666666667,0.05555555555555555,,,3.0,3.0,3.0,0.42857142857142855,0.5,1.0,,,,,,,,,,,,,,True,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,26576.0,443,79.0,870,841,314,311,89.0,1711,24.0,40.0,3.0,4.0,7.0,15.0,11.0,32.0,25.0,50.0,44.0,97.0,64.0,68.0,234.0,892,6.0,9.0,6.0,24.0,14.0,34.0,46.0,92.0,30.0,58.0,2.0,,10.0,43.0,13.0,56.0,4.0,9.0,29.0,6.0,125.0,4.0,8.0,13.0,45.0,2.0,60.0,12.0,72.0,3.0,24.0,15.0,9.0,20.0,13.0,11.0,1.0,31.0,2.0,12.0,22.0,48.0,1.0,2.0,61.0,1.0,7.0,84.0,2.0,15.0,22.0,2.0,,1.0,3.0,,92.0,314,6.0,21.0,0.3409090909090909,0.3488372093023256,0.4536082474226804,0.6666666666666666,0.4117647058823529,0.515527950310559,0.6428571428571429,0.4339622641509434,0.5808080808080808,0.6666666666666666,0.5555555555555556,0.39751552795031053,0.10309278350515463,0.125,0.125,23.559670781893004,0.6451612903225806,0.08,0.15517241379310345,0.031007751937984496,0.1625,0.038461538461538464,0.15675675675675677,0.03314917127071823,0.034482758620689655,0.023809523809523808,0.034482758620689655,0.01639344262295082,0.06976744186046512,0.13043478260869565,0.14492753623188406,0.18867924528301888,0.15517241379310345,0.0379746835443038,0.2484472049689441,0.6,0.6857142857142857,0.2916666666666667,0.19875776397515527,0.34375,0.39285714285714285,0.36363636363636365,0.15527950310559005,0.3105590062111801,0.2857142857142857,0.75,0.3333333333333333,0.2830188679245283,0.4666666666666667,0.6459627329192547,0.5015813664596273,0.5246,0.49474905660377355,0.10795454545454546,0.13636363636363635,0.10256410256410256,0.39316239316239315,7.525773195876289,24.5078125,0.36091954022988504,9.0,5.0,14.0,,2.0,5.0,21.0,5.0,4.0,14.0,26.0,5.0,6.0,19.0,66.0,50.0,21.0,8.0,,7.0,,1.0,1.0,1.0,2.0,,,0.8461538461538461,0.40625,0.3157894736842105,0.40625,,0.18181818181818182,0.6666666666666666,0.36,0.375,0.4444444444444444,0.08695652173913043,0.35714285714285715,0.35714285714285715,1.0,0.42,0.42,0.8095238095238095,,0.35714285714285715,0.09433962264150944,0.4,0.2641509433962264,0.2857142857142857,0.42,,2.0,12.0,0.4,,,2.0,5.0,3.0,2.0,4.0,4.0,0.04,0.4,1.0,0.06060606060606061,,,,True,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,45037.0,751,84.0,1409,1390,372,356,152.0,2799,85.0,149.0,9.0,14.0,26.0,47.0,23.0,52.0,128.0,16.0,161.0,329.0,21.0,72.0,415.0,1449,16.0,27.0,3.0,35.0,42.0,85.0,21.0,117.0,84.0,238.0,10.0,1.0,26.0,62.0,53.0,115.0,23.0,30.0,41.0,6.0,283.0,6.0,6.0,11.0,42.0,,53.0,14.0,67.0,2.0,22.0,19.0,3.0,29.0,16.0,37.0,6.0,66.0,5.0,15.0,12.0,34.0,2.0,9.0,85.0,,1.0,106.0,16.0,56.0,5.0,,,,,,117.0,372,5.0,4.0,0.2608695652173913,0.2692307692307692,0.48936170212765956,0.5925925925925926,0.49411764705882355,0.49,0.5517241379310345,0.5052631578947369,0.5253164556962026,0.5833333333333334,0.5416666666666666,0.06,0.0790273556231003,0.14093959731543623,0.07692307692307693,29.066834804539724,0.4393939393939394,,0.07706422018348624,0.013015184381778741,0.0859375,0.0379746835443038,0.0787518573551263,0.01938610662358643,0.02857142857142857,0.006369426751592357,0.006097560975609756,0.03225806451612903,0.046153846153846156,0.0673076923076923,0.04794520547945205,0.1099476439790576,0.06666666666666667,0.013157894736842105,0.4257142857142857,0.5704697986577181,0.6640625,0.2,0.14857142857142858,0.4423076923076923,0.4791666666666667,0.13043478260869565,0.3657142857142857,0.045714285714285714,0.4827586206896552,0.6428571428571429,0.1111111111111111,0.49473684210526314,0.5531914893617021,0.4857142857142857,0.4939796561604585,0.531505,0.4870574468085108,0.14358974358974358,0.15176151761517614,0.08433734939759036,0.2819277108433735,9.01094224924012,26.390476190476186,0.2640170333569908,53.0,3.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,9.0,7.0,2.0,4.0,10.0,21.0,15.0,4.0,15.0,2.0,13.0,2.0,,,,,,,1.0,0.3333333333333333,0.4,0.35,0.038461538461538464,0.13157894736842105,,0.4140625,0.41732283464566927,0.41509433962264153,0.014285714285714285,0.6,0.6,1.0,0.25,0.2857142857142857,1.0,0.034482758620689655,0.034482758620689655,0.010526315789473684,1.0,0.09473684210526316,0.3333333333333333,0.26666666666666666,,,,,,,,17.0,2.0,,,,0.0078125,,,,2.0,0.09523809523809523,0.125,True,
699,1610612759,Brent Barry,Brent Barry,699,SAS,8238.0,137,23.0,263,256,70,72,23.0,519,2.0,3.0,,,,,,,3.0,13.0,3.0,6.0,26.0,,39.0,270,,,,3.0,,,,12.0,6.0,,,,,9.0,5.0,14.0,2.0,3.0,7.0,,33.0,,3.0,4.0,7.0,1.0,12.0,3.0,15.0,,2.0,1.0,1.0,3.0,3.0,3.0,,6.0,,,7.0,10.0,,2.0,5.0,1.0,2.0,,,,,2.0,1.0,,2.0,,12.0,70,,,1.0,1.0,0.5,,,0.609375,1.5,1.0,0.609375,1.5,1.0,0.8125,,,,13.013698630136986,0.5,0.14285714285714285,0.06796116504854369,0.03571428571428571,0.17391304347826086,,0.0873015873015873,0.025210084033613446,0.027777777777777776,0.05263157894736842,0.034482758620689655,,,0.07317073170731707,0.037037037037037035,0.08571428571428572,0.17647058823529413,,0.09375,0.6666666666666666,0.6666666666666666,1.0,,,,,0.09375,0.40625,,,,,,0.90625,0.5566625,0.59175,0.57145,,,0.07692307692307693,0.3076923076923077,8.183333333333332,24.146153846153844,0.2661596958174905,1.0,6.0,13.0,1.0,3.0,5.0,5.0,,1.0,1.0,11.0,1.0,4.0,6.0,33.0,13.0,5.0,2.0,,,,,,1.0,1.0,,,1.0,0.4230769230769231,0.6666666666666666,0.4230769230769231,,0.16666666666666666,0.5,0.3333333333333333,0.3333333333333333,1.0,0.40625,0.46153846153846156,0.46153846153846156,1.0,0.38461538461538464,0.38461538461538464,1.0,1.0,,0.8333333333333334,0.6,0.16666666666666666,1.0,0.38461538461538464,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,True,
714,1610612759,Michael Finley,Michael Finley,714,SAS,27240.0,454,54.0,852,843,198,167,99.0,1695,6.0,8.0,2.0,4.0,1.0,1.0,5.0,16.0,41.0,55.0,26.0,65.0,85.0,32.0,189.0,884,3.0,9.0,2.0,14.0,1.0,8.0,23.0,58.0,28.0,24.0,2.0,,2.0,13.0,4.0,17.0,1.0,3.0,4.0,4.0,38.0,4.0,4.0,8.0,34.0,1.0,43.0,8.0,51.0,5.0,9.0,6.0,3.0,3.0,1.0,8.0,1.0,11.0,,1.0,18.0,23.0,2.0,1.0,18.0,1.0,1.0,35.0,,2.0,12.0,4.0,3.0,,4.0,1.0,58.0,198,,11.0,0.5384615384615384,0.56,0.4,0.3333333333333333,0.125,0.5233333333333333,0.375,0.6481481481481481,0.551829268292683,0.4117647058823529,0.7051282051282052,0.5666666666666667,0.03076923076923077,0.125,0.0625,17.993795243019648,0.2727272727272727,0.03571428571428571,0.09912536443148688,0.013468013468013467,0.10666666666666667,0.0425531914893617,0.10047846889952153,0.020460358056265986,0.024390243902439025,0.018518518518518517,,0.017241379310344827,0.08333333333333333,0.0859375,0.0707070707070707,0.13793103448275862,0.09433962264150944,0.058823529411764705,0.05333333333333334,0.75,0.8571428571428571,0.6666666666666666,0.10666666666666667,0.3125,0.3333333333333333,0.2,0.2733333333333333,0.36666666666666664,0.25,0.5,,0.037037037037037035,1.0,0.62,0.5019839999999999,0.5338846153846154,0.4775,0.013157894736842105,0.029850746268656716,0.07407407407407407,0.30687830687830686,13.680000000000001,24.33176470588235,0.2323943661971831,15.0,17.0,30.0,,9.0,11.0,18.0,7.0,2.0,8.0,35.0,7.0,11.0,19.0,102.0,55.0,18.0,5.0,,2.0,1.0,,,1.0,1.0,,,0.9714285714285714,0.4117647058823529,0.5789473684210527,0.4117647058823529,,0.13636363636363635,0.25,0.36585365853658536,0.36585365853658536,0.6,0.2,0.5666666666666667,0.5666666666666667,1.0,0.32727272727272727,0.32727272727272727,0.9444444444444444,,0.4375,0.4074074074074074,0.8181818181818182,0.2962962962962963,0.25,0.32727272727272727,,2.0,3.0,0.2857142857142857,,,2.0,1.0,3.0,,8.0,,,0.2857142857142857,1.0,,,,,True,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,37538.0,626,81.0,1169,1150,270,253,132.0,2319,77.0,111.0,22.0,32.0,19.0,26.0,53.0,136.0,32.0,,143.0,279.0,,77.0,363.0,1196,27.0,48.0,8.0,62.0,30.0,61.0,19.0,79.0,132.0,154.0,26.0,,26.0,38.0,16.0,54.0,10.0,6.0,26.0,4.0,124.0,12.0,30.0,26.0,101.0,8.0,135.0,51.0,186.0,6.0,10.0,7.0,3.0,26.0,5.0,26.0,6.0,52.0,2.0,5.0,35.0,51.0,4.0,9.0,97.0,4.0,2.0,117.0,7.0,55.0,7.0,55.0,47.0,8.0,55.0,5.0,79.0,270,3.0,7.0,0.46153846153846156,0.5076923076923077,0.5125448028673835,0.5625,0.4918032786885246,0.5125448028673835,0.5625,0.4918032786885246,0.5434131736526946,0.5740740740740741,0.5337837837837838,,0.0931899641577061,0.0990990990990991,0.11029411764705882,29.198184568835096,0.5,0.21052631578947367,0.2135306553911205,0.07575757575757576,0.2524271844660194,0.10084033613445378,0.2204861111111111,0.08155339805825243,0.12931034482758622,0.0821917808219178,0.022388059701492536,0.08955223880597014,0.11538461538461539,0.22777777777777777,0.25190839694656486,0.16666666666666666,0.2777777777777778,0.05504587155963303,0.3978494623655914,0.6936936936936937,0.77,0.6103896103896104,0.4874551971326165,0.3897058823529412,0.4380165289256198,0.2830188679245283,0.11469534050179211,,0.6666666666666666,0.6875,0.2727272727272727,0.4262295081967213,0.7307692307692307,0.3978494623655914,0.4707749103942654,0.5155051282051283,0.472949180327869,0.16819571865443425,0.16819571865443425,0.17079889807162535,0.21763085399449036,6.449462365591399,,0.2309666381522669,13.0,,,,,,,,,,,,,,,,,8.0,9.0,21.0,,,,,35.0,,5.0,,,,,0.18,0.1935483870967742,0.6363636363636364,0.40625,0.40625,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,True,
1922,1610612759,Francisco Elson,Francisco Elson,1922,SAS,10343.0,172,-11.0,311,320,50,48,37.0,631,12.0,17.0,4.0,8.0,3.0,3.0,1.0,3.0,11.0,,18.0,31.0,,7.0,43.0,335,4.0,9.0,,8.0,4.0,4.0,2.0,10.0,28.0,8.0,6.0,,,1.0,,1.0,,,,,2.0,4.0,12.0,3.0,23.0,4.0,30.0,16.0,46.0,2.0,7.0,4.0,3.0,4.0,3.0,9.0,1.0,13.0,2.0,2.0,16.0,30.0,2.0,5.0,9.0,,2.0,11.0,1.0,5.0,1.0,4.0,3.0,1.0,5.0,,10.0,50,,1.0,0.7777777777777778,0.9333333333333333,0.5806451612903226,0.4444444444444444,1.0,0.5806451612903226,0.4444444444444444,1.0,0.5972222222222222,0.4444444444444444,1.0,,,,,13.841807909604519,0.3076923076923077,0.4444444444444444,0.17557251908396945,0.11650485436893204,0.11538461538461539,0.11764705882352941,0.16560509554140126,0.11678832116788321,0.1111111111111111,0.11764705882352941,0.11904761904761904,0.09523809523809523,0.15384615384615385,0.06818181818181818,0.2857142857142857,0.19230769230769232,0.1111111111111111,0.15384615384615385,0.5483870967741935,0.7058823529411765,0.7058823529411765,0.6666666666666666,0.0967741935483871,0.3333333333333333,0.3333333333333333,1.0,0.3548387096774194,,0.8888888888888888,0.5,0.25,0.75,1.0,0.5483870967741935,0.5461419354838709,0.6170142857142856,0.52235,0.14285714285714285,0.14285714285714285,0.18604651162790697,0.23255813953488372,7.361290322580645,,0.1607717041800643,5.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,1.0,,2.0,2.0,1.0,,,,,,0.125,0.4,0.45454545454545453,0.45454545454545453,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,True,
1521,1610612759,Jacque Vaughn,Jacque Vaughn,1521,SAS,292.0,5,-14.0,11,15,5,5,,26,,,,,,,,,1.0,,,1.0,,,,20,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,9.090909090909092,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.4126,,0.4126,,,,,18.3,,0.45454545454545453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
