EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFtPoints,PenaltyFG3A,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,Corner3FGM,Corner3FGA,PtsAssisted3s,Arc3Assists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,BlockedLongMidRange,Assisted3sPct,OffLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,OffThreePtRebounds,FTOffRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockedShortMidRange,3SecondViolations,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,OffFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Loose Ball Fouls Drawn,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,on,OffCorner3ReboundPct,PenaltyArc3FGM,PenaltyFG3M,Fg3aBlocked,Travels,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,PenaltyArc3Accuracy,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Technical Free Throw Trips,DefensiveGoaltends,Defensive 3 Seconds Violations
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,575.0,10,-3.0,21,21,11,13,4,42,1.0,3.0,1.0,3.0,1.0,3.0,24,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,11,2.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,1.0,0.5,0.3,1.0,0.375,20.833333333333336,0.25,0.14285714285714285,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3917,0.3891,0.37995,0.6666666666666666,1.0,9.066666666666666,0.5238095238095238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,6756.0,113,-32.0,220,220,48,50,29,440,3.0,12.0,18.0,39.0,8.0,47.0,261,6.0,12.0,13.0,4.0,8.0,,8.0,10.0,17.0,23.0,35.0,4.0,9.0,13.0,17.0,,8.0,48,,0.2777777777777778,0.38461538461538464,0.46153846153846156,0.5,0.5,0.45348837209302323,0.5,0.4444444444444444,0.47,0.5,0.4444444444444444,21.400778210116734,0.26153846153846155,0.2222222222222222,0.17647058823529413,0.27906976744186046,0.25,0.2727272727272727,0.3333333333333333,0.4951767441860465,0.5391583333333333,0.5034777777777778,0.2765957446808511,0.1702127659574468,5.597435897435898,0.21818181818181817,12.0,21.0,6.0,10.0,2.0,5.0,3.0,6.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,26.0,3.0,10.0,4.0,1.0,3.0,4.0,1.0,5.0,1.0,2.0,2.0,11.0,12.0,5.0,1.0,12.0,4.0,3.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,0.25,0.25,0.09302325581395349,0.07692307692307693,0.09523809523809523,0.08333333333333333,0.6,0.3333333333333333,0.14285714285714285,0.14705882352941177,0.11320754716981132,0.2,0.19444444444444445,0.29411764705882354,0.2903225806451613,0.14285714285714285,0.15384615384615385,0.19047619047619047,0.4883720930232558,0.5714285714285714,0.631578947368421,0.25,0.13953488372093023,0.5,0.5,0.3333333333333333,0.09302325581395349,0.25,0.25,0.8333333333333334,0.6,0.5555555555555556,0.4,0.1111111111111111,0.5813953488372093,0.25,0.2,0.21739130434782608,25.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,5829.0,97,-24.0,189,189,26,26,22,378,2.0,4.0,9.0,15.0,6.0,30.0,230,,1.0,,2.0,2.0,3.0,7.0,2.0,6.0,12.0,13.0,2.0,9.0,6.0,7.0,1.0,7.0,26,1.0,0.1111111111111111,0.1111111111111111,0.6,,1.0,0.5217391304347826,,1.0,0.5769230769230769,,0.875,13.824884792626728,0.10909090909090909,0.14634146341463414,0.15384615384615385,0.17391304347826086,0.5,0.5,,0.5014108695652174,0.3637,0.667,,0.23333333333333334,7.8933333333333335,0.13756613756613756,5.0,6.0,,,2.0,2.0,2.0,5.0,,6.0,,2.0,8.0,,,16.0,,,6.0,,,4.0,3.0,7.0,1.0,2.0,1.0,17.0,1.0,6.0,,1.0,,1.0,1.0,3.0,,,4.0,1.0,,2.0,1.0,3.0,1.0,,1.0,0.25,0.25,0.34782608695652173,,,,0.25,,0.013333333333333334,0.2222222222222222,0.01098901098901099,,,,0.14285714285714285,0.25,0.14285714285714285,,0.2608695652173913,0.8333333333333334,0.8333333333333334,,0.21739130434782608,0.4,0.4,0.5,0.2608695652173913,,,,,1.0,1.0,,0.6086956521739131,,0.12,0.17647058823529413,25.025,2.0,2.0,6.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.05,0.08695652173913043,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,7655.0,128,-32.0,253,253,53,67,34,506,2.0,10.0,9.0,24.0,3.0,36.0,297,2.0,3.0,7.0,1.0,5.0,2.0,4.0,6.0,7.0,12.0,21.0,6.0,13.0,5.0,4.0,1.0,4.0,53,1.0,0.3333333333333333,0.42857142857142855,0.375,0.6666666666666666,0.2,0.4583333333333333,0.875,0.125,0.47368421052631576,0.875,0.2222222222222222,18.027210884353742,0.09859154929577464,0.0990990990990991,0.15789473684210525,0.2777777777777778,0.2,0.25,0.5,0.5182599999999999,0.598025,0.47602857142857147,0.19444444444444445,0.1111111111111111,5.3999999999999995,0.20948616600790515,6.0,12.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,9.0,2.0,5.0,12.0,,3.0,12.0,,4.0,8.0,3.0,4.0,12.0,1.0,13.0,1.0,7.0,2.0,27.0,4.0,4.0,1.0,9.0,2.0,11.0,10.0,4.0,1.0,2.0,15.0,2.0,4.0,,,1.0,1.0,,1.0,0.4166666666666667,0.45454545454545453,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.2,0.7333333333333333,0.16666666666666666,0.042105263157894736,0.1,0.041666666666666664,0.06666666666666667,0.025,0.15,0.03125,0.041666666666666664,0.1875,0.11764705882352941,0.3333333333333333,0.5,0.6,0.3333333333333333,0.05555555555555555,0.5,0.5,,0.25,0.3333333333333333,0.3333333333333333,0.5,0.5,0.25,0.5,0.25,0.6666666666666666,0.375,0.02702702702702703,0.04,26.416666666666668,2.0,3.0,15.0,,3.0,7.0,5.0,2.0,,1.0,,1.0,0.04,0.08333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,0.5,0.04,0.041666666666666664,1.0,0.25,1.0,1.0,0.125,,,,,,,True,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,7466.0,124,-22.0,247,248,53,64,32,495,10.0,18.0,31.0,60.0,17.0,97.0,287,1.0,5.0,4.0,6.0,12.0,9.0,21.0,12.0,6.0,11.0,12.0,2.0,4.0,15.0,19.0,2.0,21.0,53,2.0,0.1935483870967742,0.1935483870967742,0.5166666666666667,0.2,0.5,0.5405405405405406,0.2,0.42857142857142855,0.5987654320987654,0.3333333333333333,0.5526315789473685,30.87719298245614,0.08695652173913043,0.10185185185185185,,0.24324324324324326,0.5555555555555556,0.5882352941176471,0.3,0.45373175675675675,0.40574999999999994,0.42385357142857144,0.041237113402061855,0.21649484536082475,11.055,0.2145748987854251,9.0,16.0,,,2.0,4.0,12.0,26.0,6.0,14.0,2.0,6.0,14.0,2.0,2.0,50.0,18.0,,14.0,6.0,3.0,6.0,1.0,7.0,,3.0,2.0,15.0,1.0,5.0,,1.0,,6.0,2.0,1.0,4.0,,7.0,1.0,,1.0,4.0,8.0,,,,0.42857142857142855,0.42857142857142855,0.1891891891891892,0.05,0.125,0.05555555555555555,0.8571428571428571,,0.010869565217391304,0.1282051282051282,0.008771929824561403,,0.02564102564102564,0.1,0.125,0.16666666666666666,0.06666666666666667,,0.21621621621621623,0.5625,0.6428571428571429,0.1111111111111111,0.35135135135135137,0.46153846153846156,0.46153846153846156,0.16666666666666666,0.1891891891891892,0.42857142857142855,0.42857142857142855,,,0.2857142857142857,0.5,0.14285714285714285,0.40540540540540543,0.42857142857142855,0.11392405063291139,0.125,26.564285714285717,,,,1.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.06666666666666667,,,,,True,,,,,,,,,,,,,,
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,1155.0,19,-5.0,40,39,17,30,9,79,,,1.0,2.0,4.0,6.0,38,,,,,,4.0,4.0,2.0,,,1.0,1.0,2.0,3.0,4.0,2.0,4.0,17,2.0,1.0,1.0,0.5,,,0.25,,,0.5,,1.0,16.0,,,,,,,,0.44049999999999995,,,,0.6666666666666666,17.45,0.425,,,,,,,1.0,2.0,,2.0,,,2.0,,,,,,2.0,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,0.5,,,,0.5,,0.07692307692307693,,0.05263157894736842,,,,,,,0.3333333333333333,,,,,0.5,0.5,0.5,1.0,0.5,,,,,,,,0.5,,,,26.049999999999997,,,,,,1.0,1.0,,,1.0,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,
2230,1610612747,Maurice Evans,Maurice Evans,2230,LAL,430.0,7,-6.0,18,18,5,10,4,36,,,,1.0,,,20,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,5,,,,,,,,,,,,,4.761904761904762,,,,,,,,0.6037,,,,,,0.2777777777777778,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
101142,1610612747,Ronny Turiaf,Ronny Turiaf,101142,LAL,1345.0,22,-10.0,42,45,11,16,5,87,2.0,5.0,3.0,10.0,4.0,10.0,57,1.0,3.0,2.0,1.0,5.0,2.0,4.0,,,1.0,4.0,,2.0,5.0,4.0,1.0,4.0,11,1.0,,,0.3,0.3333333333333333,0.2,0.3,0.3333333333333333,0.2,0.4166666666666667,0.3333333333333333,0.3333333333333333,26.53061224489796,,,,0.5,0.4,0.4,,0.43416999999999994,0.58885,0.49058,0.2,0.4,8.129999999999999,0.2619047619047619,1.0,3.0,1.0,2.0,1.0,3.0,,2.0,,,,,,,,6.0,,2.0,,,,1.0,,1.0,,,,2.0,2.0,,1.0,3.0,1.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,0.125,,0.14285714285714285,0.2,0.125,,,,,0.14285714285714285,0.3,0.3333333333333333,0.3333333333333333,,0.2,,,,,,,0.6666666666666666,0.5,0.6,0.3333333333333333,,0.3,,0.09090909090909091,0.09090909090909091,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,0.2,0.2,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,
1742,1610612747,Shammond Williams,Shammond Williams,1742,LAL,610.0,10,-7.0,21,21,10,13,5,42,,,,,,,26,,,,,,,,,,,,,1.0,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47619047619047616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2567,1610612747,Brian Cook,Brian Cook,2567,LAL,492.0,8,6.0,16,15,1,7,1,31,,,1.0,2.0,1.0,3.0,16,,,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1,,1.0,1.0,0.5,,,0.3333333333333333,,,0.5,,,17.64705882352941,,0.125,,,,,,0.4559333333333333,,,,,18.8,0.0625,,,,,,,1.0,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,0.3333333333333333,,,,,,,0.25,,,,,,0.5,,,,,,,0.6666666666666666,0.5,0.5,1.0,0.3333333333333333,,,,,,,,0.3333333333333333,,0.3333333333333333,0.5,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
