EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFG3A,PenaltyFG3A,NonHeaveArc3FGA,AtRimAssists,LongMidRangeAssists,SelfOReb,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,FG3APct,LiveBallTurnoverPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,SecondChanceFtPoints,PenaltyFtPoints,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,BadPassSteals,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,Arc3Assists,3SecondViolations,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,ShortMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy,on,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,4504.0,75.0,-24.0,131,130,23.0,12,18,261,4.0,5.0,2.0,3.0,1.0,4.0,2.0,8.0,7.0,17.0,14.0,155,4.0,5.0,8.0,1.0,3.0,2.0,8.0,6.0,6.0,1.0,2.0,1.0,7.0,2.0,10.0,3.0,13.0,9.0,11.0,1.0,2.0,1.0,2.0,23.0,1.0,0.5714285714285714,1.0,0.4117647058823529,0.8,0.3333333333333333,0.4117647058823529,0.8,0.3333333333333333,0.4117647058823529,0.8,0.3333333333333333,11.258278145695364,0.4,0.13725490196078433,0.0392156862745098,0.2,0.1,0.14285714285714285,0.04918032786885246,0.05263157894736842,0.058823529411764705,0.14285714285714285,0.125,0.09523809523809523,0.18181818181818182,0.25,0.29411764705882354,0.8,0.8,0.5,0.23529411764705882,0.25,0.25,0.47058823529411764,0.25,0.25,1.0,0.6,0.6666666666666666,0.29411764705882354,0.4532235294117647,0.45695,0.3974333333333333,0.5714285714285714,0.14285714285714285,10.200000000000001,0.17557251908396945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,854.0,14.0,-3.0,27,25,9.0,11,5,52,1.0,1.0,,,,,2.0,5.0,3.0,6.0,6.0,32,,,,1.0,2.0,2.0,,6.0,,,,,1.0,,1.0,,1.0,1.0,3.0,,1.0,,2.0,9.0,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,19.35483870967742,,0.1,,,,0.09090909090909091,,,,,0.3333333333333333,,,,0.16666666666666666,1.0,1.0,,,,,0.8333333333333334,0.4,0.4,,,,0.16666666666666666,0.4205166666666667,,0.494,,0.3333333333333333,15.316666666666668,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,7065.0,118.0,-39.0,211,212,70.0,70,27,423,7.0,9.0,1.0,1.0,3.0,7.0,8.0,13.0,18.0,29.0,37.0,258,2.0,2.0,4.0,6.0,9.0,12.0,12.0,24.0,2.0,,2.0,1.0,7.0,1.0,9.0,2.0,11.0,3.0,8.0,,1.0,,12.0,70.0,4.0,0.3333333333333333,0.35294117647058826,0.6206896551724138,1.0,0.6666666666666666,0.5142857142857142,0.6666666666666666,0.5454545454545454,0.5138888888888888,0.6666666666666666,0.5454545454545454,18.10699588477366,0.08333333333333333,0.0945945945945946,0.025974025974025976,0.07692307692307693,,0.09195402298850575,0.021739130434782608,,0.038461538461538464,,,0.08,0.13157894736842105,0.08333333333333333,0.2571428571428571,0.7777777777777778,0.7777777777777778,0.14285714285714285,0.2,0.42857142857142855,0.42857142857142855,0.37142857142857144,0.6153846153846154,0.6153846153846154,0.5,0.3333333333333333,1.0,0.42857142857142855,0.45022285714285715,0.5248666666666667,0.4330636363636364,0.10810810810810811,0.32432432432432434,10.806896551724138,0.33175355450236965,3.0,3.0,11.0,1.0,12.0,1.0,,25.0,0.2727272727272727,1.0,1.0,5.0,1.0,2.0,6.0,1.0,1.0,2.0,5.0,9.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,0.17142857142857143,0.375,0.05,0.058823529411764705,0.6666666666666666,0.3333333333333333,0.02857142857142857,0.14285714285714285,0.3333333333333333,0.18181818181818182,0.027777777777777776,0.03333333333333333,25.13333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2545,1610612753,Darko Milicic,Darko Milicic,2545,ORL,3138.0,52.0,8.0,99,93,53.0,57,14,192,4.0,8.0,1.0,4.0,6.0,10.0,1.0,2.0,11.0,20.0,28.0,108,2.0,6.0,5.0,5.0,10.0,13.0,18.0,4.0,2.0,1.0,6.0,1.0,,1.0,2.0,7.0,9.0,4.0,7.0,,7.0,,13.0,53.0,1.0,0.8181818181818182,0.9,0.55,0.3333333333333333,0.5,0.55,0.3333333333333333,0.5,0.5384615384615384,0.35714285714285715,0.5,21.84873949579832,0.16666666666666666,,0.16216216216216217,0.1111111111111111,0.2,0.024390243902439025,0.16666666666666666,0.1875,0.21428571428571427,0.25,,,,0.1111111111111111,0.4,0.5,0.5,0.75,0.5,0.6,0.6,0.1,0.5,0.5,1.0,0.6666666666666666,0.25,0.4,0.4498149999999999,0.53244,0.46911,0.17857142857142858,0.4642857142857143,5.865,0.5353535353535354,2.0,4.0,3.0,1.0,4.0,1.0,,9.0,0.4,0.5,,,,,,6.0,,,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,13.0,4.0,1.0,,,1.0,1.0,,,,0.1111111111111111,1.0,0.8333333333333334,,,,,0.17391304347826086,0.17391304347826086,,1.0,3.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,7746.0,129.0,-28.0,232,229,80.0,78,32,461,7.0,14.0,,,2.0,6.0,7.0,16.0,16.0,36.0,57.0,272,1.0,1.0,4.0,5.0,13.0,16.0,4.0,28.0,,1.0,3.0,,7.0,1.0,8.0,4.0,12.0,6.0,19.0,,8.0,,16.0,80.0,7.0,0.125,0.125,0.4444444444444444,1.0,0.38461538461538464,0.47,1.0,0.325,0.5094339622641509,1.0,0.38095238095238093,22.878228782287824,0.08333333333333333,0.08333333333333333,0.033707865168539325,,0.0625,0.07142857142857142,0.0380952380952381,0.05714285714285714,0.03125,0.08333333333333333,0.13333333333333333,0.037037037037037035,0.09523809523809523,,0.28,0.5,0.5833333333333334,0.2857142857142857,0.12,0.3333333333333333,0.3333333333333333,0.32,0.4375,0.4375,,,,0.56,0.480406,0.384,0.45944250000000003,0.07017543859649122,0.2807017543859649,10.594444444444447,0.3448275862068966,2.0,4.0,13.0,,13.0,,2.0,26.0,0.2,0.5,5.0,9.0,,4.0,14.0,10.0,,7.0,9.0,6.0,5.0,,3.0,2.0,5.0,1.0,2.0,4.0,1.0,3.0,,,9.0,2.0,3.0,11.0,3.0,,,,,,0.28,0.5555555555555556,,,,,0.1,0.18,,0.2,0.057692307692307696,0.07894736842105263,25.085714285714285,2.0,3.0,1.0,1.0,,1.0,3.0,1.0,3.0,2.0,5.0,1.0,15.0,2.0,2.0,1.0,1.0,3.0,4.0,1.0,0.35714285714285715,0.14285714285714285,0.35714285714285715,0.05555555555555555,0.14285714285714285,0.6,0.6,1.0,0.2222222222222222,0.2222222222222222,1.0,0.15,0.3333333333333333,0.2222222222222222,,,,,,,,,,,,,,,True,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,7496.0,125.0,-36.0,220,220,70.0,74,30,440,18.0,29.0,8.0,11.0,1.0,5.0,,,19.0,34.0,50.0,262,8.0,11.0,19.0,6.0,10.0,17.0,22.0,16.0,12.0,1.0,13.0,3.0,23.0,5.0,31.0,14.0,45.0,2.0,9.0,2.0,23.0,1.0,17.0,70.0,1.0,0.5789473684210527,0.8461538461538461,0.5588235294117647,0.7272727272727273,0.6,0.5588235294117647,0.7272727272727273,0.6,0.5813953488372093,0.7307692307692307,0.7083333333333334,20.3125,0.4166666666666667,0.2839506172839506,0.14942528735632185,0.21428571428571427,0.07142857142857142,0.2736842105263158,0.13861386138613863,0.09090909090909091,0.21875,0.09090909090909091,0.3076923076923077,0.25925925925925924,0.2926829268292683,0.15384615384615385,0.8529411764705882,0.6206896551724138,0.72,0.6111111111111112,0.14705882352941177,0.2,0.2,,,,,1.0,0.7272727272727273,0.8529411764705882,0.5537441176470588,0.5963,0.5863099999999999,0.38,0.34,1.1264705882352941,0.3181818181818182,5.0,9.0,3.0,1.0,4.0,,,9.0,0.9,0.5555555555555556,,,,,,12.0,,,,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,6.0,,2.0,,2.0,9.0,1.0,5.0,22.0,13.0,4.0,2.0,2.0,4.0,2.0,,0.3333333333333333,0.13636363636363635,0.18181818181818182,0.5,,,,,,0.3023255813953488,0.3023255813953488,,3.0,5.0,4.0,,,,,,,,,,,,4.0,1.0,1.0,,,,,,,0.11764705882352941,0.13793103448275862,,,,,,,,,,1.0,2.0,1.0,0.25,,,,,,,,,,,True,,,
255,1610612753,Grant Hill,Grant Hill,255,ORL,7092.0,118.0,-26.0,211,210,73.0,69,28,421,9.0,16.0,2.0,2.0,,3.0,6.0,15.0,15.0,34.0,43.0,251,2.0,2.0,4.0,7.0,13.0,21.0,18.0,12.0,2.0,,1.0,1.0,12.0,2.0,15.0,1.0,16.0,3.0,7.0,,12.0,,21.0,73.0,1.0,0.6,0.6428571428571429,0.4411764705882353,1.0,0.5384615384615384,0.4411764705882353,1.0,0.5384615384615384,0.48863636363636365,1.0,0.5833333333333334,21.457489878542507,0.18181818181818182,0.16,0.0125,0.07692307692307693,,0.14772727272727273,0.010638297872340425,,,,0.07692307692307693,0.25,0.13157894736842105,0.08333333333333333,0.47058823529411764,0.5625,0.75,0.6666666666666666,0.08823529411764706,,,0.4411764705882353,0.4,0.4,0.5,1.0,1.0,0.47058823529411764,0.4915529411764705,0.555,0.49842307692307697,0.09302325581395349,0.4883720930232558,8.729411764705883,0.3459715639810427,6.0,8.0,12.0,1.0,13.0,,2.0,27.0,0.6153846153846154,0.75,,,,,,13.0,,,,7.0,3.0,,2.0,,6.0,,5.0,3.0,2.0,1.0,1.0,,9.0,1.0,2.0,20.0,9.0,,,,,,,0.6666666666666666,0.05263157894736842,,,,,,,,0.20930232558139536,0.20930232558139536,,,7.0,,1.0,,1.0,,,,,,,,,5.0,2.0,,,,,,,,0.14705882352941177,0.25,,,,,,,,,,1.0,,,0.5,0.3333333333333333,,,,,,,,,,True,,,
2772,1610612753,Trevor Ariza,Trevor Ariza,2772,ORL,784.0,13.0,4.0,25,24,18.0,17,4,49,2.0,5.0,,1.0,,,1.0,1.0,3.0,6.0,6.0,18,,1.0,,3.0,5.0,6.0,6.0,,,,1.0,,,,,2.0,2.0,1.0,2.0,,,,6.0,18.0,,1.0,1.0,0.5,,0.6,0.5,,0.6,0.5,,0.6,23.333333333333336,,,0.08333333333333333,,,,0.07692307692307693,,0.2,,,,,,0.8333333333333334,0.4,0.5,1.0,,,,0.16666666666666666,1.0,1.0,1.0,1.0,,0.8333333333333334,0.5195,0.5603,0.51366,,1.0,3.4499999999999997,0.72,2.0,4.0,1.0,,1.0,,1.0,2.0,0.8,0.5,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,0.16666666666666666,0.2,,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,True,,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,16.0,,3.0,2,1,2.0,1,1,3,,,,,,,,,,,3.0,2,,,3.0,,,3.0,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,33.333333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.35685,,0.35685,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,26.6,,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,True,,,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,35.0,1.0,1.0,2,1,2.0,1,1,3,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3891,,0.3891,,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,24.4,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,
