EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,FG3APct,Usage,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,on,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FtPoints,Points,PenaltyFG3M,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,ShortMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFtPoints,Offensive Fouls,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,ShortMidRangeFGM,SecondChanceArc3FGM,SecondChanceFG3M,SecondChancePoints,Fg3aBlocked,Corner3Assists,Loose Ball Fouls,SecondChanceFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChancePointsPct,SecondChanceFG2M,SecondChanceFG2A,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,SecondChanceFg2Pct,OffThreePtReboundPct,OffCorner3ReboundPct,BlockedLongMidRange,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGM,FTOffRebounds,SelfOReb,SecondChanceTurnovers,OffFTReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyCorner3Accuracy,PtsPutbacks,Travels,OffShortMidRangeReboundPct,SecondChanceFtPoints,HeaveAttempts,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct
1715,1610612748,Jason Williams,Jason Williams,1715,MIA,47.0,1,-2,2,1,2,1,3,2,2,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1720,1610612748,Michael Doleac,Michael Doleac,1720,MIA,47.0,1,-2,2,1,2,1,3,2,2,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1610612748,James Posey,James Posey,1899,MIA,47.0,1,-2,2,1,2,1,3,2,2,1.0,1.0,1.0,1.0,1.0,1.0,50.0,1.0,1.0,1.0,0.48315,0.48315,23.2,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,1610612748,Jason Kapono,Jason Kapono,2574,MIA,47.0,1,-2,2,1,2,1,3,2,2,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,1610612748,Dorell Wright,Dorell Wright,2748,MIA,47.0,1,-2,2,1,2,1,3,2,2,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,1610612748,Jason Williams,Jason Williams,1715,MIA,6649.0,111,-21,213,212,41,53,425,237,41,0.19248826291079812,2.0,,17.0,2.0,0.6071428571428571,14.285714285714285,0.07142857142857142,,0.75,0.523219642857143,0.51855,24.947058823529414,False,17.0,1.0,4.0,3.0,1.0,4.0,1.0,4.0,15.0,1.0,2.0,2.0,11.0,5.0,4.0,23.0,1.0,3.0,4.0,15.0,15.0,4.0,2.0,10.0,4.0,14.0,4.0,6.0,4.0,32.0,3.0,5.0,8.0,8.0,5.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,5.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.29411764705882354,0.5,0.29411764705882354,0.18181818181818182,0.3392857142857143,0.75,0.36666666666666664,0.75,0.18181818181818182,0.5,0.6666666666666666,0.07142857142857142,0.12,0.08421052631578947,0.14285714285714285,0.09090909090909091,0.029411764705882353,0.1,0.2,1.0,0.14285714285714285,0.25,0.5,0.10714285714285714,0.14285714285714285,0.25,0.25,0.5,0.5,1.0,0.5357142857142857,0.26666666666666666,0.26666666666666666,1.0,1.0,0.5,0.26666666666666666,0.06666666666666667,0.15384615384615385,0.13043478260869565,9.663636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,1610612748,James Posey,James Posey,1899,MIA,8265.0,138,-4,258,261,99,88,519,275,99,0.38372093023255816,8.0,,18.0,2.0,0.72,10.76388888888889,0.32,,0.84,0.523092,0.40269999999999995,24.76111111111111,False,26.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,10.0,1.0,2.0,4.0,7.0,6.0,5.0,31.0,1.0,7.0,6.0,18.0,10.0,4.0,,3.0,3.0,6.0,3.0,1.0,,15.0,5.0,22.0,30.0,31.0,8.0,4.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,7.0,18.0,7.0,2.0,5.0,,1.0,1.0,1.0,5.0,4.0,7.0,2.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5714285714285714,0.52,0.5,0.5740740740740741,0.5,,,0.8,0.2268041237113402,0.17857142857142858,0.216,0.1111111111111111,0.20689655172413793,0.3170731707317073,0.13636363636363635,0.3333333333333333,0.8,0.12,1.0,1.0,0.04,0.12,0.3333333333333333,0.3333333333333333,0.25,0.25,1.0,0.4,0.4,0.4,1.0,0.2857142857142857,0.5,0.4,0.04,0.14285714285714285,0.22580645161290322,9.785714285714286,1.0,1.0,2.0,5.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,0.25,0.25,0.4,0.75,0.011904761904761904,0.008849557522123894,0.038461538461538464,0.3333333333333333,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1610612748,Eddie Jones,Eddie Jones,224,MIA,3987.0,66,-17,131,132,38,41,263,139,38,0.2900763358778626,3.0,1.0,6.0,1.0,0.6666666666666666,8.965517241379311,0.3333333333333333,0.5,0.7777777777777778,0.521788888888889,0.49224999999999997,23.983333333333334,False,14.0,1.0,1.0,,,2.0,1.0,,3.0,,,1.0,3.0,1.0,5.0,10.0,,4.0,,3.0,3.0,,1.0,4.0,1.0,5.0,1.0,2.0,1.0,11.0,1.0,2.0,5.0,6.0,1.0,1.0,,,,,1.0,1.0,,,7.0,4.0,1.0,6.0,,1.0,,,1.0,1.0,4.0,1.0,1.0,0.16666666666666666,,0.16666666666666666,0.3333333333333333,0.2777777777777778,,0.4166666666666667,0.5,0.3333333333333333,,,0.047619047619047616,0.0625,0.05172413793103448,,0.07142857142857142,0.05,0.07692307692307693,,1.0,0.1111111111111111,1.0,1.0,,0.2222222222222222,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,0.1,0.25,0.4,13.166666666666666,,,,1.0,2.0,1.0,1.0,2.0,1.0,,,,2.0,1.0,,1.0,1.0,1.0,,0.6666666666666666,0.022727272727272728,0.015873015873015872,0.09090909090909091,1.0,,,1.0,1.0,4.0,1.0,2.0,0.5,1.0,0.58095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,1610612748,Jason Kapono,Jason Kapono,2574,MIA,4568.0,76,-22,147,143,62,39,290,158,62,0.4217687074829932,1.0,,4.0,1.0,0.23529411764705882,11.585365853658537,0.058823529411764705,,0.35294117647058826,0.43204705882352945,0.38875,24.55,False,15.0,1.0,2.0,3.0,3.0,8.0,1.0,1.0,3.0,,1.0,6.0,13.0,2.0,2.0,20.0,,6.0,2.0,6.0,3.0,1.0,,1.0,1.0,2.0,,,,5.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,,,,1.0,1.0,,2.0,9.0,3.0,1.0,2.0,,,,,,,6.0,1.0,1.0,0.5,,0.5,0.46153846153846156,0.5294117647058824,0.2857142857142857,0.5555555555555556,0.375,,,,0.06666666666666667,0.14285714285714285,0.0847457627118644,0.07692307692307693,0.15384615384615385,,0.16666666666666666,,,0.11764705882352941,0.5,0.5,0.17647058823529413,0.47058823529411764,0.375,0.375,1.0,1.0,1.0,0.17647058823529413,0.3333333333333333,0.5,1.0,0.14285714285714285,,0.3333333333333333,,,0.3,14.430769230769231,,1.0,2.0,6.0,10.0,1.0,,,,,1.0,,1.0,,,,0.8333333333333334,0.8333333333333334,0.3333333333333333,,,,,1.0,0.14285714285714285,,1.0,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.5,1.5,0.25,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1610612748,Alonzo Mourning,Alonzo Mourning,297,MIA,3316.0,55,-15,100,109,51,53,209,116,51,0.51,,,,,,16.513761467889907,,,0.5454545454545454,0.4807636363636364,0.55695,,False,8.0,5.0,6.0,5.0,,,,,,,,10.0,11.0,,5.0,25.0,,7.0,2.0,,,,1.0,1.0,,1.0,,1.0,,2.0,1.0,5.0,7.0,8.0,,,,,,,1.0,1.0,1.0,4.0,6.0,8.0,,13.0,,4.0,,,3.0,2.0,7.0,1.0,,,,,0.9090909090909091,0.9090909090909091,1.0,0.7352941176470589,0.7,0.09090909090909091,0.16666666666666666,,0.11627906976744186,0.1,0.11320754716981132,0.15384615384615385,0.09090909090909091,0.10526315789473684,0.14285714285714285,,0.6666666666666666,0.5454545454545454,0.8333333333333334,1.0,0.45454545454545453,,,,,,,,,,,,,,0.2857142857142857,0.2857142857142857,0.28,2.745454545454545,2.0,2.0,2.0,2.0,18.0,,,1.0,1.0,,1.0,1.0,3.0,3.0,1.0,2.0,0.9,0.9,1.0,0.3333333333333333,,0.02564102564102564,,1.0,1.0,1.0,,,3.0,,3.0,,,0.3675,5.0,,,2.0,,,,,1.0,0.5,,,1.0,1.0,0.8,,,,0.08,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.25,,,,,,,,,,,,,,,,,,,,,,
