EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,OpponentPoints,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGA,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,Fg3aBlocked,LiveBallTurnovers,BadPassTurnovers,FG3APct,FG3APctBlocked,Corner3PctBlocked,LiveBallTurnoverPct,Corner3Frequency,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,Arc3FGM,FG3M,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,AtRimAssists,BadPassOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,ThreePtAssists,Arc3Assists,PenaltyCorner3FGA,DefAtRimReboundPct,PenaltyCorner3Frequency,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted3s,FTOffRebounds,Loose Ball Fouls,Assisted3sPct,SecondChanceFg3Pct,OffFTReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,BlockedAtRim,on,3SecondViolations,OffCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyArc3FGM,PenaltyFG3M,Corner3Assists,Travels,SecondChanceTurnovers,PenaltyFg3Pct,PenaltyArc3Accuracy,Corner3FGM,PenaltyCorner3FGM,Fg2aBlocked,ShortMidRangeAssists,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,HeaveAttempts,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceAtRimPctAssisted
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,127.0,2,-4.0,4,5,1,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101142,1610612747,Ronny Turiaf,Ronny Turiaf,101142,LAL,2895.0,48,-22.0,95,97,43,192,121,29.0,9.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,7.0,1.0,3.0,5.0,14.0,7.0,17.0,2.0,4.0,2.0,6.0,2.0,7.0,2.0,6.0,10.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,6.0,6.0,12.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,9.0,1.0,2.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,6.0,29.0,2.0,1.0,0.35714285714285715,0.5,0.2857142857142857,0.35714285714285715,0.5,0.2857142857142857,0.4473684210526316,0.5,0.3333333333333333,18.867924528301884,0.6666666666666666,0.038461538461538464,0.13793103448275862,0.25,0.125,0.10526315789473684,0.13333333333333333,0.14285714285714285,0.3,0.14285714285714285,0.09090909090909091,0.2857142857142857,0.2,0.3333333333333333,1.0,0.2857142857142857,0.5,0.5,0.5,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.3333333333333333,0.3333333333333333,0.75,0.6666666666666666,0.5714285714285714,0.5,0.2857142857142857,0.4356285714285715,0.5938333333333333,0.49092857142857144,0.2222222222222222,0.2222222222222222,0.35294117647058826,0.35294117647058826,8.35,0.30526315789473685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1742,1610612747,Shammond Williams,Shammond Williams,1742,LAL,1179.0,20,-20.0,39,39,13,78,55,9.0,2.0,,,,,,,,,2.0,3.0,2.0,3.0,,4.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,9.0,,,0.6666666666666666,,,0.4,,,0.4,,,14.285714285714286,,,,,,,,,,,,,,,,,,,,,,0.6,0.6666666666666666,0.6666666666666666,,,,,0.4,0.42889,,0.4065,,,,,20.2,0.23076923076923078,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,1.0,1.0,0.2,0.2,1.0,24.299999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,2086.0,35,-16.0,69,72,30,141,85,22.0,9.0,6.0,8.0,2.0,3.0,3.0,4.0,,1.0,2.0,3.0,8.0,12.0,,19.0,2.0,3.0,,4.0,3.0,4.0,,6.0,12.0,4.0,1.0,1.0,1.0,2.0,,3.0,,4.0,1.0,5.0,3.0,8.0,1.0,1.0,,1.0,1.0,1.0,2.0,4.0,1.0,2.0,,,1.0,1.0,,,,,,6.0,22.0,1.0,,0.6666666666666666,0.6666666666666666,0.75,0.6785714285714286,0.6666666666666666,0.75,0.6785714285714286,0.6666666666666666,0.75,18.75,0.5,0.21052631578947367,0.11538461538461539,,,0.14814814814814814,0.08108108108108109,,0.2,,0.2222222222222222,,,0.2,,0.5714285714285714,0.75,0.75,0.07142857142857142,,,0.21428571428571427,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.75,0.7142857142857143,0.5008285714285714,0.5770333333333334,0.529475,0.07142857142857142,0.08333333333333333,0.21052631578947367,0.3157894736842105,4.983333333333333,0.3188405797101449,,2.0,,2.0,,2.0,,,,0.14285714285714285,,,,,0.14285714285714285,,25.65,1.0,1.0,4.0,3.0,1.0,1.0,0.25,0.3333333333333333,0.5,0.5,0.09090909090909091,0.3333333333333333,0.16666666666666666,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,2638.0,44,-15.0,87,88,34,175,107,27.0,8.0,2.0,4.0,,,,1.0,4.0,6.0,5.0,12.0,11.0,22.0,6.0,34.0,,1.0,,,4.0,7.0,3.0,11.0,22.0,,1.0,1.0,,2.0,,,3.0,2.0,,5.0,,5.0,,1.0,1.0,,2.0,3.0,1.0,2.0,1.0,5.0,,,7.0,3.0,1.0,,,,,11.0,27.0,,1.0,0.5,,0.5714285714285714,0.5185185185185185,,0.5,0.5666666666666667,,0.55,34.375,,0.08333333333333333,,0.25,,0.1388888888888889,,,,,0.1,0.2857142857142857,0.2,,,0.14814814814814814,0.5,0.5,0.2222222222222222,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.4166666666666667,0.4166666666666667,,,0.125,,0.3333333333333333,0.4434666666666666,0.3863,0.44161249999999996,0.10344827586206896,0.125,,0.3235294117647059,12.663636363636364,0.3103448275862069,,5.0,1.0,5.0,1.0,5.0,,1.0,,0.18518518518518517,,,0.3333333333333333,,0.18518518518518517,0.125,26.560000000000002,2.0,2.0,,6.0,2.0,1.0,,,0.4,0.4,,0.125,,,0.4,0.4,0.4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,955.0,16,-5.0,29,31,12,60,40,5.0,2.0,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,1.0,7.0,,,,,1.0,1.0,,2.0,6.0,,1.0,3.0,,8.0,,,1.0,,,1.0,,1.0,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,2.0,5.0,,,0.6,,1.0,0.42857142857142855,,1.0,0.5,,1.0,22.580645161290324,,,,0.25,,0.09090909090909091,,,,,,0.5,,,,0.2857142857142857,0.5,0.5,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,,,1.0,1.0,0.5714285714285714,0.4808642857142857,,0.5603,0.14285714285714285,0.2,,0.2857142857142857,7.2,0.1724137931034483,,2.0,,2.0,,2.0,,,,0.2857142857142857,,,,,0.2857142857142857,,25.5,,,,,,1.0,,,,,,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,624.0,10,,20,21,14,41,23,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,,2.0,,,,1.0,,1.0,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,,1.0,,,0.5,,,0.5,,,15.0,,0.2,,,,0.16666666666666666,,,,,0.3333333333333333,,,,,,,,,,,0.5,1.0,1.0,,,,,0.5,0.4487,,0.5193,,,,,20.3,0.1,,1.0,1.0,1.0,1.0,1.0,,,,0.5,,,,,0.5,1.0,25.8,,,2.0,,,,1.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2230,1610612747,Maurice Evans,Maurice Evans,2230,LAL,1194.0,20,-10.0,42,40,19,82,52,18.0,4.0,,,,,,,1.0,1.0,,,1.0,1.0,,2.0,,,,,,,,,2.0,,1.0,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,18.0,,,1.0,,,0.3333333333333333,,,0.3333333333333333,,,6.521739130434782,,0.1,,,,0.07142857142857142,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,0.6666666666666666,0.5122,,0.57555,,,,,9.0,0.42857142857142855,1.0,1.0,,2.0,1.0,1.0,,,,0.6666666666666666,,,,0.3333333333333333,0.3333333333333333,,23.9,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,647.0,11,-2.0,23,23,21,46,25,15.0,6.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,2.0,3.0,1.0,1.0,,1.0,,,,,,,,,15.0,,,,,,,,,,,,12.903225806451614,,,,0.5,,0.1,,,,,,0.5,,,,,,,,,,0.3333333333333333,,,,,,,0.6666666666666666,0.5253833333333334,,0.498875,,,,,15.2,0.6521739130434783,,2.0,1.0,2.0,1.0,2.0,,,,0.6666666666666666,,,,,0.6666666666666666,0.5,25.6,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,1345.0,22,-10.0,42,45,16,87,57,11.0,5.0,,,,,,,,1.0,,,,1.0,1.0,7.0,,,,3.0,,,,,,,,,,,,,,3.0,,3.0,1.0,4.0,,2.0,2.0,,1.0,4.0,1.0,4.0,,1.0,,,2.0,1.0,,,,,,,11.0,1.0,,,,,0.6,1.5,,0.5833333333333334,1.5,,20.408163265306122,,0.23076923076923078,,,,0.16666666666666666,,,,,0.2,,,,,,,,0.2,,,,,,,,,,0.8,0.55865,0.657,,0.16666666666666666,0.5,0.42857142857142855,,7.3,0.2619047619047619,,4.0,,4.0,,4.0,,3.0,3.0,0.8,,,0.75,,0.8,,25.6,2.0,2.0,,,2.0,,,,0.5,0.5,,,,,0.5,0.5,0.5,,1.0,,1.0,,,,0.5,,1.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
