EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPossExcludingTakeFouls,TsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyFG2M,PenaltyFtPoints,PtsAssisted2s,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,OffThreePtRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,BadPassSteals,AtRimPctBlocked,DefAtRimReboundPct,DefCorner3ReboundPct,OffAtRimReboundPct,SecondChanceFtPoints,Travels,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,RecoveredBlocks,OffensiveGoaltends,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,on,SecondChanceArc3FGM,SecondChanceArc3FGA,HeaveAttempts,FTOffRebounds,FTDefRebounds,Technical Free Throw Trips,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,BlockedArc3,Clear Path Fouls
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,586.0,10,18,18,3.0,4.0,2.0,36,1.0,1.0,1.0,1.0,15,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.25,14.285714285714286,0.375,0.25,0.3333333333333333,0.5,1.0,0.37,0.37,0.5,0.5,21.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
101177,1610612764,Fabricio Oberto,Fabricio Oberto,101177,WAS,322.0,5,11,11,,1.0,,22,,,,,13,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
200751,1610612764,Randy Foye,Randy Foye,200751,WAS,1245.0,21,41,40,13.0,7.0,4.0,81,4.0,7.0,2.0,14.0,41,,,1.0,,3.0,1.0,4.0,4.0,,,1.0,,,,1.0,2.0,1.0,,,,13.0,0.6363636363636364,26.08695652173913,0.07142857142857142,0.2,,0.16666666666666666,0.4,0.451155,,0.09090909090909091,0.125,12.6,0.3170731707317073,4.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,6.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.5,0.6666666666666666,0.5,0.6666666666666666,0.42857142857142855,0.6,0.5,0.5,0.3,0.14285714285714285,0.25,1.0,0.5,0.5,0.1,1.0,1.0,0.2,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5,0.4,0.6666666666666666,0.5054,0.21428571428571427,26.399999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2229,1610612764,Mike James,Mike James,2229,WAS,2742.0,46,88,90,38.0,33.0,13.0,178,8.0,14.0,4.0,18.0,84,1.0,3.0,5.0,1.0,12.0,1.0,2.0,3.0,3.0,1.0,5.0,4.0,1.0,3.0,6.0,8.0,3.0,,,,38.0,0.375,27.358490566037734,0.02857142857142857,0.0392156862745098,0.058823529411764705,,0.4,0.46147499999999997,0.4526,0.13043478260869565,0.17647058823529413,14.378571428571432,0.4318181818181818,2.0,1.0,2.0,1.0,4.0,,3.0,,1.0,4.0,2.0,6.0,6.0,,1.0,6.0,4.0,6.0,,3.0,,1.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,0.3333333333333333,,0.3333333333333333,0.2857142857142857,0.35,0.2857142857142857,0.3,0.3,0.07142857142857142,,0.4,0.0625,0.07142857142857142,0.1,0.5,0.5,0.2,0.25,0.3333333333333333,0.15,,,,0.14285714285714285,,0.4,,0.44654285714285713,0.3333333333333333,24.183333333333334,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.25,0.029411764705882353,0.022727272727272728,0.05,1.0,1.0,0.25,0.25,0.15,0.6666666666666666,0.6666666666666666,1.0,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,2070.0,34,66,68,25.0,19.0,11.0,134,5.0,9.0,2.0,13.0,61,3.0,2.0,3.0,1.0,7.0,6.0,7.0,10.0,1.0,,4.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,,1.0,25.0,0.5416666666666666,19.51219512195122,0.2,0.16666666666666666,0.2857142857142857,0.16666666666666666,0.5,0.50339,0.5375,0.16666666666666666,0.18181818181818182,12.744444444444445,0.3787878787878788,3.0,2.0,3.0,,1.0,1.0,1.0,,,4.0,1.0,1.0,3.0,,,6.0,4.0,3.0,,1.0,1.0,,1.0,,1.0,3.0,1.0,6.0,1.0,1.0,,1.0,0.4444444444444444,0.55,0.6666666666666666,0.6,0.1,,,0.75,0.08333333333333333,0.1,0.3,0.6666666666666666,0.6666666666666666,0.1,,,0.1,1.0,1.0,1.0,,,0.4,1.0,0.6024666666666666,0.46153846153846156,25.0,1.0,2.0,2.0,,,2.0,2.0,4.0,1.0,1.0,,1.0,3.0,1.0,1.0,,,,,,,,0.5,0.6666666666666666,0.6666666666666666,,0.038461538461538464,0.08823529411764706,,,,0.4,0.4,,,,,0.6666666666666666,0.5,2.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.25,0.14285714285714285,0.2857142857142857,0.2,1.0,1.0,0.6666666666666666,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1610612764,Mike Miller,Mike Miller,2034,WAS,1074.0,18,35,36,16.0,22.0,6.0,71,,3.0,2.0,6.0,28,,,,,,3.0,4.0,4.0,,,,,2.0,2.0,2.0,2.0,1.0,,,,16.0,0.42857142857142855,17.073170731707318,0.17647058823529413,0.17391304347826086,0.2,,,0.5514166666666668,,0.14285714285714285,0.25,2.966666666666667,0.45714285714285713,5.0,1.0,2.0,1.0,1.0,,3.0,,2.0,2.0,,3.0,,,2.0,,,,,3.0,,1.0,,,1.0,,,,,,,,0.6666666666666666,0.3333333333333333,,,0.5,0.3333333333333333,,,0.16666666666666666,,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,1.0,0.5,,,,1.0,,0.8333333333333334,,0.55125,,24.599999999999998,,,,,,,,4.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,996.0,17,30,33,13.0,18.0,6.0,63,,1.0,1.0,1.0,32,,1.0,2.0,1.0,5.0,4.0,4.0,5.0,,,2.0,1.0,,,1.0,2.0,1.0,,,,13.0,0.25,11.11111111111111,0.2222222222222222,0.16666666666666666,0.3,0.2,,0.3842,,0.5,0.5,12.3,0.43333333333333335,-5.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,0.07142857142857142,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,0.2,,0.25,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
201187,1610612764,Dominic McGuire,Dominic McGuire,201187,WAS,565.0,9,18,18,13.0,8.0,2.0,36,4.0,4.0,,2.0,23,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,13.0,0.25,21.73913043478261,0.2,0.125,,1.0,1.0,0.41297500000000004,,,,19.675,0.7222222222222222,-9.0,,,,,,,,,1.0,,,3.0,,,2.0,,,,,,,,,,,,2.0,,,,,0.25,0.25,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,0.4152666666666667,1.0,,,,1.0,,,1.0,,2.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,0.3333333333333333,,0.1,0.09090909090909091,,,,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2052,1610612764,DeShawn Stevenson,DeShawn Stevenson,2052,WAS,173.0,3,5,5,,,1.0,10,1.0,1.0,,,7,1.0,,,,,,,,,,,,,,,,,,,,,,33.333333333333336,,,,,0.5,0.436,0.3875,,,20.6,,-2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,,,24.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,2072.0,35,67,67,29.0,22.0,12.0,134,,11.0,3.0,17.0,63,7.0,,,,,3.0,6.0,13.0,3.0,,3.0,2.0,2.0,5.0,4.0,5.0,4.0,4.0,1.0,4.0,29.0,0.7083333333333334,17.857142857142858,0.1111111111111111,0.15,,0.2,,0.5628181818181819,0.55442,0.3333333333333333,0.3333333333333333,2.6727272727272724,0.43283582089552236,6.0,6.0,9.0,1.0,2.0,,,,,7.0,,,5.0,,,5.0,8.0,,,,,2.0,,,3.0,,,5.0,,,,,0.6363636363636364,0.6363636363636364,0.4,0.5,,0.18181818181818182,,,0.23076923076923078,0.2727272727272727,0.8181818181818182,0.6666666666666666,0.8571428571428571,0.18181818181818182,0.5,0.5,,,,,,,0.8181818181818182,,0.5072,0.29411764705882354,,1.0,4.0,,,,2.0,1.0,6.0,,,,6.0,7.0,,,,,,,,,,0.42857142857142855,0.5,0.4,,0.25,0.21212121212121213,0.09090909090909091,0.5,,,,,,,,0.8,0.25,5.0,7.0,5.0,11.0,2.0,1.0,1.0,,,3.0,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.5,,1.0,0.7142857142857143,0.6470588235294118,,0.2222222222222222,0.3333333333333333,,0.6666666666666666,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.5,0.4,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
