EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,NonHeaveArc3FGA,DefensiveGoaltends,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceArc3FGA,PtsUnassisted3s,Fg3aBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,HeaveMakes,Corner3PctBlocked,on,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedCorner3
101106,1610612749,Andrew Bogut,Andrew Bogut,101106,MIL,76603.0,1277,81.0,2365,2387,393,520,335.0,4752,164.0,266.0,56.0,92.0,21.0,34.0,122.0,275.0,5.0,11.0,1.0,1.0,291.0,552.0,1.0,81.0,663.0,2403,62.0,114.0,12.0,136.0,40.0,72.0,1.0,21.0,101.0,294.0,288.0,94.0,1.0,37.0,36.0,27.0,63.0,21.0,6.0,25.0,5.0,6.0,153.0,17.0,105.0,1.0,58.0,209.0,27.0,294.0,123.0,417.0,22.0,18.0,15.0,3.0,35.0,6.0,17.0,40.0,4.0,18.0,5.0,75.0,5.0,13.0,68.0,117,17.0,16.0,159.0,14.0,24.0,135.0,18.0,66.0,11.0,94.0,86.0,8.0,94.0,61.0,2.0,3.0,7.0,101.0,393,2.0,10.0,0.5051546391752577,0.6024590163934426,0.5271739130434783,0.543859649122807,0.5555555555555556,0.5262206148282098,0.543859649122807,0.547945205479452,0.5416666666666666,0.5619834710743802,0.5674157303370787,0.0018083182640144665,0.06702898550724638,0.09022556390977443,0.04727272727272727,24.76534296028881,0.4666666666666667,0.47368421052631576,0.014285714285714285,0.23723041997729852,0.11170212765957446,0.2600896860986547,0.05501618122977346,0.2418478260869565,0.0976781425140112,0.17933130699088146,0.0932475884244373,0.056666666666666664,0.045871559633027525,0.07692307692307693,0.20915032679738563,0.28095238095238095,0.2356164383561644,0.25,0.2857142857142857,0.09821428571428571,0.648936170212766,0.4810126582278481,0.6165413533834586,0.6776859504132231,0.524390243902439,0.4972875226039783,0.44363636363636366,0.46564885496183206,0.45901639344262296,0.019891500904159132,0.45454545454545453,0.45454545454545453,1.0,0.0018083182640144665,0.8070175438596491,0.6086956521739131,0.125,0.4657534246575342,0.6176470588235294,0.0136986301369863,0.48282097649186256,0.48735126811594215,0.552401030927835,0.481251388888889,0.10981697171381032,0.11,0.20512820512820512,0.15233785822021115,4.135688405797103,69.5,0.16617336152219872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101124,1610612749,Hakim Warrick,Hakim Warrick,101124,MIL,16548.0,276,-37.0,539,535,178,231,83.0,1074,21.0,45.0,6.0,13.0,6.0,13.0,3.0,21.0,13.0,38.0,4.0,2.0,37.0,104.0,4.0,38.0,112.0,542,7.0,15.0,6.0,20.0,11.0,31.0,2.0,18.0,40.0,56.0,18.0,10.0,,3.0,7.0,2.0,9.0,1.0,1.0,3.0,3.0,1.0,20.0,2.0,27.0,,5.0,19.0,5.0,29.0,29.0,58.0,11.0,6.0,5.0,1.0,9.0,,6.0,9.0,2.0,3.0,4.0,18.0,5.0,7.0,8.0,25,3.0,3.0,45.0,2.0,4.0,57.0,3.0,26.0,4.0,3.0,2.0,1.0,3.0,3.0,,,,40.0,178,6.0,4.0,0.7567567567567568,0.875,0.3557692307692308,0.4666666666666667,0.3548387096774194,0.3425925925925926,0.4666666666666667,0.3333333333333333,0.4148148148148148,0.5,0.45454545454545453,0.037037037037037035,0.028846153846153848,0.044444444444444446,0.047619047619047616,23.943661971830988,0.5,0.2,,0.11046511627906977,0.11538461538461539,0.1,0.03571428571428571,0.10810810810810811,0.1,0.16455696202531644,0.09523809523809523,0.08695652173913043,0.05,,0.05660377358490566,0.15,0.12658227848101267,0.10810810810810811,0.07692307692307693,0.16417910447761194,1.0,0.4166666666666667,0.4666666666666667,0.4883720930232558,0.7142857142857143,0.19444444444444445,0.14285714285714285,0.15,0.3333333333333333,0.35185185185185186,0.34210526315789475,0.34210526315789475,0.9230769230769231,0.037037037037037035,0.8666666666666667,0.46153846153846156,0.3333333333333333,0.3939393939393939,0.46153846153846156,0.06060606060606061,0.4537037037037037,0.4711574074074074,0.5403866666666667,0.459169696969697,0.1984732824427481,0.2047244094488189,0.17857142857142858,0.35714285714285715,8.350000000000001,25.949999999999996,0.3302411873840445,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101146,1610612749,Roko Ukic,Roko Ukic,101146,MIL,2878.0,48,-6.0,91,91,48,54,12.0,182,1.0,2.0,,,1.0,1.0,3.0,4.0,,1.0,7.0,4.0,4.0,7.0,9.0,8.0,25.0,106,,,,3.0,3.0,4.0,5.0,6.0,18.0,2.0,6.0,,,,3.0,3.0,6.0,3.0,,1.0,1.0,1.0,15.0,,,,,2.0,,2.0,,2.0,,1.0,1.0,,3.0,1.0,,1.0,,3.0,,4.0,,3.0,3.0,4,,,6.0,,,9.0,1.0,3.0,2.0,,,,,,,,,18.0,48,,2.0,0.25,0.25,0.5714285714285714,,0.75,0.53125,1.5,0.6666666666666666,0.625,1.5,0.75,0.5625,,,,22.641509433962263,0.75,,,0.08,,,,0.058823529411764705,,,,,,,,,0.16666666666666666,,,,,0.125,0.5,0.5,1.0,0.25,0.75,0.75,,0.0625,,,,0.4375,,,,0.1111111111111111,1.0,0.4444444444444444,0.6875,0.45428666666666667,0.53565,0.4632,0.16666666666666666,0.3333333333333333,0.12,0.72,8.542857142857143,26.677777777777777,0.5274725274725275,7.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,9.0,2.0,1.0,0.3333333333333333,1.0,0.4,0.3333333333333333,0.125,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,0.25,0.2857142857142857,,,,,,,,,,,,,,,,,,,,True,,,
201601,1610612749,Luc Mbah a Moute,Luc Mbah a Moute,201601,MIL,111983.0,1866,24.0,3500,3539,770,971,494.0,7039,128.0,205.0,48.0,81.0,33.0,48.0,16.0,42.0,27.0,105.0,,,171.0,352.0,17.0,93.0,453.0,3619,53.0,93.0,15.0,124.0,42.0,74.0,3.0,29.0,116.0,206.0,136.0,86.0,,40.0,51.0,30.0,81.0,21.0,9.0,21.0,11.0,19.0,192.0,41.0,127.0,3.0,44.0,173.0,12.0,229.0,171.0,400.0,7.0,60.0,30.0,30.0,27.0,3.0,18.0,43.0,7.0,9.0,10.0,70.0,9.0,16.0,92.0,181,18.0,13.0,123.0,19.0,10.0,133.0,15.0,64.0,10.0,38.0,23.0,10.0,39.0,25.0,,5.0,8.0,116.0,770,23.0,9.0,0.6023391812865497,0.8046875,0.48579545454545453,0.5698924731182796,0.5675675675675675,0.4878048780487805,0.5797872340425532,0.564935064935065,0.5292056074766355,0.5849056603773585,0.6041666666666666,0.04607046070460705,0.11363636363636363,0.15121951219512195,0.11904761904761904,12.167114585878329,0.38571428571428573,0.12,0.02857142857142857,0.14191960623461855,0.09222948438634714,0.13056379821958458,0.0859538784067086,0.13946015424164523,0.09061488673139159,0.12317327766179541,0.08958837772397095,0.06391752577319587,0.08238636363636363,0.096,0.16707616707616707,0.10610932475884244,0.1437125748502994,0.1417004048582996,0.1,0.046357615894039736,0.6410256410256411,0.5555555555555556,0.624390243902439,0.735632183908046,0.546875,0.11382113821138211,0.38095238095238093,0.43243243243243246,0.625,0.2845528455284553,0.2571428571428571,0.26732673267326734,0.8518518518518519,,0.8617021276595744,0.5925925925925926,0.10416666666666667,0.6233766233766234,0.6875,,0.6016260162601627,0.5180218157181572,0.556027108433735,0.5406532467532468,0.15311004784688995,0.1596009975062344,0.2737306843267108,0.2560706401766004,6.54971590909091,23.552941176470586,0.22,,1.0,6.0,17.0,1.0,1.0,1.0,3.0,,,6.0,1.0,1.0,1.0,18.0,,1.0,0.35294117647058826,1.0,0.3333333333333333,0.35294117647058826,0.04607046070460705,0.35294117647058826,0.35294117647058826,1.0,,,,0.010638297872340425,1.0,1.0,0.03896103896103896,0.3333333333333333,,,3.0,1.0,1.0,5.0,0.0380952380952381,,,,,,,,,,,,,,,True,,,
201943,1610612749,Brandon Jennings,Brandon Jennings,201943,MIL,86424.0,1440,34.0,2676,2690,468,590,387.0,5366,55.0,151.0,5.0,18.0,10.0,34.0,34.0,118.0,62.0,186.0,205.0,39.0,151.0,455.0,220.0,112.0,675.0,2754,22.0,58.0,6.0,74.0,29.0,81.0,41.0,41.0,141.0,66.0,236.0,4.0,2.0,36.0,192.0,67.0,259.0,46.0,21.0,105.0,30.0,57.0,585.0,8.0,21.0,1.0,29.0,94.0,,123.0,30.0,153.0,7.0,56.0,27.0,29.0,63.0,14.0,40.0,33.0,4.0,23.0,5.0,96.0,8.0,21.0,43.0,101,,4.0,111.0,1.0,5.0,140.0,6.0,48.0,15.0,8.0,2.0,2.0,10.0,7.0,,,,141.0,468,12.0,11.0,0.2185430463576159,0.2214765100671141,0.33186813186813185,0.3793103448275862,0.35802469135802467,0.41703703703703704,0.3953488372093023,0.4098360655737705,0.45225102319236016,0.4101123595505618,0.4825174825174825,0.32592592592592595,0.07912087912087912,0.19205298013245034,0.0423728813559322,26.272264631043257,0.65625,,0.012345679012345678,0.09680741503604531,0.019644527595884004,0.11153846153846154,0.02099737532808399,0.09991876523151909,0.02,0.01808785529715762,0.024096385542168676,0.017142857142857144,0.017985611510791366,0.02912621359223301,0.08282208588957055,0.1111111111111111,0.09923664122137404,0.12154696132596685,0.08860759493670886,0.017587939698492462,0.7,0.2237037037037037,0.36423841059602646,0.45081967213114754,0.2909090909090909,0.1748148148148148,0.288135593220339,0.3008849557522124,0.23529411764705882,0.27555555555555555,0.3333333333333333,0.33695652173913043,0.14516129032258066,0.3037037037037037,0.20930232558139536,0.2777777777777778,0.6,0.2786885245901639,0.29411764705882354,0.319672131147541,0.5496296296296296,0.49838818722139683,0.4794725806451613,0.4880347107438016,0.06824512534818941,0.096579476861167,0.10962962962962963,0.2088888888888889,9.964615384615385,25.959545454545445,0.17488789237668162,203.0,,8.0,15.0,2.0,3.0,1.0,2.0,79.0,13.0,87.0,8.0,28.0,14.0,165.0,79.0,0.632183908045977,0.39545454545454545,0.2857142857142857,0.34146341463414637,0.39908256880733944,0.022222222222222223,0.5333333333333333,0.5333333333333333,0.75,0.3853658536585366,0.3872549019607843,0.620253164556962,0.03488372093023256,0.6666666666666666,0.5,0.01639344262295082,0.5,0.3333333333333333,0.3891625615763547,1.0,2.0,2.0,4.0,0.010752688172043012,6.0,25.0,96.0,1.0,17.0,1.0,0.004545454545454545,0.004878048780487805,0.29069767441860467,0.24,0.6666666666666666,0.004524886877828055,,,True,,,
201975,1610612749,Jodie Meeks,Jodie Meeks,201975,MIL,10059.0,168,4.0,337,339,125,146,46.0,676,8.0,18.0,,,2.0,6.0,2.0,5.0,4.0,12.0,27.0,12.0,14.0,35.0,36.0,6.0,67.0,362,1.0,4.0,,5.0,7.0,15.0,14.0,6.0,38.0,16.0,12.0,,2.0,7.0,7.0,4.0,11.0,3.0,1.0,4.0,,3.0,26.0,,1.0,,4.0,21.0,1.0,26.0,1.0,27.0,,6.0,4.0,2.0,3.0,,3.0,1.0,,,1.0,4.0,,,6.0,11,1.0,,7.0,,,9.0,1.0,2.0,3.0,1.0,1.0,,1.0,1.0,,,,38.0,125,,3.0,0.5714285714285714,0.5714285714285714,0.4,0.25,0.4666666666666667,0.4295774647887324,0.5,0.5517241379310345,0.44666666666666666,0.5,0.5757575757575758,0.5070422535211268,0.2,0.2777777777777778,0.2,20.050761421319798,0.75,0.08333333333333333,,0.21649484536082475,0.0078125,0.12903225806451613,,0.1953125,0.0056179775280898875,0.021739130434782608,,,,,0.17142857142857143,0.13636363636363635,0.3,0.125,0.14285714285714285,,1.0,0.2535211267605634,0.4444444444444444,0.6153846153846154,0.5,0.07042253521126761,0.4,0.5,,0.16901408450704225,0.3333333333333333,0.36363636363636365,1.0,0.38028169014084506,,,,0.20689655172413793,0.3333333333333333,0.41379310344827586,0.7605633802816901,0.5266746376811594,0.4372625,0.5099803571428573,0.027777777777777776,0.05555555555555555,0.07462686567164178,0.5671641791044776,7.674285714285715,26.725,0.37091988130563797,24.0,,2.0,9.0,,,,2.0,9.0,6.0,11.0,1.0,1.0,6.0,30.0,8.0,0.9090909090909091,0.3055555555555556,1.0,0.42857142857142855,0.29411764705882354,0.1267605633802817,0.2222222222222222,0.2222222222222222,1.0,0.3333333333333333,0.3333333333333333,0.8888888888888888,,,,0.06896551724137931,,0.5,0.3333333333333333,,,,,0.08333333333333333,1.0,1.0,3.0,,,,,,0.2,1.0,1.0,,1.0,,True,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,11840.0,197,-7.0,385,391,99,146,59.0,776,10.0,23.0,3.0,6.0,3.0,7.0,5.0,22.0,10.0,25.0,19.0,6.0,25.0,70.0,22.0,19.0,87.0,381,3.0,7.0,1.0,7.0,4.0,16.0,6.0,12.0,23.0,22.0,28.0,,,12.0,8.0,4.0,12.0,1.0,3.0,2.0,4.0,2.0,28.0,1.0,5.0,,2.0,18.0,,20.0,6.0,26.0,2.0,7.0,3.0,4.0,3.0,,3.0,1.0,,,,4.0,,2.0,2.0,8,,1.0,19.0,1.0,1.0,25.0,3.0,7.0,6.0,1.0,,,2.0,1.0,,,,23.0,99,3.0,6.0,0.44,0.44,0.35714285714285715,0.42857142857142855,0.25,0.3695652173913043,0.3333333333333333,0.25,0.4166666666666667,0.3888888888888889,0.3793103448275862,0.2391304347826087,0.17142857142857143,0.2608695652173913,0.2727272727272727,23.2967032967033,0.75,,,0.11764705882352941,0.02824858757062147,0.06666666666666667,0.018867924528301886,0.1092896174863388,0.02608695652173913,,0.08333333333333333,,0.022222222222222223,,0.05454545454545454,0.15555555555555556,0.1509433962264151,0.047619047619047616,0.1111111111111111,0.04081632653061224,0.5,0.25,0.43478260869565216,0.5882352941176471,0.4,0.2391304347826087,0.22727272727272727,0.3125,0.4,0.2717391304347826,0.4,0.4,0.5,0.20652173913043478,0.6666666666666666,0.5,0.6666666666666666,0.3181818181818182,0.42857142857142855,0.2727272727272727,0.4891304347826087,0.49705597826086967,0.556242857142857,0.48960454545454546,0.07291666666666667,0.0945945945945946,0.08045977011494253,0.26436781609195403,9.24285714285714,25.586363636363636,0.2571428571428571,19.0,,1.0,3.0,,,,,5.0,1.0,6.0,,2.0,1.0,18.0,5.0,1.0,0.2727272727272727,,0.16666666666666666,0.2727272727272727,0.03260869565217391,0.3333333333333333,0.3333333333333333,1.0,0.2631578947368421,0.2631578947368421,1.0,,,,,,0.16666666666666666,0.2631578947368421,,1.0,1.0,1.0,,,2.0,,,2.0,,,,0.2222222222222222,,,,,,True,,,
2294,1610612749,Charlie Bell,Charlie Bell,2294,MIL,38698.0,645,6.0,1231,1255,289,306,177.0,2486,14.0,39.0,3.0,6.0,4.0,7.0,6.0,14.0,18.0,50.0,33.0,11.0,38.0,103.0,71.0,23.0,177.0,1269,6.0,11.0,4.0,28.0,9.0,21.0,18.0,10.0,40.0,46.0,30.0,2.0,,11.0,26.0,10.0,36.0,5.0,5.0,8.0,6.0,12.0,82.0,4.0,9.0,,13.0,17.0,3.0,33.0,13.0,46.0,2.0,17.0,12.0,5.0,11.0,4.0,6.0,12.0,1.0,5.0,3.0,23.0,4.0,5.0,22.0,51,1.0,1.0,30.0,2.0,5.0,32.0,4.0,13.0,5.0,4.0,3.0,1.0,4.0,2.0,,,,40.0,289,7.0,5.0,0.6052631578947368,0.6216216216216216,0.36893203883495146,0.5454545454545454,0.42857142857142855,0.4425287356321839,0.5454545454545454,0.38461538461538464,0.47074468085106386,0.5833333333333334,0.43478260869565216,0.40804597701149425,0.10679611650485436,0.23076923076923078,0.14285714285714285,14.591977869986168,0.4782608695652174,0.08571428571428572,,0.04096385542168675,0.01867219917012448,0.1111111111111111,0.02564102564102564,0.05639097744360902,0.02037617554858934,0.0379746835443038,0.012903225806451613,0.005917159763313609,0.02727272727272727,0.021739130434782608,0.041379310344827586,0.028037383177570093,0.049079754601226995,0.125,0.06896551724137931,0.020833333333333332,0.5,0.22413793103448276,0.358974358974359,0.4666666666666667,0.5714285714285714,0.08045977011494253,0.42857142857142855,0.5,0.5,0.28735632183908044,0.36,0.36,0.6666666666666666,0.1896551724137931,0.2727272727272727,0.5,0.3333333333333333,0.1794871794871795,0.5714285714285714,0.28205128205128205,0.632183908045977,0.5227977011494251,0.5493264705882352,0.48584743589743584,0.07103825136612021,0.11607142857142858,0.15819209039548024,0.22598870056497175,10.402912621359226,24.591549295774648,0.2347684809098294,33.0,,15.0,38.0,2.0,6.0,1.0,7.0,11.0,3.0,26.0,4.0,11.0,4.0,72.0,11.0,0.9230769230769231,0.36619718309859156,0.36363636363636365,0.2222222222222222,0.36619718309859156,0.21839080459770116,0.39473684210526316,0.39473684210526316,0.9333333333333333,0.3333333333333333,0.3333333333333333,0.9090909090909091,0.2727272727272727,0.3333333333333333,1.0,0.1794871794871795,0.14285714285714285,0.2727272727272727,0.3333333333333333,,,,,,2.0,5.0,6.0,,,,,,0.22727272727272727,0.4,1.0,,,,True,,,
2557,1610612749,Luke Ridnour,Luke Ridnour,2557,MIL,32646.0,544,,1051,1075,383,452,141.0,2126,16.0,35.0,1.0,2.0,8.0,14.0,14.0,36.0,51.0,94.0,40.0,8.0,81.0,165.0,63.0,35.0,281.0,1092,7.0,11.0,,17.0,27.0,51.0,15.0,28.0,103.0,34.0,128.0,2.0,1.0,7.0,71.0,22.0,93.0,16.0,6.0,37.0,15.0,19.0,208.0,1.0,3.0,,5.0,22.0,2.0,29.0,4.0,33.0,1.0,23.0,9.0,14.0,22.0,9.0,13.0,14.0,,9.0,2.0,36.0,2.0,13.0,39.0,64,,2.0,53.0,,5.0,41.0,2.0,9.0,11.0,3.0,2.0,1.0,3.0,2.0,,,,103.0,383,6.0,11.0,0.20987654320987653,0.2125,0.4909090909090909,0.6363636363636364,0.5294117647058824,0.5394736842105263,0.5666666666666667,0.5681818181818182,0.5650406504065041,0.5666666666666667,0.6234567901234568,0.27631578947368424,0.04242424242424243,0.14285714285714285,0.05555555555555555,23.209876543209877,0.6111111111111112,0.05,,0.06896551724137931,0.007832898172323759,0.04424778761061947,0.007194244604316547,0.0625,0.007662835249042145,0.015151515151515152,,0.00625,0.00980392156862745,,0.038834951456310676,0.08974358974358974,0.07971014492753623,0.022222222222222223,0.13043478260869565,0.009174311926605505,0.6666666666666666,0.15350877192982457,0.45714285714285713,0.5333333333333333,0.25,0.15789473684210525,0.3888888888888889,0.4117647058823529,0.07142857142857142,0.41228070175438597,0.5425531914893617,0.5425531914893617,0.23529411764705882,0.17543859649122806,0.13333333333333333,0.5,,0.21212121212121213,0.5714285714285714,0.12121212121212122,0.4298245614035088,0.47162721238938055,0.45874615384615386,0.47098124999999996,0.03829787234042553,0.05232558139534884,0.060498220640569395,0.3665480427046263,12.230303030303032,25.649206349206345,0.3644148430066603,39.0,,10.0,23.0,,2.0,3.0,7.0,18.0,4.0,28.0,1.0,4.0,7.0,66.0,18.0,0.7857142857142857,0.4444444444444444,0.25,0.4666666666666667,0.45161290322580644,0.10087719298245613,0.43478260869565216,0.43478260869565216,1.0,0.45,0.45,0.6666666666666666,0.13333333333333333,,,0.10606060606060606,0.42857142857142855,0.5,0.46153846153846156,1.0,,,,,1.0,2.0,18.0,,3.0,,,,0.13333333333333333,0.5,1.0,,,,True,,,
2568,1610612749,Carlos Delfino,Carlos Delfino,2568,MIL,61446.0,1024,57.0,1869,1898,322,438,261.0,3767,40.0,73.0,8.0,12.0,5.0,11.0,10.0,31.0,35.0,80.0,107.0,29.0,85.0,184.0,167.0,46.0,399.0,1934,11.0,22.0,8.0,48.0,11.0,28.0,35.0,9.0,67.0,100.0,70.0,8.0,2.0,12.0,68.0,20.0,88.0,13.0,7.0,38.0,8.0,22.0,196.0,13.0,14.0,,33.0,103.0,16.0,152.0,27.0,179.0,5.0,37.0,24.0,13.0,29.0,8.0,19.0,23.0,1.0,10.0,6.0,52.0,5.0,6.0,27.0,54,,2.0,42.0,4.0,6.0,56.0,3.0,24.0,4.0,7.0,5.0,1.0,7.0,3.0,1.0,,1.0,67.0,322,6.0,4.0,0.5882352941176471,0.6172839506172839,0.46195652173913043,0.5,0.39285714285714285,0.5028490028490028,0.5128205128205128,0.4603174603174603,0.5291777188328912,0.5454545454545454,0.4855072463768116,0.4757834757834758,0.06521739130434782,0.0821917808219178,0.0967741935483871,19.63386727688787,0.5576923076923077,0.37209302325581395,,0.14949201741654572,0.019635343618513323,0.1813186813186813,0.047619047619047616,0.15614236509758897,0.02738336713995943,0.02040816326530612,0.027149321266968326,0.012145748987854251,0.04,0.0684931506849315,0.1210762331838565,0.15263157894736842,0.17028985507246377,0.2,0.1276595744680851,0.026881720430107527,0.42857142857142855,0.20797720797720798,0.547945205479452,0.5970149253731343,0.475,0.08831908831908832,0.3225806451612903,0.35714285714285715,0.5,0.22792022792022792,0.4375,0.45454545454545453,0.7428571428571429,0.30484330484330485,0.3076923076923077,0.6666666666666666,0.375,0.1746031746031746,0.45454545454545453,0.4603174603174603,0.6837606837606838,0.5230216332378224,0.513795588235294,0.5102836065573769,0.06702412868632708,0.11707317073170732,0.12030075187969924,0.16791979949874686,9.54184782608696,25.25389221556886,0.17228464419475656,105.0,,25.0,60.0,3.0,4.0,3.0,6.0,36.0,9.0,61.0,6.0,17.0,12.0,174.0,36.0,0.9508196721311475,0.3652694610778443,0.35294117647058826,0.34285714285714286,0.3696969696969697,0.17094017094017094,0.4166666666666667,0.43103448275862066,1.0,0.3364485981308411,0.33962264150943394,0.9166666666666666,0.10256410256410256,0.75,1.0,0.09523809523809523,0.5,0.3103448275862069,0.34285714285714286,4.0,,,1.0,0.0375,3.0,13.0,9.0,3.0,,1.0,0.017964071856287425,0.009345794392523364,0.3333333333333333,0.23076923076923078,1.0,0.005952380952380952,,0.03333333333333333,True,,,
