EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,OffTwoPtRebounds,Defensive 3 Seconds Violations,OffTwoPtReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceArc3FGM,PtsPutbacks,FTDefRebounds,SelfOReb,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,SecondChanceFtPoints,FTOffRebounds,SecondChanceTurnovers,Blocked3s,BlockedCorner3,BlockedLongMidRange,OffensiveGoaltends,ShortMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,Technical Free Throw Trips,HeaveAttempts,Clear Path Fouls,3SecondViolations,Arc3PctBlocked,on,3pt And 1 Free Throw Trips
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,14288.0,238,-26,457,460,89.0,147.0,52.0,917,10.0,15.0,1.0,2.0,8.0,19.0,22.0,38.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,10.0,1.0,1.0,3.0,40.0,72.0,6.0,13.0,29.0,127.0,511,3.0,6.0,1.0,2.0,9.0,7.0,16.0,2.0,4.0,15.0,35.0,8.0,72.0,9.0,9.0,10.0,4.0,2.0,1.0,58.0,13.0,71.0,10.0,3.0,32.0,5.0,21.0,155.0,1.0,3.0,18.0,21.0,1.0,22.0,12.0,6.0,6.0,7.0,2.0,4.0,6.0,1.0,3.0,2.0,13.0,2.0,2.0,11,2.0,1.0,35.0,2.0,32.0,3.0,7.0,1.0,9.0,1.0,1.0,1.0,35.0,89.0,2.0,8.0,0.1,0.1,0.5,0.46153846153846156,0.5,0.5,0.46153846153846156,0.5555555555555556,0.5,0.4375,0.5764705882352941,0.5625,0.5,0.6414141414141414,0.5625,0.625,0.15294117647058825,0.07692307692307693,0.027777777777777776,0.06666666666666667,0.02631578947368421,0.3333333333333333,21.538461538461537,0.5384615384615384,0.11688311688311688,0.05555555555555555,0.023809523809523808,0.10096153846153846,0.004484304932735426,0.030303030303030304,0.09433962264150944,0.05,0.18032786885245902,0.047619047619047616,0.08333333333333333,0.17647058823529413,0.6666666666666666,0.7142857142857143,0.1,0.2235294117647059,0.42105263157894735,0.42105263157894735,0.4470588235294118,0.5789473684210527,0.5945945945945946,0.13636363636363635,0.03529411764705882,0.6666666666666666,1.0,1.0,0.11764705882352941,0.4,0.4,0.25,0.125,0.125,1.0,1.0,0.125,0.1,0.05,1.0,0.15,0.3333333333333333,0.32941176470588235,0.4,0.45752000000000004,0.4307375,0.4256525,0.08888888888888889,0.09210526315789473,0.07142857142857142,0.07086614173228346,0.2755905511811024,12.161111111111113,25.03846153846154,0.19474835886214442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1752,1610612740,Sean Marks,Sean Marks,1752,NOH,1400.0,23,-1,49,50,10.0,7.0,4.0,99,2.0,2.0,,,,,,1.0,,,,,,,,,,,,2.0,3.0,,,1.0,5.0,55,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,3.0,5,1.0,,2.0,,3.0,1.0,2.0,,,,,,,10.0,,,1.0,1.0,,,,,,0.6666666666666666,,,0.6666666666666666,,,0.625,,,,,,,,,7.547169811320754,,,0.09090909090909091,,0.05,0.05263157894736842,,,,,0.14285714285714285,,0.6666666666666666,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.5279333333333334,,,0.5,0.5,,,,7.733333333333333,,0.20408163265306123,1.0,1.0,0.07142857142857142,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1899,1610612740,James Posey,James Posey,1899,NOH,24624.0,410,48,807,809,168.0,243.0,73.0,1616,11.0,18.0,4.0,2.0,4.0,6.0,1.0,5.0,3.0,12.0,,,,3.0,20.0,46.0,3.0,3.0,8.0,16.0,29.0,23.0,58.0,11.0,112.0,870,3.0,4.0,1.0,3.0,9.0,2.0,4.0,3.0,11.0,6.0,19.0,10.0,22.0,63.0,6.0,46.0,20.0,1.0,,29.0,7.0,36.0,5.0,2.0,15.0,7.0,7.0,79.0,,20.0,51.0,85.0,5.0,90.0,16.0,9.0,7.0,7.0,1.0,6.0,5.0,1.0,1.0,1.0,12.0,3.0,29.0,53,6.0,1.0,30.0,6.0,13.0,1.0,3.0,,4.0,7.0,6.0,7.0,19.0,168.0,7.0,4.0,0.3125,0.35714285714285715,0.9130434782608695,0.39655172413793105,0.3333333333333333,0.2727272727272727,0.39655172413793105,0.5517241379310345,0.75,0.5,0.5804597701149425,0.6428571428571429,0.43333333333333335,0.6021505376344086,0.6428571428571429,0.5,0.6666666666666666,,0.034482758620689655,0.05555555555555555,,,11.731843575418996,0.5833333333333334,0.20901639344262296,0.19607843137254902,,0.20520231213872833,0.015151515151515152,,0.22972972972972974,0.22058823529411764,0.18627450980392157,0.23529411764705882,0.11764705882352941,0.20689655172413793,0.6111111111111112,0.6470588235294118,0.36363636363636365,0.06896551724137931,0.6666666666666666,0.6666666666666666,0.05747126436781609,0.2,0.2,,0.13793103448275862,0.25,0.25,1.0,0.5287356321839081,0.43478260869565216,0.43478260869565216,0.9,0.5714285714285714,,,,0.42857142857142855,0.13333333333333333,0.2,,0.5333333333333333,0.375,0.8735632183908046,0.43478260869565216,0.5380528735632184,0.5796916666666667,0.5471533333333333,0.033707865168539325,0.0967741935483871,,0.08035714285714286,0.16964285714285715,4.579310344827586,24.924137931034473,0.20817843866171004,5.0,2.0,0.01968503937007874,0.009900990099009901,3.0,1.0,1.0,4.0,14.0,3.0,1.0,3.0,1.0,3.0,1.0,0.45161290322580644,0.033707865168539325,0.015625,0.06382978723404255,0.42857142857142855,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,0.5,,,,,,,,,,,,,,,,True,
201153,1610612740,Julian Wright,Julian Wright,201153,NOH,52240.0,871,-22,1715,1714,357.0,509.0,183.0,3429,84.0,125.0,35.0,32.0,13.0,42.0,17.0,59.0,1.0,1.0,,,,,1.0,5.0,1.0,,1.0,114.0,226.0,2.0,6.0,25.0,259.0,1862,23.0,46.0,,1.0,49.0,27.0,47.0,,1.0,8.0,62.0,142.0,86.0,6.0,,5.0,1.0,12.0,,36.0,5.0,41.0,2.0,3.0,19.0,4.0,13.0,87.0,11.0,23.0,57.0,86.0,58.0,144.0,29.0,17.0,12.0,25.0,7.0,13.0,19.0,2.0,12.0,4.0,44.0,11.0,31.0,45,2.0,2.0,33.0,4.0,41.0,3.0,17.0,,5.0,17.0,14.0,18.0,62.0,357.0,4.0,5.0,0.6228070175438597,0.7553191489361702,1.0,0.3333333333333333,,,0.3333333333333333,0.504424778761062,0.5,0.574468085106383,0.5043103448275862,0.48936170212765956,0.5625,0.5159362549800797,0.4803921568627451,0.5636363636363636,0.02586206896551724,,0.05309734513274336,0.08,0.01694915254237288,,15.24547803617571,0.5681818181818182,0.10575139146567718,0.1111111111111111,0.06626506024096386,0.10723860589812333,0.07207207207207207,0.07633587786259542,0.08571428571428572,0.08633093525179857,0.13333333333333333,0.12179487179487179,0.0784313725490196,0.5387931034482759,0.672,0.7304347826086957,0.6547619047619048,0.1810344827586207,0.30952380952380953,0.3170731707317073,0.2543103448275862,0.288135593220339,0.29310344827586204,0.7647058823529411,0.004310344827586207,1.0,1.0,1.0,0.021551724137931036,0.2,0.2,1.0,0.7446808510638298,,,,0.02127659574468085,0.6666666666666666,,,0.020833333333333332,,0.5646551724137931,0.2,0.5218711206896552,0.5443692307692307,0.553946875,0.06910569105691057,0.07083333333333333,,0.1891891891891892,0.23938223938223938,6.447787610619468,24.683333333333334,0.20816326530612245,45.0,,0.07364975450081833,0.04819277108433735,19.0,24.0,,40.0,6.0,7.0,1.0,2.0,1.0,14.0,1.0,0.1016949152542373,0.0979381443298969,0.08333333333333333,0.0673076923076923,0.7777777777777778,0.23076923076923078,0.5428571428571428,,,,0.75,3.0,2.0,3.0,1.0,1.0,2.0,1.0,0.023809523809523808,0.06060606060606061,0.02857142857142857,,,,,,True,
201977,1610612740,Marcus Thornton,Marcus Thornton,201977,NOH,25775.0,430,47,855,855,164.0,283.0,95.0,1710,47.0,81.0,16.0,17.0,14.0,31.0,17.0,47.0,9.0,13.0,,1.0,3.0,3.0,25.0,61.0,2.0,2.0,14.0,78.0,159.0,34.0,74.0,43.0,301.0,878,12.0,22.0,,3.0,26.0,14.0,27.0,5.0,17.0,7.0,50.0,88.0,68.0,78.0,24.0,61.0,25.0,11.0,,26.0,5.0,31.0,4.0,1.0,17.0,5.0,4.0,67.0,2.0,9.0,27.0,36.0,14.0,50.0,16.0,13.0,3.0,12.0,4.0,6.0,12.0,2.0,6.0,1.0,24.0,,11.0,26,,4.0,41.0,1.0,51.0,9.0,26.0,,3.0,4.0,3.0,4.0,50.0,164.0,2.0,1.0,0.5641025641025641,0.6111111111111112,0.7647058823529411,0.4594594594594595,,0.29411764705882354,0.4594594594594595,0.49056603773584906,0.5454545454545454,0.5185185185185185,0.5536480686695279,0.48,0.48863636363636365,0.5909090909090909,0.48148148148148145,0.5102040816326531,0.31759656652360513,,0.06918238993710692,0.09876543209876543,,,28.556701030927837,0.5,0.09747292418772563,0.09278350515463918,0.021739130434782608,0.0962566844919786,0.03626943005181347,0.02666666666666667,0.10843373493975904,0.08450704225352113,0.0975609756097561,0.07142857142857142,0.14814814814814814,0.34763948497854075,0.5802469135802469,0.6438356164383562,0.574468085106383,0.13304721030042918,0.45161290322580644,0.5,0.2017167381974249,0.3617021276595745,0.3617021276595745,0.7058823529411765,0.055793991416309016,0.6923076923076923,0.6923076923076923,0.8888888888888888,0.26180257510729615,0.4098360655737705,0.4098360655737705,0.72,0.64,0.04,,,0.08,0.38636363636363635,0.06818181818181818,1.0,0.3181818181818182,0.14285714285714285,0.6652360515021459,0.4098360655737705,0.5227931330472101,0.5317068181818182,0.5140125,0.104,0.14772727272727273,,0.08637873754152824,0.16611295681063123,7.39056603773585,25.15675675675676,0.19181286549707602,12.0,3.0,0.04081632653061224,0.02608695652173913,8.0,10.0,,12.0,,1.0,,1.0,1.0,2.0,,,0.05,0.05063291139240506,0.009259259259259259,0.5,0.35714285714285715,0.5,0.125,,,0.5882352941176471,2.0,,,,,,,0.0967741935483871,,,2.0,,,,,True,
200756,1610612740,Hilton Armstrong,Hilton Armstrong,200756,NOH,3313.0,55,24,114,115,55.0,60.0,12.0,229,5.0,7.0,3.0,2.0,3.0,5.0,1.0,3.0,,,,,,,,,,,,9.0,15.0,,,5.0,23.0,103,1.0,3.0,,,2.0,5.0,6.0,,,5.0,15.0,14.0,4.0,,,,,,,1.0,2.0,3.0,2.0,,1.0,,,8.0,,1.0,7.0,8.0,4.0,12.0,3.0,3.0,,,,,2.0,,,,2.0,2.0,5.0,12,1.0,2.0,3.0,,6.0,,1.0,,2.0,2.0,,2.0,15.0,55.0,3.0,2.0,0.7777777777777778,0.875,,,,,,0.6,0.3333333333333333,0.8333333333333334,0.6,0.3333333333333333,0.8333333333333334,0.6388888888888888,0.3333333333333333,0.8333333333333334,,,,,,,15.873015873015873,,0.2,0.1,,0.17777777777777778,0.08888888888888889,,0.1,0.375,0.17647058823529413,,0.3333333333333333,0.4666666666666667,0.7142857142857143,0.7142857142857143,0.8,0.3333333333333333,0.6,0.6,0.2,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,1.0,,,,,0.3333333333333333,,,,,0.4666666666666667,,0.4877266666666667,0.6274000000000001,0.44995,0.0625,0.0625,,0.08695652173913043,0.6521739130434783,6.653333333333333,,0.4824561403508772,4.0,,0.11428571428571428,0.11764705882352941,1.0,2.0,,2.0,,,,1.0,1.0,2.0,1.0,,0.1111111111111111,0.1111111111111111,,1.0,0.6666666666666666,0.3333333333333333,,,,1.0,,,,,,1.0,,,,,,,,,,True,
201954,1610612740,Darren Collison,Darren Collison,201954,NOH,31784.0,530,2,1055,1056,227.0,315.0,107.0,2111,42.0,71.0,3.0,21.0,14.0,35.0,43.0,77.0,,3.0,,,,2.0,11.0,28.0,,2.0,8.0,99.0,183.0,11.0,31.0,39.0,270.0,1126,4.0,6.0,,,10.0,33.0,49.0,2.0,10.0,11.0,83.0,38.0,160.0,18.0,15.0,27.0,11.0,15.0,,91.0,29.0,120.0,24.0,5.0,55.0,9.0,27.0,269.0,1.0,18.0,26.0,45.0,6.0,51.0,19.0,13.0,6.0,26.0,6.0,17.0,15.0,2.0,9.0,3.0,41.0,8.0,7.0,21,2.0,1.0,46.0,1.0,47.0,9.0,25.0,,3.0,1.0,1.0,1.0,83.0,227.0,4.0,2.0,0.1919191919191919,0.19387755102040816,0.5454545454545454,0.3548387096774194,,0.2,0.36666666666666664,0.5409836065573771,0.6666666666666666,0.673469387755102,0.5397196261682243,0.6666666666666666,0.6101694915254238,0.5793991416309013,0.7142857142857143,0.6384615384615384,0.14485981308411214,,0.08196721311475409,0.19718309859154928,0.012987012987012988,,23.240033927056828,0.6341463414634146,0.08333333333333333,0.1323529411764706,0.010101010101010102,0.09821428571428571,0.01293103448275862,0.013157894736842105,0.07920792079207921,0.03614457831325301,0.1171875,0.11458333333333333,0.175,0.3317757009345794,0.5915492957746479,0.7368421052631579,0.3333333333333333,0.16355140186915887,0.4,0.4,0.3598130841121495,0.5584415584415584,0.5657894736842105,0.09302325581395349,0.014018691588785047,,,,0.1308411214953271,0.39285714285714285,0.39285714285714285,0.5454545454545454,0.5,,,,,0.3559322033898305,0.03389830508474576,,0.13559322033898305,0.25,0.4766355140186916,0.4074074074074074,0.5013070754716982,0.5173666666666666,0.5111686440677966,0.10869565217391304,0.12562814070351758,,0.037037037037037035,0.3074074074074074,9.511475409836065,26.974193548387095,0.21516587677725119,5.0,,0.0136986301369863,0.006622516556291391,2.0,16.0,,2.0,1.0,1.0,2.0,1.0,,1.0,,0.02564102564102564,0.024793388429752067,0.010752688172043012,0.011904761904761904,1.0,0.07142857142857142,0.6666666666666666,,,,0.7619047619047619,2.0,,2.0,,,,,,,,,1.0,,,,True,
201189,1610612740,Aaron Gray,Aaron Gray,201189,NOH,7321.0,122,6,239,239,54.0,93.0,29.0,478,7.0,17.0,8.0,4.0,4.0,10.0,,2.0,,,,,,,,,,,,11.0,29.0,,,6.0,28.0,249,5.0,11.0,,,10.0,4.0,8.0,,,2.0,10.0,4.0,18.0,,,,,2.0,,11.0,1.0,12.0,1.0,,7.0,2.0,2.0,25.0,5.0,5.0,15.0,25.0,16.0,41.0,6.0,5.0,1.0,5.0,2.0,3.0,2.0,,2.0,,7.0,3.0,11.0,21,1.0,,7.0,2.0,8.0,,4.0,,,5.0,3.0,5.0,10.0,54.0,1.0,,0.18181818181818182,0.2857142857142857,,,,,,0.3793103448275862,0.45454545454545453,0.5,0.3793103448275862,0.45454545454545453,0.5,0.42424242424242425,0.45454545454545453,0.5555555555555556,,,0.06896551724137931,0.11764705882352941,,,14.492753623188406,0.7142857142857143,0.19230769230769232,0.2,0.35714285714285715,0.1941747572815534,0.13636363636363635,0.45454545454545453,0.15,0.22727272727272727,0.19444444444444445,0.25,,0.5862068965517241,0.4117647058823529,0.4666666666666667,0.2857142857142857,0.3448275862068966,0.4,0.4,0.06896551724137931,,,,,,,,,,,,0.7272727272727273,,,,,0.5,,,,,0.5862068965517241,,0.5025172413793103,0.5425285714285715,0.48087499999999994,0.12121212121212122,0.12121212121212122,,0.35714285714285715,0.35714285714285715,3.6724137931034484,,0.22594142259414227,10.0,,0.10416666666666667,0.1388888888888889,5.0,2.0,,8.0,5.0,2.0,,,2.0,2.0,,0.5,0.0967741935483871,0.06896551724137931,0.125,0.4,,0.625,0.2,,,0.5,,1.0,2.0,,,,,,0.14285714285714285,,,,,,,True,
2443,1610612740,Darius Songaila,Darius Songaila,2443,NOH,21189.0,353,51,706,705,179.0,222.0,70.0,1411,21.0,33.0,14.0,6.0,10.0,21.0,22.0,66.0,,,,,,,,1.0,1.0,,,53.0,120.0,,1.0,13.0,119.0,710,9.0,14.0,,1.0,24.0,10.0,22.0,,,5.0,25.0,88.0,18.0,,,1.0,,5.0,1.0,21.0,5.0,26.0,4.0,1.0,19.0,2.0,,57.0,4.0,14.0,38.0,54.0,15.0,69.0,20.0,9.0,11.0,10.0,7.0,9.0,16.0,1.0,1.0,3.0,26.0,5.0,27.0,55,5.0,3.0,22.0,2.0,17.0,3.0,8.0,,2.0,4.0,3.0,4.0,25.0,179.0,4.0,2.0,0.8301886792452831,0.8979591836734694,,,,,,0.44166666666666665,0.6428571428571429,0.45454545454545453,0.4380165289256198,0.6,0.45454545454545453,0.46484375,0.6666666666666666,0.5,0.008264462809917356,1.0,0.041666666666666664,0.12121212121212122,,,19.444444444444443,0.38461538461538464,0.18181818181818182,0.2,0.06451612903225806,0.1863799283154122,0.046052631578947366,0.057692307692307696,0.18461538461538463,0.2,0.16666666666666666,0.19148936170212766,0.21739130434782608,0.2727272727272727,0.6363636363636364,0.7241379310344828,0.6190476190476191,0.17355371900826447,0.47619047619047616,0.5,0.5454545454545454,0.3333333333333333,0.3333333333333333,1.0,,,,,0.008264462809917356,,,,0.9333333333333333,,,,0.06666666666666667,0.2727272727272727,,,,,0.2809917355371901,,0.45147892561983477,0.5464045454545454,0.4364500000000001,0.06349206349206349,0.064,,0.20168067226890757,0.21008403361344538,12.411666666666665,25.7,0.2535410764872521,10.0,,0.04132231404958678,0.00980392156862745,9.0,4.0,,8.0,2.0,1.0,,5.0,,1.0,,0.08695652173913043,0.06818181818181818,0.057692307692307696,0.01639344262295082,0.25,0.9,0.6428571428571429,0.3333333333333333,,,0.6666666666666666,6.0,1.0,1.0,,,1.0,,0.047619047619047616,0.09090909090909091,0.1,,,1.0,1.0,1.0,True,
201628,1610612740,Bobby Brown,Bobby Brown,201628,NOH,4055.0,68,18,133,139,51.0,71.0,15.0,272,8.0,8.0,,4.0,,3.0,6.0,13.0,,,,,,,4.0,11.0,,,3.0,14.0,24.0,4.0,11.0,2.0,42.0,144,1.0,1.0,,,2.0,5.0,7.0,,3.0,,10.0,8.0,20.0,9.0,3.0,10.0,4.0,1.0,,6.0,2.0,8.0,1.0,1.0,4.0,,2.0,18.0,,,2.0,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,,5,,,4.0,1.0,2.0,,,,1.0,1.0,1.0,1.0,10.0,51.0,2.0,,0.2857142857142857,0.2857142857142857,0.75,0.36363636363636365,,,0.4,0.5833333333333334,1.0,0.7142857142857143,0.5714285714285714,1.0,0.5,0.5833333333333334,1.0,0.5,0.3142857142857143,,0.041666666666666664,,,,24.503311258278146,0.5,0.041666666666666664,,,0.03333333333333333,,,,,0.07407407407407407,,,0.22857142857142856,1.0,1.0,0.5,0.08571428571428572,,,0.37142857142857144,0.46153846153846156,0.46153846153846156,,,,,,0.3142857142857143,0.36363636363636365,0.36363636363636365,0.75,,,,,,0.4,,,0.3,,0.5428571428571428,0.4,0.5222,0.43,0.5902555555555556,,,,0.047619047619047616,0.23809523809523808,12.004166666666668,29.54545454545454,0.38345864661654133,,,,,,4.0,,,1.0,,,,,,,0.1,,,,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,1.0,,,,True,
