EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,DefPoss,PenaltyDefPoss,TotalPoss,on,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,Offensive Fouls,Blocked3s,BlockedCorner3,BlockedShortMidRange,OffAtRimReboundPct,OffCorner3ReboundPct,Fg3aBlocked,SelfOReb,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedArc3,BlockedLongMidRange,OffensiveGoaltends,Defensive 3 Seconds Violations,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SelfORebPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,DefensiveGoaltends,3SecondViolations,3pt And 1 Free Throw Trips
1729,1610612746,Ricky Davis,Ricky Davis,1729,LAC,3.0,1,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200776,1610612746,Mardy Collins,Mardy Collins,200776,LAC,3.0,1,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201191,1610612746,JamesOn Curry,JamesOn Curry,201191,LAC,3.0,1,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,1610612746,Rasual Butler,Rasual Butler,2446,LAC,3.0,1,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,1610612746,Marcus Camby,Marcus Camby,948,LAC,3.0,1,1,1,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1729,1610612746,Ricky Davis,Ricky Davis,1729,LAC,29924.0,958,352,1906,False,499.0,-120.0,948.0,235.0,119.0,5.0,10.0,1.0,2.0,2.0,5.0,3.0,10.0,38.0,81.0,6.0,16.0,1.0,1.0,1.0,5.0,10.0,26.0,4.0,5.0,2.0,11.0,46.0,101.0,16.0,42.0,18.0,158.0,1071.0,3.0,9.0,5.0,6.0,21.0,13.0,25.0,3.0,16.0,5.0,40.0,54.0,38.0,42.0,6.0,2.0,1.0,25.0,10.0,2.0,32.0,7.0,39.0,3.0,4.0,18.0,3.0,11.0,85.0,4.0,5.0,1.0,16.0,26.0,5.0,47.0,10.0,57.0,11.0,7.0,4.0,21.0,4.0,15.0,8.0,2.0,6.0,1.0,1.0,29.0,3.0,2.0,19.0,39.0,1.0,3.0,25.0,1.0,3.0,31.0,1.0,12.0,4.0,3.0,3.0,3.0,2.0,40.0,235.0,4.0,3.0,0.5869565217391305,0.6,0.875,0.38095238095238093,0.8333333333333334,0.1875,0.3902439024390244,0.45544554455445546,0.3333333333333333,0.52,0.48951048951048953,0.7,0.4268292682926829,0.5,0.7,0.4444444444444444,0.2937062937062937,0.019801980198019802,0.1,0.1,17.36304549675023,0.7241379310344828,0.15625,0.02564102564102564,0.09154929577464789,0.01529051987767584,0.12403100775193798,0.038834951456310676,0.1016949152542373,0.020930232558139535,0.015151515151515152,0.024691358024691357,0.05333333333333334,0.1,0.08695652173913043,0.088,0.13541666666666666,0.09090909090909091,0.6666666666666666,0.06993006993006994,0.5,0.5555555555555556,0.6,0.06993006993006994,0.3,0.3333333333333333,0.3333333333333333,0.5664335664335665,0.4691358024691358,0.4691358024691358,0.6052631578947368,0.11188811188811189,0.375,0.375,1.0,0.18181818181818182,0.38461538461538464,0.38461538461538464,0.8,0.13333333333333333,0.5,0.06666666666666667,1.0,1.0,0.3333333333333333,0.8,0.75,0.12195121951219512,0.4,0.12195121951219512,0.2,0.2682926829268293,0.18181818181818182,0.36363636363636365,0.4,0.4678014184397163,0.5381954545454545,0.47693846153846153,0.07792207792207792,0.10714285714285714,0.13291139240506328,0.25316455696202533,16.50891089108911,25.730952380952377,0.2478902953586498,,,,,,,,,,,,,,,,,,,,,,,,,
1730,1610612746,Brian Skinner,Brian Skinner,1730,LAC,7397.0,231,85,452,False,123.0,-42.0,221.0,66.0,35.0,4.0,11.0,2.0,5.0,2.0,4.0,4.0,7.0,2.0,7.0,,,,,,,,,,,,,10.0,25.0,,,6.0,26.0,263.0,3.0,8.0,,,8.0,5.0,11.0,,,,10.0,14.0,6.0,,,4.0,,,,1.0,,,,,,,,,,1.0,8.0,,4.0,13.0,1.0,18.0,9.0,27.0,3.0,2.0,1.0,2.0,,1.0,5.0,,1.0,,,7.0,1.0,1.0,11.0,20.0,,3.0,9.0,1.0,1.0,8.0,,4.0,,3.0,2.0,4.0,2.0,10.0,66.0,1.0,,0.7,0.875,,,,,,0.4,0.375,0.45454545454545453,0.4,0.375,0.45454545454545453,0.4482758620689655,0.4444444444444444,0.45454545454545453,,0.04,,0.14285714285714285,13.740458015267174,0.2857142857142857,0.2,,0.18309859154929578,0.0898876404494382,0.17391304347826086,0.04,0.18085106382978725,0.07894736842105263,0.058823529411764705,0.15384615384615385,,0.11764705882352941,0.17391304347826086,0.22580645161290322,0.14285714285714285,0.2222222222222222,0.5,0.44,0.36363636363636365,0.36363636363636365,0.5,0.28,0.5714285714285714,0.6666666666666666,0.75,0.28,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,,0.625,0.4,,,,,,,0.36363636363636365,0.5,,,,,0.44,,0.4682680000000001,0.49107142857142855,0.4681272727272727,0.13793103448275862,0.13793103448275862,0.3076923076923077,0.38461538461538464,7.372000000000001,,0.2986425339366516,2.0,4.0,1.0,1.0,1.0,0.030303030303030304,0.16666666666666666,,,,,,,,,,,,,,,,,,
1884,1610612746,Baron Davis,Baron Davis,1884,LAC,151372.0,4897,1157,9822,False,2523.0,-192.0,4925.0,1292.0,601.0,191.0,345.0,12.0,23.0,48.0,90.0,51.0,134.0,88.0,240.0,7.0,33.0,1.0,4.0,4.0,15.0,75.0,263.0,7.0,12.0,22.0,97.0,330.0,719.0,82.0,296.0,239.0,1145.0,5370.0,18.0,38.0,8.0,16.0,77.0,77.0,179.0,26.0,112.0,124.0,356.0,124.0,536.0,99.0,147.0,12.0,6.0,257.0,75.0,56.0,488.0,110.0,598.0,78.0,32.0,274.0,86.0,128.0,1306.0,10.0,40.0,2.0,56.0,153.0,5.0,214.0,52.0,266.0,126.0,69.0,57.0,132.0,35.0,97.0,79.0,9.0,35.0,4.0,7.0,211.0,6.0,53.0,105.0,210.0,,5.0,248.0,3.0,19.0,291.0,26.0,105.0,43.0,39.0,27.0,43.0,21.0,356.0,1292.0,18.0,41.0,0.18787878787878787,0.19135802469135801,0.4024390243902439,0.27702702702702703,0.5,0.23214285714285715,0.2827586206896552,0.45897079276773295,0.47368421052631576,0.4301675977653631,0.4463054187192118,0.5555555555555556,0.39862542955326463,0.4982456140350877,0.6111111111111112,0.48756906077348067,0.2916256157635468,0.07788595271210014,0.1246376811594203,0.07462686567164178,24.017078811599358,0.6255924170616114,0.03597122302158273,0.013071895424836602,0.08717948717948718,0.024009603841536616,0.10144927536231885,0.01697792869269949,0.0905938448201127,0.022172949002217297,0.028503562945368172,0.007874015748031496,0.013071895424836602,0.0829103214890017,0.06595744680851064,0.10518731988472622,0.10377358490566038,0.09375,0.4883720930232558,0.3399014778325123,0.553623188405797,0.6324503311258278,0.2617801047120419,0.13201970443349753,0.3805970149253731,0.4112903225806452,0.0196078431372549,0.23645320197044334,0.36666666666666664,0.37130801687763715,0.125,0.03251231527093596,0.21212121212121213,0.21875,0.42857142857142855,0.25911330049261083,0.28517110266159695,0.2862595419847328,0.4,0.42592592592592593,0.5217391304347826,0.07407407407407407,0.25,,0.2222222222222222,0.5833333333333334,0.7142857142857143,0.30927835051546393,0.5333333333333333,0.05154639175257732,0.26666666666666666,0.3333333333333333,0.2268041237113402,0.6315270935960591,0.2918287937743191,0.5073375868917578,0.5182722222222222,0.4846698245614035,0.09845031905195989,0.13157894736842105,0.06724890829694323,0.3109170305676856,7.9413073713490965,26.170608108108112,0.2623350253807107,17.0,16.0,4.0,,6.0,0.03770491803278689,0.03076923076923077,2.0,18.0,14.0,3.0,4.0,6.0,1.0,2.0,0.006756756756756757,0.0125,0.030303030303030304,0.0038022813688212928,0.03441682600382409,0.08333333333333333,0.010033444816053512,,,
201154,1610612746,Al Thornton,Al Thornton,201154,LAC,84319.0,2639,596,5299,False,1405.0,-173.0,2660.0,674.0,346.0,118.0,187.0,34.0,52.0,34.0,51.0,36.0,83.0,61.0,176.0,1.0,2.0,,,,,4.0,12.0,,,,3.0,215.0,446.0,5.0,14.0,103.0,548.0,2916.0,45.0,74.0,,,97.0,53.0,106.0,,3.0,43.0,149.0,274.0,156.0,15.0,,46.0,1.0,11.0,4.0,33.0,40.0,21.0,61.0,14.0,7.0,16.0,11.0,13.0,143.0,11.0,67.0,7.0,20.0,79.0,8.0,107.0,85.0,192.0,25.0,16.0,9.0,24.0,5.0,16.0,43.0,2.0,8.0,6.0,9.0,67.0,11.0,16.0,65.0,144.0,,7.0,140.0,7.0,8.0,138.0,17.0,56.0,20.0,21.0,16.0,22.0,12.0,149.0,674.0,13.0,17.0,0.6372093023255814,0.7135416666666666,1.0,0.35714285714285715,,,0.38461538461538464,0.4820627802690583,0.6081081081081081,0.5,0.483695652173913,0.6081081081081081,0.48623853211009177,0.5269230769230769,0.6298701298701299,0.5437956204379562,0.030434782608695653,0.07399103139013453,0.12834224598930483,0.07228915662650602,19.086460032626427,0.3582089552238806,0.10666666666666667,0.07216494845360824,0.08777777777777777,0.06767676767676768,0.066006600660066,0.043824701195219126,0.08229426433915212,0.06285253827558421,0.07373271889400922,0.0467706013363029,0.033816425120772944,0.07168458781362007,0.08171206225680934,0.1043956043956044,0.07083333333333333,0.047619047619047616,0.5454545454545454,0.40652173913043477,0.6310160427807486,0.7239263803680982,0.6779661016949152,0.18043478260869567,0.43373493975903615,0.4675324675324675,0.3888888888888889,0.3826086956521739,0.3465909090909091,0.35260115606936415,0.7049180327868853,0.004347826086956522,0.5,0.5,1.0,0.02608695652173913,0.3333333333333333,0.3333333333333333,1.0,0.7027027027027027,0.6538461538461539,,,,,,,0.46788990825688076,0.6666666666666666,,,0.027522935779816515,,0.4369565217391304,0.36363636363636365,0.4853988017429195,0.5239265625000001,0.48992777777777785,0.114,0.1154639175257732,0.177007299270073,0.2718978102189781,9.102242152466367,27.54285714285714,0.25338345864661654,7.0,17.0,1.0,,5.0,0.09259259259259259,0.09090909090909091,,9.0,1.0,1.0,1.0,,,1.0,,0.017045454545454544,,,0.04411764705882353,0.20588235294117646,0.06666666666666667,3.0,,
201569,1610612746,Eric Gordon,Eric Gordon,201569,LAC,133743.0,4330,1041,8666,False,2229.0,-231.0,4336.0,1037.0,512.0,167.0,280.0,12.0,20.0,37.0,61.0,24.0,64.0,42.0,119.0,13.0,32.0,,1.0,,8.0,106.0,289.0,9.0,25.0,22.0,64.0,233.0,463.0,119.0,321.0,222.0,1045.0,4822.0,16.0,35.0,9.0,26.0,73.0,50.0,97.0,22.0,72.0,78.0,244.0,246.0,220.0,321.0,36.0,10.0,3.0,286.0,106.0,51.0,157.0,29.0,186.0,13.0,16.0,87.0,23.0,47.0,401.0,8.0,17.0,,39.0,88.0,8.0,135.0,25.0,160.0,69.0,35.0,34.0,93.0,17.0,64.0,51.0,8.0,29.0,2.0,9.0,144.0,3.0,30.0,43.0,96.0,1.0,3.0,237.0,2.0,10.0,299.0,38.0,144.0,22.0,9.0,4.0,14.0,8.0,244.0,1037.0,9.0,19.0,0.5278969957081545,0.5394736842105263,0.8991596638655462,0.3707165109034268,0.34615384615384615,0.3055555555555556,0.3742138364779874,0.5032397408207343,0.45714285714285713,0.5154639175257731,0.5248724489795918,0.48360655737704916,0.4911242603550296,0.5707236842105263,0.5289855072463768,0.5700934579439252,0.4094387755102041,0.1101511879049676,0.16071428571428573,0.078125,21.374974650172376,0.6458333333333334,0.057971014492753624,,0.05778069599474721,0.011879804332634521,0.081419624217119,0.014925373134328358,0.06343656343656344,0.012709710218607015,0.0056179775280898875,0.0075046904315197,0.0117096018735363,0.05037313432835821,0.04523809523809524,0.07407407407407407,0.04891304347826087,0.1891891891891892,0.5714285714285714,0.35714285714285715,0.5964285714285714,0.7106382978723405,0.5568862275449101,0.08163265306122448,0.375,0.4067796610169492,0.4583333333333333,0.15178571428571427,0.35294117647058826,0.3559322033898305,0.4523809523809524,0.04081632653061224,0.40625,0.40625,0.8461538461538461,0.36862244897959184,0.36678200692041524,0.3680555555555556,0.9056603773584906,0.32786885245901637,0.6,0.01639344262295082,,,0.4098360655737705,0.36,1.0,0.3609467455621302,0.6065573770491803,0.047337278106508875,,0.378698224852071,0.34375,0.7665816326530612,0.3706293706293706,0.5403035897435895,0.521987777777778,0.5328093373493978,0.16179775280898875,0.2530755711775044,0.06985645933014355,0.23349282296650717,6.129805615550755,26.007165109034265,0.23916051660516605,14.0,11.0,5.0,4.0,2.0,0.02029520295202952,0.027522935779816515,1.0,7.0,5.0,,1.0,3.0,,1.0,0.003115264797507788,0.008403361344537815,,0.0034602076124567475,0.01891891891891892,0.16666666666666666,,,,
