EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallTurnovers,Loose Ball Fouls,BlockedShortMidRange,DefensiveGoaltends,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,OffFTReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,HeaveAttempts,SecondChanceArc3Accuracy,LongMidRangePctBlocked,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,on,OffensiveGoaltends,Clear Path Fouls,BlockedArc3,Corner3PctBlocked,HeaveMakes
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,7329.0,122,2,226,227,45,41,32,453,14,21,4.0,10,3.0,4.0,7.0,20.0,1,1,22,42,9.0,53,244,5,14,4.0,14,3,7,4.0,10,18,26.0,4.0,6.0,5,4.0,9,3.0,1.0,2,1.0,2,22,3.0,12.0,6,14,3.0,23,15,38,1.0,2,1,1.0,1,1.0,4.0,1.0,5,1.0,2.0,2,10,1.0,13,2.0,10.0,2.0,5.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,1.0,10,45,4.0,1.0,0.4090909090909091,0.45,0.5238095238095238,0.35714285714285715,0.42857142857142855,0.5238095238095238,0.35714285714285715,0.42857142857142855,0.5760869565217391,0.4375,0.5555555555555556,0.14285714285714285,0.14285714285714285,0.15,18.75,0.2,0.5,0.17073170731707318,0.12,0.2222222222222222,0.1111111111111111,0.1834862385321101,0.11811023622047244,0.12903225806451613,0.15384615384615385,0.09302325581395349,0.13043478260869565,0.17391304347826086,0.11538461538461539,0.21212121212121213,0.2857142857142857,0.07692307692307693,0.5,0.5,0.6666666666666666,0.7777777777777778,0.5,0.47619047619047616,0.35,0.4117647058823529,0.14285714285714285,0.023809523809523808,1.0,1.0,1.0,0.7142857142857143,0.4,0.5,0.5714285714285714,0.75,0.5,0.486697619047619,0.5127583333333333,0.48254285714285716,0.1111111111111111,0.1111111111111111,0.2641509433962264,0.18867924528301888,4.4261904761904765,0.19911504424778761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,7299.0,122,-13,227,228,96,83,34,455,8,13,2.0,3,2.0,5.0,1.0,4.0,2,8,11,25,9.0,37,247,2,4,2.0,6,3,13,2.0,11,14,8.0,4.0,2.0,9,2.0,11,1.0,1.0,7,1.0,1,24,1.0,5.0,8,11,4.0,23,7,30,1.0,7,4,3.0,5,3.0,3.0,1.0,8,1.0,4.0,3,10,,9,2.0,11.0,1.0,5.0,1.0,4.0,3.0,,4.0,2.0,1.0,1.0,11,96,2.0,1.0,0.6363636363636364,0.7777777777777778,0.44,0.5,0.23076923076923078,0.4117647058823529,0.4,0.2647058823529412,0.47435897435897434,0.42857142857142855,0.3055555555555556,0.08,0.07692307692307693,0.25,17.938931297709924,0.625,0.4,0.18333333333333332,0.05319148936170213,0.17391304347826086,0.04,0.1792452830188679,0.05042016806722689,0.037037037037037035,0.0967741935483871,0.027777777777777776,,0.08695652173913043,0.16666666666666666,0.3157894736842105,0.1875,0.05263157894736842,0.5,0.38235294117647056,0.6153846153846154,0.6666666666666666,0.625,0.11764705882352941,0.25,0.3333333333333333,1.0,0.23529411764705882,0.25,0.25,0.5,0.6,0.6666666666666666,,0.29411764705882354,0.4,0.6470588235294118,0.47635588235294113,0.5158999999999999,0.44728529411764706,0.13157894736842105,0.1724137931034483,0.16216216216216217,0.2972972972972973,7.348000000000002,0.42290748898678415,1.0,3.0,1.0,1.0,1.0,6.0,1.0,3.0,2.0,9.0,1.0,1.0,4.0,6.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.25,0.2222222222222222,0.2647058823529412,0.1111111111111111,0.14285714285714285,0.14285714285714285,0.08823529411764706,0.3333333333333333,0.3333333333333333,1.0,0.17647058823529413,0.16666666666666666,0.16666666666666666,1.0,0.2,0.058823529411764705,1.0,0.17647058823529413,0.16666666666666666,25.455555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2694,1610612747,Josh Powell,Josh Powell,2694,LAL,34843.0,581,-82,1112,1133,378,366,154,2245,31,62,13.0,28,15.0,24.0,13.0,44.0,20,72,64,178,20.0,169,1214,14,33,5.0,33,22,65,7.0,60,82,46.0,24.0,18.0,26,9.0,35,6.0,3.0,10,6.0,10,79,11.0,33.0,15,42,15.0,72,44,116,6.0,9,9,,13,9.0,20.0,2.0,33,3.0,8.0,31,71,6.0,30,6.0,31.0,3.0,13.0,4.0,5.0,3.0,,6.0,1.0,3.0,,60,378,7.0,3.0,0.640625,0.7884615384615384,0.3595505617977528,0.42424242424242425,0.3384615384615385,0.38402061855670105,0.4117647058823529,0.3732394366197183,0.40625,0.4342105263157895,0.39473684210526316,0.10112359550561797,0.25806451612903225,0.045454545454545456,18.581341557440247,0.3939393939393939,0.3,0.11898016997167139,0.07415730337078652,0.10067114093959731,0.08029197080291971,0.11354581673306773,0.07560137457044673,0.12213740458015267,0.05128205128205128,0.05583756345177665,0.08653846153846154,0.08571428571428572,0.16304347826086957,0.12396694214876033,0.08737864077669903,0.057692307692307696,0.16666666666666666,0.31958762886597936,0.5,0.6739130434782609,0.5161290322580645,0.2268041237113402,0.29545454545454547,0.30952380952380953,0.6153846153846154,0.3711340206185567,0.2777777777777778,0.2777777777777778,0.85,0.8235294117647058,0.4642857142857143,0.07692307692307693,0.3380281690140845,0.625,0.4020618556701031,0.47416314432989687,0.5591603448275863,0.47124014084507043,0.06372549019607843,0.06914893617021277,0.1952662721893491,0.35502958579881655,9.566853932584271,0.33992805755395683,7.0,10.0,3.0,5.0,,6.0,,1.0,7.0,16.0,1.0,3.0,6.0,21.0,6.0,,,3.0,4.0,12.0,2.0,3.0,1.0,0.4375,0.5,0.4375,0.08247422680412371,,0.06060606060606061,0.13043478260869565,0.05154639175257732,0.7,0.7,1.0,0.030927835051546393,,,,,0.07042253521126761,0.6,0.014084507042253521,,24.756249999999998,1.0,1.0,3.0,3.0,1.0,1.0,0.029411764705882353,,,,,,,,,,,,,,,,,,,,,True,,,,,
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,13201.0,220,-21,420,426,137,122,66,846,5,7,2.0,2,,2.0,2.0,6.0,18,37,25,50,15.0,104,434,7,9,,17,5,13,8.0,27,26,24.0,8.0,,10,6.0,16,3.0,3.0,3,2.0,5,38,5.0,11.0,7,23,1.0,31,16,47,1.0,9,6,3.0,5,2.0,1.0,,6,1.0,3.0,6,20,1.0,17,1.0,16.0,2.0,5.0,3.0,,,,,,,,27,137,6.0,3.0,0.52,0.6190476190476191,0.5,0.7777777777777778,0.38461538461538464,0.5056818181818182,0.6538461538461539,0.41304347826086957,0.5478723404255319,0.6538461538461539,0.5,,,,19.68503937007874,0.8333333333333334,0.0625,0.16666666666666666,0.05789473684210526,0.1206896551724138,0.08333333333333333,0.15306122448979592,0.064,0.03508771929824561,0.10416666666666667,0.047058823529411764,0.08695652173913043,0.14814814814814814,0.18181818181818182,0.17647058823529413,0.0975609756097561,0.02040816326530612,,0.07954545454545454,0.7142857142857143,0.7142857142857143,0.4,0.06818181818181818,0.3333333333333333,0.3333333333333333,,0.42045454545454547,0.4864864864864865,0.4864864864864865,0.6111111111111112,0.15384615384615385,1.0,,0.08695652173913043,,0.5113636363636364,0.4809306818181819,0.4674277777777778,0.46094999999999997,0.06593406593406594,0.09433962264150944,0.16346153846153846,0.25961538461538464,15.6,0.3261904761904762,5.0,11.0,1.0,2.0,8.0,27.0,2.0,8.0,13.0,38.0,4.0,3.0,10.0,30.0,27.0,8.0,,,3.0,1.0,,,0.7692307692307693,0.34210526315789475,0.3,0.34210526315789475,0.4318181818181818,,0.07142857142857142,0.17647058823529413,0.125,0.45454545454545453,0.45454545454545453,1.0,0.3068181818181818,0.2962962962962963,0.2962962962962963,0.625,0.15384615384615385,0.08695652173913043,0.5,0.34782608695652173,0.2962962962962963,25.215789473684207,2.0,,,2.0,,,0.15384615384615385,1.0,2.0,1.0,9.0,1.0,1.0,1.0,0.25,0.5,1.0,0.25,0.02631578947368421,,,,,,,,,True,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,5729.0,95,-8,187,195,122,99,37,382,2,3,1.0,1,1.0,1.0,,2.0,1,10,3,15,4.0,16,211,1,4,,2,1,8,3.0,11,6,,,1.0,10,3.0,13,2.0,1.0,5,2.0,3,29,1.0,,3,4,,7,1,8,,5,4,1.0,1,,3.0,,4,,2.0,3,11,,5,,6.0,,2.0,1.0,,,,,,,,11,122,5.0,1.0,1.0,1.0,0.2,0.25,0.125,0.2727272727272727,0.2,0.26666666666666666,0.32,0.2,0.3235294117647059,0.06666666666666667,0.3333333333333333,,12.775330396475772,0.25,,0.08,,0.10714285714285714,0.047619047619047616,0.08974358974358974,0.01,,,,0.05555555555555555,0.1,0.07142857142857142,0.0625,0.13043478260869565,,,0.13636363636363635,0.6666666666666666,1.0,1.0,0.09090909090909091,,,,0.45454545454545453,0.1,0.1,1.0,0.2,1.0,1.0,0.06666666666666667,1.0,0.45454545454545453,0.46947954545454534,0.4695500000000001,0.4839366666666667,0.08333333333333333,0.11764705882352941,0.125,0.6875,13.866666666666667,0.6524064171122995,2.0,4.0,2.0,4.0,,3.0,1.0,3.0,2.0,7.0,1.0,2.0,7.0,6.0,3.0,,,1.0,1.0,,,,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.3181818181818182,,,,0.18181818181818182,0.5,0.5,1.0,0.13636363636363635,,,,0.2,0.26666666666666666,0.5,0.2,,24.957142857142856,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1897,1610612747,Metta World Peace,Metta World Peace,1897,LAL,11905.0,198,-9,374,387,155,158,67,761,7,18,2.0,5,2.0,8.0,2.0,5.0,6,12,15,35,9.0,60,405,2,7,4.0,11,5,16,3.0,25,18,12.0,4.0,2.0,19,5.0,24,1.0,4.0,11,4.0,4,53,3.0,7.0,6,8,5.0,19,10,29,4.0,14,8,6.0,9,5.0,1.0,,10,1.0,5.0,7,17,,17,1.0,19.0,3.0,9.0,2.0,2.0,1.0,1.0,2.0,1.0,,,25,155,4.0,2.0,0.6,0.6923076923076923,0.42857142857142855,0.2857142857142857,0.3125,0.4396551724137931,0.3888888888888889,0.4074074074074074,0.45454545454545453,0.5,0.4166666666666667,0.05714285714285714,,0.4,16.740088105726873,0.9,0.2631578947368421,0.07339449541284404,0.045454545454545456,0.12244897959183673,0.058823529411764705,0.08860759493670886,0.04878048780487805,0.10638297872340426,,0.03389830508474576,0.05128205128205128,0.05405405405405406,0.06666666666666667,0.09523809523809523,0.11764705882352941,0.12121212121212122,0.5,0.3103448275862069,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.08620689655172414,0.4,0.6666666666666666,1.0,0.20689655172413793,0.5,0.5,0.5,0.5555555555555556,0.4,,0.2962962962962963,0.25,0.7068965517241379,0.5060114035087718,0.50460625,0.506098076923077,0.140625,0.21951219512195122,0.18333333333333332,0.4166666666666667,7.682857142857142,0.4144385026737968,,4.0,,1.0,7.0,19.0,2.0,10.0,7.0,23.0,2.0,4.0,11.0,18.0,18.0,7.0,,1.0,4.0,3.0,,,0.8571428571428571,0.30434782608695654,0.36363636363636365,0.3181818181818182,0.39655172413793105,,0.08333333333333333,0.13333333333333333,0.06896551724137931,,,,0.3275862068965517,0.3684210526315789,0.3684210526315789,0.8571428571428571,0.2222222222222222,0.037037037037037035,,0.37037037037037035,0.3888888888888889,27.87391304347826,,,,1.0,,,,,4.0,1.0,3.0,,,,0.5,,,0.4,,1.0,1.0,0.5,,,,,,True,,,,,
200769,1610612747,Shannon Brown,Shannon Brown,200769,LAL,24000.0,400,-92,763,781,238,241,99,1544,19,39,1.0,2,6.0,13.0,4.0,10.0,20,54,43,103,21.0,158,863,1,3,,5,16,35,7.0,51,50,36.0,2.0,9.0,18,10.0,28,6.0,4.0,4,9.0,5,66,1.0,6.0,12,24,2.0,38,7,45,2.0,6,3,3.0,8,6.0,9.0,1.0,17,1.0,7.0,23,37,2.0,23,1.0,27.0,2.0,10.0,3.0,11.0,10.0,,11.0,3.0,,,51,238,3.0,3.0,0.5813953488372093,0.5952380952380952,0.4174757281553398,0.3333333333333333,0.45714285714285713,0.5036764705882353,0.3125,0.46808510638297873,0.5337837837837838,0.3125,0.5,0.08737864077669903,0.1794871794871795,0.1,18.665158371040725,0.47058823529411764,0.05714285714285714,0.10126582278481013,0.019933554817275746,0.12244897959183673,0.011111111111111112,0.10746268656716418,0.017902813299232736,0.031578947368421054,0.014925373134328358,0.014388489208633094,0.015384615384615385,0.05154639175257732,0.11864406779661017,0.14814814814814814,0.15151515151515152,0.03076923076923077,0.2727272727272727,0.2867647058823529,0.48717948717948717,0.59375,0.7368421052631579,0.07352941176470588,0.4,0.4444444444444444,0.25,0.39705882352941174,0.37037037037037035,0.37735849056603776,0.5,0.25,0.5,,0.2765957446808511,0.46153846153846156,0.5294117647058824,0.4936720588235295,0.5070583333333334,0.481027659574468,0.07586206896551724,0.09009009009009009,0.03164556962025317,0.3227848101265823,10.948543689320385,0.3119266055045872,3.0,6.0,,,14.0,27.0,5.0,12.0,17.0,33.0,5.0,4.0,12.0,36.0,27.0,14.0,,2.0,2.0,,1.0,,0.7058823529411765,0.5151515151515151,0.3333333333333333,0.5151515151515151,0.2426470588235294,,,0.0625,0.04411764705882353,0.5,0.5,1.0,0.19852941176470587,0.5185185185185185,0.5185185185185185,0.6428571428571429,0.625,,,0.2553191489361702,0.5185185185185185,25.303030303030305,,2.0,,1.0,,,,,4.0,1.0,15.0,,,1.0,0.2,,,0.3333333333333333,0.029411764705882353,1.0,,0.2,0.018518518518518517,1.0,,,,True,,,,,
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,22692.0,378,-57,731,738,200,204,84,1469,18,37,1.0,4,3.0,7.0,3.0,6.0,5,25,26,68,15.0,157,786,1,6,,8,5,15,6.0,31,20,32.0,,5.0,32,9.0,41,6.0,3.0,15,9.0,8,91,1.0,5.0,11,22,1.0,34,6,40,,15,9,6.0,16,13.0,6.0,1.0,22,,3.0,10,25,3.0,19,1.0,19.0,3.0,9.0,2.0,2.0,,1.0,2.0,2.0,,,31,200,3.0,2.0,0.38461538461538464,0.38461538461538464,0.38235294117647056,0.16666666666666666,0.3333333333333333,0.5182481751824818,0.3076923076923077,0.43103448275862066,0.5413793103448276,0.3076923076923077,0.484375,0.07352941176470588,0.10810810810810811,0.16666666666666666,20.09626955475331,0.7272727272727273,0.03125,0.0873015873015873,0.01824817518248175,0.12222222222222222,0.010526315789473684,0.09649122807017543,0.016260162601626018,0.0379746835443038,,0.015873015873015872,0.013513513513513514,0.06862745098039216,0.140625,0.06976744186046512,0.15,,1.0,0.27007299270072993,0.4864864864864865,0.5454545454545454,0.4444444444444444,0.043795620437956206,0.5,0.6,0.3333333333333333,0.18248175182481752,0.2,0.2,0.2,0.3076923076923077,0.25,,0.2413793103448276,0.42857142857142855,0.7737226277372263,0.5319883211678831,0.5317541666666666,0.5131793103448277,0.06293706293706294,0.12162162162162163,0.050955414012738856,0.19745222929936307,7.742647058823528,0.27359781121751026,8.0,15.0,1.0,1.0,22.0,54.0,6.0,13.0,30.0,69.0,7.0,5.0,14.0,72.0,54.0,22.0,,1.0,3.0,,1.0,,0.8,0.43478260869565216,0.35714285714285715,0.43478260869565216,0.5036496350364964,,,0.06666666666666667,0.10948905109489052,0.5333333333333333,0.5333333333333333,1.0,0.39416058394160586,0.4074074074074074,0.41509433962264153,0.7272727272727273,0.46153846153846156,0.034482758620689655,1.0,0.4482758620689655,0.4074074074074074,24.944927536231887,1.0,,1.0,,,,0.07692307692307693,,4.0,2.0,18.0,,,,0.2857142857142857,,,0.3076923076923077,,2.0,,0.3333333333333333,,0.5,1.0,0.014492753623188406,0.018518518518518517,True,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,14083.0,235,-9,447,458,164,187,59,905,19,33,4.0,7,6.0,10.0,20.0,34.0,12,31,51,98,46.0,169,478,7,14,6.0,20,13,33,28.0,57,36,66.0,8.0,5.0,17,11.0,28,6.0,5.0,10,2.0,5,67,,11.0,4,14,3.0,21,11,32,3.0,11,9,2.0,13,8.0,12.0,1.0,25,2.0,8.0,5,20,4.0,43,3.0,60.0,6.0,22.0,6.0,1.0,1.0,,1.0,,1.0,,57,164,4.0,6.0,0.35294117647058826,0.3829787234042553,0.5204081632653061,0.5,0.3939393939393939,0.5168067226890757,0.4375,0.3717948717948718,0.5833333333333334,0.5263157894736842,0.5181818181818182,0.05102040816326531,0.06060606060606061,0.029411764705882353,33.13725490196079,0.52,0.13636363636363635,0.09929078014184398,0.06832298136645963,0.06779661016949153,,0.09,0.051643192488262914,0.12244897959183673,0.023255813953488372,0.057971014492753624,,0.09615384615384616,0.10256410256410256,0.1,0.06818181818181818,0.05454545454545454,,0.2773109243697479,0.5757575757575758,0.6129032258064516,0.3684210526315789,0.2857142857142857,0.5882352941176471,0.6060606060606061,0.35,0.2605042016806723,0.3870967741935484,0.41379310344827586,0.3333333333333333,0.4375,0.5714285714285714,0.5,0.2564102564102564,0.6,0.453781512605042,0.46769999999999995,0.4945,0.4600371794871795,0.18115942028985507,0.19298245614035087,0.11834319526627218,0.33727810650887574,9.669387755102042,0.3668903803131991,1.0,1.0,,,6.0,20.0,2.0,6.0,7.0,21.0,2.0,1.0,6.0,15.0,20.0,6.0,,3.0,5.0,,,,0.7142857142857143,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.17647058823529413,,,0.06666666666666667,0.008403361344537815,1.0,1.0,,0.16806722689075632,0.3,0.3,0.8333333333333334,0.125,,,0.15384615384615385,0.3,26.35714285714286,,2.0,1.0,1.0,,,,,1.0,,6.0,,1.0,3.0,,,,0.16666666666666666,0.125,,,,0.06451612903225806,,,,,True,,,,,
200747,1610612747,Adam Morrison,Adam Morrison,200747,LAL,7059.0,118,-12,237,241,83,70,27,478,4,6,1.0,1,2.0,3.0,8.0,13.0,6,16,18,35,4.0,46,249,4,7,,8,7,15,,17,20,16.0,4.0,3.0,5,3.0,8,3.0,,3,1.0,1,19,1.0,3.0,5,9,,14,4,18,2.0,2,1,1.0,4,3.0,1.0,1.0,5,,1.0,5,8,,4,1.0,6.0,,3.0,,1.0,1.0,,1.0,1.0,,,17,83,1.0,,0.5555555555555556,0.625,0.5142857142857142,0.5714285714285714,0.4666666666666667,0.45652173913043476,0.4,0.425,0.46938775510204084,0.36363636363636365,0.40476190476190477,0.08571428571428572,0.16666666666666666,0.15384615384615385,20.0,0.8,,0.125,0.03409090909090909,0.1388888888888889,0.03571428571428571,0.12962962962962962,0.034482758620689655,0.041666666666666664,0.05555555555555555,0.021739130434782608,0.05,0.06896551724137931,0.13043478260869565,0.2,0.16666666666666666,0.08695652173913043,1.0,0.13043478260869565,0.6666666666666666,0.8,0.5,0.2826086956521739,0.6153846153846154,0.7272727272727273,0.625,0.34782608695652173,0.375,0.375,0.5,0.1,1.0,,0.15,0.6666666666666666,0.3695652173913043,0.44675,0.46765,0.4557125,0.061224489795918366,0.07894736842105263,0.17391304347826086,0.3695652173913043,11.665714285714284,0.350210970464135,,5.0,,2.0,2.0,6.0,1.0,3.0,2.0,11.0,3.0,1.0,5.0,3.0,6.0,2.0,,,1.0,1.0,,,0.5,0.18181818181818182,0.2,0.18181818181818182,0.2391304347826087,,,0.08333333333333333,0.10869565217391304,,,,0.13043478260869565,0.3333333333333333,0.3333333333333333,0.5,0.1,0.1,,0.15,0.3333333333333333,24.58181818181818,2.0,,,,,,0.2,,1.0,,3.0,,,,,,,0.3333333333333333,,,,,,,,,,True,,,,,
