EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,FG3M,PtsAssisted3s,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Blocked3s,BlockedArc3,SecondChanceFg3Pct,PenaltyFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Technical Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,HeaveMakes,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,on,Clear Path Fouls,3pt And 1 Free Throw Trips,BlockedCorner3
101106,1610612749,Andrew Bogut,Andrew Bogut,101106,MIL,133778.0,2230,225,4228,4226,865.0,1133.0,550,8454,271.0,428.0,88.0,148.0,54.0,78.0,193.0,461.0,9.0,19.0,2.0,1.0,473.0,908.0,2.0,149.0,1095.0,4266,95.0,176.0,26.0,216.0,87.0,150.0,1.0,50.0,224.0,496.0,450.0,144.0,1.0,1.0,64.0,79.0,48.0,127.0,31.0,17.0,60.0,9.0,10.0,302.0,37.0,168.0,3.0,94.0,347.0,52.0,493,208.0,701,39.0,39.0,28.0,11.0,71.0,8.0,36.0,60.0,4.0,35.0,1.0,6.0,131.0,11.0,24.0,132.0,222.0,25.0,28.0,294.0,27.0,51.0,237.0,33.0,114.0,22.0,175.0,155.0,3.0,17.0,175.0,109.0,1.0,2.0,7.0,11.0,224.0,865.0,9.0,20.0,0.5243128964059197,0.6184538653366584,0.5209251101321586,0.5397727272727273,0.58,0.5197802197802198,0.5397727272727273,0.5761589403973509,0.5404738400789734,0.5684210526315789,0.6153846153846154,0.002197802197802198,0.07048458149779736,0.09579439252336448,0.049891540130151846,23.464146291349905,0.5419847328244275,0.46017699115044247,0.02608695652173913,0.22591145833333334,0.10973220117570215,0.23383084577114427,0.06368330464716007,0.22755417956656346,0.09706439393939394,0.1782178217821782,0.09607843137254903,0.0562015503875969,0.05980861244019139,0.0736196319018405,0.19281663516068054,0.25806451612903225,0.2346456692913386,0.22183098591549297,0.2627118644067797,0.10597826086956522,0.6228571428571429,0.4703296703296703,0.633177570093458,0.7002583979328165,0.5719557195571956,0.5065934065934066,0.41865509761388287,0.4406392694063927,0.44559585492227977,0.020879120879120878,0.47368421052631576,0.47368421052631576,0.7777777777777778,0.002197802197802198,0.8409090909090909,0.5945945945945946,0.13636363636363635,0.5165562913907285,0.6923076923076923,0.006622516556291391,0.4725274725274725,0.4833297579757976,0.5587086666666669,0.48870800000000003,0.11503531786074672,0.11526794742163801,0.19726027397260273,0.2045662100456621,4.199669603524229,46.85,0.20458845789971616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101124,1610612749,Hakim Warrick,Hakim Warrick,101124,MIL,25475.0,425,-13,830,832,197.0,298.0,106,1662,42.0,71.0,12.0,20.0,9.0,17.0,8.0,22.0,19.0,58.0,1.0,1.0,69.0,151.0,2.0,57.0,198.0,883,14.0,30.0,9.0,37.0,12.0,30.0,1.0,16.0,40.0,94.0,44.0,22.0,,1.0,7.0,7.0,7.0,14.0,6.0,1.0,2.0,3.0,2.0,35.0,4.0,34.0,1.0,10.0,34.0,5.0,49,39.0,88,8.0,8.0,5.0,3.0,14.0,1.0,9.0,10.0,1.0,5.0,,3.0,24.0,4.0,7.0,11.0,30.0,4.0,5.0,60.0,2.0,3.0,78.0,6.0,38.0,4.0,6.0,4.0,,2.0,6.0,4.0,1.0,,,,40.0,197.0,7.0,4.0,0.6811594202898551,0.8103448275862069,0.45695364238410596,0.4666666666666667,0.4,0.46078431372549017,0.4666666666666667,0.3870967741935484,0.5238095238095238,0.5138888888888888,0.47619047619047616,0.013071895424836602,0.046357615894039736,0.07042253521126761,0.09090909090909091,22.373949579831933,0.5833333333333334,0.16666666666666666,0.043478260869565216,0.12186379928315412,0.10365853658536585,0.13333333333333333,0.05,0.12429378531073447,0.09313725490196079,0.15841584158415842,0.10891089108910891,0.05555555555555555,0.06896551724137931,,0.09302325581395349,0.15873015873015872,0.12307692307692308,0.15,0.06666666666666667,0.10526315789473684,0.6666666666666666,0.46405228758169936,0.5915492957746479,0.6363636363636364,0.6904761904761905,0.1437908496732026,0.36363636363636365,0.4,0.25,0.3790849673202614,0.3275862068965517,0.3275862068965517,0.8421052631578947,0.006535947712418301,0.6666666666666666,0.6,0.16666666666666666,0.5483870967741935,0.5294117647058824,0.03225806451612903,0.477124183006536,0.48744705882352934,0.5172153846153845,0.49651290322580643,0.20540540540540542,0.20765027322404372,0.18686868686868688,0.20202020202020202,8.317218543046359,24.299999999999997,0.23734939759036144,1.0,1.0,1.0,3.0,1.0,0.5,0.5,0.006535947712418301,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
101146,1610612749,Roko Ukic,Roko Ukic,101146,MIL,2658.0,44,5,81,83,30.0,36.0,10,164,2.0,3.0,,,1.0,1.0,,,,,4.0,1.0,2.0,3.0,4.0,4.0,8.0,94,,,,,1.0,1.0,1.0,2.0,4.0,,4.0,,,4.0,1.0,3.0,1.0,4.0,1.0,,1.0,,2.0,9.0,,,,,2.0,,2,,2,,,,,3.0,1.0,,1.0,,3.0,,,4.0,,2.0,2.0,3.0,,,3.0,,,4.0,,2.0,,,,,,,,,,,,4.0,30.0,,,,,0.6666666666666666,,1.0,0.2857142857142857,,0.5,0.4444444444444444,,0.6666666666666666,0.5714285714285714,0.3333333333333333,0.3333333333333333,,13.829787234042554,0.75,,,0.0625,,,,0.05714285714285714,,,,,,,,,0.1111111111111111,,,,,0.42857142857142855,0.6666666666666666,1.0,,,,,,,,,,0.5714285714285714,,,,0.5,1.0,0.5,1.0,0.5206000000000001,,0.540025,0.2222222222222222,0.4,,0.5,,26.375,0.37037037037037035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,
201601,1610612749,Luc Mbah a Moute,Luc Mbah a Moute,201601,MIL,76603.0,1277,81,2365,2387,393.0,520.0,335,4752,84.0,133.0,31.0,51.0,16.0,24.0,9.0,25.0,18.0,70.0,,,111.0,228.0,12.0,62.0,299.0,2403,33.0,58.0,9.0,78.0,21.0,36.0,1.0,16.0,61.0,124.0,98.0,62.0,,,25.0,36.0,17.0,53.0,11.0,6.0,14.0,10.0,12.0,123.0,31.0,79.0,3.0,27.0,125.0,6.0,158,113.0,271,6.0,40.0,21.0,19.0,19.0,2.0,12.0,28.0,3.0,7.0,3.0,6.0,47.0,6.0,3.0,63.0,116.0,11.0,9.0,77.0,10.0,4.0,83.0,9.0,43.0,3.0,26.0,15.0,3.0,8.0,27.0,19.0,1.0,,3.0,4.0,61.0,393.0,12.0,3.0,0.5585585585585585,0.775,0.4868421052631579,0.5689655172413793,0.5833333333333334,0.49375,0.5847457627118644,0.6081081081081081,0.5397111913357401,0.582089552238806,0.648936170212766,0.05,0.10964912280701754,0.15037593984962405,0.08,11.696750902527077,0.40425531914893614,0.10526315789473684,0.04285714285714286,0.14188422247446084,0.08404255319148936,0.1210762331838565,0.10032362459546926,0.13768115942028986,0.08807045636509207,0.10638297872340426,0.08038585209003216,0.06333333333333334,0.0963302752293578,0.10989010989010989,0.1568627450980392,0.10952380952380952,0.14794520547945206,0.11875,0.12698412698412698,0.06060606060606061,0.7037037037037037,0.5541666666666667,0.631578947368421,0.7433628318584071,0.5,0.10416666666666667,0.36,0.391304347826087,0.4444444444444444,0.2916666666666667,0.2571428571428571,0.26865671641791045,0.8888888888888888,,0.864406779661017,0.6078431372549019,0.03225806451612903,0.6486486486486487,0.6666666666666666,,0.6041666666666666,0.5184985416666668,0.5625225490196079,0.5400527027027027,0.15693430656934307,0.16412213740458015,0.2608695652173913,0.2040133779264214,6.591228070175438,23.599999999999998,0.16617336152219872,5.0,12.0,5.0,15.0,1.0,0.4166666666666667,0.4166666666666667,0.05,0.4166666666666667,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04285714285714286,0.01694915254237288,1.0,1.0,0.02702702702702703,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,
201943,1610612749,Brandon Jennings,Brandon Jennings,201943,MIL,110236.0,1837,209,3479,3470,635.0,826.0,450,6949,79.0,180.0,4.0,14.0,17.0,40.0,48.0,142.0,80.0,237.0,233.0,50.0,207.0,559.0,249.0,130.0,832.0,3463,19.0,50.0,8.0,67.0,47.0,105.0,53.0,55.0,212.0,80.0,334.0,4.0,2.0,231.0,41.0,242.0,86.0,328.0,57.0,29.0,137.0,43.0,62.0,742.0,7.0,21.0,1.0,42.0,130.0,1.0,173,29.0,202,9.0,66.0,29.0,37.0,85.0,20.0,59.0,46.0,3.0,26.0,5.0,3.0,131.0,10.0,33.0,57.0,123.0,1.0,3.0,127.0,1.0,6.0,160.0,8.0,53.0,22.0,12.0,5.0,5.0,2.0,14.0,9.0,,,,1.0,212.0,635.0,17.0,16.0,0.1932367149758454,0.1951219512195122,0.370304114490161,0.38,0.44761904761904764,0.4344059405940594,0.4154929577464789,0.49683544303797467,0.4674285714285714,0.4391891891891892,0.5564516129032258,0.30816831683168316,0.07334525939177101,0.17222222222222222,0.04929577464788732,24.92529880478088,0.648854961832061,0.011363636363636364,0.010638297872340425,0.10196078431372549,0.016253869969040248,0.12244897959183673,0.014314928425357873,0.10630407911001236,0.015721504772599662,0.01152073732718894,0.023255813953488372,0.014018691588785047,0.0111731843575419,0.022900763358778626,0.08849557522123894,0.10094637223974763,0.11462450592885376,0.13692946058091288,0.08823529411764706,0.01956521739130435,0.6428571428571429,0.22277227722772278,0.4388888888888889,0.5302013422818792,0.22784810126582278,0.17574257425742573,0.3380281690140845,0.35555555555555557,0.1875,0.2933168316831683,0.33755274261603374,0.3418803418803419,0.1625,0.28836633663366334,0.19718309859154928,0.2857142857142857,0.25,0.25316455696202533,0.425,0.31645569620253167,0.530940594059406,0.4946592431761785,0.47285918367346935,0.47969713375796186,0.06213364595545135,0.08774834437086093,0.08052884615384616,0.2548076923076923,10.279427549194988,26.017269076305222,0.18252371371083645,8.0,16.0,96.0,186.0,0.6458333333333334,0.3855421686746988,0.38866396761133604,0.019801980198019802,0.5,0.5,0.75,2.0,3.0,2.0,3.0,7.0,21.0,21.0,2.0,2.0,0.3333333333333333,0.39622641509433965,0.012658227848101266,0.04225352112676056,0.6666666666666666,0.5,0.0189873417721519,0.6666666666666666,88.0,5.0,18.0,19.0,102.0,88.0,1.0,19.0,0.004016064257028112,0.004291845493562232,0.3776824034334764,0.3793103448275862,0.6363636363636364,0.2535211267605634,0.2777777777777778,0.4,0.38,0.38095238095238093,,,,,True,,,
201975,1610612749,Jodie Meeks,Jodie Meeks,201975,MIL,9709.0,162,-20,320,321,101.0,125.0,43,641,6.0,11.0,,,1.0,2.0,,2.0,4.0,11.0,20.0,7.0,10.0,24.0,27.0,4.0,42.0,368,1.0,1.0,,2.0,3.0,6.0,10.0,,12.0,10.0,10.0,,2.0,17.0,2.0,5.0,3.0,8.0,3.0,,5.0,,,19.0,,2.0,,2.0,11.0,1.0,14,2.0,16,,6.0,4.0,2.0,4.0,1.0,3.0,5.0,1.0,1.0,,2.0,9.0,,3.0,9.0,16.0,1.0,,4.0,,2.0,4.0,,1.0,1.0,2.0,1.0,1.0,,2.0,2.0,,,,,12.0,101.0,3.0,,0.5,0.5,0.4166666666666667,1.0,0.5,0.37254901960784315,0.5,0.375,0.39622641509433965,0.5,0.375,0.5294117647058824,0.08333333333333333,,0.5,16.893732970027248,0.4444444444444444,0.1,,0.10377358490566038,0.0196078431372549,0.06896551724137931,,0.0962962962962963,0.013605442176870748,0.030303030303030304,0.034482758620689655,,,,0.11428571428571428,0.05555555555555555,0.11320754716981132,0.08695652173913043,,,1.0,0.21568627450980393,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.0392156862745098,,,,0.21568627450980393,0.36363636363636365,0.4,0.75,0.39215686274509803,,,,0.125,0.5,0.4375,0.7450980392156863,0.5354622448979592,0.464975,0.5468266666666667,0.019230769230769232,0.04,0.047619047619047616,0.2857142857142857,9.454166666666667,26.84444444444444,0.315625,1.0,7.0,6.0,18.0,1.0,0.2222222222222222,0.2,0.13725490196078433,0.14285714285714285,0.14285714285714285,1.0,,,1.0,3.0,,1.0,2.0,,,,0.2,0.09090909090909091,,,,0.1875,0.3333333333333333,5.0,,1.0,1.0,,4.0,,,,,0.25,0.25,1.0,0.5,,,0.14285714285714285,0.23529411764705882,1.0,,,,True,,,
2557,1610612749,Luke Ridnour,Luke Ridnour,2557,MIL,38401.0,640,25,1223,1222,373.0,455.0,166,2445,17.0,29.0,1.0,3.0,2.0,6.0,14.0,30.0,51.0,97.0,50.0,17.0,82.0,156.0,72.0,39.0,278.0,1313,9.0,16.0,,24.0,12.0,35.0,24.0,29.0,74.0,56.0,108.0,4.0,1.0,49.0,6.0,79.0,29.0,108.0,19.0,10.0,39.0,20.0,20.0,245.0,2.0,2.0,,6.0,35.0,3.0,44,4.0,48,,17.0,7.0,10.0,23.0,6.0,15.0,12.0,1.0,8.0,1.0,1.0,35.0,1.0,14.0,48.0,81.0,,3.0,49.0,,4.0,44.0,3.0,7.0,14.0,1.0,1.0,,,1.0,,,,,,74.0,373.0,10.0,14.0,0.34146341463414637,0.35,0.5256410256410257,0.5625,0.34285714285714286,0.5241228070175439,0.5,0.3813559322033898,0.5548780487804879,0.5,0.4866666666666667,0.3157894736842105,0.038461538461538464,0.10344827586206896,0.1,20.028510334996437,0.6571428571428571,0.07692307692307693,,0.08620689655172414,0.005141388174807198,0.05128205128205128,0.011111111111111112,0.07839388145315487,0.007029876977152899,0.007936507936507936,,0.006896551724137931,0.016129032258064516,,0.05714285714285714,0.0898876404494382,0.10734463276836158,0.047619047619047616,0.06060606060606061,,,0.12719298245614036,0.5862068965517241,0.6538461538461539,0.23529411764705882,0.13157894736842105,0.4666666666666667,0.5185185185185185,0.21428571428571427,0.42543859649122806,0.5257731958762887,0.5257731958762887,0.4117647058823529,0.21929824561403508,0.125,0.3333333333333333,,0.1016949152542373,0.3333333333333333,0.288135593220339,0.44298245614035087,0.46939174107142856,0.45477750000000006,0.4644131578947369,0.03017241379310345,0.04375,0.08633093525179857,0.26618705035971224,13.099358974358974,25.408333333333328,0.30498773507767785,7.0,22.0,25.0,60.0,0.8,0.3472222222222222,0.352112676056338,0.09649122807017543,0.3181818181818182,0.3181818181818182,1.0,,2.0,2.0,7.0,2.0,8.0,7.0,,,0.25,0.2916666666666667,,0.08333333333333333,,,0.11864406779661017,0.2857142857142857,18.0,2.0,6.0,5.0,15.0,18.0,,5.0,,,0.36,0.36,0.7222222222222222,0.25,0.3333333333333333,1.0,0.29411764705882354,0.3673469387755102,,,,,True,,,
2568,1610612749,Carlos Delfino,Carlos Delfino,2568,MIL,80353.0,1339,194,2522,2522,441.0,576.0,305,5044,65.0,108.0,10.0,14.0,9.0,14.0,12.0,32.0,37.0,89.0,117.0,25.0,114.0,229.0,202.0,57.0,525.0,2481,14.0,26.0,7.0,53.0,14.0,32.0,34.0,14.0,84.0,122.0,106.0,14.0,,117.0,16.0,80.0,35.0,115.0,23.0,12.0,46.0,12.0,22.0,265.0,14.0,20.0,1.0,42.0,149.0,12.0,203,35.0,238,6.0,47.0,26.0,21.0,47.0,11.0,39.0,30.0,2.0,8.0,7.0,4.0,77.0,8.0,14.0,37.0,75.0,1.0,4.0,53.0,6.0,6.0,71.0,5.0,30.0,5.0,9.0,7.0,2.0,,9.0,6.0,1.0,1.0,,1.0,84.0,441.0,8.0,5.0,0.5350877192982456,0.5700934579439252,0.4978165938864629,0.5384615384615384,0.4375,0.54292343387471,0.48936170212765956,0.5303030303030303,0.5669546436285097,0.5096153846153846,0.5675675675675675,0.46867749419953597,0.06986899563318777,0.09259259259259259,0.0625,18.71101871101871,0.6103896103896104,0.2,0.018518518518518517,0.15935828877005348,0.022002200220022004,0.1794871794871795,0.03954802259887006,0.16338751069289992,0.026920031670625493,0.033783783783783786,0.023333333333333334,0.009584664536741214,0.035856573705179286,0.04854368932038835,0.1492063492063492,0.14224137931034483,0.17783505154639176,0.19879518072289157,0.1323529411764706,0.027906976744186046,0.6666666666666666,0.2505800464037123,0.6018518518518519,0.6632653061224489,0.47692307692307695,0.07424593967517401,0.375,0.4,0.4166666666666667,0.20649651972157773,0.4157303370786517,0.43529411764705883,0.6756756756756757,0.271461716937355,0.2978723404255319,0.7142857142857143,0.3,0.21212121212121213,0.6428571428571429,0.3787878787878788,0.7192575406032483,0.5321844547563805,0.5151333333333333,0.49919242424242416,0.06986899563318777,0.11811023622047244,0.10095238095238095,0.16,8.575109170305677,24.87475247524752,0.17486122125297382,40.0,85.0,80.0,234.0,0.975,0.39603960396039606,0.39603960396039606,0.19721577726218098,0.47058823529411764,0.49382716049382713,1.0,4.0,7.0,4.0,9.0,6.0,21.0,14.0,,,0.2857142857142857,0.4117647058823529,0.0449438202247191,0.14893617021276595,0.5714285714285714,1.0,0.13636363636363635,0.4444444444444444,40.0,2.0,14.0,10.0,6.0,40.0,4.0,,0.019801980198019802,,0.3418803418803419,0.3418803418803419,0.95,0.2978723404255319,0.14285714285714285,1.0,0.4,0.3418803418803419,,2.0,0.047058823529411764,0.00980392156862745,True,,,
2072,1610612749,Michael Redd,Michael Redd,2072,MIL,18714.0,312,-40,606,610,122.0,202.0,85,1216,15.0,36.0,3.0,8.0,2.0,6.0,9.0,28.0,12.0,29.0,27.0,7.0,36.0,93.0,36.0,30.0,129.0,623,4.0,11.0,,11.0,6.0,18.0,7.0,5.0,20.0,34.0,38.0,2.0,,27.0,15.0,14.0,9.0,23.0,5.0,4.0,4.0,6.0,4.0,55.0,1.0,7.0,,5.0,20.0,1.0,26,8.0,34,2.0,12.0,8.0,4.0,5.0,,4.0,1.0,,1.0,,,6.0,1.0,3.0,5.0,17.0,1.0,1.0,27.0,1.0,1.0,34.0,3.0,14.0,3.0,1.0,,1.0,,2.0,1.0,,,,,20.0,122.0,3.0,3.0,0.4722222222222222,0.4857142857142857,0.3870967741935484,0.36363636363636365,0.3333333333333333,0.38372093023255816,0.36666666666666664,0.3,0.4405594405594406,0.36666666666666664,0.3448275862068966,0.27906976744186046,0.16129032258064516,0.25,0.21428571428571427,21.134751773049647,0.8333333333333334,0.06666666666666667,,0.09009009009009009,0.02681992337164751,0.09615384615384616,0.011904761904761904,0.09124087591240876,0.02318840579710145,,0.052083333333333336,0.02531645569620253,0.015384615384615385,,0.06060606060606061,0.10144927536231885,0.10344827586206896,0.075,0.16666666666666666,0.028985507246376812,0.5,0.27906976744186046,0.4166666666666667,0.5555555555555556,0.4666666666666667,0.21705426356589147,0.32142857142857145,0.4090909090909091,0.4444444444444444,0.2248062015503876,0.41379310344827586,0.41379310344827586,0.5,0.20930232558139536,0.5333333333333333,0.375,0.3333333333333333,0.24,0.3333333333333333,0.28,0.5581395348837209,0.499759765625,0.52622,0.45953999999999995,0.1,0.1346153846153846,0.08527131782945736,0.15503875968992248,8.027956989247311,25.491666666666667,0.20132013201320131,3.0,9.0,9.0,27.0,1.0,0.25,0.25,0.06976744186046512,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,1.0,4.0,1.0,1.0,1.0,0.25,0.14285714285714285,,0.06666666666666667,1.0,1.0,,,6.0,,3.0,1.0,,6.0,,3.0,,,0.2222222222222222,0.2222222222222222,1.0,0.2,,,0.14285714285714285,0.2222222222222222,,,,,True,,,
2294,1610612749,Charlie Bell,Charlie Bell,2294,MIL,54552.0,909,52,1744,1744,339.0,435.0,216,3488,18.0,36.0,1.0,3.0,4.0,6.0,4.0,16.0,24.0,62.0,46.0,13.0,46.0,114.0,107.0,22.0,237.0,1791,5.0,12.0,4.0,32.0,5.0,15.0,23.0,6.0,37.0,58.0,34.0,,,46.0,11.0,44.0,18.0,62.0,10.0,8.0,19.0,10.0,15.0,142.0,5.0,10.0,,17.0,29.0,4.0,50,15.0,65,2.0,23.0,17.0,6.0,12.0,4.0,8.0,15.0,3.0,4.0,2.0,4.0,27.0,3.0,6.0,36.0,83.0,3.0,1.0,40.0,2.0,10.0,34.0,4.0,15.0,4.0,7.0,3.0,2.0,2.0,7.0,6.0,,,,,37.0,339.0,15.0,4.0,0.6304347826086957,0.6304347826086957,0.40350877192982454,0.4166666666666667,0.3333333333333333,0.48642533936651583,0.5384615384615384,0.40789473684210525,0.5021186440677966,0.5714285714285714,0.4111111111111111,0.4841628959276018,0.09649122807017543,0.2777777777777778,0.0625,13.209442491210448,0.4444444444444444,0.0851063829787234,,0.04730831973898858,0.016339869281045753,0.10897435897435898,0.020491803278688523,0.05981794538361508,0.017523364485981307,0.023255813953488372,0.008733624454148471,0.018957345971563982,0.030120481927710843,,0.0297029702970297,0.05325443786982249,0.05785123966942149,0.10526315789473684,0.11904761904761904,0.016666666666666666,0.8571428571428571,0.16289592760180996,0.5,0.6923076923076923,0.6666666666666666,0.07239819004524888,0.25,0.26666666666666666,0.25,0.28054298642533937,0.3870967741935484,0.3870967741935484,0.6666666666666666,0.2081447963800905,0.11538461538461539,0.3333333333333333,,0.15789473684210525,0.6666666666666666,0.34210526315789475,0.6470588235294118,0.5275789592760182,0.5198450000000001,0.49957368421052617,0.06465517241379311,0.12,0.1350210970464135,0.15611814345991562,11.483333333333333,24.42616822429906,0.19438073394495411,22.0,61.0,41.0,117.0,0.9512195121951219,0.38317757009345793,0.38317757009345793,0.27601809954751133,0.36065573770491804,0.3728813559322034,0.9545454545454546,3.0,9.0,1.0,10.0,6.0,14.0,7.0,,,0.42857142857142855,0.30434782608695654,,0.34615384615384615,0.3333333333333333,1.0,0.2631578947368421,0.1,19.0,3.0,5.0,6.0,6.0,19.0,2.0,,0.018691588785046728,,0.41304347826086957,0.41304347826086957,0.9473684210526315,0.19230769230769232,0.6,1.0,0.46153846153846156,0.41304347826086957,,,0.03278688524590164,,True,,,
