EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,PenaltyTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,LostBallTurnovers,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,DefCorner3ReboundPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,3SecondViolations,ThreePtShootingFoulsDrawn,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,on,BlockedLongMidRange,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,OffensiveGoaltends,Clear Path Fouls,BlockedCorner3
101133,1610612759,Ian Mahinmi,Ian Mahinmi,101133,SAS,239.0,4,-5.0,10,9,10.0,9.0,1.0,19,1.0,1.0,1.0,1.0,2.0,4.0,11,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0,0.5,0.5,0.5,1.0,1.0,1.0,0.3897,0.3897,1.0,5.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201588,1610612759,George Hill,George Hill,201588,SAS,13095.0,218,-9.0,424,419,119.0,117.0,50.0,843,4.0,15.0,29.0,62.0,31.0,107.0,478,2.0,11.0,22.0,35.0,40.0,12.0,18.0,1.0,42.0,8.0,10.0,12.0,10.0,2.0,2.0,12.0,6.0,30.0,2.0,35.0,43.0,14.0,35.0,119.0,14.0,0.4677419354838709,0.1818181818181818,0.4634146341463415,0.325,0.5245098039215687,0.5,23.651452282157678,0.056338028169014,0.0561797752808988,0.0754716981132075,0.1829268292682926,0.2666666666666666,0.3076923076923077,0.5038939024390244,0.4737425,0.3271028037383177,7.41774193548387,0.2806603773584906,15.0,32.0,1.0,2.0,1.0,5.0,10.0,15.0,4.0,12.0,1.0,3.0,2.0,8.0,2.0,6.0,6.0,20.0,2.0,5.0,1.0,5.0,3.0,9.0,18.0,15.0,3.0,2.0,8.0,2.0,10.0,6.0,4.0,2.0,6.0,5.0,2.0,2.0,2.0,1.0,7.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,13.0,2.0,3.0,2.0,3.0,9.0,4.0,3.0,1.0,4.0,2.0,1.0,0.3103448275862069,0.3214285714285714,0.8333333333333334,0.3,0.3333333333333333,0.3,0.4,0.4,0.4166666666666667,0.2439024390243902,0.1612903225806451,0.25,0.1333333333333333,0.1666666666666666,0.0142857142857142,0.0555555555555555,0.0103626943005181,0.02,0.0204081632653061,0.0212765957446808,0.0714285714285714,0.0769230769230769,0.0303030303030303,0.5,0.3902439024390244,0.46875,0.625,0.4,0.25,0.1829268292682926,0.6666666666666666,0.6666666666666666,0.2,0.1463414634146341,0.3333333333333333,0.3333333333333333,1.0,0.0975609756097561,0.25,0.25,0.5,0.4,0.5,0.25,0.2,0.15,0.3333333333333333,0.3,0.3333333333333333,0.6341463414634146,0.25,0.48316,0.1022727272727272,0.1323529411764706,0.0467289719626168,24.180000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201971,1610612759,DeJuan Blair,DeJuan Blair,201971,SAS,7861.0,131,25.0,259,252,70.0,71.0,32.0,511,3.0,9.0,37.0,55.0,9.0,83.0,275,8.0,14.0,2.0,18.0,30.0,5.0,6.0,4.0,13.0,19.0,29.0,49.0,7.0,,,11.0,3.0,27.0,3.0,11.0,15.0,2.0,18.0,70.0,,0.6727272727272727,0.5714285714285714,0.6727272727272727,0.5714285714285714,0.6916666666666667,0.6,24.14965986394558,0.1792452830188679,0.1450381679389313,0.1818181818181818,0.1636363636363636,0.3333333333333333,0.3333333333333333,0.5551890909090909,0.5326142857142857,0.216867469879518,2.6309090909090918,0.2702702702702703,33.0,44.0,12.0,16.0,8.0,9.0,1.0,2.0,,,,,,,,,,,12.0,18.0,2.0,26.0,,,44.0,,,18.0,,,4.0,1.0,,1.0,,1.0,17.0,,20.0,4.0,4.0,2.0,2.0,4.0,2.0,1.0,,2.0,15.0,,,1.0,5.0,8.0,5.0,5.0,,5.0,2.0,1.0,0.5945945945945946,0.7857142857142857,,,,,0.6666666666666666,0.6666666666666666,0.6842105263157895,,0.0727272727272727,0.0909090909090909,,0.3636363636363636,0.2361111111111111,,0.1844660194174757,0.34375,0.2,0.0975609756097561,0.28125,,0.2857142857142857,0.4,0.8,0.75,0.825,0.5454545454545454,1.0,0.0363636363636363,0.5,0.5,1.0,,,,,,,,,0.8888888888888888,0.75,0.6428571428571429,0.8888888888888888,,,,,0.8,,0.5370933333333333,0.1379310344827586,0.1379310344827586,0.3132530120481928,,2.0,1.0,10.0,3.0,0.6666666666666666,0.0909090909090909,0.064516129032258,0.12,0.0416666666666666,0.1428571428571428,0.1666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2427,1610612759,Roger Mason Jr.,Roger Mason Jr.,2427,SAS,8558.0,143,4.0,276,275,100.0,104.0,33.0,551,4.0,7.0,18.0,31.0,5.0,65.0,308,2.0,7.0,1.0,14.0,20.0,13.0,20.0,10.0,47.0,10.0,14.0,15.0,5.0,,,9.0,2.0,13.0,3.0,5.0,6.0,1.0,14.0,100.0,1.0,0.5806451612903226,0.2857142857142857,0.5172413793103449,0.3421052631578947,0.525,0.35,22.4025974025974,0.0909090909090909,0.1015625,0.1351351351351351,0.1206896551724138,0.5714285714285714,0.6666666666666666,0.4859396551724139,0.4863447368421053,0.2153846153846154,13.187096774193549,0.3623188405797101,4.0,6.0,1.0,1.0,,2.0,10.0,18.0,3.0,10.0,1.0,4.0,5.0,17.0,2.0,8.0,8.0,27.0,2.0,5.0,,4.0,3.0,12.0,16.0,18.0,6.0,,17.0,5.0,1.0,7.0,5.0,2.0,,3.0,1.0,3.0,1.0,,5.0,3.0,2.0,4.0,1.0,3.0,1.0,,5.0,,1.0,1.0,,1.0,3.0,1.0,2.0,3.0,2.0,2.0,0.4444444444444444,0.4444444444444444,0.75,0.2962962962962963,0.25,0.2962962962962963,0.4,0.4,0.4,0.4655172413793103,0.032258064516129,,0.1428571428571428,0.4444444444444444,0.0142857142857142,0.1666666666666666,0.0089285714285714,,,0.0571428571428571,0.0789473684210526,0.1818181818181818,,0.6666666666666666,0.1034482758620689,0.6666666666666666,0.6666666666666666,0.75,0.5,0.3103448275862069,0.5555555555555556,0.5555555555555556,0.3,0.1724137931034483,0.3,0.3,1.0,0.293103448275862,0.2941176470588235,0.2941176470588235,0.6,0.2,1.0,0.1052631578947368,,0.2105263157894736,0.25,0.4210526315789473,0.25,0.5689655172413793,0.2941176470588235,0.393025,0.0169491525423728,0.03125,0.0615384615384615,24.28518518518518,,,1.0,1.0,0.0666666666666666,,,0.04,,,,2.0,0.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
714,1610612759,Michael Finley,Michael Finley,714,SAS,23673.0,395,12.0,762,754,205.0,230.0,87.0,1516,5.0,16.0,24.0,56.0,6.0,93.0,837,2.0,6.0,2.0,21.0,16.0,11.0,19.0,6.0,46.0,30.0,33.0,38.0,4.0,1.0,1.0,13.0,3.0,12.0,,4.0,9.0,1.0,21.0,205.0,1.0,0.4285714285714285,0.3333333333333333,0.4484536082474227,0.4318181818181818,0.455,0.4347826086956521,13.17016317016317,0.1056338028169014,0.0956521739130434,0.0825688073394495,0.1649484536082474,0.3125,0.3333333333333333,0.476321875,0.4959285714285715,0.2258064516129032,14.016071428571424,0.2690288713910761,5.0,7.0,1.0,1.0,1.0,2.0,14.0,33.0,7.0,20.0,3.0,8.0,6.0,21.0,2.0,8.0,13.0,41.0,2.0,5.0,,13.0,5.0,16.0,32.0,39.0,,,20.0,6.0,2.0,8.0,2.0,6.0,,5.0,3.0,3.0,5.0,1.0,6.0,3.0,3.0,9.0,2.0,5.0,,2.0,9.0,,,,,2.0,4.0,3.0,1.0,4.0,3.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.3170731707317073,0.3125,0.325,0.4,0.5909090909090909,0.5909090909090909,0.422680412371134,0.0357142857142857,,0.0625,0.6923076923076923,0.0131578947368421,0.0491803278688524,0.0117994100294985,0.0253164556962025,,0.125,0.1139240506329113,0.0444444444444444,0.0188679245283018,0.75,0.0721649484536082,0.7142857142857143,0.7142857142857143,0.2,0.8,0.3402061855670103,0.4242424242424242,0.4375,0.7857142857142857,0.2061855670103092,0.35,0.3684210526315789,1.0,0.2164948453608247,0.2857142857142857,0.2857142857142857,1.0,0.0909090909090909,1.0,0.0909090909090909,0.5,0.3636363636363636,0.375,0.3636363636363636,0.25,0.4948453608247423,0.3,0.45975,0.0202020202020202,0.0344827586206896,0.1397849462365591,25.35853658536585,1.0,1.0,,4.0,,0.0454545454545454,0.009009009009009,0.0135135135135135,0.0133333333333333,,,3.0,0.0625,3.0,5.0,1.0,3.0,6.0,1.0,1.0,1.0,0.5,0.024390243902439,0.0303030303030303,0.05,0.4545454545454545,0.6,1.0,0.0909090909090909,,,,,,,,,True,,,,,,,
2210,1610612759,Richard Jefferson,Richard Jefferson,2210,SAS,12014.0,200,-3.0,371,375,74.0,78.0,42.0,746,3.0,9.0,20.0,49.0,27.0,85.0,411,2.0,5.0,12.0,19.0,18.0,13.0,16.0,6.0,35.0,21.0,28.0,35.0,1.0,,,6.0,1.0,11.0,,26.0,32.0,3.0,19.0,74.0,3.0,0.4081632653061224,0.4,0.4393939393939394,0.4375,0.5246913580246914,0.6333333333333333,20.71428571428571,0.1458333333333333,0.1388888888888889,0.2459016393442623,0.1363636363636363,0.3333333333333333,0.4285714285714285,0.5033613636363635,0.4941312499999999,0.2235294117647059,9.167346938775507,0.1994609164420485,10.0,21.0,2.0,3.0,1.0,3.0,7.0,19.0,3.0,7.0,1.0,3.0,3.0,10.0,,,6.0,17.0,2.0,6.0,2.0,9.0,1.0,3.0,22.0,18.0,,4.0,10.0,3.0,6.0,3.0,2.0,1.0,3.0,4.0,5.0,4.0,7.0,1.0,3.0,2.0,1.0,5.0,,4.0,1.0,,8.0,1.0,,1.0,3.0,15.0,3.0,3.0,,3.0,2.0,1.0,0.55,0.6111111111111112,1.0,0.3529411764705882,0.3333333333333333,0.3529411764705882,0.3333333333333333,0.5,0.5625,0.2575757575757575,0.1224489795918367,0.1904761904761904,0.2222222222222222,0.8333333333333334,0.0390625,0.1111111111111111,0.0388888888888888,0.0434782608695652,0.0256410256410256,0.0625,0.0857142857142857,0.1111111111111111,0.0303030303030303,0.6666666666666666,0.3181818181818182,0.4761904761904761,0.5882352941176471,0.5,0.3333333333333333,0.2878787878787879,0.3684210526315789,0.3684210526315789,0.7142857142857143,0.106060606060606,0.4285714285714285,0.4285714285714285,1.0,0.1515151515151515,0.3,0.3,1.0,0.4285714285714285,0.6666666666666666,0.375,0.3333333333333333,0.375,0.3333333333333333,,,0.5757575757575758,0.3,0.46444,0.1923076923076923,0.2459016393442623,0.1058823529411764,23.894117647058827,2.0,,3.0,1.0,0.2,,0.0384615384615384,0.0465116279069767,,0.1176470588235294,,,0.1111111111111111,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,0.1428571428571428,1.0,1.0,1.0,,,,,,True,,,,,,,
686,1610612759,Antonio McDyess,Antonio McDyess,686,SAS,6062.0,101,,194,190,67.0,73.0,23.0,384,1.0,3.0,12.0,21.0,4.0,28.0,222,4.0,7.0,3.0,11.0,2.0,4.0,6.0,,14.0,8.0,10.0,18.0,3.0,,,4.0,1.0,15.0,2.0,7.0,6.0,2.0,11.0,67.0,2.0,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.5,0.56,0.55,13.063063063063062,0.1403508771929824,0.1081081081081081,0.1304347826086956,0.1363636363636363,0.3333333333333333,0.3333333333333333,0.4443931818181818,0.4311562499999999,0.3928571428571428,12.695238095238096,0.345360824742268,4.0,6.0,1.0,2.0,2.0,2.0,7.0,12.0,,,,,,1.0,,1.0,,1.0,2.0,4.0,,4.0,,1.0,22.0,,,2.0,1.0,,1.0,2.0,2.0,,2.0,2.0,4.0,,8.0,1.0,2.0,2.0,,1.0,,,,,10.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,0.9166666666666666,1.0,,,,,0.5,0.4,0.4,0.0454545454545454,0.0476190476190476,0.1666666666666666,,0.25,0.0677966101694915,,0.0919540229885057,0.15,,0.0625,0.2222222222222222,,0.1111111111111111,1.0,0.2727272727272727,0.6666666666666666,0.8,0.75,1.0,0.5454545454545454,0.5833333333333334,0.5833333333333334,1.0,,,,,0.0454545454545454,,,,0.4,0.5,0.25,1.0,,,0.125,,0.3181818181818182,,0.523125,0.0434782608695652,0.0454545454545454,0.1428571428571428,25.2,4.0,,2.0,1.0,0.25,,0.1428571428571428,0.0666666666666666,0.1578947368421052,0.1111111111111111,,,,,,1.0,,1.0,,,,,,,,,,,0.2,,,,1.0,1.0,,,,True,,,,,,,
2586,1610612759,Keith Bogans,Keith Bogans,2586,SAS,4086.0,68,-21.0,140,138,39.0,51.0,11.0,278,,2.0,4.0,6.0,1.0,12.0,158,1.0,1.0,,2.0,6.0,1.0,2.0,,5.0,7.0,7.0,9.0,2.0,,,5.0,1.0,6.0,1.0,4.0,1.0,,2.0,39.0,,0.6666666666666666,1.0,0.55,0.5,0.6,0.5,9.933774834437086,0.14,0.1206896551724138,0.1875,0.2,,,0.6049800000000001,0.6329750000000001,0.1666666666666666,3.6,0.2785714285714286,4.0,4.0,1.0,1.0,1.0,1.0,,,,2.0,,1.0,1.0,2.0,,,1.0,4.0,1.0,1.0,,2.0,,1.0,2.0,3.0,,2.0,2.0,1.0,,1.0,,1.0,1.0,,1.0,,2.0,,2.0,1.0,1.0,3.0,,2.0,1.0,,2.0,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.25,0.3333333333333333,1.0,0.25,,0.25,1.0,1.0,1.0,0.4,,,,0.6,0.027027027027027,,0.037037037037037,,,0.0714285714285714,0.15,,,0.5,0.4,1.0,1.0,0.25,,,,,,0.2,,,,0.2,0.5,0.5,1.0,1.0,1.0,0.5,1.0,0.5,,,,0.8,0.5,,0.1,0.1666666666666666,0.1666666666666666,23.65,1.0,,,1.0,,,0.0588235294117647,0.0666666666666666,0.0909090909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,12595.0,210,1.0,398,396,89.0,106.0,45.0,794,27.0,50.0,53.0,95.0,17.0,123.0,440,8.0,15.0,9.0,25.0,60.0,21.0,26.0,10.0,57.0,33.0,51.0,67.0,2.0,,1.0,10.0,1.0,13.0,,22.0,22.0,2.0,25.0,89.0,2.0,0.5578947368421052,0.5333333333333333,0.5520833333333334,0.5333333333333333,0.5801886792452831,0.5952380952380952,25.89285714285714,0.2340425531914893,0.2528089887640449,0.2166666666666666,0.5208333333333334,0.54,0.6,0.4608599999999999,0.46776,0.2032520325203252,7.186315789473683,0.2236180904522613,19.0,31.0,6.0,11.0,3.0,6.0,7.0,14.0,,,,,,1.0,,,,1.0,9.0,15.0,,18.0,,,46.0,,,10.0,,,10.0,5.0,1.0,4.0,3.0,8.0,11.0,12.0,16.0,2.0,4.0,3.0,1.0,8.0,,4.0,,1.0,8.0,1.0,2.0,3.0,2.0,10.0,9.0,7.0,2.0,9.0,6.0,2.0,0.4339622641509434,0.4791666666666667,,,,,0.6,0.6,0.6,0.0104166666666666,0.1052631578947368,0.1612903225806451,0.1,0.8,0.088,0.3243243243243243,0.0824175824175824,0.131578947368421,0.0588235294117647,0.1463414634146341,0.35,0.2692307692307692,0.0625,0.6666666666666666,0.3229166666666667,0.6129032258064516,0.7307692307692307,0.5263157894736842,0.3703703703703703,0.1458333333333333,0.5,0.5,0.4285714285714285,,,,,0.0104166666666666,,,,0.7333333333333333,0.5454545454545454,0.4,0.5,,,,,0.3333333333333333,,0.5662076923076923,0.0961538461538461,0.0970873786407767,0.1463414634146341,41.1,4.0,1.0,6.0,4.0,0.375,0.0909090909090909,0.0701754385964912,0.0833333333333333,0.0789473684210526,0.0526315789473684,0.3333333333333333,,0.4545454545454545,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,7962.0,133,-13.0,271,266,107.0,113.0,36.0,537,2.0,8.0,17.0,41.0,27.0,94.0,312,4.0,13.0,22.0,51.0,26.0,17.0,21.0,11.0,46.0,10.0,15.0,24.0,2.0,,,9.0,3.0,6.0,1.0,24.0,34.0,6.0,51.0,107.0,6.0,0.4146341463414634,0.3076923076923077,0.4926470588235294,0.58,0.5609756097560976,0.6944444444444444,29.449838187702262,0.1204819277108433,0.1238095238095238,0.2068965517241379,0.1176470588235294,0.25,0.2857142857142857,0.5169345588235295,0.5089199999999999,0.5425531914893617,7.353658536585366,0.3948339483394834,13.0,22.0,3.0,4.0,4.0,7.0,2.0,11.0,4.0,7.0,3.0,4.0,7.0,20.0,4.0,8.0,11.0,27.0,3.0,5.0,5.0,17.0,7.0,12.0,8.0,24.0,9.0,2.0,20.0,7.0,6.0,4.0,3.0,1.0,6.0,,5.0,3.0,9.0,1.0,4.0,,4.0,7.0,1.0,5.0,,,4.0,,1.0,5.0,2.0,8.0,2.0,2.0,,2.0,,,0.2352941176470588,0.25,0.7272727272727273,0.4074074074074074,0.5833333333333334,0.4074074074074074,0.6,0.75,0.85,0.3970588235294117,0.1463414634146341,0.2272727272727272,0.125,0.7777777777777778,0.0649350649350649,0.1363636363636363,0.0703125,0.1111111111111111,0.04,0.0833333333333333,0.0555555555555555,0.125,0.03125,,0.3235294117647059,0.5909090909090909,0.7647058823529411,0.2307692307692307,,0.1617647058823529,0.1818181818181818,0.1818181818181818,0.5,0.1029411764705882,0.5714285714285714,0.5714285714285714,0.75,0.2941176470588235,0.35,0.3888888888888889,0.7142857142857143,0.5,0.75,0.28,0.5714285714285714,0.16,0.75,0.32,0.5,0.7205882352941176,0.35,0.54195,0.131578947368421,0.1702127659574468,0.1808510638297872,24.374074074074077,4.0,,2.0,2.0,0.1538461538461538,,0.0784313725490196,0.04,0.088235294117647,0.0588235294117647,0.3333333333333333,2.0,0.1666666666666666,2.0,2.0,1.0,2.0,3.0,,2.0,,0.6666666666666666,0.074074074074074,,,0.25,1.0,0.5,0.125,,,,,,2.0,0.1,0.0689655172413793,True,,,,,,,
