EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ThreePtAssists,Arc3Assists,ShortMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,Turnovers,LiveBallTurnoverPct,ShortMidRangeFGM,LongMidRangeFGM,DeadBallTurnovers,Travels,PenaltyTurnovers,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,BadPassTurnovers,Loose Ball Fouls Drawn,PenaltyCorner3FGA,ShootingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,PenaltyCorner3Frequency,on,Corner3FGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,PtsUnassisted3s,Corner3Assists,LongMidRangeAssists,OffThreePtRebounds,FTOffRebounds,SelfOReb,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Technical Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceFtPoints,HeaveAttempts,LostBallOutOfBoundsTurnovers,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends
101126,1610612738,Nate Robinson,Nate Robinson,101126,BOS,1040.0,17,-11.0,30,32,9.0,6.0,2.0,62,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,6.0,1.0,5.0,2.0,9.0,36,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,1.0,5.0,9.0,0.5,0.5,1.0,0.2,0.5,0.2,0.3333333333333333,1.0,0.3181818181818182,0.8333333333333334,0.375,0.8333333333333334,0.45454545454545453,0.16666666666666666,0.25,37.5,0.5,0.1111111111111111,0.2857142857142857,0.1875,0.2,0.4,0.36363636363636365,0.5,0.6666666666666666,0.5,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.5,0.8181818181818182,0.3333333333333333,0.5329954545454545,0.62415,0.45330000000000004,0.08333333333333333,0.14285714285714285,0.5555555555555556,5.316666666666667,25.660000000000004,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200749,1610612738,Shelden Williams,Shelden Williams,200749,BOS,986.0,16,1.0,29,29,5.0,6.0,2.0,58,2.0,2.0,,,1.0,1.0,,,,,,,2.0,4.0,,,4.0,8.0,30,,,,,,2.0,2.0,2.0,,,,,1.0,1.0,,2.0,3.0,,2.0,4.0,1.0,2.0,5.0,0.5,1.0,,,,,0.5,,0.5,,0.6666666666666666,1.0,,,,19.35483870967742,,0.125,0.16666666666666666,0.14285714285714285,,0.25,0.5,1.0,1.0,0.5,0.25,0.25,,,,,,,,,,,0.5,,0.501625,0.5902,,0.2,0.2,0.25,5.6,,0.1724137931034483,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.1,0.06666666666666667,0.3333333333333333,0.25,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,330.0,6,-2.0,9,10,,1.0,,19,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,14,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,33.333333333333336,,,,,,,,,,,0.5,,,0.5,,,,,,,1.0,,0.5,,0.3741,,,,,,12.1,37.3,,,,,,,,,2.0,4.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201802,1610612738,Oliver Lafayette,Oliver Lafayette,201802,BOS,1291.0,22,-9.0,38,39,9.0,6.0,2.0,77,,,,,1.0,3.0,1.0,,1.0,1.0,,,2.0,4.0,1.0,2.0,,7.0,46,,,1.0,,,,2.0,2.0,3.0,1.0,1.0,,1.0,2.0,,3.0,4.0,,,,,,9.0,0.5,0.5,1.0,0.5,,0.5,0.5,,0.5833333333333334,,0.5833333333333334,,0.3333333333333333,,,17.5,,0.2,0.125,0.16666666666666666,0.3333333333333333,,,,,,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,,,,,,0.3333333333333333,1.0,0.47453333333333325,,0.4107,,,,16.525,23.75,0.23684210526315788,,,,,,,,2.0,2.0,2.0,4.0,1.0,1.0,,,,,,,,,,,,0.07142857142857142,0.05263157894736842,0.25,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2243,1610612738,Brian Scalabrine,Brian Scalabrine,2243,BOS,1022.0,17,-9.0,30,31,9.0,5.0,2.0,61,1.0,2.0,,,,1.0,,,,,,,1.0,3.0,,,,2.0,34,,,,,,,,2.0,,,,,,1.0,1.0,2.0,2.0,,1.0,,,,9.0,,,,,,,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,,,,15.625,0.5,0.1111111111111111,,0.0625,0.2,,0.6666666666666666,0.5,0.5,,,0.3333333333333333,,,,,,,,,,,0.6666666666666666,,0.4965333333333333,,,,,,8.766666666666667,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,1610612738,Rasheed Wallace,Rasheed Wallace,739,BOS,269.0,4,,8,8,,1.0,,16,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,3.0,12,,,,,,,,,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,1.5,,1.5,,1.0,,,12.5,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,0.5982,,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2605,1610612738,Marquis Daniels,Marquis Daniels,2605,BOS,1037.0,17,-3.0,32,31,9.0,5.0,2.0,63,3.0,4.0,1.0,1.0,2.0,,1.0,,,,,,4.0,6.0,,1.0,,8.0,34,,2.0,2.0,,1.0,4.0,4.0,4.0,,,,,,2.0,,2.0,2.0,2.0,3.0,1.0,1.0,4.0,9.0,0.5,0.5,,,,,0.6666666666666666,1.0,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.14285714285714285,,,20.588235294117645,,0.2222222222222222,,0.13333333333333333,0.2,,0.5714285714285714,0.75,0.75,0.6666666666666666,0.2857142857142857,,0.14285714285714285,,,,,,0.3333333333333333,1.0,,,0.7142857142857143,,0.5547142857142857,,0.4852,0.14285714285714285,0.16666666666666666,0.5,5.249999999999999,23.9,0.28125,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,0.25,,,,,1.0,1.0,,,,,,1.0,,,,,,0.5,0.5,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201175,1610612738,Glen Davis,Glen Davis,201175,BOS,305.0,5,-10.0,9,10,4.0,,,19,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1610612738,Michael Finley,Michael Finley,714,BOS,175.0,3,-2.0,5,5,,,,10,,,,,,1.0,,,,,,,,1.0,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.4148,,,,,,15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101126,1610612738,Nate Robinson,Nate Robinson,101126,BOS,21891.0,365,-43.0,694,694,174.0,220.0,76.0,1388,7.0,21.0,1.0,3.0,10.0,33.0,6.0,1.0,31.0,76.0,8.0,21.0,25.0,64.0,35.0,82.0,6.0,161.0,754,7.0,3.0,11.0,9.0,22.0,36.0,24.0,26.0,60.0,76.0,31.0,4.0,7.0,21.0,1.0,29.0,34.0,48.0,19.0,11.0,3.0,36.0,174.0,0.48,0.48,0.5714285714285714,0.4268292682926829,0.4090909090909091,0.4268292682926829,0.390625,0.2727272727272727,0.5308219178082192,0.5,0.5331125827814569,0.5,0.5616438356164384,0.0625,0.09523809523809523,21.95121951219512,0.047619047619047616,0.09722222222222222,0.08641975308641975,0.09427609427609428,0.1111111111111111,0.08196721311475409,0.14383561643835616,0.3333333333333333,0.3684210526315789,0.5714285714285714,0.0684931506849315,0.22602739726027396,0.0410958904109589,0.5205479452054794,0.40789473684210525,0.40789473684210525,0.5161290322580645,0.125,0.09090909090909091,0.3333333333333333,0.6363636363636364,0.38095238095238093,0.7054794520547946,0.40789473684210525,0.5180856164383563,0.5369999999999999,0.48516212121212127,0.020134228187919462,0.04477611940298507,0.2236024844720497,11.362499999999999,25.139024390243904,0.2507204610951009,,1.0,,1.0,9.0,3.0,,40.0,51.0,14.0,113.0,2.0,5.0,22.0,9.0,2.0,,,,,2.0,,0.5625,0.5625,0.00909090909090909,0.012539184952978056,,0.07894736842105263,,0.125,,0.055900621118012424,11.0,9.0,7.0,11.0,5.0,20.0,0.55,4.0,14.0,9.0,2.0,2.0,0.1,0.4,0.4444444444444444,0.75,0.42424242424242425,0.4375,6.0,2.0,1.0,18.0,3.0,,0.030303030303030304,False,4.0,1.0,3.0,6.0,3.0,45.0,2.0,19.0,2.0,1.0,1.0,13.0,3.0,1.0,1.0,3.0,2.0,1.0,9.0,0.42857142857142855,0.1,0.030303030303030304,0.03571428571428571,0.020202020202020204,0.016666666666666666,0.012987012987012988,0.024390243902439025,0.1,0.0125,0.35714285714285715,0.6666666666666666,0.6666666666666666,1.0,0.75,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
