EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Clear Path Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,Corner3PctBlocked,on,BlockedCorner3
101122,1610612754,Danny Granger,Danny Granger,101122,IND,136692.0,2278,-38,4582,4580,1060.0,1281.0,468.0,9162,170.0,289.0,18.0,35.0,34.0,47.0,59.0,156.0,101.0,256.0,19.0,45.0,3.0,7.0,8.0,15.0,139.0,393.0,12.0,33.0,37.0,109.0,330.0,701.0,158.0,438.0,363.0,1497.0,4922,27.0,56.0,15.0,40.0,23.0,122.0,73.0,145.0,45.0,124.0,114.0,395.0,248.0,412.0,429.0,45.0,32.0,1.0,392.0,139.0,59.0,6.0,106.0,65.0,171.0,45.0,20.0,54.0,20.0,32.0,407.0,19.0,46.0,2.0,53.0,194.0,28.0,275.0,67.0,342.0,12.0,94.0,37.0,57.0,86.0,12.0,44.0,71.0,16.0,42.0,1.0,16.0,157.0,13.0,32.0,80.0,183.0,1.0,10.0,20.0,287.0,8.0,11.0,428.0,37.0,2.0,35.0,168.0,14.0,28.0,50.0,1.0,1.0,36.0,2.0,12.0,51.0,35.0,3.0,395.0,1060.0,27.0,26.0,0.37575757575757573,0.39490445859872614,0.9050632911392406,0.3607305936073059,0.375,0.3629032258064516,0.36155606407322655,0.47075606276747506,0.48214285714285715,0.503448275862069,0.4978050921861282,0.515625,0.5223048327137546,0.5595419847328245,0.5619047619047619,0.5972222222222222,0.3845478489903424,0.0136986301369863,0.08416547788873038,0.1314878892733564,0.11538461538461539,0.01171875,0.015267175572519083,28.663540445486518,0.5477707006369427,0.17721518987341772,0.014705882352941176,0.11887254901960784,0.033093525179856115,0.11447084233261338,0.02631578947368421,0.11789976133651552,0.030776515151515152,0.03048780487804878,0.043010752688172046,0.028517110266159697,0.030874785591766724,0.007194244604316547,0.09259259259259259,0.08845208845208845,0.15766423357664233,0.1235632183908046,0.08695652173913043,0.020689655172413793,0.6862745098039216,0.2537313432835821,0.5882352941176471,0.6772908366533864,0.4235294117647059,0.1369622475856014,0.3782051282051282,0.427536231884058,0.2711864406779661,0.2247585601404741,0.39453125,0.39920948616600793,0.3564356435643564,0.03950834064969271,0.4222222222222222,0.4222222222222222,0.8947368421052632,0.34503950834064967,0.35368956743002544,0.35917312661498707,0.9064748201438849,0.3645833333333333,0.5142857142857142,0.05555555555555555,0.07291666666666667,0.42857142857142855,0.6666666666666666,0.34375,0.36363636363636365,0.8333333333333334,0.17472118959107807,0.723404255319149,0.055762081784386616,0.5333333333333333,0.4052044609665427,0.3394495412844037,0.6382791922739245,0.35459183673469385,0.5162100352112678,0.5414819444444445,0.4960544776119402,0.1419656786271451,0.20192307692307693,0.03111111111111111,0.08149632598530394,0.2638610554442218,9.098716119828815,25.591552511415518,0.23134002618943691,,,,,True,
101129,1610612754,Luther Head,Luther Head,101129,IND,16821.0,280,6,577,575,172.0,155.0,48.0,1152,16.0,26.0,1.0,3.0,4.0,9.0,4.0,8.0,12.0,29.0,4.0,10.0,,,,1.0,8.0,25.0,,1.0,5.0,13.0,32.0,63.0,12.0,35.0,13.0,113.0,622,1.0,5.0,,1.0,,2.0,8.0,21.0,5.0,14.0,,31.0,22.0,42.0,33.0,3.0,,,25.0,8.0,2.0,,17.0,8.0,25.0,8.0,,10.0,1.0,6.0,58.0,1.0,2.0,,9.0,20.0,2.0,31.0,3.0,34.0,,5.0,2.0,3.0,3.0,3.0,3.0,11.0,1.0,,1.0,5.0,14.0,,5.0,8.0,18.0,,,1.0,15.0,1.0,,16.0,3.0,,1.0,9.0,,,3.0,,,1.0,2.0,,3.0,1.0,,31.0,172.0,2.0,,0.34375,0.34375,0.9166666666666666,0.34285714285714286,,0.35714285714285715,0.34285714285714286,0.5079365079365079,0.2,0.38095238095238093,0.5102040816326531,0.16666666666666666,0.44285714285714284,0.5384615384615384,0.16666666666666666,0.44285714285714284,0.35714285714285715,,0.031746031746031744,0.07692307692307693,,,,18.700475435816166,0.21428571428571427,0.08333333333333333,,0.09345794392523364,0.012345679012345678,0.16666666666666666,0.012195121951219513,0.10820895522388059,0.012295081967213115,0.01818181818181818,,0.01694915254237288,0.015384615384615385,,0.0759493670886076,0.11904761904761904,0.0967741935483871,0.175,0.14285714285714285,,0.3333333333333333,0.2653061224489796,0.6153846153846154,0.6666666666666666,0.4375,0.08163265306122448,0.5,0.5,,0.29591836734693877,0.41379310344827586,0.41379310344827586,0.3333333333333333,0.10204081632653061,0.4,0.4,1.0,0.25510204081632654,0.32,0.32,0.875,0.5,0.3333333333333333,,,,,0.16666666666666666,,,0.2571428571428571,0.4444444444444444,0.02857142857142857,,0.37142857142857144,0.38461538461538464,0.6224489795918368,0.32,0.509684693877551,0.50846,0.5060957142857143,0.08653846153846154,0.13043478260869565,,0.017699115044247787,0.2743362831858407,10.449206349206348,24.99428571428571,0.29809358752166376,,,,,True,
1902,1610612754,Jeff Foster,Jeff Foster,1902,IND,6925.0,115,-15,245,244,57.0,80.0,32.0,489,10.0,14.0,5.0,9.0,2.0,4.0,2.0,3.0,,1.0,,,,,,,,,,,,,12.0,18.0,,,,24.0,276,7.0,12.0,,,,14.0,2.0,5.0,,,,4.0,8.0,16.0,,,14.0,,,,1.0,,4.0,8.0,12.0,7.0,1.0,,1.0,3.0,32.0,5.0,12.0,,,15.0,4.0,19.0,17.0,36.0,,3.0,1.0,2.0,5.0,1.0,4.0,7.0,,1.0,,2.0,12.0,,2.0,15.0,25.0,,2.0,3.0,8.0,2.0,2.0,3.0,3.0,,,3.0,,,2.0,,,1.0,1.0,,2.0,2.0,,4.0,57.0,2.0,,0.3333333333333333,0.8,,,,,,0.6666666666666666,0.5833333333333334,0.4,0.6666666666666666,0.5833333333333334,0.4,0.6666666666666666,0.5833333333333334,0.4,,,0.05555555555555555,0.07142857142857142,,,,10.75268817204301,0.4166666666666667,0.4444444444444444,,0.2054794520547945,0.17142857142857143,,0.1282051282051282,0.16304347826086957,0.1559633027522936,0.13636363636363635,0.3333333333333333,0.1,0.06060606060606061,0.5,0.4375,0.08695652173913043,0.17647058823529413,,,,1.0,0.7777777777777778,0.7142857142857143,0.7692307692307693,0.4,0.16666666666666666,0.6666666666666666,0.6666666666666666,,0.05555555555555555,,,,,,,,,,,,0.75,0.5555555555555556,,,,,,,,0.8,0.5,,,,,0.7777777777777778,,0.5569999999999999,0.5673,0.54118,0.16666666666666666,0.16666666666666666,,0.5833333333333334,0.16666666666666666,2.772222222222222,,0.23265306122448978,,,,,True,
2211,1610612754,Troy Murphy,Troy Murphy,2211,IND,88119.0,1469,-102,2956,2950,553.0,700.0,295.0,5906,87.0,145.0,23.0,43.0,18.0,33.0,15.0,37.0,45.0,110.0,,6.0,,,,1.0,77.0,197.0,2.0,14.0,7.0,23.0,147.0,292.0,77.0,203.0,95.0,620.0,3213,27.0,54.0,2.0,14.0,9.0,69.0,30.0,53.0,7.0,24.0,36.0,117.0,190.0,104.0,231.0,,36.0,,197.0,77.0,20.0,2.0,66.0,37.0,103.0,34.0,3.0,32.0,9.0,25.0,243.0,26.0,56.0,4.0,68.0,266.0,45.0,379.0,86.0,465.0,18.0,42.0,31.0,11.0,34.0,7.0,21.0,28.0,3.0,13.0,,7.0,62.0,1.0,11.0,63.0,108.0,,10.0,7.0,109.0,12.0,7.0,119.0,19.0,,,58.0,,11.0,24.0,,,11.0,1.0,12.0,24.0,14.0,,117.0,553.0,14.0,10.0,0.6462585034013606,0.7364341085271318,1.0,0.3793103448275862,0.14285714285714285,0.2916666666666667,0.3793103448275862,0.5034246575342466,0.5,0.5660377358490566,0.5303030303030303,0.4411764705882353,0.525974025974026,0.5688073394495413,0.46621621621621623,0.6030927835051546,0.4101010101010101,0.009852216748768473,0.0684931506849315,0.11724137931034483,0.08108108108108109,,0.01015228426395939,18.461070559610704,0.5483870967741935,0.47368421052631576,0.05063291139240506,0.2530922930542341,0.06201550387596899,0.22972972972972974,0.053830227743271224,0.2479584261321455,0.05916305916305916,0.09538461538461539,0.036290322580645164,0.048484848484848485,0.04556962025316456,0.09090909090909091,0.23410404624277456,0.25475285171102663,0.2669683257918552,0.25892857142857145,0.1388888888888889,0.07317073170731707,0.5833333333333334,0.29292929292929293,0.6,0.6796875,0.5977011494252874,0.07474747474747474,0.40540540540540543,0.4411764705882353,0.4666666666666667,0.2222222222222222,0.4090909090909091,0.4090909090909091,0.8,0.012121212121212121,,,,0.397979797979798,0.39086294416243655,0.39487179487179486,1.0,0.6323529411764706,0.5348837209302325,0.2608695652173913,,,,0.20588235294117646,0.14285714285714285,1.0,0.42857142857142855,0.5454545454545454,0.012987012987012988,,0.2987012987012987,0.30434782608695654,0.703030303030303,0.39086294416243655,0.5333067813765179,0.5641250000000001,0.5275039473684211,0.10861423220973783,0.17522658610271905,,0.11129032258064517,0.18870967741935485,8.463013698630139,25.56600985221675,0.18707713125845737,3.0,1.0,5.0,,True,
2248,1610612754,Earl Watson,Earl Watson,2248,IND,86717.0,1445,24,2894,2893,755.0,863.0,293.0,5787,70.0,116.0,6.0,10.0,24.0,36.0,23.0,56.0,18.0,40.0,8.0,27.0,1.0,1.0,3.0,9.0,20.0,65.0,,2.0,4.0,18.0,111.0,212.0,28.0,92.0,87.0,393.0,3132,8.0,14.0,1.0,3.0,6.0,25.0,34.0,54.0,7.0,27.0,29.0,118.0,56.0,166.0,78.0,6.0,14.0,1.0,64.0,20.0,20.0,,144.0,105.0,249.0,78.0,27.0,89.0,16.0,39.0,603.0,9.0,22.0,,25.0,81.0,,106.0,31.0,137.0,3.0,66.0,30.0,36.0,59.0,18.0,44.0,54.0,3.0,15.0,1.0,20.0,113.0,2.0,32.0,48.0,115.0,1.0,5.0,7.0,123.0,4.0,27.0,121.0,6.0,,,49.0,1.0,13.0,10.0,2.0,2.0,8.0,,2.0,12.0,5.0,,118.0,755.0,11.0,11.0,0.25225225225225223,0.2692307692307692,0.9285714285714286,0.30434782608695654,0.3333333333333333,0.25925925925925924,0.3076923076923077,0.5235849056603774,0.5714285714285714,0.6296296296296297,0.5032894736842105,0.5588235294117647,0.5493827160493827,0.5443213296398892,0.5681818181818182,0.5784313725490197,0.3026315789473684,,0.09433962264150944,0.12931034482758622,0.07142857142857142,0.025,,14.665841584158416,0.5221238938053098,,,0.0781099324975892,0.025821596244131457,0.08305647840531562,0.019067796610169493,0.07922272047832586,0.023413897280966767,0.027210884353741496,0.024896265560165973,0.025236593059936908,0.022670025188916875,,0.06741573033707865,0.08368200836820083,0.083710407239819,0.08225108225108226,0.08571428571428572,0.022222222222222223,0.4166666666666667,0.3815789473684211,0.603448275862069,0.693069306930693,0.24285714285714285,0.18421052631578946,0.4107142857142857,0.4423076923076923,0.17391304347826086,0.13157894736842105,0.45,0.46153846153846156,0.3888888888888889,0.08881578947368421,0.2962962962962963,0.2962962962962963,0.875,0.2138157894736842,0.3076923076923077,0.3076923076923077,0.95,0.5882352941176471,0.6,,0.058823529411764705,1.0,1.0,0.11764705882352941,,,0.4444444444444444,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.6842105263157895,0.3125,0.5297900662251654,0.5418416666666667,0.5161379746835443,0.14367816091954022,0.19215686274509805,0.010752688172043012,0.06361323155216285,0.30025445292620867,6.132075471698113,25.368478260869562,0.26088458880442295,,,,,True,
2551,1610612754,T.J. Ford,T.J. Ford,2551,IND,40015.0,667,-69,1352,1350,301.0,392.0,139.0,2702,43.0,78.0,1.0,6.0,4.0,14.0,20.0,44.0,32.0,70.0,2.0,10.0,1.0,3.0,,1.0,3.0,15.0,1.0,3.0,1.0,6.0,95.0,192.0,5.0,25.0,59.0,264.0,1468,3.0,11.0,2.0,6.0,4.0,16.0,12.0,37.0,1.0,7.0,19.0,46.0,44.0,146.0,9.0,6.0,2.0,1.0,14.0,3.0,12.0,,54.0,31.0,85.0,24.0,7.0,35.0,5.0,14.0,201.0,12.0,12.0,,14.0,42.0,2.0,58.0,24.0,82.0,2.0,28.0,13.0,15.0,29.0,8.0,19.0,19.0,2.0,10.0,3.0,4.0,48.0,1.0,12.0,20.0,57.0,1.0,6.0,1.0,69.0,1.0,5.0,79.0,6.0,,,33.0,1.0,8.0,8.0,,,5.0,,3.0,8.0,6.0,,46.0,301.0,11.0,7.0,0.23157894736842105,0.23404255319148937,0.6,0.2,0.3333333333333333,0.14285714285714285,0.20833333333333334,0.4947916666666667,0.2727272727272727,0.32432432432432434,0.47235023041474655,0.35294117647058826,0.3068181818181818,0.5217391304347826,0.42105263157894735,0.3898305084745763,0.1152073732718894,,0.0625,0.11538461538461539,0.06818181818181818,,,19.960212201591514,0.6041666666666666,0.05,,0.08879492600422834,0.028503562945368172,0.10852713178294573,0.06217616580310881,0.09302325581395349,0.03908794788273615,0.027210884353741496,0.027522935779816515,0.030303030303030304,0.05921052631578947,0.07317073170731707,0.05263157894736842,0.0847457627118644,0.11822660098522167,0.10869565217391304,0.10810810810810811,0.019230769230769232,0.75,0.35944700460829493,0.5512820512820513,0.6231884057971014,0.27906976744186046,0.20276497695852536,0.45454545454545453,0.4878048780487805,0.25,0.3225806451612903,0.45714285714285713,0.45714285714285713,0.15625,0.04608294930875576,0.2,0.2,1.0,0.06912442396313365,0.2,0.2,0.3333333333333333,0.35294117647058826,0.16666666666666666,,0.17647058823529413,0.3333333333333333,1.0,0.17647058823529413,0.3333333333333333,1.0,0.3181818181818182,0.2857142857142857,0.022727272727272728,,0.13636363636363635,0.16666666666666666,0.47465437788018433,0.21428571428571427,0.511132175925926,0.5480277777777778,0.49071279069767454,0.13877551020408163,0.1506849315068493,0.038461538461538464,0.06060606060606061,0.17424242424242425,9.011458333333334,25.424,0.22263313609467456,,,,,True,
200780,1610612754,Solomon Jones,Solomon Jones,200780,IND,17594.0,293,-33,599,593,205.0,271.0,69.0,1192,19.0,35.0,7.0,15.0,7.0,11.0,5.0,15.0,13.0,26.0,,,,,,,,2.0,,,,2.0,37.0,76.0,,2.0,26.0,100.0,659,11.0,23.0,,,7.0,29.0,13.0,21.0,,2.0,13.0,39.0,58.0,16.0,,,14.0,,2.0,,7.0,,8.0,5.0,13.0,5.0,,3.0,1.0,4.0,31.0,9.0,18.0,,10.0,25.0,3.0,38.0,27.0,65.0,2.0,5.0,1.0,4.0,10.0,2.0,7.0,9.0,,3.0,,2.0,19.0,1.0,2.0,45.0,60.0,,1.0,3.0,30.0,3.0,6.0,35.0,1.0,,,13.0,,5.0,13.0,,,9.0,,4.0,13.0,5.0,,39.0,205.0,4.0,4.0,0.7837837837837838,0.9666666666666667,,,,,,0.4868421052631579,0.4782608695652174,0.6190476190476191,0.47435897435897434,0.4782608695652174,0.5652173913043478,0.5263157894736842,0.5370370370370371,0.5909090909090909,0.02564102564102564,,0.09210526315789473,0.2,,,,16.838995568685377,0.5263157894736842,0.1111111111111111,,0.12562814070351758,0.1016949152542373,0.17543859649122806,0.1,0.13671875,0.10112359550561797,0.12698412698412698,0.10869565217391304,0.07352941176470588,0.0945945945945946,0.125,0.04411764705882353,0.20930232558139536,0.14772727272727273,0.14285714285714285,0.26666666666666666,0.0625,0.38461538461538464,0.44871794871794873,0.5428571428571428,0.6785714285714286,0.6842105263157895,0.19230769230769232,0.3333333333333333,0.3333333333333333,0.6,0.3333333333333333,0.5,0.5,1.0,,,,,0.02564102564102564,,,,0.6521739130434783,0.4666666666666667,0.14285714285714285,,,,,,,0.4782608695652174,0.6363636363636364,,,0.08695652173913043,,0.47435897435897434,,0.48000384615384617,0.5431166666666666,0.4604217391304348,0.14444444444444443,0.14772727272727273,,0.29,0.39,8.263157894736842,29.6,0.34223706176961605,,,2.0,,True,
201177,1610612754,Josh McRoberts,Josh McRoberts,201177,IND,11177.0,186,14,376,383,124.0,151.0,47.0,759,17.0,27.0,7.0,10.0,6.0,10.0,2.0,4.0,1.0,8.0,,2.0,,,,,2.0,5.0,,,,1.0,20.0,39.0,2.0,7.0,4.0,50.0,411,8.0,11.0,,,,16.0,7.0,15.0,,1.0,3.0,17.0,20.0,20.0,6.0,,12.0,,5.0,2.0,2.0,,10.0,7.0,17.0,6.0,1.0,6.0,3.0,1.0,41.0,3.0,14.0,,9.0,25.0,3.0,37.0,17.0,54.0,,6.0,5.0,1.0,4.0,,4.0,3.0,,,,1.0,7.0,2.0,1.0,15.0,25.0,,2.0,,14.0,2.0,,14.0,2.0,,,6.0,,2.0,8.0,,,7.0,,1.0,8.0,4.0,,17.0,124.0,,2.0,0.5,0.7142857142857143,1.0,0.2857142857142857,,,0.2857142857142857,0.5128205128205128,0.7272727272727273,0.4666666666666667,0.5,0.7272727272727273,0.4375,0.4807692307692308,0.7272727272727273,0.425,0.15217391304347827,,0.05128205128205128,0.037037037037037035,0.25,,,13.849765258215964,0.5714285714285714,0.3333333333333333,,0.2032520325203252,0.125,0.1875,0.04225352112676056,0.19883040935672514,0.09289617486338798,0.175,0.07407407407407407,0.1111111111111111,0.05084745762711865,,0.13513513513513514,0.14634146341463414,0.3111111111111111,0.22580645161290322,0.11764705882352941,,0.5,0.5869565217391305,0.6296296296296297,0.6538461538461539,0.5294117647058824,0.08695652173913043,0.5,0.6666666666666666,,0.17391304347826086,0.125,0.125,1.0,0.043478260869565216,,,,0.10869565217391304,0.4,0.4,1.0,0.9090909090909091,0.7,0.14285714285714285,,,,,,,0.625,0.6,,,0.0625,,0.7391304347826086,0.4,0.5446206521739131,0.5845400000000001,0.5417875000000001,0.12,0.13953488372093023,,0.32,0.34,5.243589743589744,25.528571428571432,0.32978723404255317,3.0,1.0,1.0,,True,
201575,1610612754,Brandon Rush,Brandon Rush,201575,IND,87303.0,1455,-56,2908,2904,533.0,655.0,301.0,5812,53.0,103.0,11.0,16.0,9.0,19.0,14.0,33.0,34.0,89.0,36.0,64.0,5.0,9.0,7.0,11.0,34.0,98.0,4.0,9.0,7.0,17.0,101.0,225.0,70.0,162.0,30.0,442.0,3115,15.0,25.0,9.0,18.0,9.0,66.0,15.0,36.0,14.0,28.0,11.0,83.0,100.0,102.0,207.0,3.0,10.0,,98.0,34.0,17.0,,32.0,31.0,63.0,27.0,4.0,13.0,5.0,14.0,157.0,8.0,14.0,1.0,42.0,107.0,20.0,169.0,23.0,192.0,3.0,33.0,18.0,15.0,28.0,5.0,19.0,21.0,8.0,9.0,1.0,1.0,49.0,2.0,8.0,75.0,109.0,,2.0,5.0,44.0,4.0,5.0,44.0,8.0,,,23.0,,3.0,37.0,1.0,1.0,28.0,1.0,8.0,38.0,17.0,,83.0,533.0,4.0,3.0,0.49504950495049505,0.5208333333333334,0.9857142857142858,0.43209876543209874,0.5,0.5,0.43209876543209874,0.4488888888888889,0.6,0.4166666666666667,0.5322997416020672,0.6627906976744186,0.5625,0.5456790123456791,0.7021276595744681,0.5928571428571429,0.4186046511627907,,0.07555555555555556,0.11650485436893204,0.12121212121212122,0.011235955056179775,,13.96923076923077,0.5714285714285714,0.21505376344086022,0.013333333333333334,0.09825528007346189,0.01511879049676026,0.16091954022988506,0.017130620985010708,0.11037037037037037,0.015793251974156496,0.018072289156626505,0.012,0.014534883720930232,0.015748031496062992,0.023255813953488372,0.05337078651685393,0.10727969348659004,0.1271186440677966,0.1631578947368421,0.15492957746478872,0.015151515151515152,0.4473684210526316,0.2661498708010336,0.5145631067961165,0.5824175824175825,0.4716981132075472,0.08527131782945736,0.42424242424242425,0.4827586206896552,0.2857142857142857,0.22997416020671835,0.38202247191011235,0.38636363636363635,0.6176470588235294,0.165374677002584,0.5625,0.5625,1.0,0.2532299741602067,0.3469387755102041,0.3469387755102041,0.9705882352941176,0.37209302325581395,0.6875,0.18181818181818182,0.20930232558139536,0.5555555555555556,1.0,0.20930232558139536,0.4444444444444444,0.75,0.296875,0.47368421052631576,0.171875,0.6363636363636364,0.265625,0.4117647058823529,0.6847545219638242,0.3469387755102041,0.5321711886304911,0.5413442857142857,0.53135625,0.05721393034825871,0.09583333333333334,,0.1493212669683258,0.18778280542986425,9.303555555555553,24.858641975308643,0.18328748280605228,1.0,,2.0,,True,
201579,1610612754,Roy Hibbert,Roy Hibbert,201579,IND,72929.0,1215,54,2414,2418,421.0,502.0,240.0,4832,114.0,190.0,39.0,61.0,15.0,26.0,82.0,189.0,20.0,65.0,1.0,3.0,,,,,,,,,,,216.0,444.0,1.0,3.0,95.0,530.0,2541,43.0,75.0,,,21.0,107.0,28.0,57.0,,,24.0,80.0,214.0,218.0,3.0,,68.0,,,,41.0,,64.0,26.0,90.0,23.0,3.0,36.0,6.0,22.0,206.0,23.0,85.0,,27.0,125.0,18.0,170.0,108.0,278.0,21.0,22.0,14.0,8.0,33.0,9.0,18.0,49.0,5.0,15.0,1.0,7.0,82.0,9.0,16.0,127.0,172.0,,9.0,19.0,119.0,8.0,9.0,128.0,20.0,,,64.0,,10.0,82.0,,,52.0,1.0,29.0,82.0,43.0,5.0,80.0,421.0,2.0,10.0,0.49537037037037035,0.5879120879120879,1.0,0.3333333333333333,,,0.3333333333333333,0.4864864864864865,0.5733333333333334,0.49122807017543857,0.4865771812080537,0.5733333333333334,0.49122807017543857,0.5289421157684631,0.601123595505618,0.547945205479452,0.006711409395973154,,0.09234234234234234,0.15789473684210525,0.05291005291005291,0.015384615384615385,,21.648718900854067,0.4024390243902439,0.23684210526315788,,0.13326226012793177,0.10981912144702842,0.11688311688311688,0.07098765432098765,0.1300256629597947,0.09836065573770492,0.18587360594795538,0.1031390134529148,0.0425531914893617,0.07782101167315175,0.04477611940298507,0.1266233766233766,0.12121212121212122,0.14536340852130325,0.1005586592178771,0.17307692307692307,0.11170212765957446,0.524390243902439,0.4250559284116331,0.6,0.7125,0.5526315789473685,0.4228187919463087,0.43386243386243384,0.4581005586592179,0.32926829268292684,0.14541387024608501,0.3076923076923077,0.3125,0.85,0.006711409395973154,0.3333333333333333,0.3333333333333333,1.0,,,,,0.8133333333333334,0.639344262295082,0.10256410256410256,,,,,,,0.45614035087719296,0.5769230769230769,,,,,0.4317673378076063,,0.48215357941834447,0.5574065573770492,0.4874929824561405,0.13034623217922606,0.13114754098360656,,0.2018867924528302,0.1509433962264151,6.5236486486486465,22.933333333333334,0.1743993371996686,6.0,1.0,8.0,,True,
