EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffensiveGoaltends,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,AtRimAssists,ShortMidRangeAssists,FTOffRebounds,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Loose Ball Fouls,ShortMidRangePctBlocked,PtsUnassisted3s,HeaveAttempts,Corner3Assists,Clear Path Fouls,Defensive 3 Seconds Violations,BlockedLongMidRange,DefensiveGoaltends,on,Blocked3s,BlockedArc3,BlockedCorner3,LongMidRangePctBlocked,3SecondViolations,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101189,1610612742,James Singleton,James Singleton,101189,DAL,1912.0,32,10,64,62,8,24,10,126,3,3,3.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,2.0,6,9,3.0,2.0,14,66,3.0,4.0,1.0,6.0,2.0,6.0,6.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0.5,0.75,0.6666666666666666,0.75,0.5,0.6,0.5384615384615384,0.6,0.25,18.666666666666668,0.1875,0.15,0.1,0.1,0.15384615384615385,0.13333333333333333,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.125,0.4,0.125,0.16666666666666666,0.16666666666666666,1.0,0.25,1.0,1.0,0.3333333333333333,0.16666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.25,0.6,1.0,0.3333333333333333,0.2,1.0,0.5,0.46052916666666666,0.5482999999999999,0.45082500000000003,0.07692307692307693,0.1,0.42857142857142855,10.011111111111111,25.133333333333336,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1501,1610612742,Tim Thomas,Tim Thomas,1501,DAL,17110.0,285,-11,540,535,141,149,64,1075,19,26,5.0,7.0,7.0,15.0,7.0,22.0,29.0,1.0,6.0,33,63,43.0,21.0,135,624,5.0,8.0,2.0,15.0,9.0,46.0,20.0,8.0,29.0,11.0,3.0,14.0,3.0,6.0,31.0,4.0,8.0,6.0,19.0,28.0,13.0,41.0,1.0,10.0,5.0,8.0,14,18.0,31.0,19.0,1.0,24.0,10.0,2.0,1.0,2.0,1.0,,141,0.696969696969697,0.7931034482758621,0.5238095238095238,0.625,0.5377358490566038,0.65,0.5818965517241379,0.6818181818181818,0.4056603773584906,21.207177814029365,0.11176470588235295,0.046511627906976744,0.09523809523809523,0.04938271604938271,0.1072961373390558,0.04743083003952569,0.04,0.04,0.05555555555555555,0.045454545454545456,0.09090909090909091,0.13114754098360656,0.0975609756097561,0.018518518518518517,0.5,0.24528301886792453,0.7307692307692307,0.7916666666666666,0.7368421052631579,0.14150943396226415,0.4666666666666667,0.4666666666666667,0.20754716981132076,0.3181818181818182,0.3181818181818182,0.8571428571428571,0.27358490566037735,0.7,0.7142857142857143,0.2,0.1,0.3,0.6509433962264151,0.5124202830188679,0.5387928571428572,0.5218625,0.09565217391304348,0.14084507042253522,0.1111111111111111,8.949206349206346,24.602325581395345,0.2611111111111111,5.0,6.0,6.0,14.0,1.0,2.0,3.0,10.0,1.0,1.0,16.0,1.0,2.0,8.0,11.0,3.0,5.0,30.0,48.0,10.0,2.0,4.0,1.0,1.0,3.0,5.0,6.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,30.0,2.0,1.0,1.0,0.37209302325581395,0.5,0.3333333333333333,0.37209302325581395,0.7272727272727273,0.625,0.6521739130434783,0.031746031746031744,0.07692307692307693,0.42857142857142855,0.16666666666666666,0.08333333333333333,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.42857142857142855,0.1320754716981132,0.42857142857142855,0.42857142857142855,1.0,0.3448275862068966,0.3448275862068966,1.0,0.1,1.0,1.0,0.3,0.8333333333333334,0.15,0.6666666666666666,0.16666666666666666,0.3448275862068966,0.022727272727272728,0.2222222222222222,,,,,,,,,,True,,,,,,,,,,,
1890,1610612742,Shawn Marion,Shawn Marion,1890,DAL,5149.0,86,13,160,158,39,47,16,318,7,9,1.0,3.0,4.0,11.0,,1.0,1.0,,,11,21,2.0,1.0,23,185,1.0,3.0,,2.0,,18.0,4.0,2.0,1.0,4.0,3.0,7.0,3.0,2.0,17.0,4.0,6.0,1.0,8.0,11.0,10.0,21.0,,2.0,1.0,3.0,5,6.0,9.0,4.0,,2.0,1.0,1.0,1.0,1.0,1.0,,39,0.8181818181818182,0.9,0.5238095238095238,0.3333333333333333,0.4782608695652174,0.3333333333333333,0.4791666666666667,0.3333333333333333,0.08695652173913043,16.384180790960453,0.1702127659574468,0.16216216216216217,0.04,0.14814814814814814,0.125,0.15625,,0.07142857142857142,0.2777777777777778,0.19047619047619047,0.15384615384615385,0.23809523809523808,0.06666666666666667,,1.0,0.391304347826087,0.7777777777777778,0.7777777777777778,0.8571428571428571,0.4782608695652174,0.36363636363636365,0.4,0.043478260869565216,,,,0.043478260869565216,1.0,0.3333333333333333,,,,0.4782608695652174,0.4886304347826087,0.597,0.4827571428571429,0.041666666666666664,0.045454545454545456,0.08695652173913043,4.933333333333333,24.5,0.24375,1.0,3.0,,1.0,,,,,,,,,,3.0,7.0,,,6.0,,,1.0,2.0,,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,6.0,,,,,,,,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.047619047619047616,,0.4,0.3333333333333333,,,0.07692307692307693,,0.75,0.043478260869565216,,,,,,,,,,0.42857142857142855,0.3333333333333333,,,,,,0.2608695652173913,1.0,0.09090909090909091,,,,,,,,True,,,,,,,,,,,
1891,1610612742,Jason Terry,Jason Terry,1891,DAL,14414.0,240,-9,454,450,128,133,59,904,7,13,1.0,2.0,8.0,15.0,14.0,30.0,32.0,5.0,17.0,29,58,37.0,23.0,120,527,2.0,5.0,7.0,7.0,17.0,24.0,34.0,,31.0,26.0,12.0,38.0,6.0,9.0,88.0,,,2.0,4.0,7.0,,7.0,,4.0,1.0,2.0,8,6.0,15.0,17.0,1.0,25.0,9.0,,,,,,128,0.41379310344827586,0.41379310344827586,0.5,0.4,0.5105263157894737,0.2916666666666667,0.5518867924528302,0.2916666666666667,0.3894736842105263,21.923076923076923,0.028368794326241134,,0.03636363636363636,,0.030612244897959183,,,,,,0.02127659574468085,0.02,0.05555555555555555,,,0.1368421052631579,0.5384615384615384,0.6363636363636364,0.5714285714285714,0.15789473684210525,0.5333333333333333,0.5333333333333333,0.3157894736842105,0.4666666666666667,0.4666666666666667,0.42857142857142855,0.3368421052631579,0.16666666666666666,0.5,1.0,0.4166666666666667,0.5483870967741935,0.5263157894736842,0.47906382978723416,0.51930625,0.46161833333333335,0.08653846153846154,0.13432835820895522,0.058333333333333334,11.648275862068964,25.67297297297297,0.28193832599118945,4.0,5.0,2.0,5.0,2.0,,,11.0,1.0,8.0,13.0,1.0,,7.0,14.0,8.0,10.0,48.0,30.0,11.0,2.0,15.0,2.0,,1.0,3.0,6.0,,5.0,,1.0,,,1.0,2.0,1.0,1.0,,3.0,,2.0,,48.0,3.0,2.0,0.7692307692307693,0.35135135135135137,0.14285714285714285,0.47058823529411764,0.3611111111111111,0.5,0.6129032258064516,0.6666666666666666,0.034482758620689655,0.15384615384615385,0.75,0.05555555555555555,,,0.045454545454545456,,0.25,0.05263157894736842,0.4,0.4,1.0,0.34375,0.34375,0.7272727272727273,0.16666666666666666,0.2,1.0,0.16129032258064516,0.8,,,0.47058823529411764,0.3548387096774194,,0.4,1.0,,9.0,1.0,6.0,1.0,1.0,,,True,,,,,,,,,,,
467,1610612742,Jason Kidd,Jason Kidd,467,DAL,7100.0,118,-13,223,224,80,73,27,447,5,7,,,,,2.0,6.0,13.0,1.0,5.0,7,13,15.0,1.0,33,269,,2.0,1.0,3.0,5.0,,14.0,,11.0,23.0,7.0,30.0,6.0,6.0,67.0,1.0,2.0,4.0,16.0,21.0,3.0,24.0,,6.0,3.0,,2,3.0,7.0,2.0,,2.0,1.0,2.0,1.0,2.0,1.0,,80,,,0.5384615384615384,,0.5714285714285714,0.5,0.5689655172413793,0.5,0.5357142857142857,12.204724409448819,0.2318840579710145,0.028985507246376812,0.16,0.02702702702702703,0.2127659574468085,0.02830188679245283,,,0.06896551724137931,0.03125,0.2,0.23076923076923078,0.23529411764705882,,0.5,0.25,0.7142857142857143,0.8333333333333334,,,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.4642857142857143,,,,0.3333333333333333,0.3333333333333333,0.7857142857142857,0.5228538461538461,0.50765,0.4868192307692307,0.034482758620689655,0.07142857142857142,0.09090909090909091,10.100000000000001,27.393333333333334,0.35874439461883406,4.0,6.0,2.0,2.0,,,,4.0,1.0,,6.0,1.0,,6.0,10.0,,,12.0,18.0,4.0,1.0,14.0,3.0,,1.0,3.0,2.0,,2.0,,,,,,,,,,,,,1.0,12.0,1.0,,1.0,0.4,1.0,,0.46153846153846156,0.6,0.4,0.4,0.07692307692307693,0.14285714285714285,1.0,0.1111111111111111,,,0.2777777777777778,,,0.07142857142857142,1.0,1.0,1.0,0.3076923076923077,0.3076923076923077,1.0,,1.0,1.0,0.4,0.6666666666666666,,,,0.36363636363636365,,0.36363636363636365,,,,2.0,1.0,,,,,True,,,,,,,,,,,
200826,1610612742,J.J. Barea,J.J. Barea,200826,DAL,10513.0,175,-12,330,327,73,77,37,657,8,17,1.0,2.0,3.0,13.0,3.0,8.0,14.0,2.0,2.0,14,38,16.0,3.0,52,372,1.0,3.0,2.0,8.0,2.0,2.0,26.0,,14.0,18.0,8.0,26.0,4.0,4.0,60.0,1.0,,8.0,10.0,18.0,1.0,19.0,,4.0,3.0,3.0,9,5.0,10.0,12.0,2.0,3.0,2.0,1.0,,1.0,1.0,,73,0.07142857142857142,0.07142857142857142,0.3684210526315789,0.3333333333333333,0.4537037037037037,0.8,0.4727272727272727,0.8,0.2962962962962963,17.204301075268816,0.09009009009009009,,0.25,0.022727272727272728,0.1258741258741259,0.006369426751592357,,,,0.02631578947368421,0.03333333333333333,0.17142857142857143,0.3684210526315789,,1.0,0.3148148148148148,0.47058823529411764,0.6666666666666666,,0.24074074074074073,0.23076923076923078,0.23076923076923078,0.14814814814814814,0.375,0.375,0.3333333333333333,0.25925925925925924,0.4,0.5,,0.4,0.16666666666666666,0.6111111111111112,0.48952870370370366,0.51775,0.4253499999999999,0.03636363636363636,0.05128205128205128,0.15384615384615385,6.389473684210526,24.925,0.22121212121212122,1.0,5.0,1.0,2.0,,,,6.0,2.0,1.0,7.0,2.0,,4.0,10.0,1.0,,11.0,12.0,6.0,5.0,13.0,1.0,,,1.0,6.0,3.0,4.0,,2.0,,,,,,1.0,1.0,,,,,11.0,1.0,,0.5714285714285714,0.4375,1.0,0.5,0.4375,0.4,0.4583333333333333,0.4583333333333333,0.13157894736842105,0.29411764705882354,0.6666666666666666,,,,0.06521739130434782,0.07692307692307693,,0.037037037037037035,0.5,0.5,1.0,0.42857142857142855,0.42857142857142855,0.5,,1.0,0.5,0.4166666666666667,0.2,,,0.5,0.42857142857142855,,0.21153846153846154,,,9.0,,4.0,,,1.0,,True,,,,,,,,,,,
2400,1610612742,Drew Gooden,Drew Gooden,2400,DAL,5204.0,87,-38,163,162,46,45,20,325,8,15,3.0,9.0,4.0,10.0,,4.0,2.0,,1.0,12,29,2.0,5.0,29,197,3.0,10.0,,6.0,1.0,18.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,,5.0,3.0,10.0,3.0,12.0,19.0,13.0,32.0,,,,5.0,8,8.0,13.0,7.0,1.0,6.0,3.0,11.0,8.0,11.0,8.0,1.0,46,0.75,0.8181818181818182,0.41379310344827586,0.3,0.3870967741935484,0.3,0.4264705882352941,0.3,0.06451612903225806,22.45989304812834,0.2033898305084746,0.15873015873015872,0.42857142857142855,0.13043478260869565,0.22727272727272727,0.1511627906976744,0.29411764705882354,0.15,0.07692307692307693,0.10526315789473684,0.2,0.2,0.6666666666666666,,0.7272727272727273,0.4838709677419355,0.5333333333333333,0.6153846153846154,0.75,0.3225806451612903,0.4,0.4,0.12903225806451613,,,,0.06451612903225806,0.9,0.3333333333333333,0.6666666666666666,,0.125,0.5483870967741935,0.49753666666666674,0.5712777777777778,0.5318714285714286,0.08823529411764706,0.09375,0.20689655172413793,5.420689655172414,36.95,0.2822085889570552,2.0,5.0,,,,,,,,,,,,2.0,7.0,,,4.0,,,2.0,1.0,,,4.0,,3.0,,1.0,,2.0,,1.0,1.0,2.0,3.0,2.0,,,,,3.0,4.0,,,,,,,,0.2857142857142857,0.25,0.25,0.06896551724137931,0.13333333333333333,0.375,0.6666666666666666,,0.25,0.20833333333333334,0.25,0.75,,,,,,,,,,,0.625,0.4,,,,,,0.13793103448275862,1.0,,,1.0,,,1.0,,,True,,,,,,,,,,,
2679,1610612742,Matt Carroll,Matt Carroll,2679,DAL,904.0,15,1,31,30,16,22,4,61,1,1,,,,,1.0,2.0,1.0,,,2,3,2.0,,10,31,,,,,1.0,2.0,2.0,,1.0,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1,2.0,3.0,,,,,,,,,,16,0.5,0.5,0.6666666666666666,,1.0,,1.0,,0.4,17.142857142857142,,,,,,,,,,,,,,,,0.2,1.0,1.0,,,,,0.4,0.5,0.5,1.0,0.2,,,,,,0.6,0.454,,0.4074,,,,13.0,24.35,0.5161290322580645,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,1.0,,3.0,6.0,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,3.0,1.0,,1.0,1.0,,1.0,1.0,,1.5,1.5,,,1.0,,,,,,,0.2,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,0.3,,,,,,,,,,True,,,,,,,,,,,
2743,1610612742,Kris Humphries,Kris Humphries,2743,DAL,5267.0,88,18,165,164,27,27,22,329,11,21,2.0,7.0,,2.0,6.0,12.0,,,,17,35,,6.0,40,182,2.0,7.0,,6.0,,22.0,12.0,4.0,,2.0,,2.0,,,4.0,2.0,12.0,3.0,12.0,17.0,14.0,31.0,2.0,2.0,,2.0,2,4.0,8.0,11.0,2.0,8.0,4.0,5.0,4.0,5.0,4.0,,27,0.6470588235294118,0.7333333333333333,0.4857142857142857,0.2857142857142857,0.4857142857142857,0.2857142857142857,0.5128205128205128,0.3333333333333333,,21.354166666666668,0.23529411764705882,0.21428571428571427,0.15,0.08695652173913043,0.2112676056338028,0.17721518987341772,0.2857142857142857,0.2222222222222222,0.11764705882352941,0.10526315789473684,0.35,0.16666666666666666,0.09090909090909091,0.13333333333333333,0.8,0.6,0.5238095238095238,0.6111111111111112,0.7272727272727273,0.05714285714285714,,,0.34285714285714286,0.5,0.5,0.5,,1.0,0.2857142857142857,,,,0.6,0.5151885714285714,0.5707333333333334,0.4216166666666667,0.10526315789473684,0.10526315789473684,0.15,6.531428571428572,,0.16363636363636364,1.0,2.0,,,,,,,,,,,2.0,1.0,6.0,,3.0,5.0,,,3.0,1.0,1.0,,2.0,2.0,,,,,,,1.0,,1.0,,2.0,1.0,,,1.0,1.0,5.0,3.0,1.0,,,,,,0.16666666666666666,0.16666666666666666,0.3125,0.08571428571428572,0.14285714285714285,,0.6666666666666666,,,0.15384615384615385,0.2222222222222222,,,,,,,,,,,,0.3333333333333333,0.5,,,,,,0.125,2.0,,,,,,,,1.0,True,,,,,,,,,,,
956,1610612742,Erick Dampier,Erick Dampier,956,DAL,2832.0,47,-22,86,91,17,21,6,177,7,10,1.0,2.0,,,,,,,,7,10,,5.0,19,106,1.0,2.0,,2.0,,12.0,2.0,,,,,,,,,1.0,4.0,3.0,9.0,14.0,5.0,19.0,,,,1.0,3,5.0,8.0,7.0,1.0,6.0,3.0,,,,,,17,0.8571428571428571,0.8571428571428571,0.7,0.5,0.7,0.5,0.7307692307692307,0.5,,17.391304347826086,0.28125,0.13333333333333333,0.1875,0.07692307692307693,0.25,0.11627906976744186,,0.42857142857142855,0.05555555555555555,0.08333333333333333,0.2727272727272727,0.13333333333333333,0.15384615384615385,,,1.0,0.7,0.7777777777777778,0.8571428571428571,,,,,,,,,1.0,0.5,,,,1.0,0.5936600000000001,0.552,0.5839666666666666,0.23076923076923078,0.23076923076923078,0.10526315789473684,,,0.19767441860465115,2.0,3.0,,,,,,,,,,,,2.0,3.0,,2.0,6.0,,,1.0,,,,2.0,,2.0,1.0,2.0,,,,,,1.0,,3.0,,,,,,6.0,,,,,,,,0.6666666666666666,0.6666666666666666,0.75,0.1,0.1,0.6666666666666666,0.5,,,0.6666666666666666,0.3333333333333333,,,,,,,,,,,,1.0,0.6666666666666666,,,,,,0.3157894736842105,1.0,,,,,,,,,True,,,,,,,,,,,
