EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,PtsUnassisted3s,ThreePtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,SelfOReb,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedArc3,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,SelfORebPct,ThreePtShootingFoulsDrawnPct,Arc3Assists,Travels,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,HeaveAttempts,Defensive 3 Seconds Violations,OffArc3ReboundPct,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,on,FTOffRebounds,StepOutOfBoundsTurnovers,Clear Path Fouls,OffFTReboundPct,Fg3aBlocked,BlockedLongMidRange,OffensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,DefensiveGoaltends,3SecondViolations,3pt And 1 Free Throw Trips
1729,1610612746,Ricky Davis,Ricky Davis,1729,LAC,1900.0,32.0,-25.0,55.0,59,15.0,11,9.0,114,1.0,1.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,7.0,3.0,5.0,17.0,76.0,1.0,1.0,2.0,2.0,8.0,2.0,2.0,2.0,6.0,8.0,9.0,3.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,15.0,1.0,0.6,1.0,1.0,0.6,0.5714285714285714,1.0,0.7083333333333334,1.3333333333333333,0.75,0.7083333333333334,1.3333333333333333,0.75,0.4166666666666667,23.076923076923077,0.6666666666666666,0.06666666666666667,0.045454545454545456,0.2,0.08333333333333333,1.0,1.0,0.5,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.25,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.25,1.0,0.25,1.0,0.5,0.3333333333333333,0.48674583333333327,0.5401666666666667,0.522975,0.47058823529411764,0.35294117647058826,15.714285714285714,24.359999999999996,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1730,1610612746,Brian Skinner,Brian Skinner,1730,LAC,7397.0,123.0,-42.0,221.0,231,66.0,85,35.0,452,4.0,11.0,2.0,7.0,,,,,,,,,,,,,10.0,25.0,,,26.0,263.0,3.0,8.0,,,8.0,11.0,,,10.0,6.0,,,,,,,,13.0,18.0,27.0,2.0,,1.0,5.0,1.0,7.0,10.0,66.0,,,,,,0.4,0.375,0.4,0.375,0.45454545454545453,0.4482758620689655,0.4444444444444444,0.45454545454545453,,13.740458015267174,0.2857142857142857,0.18309859154929578,0.18085106382978725,0.11764705882352941,0.44,0.36363636363636365,0.36363636363636365,0.28,0.2857142857142857,0.2857142857142857,,,,,,,,,,,,,,,,,,,0.44,,0.4682680000000001,0.49107142857142855,0.4681272727272727,0.3076923076923077,0.38461538461538464,7.372000000000001,,0.2986425339366516,2.0,5.0,2.0,4.0,4.0,7.0,6.0,2.0,5.0,14.0,4.0,1.0,1.0,8.0,4.0,1.0,9.0,3.0,2.0,1.0,1.0,1.0,11.0,20.0,3.0,4.0,9.0,1.0,1.0,8.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,0.7,0.875,0.45454545454545453,0.04,0.14285714285714285,0.2,0.0898876404494382,0.17391304347826086,0.04,0.07894736842105263,0.030303030303030304,0.058823529411764705,0.15384615384615385,0.16666666666666666,0.17391304347826086,0.22580645161290322,0.14285714285714285,0.2222222222222222,0.5,0.5,0.28,0.5714285714285714,0.6666666666666666,0.75,1.0,0.625,0.4,0.36363636363636365,0.5,0.13793103448275862,0.13793103448275862,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
1884,1610612746,Baron Davis,Baron Davis,1884,LAC,3150.0,52.0,-41.0,97.0,101,47.0,44,14.0,198,2.0,8.0,4.0,7.0,,1.0,,,,1.0,1.0,7.0,,,,4.0,6.0,16.0,1.0,8.0,27.0,129.0,1.0,2.0,,,5.0,7.0,,5.0,11.0,12.0,,7.0,1.0,5.0,6.0,2.0,13.0,,1.0,3.0,5.0,,4.0,,1.0,5.0,11.0,47.0,,0.125,,,0.125,0.375,0.5,0.3125,0.5,0.08333333333333333,0.45,0.625,0.34375,0.3333333333333333,31.249999999999996,1.0,,0.02702702702702703,,0.3333333333333333,0.25,0.2857142857142857,0.2916666666666667,0.5714285714285714,0.5714285714285714,0.041666666666666664,,,,0.2916666666666667,0.14285714285714285,0.14285714285714285,,,,,,,,0.08333333333333333,,0.3333333333333333,,0.6666666666666666,0.14285714285714285,0.48579999999999995,0.47345,0.4569625,0.18518518518518517,0.4074074074074074,8.575,26.5,0.4845360824742268,1.0,1.0,,4.0,,1.0,12.0,3.0,1.0,,2.0,1.0,,2.0,1.0,,2.0,5.0,1.0,4.0,,1.0,1.0,2.0,,,8.0,,,13.0,3.0,,1.0,,,,1.0,,,,,0.14285714285714285,0.0625,,,0.05,0.09090909090909091,,0.0392156862745098,0.10526315789473684,,,,,,0.14285714285714285,,,,0.041666666666666664,,,,,0.5,1.0,0.3333333333333333,,0.14285714285714285,0.15789473684210525,9.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,0.125,0.07142857142857142,0.1111111111111111,,,,,,,,,,,True,,,,,,,,,,,,,
201154,1610612746,Al Thornton,Al Thornton,201154,LAC,3663.0,61.0,-14.0,104.0,106,32.0,28,19.0,210,2.0,5.0,4.0,10.0,,,,,,,,,,,,,10.0,22.0,,,20.0,128.0,1.0,2.0,,,2.0,7.0,,,2.0,10.0,,,,,2.0,,6.0,3.0,3.0,5.0,,,,1.0,,1.0,2.0,32.0,,,,,,0.45454545454545453,0.5,0.45454545454545453,0.5,0.14285714285714285,0.45454545454545453,0.5,0.14285714285714285,,18.253968253968253,,0.08571428571428572,0.06818181818181818,0.14285714285714285,0.22727272727272727,0.4,0.5,0.45454545454545453,0.4,0.4444444444444444,,,,,,,,,,,,,,,,,,,0.22727272727272727,,0.439290909090909,0.4897,0.4046714285714286,0.1,0.1,10.818181818181818,,0.3076923076923077,,1.0,,,4.0,7.0,,,1.0,10.0,,2.0,,2.0,,,2.0,,,,,,2.0,6.0,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,0.5,0.5,0.14285714285714285,0.09090909090909091,,,0.04081632653061224,,,0.034482758620689655,,,0.08,,,0.14285714285714285,,,,,0.3181818181818182,0.5714285714285714,0.5714285714285714,0.5,0.75,0.5,,,,0.045454545454545456,0.045454545454545456,,,2.0,1.0,,,1.0,,,,,0.2,0.1,,1.0,1.0,1.0,0.1,,,,,,,True,,,,,,,,,,,,,
201569,1610612746,Eric Gordon,Eric Gordon,201569,LAC,3464.0,58.0,-21.0,107.0,112,42.0,64,12.0,219,2.0,9.0,,3.0,1.0,2.0,,,,1.0,2.0,8.0,,,1.0,4.0,4.0,14.0,3.0,10.0,28.0,124.0,,,,,4.0,7.0,1.0,5.0,11.0,6.0,9.0,7.0,2.0,2.0,3.0,,7.0,1.0,4.0,4.0,,,,2.0,,2.0,11.0,42.0,1.0,0.3,,0.2,0.3333333333333333,0.2857142857142857,,0.3541666666666667,,0.375,0.45161290322580644,1.0,0.39285714285714285,0.4166666666666667,27.5,,0.02631578947368421,0.0625,,0.375,0.2222222222222222,0.3333333333333333,0.125,,,0.08333333333333333,0.5,0.5,1.0,0.3333333333333333,0.25,0.25,1.0,,,,,,,0.08333333333333333,,0.3333333333333333,0.25,0.7916666666666666,0.2857142857142857,0.5314152173913044,,0.5051000000000001,0.14285714285714285,0.39285714285714285,4.771428571428571,27.82,0.3925233644859813,,,2.0,4.0,2.0,2.0,11.0,4.0,3.0,2.0,,3.0,,,2.0,1.0,,,,,,,,1.0,,1.0,9.0,,1.0,14.0,6.0,,1.0,,1.0,,1.0,,,0.25,0.25,0.42857142857142855,0.21428571428571427,,0.25,,0.2,,,,,,,,0.058823529411764705,0.2,0.2,,0.5,0.08333333333333333,1.0,1.0,,,,,0.3333333333333333,0.5,0.2,0.3,2.0,,1.0,1.0,2.0,,,,1.0,,1.0,0.3333333333333333,,,,1.0,,,1.0,,,,,,True,,,,,,,,,,,,,
948,1610612746,Marcus Camby,Marcus Camby,948,LAC,1962.0,33.0,-31.0,61.0,67,33.0,20,11.0,128,1.0,6.0,,2.0,,,,,,,,,,,,,1.0,9.0,,,4.0,86.0,,3.0,,,,5.0,,,2.0,,,,,,2.0,,6.0,6.0,9.0,15.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,33.0,,,,,,0.1111111111111111,,0.1111111111111111,,,0.2,,0.16666666666666666,,17.808219178082194,0.6666666666666666,0.3333333333333333,0.34615384615384615,,0.6666666666666666,0.16666666666666666,0.2,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,0.5038444444444444,0.6085,0.51004,,0.5,4.988888888888889,,0.5409836065573771,,2.0,,4.0,,1.0,2.0,,,2.0,,1.0,2.0,4.0,3.0,,6.0,2.0,1.0,1.0,,2.0,,,,,1.0,,,2.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,0.1111111111111111,,,0.13333333333333333,0.375,0.3333333333333333,0.16666666666666666,,,0.3076923076923077,,0.6,0.3,0.4,0.3333333333333333,,1.0,0.1111111111111111,,,,,0.6666666666666666,,0.8,,,,2.0,,2.0,,,,,,1.0,,1.0,0.16666666666666666,,,2.0,,,,,1.0,0.4,,,,True,,,,,,,,,,,,,
2446,1610612746,Rasual Butler,Rasual Butler,2446,LAC,4767.0,79.0,-9.0,144.0,149,42.0,57,21.0,293,1.0,1.0,7.0,12.0,,4.0,,,,2.0,3.0,8.0,1.0,2.0,1.0,2.0,12.0,18.0,3.0,12.0,36.0,160.0,,1.0,1.0,2.0,5.0,4.0,1.0,4.0,9.0,10.0,9.0,8.0,3.0,6.0,6.0,,12.0,2.0,2.0,4.0,,,,2.0,,2.0,9.0,42.0,1.0,0.25,0.5,0.25,0.25,0.6666666666666666,,0.55,0.5,0.5625,0.5645161290322581,0.625,0.5625,0.4,19.642857142857142,,0.0425531914893617,0.03225806451612903,0.07142857142857142,0.03333333333333333,1.0,1.0,0.4,0.5833333333333334,0.5833333333333334,0.13333333333333333,,,,0.26666666666666666,0.375,0.375,1.0,,,,0.6666666666666666,0.5,1.0,0.25,,0.25,0.5,0.43333333333333335,0.375,0.448305,0.48152500000000004,0.4353125,0.1388888888888889,0.25,15.25,25.2,0.2916666666666667,,,,,4.0,5.0,3.0,2.0,3.0,14.0,,,1.0,1.0,,,2.0,,,,,,2.0,3.0,,1.0,4.0,,3.0,3.0,1.0,,,,,,,,,0.5833333333333334,0.5833333333333334,0.75,,,,0.019230769230769232,,0.06666666666666667,0.029850746268656716,0.047619047619047616,,,,0.07692307692307693,,,,,1.0,0.16666666666666666,0.8,0.8,0.75,0.42857142857142855,,,,,0.03225806451612903,0.05263157894736842,,,,,3.0,3.0,,,,,,,,,,,,,,,0.09090909090909091,1.0,1.0,,True,,,,,,,,,,,,,
200776,1610612746,Mardy Collins,Mardy Collins,200776,LAC,817.0,14.0,-5.0,25.0,26,5.0,18,7.0,51,,,,,,,,,,,,,,,,,,1.0,,,,34.0,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,,,2.0,,1.0,,1.0,2.0,,5.0,,,,,,,,,,,,,,,9.09090909090909,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3653,,,,,8.1,,0.2,,,,,,1.0,,,,,,,,,,,,,,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
200779,1610612746,Steve Novak,Steve Novak,200779,LAC,1054.0,18.0,1.0,32.0,34,,12,8.0,66,,,1.0,2.0,,1.0,,,,,1.0,3.0,1.0,1.0,,,2.0,3.0,1.0,4.0,7.0,30.0,1.0,1.0,1.0,1.0,5.0,,,,,,3.0,3.0,1.0,,,,,1.0,2.0,2.0,,,,,,,,,1.0,0.25,1.0,,0.25,0.6666666666666666,1.0,0.5,1.25,,0.5,1.25,,0.5714285714285714,17.5,,0.09090909090909091,0.125,,,,,0.2857142857142857,0.5,0.5,0.14285714285714285,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,0.5,1.0,1.0,,,,,0.5714285714285714,0.3333333333333333,0.4728785714285714,0.3272,,0.7142857142857143,,18.46666666666667,25.049999999999997,,,,,,1.0,1.0,,,,4.0,,,,,1.0,,,1.0,,1.0,,,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,0.2,,,,,,,,0.2,,0.5,,,0.14285714285714285,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
200783,1610612746,Craig Smith,Craig Smith,200783,LAC,2946.0,49.0,-10.0,82.0,87,7.0,11,16.0,169,6.0,7.0,1.0,2.0,,,,,,,,,,,,,9.0,14.0,,,24.0,95.0,2.0,3.0,,,4.0,1.0,,,2.0,6.0,,,,3.0,4.0,1.0,9.0,5.0,8.0,11.0,,,,2.0,,2.0,2.0,7.0,,,,,,0.6428571428571429,0.6666666666666666,0.6428571428571429,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,,19.41747572815534,,0.21739130434782608,0.21212121212121213,0.5,0.5,0.8571428571428571,1.0,0.14285714285714285,0.5,0.5,,,,,,,,,,,,,,,,,,,0.5,,0.47710714285714284,0.38205,0.548,0.16666666666666666,0.08333333333333333,5.742857142857142,,0.08536585365853659,1.0,1.0,1.0,1.0,2.0,5.0,6.0,,1.0,12.0,,1.0,2.0,1.0,2.0,1.0,3.0,,,,1.0,,2.0,6.0,,,7.0,1.0,1.0,9.0,5.0,,,,,,,,,0.6666666666666666,0.6666666666666666,1.0,0.07142857142857142,,0.5,0.02702702702702703,0.2,0.16666666666666666,0.061224489795918366,,,0.05555555555555555,0.5,,0.16666666666666666,0.16666666666666666,0.25,,0.8333333333333334,0.35714285714285715,0.4,0.4,0.5,,0.3333333333333333,1.0,1.0,1.0,0.2777777777777778,0.2777777777777778,,,1.0,,1.0,1.0,,,,,,0.14285714285714285,,,1.0,2.0,1.0,,,1.0,0.1,,,1.0,True,,,,,,,,,,,,,
