EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,Fg3aBlocked,FTOffRebounds,ThreePtShootingFoulsDrawn,OffensiveGoaltends,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,OffFTReboundPct,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,BlockedLongMidRange,Clear Path Fouls,BlockedArc3,StepOutOfBoundsTurnovers,on,Corner3PctBlocked
101154,1610612764,Andray Blatche,Andray Blatche,101154,WAS,26053.0,434,-91.0,850,854,214.0,242,106.0,1704,34.0,67.0,12.0,22.0,9.0,17.0,17.0,31.0,11.0,37.0,1.0,4.0,1.0,1.0,3.0,2.0,62.0,135.0,2.0,7.0,32.0,162.0,976,15.0,29.0,10.0,40.0,13.0,32.0,3.0,9.0,35.0,64.0,60.0,3.0,3.0,24.0,1.0,2.0,1.0,7.0,13.0,4.0,17.0,2.0,2.0,11.0,1.0,1.0,38.0,5.0,34.0,15.0,39.0,9.0,63.0,39.0,102.0,5.0,16.0,6.0,10.0,8.0,3.0,15.0,1.0,5.0,6.0,23.0,4.0,4.0,32.0,68.0,3.0,6.0,31.0,1.0,6.0,37.0,1.0,17.0,2.0,19.0,1.0,10.0,1.0,9.0,20.0,11.0,1.0,1.0,1.0,35.0,214.0,7.0,2.0,0.5161290322580645,0.64,0.5,0.2857142857142857,0.3333333333333333,0.4592592592592592,0.5172413793103449,0.40625,0.4577464788732394,0.5172413793103449,0.3714285714285714,0.50625,0.5714285714285714,0.4375,0.0492957746478873,0.0518518518518518,0.0597014925373134,0.0967741935483871,18.84654994850669,0.3478260869565217,0.3461538461538461,0.1511627906976744,0.1017964071856287,0.1515151515151515,0.0561797752808988,0.1512605042016806,0.0921985815602836,0.1226415094339622,0.1555555555555555,0.0507246376811594,0.0606060606060606,0.0434782608695652,0.1126760563380281,0.1578947368421052,0.1711711711711711,0.1805555555555555,0.074074074074074,0.0735294117647058,0.55,0.4718309859154929,0.5074626865671642,0.5396825396825397,0.5,0.2183098591549295,0.5483870967741935,0.6071428571428571,0.4705882352941176,0.2605633802816901,0.2972972972972973,0.2972972972972973,0.6363636363636364,0.028169014084507,0.25,0.25,1.0,0.0211267605633802,0.3333333333333333,0.3333333333333333,0.7586206896551724,0.5454545454545454,0.0833333333333333,0.4857142857142857,0.5294117647058824,0.0285714285714285,0.0571428571428571,0.5211267605633803,0.5,0.486371985815603,0.4974000000000001,0.4639882352941176,0.1075949367088607,0.1125827814569536,0.2469135802469135,0.2160493827160493,7.5777777777777775,27.02857142857143,0.2517647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
101177,1610612764,Fabricio Oberto,Fabricio Oberto,101177,WAS,4959.0,83,-5.0,160,154,30.0,33,12.0,314,2.0,5.0,,2.0,1.0,1.0,,,,,,,,,,,2.0,5.0,,,2.0,6.0,161,,2.0,,,1.0,1.0,,,2.0,4.0,,,,,,,,,1.0,,1.0,,,,,1.0,2.0,,4.0,,7.0,,7.0,4.0,11.0,,3.0,2.0,1.0,2.0,1.0,3.0,,1.0,,5.0,1.0,2.0,11.0,19.0,3.0,2.0,4.0,,2.0,2.0,,1.0,,2.0,,2.0,,,2.0,,,,,2.0,30.0,1.0,,1.0,1.0,,,,0.4,,1.0,0.4,,1.0,0.5,,1.0,,,,,6.285714285714286,0.4,,0.106060606060606,0.0597014925373134,,,0.0864197530864197,0.050632911392405,0.0526315789473684,,0.09375,,,0.1818181818181818,0.0434782608695652,0.125,,,,,1.0,0.4,0.4,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,0.5746400000000002,0.5664,0.5678,0.1666666666666666,0.1666666666666666,,0.3333333333333333,0.36,,0.1875,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,95695.0,1595,-95.0,3074,3049,791.0,705,399.0,6123,122.0,195.0,40.0,69.0,27.0,43.0,76.0,185.0,59.0,152.0,12.0,41.0,11.0,46.0,127.0,28.0,257.0,532.0,58.0,168.0,152.0,840.0,3405,54.0,94.0,17.0,134.0,51.0,103.0,39.0,51.0,201.0,342.0,172.0,174.0,,54.0,,127.0,46.0,30.0,36.0,16.0,52.0,13.0,3.0,27.0,,9.0,120.0,20.0,76.0,57.0,178.0,28.0,263.0,99.0,362.0,14.0,43.0,23.0,20.0,38.0,20.0,23.0,4.0,18.0,,61.0,4.0,9.0,67.0,112.0,6.0,14.0,202.0,14.0,14.0,217.0,18.0,94.0,21.0,9.0,,5.0,,4.0,9.0,3.0,,,,201.0,791.0,8.0,18.0,0.6653696498054474,0.7434782608695653,1.0,0.3452380952380952,0.3452380952380952,0.4830827067669173,0.574468085106383,0.4951456310679611,0.4914285714285714,0.5909090909090909,0.528169014084507,0.5256570713391739,0.6036036036036037,0.5614525139664804,0.24,0.056390977443609,0.082051282051282,0.0702702702702702,24.27843803056027,0.6229508196721312,0.3181818181818182,0.1671361502347418,0.0678571428571428,0.1561643835616438,0.0583090379008746,0.1643356643356643,0.0656185919343814,0.0906148867313915,0.0705128205128205,0.0521042084168336,0.0555555555555555,0.0684931506849315,0.152,0.1773255813953488,0.167728237791932,0.1724137931034483,0.1153846153846153,0.0401146131805157,0.3333333333333333,0.2785714285714286,0.6256410256410256,0.6815642458100558,0.5327868852459017,0.2642857142857143,0.4108108108108108,0.4418604651162791,0.6973684210526315,0.2171428571428571,0.3881578947368421,0.390728476821192,0.8983050847457628,0.0585714285714285,0.2926829268292683,0.2926829268292683,1.0,0.1814285714285714,0.3622047244094488,0.365079365079365,0.696969696969697,0.5797101449275363,0.2,0.3028169014084507,0.627906976744186,0.0774647887323943,0.1971830985915492,0.5185714285714286,0.3622047244094488,0.4939665236051503,0.52088625,0.4890695035460993,0.1233933161953727,0.1546052631578947,0.1595238095238095,0.2392857142857143,8.54548872180451,24.904761904761905,0.2573194534808067,4.0,1.0,2.0,7.0,2.0,3.0,9.0,3.0,5.0,16.0,1.0,3.0,2.0,1.0,0.6,0.4102564102564102,0.0059523809523809,0.006578947368421,0.0078740157480314,0.0326086956521739,1.0,0.0202020202020202,0.5,1.0,0.0303030303030303,0.6666666666666666,1.0,0.6363636363636364,0.3214285714285714,0.0117647058823529,,,,,,True,
1863,1610612764,Earl Boykins,Earl Boykins,1863,WAS,30011.0,500,-111.0,957,950,279.0,304,130.0,1907,15.0,24.0,,,4.0,5.0,26.0,53.0,27.0,73.0,2.0,6.0,1.0,6.0,19.0,7.0,68.0,150.0,8.0,25.0,34.0,194.0,1100,7.0,14.0,1.0,18.0,18.0,46.0,8.0,22.0,67.0,22.0,114.0,15.0,9.0,,,19.0,6.0,11.0,58.0,30.0,88.0,21.0,9.0,22.0,13.0,23.0,206.0,4.0,2.0,4.0,23.0,,27.0,6.0,33.0,1.0,13.0,5.0,8.0,14.0,10.0,11.0,2.0,4.0,2.0,25.0,2.0,10.0,7.0,22.0,,,36.0,,3.0,38.0,1.0,8.0,10.0,1.0,,,,,1.0,,,,,67.0,279.0,3.0,10.0,0.1617647058823529,0.1617647058823529,0.625,0.32,0.32,0.4533333333333333,0.5,0.391304347826087,0.4571428571428571,0.53125,0.4166666666666667,0.4973958333333333,0.5294117647058824,0.5075757575757576,0.1428571428571428,0.0733333333333333,0.2083333333333333,0.0566037735849056,19.60252935862692,0.56,,0.0701219512195122,0.0052770448548812,0.037037037037037,0.0396039603960396,0.0619266055045871,0.0125,0.0096153846153846,,0.006060606060606,0.0128205128205128,0.1304347826086956,0.0721649484536082,0.0566037735849056,0.08,0.0259740259740259,0.064516129032258,0.0120481927710843,,0.1371428571428571,0.625,0.7894736842105263,0.2,0.3028571428571429,0.490566037735849,0.52,0.1153846153846153,0.4171428571428571,0.3698630136986301,0.3857142857142857,0.1851851851851851,0.0342857142857142,0.3333333333333333,0.3333333333333333,1.0,0.1085714285714285,0.3157894736842105,0.3157894736842105,,,,0.0925925925925925,0.8,0.0185185185185185,0.1296296296296296,0.28,0.3157894736842105,0.4435192528735633,0.3963499999999999,0.415304716981132,0.0439560439560439,0.0509554140127388,0.0927835051546391,0.345360824742268,11.910666666666666,25.188,0.2915360501567398,4.0,,,,1.0,2.0,3.0,1.0,2.0,3.0,,,,,0.5,0.375,,0.0410958904109589,,,0.5,,,,0.125,0.5,1.0,,0.4285714285714285,,3.0,1.0,,,,True,
200751,1610612764,Randy Foye,Randy Foye,200751,WAS,44824.0,747,-86.0,1410,1393,327.0,271,179.0,2803,23.0,40.0,,1.0,9.0,12.0,15.0,47.0,60.0,117.0,4.0,8.0,4.0,20.0,61.0,21.0,98.0,204.0,24.0,69.0,70.0,338.0,1596,2.0,11.0,3.0,7.0,27.0,44.0,25.0,31.0,115.0,34.0,162.0,42.0,30.0,,2.0,59.0,20.0,15.0,67.0,33.0,100.0,22.0,11.0,24.0,9.0,34.0,233.0,1.0,7.0,13.0,31.0,1.0,45.0,8.0,53.0,2.0,18.0,11.0,7.0,16.0,13.0,25.0,6.0,3.0,3.0,41.0,2.0,11.0,26.0,58.0,,6.0,60.0,1.0,7.0,77.0,5.0,28.0,11.0,7.0,,2.0,,5.0,7.0,2.0,1.0,,,115.0,327.0,8.0,11.0,0.173469387755102,0.173469387755102,0.5833333333333334,0.3478260869565217,0.3582089552238806,0.4803921568627451,0.1818181818181818,0.6136363636363636,0.4908424908424908,0.1428571428571428,0.6086956521739131,0.5487012987012987,0.21875,0.6686046511627907,0.2527472527472527,0.0735294117647058,0.175,0.1276595744680851,21.54320987654321,0.3902439024390244,0.027027027027027,0.0626262626262626,0.0132075471698113,0.0778443113772455,0.0063694267515923,0.066465256797583,0.0116448326055312,0.0201342281879194,0.0264900662251655,,0.0078740157480314,,0.0210526315789473,0.0751445086705202,0.0704845814977973,0.0588235294117647,0.125,0.0150375939849624,0.2857142857142857,0.1465201465201465,0.575,0.696969696969697,0.1739130434782608,0.1721611721611721,0.3191489361702128,0.3658536585365853,0.1333333333333333,0.4285714285714285,0.5128205128205128,0.5217391304347826,0.1833333333333333,0.0293040293040293,0.5,0.5,1.0,0.2234432234432234,0.3278688524590163,0.3278688524590163,0.0714285714285714,,,0.1739130434782608,0.75,0.0579710144927536,0.3043478260869565,0.3992673992673993,0.3389830508474576,0.4681009225092251,0.4238807692307692,0.4742911764705881,0.0976430976430976,0.1233480176211453,0.0207100591715976,0.3402366863905325,13.113235294117649,25.778260869565223,0.2319148936170212,9.0,,1.0,1.0,,2.0,9.0,,3.0,10.0,,,1.0,,,0.4,,0.017094017094017,,,0.5,0.0714285714285714,,,0.1428571428571428,,,0.25,0.4285714285714285,0.0142857142857142,1.0,,1.0,,,True,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,42539.0,709,-20.0,1412,1398,371.0,308,188.0,2810,44.0,85.0,4.0,7.0,14.0,25.0,25.0,63.0,48.0,113.0,3.0,9.0,6.0,34.0,105.0,27.0,117.0,261.0,37.0,114.0,85.0,430.0,1553,5.0,16.0,8.0,24.0,27.0,64.0,33.0,35.0,110.0,30.0,204.0,60.0,51.0,,1.0,104.0,34.0,22.0,129.0,25.0,154.0,17.0,8.0,61.0,24.0,44.0,333.0,1.0,12.0,14.0,60.0,,74.0,14.0,88.0,9.0,27.0,19.0,8.0,44.0,23.0,26.0,5.0,21.0,4.0,70.0,8.0,19.0,30.0,65.0,2.0,6.0,96.0,2.0,3.0,113.0,9.0,52.0,8.0,7.0,1.0,3.0,,3.0,8.0,2.0,1.0,,,110.0,371.0,14.0,8.0,0.1282051282051282,0.1282051282051282,0.5405405405405406,0.3245614035087719,0.3274336283185841,0.4482758620689655,0.3125,0.421875,0.46,0.32,0.3865979381443299,0.5035211267605634,0.4137931034482758,0.4661016949152542,0.304,0.0842911877394636,0.1294117647058823,0.0952380952380952,30.448127685696747,0.6285714285714286,,0.1237113402061855,0.0239043824701195,0.0838323353293413,0.0059880239520958,0.1134969325153374,0.0194319880418535,0.0218978102189781,0.0344827586206896,0.0181818181818181,0.0075757575757575,,0.1491228070175438,0.065359477124183,0.1513761467889908,0.0991735537190082,0.0434782608695652,0.0478723404255319,0.25,0.2266666666666666,0.5176470588235295,0.5945945945945946,0.1136363636363636,0.168,0.3968253968253968,0.4385964912280701,,0.3013333333333333,0.4247787610619469,0.4444444444444444,0.2083333333333333,0.024,0.3333333333333333,0.3333333333333333,1.0,0.28,0.3238095238095238,0.3269230769230769,0.28,0.5714285714285714,0.5,0.2577319587628865,0.56,0.0618556701030927,0.2783505154639175,0.5306666666666666,0.3269230769230769,0.4985449197860964,0.536863043478261,0.4948989583333333,0.124401913875598,0.1710526315789473,0.055813953488372,0.2558139534883721,10.504597701149429,25.76754385964912,0.2627478753541076,9.0,1.0,2.0,1.0,1.0,7.0,6.0,2.0,9.0,7.0,1.0,1.0,,,0.2222222222222222,0.2121212121212121,0.0087719298245614,0.0442477876106194,0.0095238095238095,0.0212765957446808,0.5,0.08,0.5,1.0,0.28,0.1428571428571428,1.0,0.1666666666666666,0.2222222222222222,,2.0,1.0,1.0,1.0,,True,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,77197.0,1287,-4.0,2492,2456,674.0,564,320.0,4948,58.0,112.0,17.0,28.0,16.0,35.0,22.0,54.0,98.0,231.0,9.0,20.0,6.0,9.0,45.0,22.0,178.0,397.0,18.0,65.0,121.0,531.0,2727,26.0,44.0,6.0,70.0,45.0,100.0,28.0,53.0,170.0,170.0,186.0,30.0,24.0,18.0,2.0,43.0,9.0,29.0,61.0,25.0,86.0,18.0,7.0,27.0,15.0,19.0,197.0,12.0,28.0,49.0,110.0,11.0,170.0,40.0,210.0,6.0,48.0,34.0,14.0,30.0,14.0,46.0,6.0,16.0,14.0,76.0,8.0,24.0,48.0,93.0,,13.0,81.0,2.0,,133.0,7.0,43.0,16.0,10.0,,6.0,,3.0,10.0,5.0,1.0,,3.0,170.0,674.0,10.0,13.0,0.4775280898876404,0.5029585798816568,0.5555555555555556,0.2769230769230769,0.2857142857142857,0.4483627204030226,0.5909090909090909,0.45,0.4437229437229437,0.6274509803921569,0.45703125,0.4990291262135922,0.6388888888888888,0.5424836601307189,0.1406926406926407,0.0730478589420654,0.1339285714285714,0.1481481481481481,20.65103255162758,0.3947368421052631,0.141025641025641,0.1306413301662707,0.0313199105145413,0.1707317073170731,0.0439560439560439,0.1408325952170062,0.0342759211653813,0.0384615384615384,0.0350194552529182,0.0248138957816377,0.0465116279069767,0.0344827586206896,0.0994764397905759,0.1127272727272727,0.1595744680851064,0.1274509803921568,0.2771084337349397,0.0263157894736842,0.5,0.2424242424242424,0.5178571428571429,0.5979381443298969,0.4310344827586206,0.1168831168831168,0.4074074074074074,0.4782608695652174,0.2727272727272727,0.5,0.4242424242424242,0.4355555555555555,0.5510204081632653,0.0432900432900432,0.45,0.45,0.7777777777777778,0.0974025974025974,0.2,0.2045454545454545,0.5490196078431373,0.6071428571428571,0.2941176470588235,0.2734375,0.4571428571428571,0.046875,0.171875,0.3831168831168831,0.2093023255813953,0.4700841356673961,0.5173708333333332,0.4593223577235772,0.0881763527054108,0.0993071593533487,0.1318267419962335,0.32015065913371,12.254408060453402,26.69538461538462,0.2704654895666131,6.0,2.0,2.0,5.0,2.0,5.0,4.0,4.0,7.0,9.0,1.0,,1.0,,0.5714285714285714,0.3214285714285714,0.0153846153846153,0.0259740259740259,0.0222222222222222,,0.3333333333333333,0.0392156862745098,1.0,0.5,0.0980392156862745,0.4,0.5,0.8333333333333334,0.1818181818181818,0.0151515151515151,20.0,1.0,,,3.0,True,
201156,1610612764,Nick Young,Nick Young,201156,WAS,32529.0,542,14.0,1049,1038,295.0,257,115.0,2087,21.0,33.0,2.0,4.0,5.0,7.0,11.0,40.0,39.0,86.0,8.0,14.0,6.0,16.0,38.0,4.0,71.0,159.0,24.0,52.0,41.0,255.0,1135,4.0,9.0,,8.0,21.0,39.0,10.0,9.0,60.0,70.0,72.0,66.0,6.0,2.0,1.0,37.0,16.0,5.0,25.0,1.0,26.0,1.0,,6.0,6.0,13.0,53.0,2.0,8.0,16.0,25.0,,41.0,10.0,51.0,3.0,13.0,7.0,6.0,10.0,5.0,15.0,2.0,5.0,2.0,25.0,1.0,6.0,35.0,62.0,2.0,4.0,36.0,2.0,2.0,52.0,4.0,24.0,1.0,,,,,,,,,,,60.0,295.0,1.0,1.0,0.4929577464788732,0.5,0.9166666666666666,0.4615384615384615,0.4705882352941176,0.4465408805031446,0.4444444444444444,0.5384615384615384,0.5071090047393365,0.3333333333333333,0.5204081632653061,0.5448717948717948,0.3333333333333333,0.5357142857142857,0.2464454976303317,0.0314465408805031,0.0606060606060606,0.05,21.856540084388183,0.4,,0.0692520775623268,0.0220385674931129,0.123076923076923,0.0192307692307692,0.0835030549898167,0.0214132762312633,0.0204081632653061,0.0202020202020202,0.0240963855421686,0.0232558139534883,,0.0666666666666666,0.0560747663551401,0.0805369127516778,0.1263157894736842,0.1142857142857142,0.0277777777777777,,0.1563981042654028,0.6363636363636364,0.6774193548387096,0.5238095238095238,0.1895734597156398,0.275,0.2894736842105263,0.5454545454545454,0.4075829383886256,0.4534883720930232,0.4588235294117647,0.4615384615384615,0.0663507109004739,0.5714285714285714,0.5714285714285714,1.0,0.1800947867298578,0.4210526315789473,0.4324324324324324,0.3333333333333333,0.5,0.5,0.1428571428571428,0.7142857142857143,0.1224489795918367,0.0816326530612244,0.4028436018957346,0.4324324324324324,0.4786245238095237,0.455545,0.4599622448979591,0.111587982832618,0.1340782122905028,0.0313725490196078,0.2352941176470588,12.118238993710692,25.459615384615383,0.2812202097235462,3.0,,,3.0,,3.0,,,3.0,3.0,1.0,,2.0,,,0.3,0.0192307692307692,0.0116279069767441,0.0263157894736842,,0.875,,,,0.25,,,0.5,,0.037037037037037,,,,,2.0,True,
201187,1610612764,Dominic McGuire,Dominic McGuire,201187,WAS,6577.0,110,-35.0,205,217,59.0,75,28.0,422,2.0,5.0,1.0,1.0,2.0,4.0,,2.0,2.0,7.0,,,,,,,4.0,14.0,,,,8.0,239,1.0,1.0,,2.0,2.0,5.0,,,4.0,8.0,,,,,,,,4.0,6.0,1.0,7.0,,1.0,3.0,,3.0,15.0,1.0,4.0,5.0,12.0,1.0,18.0,5.0,23.0,,2.0,,2.0,2.0,2.0,1.0,,,,3.0,,,11.0,18.0,,,4.0,1.0,,,,,,,,,,,,,,,,4.0,59.0,,,1.0,1.0,,,,0.2857142857142857,1.0,0.4,0.2857142857142857,1.0,0.4,0.2857142857142857,1.0,0.4,,0.2857142857142857,0.4,1.0,7.112970711297071,0.6666666666666666,0.1,0.16,0.0434782608695652,0.131578947368421,0.0416666666666666,0.1504424778761062,0.043103448275862,,0.0526315789473684,0.073170731707317,0.05,,0.1666666666666666,0.1304347826086956,0.1785714285714285,0.1666666666666666,0.0714285714285714,,,0.3571428571428571,0.4,0.6666666666666666,1.0,0.1428571428571428,,,,0.5,0.2857142857142857,0.2857142857142857,1.0,,,,,,,,1.0,1.0,1.0,0.8,0.5,,,0.3571428571428571,,0.4685357142857143,0.7517,0.5757800000000001,,,0.25,0.5,10.185714285714283,,0.2878048780487804,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
201580,1610612764,JaVale McGee,JaVale McGee,201580,WAS,4426.0,74,-29.0,141,141,43.0,47,12.0,282,8.0,12.0,2.0,4.0,3.0,4.0,,1.0,,1.0,,,,,,,8.0,14.0,,,2.0,18.0,174,2.0,5.0,,4.0,3.0,4.0,,,6.0,12.0,4.0,,,2.0,,,,,,,,,,,,,,1.0,5.0,2.0,6.0,1.0,9.0,6.0,15.0,,1.0,1.0,,1.0,1.0,1.0,,,,2.0,,1.0,4.0,7.0,,1.0,5.0,,,5.0,1.0,3.0,,11.0,,6.0,,5.0,11.0,7.0,4.0,,1.0,6.0,43.0,2.0,,0.75,0.8571428571428571,,,,0.5714285714285714,0.4,0.75,0.5714285714285714,0.4,0.75,0.5625,0.4,0.75,,,,,11.688311688311687,0.5,0.5,0.1276595744680851,0.1041666666666666,0.0952380952380952,0.0833333333333333,0.1176470588235294,0.1,0.1578947368421052,0.1,0.0526315789473684,0.1,,0.1875,0.1666666666666666,0.0526315789473684,0.0666666666666666,0.1666666666666666,,0.6363636363636364,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.75,0.0714285714285714,,,,0.0714285714285714,,,,,,,,,,,0.8,0.5,,1.0,0.75,,,0.8571428571428571,,0.551242857142857,0.490475,0.57095,0.1875,0.1875,0.2222222222222222,0.3333333333333333,2.6499999999999995,,0.3049645390070922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
