EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FTOffRebounds,OffFTReboundPct,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimPctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,3SecondViolations,BlockedLongMidRange,DefensiveGoaltends,on,Clear Path Fouls,3pt And 1 Free Throw Trips,Arc3PctBlocked,Blocked3s,BlockedCorner3,OffensiveGoaltends,BlockedArc3
101108,1610612740,Chris Paul,Chris Paul,101108,NOH,43204.0,720,-25.0,1383,1389,289,285,149.0,2772,35.0,54.0,4.0,5.0,12.0,16.0,26.0,57.0,48.0,95.0,1.0,1.0,17.0,51.0,1.0,5.0,4.0,19.0,109.0,206.0,18.0,52.0,56.0,328.0,1505,10.0,16.0,1.0,5.0,4.0,27.0,29.0,47.0,4.0,19.0,32.0,102.0,12.0,206.0,15.0,39.0,4.0,1.0,50.0,17.0,7.0,155.0,56.0,211.0,39.0,17.0,77.0,18.0,60.0,478.0,2.0,8.0,25.0,57.0,1.0,83.0,10.0,93.0,5.0,43.0,23.0,20.0,27.0,4.0,19.0,13.0,1.0,8.0,2.0,40.0,2.0,8.0,17.0,45.0,3.0,5.0,90.0,2.0,7.0,69.0,7.0,1.0,20.0,1.0,16.0,6.0,5.0,1.0,6.0,2.0,1.0,102.0,289,9.0,16.0,0.055045871559633,0.0560747663551401,0.2777777777777778,0.3461538461538461,0.2,0.2105263157894736,0.3529411764705882,0.529126213592233,0.625,0.6170212765957447,0.5271317829457365,0.5476190476190477,0.5303030303030303,0.5677083333333334,0.5909090909090909,0.5872093023255814,0.2015503875968992,0.0339805825242718,0.0555555555555555,0.0701754385964912,21.14764667956157,0.675,0.03125,0.1106796116504854,0.0169133192389006,0.1700680272108843,0.0104712041884816,0.1238670694864048,0.0150602409638554,0.0150375939849624,0.0326797385620915,0.0053475935828877,0.0062111801242236,0.0333333333333333,0.1348314606741573,0.0909090909090909,0.1013215859030837,0.1596638655462184,0.2142857142857142,0.0413223140495867,0.3333333333333333,0.2093023255813953,0.6481481481481481,0.6862745098039216,0.1142857142857142,0.2209302325581395,0.4561403508771929,0.490566037735849,0.0769230769230769,0.3682170542635659,0.5052631578947369,0.5052631578947369,0.003875968992248,1.0,1.0,0.1976744186046511,0.3333333333333333,0.3333333333333333,0.2941176470588235,0.238095238095238,0.8,0.238095238095238,0.2,1.0,0.2424242424242424,0.75,0.2878787878787879,0.2105263157894736,0.4108527131782946,0.34,0.4765385214007782,0.49555,0.4705692307692307,0.0772058823529411,0.091324200913242,0.0188679245283018,0.0823170731707317,0.3109756097560975,10.955339805825243,25.88076923076923,0.2089660159074475,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1752,1610612740,Sean Marks,Sean Marks,1752,NOH,767.0,13,-17.0,25,26,18,20,7.0,51,,,,,,,,,1.0,2.0,,,,,,,,,1.0,2.0,,,1.0,3.0,34,,,,,,,1.0,1.0,,,1.0,3.0,2.0,,,,,,,,,1.0,,1.0,,,,1.0,,2.0,,5.0,,2.0,,2.0,5.0,7.0,,,,,,,,1.0,,,,1.0,,1.0,2.0,4.0,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,3.0,18,1.0,,1.0,1.0,,,,,,0.5,,1.0,0.5,,1.0,0.5,,0.75,,,,,11.428571428571429,,,0.2857142857142857,0.3333333333333333,,,0.1818181818181818,0.2272727272727272,0.75,0.3333333333333333,0.125,,,0.3333333333333333,,0.25,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,0.4028,,0.3749,0.3333333333333333,0.3333333333333333,,,1.0,19.1,,0.72,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1899,1610612740,James Posey,James Posey,1899,NOH,13034.0,217,19.0,423,430,177,203,58.0,853,2.0,6.0,,1.0,1.0,4.0,1.0,3.0,2.0,4.0,3.0,15.0,9.0,23.0,1.0,4.0,2.0,9.0,5.0,13.0,12.0,38.0,22.0,68.0,470,2.0,4.0,2.0,5.0,,10.0,2.0,6.0,3.0,12.0,20.0,33.0,6.0,4.0,30.0,6.0,,,23.0,9.0,3.0,11.0,1.0,12.0,,1.0,5.0,,6.0,25.0,3.0,1.0,13.0,16.0,6.0,35.0,5.0,40.0,1.0,3.0,3.0,,3.0,1.0,3.0,2.0,,,1.0,5.0,,2.0,6.0,19.0,1.0,,21.0,4.0,4.0,22.0,,,1.0,,10.0,3.0,3.0,,3.0,,1.0,33.0,177,5.0,10.0,0.6,0.6,0.8333333333333334,0.3157894736842105,0.4,0.25,0.3157894736842105,0.3846153846153846,0.5,0.3333333333333333,0.4509803921568627,0.5555555555555556,0.3611111111111111,0.5483870967741935,0.5555555555555556,0.5892857142857143,0.7450980392156863,0.2307692307692307,0.3333333333333333,0.3333333333333333,13.673469387755102,0.6,0.6666666666666666,0.1259842519685039,0.0088495575221238,0.1857142857142857,0.044776119402985,0.1472081218274111,0.0222222222222222,,,0.027027027027027,0.0425531914893617,0.05,0.0943396226415094,0.1428571428571428,0.1521739130434782,0.2222222222222222,0.0625,0.0344827586206896,,0.1176470588235294,0.3333333333333333,0.5,1.0,0.0588235294117647,0.3333333333333333,0.5,,0.0784313725490196,0.5,0.5,0.2941176470588235,0.2,0.2,0.4509803921568627,0.391304347826087,0.391304347826087,0.7777777777777778,0.1111111111111111,,0.4444444444444444,0.25,,0.2222222222222222,0.25,0.5,0.2222222222222222,0.8627450980392157,0.391304347826087,0.5359852941176473,0.5395785714285715,0.5403527777777778,0.0192307692307692,0.0714285714285714,,0.1470588235294117,0.4852941176470588,6.823076923076924,24.51578947368421,0.4184397163120567,0.5,1.0,1.0,1.0,3.0,1.0,0.0714285714285714,1.0,0.1111111111111111,1.0,1.0,0.1666666666666666,0.3333333333333333,,,,,,,,,,True,,,,,,,
2443,1610612740,Darius Songaila,Darius Songaila,2443,NOH,10909.0,182,-46.0,353,361,107,138,44.0,714,13.0,19.0,3.0,5.0,3.0,5.0,8.0,17.0,10.0,27.0,,1.0,,,,,,,31.0,63.0,,1.0,9.0,71.0,392,4.0,7.0,,1.0,4.0,12.0,6.0,18.0,,1.0,2.0,14.0,54.0,8.0,,,6.0,,,,4.0,1.0,5.0,6.0,5.0,,1.0,,,17.0,2.0,3.0,2.0,19.0,2.0,23.0,6.0,29.0,,6.0,3.0,3.0,7.0,,5.0,3.0,,2.0,2.0,10.0,,2.0,11.0,28.0,3.0,1.0,10.0,2.0,1.0,12.0,2.0,,6.0,,1.0,3.0,3.0,,3.0,,1.0,14.0,107,7.0,1.0,0.8709677419354839,0.9642857142857144,,,,,,0.492063492063492,0.5714285714285714,0.3333333333333333,0.484375,0.5,0.3157894736842105,0.5144927536231884,0.5454545454545454,0.3333333333333333,0.015625,0.0634920634920634,0.1052631578947368,0.1176470588235294,19.31540342298289,0.7,0.1428571428571428,0.1439393939393939,0.0229007633587786,0.054054054054054,0.0344827586206896,0.1242603550295858,0.0264550264550264,0.0476190476190476,0.025,,0.0408163265306122,,0.1403508771929824,0.2058823529411764,0.0975609756097561,0.0344827586206896,0.125,,,0.296875,0.6842105263157895,0.7647058823529411,0.8461538461538461,0.265625,0.4705882352941176,0.5333333333333333,0.75,0.421875,0.3703703703703703,0.3703703703703703,0.015625,,,,,,,0.625,0.6,,,,0.2631578947368421,0.6,,,0.3125,,0.46371484375,0.57213,0.4575868421052632,0.088235294117647,0.0895522388059701,,0.1690140845070422,0.1971830985915492,11.001587301587302,24.3,0.3031161473087819,1.0,,1.0,,1.0,1.0,0.0714285714285714,,0.125,,,0.0526315789473684,,0.3333333333333333,,,,,,,,,True,,,,,,,
2484,1610612740,Devin Brown,Devin Brown,2484,NOH,58029.0,967,-58.0,1865,1873,422,435,229.0,3738,53.0,97.0,7.0,16.0,15.0,25.0,8.0,36.0,13.0,45.0,10.0,22.0,44.0,125.0,3.0,10.0,5.0,26.0,74.0,178.0,54.0,147.0,69.0,379.0,2041,8.0,25.0,5.0,13.0,4.0,35.0,18.0,41.0,5.0,31.0,23.0,74.0,82.0,66.0,141.0,21.0,10.0,,125.0,44.0,20.0,49.0,9.0,58.0,5.0,4.0,24.0,12.0,13.0,125.0,4.0,20.0,23.0,57.0,2.0,82.0,27.0,109.0,3.0,30.0,12.0,18.0,23.0,7.0,14.0,34.0,5.0,9.0,11.0,57.0,6.0,10.0,30.0,62.0,5.0,8.0,69.0,3.0,8.0,86.0,8.0,,36.0,,11.0,5.0,5.0,,5.0,4.0,,74.0,422,7.0,9.0,0.5540540540540541,0.5942028985507246,0.8703703703703703,0.3673469387755102,0.3846153846153846,0.1612903225806451,0.3673469387755102,0.4157303370786517,0.32,0.4390243902439024,0.4769230769230769,0.4078947368421052,0.3541666666666667,0.5206043956043956,0.4375,0.425287356321839,0.4523076923076923,0.1123595505617977,0.1134020618556701,0.1944444444444444,19.70905678085406,0.4035087719298245,0.048780487804878,0.0839469808541973,0.0302114803625377,0.1050228310502283,0.0153256704980842,0.0890868596881959,0.0260021668472372,0.0594059405940594,0.0094339622641509,0.0241935483870967,0.0186046511627906,,0.051063829787234,0.065359477124183,0.120274914089347,0.1052631578947368,0.1041666666666666,0.0173410404624277,0.8,0.2984615384615384,0.5463917525773195,0.6162790697674418,0.5471698113207547,0.1107692307692307,0.2222222222222222,0.2758620689655172,0.25,0.1384615384615384,0.2888888888888888,0.3023255813953488,0.0676923076923076,0.4545454545454545,0.4761904761904761,0.3846153846153846,0.352,0.352,0.8636363636363636,0.4210526315789473,0.4375,0.2631578947368421,0.3,1.0,0.3472222222222222,0.6,0.3611111111111111,0.1923076923076923,0.7507692307692307,0.352,0.535970987654321,0.5150867647058823,0.50884375,0.1019830028328611,0.174757281553398,,0.0923482849604221,0.1952506596306068,6.8280898876404486,25.210204081632654,0.2262734584450402,0.7692307692307693,2.0,3.0,,5.0,3.0,0.0612244897959183,0.9,0.0789473684210526,0.6666666666666666,0.5,0.0694444444444444,,0.1428571428571428,1.0,1.0,0.0068027210884353,0.0444444444444444,0.0454545454545454,,,,True,,,,,,,
2561,1610612740,David West,David West,2561,NOH,49403.0,823,-32.0,1588,1594,351,328,194.0,3182,65.0,106.0,22.0,35.0,14.0,23.0,35.0,96.0,67.0,145.0,1.0,3.0,3.0,6.0,,,3.0,5.0,167.0,347.0,4.0,9.0,64.0,410.0,1730,28.0,52.0,,,10.0,66.0,32.0,60.0,3.0,7.0,26.0,99.0,194.0,140.0,12.0,,30.0,,6.0,3.0,19.0,36.0,19.0,55.0,17.0,2.0,22.0,9.0,5.0,129.0,11.0,37.0,30.0,96.0,7.0,133.0,48.0,181.0,6.0,19.0,10.0,9.0,30.0,5.0,13.0,21.0,2.0,17.0,1.0,51.0,7.0,10.0,34.0,66.0,5.0,10.0,66.0,6.0,1.0,71.0,9.0,,32.0,,8.0,10.0,5.0,5.0,10.0,4.0,5.0,99.0,351,4.0,8.0,0.5808383233532934,0.6381578947368421,1.0,0.4444444444444444,,0.4285714285714285,0.4444444444444444,0.4812680115273775,0.5384615384615384,0.5333333333333333,0.4859550561797753,0.5384615384615384,0.5447761194029851,0.5297157622739018,0.5892857142857143,0.6111111111111112,0.0252808988764044,0.0547550432276657,0.1037735849056603,0.0520833333333333,24.212271973466,0.5882352941176471,0.2258064516129032,0.1660899653979238,0.0658362989323843,0.1538461538461538,0.0523809523809523,0.1630012936610608,0.0621761658031088,0.0994152046783625,0.054054054054054,0.0485436893203883,0.0578034682080924,0.027027027027027,0.1597938144329896,0.2032520325203252,0.1532567049808429,0.1381578947368421,0.2093023255813953,0.0363636363636363,0.4,0.297752808988764,0.6132075471698113,0.6842105263157895,0.4,0.2696629213483146,0.3645833333333333,0.3846153846153846,0.4,0.4073033707865168,0.4620689655172413,0.4718309859154929,0.0084269662921348,0.3333333333333333,0.3333333333333333,0.0168539325842696,0.5,0.5,1.0,0.6730769230769231,0.6285714285714286,,,,0.3432835820895522,0.6086956521739131,0.0746268656716417,0.6,0.3230337078651685,0.5,0.4573897471910112,0.5297863636363636,0.4750156716417911,0.0844327176781002,0.0864864864864864,,0.1609756097560975,0.2414634146341463,9.855907780979829,24.066666666666663,0.2210327455919395,0.8507462686567164,,,,2.0,,,1.0,,,,0.0298507462686567,,0.1363636363636363,,1.0,,0.0206896551724137,,2.0,,,True,,,,,,,
978,1610612740,Peja Stojakovic,Peja Stojakovic,978,NOH,45660.0,761,-26.0,1472,1464,278,263,180.0,2936,21.0,38.0,1.0,6.0,6.0,9.0,10.0,18.0,28.0,76.0,13.0,29.0,40.0,120.0,2.0,9.0,7.0,21.0,59.0,132.0,53.0,149.0,25.0,302.0,1588,4.0,11.0,5.0,13.0,6.0,29.0,7.0,17.0,9.0,25.0,12.0,53.0,82.0,36.0,150.0,9.0,2.0,,120.0,40.0,6.0,18.0,13.0,31.0,11.0,2.0,4.0,5.0,9.0,75.0,4.0,11.0,15.0,61.0,4.0,80.0,16.0,96.0,4.0,19.0,14.0,5.0,11.0,1.0,6.0,3.0,1.0,5.0,,14.0,,1.0,16.0,25.0,,1.0,22.0,2.0,1.0,29.0,,9.0,5.0,,5.0,,,,,,,53.0,278,2.0,5.0,0.6949152542372882,0.7068965517241379,0.9433962264150944,0.3557046979865771,0.3846153846153846,0.36,0.3557046979865771,0.4469696969696969,0.3636363636363636,0.4117647058823529,0.4928825622775801,0.4791666666666667,0.4880952380952381,0.506872852233677,0.5192307692307693,0.5408163265306123,0.5302491103202847,0.0454545454545454,0.1578947368421052,,18.13317479191439,0.7857142857142857,0.1081081081081081,0.1119266055045871,0.0200729927007299,0.0955414012738853,0.0195121951219512,0.1082621082621082,0.0199203187250996,0.0363636363636363,0.0179640718562874,0.0092592592592592,0.0167597765363128,0.0384615384615384,0.0898876404494382,0.0873015873015873,0.1410788381742738,0.0901639344262295,0.1142857142857142,0.0246913580246913,,0.1352313167259786,0.5526315789473685,0.65625,0.7142857142857143,0.0640569395017793,0.5555555555555556,0.5555555555555556,0.6,0.2704626334519573,0.3684210526315789,0.3684210526315789,0.1032028469750889,0.4482758620689655,0.4482758620689655,0.4270462633451957,0.3333333333333333,0.3333333333333333,0.95,0.25,0.1666666666666666,0.375,0.2222222222222222,0.5,0.2142857142857142,0.6666666666666666,0.5,0.3333333333333333,0.6654804270462633,0.3333333333333333,0.5223927046263345,0.531655,0.525065476190476,0.0174825174825174,0.0364963503649635,,0.0960264900662251,0.1754966887417218,12.078030303030303,25.07785234899329,0.1888586956521739,0.7142857142857143,3.0,4.0,2.0,4.0,1.0,0.0277777777777777,0.9230769230769232,0.1666666666666666,0.75,0.6666666666666666,0.0952380952380952,0.5,,,,,,,,,,True,,,,,,,
200756,1610612740,Hilton Armstrong,Hilton Armstrong,200756,NOH,1332.0,22,4.0,44,41,21,10,8.0,85,1.0,2.0,,,,,,2.0,,,,,,,,,,,1.0,4.0,,,,2.0,44,,,,,,,,1.0,,,,,2.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,3.0,,1.0,,1.0,,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,,,21,1.0,,1.0,1.0,,,,,,0.25,,,0.25,,,0.25,,,,0.25,,0.5,7.692307692307692,,,0.0588235294117647,0.0769230769230769,,,0.0434782608695652,0.0588235294117647,,0.3333333333333333,,,,,0.1666666666666666,,,,,,0.5,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.483225,,0.3926,,,,,,3.475,,0.4772727272727273,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,True,,,,,,,
201153,1610612740,Julian Wright,Julian Wright,201153,NOH,2969.0,49,-21.0,98,98,21,30,8.0,196,2.0,5.0,,,1.0,2.0,2.0,4.0,1.0,2.0,,,,,,,,,5.0,11.0,,,,10.0,108,1.0,1.0,,,,2.0,1.0,3.0,,,,2.0,6.0,4.0,,,,,,,,5.0,,5.0,,,4.0,,1.0,10.0,,1.0,,3.0,,3.0,1.0,4.0,,2.0,,2.0,1.0,,1.0,2.0,2.0,,,3.0,,1.0,,1.0,,,2.0,1.0,,,,,,,,3.0,2.0,,3.0,2.0,,2.0,21,,,0.6,0.6,,,,,,0.4545454545454545,1.0,0.3333333333333333,0.4545454545454545,1.0,0.3333333333333333,0.4545454545454545,1.0,0.3333333333333333,,,,,13.20754716981132,0.3333333333333333,,0.0666666666666666,0.0294117647058823,,,0.0545454545454545,0.0212765957446808,,0.1,,,,0.0555555555555555,0.1428571428571428,0.05,,,,0.6666666666666666,0.4545454545454545,0.4,0.4,1.0,0.3636363636363636,0.5,0.5,,0.1818181818181818,0.5,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,,,0.4545454545454545,,0.5056818181818182,0.4383,0.5526,,,,0.2,0.2,6.254545454545454,,0.2142857142857142,1.0,,,,,,,,,,,,,,,,,,,,1.0,,True,,,,,,,
201628,1610612740,Bobby Brown,Bobby Brown,201628,NOH,986.0,16,-7.0,29,35,15,16,7.0,64,,1.0,,,,1.0,1.0,1.0,,1.0,,,,2.0,,,,1.0,1.0,3.0,,2.0,2.0,4.0,40,,,,,,,1.0,2.0,,1.0,2.0,4.0,,2.0,,,,,2.0,,,1.0,1.0,2.0,1.0,,,1.0,,5.0,,,2.0,,,2.0,,2.0,,,,,1.0,,1.0,3.0,1.0,,,4.0,2.0,3.0,,3.0,,2.0,1.0,,,2.0,,,,,1.0,,,,,,,4.0,15,,1.0,,,,,,,,0.3333333333333333,,0.5,0.2,,0.3333333333333333,0.3333333333333333,,0.5,0.4,,,,26.31578947368421,0.25,,,,0.2222222222222222,,0.1176470588235294,,,,,,,,,,0.25,,,,0.2,,,,0.2,1.0,1.0,,0.2,,,,,,0.4,,,,,,,,,0.3333333333333333,,0.3333333333333333,,0.6,,0.4934299999999999,,0.5163,,,,,1.0,8.266666666666667,25.05,0.5172413793103449,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
