EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceFG2M,SecondChanceFtPoints,PtsPutbacks,HeaveAttempts,Fg2aBlocked,OffTwoPtRebounds,SelfOReb,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Offensive Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,RecoveredBlocks,OffAtRimReboundPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,ShortMidRangePctBlocked,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,on,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips
101126,1610612738,Nate Robinson,Nate Robinson,101126,BOS,5925.0,99,-4.0,197,203,87,88.0,20.0,400,6.0,11.0,1.0,2.0,3.0,2.0,3.0,2.0,7.0,1.0,4.0,1.0,9.0,23.0,1.0,2.0,4.0,14.0,10.0,21.0,10.0,27.0,5.0,55.0,205,1.0,1.0,3.0,3.0,4.0,8.0,4.0,14.0,1.0,21.0,10.0,10.0,18.0,12.0,23.0,9.0,11.0,4.0,15.0,3.0,1.0,7.0,2.0,2.0,34.0,1.0,1.0,7.0,7.0,2.0,16.0,2.0,18.0,6.0,6.0,1.0,1.0,1.0,1.0,6.0,15.0,5.0,2.0,6.0,2.0,1.0,21.0,87,4.0,1.0,0.5,0.5,0.6,0.37037037037037035,0.3333333333333333,0.2857142857142857,0.37037037037037035,0.47619047619047616,0.5,0.5208333333333334,0.375,0.45454545454545453,0.5392156862745098,0.375,0.45652173913043476,0.5625,23.744292237442924,1.0,0.18181818181818182,0.1,0.125,0.25925925925925924,0.037037037037037035,0.1686746987951807,0.011235955056179775,0.058823529411764705,0.12,0.25,0.08695652173913043,0.3,0.14285714285714285,0.22916666666666666,0.5454545454545454,0.5454545454545454,0.3333333333333333,0.0625,0.6666666666666666,0.6666666666666666,1.0,0.14583333333333334,0.2857142857142857,0.2857142857142857,0.5,0.08333333333333333,0.25,0.25,1.0,0.4791666666666667,0.391304347826087,0.391304347826087,0.5555555555555556,0.25,0.25,0.5,0.5,1.0,0.13636363636363635,0.6666666666666666,0.6363636363636364,0.2857142857142857,0.7916666666666666,0.391304347826087,0.536959375,0.5369625,0.47747045454545456,0.04,0.08695652173913043,0.05454545454545454,0.38181818181818183,8.095238095238093,25.31481481481481,0.4416243654822335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,9905.0,165,14.0,305,311,113,89.0,32.0,616,8.0,20.0,3.0,4.0,7.0,5.0,13.0,4.0,13.0,,,,6.0,14.0,,,1.0,6.0,17.0,46.0,6.0,14.0,33.0,85.0,317,5.0,,,14.0,7.0,22.0,1.0,6.0,18.0,35.0,6.0,28.0,12.0,6.0,13.0,6.0,19.0,11.0,30.0,8.0,3.0,9.0,3.0,7.0,71.0,2.0,1.0,8.0,16.0,4.0,28.0,5.0,33.0,1.0,,9.0,7.0,15.0,3.0,6.0,12.0,35.0,1.0,36.0,13.0,4.0,35.0,113,1.0,4.0,0.17647058823529413,0.21428571428571427,0.6666666666666666,0.42857142857142855,,0.16666666666666666,0.46153846153846156,0.3695652173913043,0.3181818181818182,0.43333333333333335,1.0,0.30357142857142855,0.538961038961039,1.0,0.4594594594594595,0.23333333333333334,26.666666666666664,0.6,0.23529411764705882,0.07142857142857142,0.14678899082568808,0.18604651162790697,0.045454545454545456,0.15789473684210525,0.029411764705882353,0.029411764705882353,0.10256410256410256,0.3870967741935484,,0.17857142857142858,0.2,0.3333333333333333,0.4,0.5714285714285714,0.125,0.21666666666666667,0.38461538461538464,0.38461538461538464,,0.21666666666666667,0.3076923076923077,0.3076923076923077,0.5,,,,,0.23333333333333334,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6,,,,,0.25,0.5714285714285714,0.21428571428571427,0.16666666666666666,0.5666666666666667,0.46153846153846156,0.4867362068965517,0.4926,0.4685615384615385,0.1780821917808219,0.22033898305084745,0.16470588235294117,0.4117647058823529,8.6,26.77142857142857,0.3704918032786885,3.0,5.0,4.0,6.0,1.0,6.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.13043478260869565,0.3,0.021739130434782608,0.07142857142857142,0.1,0.034482758620689655,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
200749,1610612738,Shelden Williams,Shelden Williams,200749,BOS,35839.0,597,32.0,1122,1130,361,363.0,136.0,2252,46.0,79.0,20.0,9.0,19.0,8.0,19.0,9.0,22.0,,,,,1.0,,,,1.0,63.0,120.0,,1.0,75.0,201.0,1159,22.0,,,34.0,15.0,35.0,,1.0,39.0,69.0,96.0,30.0,,,1.0,,14.0,7.0,21.0,5.0,2.0,7.0,2.0,5.0,49.0,17.0,,23.0,60.0,16.0,99.0,47.0,146.0,13.0,5.0,10.0,6.0,30.0,10.0,47.0,85.0,80.0,12.0,98.0,40.0,10.0,69.0,361,5.0,10.0,0.7619047619047619,0.8727272727272727,,,,,,0.525,0.42857142857142855,0.5206611570247934,0.45454545454545453,0.4166666666666667,0.5946745562130178,0.5151515151515151,0.5655737704918032,0.008264462809917356,15.559030492572322,0.3333333333333333,0.32653061224489793,,0.15306122448979592,0.17164179104477612,0.10179640718562874,0.15779467680608364,0.09251968503937008,0.10852713178294573,0.14788732394366197,0.15217391304347827,0.15822784810126583,0.20224719101123595,0.1111111111111111,0.6528925619834711,0.5822784810126582,0.6764705882352942,0.7391304347826086,0.15702479338842976,0.42105263157894735,0.42105263157894735,0.75,0.18181818181818182,0.4090909090909091,0.4090909090909091,0.8888888888888888,,,,,0.008264462809917356,,,,0.9090909090909091,,,,,0.5277777777777778,0.47368421052631576,0.027777777777777776,,0.6611570247933884,,0.5239561983471074,0.5602687499999999,0.47951388888888885,0.25157232704402516,0.25316455696202533,0.1691542288557214,0.34328358208955223,5.238333333333333,25.2,0.32174688057041,9.0,10.0,14.0,16.0,,11.0,30.0,1.0,8.0,4.0,20.0,,,12.0,2.0,,21.0,14.0,6.0,21.0,,2.0,0.45454545454545453,0.09166666666666666,0.13924050632911392,0.08797653958944282,0.06201550387596899,0.07894736842105263,0.02127659574468085,0.45,2.0,3.0,3.0,5.0,2.0,1.0,9.0,0.13934426229508196,0.05555555555555555,0.42857142857142855,0.1111111111111111,,,,,,,,,,,,,True,,,,,,,,,
201175,1610612738,Glen Davis,Glen Davis,201175,BOS,7304.0,122,-7.0,236,239,87,104.0,25.0,475,6.0,13.0,2.0,1.0,5.0,5.0,15.0,7.0,18.0,,2.0,,,,,,,,18.0,46.0,,2.0,9.0,45.0,246,5.0,,,5.0,5.0,13.0,,2.0,4.0,14.0,26.0,10.0,,,,,2.0,1.0,3.0,1.0,,1.0,,1.0,7.0,2.0,1.0,4.0,10.0,1.0,15.0,10.0,25.0,4.0,1.0,2.0,2.0,8.0,3.0,11.0,23.0,15.0,,17.0,9.0,1.0,14.0,87,5.0,1.0,0.7222222222222222,0.8125,,,,,,0.391304347826087,0.38461538461538464,0.375,0.4,0.3333333333333333,0.4090909090909091,0.35714285714285715,0.3888888888888889,0.041666666666666664,23.59550561797753,0.25,0.07692307692307693,0.07692307692307693,0.136986301369863,0.13793103448275862,0.08695652173913043,0.13725490196078433,0.0891089108910891,0.1111111111111111,0.16129032258064516,0.058823529411764705,0.16,0.10526315789473684,0.2,0.2708333333333333,0.46153846153846156,0.5454545454545454,0.8333333333333334,0.3125,0.3333333333333333,0.38461538461538464,0.2,0.375,0.3888888888888889,0.3888888888888889,1.0,0.041666666666666664,,,,,,,,0.4,,,,,0.3333333333333333,0.2,,,0.3125,,0.4440510416666667,0.4567,0.4429633333333333,0.16666666666666666,0.17307692307692307,0.1111111111111111,0.3111111111111111,9.65434782608696,22.65,0.3686440677966102,1.0,2.0,1.0,4.0,,4.0,7.0,1.0,3.0,,6.0,,1.0,4.0,1.0,,2.0,2.0,,2.0,,,0.4,0.08695652173913043,0.15384615384615385,0.08974358974358974,0.06060606060606061,,0.038461538461538464,0.5,1.0,,1.0,1.0,3.0,,1.0,0.16666666666666666,0.047619047619047616,0.5,,2.0,0.13333333333333333,0.13333333333333333,,,,,,,,,,True,,,,,,,,,
2605,1610612738,Marquis Daniels,Marquis Daniels,2605,BOS,17970.0,300,30.0,553,561,163,174.0,62.0,1114,23.0,38.0,6.0,5.0,11.0,9.0,26.0,4.0,9.0,3.0,5.0,1.0,1.0,8.0,,,1.0,5.0,36.0,73.0,4.0,13.0,16.0,100.0,603,9.0,,1.0,9.0,9.0,18.0,2.0,8.0,6.0,30.0,42.0,30.0,12.0,,7.0,1.0,19.0,15.0,34.0,14.0,1.0,7.0,3.0,9.0,83.0,6.0,,5.0,11.0,2.0,18.0,11.0,29.0,10.0,3.0,12.0,10.0,17.0,2.0,10.0,26.0,26.0,,25.0,13.0,1.0,30.0,163,6.0,1.0,0.5833333333333334,0.6,1.0,0.3076923076923077,,0.25,0.3333333333333333,0.4931506849315068,0.5,0.4883720930232558,0.4,0.46153846153846156,0.5154639175257731,0.4090909090909091,0.5,0.1511627906976744,18.152866242038215,0.7058823529411765,0.07142857142857142,,0.061452513966480445,0.06666666666666667,0.07228915662650602,0.06299212598425197,0.046610169491525424,0.09230769230769231,0.047619047619047616,,0.1095890410958904,0.057692307692307696,0.08695652173913043,0.4418604651162791,0.6052631578947368,0.7666666666666667,0.6956521739130435,0.3023255813953488,0.34615384615384615,0.375,0.2222222222222222,0.10465116279069768,0.4444444444444444,0.4444444444444444,0.75,0.05813953488372093,0.6,0.6,1.0,0.09302325581395349,0.125,0.125,1.0,0.6,0.1,,,,0.4230769230769231,0.45454545454545453,0.19230769230769232,0.2,0.5930232558139535,0.14285714285714285,0.5144676470588236,0.47470000000000007,0.5219459999999999,0.13541666666666666,0.1566265060240964,0.09,0.3,6.17808219178082,25.66153846153846,0.29475587703435807,3.0,4.0,1.0,2.0,1.0,10.0,5.0,2.0,7.0,2.0,5.0,,2.0,1.0,2.0,,3.0,2.0,1.0,3.0,,,0.4444444444444444,0.136986301369863,0.21052631578947367,0.032679738562091505,0.06,,0.06060606060606061,0.5,1.0,1.0,2.0,1.0,3.0,,1.0,0.037037037037037035,,0.3333333333333333,0.3333333333333333,3.0,0.07692307692307693,0.11538461538461539,1.0,0.3333333333333333,,,,,,,,True,,,,,,,,,
2754,1610612738,Tony Allen,Tony Allen,2754,BOS,11937.0,199,2.0,396,401,157,152.0,55.0,797,27.0,40.0,6.0,11.0,15.0,2.0,10.0,2.0,11.0,,,,,1.0,,,,1.0,31.0,61.0,,1.0,17.0,79.0,399,10.0,,,12.0,11.0,23.0,,1.0,6.0,28.0,34.0,28.0,,,1.0,,17.0,6.0,23.0,4.0,2.0,10.0,2.0,5.0,52.0,3.0,,4.0,19.0,3.0,26.0,14.0,40.0,18.0,5.0,10.0,6.0,14.0,4.0,5.0,18.0,26.0,,30.0,15.0,3.0,28.0,157,5.0,3.0,0.5483870967741935,0.6071428571428571,,,,,,0.5081967213114754,0.4782608695652174,0.5,0.6,0.4583333333333333,0.5337837837837838,0.5454545454545454,0.5,0.016129032258064516,19.383259911894275,0.7142857142857143,0.15789473684210525,,0.13194444444444445,0.1,0.05660377358490566,0.125,0.07777777777777778,0.07894736842105263,0.05172413793103448,0.22857142857142856,0.1568627450980392,0.08333333333333333,0.125,0.6451612903225806,0.675,0.7714285714285715,0.5925925925925926,0.16129032258064516,0.2,0.2222222222222222,,0.1774193548387097,0.18181818181818182,0.2222222222222222,0.5,,,,,0.016129032258064516,,,,0.6,,,,,0.625,0.7333333333333333,0.041666666666666664,,0.6612903225806451,,0.549700806451613,0.5065,0.5292604166666667,0.2112676056338028,0.21428571428571427,0.1518987341772152,0.35443037974683544,5.0754098360655755,28.5,0.39646464646464646,3.0,6.0,,6.0,,8.0,11.0,2.0,13.0,4.0,4.0,,3.0,1.0,1.0,,4.0,4.0,,4.0,,,0.6,0.13114754098360656,0.125,0.08661417322834646,0.061224489795918366,,0.09523809523809523,0.5,1.0,,,1.0,6.0,,1.0,0.08695652173913043,0.125,0.25,,,0.1,,,,0.18181818181818182,,,,,,,True,,,,,,,,,
714,1610612738,Michael Finley,Michael Finley,714,BOS,4602.0,77,11.0,152,150,34,58.0,12.0,302,1.0,2.0,,1.0,1.0,1.0,3.0,2.0,7.0,1.0,3.0,1.0,2.0,5.0,,,2.0,3.0,4.0,12.0,3.0,8.0,1.0,18.0,140,,1.0,1.0,3.0,1.0,1.0,2.0,3.0,,8.0,6.0,2.0,9.0,,5.0,2.0,4.0,2.0,6.0,1.0,1.0,2.0,1.0,1.0,14.0,,,1.0,3.0,,4.0,,4.0,,,2.0,,4.0,,3.0,5.0,2.0,,4.0,2.0,,8.0,34,,,0.75,0.75,1.0,0.375,1.0,0.6666666666666666,0.375,0.3333333333333333,1.0,0.425,1.5,1.0,0.4090909090909091,1.5,1.0,0.4,15.853658536585368,0.5,,,0.057692307692307696,0.05263157894736842,,0.056338028169014086,,,0.058823529411764705,,0.08333333333333333,0.06666666666666667,,0.1,0.5,0.5,1.0,0.15,0.3333333333333333,0.3333333333333333,,0.35,0.2857142857142857,0.2857142857142857,1.0,0.15,0.3333333333333333,0.3333333333333333,1.0,0.25,0.4,0.4,1.0,,1.0,,,,0.25,1.0,0.75,0.6666666666666666,0.5,0.4,0.4969625,,0.5701875,0.09090909090909091,0.14285714285714285,0.16666666666666666,0.4444444444444444,12.783333333333333,24.25,0.2236842105263158,,,,,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,True,,,,,,,,,
951,1610612738,Ray Allen,Ray Allen,951,BOS,12087.0,201,34.0,360,363,99,90.0,48.0,723,11.0,17.0,3.0,2.0,3.0,4.0,8.0,9.0,18.0,1.0,5.0,,8.0,18.0,1.0,2.0,2.0,3.0,24.0,43.0,9.0,23.0,25.0,100.0,382,5.0,1.0,2.0,16.0,2.0,6.0,2.0,4.0,4.0,14.0,30.0,18.0,24.0,3.0,18.0,8.0,18.0,6.0,24.0,5.0,1.0,15.0,,3.0,54.0,2.0,,2.0,10.0,,12.0,4.0,16.0,4.0,2.0,7.0,,10.0,2.0,6.0,9.0,17.0,,27.0,7.0,2.0,14.0,99,1.0,1.0,0.625,0.6521739130434783,0.8888888888888888,0.391304347826087,0.5,0.5,0.391304347826087,0.5581395348837209,0.3333333333333333,0.5681818181818182,0.7857142857142857,0.5,0.6381578947368421,0.8888888888888888,0.5833333333333334,0.3484848484848485,20.77294685990338,0.7,,,0.08620689655172414,0.05263157894736842,0.03225806451612903,0.07792207792207792,0.024096385542168676,0.038461538461538464,0.023809523809523808,0.07142857142857142,0.15217391304347827,0.08,,0.25757575757575757,0.6470588235294118,0.7857142857142857,0.45454545454545453,0.12121212121212122,0.5,0.5,0.75,0.2727272727272727,0.5,0.5,0.7777777777777778,0.07575757575757576,0.2,0.2,1.0,0.2727272727272727,0.4444444444444444,0.4444444444444444,0.875,0.42857142857142855,,0.2857142857142857,0.5,1.0,0.3,0.6666666666666666,0.3,0.6666666666666666,0.6060606060606061,0.4444444444444444,0.5071643939393939,0.490025,0.5074350000000001,0.12162162162162163,0.14285714285714285,0.16,0.14,10.086046511627906,24.813043478260866,0.275,2.0,4.0,5.0,2.0,,3.0,2.0,,2.0,7.0,3.0,,,1.0,,4.0,3.0,3.0,,3.0,,,0.8,0.06976744186046512,0.17647058823529413,0.019230769230769232,0.05555555555555555,,,0.6666666666666666,1.0,,1.0,,1.0,,1.0,,,0.3333333333333333,,1.0,,0.1,,,,,,,2.0,0.08,,True,,,,,,,,,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,516.0,9,-4.0,16,15,9,5.0,1.0,31,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,,,,,,,,,,2.0,4.0,,,,4.0,23,1.0,,,2.0,1.0,2.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,2.0,1.0,3.0,,,,,,,1.0,2.0,1.0,,,,,2.0,9,,,0.5,1.0,,,,,,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,,23.52941176470588,,1.0,,,0.3333333333333333,,0.16666666666666666,0.16666666666666666,,,,,0.5,,0.25,1.0,1.0,,0.25,,,,0.5,0.5,0.5,1.0,,,,,,,,,1.0,,,,,0.5,1.0,,,0.25,,0.4434,0.6158,0.48015,,,0.5,0.5,12.55,,0.5625,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,0.2,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,11632.0,194,-20.0,366,376,121,140.0,41.0,742,12.0,30.0,2.0,3.0,7.0,8.0,13.0,8.0,15.0,,1.0,,3.0,9.0,,,1.0,4.0,28.0,58.0,3.0,10.0,10.0,75.0,380,5.0,,,2.0,13.0,20.0,1.0,5.0,2.0,31.0,6.0,50.0,3.0,6.0,9.0,3.0,37.0,19.0,56.0,14.0,5.0,21.0,3.0,13.0,131.0,3.0,1.0,9.0,13.0,1.0,23.0,5.0,28.0,19.0,9.0,10.0,2.0,13.0,4.0,,6.0,17.0,,17.0,8.0,1.0,31.0,121,1.0,1.0,0.10714285714285714,0.10714285714285714,0.3333333333333333,0.3,,0.2,0.3,0.4827586206896552,0.65,0.47794117647058826,0.2,0.58,0.4934210526315789,0.2,0.5740740740740741,0.14705882352941177,21.497584541062803,0.7692307692307693,0.07142857142857142,0.0625,0.09923664122137404,0.2,0.04477611940298507,0.125,0.022727272727272728,0.057692307692307696,0.021739130434782608,0.034482758620689655,0.19642857142857142,0.20689655172413793,0.1875,0.4411764705882353,0.4,0.4444444444444444,0.16666666666666666,0.19117647058823528,0.6153846153846154,0.6666666666666666,,0.22058823529411764,0.5333333333333333,0.5333333333333333,0.125,0.014705882352941176,,,,0.1323529411764706,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,,,,,0.28,0.42857142857142855,0.16,0.25,0.5882352941176471,0.3333333333333333,0.507639552238806,0.44984999999999997,0.4631395833333333,0.10666666666666667,0.12307692307692308,0.02666666666666667,0.41333333333333333,7.343103448275861,25.99,0.33060109289617484,,1.0,,,,4.0,1.0,1.0,10.0,8.0,3.0,,,,1.0,,1.0,1.0,,1.0,,,0.2,0.06896551724137931,0.1,0.009174311926605505,,,0.03125,,2.0,,1.0,,1.0,,1.0,0.02564102564102564,,1.0,,1.0,0.07692307692307693,0.04,,,,,,,,,,True,,,,,,,,,
