EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Fg3aBlocked,Corner3Assists,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,FTDefRebounds,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg2Pct,DefFTReboundPct,SecondChanceAtRimAccuracy,SecondChanceFtPoints,SecondChanceTurnovers,BlockingFouls,Charge Fouls,DefensiveGoaltends,3SecondViolations,OffShortMidRangeReboundPct,OffCorner3ReboundPct,FTOffRebounds,Loose Ball Fouls,BlockedShortMidRange,OffFTReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,SecondChanceArc3FGM,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,BlockingFoulsDrawn,PenaltyFg3Pct,PenaltyArc3Accuracy,Travels,on,Offensive Fouls,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Blocked3s,BlockedCorner3
101114,1610612751,Deron Williams,Deron Williams,101114,BKN,11524.0,192,-42,366,367,33.0,57.0,36.0,733,8.0,18.0,2.0,1.0,2.0,2.0,7.0,6.0,18.0,4.0,8.0,1.0,2.0,7.0,18.0,1.0,3.0,16.0,43.0,11.0,26.0,6.0,71.0,421,2.0,1.0,3.0,3.0,2.0,4.0,3.0,2.0,6.0,10.0,22.0,27.0,6.0,18.0,7.0,5.0,26.0,7.0,33.0,7.0,8.0,14.0,4.0,73.0,1.0,2.0,18.0,16.0,34.0,3.0,37.0,1.0,8.0,4.0,4.0,10.0,4.0,8.0,6.0,2.0,2.0,16.0,8.0,18.0,13.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,6.0,33.0,3.0,1.0,0.3125,0.3125,0.8181818181818182,0.4230769230769231,0.3333333333333333,0.4230769230769231,0.37209302325581395,0.5,0.47101449275362317,0.3,0.2857142857142857,0.49295774647887325,0.3,0.375,0.37681159420289856,0.11627906976744186,0.2222222222222222,0.14285714285714285,21.375921375921376,0.625,0.14414414414414414,0.016129032258064516,0.26865671641791045,0.017543859649122806,0.19101123595505617,0.016574585635359115,0.024390243902439025,0.023809523809523808,0.029411764705882353,0.09090909090909091,0.17142857142857143,0.1875,0.24489795918367346,0.3333333333333333,0.027777777777777776,0.2608695652173913,0.4444444444444444,0.5714285714285714,0.25,0.10144927536231885,0.2857142857142857,0.3333333333333333,0.5,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.11594202898550725,0.5,0.5,1.0,0.2608695652173913,0.3888888888888889,0.3888888888888889,0.7142857142857143,0.4,0.4,0.5,1.0,0.2,0.2857142857142857,0.5,0.42857142857142855,0.6376811594202898,0.3888888888888889,0.4972860294117648,0.59859,0.48297142857142855,0.02857142857142857,0.023255813953488372,0.037037037037037035,0.04225352112676056,0.08450704225352113,9.993023255813954,25.273076923076925,0.09016393442622951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101127,1610612751,Jarrett Jack,Jarrett Jack,101127,BKN,3420.0,57,45,112,107,13.0,14.0,8.0,219,,,,,,4.0,7.0,1.0,1.0,1.0,4.0,,1.0,2.0,5.0,,,5.0,8.0,3.0,9.0,1.0,20.0,97,,,1.0,,1.0,1.0,,,2.0,6.0,4.0,6.0,3.0,4.0,2.0,,9.0,2.0,11.0,1.0,3.0,3.0,3.0,24.0,,1.0,5.0,5.0,10.0,1.0,11.0,,4.0,4.0,,4.0,,1.0,,,3.0,4.0,3.0,5.0,2.0,,,1.0,1.0,,1.0,,,2.0,13.0,,,0.6,0.6,0.6666666666666666,0.3333333333333333,,0.375,0.625,1.0,0.5588235294117647,,1.0,0.5882352941176471,,1.0,0.5294117647058824,,,,17.355371900826448,1.0,0.15625,0.03333333333333333,0.1724137931034483,,0.16393442622950818,0.023255813953488372,0.1,,,0.1875,0.1,0.16666666666666666,0.17391304347826086,0.16666666666666666,,,,,,0.4117647058823529,0.5714285714285714,0.5714285714285714,0.5,0.058823529411764705,1.0,1.0,1.0,0.23529411764705882,0.25,0.3333333333333333,1.0,0.29411764705882354,0.4,0.5,0.5,,1.0,,,,,,,0.5294117647058824,0.5,0.457740625,0.5088,0.4498,0.058823529411764705,0.125,,,0.1,10.2375,27.71111111111111,0.11607142857142858,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.25,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101187,1610612751,Alan Anderson,Alan Anderson,101187,BKN,3943.0,66,18,127,131,19.0,32.0,11.0,258,6.0,7.0,1.0,,,,2.0,3.0,7.0,1.0,1.0,,,1.0,1.0,,,9.0,16.0,2.0,2.0,,24.0,132,1.0,,,2.0,,4.0,,,,8.0,10.0,6.0,,1.0,1.0,,1.0,3.0,4.0,1.0,,1.0,,11.0,,1.0,3.0,3.0,8.0,1.0,9.0,1.0,2.0,2.0,,2.0,,2.0,,,,2.0,1.0,3.0,5.0,2.0,,1.0,,,,1.0,,,19.0,2.0,,0.4444444444444444,0.5,1.0,1.0,,1.0,0.5625,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.1111111111111111,,,,14.492753623188406,1.0,0.07692307692307693,0.02564102564102564,0.09090909090909091,,0.08333333333333333,0.0196078431372549,,0.0625,,0.07142857142857142,0.07692307692307693,0.08333333333333333,0.08,0.125,0.14285714285714285,0.3888888888888889,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.1111111111111111,,,,0.3888888888888889,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.05555555555555555,1.0,1.0,1.0,0.05555555555555555,1.0,1.0,1.0,1.0,,,,,,,,0.5,1.0,0.4965833333333333,0.5643,0.396325,0.05555555555555555,,0.5,0.08333333333333333,,9.11875,24.15,0.14960629921259844,,,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
201152,1610612751,Thaddeus Young,Thaddeus Young,201152,BKN,8932.0,149,-52,281,283,18.0,34.0,30.0,564,11.0,26.0,8.0,1.0,3.0,9.0,17.0,2.0,6.0,,,,,,3.0,,,22.0,49.0,,3.0,5.0,49.0,340,9.0,,,9.0,1.0,3.0,,2.0,4.0,32.0,12.0,,,3.0,,4.0,7.0,4.0,11.0,1.0,6.0,,1.0,26.0,4.0,9.0,5.0,10.0,16.0,13.0,29.0,2.0,4.0,1.0,3.0,8.0,,3.0,2.0,,5.0,10.0,2.0,14.0,8.0,1.0,,11.0,1.0,,6.0,,,4.0,18.0,,,0.7272727272727273,0.8421052631578947,,,,,0.4489795918367347,0.3333333333333333,0.4230769230769231,0.4444444444444444,0.3333333333333333,0.4298245614035088,0.45,0.5,0.057692307692307696,0.08163265306122448,0.11538461538461539,0.058823529411764705,21.202531645569618,0.8,0.11494252873563218,0.09,0.10638297872340426,0.09523809523809523,0.11194029850746269,0.09154929577464789,0.08823529411764706,0.05714285714285714,0.04,0.08823529411764706,0.04,0.21428571428571427,0.12121212121212122,0.07142857142857142,0.07692307692307693,0.5,0.4230769230769231,0.4782608695652174,0.5454545454545454,0.3269230769230769,0.5294117647058824,0.5625,0.8888888888888888,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,,,,,0.057692307692307696,,,,0.8888888888888888,,,,,1.0,0.3333333333333333,,0.5576923076923077,,0.48233076923076923,0.5442199999999999,0.4043666666666667,0.10526315789473684,0.1111111111111111,,0.1836734693877551,0.08163265306122448,5.802040816326531,24.666666666666668,0.06405693950177936,,,3.0,,,,,,,,,,4.0,4.0,6.0,1.0,,,,0.4444444444444444,0.2,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.12903225806451613,0.17647058823529413,,,,,,,,,,,,,,,,,,,True,,,,,
201572,1610612751,Brook Lopez,Brook Lopez,201572,BKN,10509.0,175,-40,334,331,24.0,46.0,34.0,665,18.0,29.0,10.0,2.0,2.0,12.0,23.0,3.0,12.0,,,,,,,,,33.0,64.0,,,27.0,93.0,383,11.0,,,18.0,3.0,3.0,,,6.0,46.0,20.0,,,,,4.0,2.0,2.0,4.0,1.0,1.0,,1.0,10.0,1.0,10.0,7.0,14.0,25.0,12.0,37.0,1.0,4.0,3.0,1.0,3.0,,2.0,,,1.0,3.0,3.0,13.0,24.0,,1.0,32.0,4.0,,18.0,,,6.0,24.0,1.0,,0.696969696969697,0.8214285714285714,,,,,0.515625,1.0,0.515625,0.6363636363636364,1.0,0.5961538461538461,0.6923076923076923,1.0,,0.0625,0.13793103448275862,,21.715817694369974,1.0,0.13725490196078433,0.08695652173913043,0.1206896551724138,0.018518518518518517,0.13125,0.0650887573964497,0.1388888888888889,0.075,0.030303030303030304,0.15384615384615385,0.1875,0.06451612903225806,0.14634146341463414,0.058823529411764705,0.037037037037037035,0.453125,0.6206896551724138,0.72,0.5555555555555556,0.359375,0.5217391304347826,0.5217391304347826,0.8333333333333334,0.1875,0.25,0.25,1.0,,,,,,,,,0.9090909090909091,,,,,0.6666666666666666,1.0,,0.453125,,0.4946296875,0.57121,0.6010666666666666,0.23076923076923078,0.23076923076923078,,0.1935483870967742,0.06451612903225806,7.3234375,,0.0718562874251497,,,1.0,,8.0,,8.0,3.0,,,,0.375,6.0,7.0,10.0,4.0,1.0,,4.0,0.6363636363636364,0.5,0.6,4.0,,,,,,0.05128205128205128,,1.0,4.0,4.0,0.14285714285714285,0.16666666666666666,,,,,,,,,,,,,,True,,,,,
202711,1610612751,Bojan Bogdanovic,Bojan Bogdanovic,202711,BKN,7726.0,129,-60,244,246,19.0,43.0,23.0,490,6.0,7.0,,,,1.0,3.0,2.0,6.0,3.0,11.0,,,4.0,9.0,1.0,,9.0,16.0,7.0,20.0,1.0,40.0,298,,1.0,1.0,3.0,,,2.0,1.0,1.0,14.0,4.0,21.0,,9.0,4.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,,16.0,1.0,1.0,3.0,8.0,11.0,2.0,13.0,,1.0,1.0,,1.0,1.0,,2.0,,1.0,3.0,2.0,6.0,2.0,,,2.0,,,,,1.0,1.0,19.0,,1.0,0.7777777777777778,0.7777777777777778,1.0,0.35,1.0,0.35,0.5625,,0.5416666666666666,1.5,,0.5405405405405406,1.5,0.16666666666666666,0.5555555555555556,0.125,0.14285714285714285,,14.925373134328357,0.3333333333333333,0.10810810810810811,0.011764705882352941,0.075,0.023809523809523808,0.09649122807017543,0.015748031496062992,,0.037037037037037035,0.04,0.09375,0.17391304347826086,0.05263157894736842,0.03571428571428571,0.16666666666666666,,0.19444444444444445,0.8571428571428571,1.0,1.0,0.08333333333333333,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.3333333333333333,0.4,0.5,0.3055555555555556,0.2727272727272727,0.3,1.0,0.25,0.4444444444444444,0.4444444444444444,1.0,,,,,1.0,,,,0.75,0.4444444444444444,0.5372458333333333,0.45105,0.55455,,,,0.075,0.025,8.1125,24.195,0.0778688524590164,,1.0,3.0,,,,,,0.05,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,,,,,,,True,,,,,
203486,1610612751,Mason Plumlee,Mason Plumlee,203486,BKN,722.0,12,-12,22,24,6.0,9.0,1.0,46,1.0,2.0,,1.0,2.0,,,,,,,,,,,,,1.0,2.0,,,2.0,4.0,29,,,,,1.0,2.0,,,2.0,2.0,,,,,,,1.0,,1.0,,1.0,,,2.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,2.0,2.0,3.0,2.0,,,4.0,,,2.0,,,2.0,6.0,,,1.0,1.0,,,,,0.5,0.5,0.5,,0.5,0.5,,0.3333333333333333,,,,,26.08695652173913,0.5,0.2,,,,0.14285714285714285,,,,,,0.3333333333333333,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,1.0,,0.65025,,0.65025,0.5,0.5,,,0.5,1.1,,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
2207,1610612751,Joe Johnson,Joe Johnson,2207,BKN,10202.0,170,-67,322,325,29.0,50.0,35.0,647,3.0,5.0,1.0,1.0,1.0,8.0,18.0,8.0,17.0,2.0,10.0,1.0,1.0,5.0,18.0,1.0,2.0,19.0,40.0,7.0,28.0,15.0,74.0,385,3.0,1.0,2.0,8.0,2.0,4.0,2.0,2.0,9.0,14.0,24.0,21.0,,18.0,5.0,1.0,18.0,5.0,23.0,4.0,8.0,5.0,5.0,51.0,1.0,3.0,7.0,15.0,23.0,4.0,27.0,2.0,6.0,3.0,3.0,4.0,,1.0,,,3.0,4.0,5.0,12.0,11.0,,,19.0,,,7.0,1.0,1.0,9.0,29.0,1.0,1.0,0.3684210526315789,0.3888888888888889,1.0,0.25,0.5,0.25,0.475,0.5,0.4338235294117647,0.7,0.5833333333333334,0.4805194805194805,0.5714285714285714,0.6428571428571429,0.4117647058823529,0.025,0.2,,22.375690607734807,1.0,0.15625,0.02631578947368421,0.12727272727272726,0.017543859649122806,0.1456953642384106,0.023391812865497075,0.02564102564102564,,0.029411764705882353,0.1111111111111111,0.06451612903225806,0.3103448275862069,0.17073170731707318,,0.05128205128205128,0.07352941176470588,0.6,0.75,0.3333333333333333,0.2647058823529412,0.4444444444444444,0.4444444444444444,0.375,0.25,0.47058823529411764,0.47058823529411764,0.375,0.14705882352941177,0.2,0.2,1.0,0.2647058823529412,0.2777777777777778,0.29411764705882354,1.0,0.2,0.2,1.0,1.0,0.2,0.16666666666666666,1.0,0.3333333333333333,0.4852941176470588,0.2777777777777778,0.450177205882353,0.5528333333333334,0.3598166666666667,0.10526315789473684,0.14893617021276595,0.034482758620689655,0.10810810810810811,0.12162162162162163,11.495000000000001,24.675,0.09006211180124224,,1.0,1.0,,,,,,0.03571428571428571,,0.05555555555555555,,1.0,2.0,2.0,1.0,1.0,,,0.6666666666666666,0.1111111111111111,1.0,1.0,,,,,,0.05405405405405406,,,2.0,,,,,,,,,,,1.0,1.0,1.0,0.5,0.5,,True,,,,,
203141,1610612751,Mirza Teletovic,Mirza Teletovic,203141,BKN,307.0,5,6,11,11,4.0,,,22,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,18.181818181818183,1.0,0.25,,,,0.125,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,0.5193,,,,,,,,,24.8,0.36363636363636365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
203900,1610612751,Markel Brown,Markel Brown,203900,BKN,335.0,6,-6,11,10,,,2.0,21,2.0,2.0,1.0,,,,,,,,,,,,1.0,,,2.0,2.0,,1.0,,4.0,15,1.0,,,2.0,,,,,,,4.0,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6666666666666666,1.0,,0.6666666666666666,1.0,,0.3333333333333333,,,,31.25,,,0.25,,,,0.14285714285714285,,0.5,,,,,,,,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,0.3333333333333333,,,,1.0,,,,,,,,1.0,,0.5645666666666667,0.6915,,,,,0.5,,1.9,23.9,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,True,,,,,
