EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,PlusMinus,OpponentPoints,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,LongMidRangeFGA,FTDefRebounds,ShootingFouls,DefFTReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,PtsAssisted3s,BadPassSteals,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,DefAtRimReboundPct,BlocksRecoveredPct,Arc3PctAssisted,ShortMidRangeFGM,SecondChanceFG2A,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceShotQualityAvg,FoulsDrawn,Offensive Fouls Drawn,PenaltyArc3FGM,PenaltyFG3M,PenaltyPoints,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyArc3Accuracy,PenaltyPointsPct,on,PenaltyAtRimFGM,LongMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedLongMidRange,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PtsPutbacks,OffArc3ReboundPct,SecondChanceAtRimAccuracy,FTOffRebounds,DefensiveGoaltends,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Corner3PctBlocked,3SecondViolations
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,2.0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,2.0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201991,1610612746,Lester Hudson,Lester Hudson,201991,LAC,727.0,10,20,12.0,26.0,27.0,4.0,17.0,1.0,53.0,3.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,4.0,9.0,1.0,1.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.6666666666666666,0.6666666666666666,0.25,0.25,0.75,0.5625,0.5625,0.5,0.25,0.25,33.33333333333333,1.0,0.2,0.16666666666666666,1.0,0.5,0.75,1.0,0.6666666666666666,0.5,0.25,0.25,0.5,0.5,1.0,0.25,0.55918125,0.434725,2.15,25.200000000000003,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202327,1610612746,Ekpe Udoh,Ekpe Udoh,202327,LAC,727.0,10,20,12.0,26.0,27.0,4.0,17.0,1.0,53.0,1.0,1.0,,,,,1.0,3.0,,,2.0,,,2.0,,,,,,,,,,,,1.0,3.0,3.0,,,,,,3.0,4.0,1.0,1.0,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,11.11111111111111,,0.2,0.16666666666666666,,0.3333333333333333,1.0,1.0,1.0,,,,,,0.3333333333333333,,0.47226666666666667,,9.966666666666667,,0.15384615384615385,1.0,1.0,2.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,2.0,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201150,1610612746,Spencer Hawes,Spencer Hawes,201150,LAC,596.0,12,15,10.0,22.0,22.0,,12.0,1.0,44.0,1.0,1.0,,1.0,1.0,,1.0,3.0,1.0,1.0,5.0,,,2.0,,,1.0,1.0,,2.0,,2.0,,2.0,4.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,0.25,,,17.391304347826086,,0.3333333333333333,0.25,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,,,0.5,1.0,0.557875,,4.433333333333334,27.8,,2.0,,,1.0,,,0.5,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203085,1610612746,Austin Rivers,Austin Rivers,203085,LAC,418.0,7,12,7.0,14.0,15.0,4.0,9.0,1.0,29.0,1.0,1.0,,1.0,1.0,,2.0,3.0,1.0,1.0,7.0,,,,4.0,3.0,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,4.0,,,1.0,1.0,0.6666666666666666,0.875,0.875,0.25,,,26.666666666666668,,,0.2,,0.25,1.0,1.0,,0.25,1.0,1.0,,,0.5,1.0,0.52535,,4.933333333333334,24.2,0.2857142857142857,2.0,,,,,,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3325,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2563,1610612746,Dahntay Jones,Dahntay Jones,2563,LAC,725.0,11,19,12.0,26.0,27.0,4.0,17.0,1.0,53.0,2.0,2.0,,,,,2.0,2.0,,,4.0,,,4.0,,,,,,,,,,,,,,,2.0,1.0,,,,1.0,4.0,1.0,1.0,,,1.0,1.0,1.0,,,,7.4074074074074066,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,0.80295,,1.35,,0.15384615384615385,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612746,Hedo Turkoglu,Hedo Turkoglu,2045,LAC,436.0,3,11,7.0,16.0,17.0,4.0,13.0,,33.0,,,,1.0,4.0,1.0,,,1.0,4.0,3.0,,1.0,,,,4.0,1.0,,2.0,1.0,3.0,1.0,2.0,7.0,1.0,2.0,2.0,2.0,,,,1.0,1.0,4.0,,,0.25,0.25,,0.375,0.375,1.0,,,31.25,,0.3333333333333333,0.3333333333333333,,,,,,1.0,0.25,0.25,,1.0,1.0,0.25,0.4885125,0.51615,,26.8,0.25,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,3.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.5,1.5,1.0,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,26697.0,37,950,445.0,896.0,887.0,279.0,252.0,105.0,1783.0,18.0,25.0,7.0,26.0,59.0,19.0,68.0,124.0,27.0,65.0,265.0,39.0,19.0,2.0,134.0,48.0,59.0,26.0,2.0,88.0,17.0,105.0,12.0,52.0,227.0,33.0,46.0,53.0,22.0,11.0,16.0,4.0,26.0,37.0,278.0,0.014705882352941176,0.014705882352941176,0.4153846153846154,0.4153846153846154,0.5483870967741935,0.5740740740740741,0.6226415094339622,0.3439153439153439,0.016129032258064516,,23.49457058242843,0.6153846153846154,0.12087912087912088,0.10714285714285714,0.16216216216216217,0.13227513227513227,0.72,0.72,,0.31216931216931215,0.4406779661016949,0.4482758620689655,0.1206896551724138,0.3275862068965517,0.47619047619047616,0.4406779661016949,0.45754042553191504,0.43674649122807013,11.95,25.843076923076925,0.31138392857142855,34.0,65.0,1.0,12.0,0.023255813953488372,0.10185185185185185,0.17989417989417988,0.3439153439153439,33.0,11.0,3.0,1.0,3.0,3.0,0.4074074074074074,0.10989010989010989,1.0,0.38461538461538464,18.0,4.0,12.0,0.08163265306122448,0.06862745098039216,0.5294117647058824,0.5625,0.4516,54.0,,7.0,7.0,95.0,3.0,10.0,4.0,95.0,0.3684210526315789,0.5086206896551724,0.6168831168831169,0.3684210526315789,0.3584905660377358,False,4.0,32.0,1.0,6.0,2.0,4.0,48.0,3.0,2.0,4.0,4.0,16.0,19.0,36.0,1.0,5.0,15.0,21.0,1.0,6.0,7.0,2.0,12.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,51.0,4.0,1.0,14.0,13.0,2.0,10.0,13.0,0.5,0.75,0.48717948717948717,0.75,0.8,0.015384615384615385,0.058823529411764705,0.01694915254237288,0.023346303501945526,0.006896551724137931,0.017412935323383085,0.0375,0.0410958904109589,0.02631578947368421,0.1111111111111111,0.022988505747126436,0.49230769230769234,0.49230769230769234,0.03125,0.031746031746031744,0.16666666666666666,0.16666666666666666,1.0,0.5,0.5,0.5,0.5714285714285714,0.07035175879396985,0.1044776119402985,0.06037735849056604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
