EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFG3A,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,PenaltyFg3Pct,PenaltyEfgPct,DefArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,OffThreePtRebounds,OffensiveGoaltends,Defensive 3 Seconds Violations,PenaltyFg2Pct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG3M,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Blocked3s,BlockedCorner3,on,FTOffRebounds,Offensive Fouls Drawn,BlockingFoulsDrawn,OffFTReboundPct,SecondChanceCorner3FGA,LongMidRangePctBlocked,SecondChanceCorner3Frequency,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,5401.0,90,-51.0,165,168,34,20,17.0,333,6.0,13.0,3.0,3.0,3.0,11.0,4.0,15.0,1.0,1.0,4.0,13.0,39.0,1.0,5.0,14.0,43.0,192,3.0,3.0,2.0,8.0,1.0,5.0,5.0,8.0,18.0,3.0,4.0,4.0,1.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,5.0,1.0,16.0,2.0,19.0,5.0,24.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,2.0,6.0,1.0,1.0,12.0,2.0,16.0,2.0,8.0,1.0,6.0,3.0,3.0,6.0,3.0,5.0,34,1.0,1.0,0.3076923076923077,0.36363636363636365,1.0,0.2,0.2,0.3333333333333333,1.0,0.32954545454545453,1.0,0.4215686274509804,1.0,0.625,0.11363636363636363,0.10256410256410256,0.23076923076923078,0.09090909090909091,29.569892473118276,0.5,0.5,0.22535211267605634,0.078125,0.09090909090909091,0.2073170731707317,0.05319148936170213,0.22727272727272727,0.09090909090909091,0.30434782608695654,0.2692307692307692,0.25,0.038461538461538464,0.5,0.29545454545454547,0.46153846153846156,0.6,0.3333333333333333,0.25,0.2727272727272727,0.3,0.3333333333333333,0.3409090909090909,0.26666666666666666,0.26666666666666666,0.25,0.022727272727272728,0.09090909090909091,0.25,0.25,1.0,1.0,1.0,0.3333333333333333,0.4090909090909091,0.25,0.4735090909090909,0.6936333333333334,0.3763,0.16,0.17777777777777778,0.18604651162790697,0.11627906976744186,10.017948717948718,24.979999999999997,0.20606060606060606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
201167,1610612757,Arron Afflalo,Arron Afflalo,201167,POR,2319.0,39,-31.0,73,73,12,2,4.0,146,,,,,,3.0,,1.0,3.0,,,,4.0,1.0,3.0,,3.0,76,,,,,,,3.0,,,3.0,,,,,,,,,,,,,2.0,4.0,,6.0,,6.0,,,,,1.0,,1.0,,1.0,2.0,,,,3.0,1.0,,3.0,,,,,,,,,,,3.0,12,,,,,1.0,0.3333333333333333,0.3333333333333333,,,0.21428571428571427,,0.21428571428571427,,1.5,0.42857142857142855,,,,11.688311688311687,0.5,,0.13793103448275862,,0.4,0.17647058823529413,,,0.16666666666666666,,0.21428571428571427,,,,,,,,0.42857142857142855,,,,0.14285714285714285,,,,0.42857142857142855,,,,,,,,0.42857142857142855,,0.4902642857142857,,0.53445,,,,1.0,9.25,23.433333333333334,0.1643835616438356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
201577,1610612757,Robin Lopez,Robin Lopez,201577,POR,7031.0,117,-49.0,215,217,55,26,20.0,432,4.0,8.0,3.0,6.0,4.0,5.0,1.0,2.0,,,,9.0,15.0,,,8.0,26.0,239,3.0,6.0,,6.0,2.0,,4.0,10.0,8.0,,6.0,,,1.0,1.0,2.0,3.0,2.0,1.0,,8.0,8.0,2.0,11.0,,13.0,9.0,22.0,1.0,1.0,1.0,,3.0,2.0,2.0,,1.0,5.0,1.0,,5.0,15.0,1.0,1.0,9.0,2.0,8.0,,4.0,,5.0,4.0,1.0,5.0,2.0,4.0,55,2.0,,0.5555555555555556,0.8333333333333334,,,,0.6,0.5,0.6,0.5,0.6842105263157895,0.5,1.0,,0.06666666666666667,0.125,,10.0418410041841,0.6,,0.11702127659574468,0.10126582278481013,0.11764705882352941,0.11711711711711711,0.0743801652892562,0.10344827586206896,0.15384615384615385,0.20689655172413793,0.02564102564102564,,0.2,0.4,0.5333333333333333,0.5,0.5714285714285714,,0.3333333333333333,0.8,0.8,1.0,0.13333333333333333,0.5,0.5,1.0,,,,,,1.0,0.5,,0.5333333333333333,,0.5188733333333333,0.6251800000000001,0.5601,0.21052631578947367,0.21052631578947367,0.23076923076923078,0.15384615384615385,4.9399999999999995,,0.2558139534883721,,,,,,,,,1.0,0.18181818181818182,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.023809523809523808,0.09090909090909091,0.10714285714285714,0.02702702702702703,0.5,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
201587,1610612757,Nicolas Batum,Nicolas Batum,201587,POR,6993.0,117,-51.0,214,217,55,26,20.0,431,3.0,6.0,1.0,2.0,3.0,8.0,1.0,6.0,1.0,8.0,18.0,7.0,20.0,9.0,19.0,4.0,45.0,239,2.0,4.0,,7.0,2.0,,11.0,6.0,8.0,27.0,2.0,18.0,8.0,3.0,6.0,4.0,10.0,2.0,2.0,2.0,24.0,2.0,4.0,15.0,2.0,21.0,4.0,25.0,,1.0,1.0,,6.0,4.0,4.0,1.0,2.0,10.0,1.0,1.0,2.0,3.0,,,3.0,,5.0,,1.0,,,,,,,11.0,55,,,0.42857142857142855,0.5,1.0,0.47368421052631576,0.47368421052631576,0.35,0.5,0.5256410256410257,0.5833333333333334,0.5487804878048781,0.5833333333333334,0.6111111111111112,0.48717948717948717,0.15,0.3333333333333333,0.125,21.42857142857143,0.6,0.5,0.16129032258064516,0.02531645569620253,0.23529411764705882,0.17272727272727273,0.03305785123966942,0.034482758620689655,0.11538461538461539,0.10344827586206896,0.23684210526315788,0.5,,,0.15384615384615385,0.5,0.75,0.6666666666666666,0.20512820512820512,0.375,0.42857142857142855,,0.15384615384615385,0.16666666666666666,0.16666666666666666,1.0,0.02564102564102564,0.46153846153846156,0.4444444444444444,0.4444444444444444,1.0,0.3333333333333333,0.5,,0.6410256410256411,0.4444444444444444,0.5155628205128204,0.6470166666666667,0.50705,0.04878048780487805,0.047619047619047616,0.15555555555555556,0.24444444444444444,10.489999999999998,25.42105263157895,0.2570093457943925,1.0,,,3.0,7.0,3.0,,0.42857142857142855,0.6111111111111112,0.09090909090909091,1.0,1.0,1.0,,,,,1.0,2.0,,,0.5,0.047619047619047616,0.045454545454545456,,0.02702702702702703,,,1.0,2.0,3.0,7.0,1.0,2.0,2.0,2.0,1.0,0.5,0.2,0.3333333333333333,0.5,1.0,0.7777777777777778,0.42857142857142855,0.05,,,,True,,,,,,,,,,,,,
203081,1610612757,Damian Lillard,Damian Lillard,203081,POR,6675.0,111,-48.0,205,207,51,24,19.0,412,12.0,18.0,,,1.0,4.0,2.0,11.0,3.0,2.0,16.0,15.0,33.0,3.0,19.0,3.0,42.0,232,1.0,1.0,,2.0,9.0,3.0,17.0,6.0,24.0,6.0,,16.0,2.0,1.0,6.0,7.0,13.0,6.0,3.0,,33.0,1.0,1.0,7.0,,8.0,1.0,9.0,,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,5.0,,,5.0,5.0,,,4.0,,4.0,,,2.0,2.0,1.0,1.0,3.0,1.0,17.0,51,,2.0,0.2,0.2,0.6666666666666666,0.15789473684210525,0.15789473684210525,0.45454545454545453,1.0,0.375,1.0,0.3888888888888889,1.0,0.5,0.36538461538461536,0.030303030303030304,0.05555555555555555,,25.877192982456144,0.4,,0.08045977011494253,0.013333333333333334,0.058823529411764705,0.07692307692307693,0.008771929824561403,,0.08,0.10714285714285714,0.058823529411764705,,,0.3333333333333333,0.34615384615384615,0.6666666666666666,0.7058823529411765,0.25,0.07692307692307693,0.25,0.25,,0.21153846153846154,0.18181818181818182,0.18181818181818182,,0.057692307692307696,0.3076923076923077,0.125,0.125,0.5,,,,0.7115384615384616,0.125,0.5247365384615384,0.4079,0.5144433333333334,,,0.047619047619047616,0.40476190476190477,8.342424242424244,26.72105263157895,0.24878048780487805,1.0,1.0,2.0,2.0,6.0,2.0,1.0,0.3333333333333333,0.4666666666666667,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.13333333333333333,0.5,4.0,6.0,4.0,,,,0.4444444444444444,,0.05,,,0.4,0.6666666666666666,,,1.0,4.0,,,1.0,3.0,,,,,,,0.26666666666666666,0.25,,3.0,1.0,1.0,True,,,,,,,,,,,,,
203468,1610612757,CJ McCollum,CJ McCollum,203468,POR,3594.0,60,-13.0,109,111,39,22,11.0,220,2.0,9.0,,1.0,1.0,4.0,4.0,6.0,,1.0,8.0,7.0,19.0,1.0,8.0,5.0,22.0,120,,2.0,,,9.0,5.0,18.0,,14.0,3.0,,8.0,1.0,3.0,,1.0,1.0,1.0,,,3.0,1.0,3.0,6.0,,9.0,1.0,10.0,,4.0,2.0,2.0,,,,,,,,,4.0,4.0,,,4.0,,6.0,,2.0,1.0,,,,,,18.0,39,,1.0,,,1.0,0.125,0.125,0.3684210526315789,,0.3148148148148148,,0.36666666666666664,,0.5625,0.2962962962962963,0.15789473684210525,0.3333333333333333,,24.59016393442623,,,0.1276595744680851,0.025,0.25,0.15254237288135594,0.015625,,0.07142857142857142,0.07692307692307693,0.2,0.25,,,0.3333333333333333,0.2222222222222222,0.3333333333333333,,0.14814814814814814,0.25,0.25,,0.2222222222222222,0.6666666666666666,0.6666666666666666,,,0.2962962962962963,0.125,0.125,1.0,0.5,,,0.6296296296296297,0.125,0.48949074074074067,0.5138499999999999,0.43808846153846154,0.06896551724137931,0.09523809523809523,,0.8181818181818182,8.847368421052632,25.8125,0.3577981651376147,,,,1.0,4.0,,,0.25,0.5,0.25,,,,,,1.0,3.0,5.0,,,,0.5555555555555556,,0.08333333333333333,,,0.23076923076923078,0.3333333333333333,,,1.0,4.0,,,,,,,,,,,0.3076923076923077,0.25,,,,,True,,,,,,,,,,,,,
2581,1610612757,Steve Blake,Steve Blake,2581,POR,536.0,9,-7.0,15,15,4,2,1.0,30,,,,,,,,,,,4.0,,,,4.0,,,16,,,,,,,,,,,,4.0,,,,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,1.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,0.5025375,,0.38355,,,,,,25.424999999999997,0.26666666666666666,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,True,,,,,,,,,,,,,
203459,1610612757,Allen Crabbe,Allen Crabbe,203459,POR,1067.0,18,1.0,32,30,5,3,5.0,62,,1.0,,,,,,,1.0,,,,1.0,1.0,1.0,,3.0,36,,,,,1.0,,,,,3.0,,,,1.0,,1.0,1.0,,,,3.0,,,2.0,,2.0,,2.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,5,,,,,1.0,1.0,1.0,,,0.75,,0.75,,,0.5,1.0,1.0,,7.692307692307692,1.0,,0.11764705882352941,,,0.11764705882352941,,,,0.16666666666666666,0.16666666666666666,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,1.0,,0.625625,,0.6046,,,,,1.4,23.3,0.15625,1.0,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,
203086,1610612757,Meyers Leonard,Meyers Leonard,203086,POR,1363.0,23,,42,42,15,2,3.0,84,,1.0,,1.0,,,,,,2.0,2.0,,1.0,2.0,2.0,,6.0,41,,1.0,,,,,3.0,,,6.0,,2.0,2.0,,,,,,,,,1.0,,6.0,,6.0,2.0,8.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,3.0,15,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.5,0.6666666666666666,,,,6.666666666666666,,,0.2857142857142857,0.07692307692307693,,0.23076923076923078,0.09090909090909091,,0.25,0.3333333333333333,0.2727272727272727,,,,0.3333333333333333,,,,,,,,,,,,,0.6666666666666666,1.0,1.0,1.0,1.0,,,1.0,1.0,0.5637166666666666,0.6104,0.5163,,,,0.5,1.3,24.8,0.35714285714285715,,,,1.0,1.0,,,1.0,1.5,,,,,,,,,,1.0,,,,0.1111111111111111,,0.3333333333333333,0.125,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,True,,,,,,,,,,,,,
2549,1610612757,Chris Kaman,Chris Kaman,2549,POR,176.0,3,4.0,5,5,5,3,,10,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,
