EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,Fouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,OffThreePtRebounds,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,PenaltyAtRimFrequency,LongMidRangeFGA,FoulsDrawn,LongMidRangeFrequency,PenaltyAtRimFGM,FtPoints,PenaltyFG2M,PenaltyPoints,PtsAssisted2s,ShootingFouls,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,AtRimPctAssisted,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Arc3FGA,FG3A,NonHeaveArc3FGA,FG3APct,Arc3Frequency,Avg3ptShotDistance,ShortMidRangeFGM,TwoPtAssists,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,Turnovers,LiveBallTurnoverPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,NonHeaveArc3FGM,Corner3Assists,AtRimAssists,LongMidRangeAssists,DeadBallTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctAssisted,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,BlocksRecoveredPct,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3A,ThreePtShootingFoulsDrawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,BlockedLongMidRange,on,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFtPoints,Fg3aBlocked,FTDefRebounds,BadPassOutOfBoundsTurnovers,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,DefFTReboundPct,OffArc3ReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallSteals,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,DefensiveGoaltends,3SecondViolations,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,LongMidRangePctBlocked,HeaveAttempts,FTOffRebounds,BlockingFouls,BlockingFoulsDrawn,Blocked3s,BlockedArc3,OffFTReboundPct,Corner3PctBlocked,OffensiveGoaltends,3pt And 1 Free Throw Trips
1890,1610612739,Shawn Marion,Shawn Marion,1890,CLE,1528.0,25,-1.0,49,46,20,29,6.0,95,1.0,2.0,1.0,1.0,4.0,1.0,6.0,2.0,49,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,6.0,1.0,2.0,2.0,1.0,20,0.16666666666666666,0.5,0.16666666666666666,0.5,0.16666666666666666,0.5,0.16666666666666666,0.5,10.526315789473685,0.21428571428571427,0.1111111111111111,0.1111111111111111,0.17391304347826086,0.07407407407407407,0.5,0.08333333333333333,0.5,0.125,0.25,0.3333333333333333,0.5,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.4762166666666667,0.4764,0.41135,1.0,6.716666666666666,0.40816326530612246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202389,1610612739,Timofey Mozgov,Timofey Mozgov,202389,CLE,651.0,11,-4.0,21,19,5,8,4.0,40,,1.0,,1.0,,,1.0,,18,,1.0,,1.0,,,1.0,,,,,3.0,,,,4.0,4.0,,1.0,1.0,,5,,,,,,,1.0,1.0,3.7037037037037033,,0.25,,,0.23529411764705882,,0.25,,,,1.0,,,,1.0,,1.0,0.3429,0.3429,0.3429,,1.2,0.23809523809523808,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202681,1610612739,Kyrie Irving,Kyrie Irving,202681,CLE,207.0,3,,6,5,1,3,1.0,11,,,,,2.0,,3.0,,4,,1.0,,2.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,33.333333333333336,,,,,,,,,,,,,,0.6666666666666666,,,,0.36506666666666665,0.4229,0.3528,,12.833333333333334,0.16666666666666666,,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202684,1610612739,Tristan Thompson,Tristan Thompson,202684,CLE,644.0,11,4.0,20,19,6,11,1.0,39,1.0,1.0,,,,1.0,1.0,4.0,18,,,,1.0,,,,,,,,,1.0,1.0,2.0,,2.0,,,,1.0,6,1.0,,1.0,,1.0,,,,9.523809523809524,0.16666666666666666,,0.3333333333333333,0.2222222222222222,,,,0.5,0.3333333333333333,,1.0,1.0,1.0,,,,1.0,0.7824,,0.7824,,0.1,0.3,1.0,,,,,1.0,,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202697,1610612739,Iman Shumpert,Iman Shumpert,202697,CLE,128.0,2,1.0,6,5,3,3,,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,16.666666666666668,,,,,,,,,,,,,,,,,1.0,0.44745,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,348.0,6,,10,9,2,4,1.0,19,2.0,2.0,,,2.0,3.0,4.0,6.0,8,,,,,6.0,,,,1.0,,2.0,1.0,,2.0,2.0,1.0,3.0,,1.0,1.0,,2,0.75,,0.75,,0.75,,,,38.46153846153846,1.0,0.25,,0.6666666666666666,0.2,1.0,,,,,0.5,1.0,1.0,0.5,,,0.5,0.532325,,,,4.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,1610612739,Mike Miller,Mike Miller,2034,CLE,388.0,6,-2.0,12,11,8,11,2.0,23,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,1.0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203521,1610612739,Matthew Dellavedova,Matthew Dellavedova,203521,CLE,959.0,16,1.0,31,30,16,19,4.0,61,,,,,5.0,2.0,5.0,8.0,33,,,,1.0,2.0,,,2.0,4.0,1.0,10.0,,,,,,,,,,2.0,16,0.4,,0.4375,,0.4444444444444444,,,,34.285714285714285,,,,,,,,,,,,,,0.625,,,0.375,0.4315375,,0.41733333333333333,,7.4,0.5161290322580645,,,,,,,,3.0,,,1.0,,4.0,2.0,,2.0,,4.0,0.5,0.5,,0.5,0.5,,,,,0.5,2.0,3.0,2.0,0.375,0.25,25.633333333333336,2.0,2.0,,2.0,1.0,3.0,0.6666666666666666,,,0.4,0.4,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.125,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,1610612739,JR Smith,JR Smith,2747,CLE,613.0,10,-1.0,20,19,5,8,4.0,39,1.0,1.0,,,,1.0,2.0,4.0,18,,,,,2.0,,,,,,,1.0,,,,1.0,1.0,,,,1.0,5,0.5,,0.3333333333333333,,0.5,,,,16.666666666666668,,0.1111111111111111,,,0.07692307692307693,,0.16666666666666666,,,,0.3333333333333333,1.0,1.0,,,,0.6666666666666666,0.5451333333333334,,,,9.45,0.25,,,,,,,1.0,2.0,0.3333333333333333,,2.0,,,,1.0,3.0,2.0,,,,,,,,,0.5,0.6666666666666666,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2592,1610612739,James Jones,James Jones,2592,CLE,1306.0,22,-1.0,42,40,19,26,5.0,82,,,,,,1.0,2.0,14.0,45,,1.0,,2.0,,,,1.0,1.0,1.0,3.0,,,1.0,1.0,,1.0,,2.0,2.0,2.0,19,0.5,,0.6875,,0.7777777777777778,,,,19.148936170212767,0.08333333333333333,,,0.05,,,,,,,,,,,,,0.75,0.4548749999999999,0.5528,0.44372142857142854,,18.85,0.4523809523809524,,,,,,,2.0,1.0,0.25,,3.0,1.0,8.0,2.0,1.0,3.0,,8.0,1.0,1.0,0.5,0.5714285714285714,0.5714285714285714,,,0.1111111111111111,,0.5714285714285714,3.0,6.0,3.0,0.75,0.375,24.55,,,,,,,,,0.2,,,3.0,2.0,1.0,2.0,3.0,2.0,5.0,,9.0,2.0,,,,,,,,1.0,,,1.0,,1.0,0.5,0.4,0.5,,0.375,0.6666666666666666,0.6666666666666666,1.0,0.2857142857142857,0.5,0.6666666666666666,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.42857142857142855,0.3333333333333333,0.14285714285714285,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
