EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,ThreePtAssists,Arc3Assists,DeadBallTurnovers,PenaltyTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,AtRimPctBlocked,ShortMidRangePctAssisted,Corner3Frequency,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,Steals,LostBallSteals,NonShootingFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffShortMidRangeReboundPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,AtRimAssists,BadPassTurnovers,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,PtsUnassisted3s,BadPassSteals,SecondChanceTurnovers,OffLongMidRangeReboundPct,LongMidRangePctBlocked,DefAtRimReboundPct,on,Corner3Assists,FTOffRebounds,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,DefFTReboundPct,OffFTReboundPct,OffArc3ReboundPct,SelfORebPct,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,BadPassOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked3s,BlockedCorner3,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,Defensive 3 Seconds Violations
200746,1610612757,LaMarcus Aldridge,LaMarcus Aldridge,200746,POR,2030.0,34.0,-13,61,61,18,11,8.0,122,4.0,5.0,1.0,1.0,3.0,3.0,1.0,9.0,2.0,5.0,2.0,2.0,7.0,19.0,2.0,11.0,25.0,82,1.0,2.0,1.0,3.0,3.0,6.0,2.0,2.0,8.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,2.0,9.0,1.0,12.0,2.0,7.0,2.0,1.0,1.0,2.0,1.0,8.0,18,1.0,0.14285714285714285,0.16666666666666666,0.3684210526315789,0.5,0.5,0.3333333333333333,0.5,0.375,0.4807692307692308,0.75,0.5,0.09523809523809523,0.10526315789473684,0.2222222222222222,39.130434782608695,1.0,0.07692307692307693,0.05,0.14285714285714285,0.14285714285714285,0.09090909090909091,0.07407407407407407,0.3333333333333333,0.5,0.1111111111111111,0.09090909090909091,0.25,0.5,0.23809523809523808,0.8,0.8,0.25,0.42857142857142855,0.1111111111111111,0.14285714285714285,0.23809523809523808,0.4,0.4,0.09523809523809523,0.5,1.0,0.375,1.0,0.25,0.3333333333333333,0.4771880952380952,0.5161,0.54400625,0.2692307692307692,0.2916666666666667,0.12,0.32,8.821052631578947,25.65,0.29508196721311475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201167,1610612757,Arron Afflalo,Arron Afflalo,201167,POR,935.0,16.0,-7,27,27,7,3,3.0,54,,1.0,,,,,1.0,2.0,,1.0,,,1.0,4.0,1.0,,2.0,36,,,,,,1.0,,,,2.0,,,,2.0,,1.0,,,3.0,,,,1.0,1.0,,1.0,,,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,7,,1.0,1.0,0.25,,,0.2,,,0.2,,,0.2,0.5,0.5,20.0,,0.07692307692307693,,,,0.06666666666666667,,,,,0.14285714285714285,,,0.2,,,,0.4,0.5,1.0,0.2,,,,,,,,,0.4,0.48041999999999996,,0.3578,0.2,0.25,,,9.35,23.3,0.25925925925925924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201577,1610612757,Robin Lopez,Robin Lopez,201577,POR,536.0,9.0,-7,15,15,4,2,1.0,30,,,,,,,,,,,,,,,,2.0,2.0,16,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,,4,,,,,,,,,,1.0,,,,,,6.25,,0.1111111111111111,,,,0.1,,,,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203468,1610612757,CJ McCollum,CJ McCollum,203468,POR,2070.0,34.0,-3,62,63,19,14,6.0,125,2.0,4.0,1.0,2.0,,1.0,,,2.0,5.0,3.0,1.0,4.0,9.0,3.0,2.0,16.0,74,1.0,3.0,,2.0,2.0,5.0,1.0,,7.0,4.0,4.0,,3.0,1.0,,,,,,,1.0,,4.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,,4.0,,1.0,,,,,,7.0,19,,0.5,0.5,0.4444444444444444,0.3333333333333333,0.4,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.5714285714285714,0.3333333333333333,0.5833333333333334,0.25,0.1111111111111111,,22.058823529411764,1.0,0.12903225806451613,0.047619047619047616,,,0.10256410256410256,0.03225806451612903,,,0.2,0.14285714285714285,,,0.3333333333333333,0.5,0.6666666666666666,0.5,,,,0.4166666666666667,0.4,0.4,0.25,0.6666666666666666,0.5,0.16666666666666666,,0.16666666666666666,0.5833333333333334,0.48332499999999995,0.48434999999999995,0.37601666666666667,0.07692307692307693,0.1,0.125,0.4375,10.755555555555556,25.13333333333333,0.3064516129032258,,,,,,2.0,,,0.25,,,2.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.1111111111111111,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2581,1610612757,Steve Blake,Steve Blake,2581,POR,2559.0,43.0,-20,78,79,25,16,9.0,157,,1.0,,,,1.0,,,1.0,2.0,7.0,3.0,1.0,3.0,8.0,2.0,7.0,102,,,,,,1.0,3.0,2.0,5.0,,2.0,,7.0,,4.0,8.0,1.0,2.0,20.0,,,1.0,,1.0,,1.0,2.0,,2.0,4.0,1.0,,2.0,,,1.0,1.0,,1.0,,5.0,25,,,,0.3333333333333333,,,0.22727272727272727,,0.375,0.2916666666666667,,0.5,0.7272727272727273,,,16.091954022988507,1.0,,,0.125,,0.023809523809523808,,,,,,,,0.09090909090909091,,,,,,,0.18181818181818182,0.5,0.5,0.6363636363636364,,,0.25,,0.75,0.8181818181818182,0.4981681818181818,,0.46358750000000004,,,,0.7142857142857143,12.5,25.325,0.32051282051282054,1.0,4.0,4.0,,1.0,2.0,,,,,0.09090909090909091,1.0,1.0,1.0,1.0,3.0,1.0,,,1.0,1.0,0.125,0.3333333333333333,0.125,,,0.14285714285714285,0.14285714285714285,1.0,,0.3333333333333333,0.14285714285714285,1.0,2.0,1.0,1.0,0.3333333333333333,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203081,1610612757,Damian Lillard,Damian Lillard,203081,POR,414.0,7.0,-9,16,15,9,7,2.0,31,,2.0,,,,1.0,,,,1.0,1.0,1.0,,3.0,1.0,,3.0,26,,,,,,1.0,1.0,,3.0,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,3.0,9,,,,,,,0.375,,0.75,0.375,,0.75,0.25,,,22.22222222222222,,,,,,,,,,,,,,0.5,,,,,,,0.25,,,0.25,,,0.5,,0.5,0.75,0.571,,0.5841000000000001,,,,1.0,6.1000000000000005,27.3,0.5625,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,3.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203086,1610612757,Meyers Leonard,Meyers Leonard,203086,POR,1738.0,29.0,-14,51,54,15,8,7.0,105,1.0,1.0,,,,,1.0,1.0,1.0,2.0,4.0,1.0,3.0,4.0,4.0,,18.0,68,1.0,1.0,,2.0,,,1.0,,3.0,4.0,2.0,,4.0,,1.0,1.0,,,2.0,,1.0,1.0,4.0,5.0,1.0,6.0,1.0,1.0,1.0,6.0,3.0,,,,,1.0,1.0,,1.0,,3.0,15,2.0,0.6666666666666666,0.6666666666666666,0.75,1.0,,1.125,1.0,1.5,1.125,1.0,1.5,0.5,,,15.517241379310345,1.0,0.16,0.05555555555555555,0.2,,0.16666666666666666,0.037037037037037035,,,0.1,0.3,0.3333333333333333,,0.125,1.0,1.0,1.0,0.125,1.0,1.0,0.25,0.5,0.5,0.5,,,,,1.0,0.625,0.49355,0.3518,0.54855,,,0.1111111111111111,0.16666666666666666,10.375,26.0,0.29411764705882354,,,,,,2.0,1.0,,,1.0,,4.0,1.0,4.0,1.0,12.0,4.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,0.16666666666666666,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,1610612757,Chris Kaman,Chris Kaman,2549,POR,662.0,11.0,-7,20,19,6,3,2.0,39,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,1.0,1.0,,,2.0,,1.0,1.0,1.0,2.0,1.0,3.0,1.0,,2.0,2.0,,,,,,,,,,,,6,,,,,,,,,,,,,,,,9.090909090909092,0.5,0.125,0.16666666666666666,0.5,,0.2,0.125,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,0.5,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201587,1610612757,Nicolas Batum,Nicolas Batum,201587,POR,1208.0,20.0,-8,38,40,13,9,4.0,78,,,,,,,,3.0,2.0,3.0,2.0,,2.0,6.0,2.0,,7.0,48,,,,,1.0,2.0,,,2.0,4.0,,,2.0,2.0,1.0,3.0,,,8.0,,,,3.0,3.0,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,13,,1.0,1.0,0.3333333333333333,,0.5,0.4375,,0.5,0.4375,,0.5,0.25,0.3333333333333333,0.3333333333333333,21.42857142857143,1.0,0.2,,,,0.15,,,,0.25,0.125,,,,,,,0.375,,,0.375,0.6666666666666666,1.0,0.25,,,,,,0.25,0.41937499999999994,,0.3762,,,,0.2857142857142857,15.633333333333333,25.15,0.34210526315789475,,2.0,2.0,,1.0,,,,,,,1.0,,1.0,,3.0,1.0,,,,1.0,0.5,,0.5,,1.0,0.5,0.5,1.0,,,0.5,1.0,1.0,,,,,,1.0,,0.3333333333333333,0.3333333333333333,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203459,1610612757,Allen Crabbe,Allen Crabbe,203459,POR,619.0,10.0,-13,20,20,7,5,3.0,40,1.0,1.0,,,,,,,,,,,1.0,1.0,,,2.0,29,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,7,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,4.3478260869565215,,0.14285714285714285,,,,0.125,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,0.781,,,,,,,0.2,,0.35,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
