EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyCorner3FGA,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedLongMidRange,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,SecondChanceAtRimFGM,PtsPutbacks,Offensive Fouls Drawn,OffArc3ReboundPct,SecondChanceAtRimAccuracy,SecondChanceCorner3FGA,FTOffRebounds,DefensiveGoaltends,AtRimPctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,PenaltyCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,3SecondViolations,on
101108,1610612746,Chris Paul,Chris Paul,101108,LAC,26697.0,445,37.0,896,887,279.0,252,105.0,1783,18.0,25.0,4.0,7.0,18.0,34.0,32.0,65.0,1.0,6.0,26.0,59.0,2.0,4.0,7.0,19.0,68.0,124.0,27.0,65.0,48.0,265.0,950,3.0,4.0,2.0,4.0,4.0,16.0,19.0,39.0,7.0,19.0,36.0,95.0,2.0,134.0,33.0,48.0,59.0,26.0,2.0,1.0,88.0,17.0,105.0,12.0,5.0,52.0,15.0,21.0,227.0,1.0,6.0,12.0,33.0,1.0,46.0,7.0,53.0,2.0,22.0,11.0,11.0,16.0,3.0,12.0,10.0,4.0,1.0,2.0,26.0,4.0,4.0,12.0,2.0,37,1.0,1.0,3.0,54.0,1.0,1.0,5.0,51.0,4.0,1.0,14.0,13.0,3.0,1.0,2.0,3.0,3.0,95.0,278.0,10.0,13.0,0.014705882352941176,0.014705882352941176,0.4074074074074074,0.4153846153846154,0.5,0.3684210526315789,0.4153846153846154,0.5483870967741935,0.75,0.48717948717948717,0.5740740740740741,0.75,0.5086206896551724,0.6226415094339622,0.8,0.6168831168831169,0.3439153439153439,0.015384615384615385,0.016129032258064516,0.058823529411764705,0.01694915254237288,23.49457058242843,0.6153846153846154,0.023255813953488372,0.12087912087912088,0.023346303501945526,0.08163265306122448,0.006896551724137931,0.10714285714285714,0.017412935323383085,0.0375,0.0410958904109589,0.02631578947368421,0.10989010989010989,0.10185185185185185,0.16216216216216217,0.06862745098039216,0.1111111111111111,0.022988505747126436,1.0,0.13227513227513227,0.72,0.72,0.17989417989417988,0.5294117647058824,0.5625,0.3439153439153439,0.49230769230769234,0.49230769230769234,0.03125,0.031746031746031744,0.16666666666666666,0.16666666666666666,1.0,0.31216931216931215,0.4406779661016949,0.4482758620689655,0.38461538461538464,0.5,0.5,0.5,0.1206896551724138,0.5714285714285714,0.3275862068965517,0.3684210526315789,0.47619047619047616,0.4406779661016949,0.45754042553191504,0.4516,0.43674649122807013,0.07035175879396985,0.1044776119402985,0.06037735849056604,0.3584905660377358,11.95,25.843076923076925,0.31138392857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
200755,1610612746,JJ Redick,JJ Redick,200755,LAC,21600.0,360,43.0,722,714,206.0,181,84.0,1436,7.0,9.0,1.0,1.0,3.0,6.0,14.0,38.0,6.0,17.0,16.0,44.0,,1.0,6.0,14.0,24.0,53.0,22.0,61.0,22.0,136.0,744,3.0,6.0,,1.0,,6.0,2.0,5.0,6.0,16.0,3.0,25.0,42.0,6.0,66.0,,44.0,16.0,,1.0,8.0,5.0,13.0,5.0,,7.0,1.0,,31.0,,,8.0,9.0,2.0,19.0,,19.0,,5.0,5.0,,11.0,2.0,10.0,6.0,1.0,1.0,1.0,17.0,,2.0,12.0,2.0,23,,1.0,1.0,16.0,1.0,,,24.0,1.0,7.0,6.0,,5.0,2.0,2.0,5.0,1.0,25.0,205.0,4.0,,0.875,0.875,1.0,0.36065573770491804,,0.375,0.36065573770491804,0.4528301886792453,0.5,0.4,0.5,0.42857142857142855,0.5238095238095238,0.5371900826446281,0.42857142857142855,0.5454545454545454,0.5350877192982456,0.01639344262295082,,,0.022727272727272728,16.891064871481028,0.6470588235294118,0.05263157894736842,0.0410958904109589,,0.06451612903225806,,0.04956268221574344,,,,,,0.07228915662650602,0.046875,0.07142857142857142,0.05,,0.2,0.07894736842105263,0.7777777777777778,0.7777777777777778,0.05263157894736842,0.5,0.5,0.3333333333333333,0.3684210526315789,0.3684210526315789,0.7857142857142857,0.14912280701754385,0.35294117647058826,0.35294117647058826,1.0,0.38596491228070173,0.36363636363636365,0.37209302325581395,1.0,0.14285714285714285,,,0.047619047619047616,1.0,0.6666666666666666,0.42857142857142855,0.6140350877192983,0.36363636363636365,0.4959460176991151,0.432,0.5030476190476191,0.06611570247933884,0.10344827586206896,0.04411764705882353,0.18382352941176472,15.071698113207546,25.104918032786887,0.2853185595567867,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.14285714285714285,0.09523809523809523,0.031746031746031744,,,,,,,,,,,,,,,,,,,,,,,,,,True
201150,1610612746,Spencer Hawes,Spencer Hawes,201150,LAC,1350.0,22,,47,46,13.0,23,4.0,93,2.0,2.0,1.0,1.0,2.0,2.0,,1.0,,,2.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,3.0,2.0,16.0,56,1.0,1.0,1.0,1.0,,5.0,1.0,1.0,1.0,1.0,2.0,7.0,6.0,2.0,6.0,,3.0,2.0,,,,2.0,2.0,1.0,1.0,,,,6.0,1.0,1.0,1.0,3.0,,4.0,2.0,6.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,4.0,,8,,,,3.0,,,,2.0,,,,1.0,2.0,1.0,1.0,2.0,1.0,7.0,13.0,2.0,1.0,0.75,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,0.875,1.25,1.25,0.8888888888888888,1.25,1.1666666666666667,0.375,,,,,19.23076923076923,1.0,,0.2,0.1,0.125,0.06666666666666667,0.17391304347826086,0.08,0.5,,,,0.14285714285714285,0.5,0.14285714285714285,,,0.5,0.25,1.0,1.0,0.25,1.0,1.0,0.125,,,,,,,,0.375,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.625,0.6666666666666666,0.46465,0.45604999999999996,0.486425,,,0.3125,0.4375,8.6,24.96666666666667,0.2765957446808511,1.0,,,,,0.5,1.0,0.5,,,1.0,2.0,1.0,0.09090909090909091,1.0,,,,,,,,,,,,,,,,,,,,,True
201933,1610612746,Blake Griffin,Blake Griffin,201933,LAC,24180.0,403,51.0,815,801,254.0,231,95.0,1616,65.0,102.0,26.0,29.0,19.0,48.0,20.0,52.0,,1.0,1.0,4.0,,,1.0,2.0,104.0,202.0,1.0,5.0,51.0,262.0,845,15.0,29.0,,1.0,8.0,38.0,34.0,48.0,1.0,3.0,20.0,91.0,134.0,74.0,3.0,,4.0,1.0,15.0,,35.0,26.0,61.0,17.0,9.0,24.0,2.0,9.0,148.0,6.0,22.0,27.0,47.0,10.0,84.0,32.0,116.0,13.0,10.0,4.0,6.0,20.0,2.0,14.0,8.0,6.0,,2.0,28.0,3.0,8.0,16.0,,26,,3.0,1.0,66.0,2.0,5.0,1.0,70.0,10.0,,32.0,8.0,11.0,8.0,3.0,11.0,7.0,91.0,253.0,2.0,6.0,0.6442307692307693,0.6907216494845361,1.0,0.2,,0.3333333333333333,0.2,0.5148514851485149,0.5172413793103449,0.7083333333333334,0.5096618357487923,0.5,0.696078431372549,0.5527426160337553,0.5428571428571428,0.7222222222222222,0.024154589371980676,,0.07425742574257425,0.125,,28.664495114006513,0.7142857142857143,0.2564102564102564,0.188,0.09282700421940929,0.20149253731343283,0.046875,0.19270833333333334,0.07671232876712329,0.13333333333333333,0.09375,0.05405405405405406,0.13095238095238096,0.25,0.17142857142857143,0.20652173913043478,0.19047619047619047,0.1566265060240964,0.6363636363636364,0.4927536231884058,0.6372549019607843,0.6914893617021277,0.2318840579710145,0.3958333333333333,0.4523809523809524,0.25120772946859904,0.38461538461538464,0.39215686274509803,0.9,0.004830917874396135,,,,0.01932367149758454,0.25,0.25,1.0,,,,0.5686274509803921,0.896551724137931,0.0392156862745098,0.5,0.5169082125603864,0.25,0.4923956310679612,0.5367040000000001,0.5087176470588234,0.13973799126637554,0.14285714285714285,0.1450381679389313,0.3473282442748092,7.157425742574257,25.639999999999997,0.3116564417177914,21.0,1.0,3.0,,,0.5692307692307692,0.631578947368421,0.7,0.0196078431372549,,12.0,14.0,2.0,0.04395604395604396,0.5714285714285714,1.0,4.0,1.0,0.0784313725490196,0.019230769230769232,0.08695652173913043,0.061224489795918366,0.25,0.03333333333333333,,,,,,,,,,,,True
203085,1610612746,Austin Rivers,Austin Rivers,203085,LAC,4437.0,74,-19.0,154,157,74.0,79,20.0,311,2.0,5.0,,2.0,1.0,4.0,2.0,3.0,,3.0,1.0,3.0,,1.0,,1.0,5.0,12.0,1.0,6.0,2.0,15.0,182,,1.0,,2.0,,,1.0,3.0,,2.0,,2.0,2.0,8.0,3.0,,3.0,1.0,1.0,,2.0,,2.0,,,,1.0,1.0,4.0,,1.0,1.0,3.0,1.0,5.0,1.0,6.0,,3.0,3.0,,1.0,,1.0,2.0,,1.0,1.0,3.0,1.0,1.0,4.0,1.0,10,,1.0,,3.0,,,1.0,4.0,,,2.0,,2.0,1.0,1.0,2.0,1.0,2.0,74.0,1.0,,0.2,0.2,1.0,0.16666666666666666,,,0.16666666666666666,0.4166666666666667,,0.3333333333333333,0.3611111111111111,,0.2,0.375,,0.2,0.3333333333333333,,0.08333333333333333,0.25,,12.994350282485875,0.3333333333333333,0.1111111111111111,0.06818181818181818,0.023255813953488372,0.05,,0.0625,0.013888888888888888,,0.07142857142857142,,0.07142857142857142,0.08333333333333333,,0.06666666666666667,,,0.5,0.2777777777777778,0.4,0.4,0.2222222222222222,0.25,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.6666666666666666,,0.16666666666666666,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,0.4,,0.2,,0.6111111111111112,0.3333333333333333,0.46893888888888885,0.55035,0.43831,0.1,0.14285714285714285,,0.13333333333333333,8.958333333333334,25.266666666666666,0.4805194805194805,1.0,1.0,,,,0.5,,0.3333333333333333,0.2,,,,,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,True
2037,1610612746,Jamal Crawford,Jamal Crawford,2037,LAC,11969.0,199,7.0,413,399,189.0,184,49.0,812,3.0,4.0,2.0,2.0,8.0,24.0,6.0,18.0,5.0,8.0,5.0,28.0,1.0,4.0,2.0,12.0,17.0,46.0,10.0,36.0,14.0,78.0,469,1.0,3.0,2.0,5.0,,8.0,6.0,15.0,5.0,16.0,9.0,36.0,16.0,18.0,24.0,6.0,27.0,5.0,4.0,,8.0,,8.0,,,6.0,1.0,1.0,16.0,,1.0,3.0,4.0,1.0,8.0,2.0,10.0,1.0,6.0,5.0,1.0,3.0,2.0,2.0,3.0,1.0,,,6.0,,,5.0,1.0,23,,1.0,,10.0,,,,16.0,,,2.0,3.0,2.0,1.0,1.0,2.0,1.0,34.0,188.0,3.0,2.0,0.47058823529411764,0.47058823529411764,0.8,0.2777777777777778,0.4,0.3125,0.2857142857142857,0.3695652173913043,0.3333333333333333,0.4,0.3902439024390244,0.5,0.43548387096774194,0.43820224719101125,0.5,0.5142857142857142,0.43902439024390244,,0.08695652173913043,0.16666666666666666,,20.518358531317496,0.5,0.047619047619047616,0.03389830508474576,0.008771929824561403,0.05357142857142857,,0.040229885057471264,0.005681818181818182,,,,0.023255813953488372,0.041666666666666664,0.037037037037037035,0.047619047619047616,0.07142857142857142,0.02,0.5,0.04878048780487805,0.75,0.75,0.2926829268292683,0.3333333333333333,0.4,0.21951219512195122,0.3333333333333333,0.3333333333333333,0.5,0.0975609756097561,0.625,0.625,1.0,0.34146341463414637,0.17857142857142858,0.17857142857142858,0.6,0.5,0.25,1.0,0.06451612903225806,1.0,0.3870967741935484,0.16666666666666666,0.4878048780487805,0.18518518518518517,0.459284375,0.46339166666666665,0.4710016666666667,0.046511627906976744,0.041666666666666664,0.10256410256410256,0.46153846153846156,11.891304347826088,25.986111111111107,0.4576271186440678,,4.0,1.0,2.0,,0.3333333333333333,0.5,,0.12903225806451613,0.05263157894736842,,,,,,1.0,1.0,,,,0.043478260869565216,0.020833333333333332,,0.125,1.0,3.0,1.0,1.0,1.0,0.75,,,,,,True
2440,1610612746,Matt Barnes,Matt Barnes,2440,LAC,17449.0,291,63.0,579,571,142.0,96,65.0,1150,14.0,24.0,1.0,4.0,,3.0,,2.0,6.0,21.0,6.0,25.0,,2.0,4.0,8.0,14.0,29.0,12.0,46.0,7.0,71.0,587,2.0,6.0,1.0,3.0,2.0,9.0,1.0,5.0,4.0,9.0,5.0,19.0,26.0,2.0,36.0,,25.0,6.0,7.0,1.0,7.0,4.0,11.0,3.0,1.0,5.0,1.0,1.0,26.0,6.0,7.0,15.0,22.0,3.0,40.0,14.0,54.0,1.0,13.0,9.0,4.0,6.0,2.0,5.0,5.0,1.0,1.0,,11.0,1.0,1.0,18.0,2.0,36,1.0,,,9.0,,1.0,1.0,11.0,1.0,,5.0,1.0,6.0,5.0,,7.0,3.0,19.0,142.0,2.0,,0.9285714285714286,1.0,1.0,0.2608695652173913,0.3333333333333333,0.4444444444444444,0.2608695652173913,0.4827586206896552,0.3333333333333333,0.2,0.4266666666666667,0.3888888888888889,0.5,0.44375,0.4090909090909091,0.5277777777777778,0.6133333333333333,0.021739130434782608,0.2413793103448276,0.3333333333333333,,13.935681470137824,0.5454545454545454,0.1111111111111111,0.1164021164021164,0.043478260869565216,0.1485148514851485,0.06666666666666667,0.12758620689655173,0.05179282868525897,0.019230769230769232,0.11904761904761904,0.11538461538461539,0.140625,0.125,0.07547169811320754,0.14925373134328357,0.14705882352941177,0.024390243902439025,0.42857142857142855,0.32,0.5833333333333334,0.7777777777777778,0.04,,,0.02666666666666667,,,,0.28,0.2857142857142857,0.3,1.0,0.3333333333333333,0.24,0.24,1.0,0.2222222222222222,,,0.2857142857142857,0.25,0.5714285714285714,0.5,0.9333333333333333,0.24,0.5654346666666666,0.5101111111111112,0.5180071428571428,0.06329113924050633,0.15151515151515152,0.1267605633802817,0.2676056338028169,3.2551724137931037,24.695652173913043,0.2452504317789292,4.0,1.0,,,1.0,0.9285714285714286,,0.4444444444444444,0.07142857142857142,,2.0,2.0,,0.046875,0.5,1.0,1.0,,0.25,,0.037037037037037035,0.014925373134328358,0.5,0.1111111111111111,1.0,,,1.0,1.0,,1.0,1.0,1.0,0.047619047619047616,,True
201175,1610612746,Glen Davis,Glen Davis,201175,LAC,3188.0,53,12.0,113,115,70.0,64,13.0,228,6.0,11.0,3.0,7.0,,2.0,1.0,2.0,,,,,,,,,7.0,15.0,,,5.0,19.0,125,1.0,1.0,,,,2.0,3.0,9.0,,,5.0,11.0,12.0,2.0,,,,,3.0,,,1.0,1.0,,1.0,,,,3.0,1.0,4.0,1.0,7.0,,8.0,6.0,14.0,,2.0,2.0,,1.0,,1.0,2.0,,,1.0,3.0,1.0,,9.0,3.0,17,1.0,2.0,,5.0,1.0,,,6.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,11.0,70.0,4.0,1.0,0.8571428571428571,1.0,,,,,,0.4666666666666667,1.0,0.3333333333333333,0.4666666666666667,1.0,0.3333333333333333,0.5277777777777778,1.0,0.4583333333333333,,,0.2,0.5,,16.53543307086614,0.3333333333333333,,0.20588235294117646,0.13793103448275862,0.058823529411764705,0.07142857142857142,0.1568627450980392,0.11627906976744186,0.2857142857142857,0.15384615384615385,,0.25,0.2,0.14285714285714285,0.08333333333333333,,,1.0,0.7333333333333333,0.5454545454545454,0.6666666666666666,0.13333333333333333,,,0.13333333333333333,0.5,0.5,1.0,,,,,,,,,,,,0.7777777777777778,0.42857142857142855,,,0.7333333333333333,,0.5325000000000001,,0.4971444444444445,0.11764705882352941,0.11764705882352941,0.10526315789473684,0.5789473684210527,4.786666666666666,,0.6194690265486725,1.0,,,,,0.8333333333333334,,1.0,,,1.0,2.0,1.0,0.07692307692307693,1.0,,1.0,,0.18181818181818182,,0.2,,,,,,,,,,,,,,,True
201599,1610612746,DeAndre Jordan,DeAndre Jordan,201599,LAC,21966.0,366,4.0,725,722,167.0,144,88.0,1447,44.0,60.0,12.0,14.0,,1.0,,,,,,,,,,,44.0,61.0,,,37.0,125.0,764,13.0,22.0,,,6.0,32.0,12.0,14.0,,,29.0,53.0,66.0,22.0,,,,,2.0,,5.0,2.0,7.0,1.0,1.0,4.0,,1.0,16.0,13.0,19.0,33.0,54.0,16.0,103.0,33.0,136.0,1.0,10.0,7.0,3.0,3.0,2.0,1.0,9.0,2.0,,,12.0,2.0,2.0,15.0,,28,,4.0,2.0,66.0,,4.0,,106.0,4.0,,15.0,40.0,23.0,12.0,10.0,23.0,12.0,53.0,166.0,2.0,3.0,0.75,0.9428571428571428,,,,,,0.7213114754098361,0.5909090909090909,0.8571428571428571,0.7213114754098361,0.5909090909090909,0.8571428571428571,0.5580357142857143,0.5925925925925926,0.5,,,0.03278688524590164,,,14.580801944106925,0.25,0.5517241379310345,0.24770642201834864,0.08878504672897196,0.2682926829268293,0.1092436974789916,0.25513196480938416,0.0960960960960961,0.05714285714285714,0.11290322580645161,0.15625,0.2898550724637681,0.20238095238095238,0.26153846153846155,0.27380952380952384,0.2564102564102564,0.06666666666666667,0.5217391304347826,0.9836065573770492,0.7333333333333333,0.7586206896551724,0.01639344262295082,,,,,,,,,,,,,,,,,,1.0,0.8571428571428571,,,0.9836065573770492,,0.6611967213114756,0.5723142857142857,0.6664642857142857,0.20833333333333334,0.20833333333333334,0.256,0.424,1.1016393442622952,,0.2303448275862069,22.0,,,,1.0,0.75,,1.0,,,13.0,18.0,1.0,0.09195402298850575,0.5909090909090909,,1.0,1.0,0.03333333333333333,,0.023255813953488372,0.0975609756097561,0.23076923076923078,,,,,,,,,,2.0,,2.0,True
2563,1610612746,Dahntay Jones,Dahntay Jones,2563,LAC,53.0,1,-7.0,1,4,1.0,4,,5,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,4,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
