EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,FG3APct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,NonHeaveArc3Accuracy,Avg3ptShotDistance,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Travels,Offensive Fouls Drawn,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,Charge Fouls,BlockingFoulsDrawn,Blocked3s,BlockedCorner3,PenaltyFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,PenaltyArc3Accuracy,SecondChanceCorner3FGM,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedArc3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,Clear Path Fouls,OffensiveGoaltends
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,11951.0,199.0,5.0,380.0,378,63.0,76,45.0,758,20.0,31.0,8.0,12.0,5.0,5.0,18.0,32.0,1.0,4.0,39.0,67.0,13.0,91.0,402.0,9.0,13.0,18.0,10.0,13.0,2.0,22.0,46.0,32.0,8.0,6.0,13.0,7.0,20.0,5.0,2.0,10.0,2.0,1.0,47.0,4.0,10.0,1.0,15.0,33.0,3.0,51.0,15.0,66.0,2.0,6.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,13.0,18.0,1.0,15.0,2.0,23.0,3.0,13.0,8.0,4.0,1.0,3.0,8.0,5.0,1.0,1.0,22.0,62.0,2.0,0.5897435897435898,0.6571428571428571,0.582089552238806,0.6923076923076923,0.7692307692307693,0.582089552238806,0.6923076923076923,0.7692307692307693,0.5909090909090909,0.6923076923076923,0.7333333333333333,0.08955223880597014,0.06451612903225806,0.125,18.80733944954128,0.4,0.16666666666666666,0.05555555555555555,0.2578125,0.07407407407407407,0.2830188679245283,0.07017543859649122,0.26519337016574585,0.07291666666666667,0.04878048780487805,0.057692307692307696,0.11904761904761904,0.07692307692307693,0.05555555555555555,0.3333333333333333,0.28125,0.19298245614035087,0.2777777777777778,0.29411764705882354,0.09090909090909091,0.625,0.4626865671641791,0.6451612903225806,0.6896551724137931,0.7,0.47761194029850745,0.5625,0.6428571428571429,0.4444444444444444,0.05970149253731343,0.25,0.25,1.0,0.9230769230769231,0.6666666666666666,0.375,0.38461538461538464,1.0,0.4626865671641791,0.4600910447761194,0.5194181818181818,0.4301615384615385,0.16883116883116883,0.16883116883116883,0.1978021978021978,0.24175824175824176,5.353731343283582,0.16578947368421051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,2484.0,41.0,-18.0,78.0,81,23.0,39,9.0,159,2.0,3.0,,,,1.0,,2.0,,1.0,2.0,6.0,5.0,18.0,103.0,,1.0,3.0,,1.0,4.0,4.0,2.0,2.0,,1.0,7.0,1.0,8.0,,1.0,3.0,3.0,1.0,17.0,,,,2.0,6.0,,8.0,,8.0,,,,,3.0,,2.0,,1.0,3.0,,1.0,7.0,,7.0,,6.0,,1.0,1.0,1.0,,,1.0,,,,4.0,21.0,,0.5,0.5,0.3333333333333333,,,0.5416666666666666,0.75,,0.6,0.75,0.5,0.16666666666666666,,0.5,20.0,1.0,,,0.2727272727272727,,0.18181818181818182,,0.24242424242424243,,,,,,,0.4,0.125,0.3333333333333333,0.25,,,,0.25,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,,,,0.08333333333333333,,,,,,,0.5,,0.75,0.49426363636363635,0.5688,0.5016,0.07692307692307693,0.14285714285714285,0.16666666666666666,0.2222222222222222,6.349999999999999,0.2948717948717949,1.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,9.0,1.0,3.0,2.0,2.0,2.0,1.0,0.5,1.0,0.6,0.5,0.16666666666666666,0.5,0.5,1.0,0.3333333333333333,0.5,0.5,1.0,0.5,1.0,1.0,0.5,0.6666666666666666,30.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201158,1610612759,Marco Belinelli,Marco Belinelli,201158,SAS,3061.0,51.0,2.0,99.0,100,14.0,20,5.0,199,2.0,2.0,,,1.0,1.0,,,1.0,1.0,3.0,3.0,4.0,28.0,93.0,,,,1.0,1.0,2.0,4.0,4.0,2.0,,,2.0,2.0,4.0,2.0,,1.0,,1.0,10.0,,,,3.0,1.0,,4.0,,4.0,,1.0,1.0,,3.0,,3.0,,,3.0,,,6.0,,4.0,,5.0,,,,,,,,,,,4.0,14.0,,0.6666666666666666,0.6666666666666666,1.0,,1.0,0.8,,0.5,0.8235294117647058,,0.6666666666666666,,,,19.047619047619047,1.0,,,0.02631578947368421,,0.25,,0.08,,,,,,,,,0.07692307692307693,0.42857142857142855,,,,0.13333333333333333,1.0,1.0,0.5,,,,,0.06666666666666667,1.0,1.0,1.0,,,,0.5,1.0,0.9333333333333333,0.5460833333333334,,0.637625,0.0625,,,0.14285714285714285,5.833333333333333,0.1414141414141414,,1.0,6.0,11.0,,,1.0,6.0,12.0,,,1.0,18.0,,11.0,6.0,1.0,1.0,1.0,0.5,,0.5,0.8,0.06666666666666667,,,,0.7333333333333333,0.5454545454545454,0.5454545454545454,1.0,,,,0.5,0.5454545454545454,25.63333333333333,1.0,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,12607.0,210.0,-6.0,400.0,401,68.0,88,47.0,801,12.0,23.0,2.0,4.0,1.0,3.0,14.0,30.0,7.0,29.0,33.0,82.0,10.0,76.0,431.0,2.0,6.0,4.0,4.0,11.0,2.0,10.0,16.0,50.0,2.0,8.0,20.0,5.0,25.0,4.0,1.0,9.0,7.0,4.0,55.0,1.0,2.0,1.0,3.0,16.0,,19.0,4.0,23.0,1.0,2.0,1.0,1.0,10.0,1.0,6.0,1.0,4.0,11.0,3.0,3.0,14.0,,15.0,,17.0,1.0,8.0,,,,,,,,,10.0,66.0,1.0,0.24242424242424243,0.25,0.4024390243902439,0.3333333333333333,0.36363636363636365,0.3626373626373626,0.25,0.3076923076923077,0.3838383838383838,0.25,0.3333333333333333,0.0975609756097561,0.30434782608695654,0.03333333333333333,23.91304347826087,0.9090909090909091,,0.047619047619047616,0.11940298507462686,0.013986013986013986,0.05454545454545454,0.01639344262295082,0.10052910052910052,0.014705882352941176,0.023809523809523808,0.017543859649122806,,,0.05555555555555555,0.11904761904761904,0.029411764705882353,0.1724137931034483,0.08108108108108109,,0.02040816326530612,,0.25274725274725274,0.5217391304347826,0.75,0.3333333333333333,0.32967032967032966,0.4666666666666667,0.4827586206896552,0.21428571428571427,0.31868131868131866,0.2413793103448276,0.2413793103448276,0.14285714285714285,0.5,0.5,,0.23076923076923078,0.3333333333333333,0.3516483516483517,0.46871593406593404,0.4934214285714286,0.4541576923076923,0.08163265306122448,0.0898876404494382,0.05263157894736842,0.13157894736842105,9.870731707317074,0.17,,6.0,,3.0,,1.0,1.0,,9.0,,2.0,2.0,,,3.0,,1.0,1.0,,,,,0.0989010989010989,0.06593406593406594,,,,0.03296703296703297,,,,0.125,,,0.07692307692307693,,24.255555555555553,,,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2564,1610612759,Boris Diaw,Boris Diaw,2564,SAS,6504.0,108.0,-1.0,201.0,198,42.0,48,23.0,399,8.0,10.0,3.0,4.0,2.0,4.0,6.0,14.0,4.0,6.0,18.0,30.0,5.0,47.0,234.0,4.0,7.0,8.0,5.0,8.0,2.0,12.0,24.0,12.0,2.0,1.0,9.0,3.0,12.0,3.0,,5.0,3.0,1.0,27.0,2.0,5.0,1.0,3.0,11.0,2.0,16.0,8.0,24.0,1.0,2.0,2.0,,1.0,,1.0,1.0,,2.0,,4.0,12.0,,7.0,,7.0,1.0,3.0,1.0,1.0,,,1.0,,,,12.0,41.0,,0.6666666666666666,0.7058823529411765,0.6,0.5714285714285714,0.625,0.4883720930232558,0.5714285714285714,0.5,0.5108695652173914,0.5714285714285714,0.5454545454545454,0.03333333333333333,0.1,,20.689655172413794,0.5,0.2857142857142857,0.125,0.1746031746031746,0.07936507936507936,0.10344827586206896,0.06060606060606061,0.15217391304347827,0.07291666666666667,0.0625,0.06896551724137931,0.1111111111111111,0.04,0.125,0.18181818181818182,0.05,0.2857142857142857,0.05,0.2222222222222222,0.045454545454545456,,0.23255813953488372,0.8,0.8888888888888888,0.875,0.32558139534883723,0.42857142857142855,0.42857142857142855,0.5,0.13953488372093023,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.75,0.6666666666666666,0.4,0.5,0.5348837209302325,0.4816790697674419,0.441125,0.50556,0.06666666666666667,0.09375,0.1702127659574468,0.2553191489361702,8.2,0.208955223880597,1.0,1.0,1.0,12.0,,,2.0,2.0,13.0,,,2.0,6.0,,12.0,1.0,1.0,1.0,1.0,0.15384615384615385,,0.15384615384615385,0.3023255813953488,0.023255813953488372,1.0,1.0,1.0,0.27906976744186046,0.08333333333333333,0.08333333333333333,1.0,,,,0.2,0.08333333333333333,24.853846153846156,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,4788.0,80.0,-28.0,150.0,154,8.0,11,19.0,304,5.0,13.0,2.0,5.0,,,,1.0,,,5.0,14.0,2.0,12.0,163.0,2.0,5.0,4.0,,,,,8.0,2.0,2.0,5.0,4.0,1.0,5.0,,1.0,3.0,1.0,,11.0,1.0,8.0,,4.0,8.0,1.0,13.0,9.0,22.0,,2.0,2.0,,2.0,,,2.0,2.0,4.0,,8.0,13.0,1.0,10.0,,8.0,,4.0,1.0,1.0,,,1.0,,,,,8.0,,0.8,1.0,0.35714285714285715,0.4,,0.35714285714285715,0.4,,0.3333333333333333,0.3333333333333333,,0.35714285714285715,0.3076923076923077,1.0,12.64367816091954,0.5,0.2,,0.1568627450980392,0.12121212121212122,0.17391304347826086,0.05555555555555555,0.16216216216216217,0.10714285714285714,0.2631578947368421,0.08,0.045454545454545456,0.09090909090909091,,0.058823529411764705,0.1,0.25,0.1875,0.14285714285714285,,,0.9285714285714286,0.38461538461538464,0.5555555555555556,0.8,0.07142857142857142,,,,,,,,1.0,0.4,0.5,,,0.9285714285714286,0.5536428571428572,0.60115,,0.2222222222222222,0.2222222222222222,0.3333333333333333,,2.1785714285714284,0.05333333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,
202695,1610612759,Kawhi Leonard,Kawhi Leonard,202695,SAS,10850.0,181.0,-16.0,347.0,348,65.0,84,44.0,695,12.0,16.0,4.0,5.0,1.0,2.0,11.0,23.0,7.0,22.0,30.0,61.0,17.0,107.0,375.0,6.0,8.0,14.0,3.0,9.0,5.0,20.0,28.0,32.0,8.0,3.0,7.0,3.0,10.0,1.0,2.0,4.0,1.0,2.0,23.0,3.0,7.0,1.0,9.0,14.0,9.0,32.0,11.0,43.0,3.0,7.0,5.0,2.0,5.0,3.0,1.0,5.0,4.0,10.0,2.0,7.0,12.0,,13.0,,20.0,,8.0,3.0,1.0,,2.0,4.0,3.0,,,18.0,63.0,2.0,0.4666666666666667,0.5384615384615384,0.4918032786885246,0.75,0.3333333333333333,0.569620253164557,0.6666666666666666,0.46875,0.601123595505618,0.7,0.5263157894736842,0.04918032786885246,,0.043478260869565216,24.504950495049506,0.5,0.5,0.05,0.12612612612612611,0.05384615384615385,0.1875,0.05660377358490566,0.14465408805031446,0.0546448087431694,0.025,0.04081632653061224,0.0975609756097561,0.05714285714285714,0.05555555555555555,0.11764705882352941,0.11538461538461539,0.13725490196078433,0.16129032258064516,0.23529411764705882,0.08571428571428572,0.75,0.20253164556962025,0.75,0.75,0.4166666666666667,0.2911392405063291,0.4782608695652174,0.5,0.5454545454545454,0.27848101265822783,0.3181818181818182,0.35,0.42857142857142855,0.5555555555555556,0.8,,0.125,0.5,0.43037974683544306,0.47560569620253157,0.5049571428571429,0.46479374999999995,0.09195402298850575,0.11594202898550725,0.1308411214953271,0.18691588785046728,10.363934426229509,0.1873198847262248,3.0,5.0,7.0,13.0,,1.0,6.0,10.0,18.0,,1.0,7.0,27.0,,13.0,7.0,2.0,1.0,0.9,0.5555555555555556,,0.5555555555555556,0.22784810126582278,0.06329113924050633,0.6,0.6,1.0,0.16455696202531644,0.5384615384615384,0.5833333333333334,0.8571428571428571,0.1111111111111111,,,0.375,0.5384615384615384,24.983333333333334,,,,1.0,,,,,,0.0625,1.0,,3.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,0.42857142857142855,0.05555555555555555,0.09090909090909091,0.07692307692307693,0.5,,,,,,,True,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,9281.0,155.0,15.0,291.0,288,37.0,41,39.0,579,5.0,9.0,1.0,3.0,,3.0,,4.0,4.0,5.0,9.0,18.0,4.0,40.0,310.0,1.0,4.0,5.0,,4.0,1.0,1.0,16.0,2.0,,4.0,10.0,4.0,14.0,2.0,2.0,5.0,3.0,2.0,32.0,,5.0,1.0,2.0,5.0,,7.0,6.0,13.0,,7.0,5.0,2.0,1.0,2.0,,3.0,1.0,4.0,,1.0,6.0,,5.0,,6.0,1.0,2.0,5.0,3.0,,2.0,6.0,5.0,,,,35.0,,0.8888888888888888,0.8888888888888888,0.5,0.25,,0.375,0.2777777777777778,,0.39,0.2777777777777778,0.0625,0.2222222222222222,0.3333333333333333,0.25,15.929203539823009,0.25,,0.05263157894736842,0.04950495049504951,0.045454545454545456,0.04878048780487805,,0.04929577464788732,0.033112582781456956,0.05714285714285714,0.043478260869565216,0.034482758620689655,,,0.03125,0.17391304347826086,,0.07142857142857142,,,0.8333333333333334,0.1875,0.5555555555555556,0.8333333333333334,0.8,0.08333333333333333,,,,0.10416666666666667,0.8,0.8,1.0,0.3333333333333333,0.3333333333333333,,0.42857142857142855,,0.8125,0.5156645833333333,0.5317,0.5408357142857143,0.04081632653061224,0.10526315789473684,0.125,0.025,7.9833333333333325,0.12714776632302405,4.0,12.0,2.0,18.0,,3.0,1.0,6.0,30.0,1.0,5.0,3.0,18.0,,18.0,2.0,1.0,,1.0,0.2,0.2,0.2,0.625,0.25,0.3333333333333333,0.3333333333333333,1.0,0.375,0.1111111111111111,0.1111111111111111,1.0,0.3333333333333333,,,0.14285714285714285,0.1111111111111111,24.666666666666668,,,2.0,2.0,,,,,0.2222222222222222,0.2857142857142857,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,True,,,,,,
203382,1610612759,Aron Baynes,Aron Baynes,203382,SAS,793.0,13.0,5.0,26.0,27,1.0,9,3.0,53,1.0,2.0,,1.0,,,,,,,1.0,2.0,1.0,3.0,18.0,,1.0,,,,,,2.0,,,,1.0,,1.0,,,1.0,,,2.0,1.0,,,,2.0,,2.0,1.0,3.0,,,,,,,,,,,,,4.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,0.5,,,0.5,,,0.75,,,,,,6.451612903225807,,,,0.13333333333333333,,,0.14285714285714285,0.11764705882352941,0.0625,,,,0.2,,0.25,0.3333333333333333,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,1.0,,,,,1.0,0.6355,,,0.5,0.5,,,1.35,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,553.0,9.0,11.0,23.0,23,16.0,19,1.0,46,,,,,,,,,,,,,,3.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,16.0,,,,,,,0.5,,,0.5,,,,,,12.5,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5760500000000001,,0.5181,,,,,,0.6956521739130435,,,1.0,3.0,,,1.0,1.0,3.0,,,1.0,3.0,,3.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,,,,,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,1.0,0.3333333333333333,25.733333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
