EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PtsAssisted2s,NonHeaveArc3FGA,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,SecondChanceOffPoss,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG3M,FtPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,FTDefRebounds,DefFTReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,DefShortMidRangeReboundPct,LongMidRangeFGM,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFGA,SecondChanceFG2A,Loose Ball Fouls,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyFG2M,BlockedAtRim,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,BlocksRecoveredPct,SecondChanceAtRimFGM,Arc3FGM,SecondChanceFG2M,SecondChanceFtPoints,SecondChancePoints,NonHeaveArc3FGM,ThreePtAssists,Corner3Assists,OffThreePtRebounds,DefThreePtRebounds,BadPassSteals,PenaltyTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChancePointsPct,PenaltyAtRimFGM,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,SelfOReb,Loose Ball Fouls Drawn,DefCorner3ReboundPct,SelfORebPct,SecondChanceArc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonShootingPenaltyNonTakeFoulsDrawn,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,PtsPutbacks,Arc3Assists,FTOffRebounds,OffFTReboundPct,on,ShortMidRangeAssists,BlockingFouls,Offensive Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,3SecondViolations,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,PtsUnassisted3s,Travels,Blocked3s,BlockedArc3,SecondChanceFg3Pct,PenaltyFg3Pct,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,HeaveAttempts,Charge Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3FGM,ThreePtShootingFoulsDrawn,BlockedCorner3,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations
101110,1610612764,Martell Webster,Martell Webster,101110,WAS,252.0,4.0,-1,10,9,9,19,1.0,1.0,1.0,1.0,1.0,1.0,2.0,7,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,20.0,0.5,1.0,1.0,1.0,0.5,1.0,0.6866,0.1,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101198,1610612764,Will Bynum,Will Bynum,101198,WAS,1887.0,31.0,-7,67,67,21,134,6.0,9.0,,6.0,12.0,2.0,19.0,71,2.0,,0.16666666666666666,0.16666666666666666,0.5,0.5357142857142857,0.59375,0.14285714285714285,27.63157894736842,0.6428571428571429,0.6666666666666666,0.75,0.16666666666666666,,0.7857142857142857,0.5877999999999999,4.566666666666666,24.05,11.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,10.0,3.0,1.0,3.0,3.0,2.0,1.0,6.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,3.0,6.0,4.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.08333333333333333,0.1111111111111111,0.6,0.04,0.11764705882352941,0.03225806451612903,0.07142857142857142,0.25,0.2,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,0.5,0.4869,0.13333333333333333,0.15384615384615385,0.10526315789473684,0.16417910447761194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202338,1610612764,Kevin Seraphin,Kevin Seraphin,202338,WAS,252.0,4.0,-1,10,9,9,19,,,,1.0,2.0,,2.0,7,,,,,0.5,0.5,0.5,,30.0,,,,,,,0.3575,7.1,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,1610612764,Rasual Butler,Rasual Butler,2446,WAS,252.0,4.0,-1,10,9,9,19,,,1.0,,,1.0,,7,,1.0,,,,,,1.0,10.0,,,,,1.0,1.0,0.4992,,27.4,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2743,1610612764,Kris Humphries,Kris Humphries,2743,WAS,252.0,4.0,-1,10,9,9,19,,,,1.0,1.0,,2.0,7,2.0,,1.0,1.0,1.0,1.0,1.0,,10.0,,,,,,,0.3757,20.2,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,3.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,0.4,,0.4,,,,,1.0,,,,,,,,,,,,1.0,0.5,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101162,1610612764,Marcin Gortat,Marcin Gortat,101162,WAS,211.0,4.0,1,8,9,4,17,,1.0,,,1.0,,,5,,,,,,,,,10.0,1.0,,,,,1.0,0.4787,2.8,,3.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,3.0,,,,,,,,,,0.3333333333333333,,0.2,,,,,,,,,,,,,,0.375,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.4787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1718,1610612764,Paul Pierce,Paul Pierce,1718,WAS,683.0,11.0,-3,26,24,7,50,,1.0,2.0,1.0,4.0,2.0,2.0,21,,2.0,,,0.25,0.16666666666666666,0.16666666666666666,0.3333333333333333,19.35483870967742,0.16666666666666666,,,,0.3333333333333333,0.5,0.40536666666666665,12.425,26.55,5.0,4.0,,1.0,2.0,,,,,1.0,,2.0,2.0,,,,,,,,,2.0,2.0,,2.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,,1.0,4.0,,,,,1.0,,,,0.16666666666666666,,0.14285714285714285,,,0.3333333333333333,0.16666666666666666,0.3333333333333333,,,,,,0.232,,,1.0,0.19230769230769232,,,,,,,1.0,0.25,0.5,0.5,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201196,1610612764,Ramon Sessions,Ramon Sessions,201196,WAS,26.0,,-1,2,2,2,4,,,,,,,,5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203078,1610612764,Bradley Beal,Bradley Beal,203078,WAS,1368.0,23.0,-6,48,47,9,95,4.0,7.0,2.0,5.0,10.0,2.0,17.0,56,2.0,2.0,0.2,0.2,0.5,0.6666666666666666,0.7083333333333334,0.16666666666666666,28.57142857142857,0.5833333333333334,0.5714285714285714,0.5714285714285714,,0.16666666666666666,0.75,0.553,6.85,25.5,6.0,7.0,,,3.0,,,2.0,1.0,,,,8.0,6.0,,2.0,3.0,2.0,,7.0,,2.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,,2.0,,2.0,4.0,,,,2.0,1.0,1.0,1.0,,,,,5.0,,1.0,1.0,1.0,,,,0.5,0.11764705882352941,,0.14285714285714285,0.047619047619047616,,,,0.25,,,,,,,0.08333333333333333,0.1,,0.125,,,,,,0.25,1.0,,0.3333333333333333,0.3333333333333333,1.0,2.0,2.0,,,1.0,0.3884,,,,,,,,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.25,0.14285714285714285,0.16666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,0.17647058823529413,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203490,1610612764,Otto Porter Jr.,Otto Porter Jr.,203490,WAS,1621.0,27.0,-8,56,58,12,114,2.0,2.0,4.0,2.0,3.0,5.0,4.0,64,2.0,4.0,0.5,0.5,0.6666666666666666,0.25,0.25,0.625,13.846153846153845,0.25,1.0,1.0,0.5,0.5,0.875,0.5277999999999999,3.6333333333333333,25.72,10.0,8.0,1.0,1.0,,,1.0,,,1.0,,2.0,2.0,,,2.0,2.0,2.0,,4.0,1.0,3.0,5.0,1.0,6.0,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,9.0,,,,,0.5,,,1.0,0.15,0.06666666666666667,0.15384615384615385,0.041666666666666664,,0.25,0.125,,0.125,,,,0.5,0.6304000000000001,,,0.5,0.17857142857142858,,1.0,0.5,,,0.1111111111111111,,0.14285714285714285,,,,1.0,1.0,,0.5,0.3333333333333333,0.49817500000000003,1.0,,,2.0,1.0,0.5,,1.0,,1.0,,2.0,,,,,1.0,,,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,,,,,,,1.0,,0.5,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.6666666666666666,1.0,0.5,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
