EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,OpponentPoints,Fouls,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,LostBallOutOfBoundsTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,BlockingFouls,Blocked3s,BlockedArc3,PenaltyCorner3FGM,HeaveAttempts,PenaltyCorner3Accuracy,Charge Fouls Drawn,BlockingFoulsDrawn,Corner3PctBlocked,on,FTOffRebounds,OffFTReboundPct,3pt And 1 Free Throw Trips,OffensiveGoaltends
1890,1610612739,Shawn Marion,Shawn Marion,1890,CLE,207.0,3,6,5,1,3,1.0,11,4,1.0,1,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
202389,1610612739,Timofey Mozgov,Timofey Mozgov,202389,CLE,16467.0,274,516,517,74,96,70.0,1033,512,35.0,74,0.1434108527131783,47.0,36.0,57.0,8.0,13.0,4.0,6.0,2.0,15.0,2.0,13.0,40.0,85.0,28.0,108.0,8.0,16.0,7.0,23.0,5.0,7.0,7.0,17.0,68.0,12.0,10.0,12.0,5.0,4.0,9.0,4.0,1.0,2.0,2.0,22.0,8.0,19.0,17.0,36.0,2.0,55.0,27.0,82.0,1.0,5.0,4.0,1.0,6.0,2.0,1.0,13.0,5.0,1.0,3.0,19.0,3.0,4.0,19.0,1.0,4.0,3.0,23.0,2.0,35.0,1.0,15.0,3.0,21.0,13.0,1.0,7.0,21.0,12.0,2.0,2.0,17.0,3.0,3.0,0.85,0.9714285714285714,0.47058823529411764,0.5,0.7142857142857143,0.47058823529411764,0.5,0.7142857142857143,0.5294117647058824,0.575,0.7727272727272727,0.1411764705882353,0.17543859649122806,0.13333333333333333,20.23411371237458,0.3157894736842105,0.15384615384615385,0.18,0.11046511627906977,0.19540229885057472,0.08163265306122448,0.18466898954703834,0.1,0.08163265306122448,0.15873015873015872,0.08333333333333333,0.10144927536231885,0.034482758620689655,0.23376623376623376,0.18181818181818182,0.11764705882352941,0.18181818181818182,0.3,0.030303030303030304,0.5714285714285714,0.6705882352941176,0.631578947368421,0.7659574468085106,0.8333333333333334,0.17647058823529413,0.13333333333333333,0.15384615384615385,1.0,0.15294117647058825,0.15384615384615385,0.15384615384615385,1.0,0.8125,0.6153846153846154,0.25,0.8571428571428571,0.6666666666666666,0.6705882352941176,0.569475294117647,0.5731333333333333,0.6285142857142857,0.15151515151515152,0.15151515151515152,0.21296296296296297,0.1574074074074074,5.020000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,
202681,1610612739,Kyrie Irving,Kyrie Irving,202681,CLE,27858.0,464,882,872,245,243,127.0,1754,924,29.0,241,0.2777777777777778,54.0,29.0,55.0,1.0,4.0,7.0,17.0,11.0,29.0,14.0,41.0,54.0,125.0,58.0,247.0,3.0,8.0,8.0,29.0,13.0,36.0,23.0,67.0,22.0,86.0,,11.0,32.0,18.0,50.0,11.0,18.0,4.0,10.0,118.0,3.0,7.0,13.0,24.0,,37.0,10.0,47.0,3.0,17.0,13.0,4.0,13.0,2.0,10.0,7.0,3.0,1.0,2.0,20.0,3.0,6.0,13.0,,1.0,1.0,47.0,,69.0,4.0,21.0,9.0,11.0,9.0,,2.0,11.0,5.0,,,62.0,5.0,6.0,0.2037037037037037,0.2037037037037037,0.432,0.375,0.3611111111111111,0.5108108108108108,0.525,0.4230769230769231,0.572429906542056,0.6041666666666666,0.5153846153846153,0.088,0.09090909090909091,0.1724137931034483,22.80701754385965,0.65,,0.0759493670886076,0.026615969581749048,0.09352517985611511,0.01639344262295082,0.08131868131868132,0.02242152466367713,0.011494252873563218,0.047058823529411764,0.02197802197802198,0.015267175572519083,0.019230769230769232,0.06504065040650407,0.05434782608695652,0.10891089108910891,0.09243697478991597,0.1,0.03296703296703297,0.45454545454545453,0.2972972972972973,0.5272727272727272,0.58,0.1724137931034483,0.15675675675675677,0.3793103448275862,0.4583333333333333,0.18181818181818182,0.22162162162162163,0.34146341463414637,0.35,0.2857142857142857,0.2,0.25,,0.3269230769230769,0.4117647058823529,0.6216216216216216,0.5036251351351351,0.5184999999999998,0.48217115384615383,0.11707317073170732,0.14788732394366197,0.11740890688259109,0.27125506072874495,8.587200000000003,4.0,9.0,1.0,4.0,2.0,23.0,51.0,4.0,8.0,6.0,14.0,27.0,60.0,5.0,12.0,6.0,16.0,57.0,24.0,51.0,23.0,1.0,7.0,1.0,1.0,4.0,3.0,0.7037037037037037,0.45,0.4166666666666667,0.375,0.45,0.32432432432432434,0.016666666666666666,0.024390243902439025,0.0196078431372549,0.04864864864864865,0.4444444444444444,0.4444444444444444,0.75,0.2756756756756757,0.45098039215686275,0.46,0.6956521739130435,0.2,0.25,1.0,0.4,0.5,1.0,0.038461538461538464,0.2692307692307692,0.42857142857142855,0.45098039215686275,0.047619047619047616,25.274999999999995,,,,,,,,,,True,,,,
202684,1610612739,Tristan Thompson,Tristan Thompson,202684,CLE,19933.0,332,625,622,170,170,94.0,1247,674,23.0,167,0.272,32.0,25.0,37.0,9.0,15.0,8.0,12.0,10.0,23.0,2.0,2.0,37.0,62.0,28.0,102.0,11.0,20.0,7.0,29.0,10.0,16.0,16.0,36.0,52.0,22.0,14.0,4.0,4.0,2.0,6.0,2.0,3.0,,1.0,14.0,18.0,29.0,12.0,43.0,,55.0,47.0,102.0,5.0,2.0,2.0,,3.0,,1.0,4.0,2.0,,,7.0,,3.0,14.0,,3.0,2.0,33.0,8.0,40.0,4.0,14.0,8.0,10.0,8.0,,2.0,11.0,5.0,,1.0,36.0,1.0,7.0,0.7027027027027027,0.8666666666666667,0.5967741935483871,0.55,0.625,0.5967741935483871,0.55,0.625,0.6375,0.6041666666666666,0.6428571428571429,0.06451612903225806,0.05405405405405406,0.08695652173913043,11.869031377899045,0.42857142857142855,,0.19545454545454546,0.15104166666666666,0.1188118811881188,0.144,0.17133956386292834,0.14826498422712933,0.19298245614035087,0.18032786885245902,0.0945945945945946,0.13636363636363635,0.16216216216216217,0.19318181818181818,0.19696969696969696,0.19696969696969696,0.12941176470588237,0.0625,0.23809523809523808,0.45454545454545453,0.5967741935483871,0.6756756756756757,0.7142857142857143,0.68,0.3709677419354839,0.43478260869565216,0.47619047619047616,0.8,0.03225806451612903,1.0,1.0,0.5,0.75,0.6,0.2222222222222222,0.75,0.6666666666666666,0.5967741935483871,0.5592419354838709,0.54721875,0.5933999999999999,0.19444444444444445,0.19444444444444445,0.28431372549019607,0.35294117647058826,3.6806451612903226,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,True,,,,
202697,1610612739,Iman Shumpert,Iman Shumpert,202697,CLE,19122.0,319,600,593,178,176,88.0,1193,643,22.0,174,0.2966666666666667,25.0,6.0,10.0,2.0,2.0,1.0,1.0,3.0,9.0,7.0,14.0,16.0,33.0,15.0,92.0,2.0,3.0,3.0,7.0,4.0,6.0,8.0,19.0,14.0,18.0,,3.0,5.0,4.0,9.0,3.0,3.0,2.0,,22.0,3.0,7.0,13.0,15.0,5.0,33.0,10.0,43.0,1.0,13.0,7.0,6.0,3.0,1.0,3.0,4.0,,2.0,,7.0,2.0,1.0,8.0,1.0,,,15.0,,16.0,,5.0,3.0,5.0,4.0,,1.0,5.0,3.0,,,17.0,4.0,1.0,0.4375,0.4375,0.48484848484848486,0.6666666666666666,0.6666666666666666,0.48125,0.16666666666666666,0.4230769230769231,0.5227272727272727,0.25,0.5588235294117647,0.09090909090909091,0.1,0.2222222222222222,13.649425287356323,0.42857142857142855,0.38461538461538464,0.07109004739336493,0.03977272727272727,0.13541666666666666,0.024,0.09120521172638436,0.03322259136212625,0.03571428571428571,0.05172413793103448,0.03225806451612903,0.022727272727272728,0.02702702702702703,0.03529411764705882,0.04838709677419355,0.140625,0.125,0.1875,0.023255813953488372,0.6,0.125,0.6,0.6666666666666666,0.6666666666666666,0.1125,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.175,0.5,0.5,0.2857142857142857,0.16666666666666666,1.0,1.0,0.07692307692307693,1.0,0.7125,0.5136481012658229,0.537135,0.47072916666666664,0.058823529411764705,0.13157894736842105,0.07608695652173914,0.20652173913043478,11.045454545454549,9.0,26.0,,6.0,4.0,6.0,21.0,,3.0,,3.0,15.0,47.0,,9.0,1.0,7.0,42.0,3.0,20.0,6.0,,1.0,,3.0,,,0.9333333333333333,0.3191489361702128,,0.14285714285714285,0.32608695652173914,0.5875,,,,0.325,0.34615384615384615,0.34615384615384615,1.0,0.2625,0.2857142857142857,0.2857142857142857,0.8333333333333334,0.5,,,0.25,,,0.3076923076923077,0.23076923076923078,,0.3,,25.51063829787234,,,,1.0,1.0,0.25,,,,True,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,23505.0,392,745,733,204,202,111.0,1478,778,27.0,200,0.2738255033557047,43.0,50.0,70.0,7.0,10.0,15.0,23.0,22.0,49.0,17.0,54.0,89.0,173.0,46.0,236.0,11.0,20.0,4.0,26.0,25.0,47.0,14.0,64.0,46.0,132.0,6.0,8.0,43.0,37.0,80.0,23.0,33.0,5.0,5.0,197.0,2.0,11.0,29.0,37.0,5.0,71.0,13.0,84.0,3.0,16.0,12.0,4.0,19.0,3.0,13.0,15.0,6.0,,3.0,34.0,3.0,8.0,9.0,1.0,,4.0,52.0,3.0,62.0,5.0,25.0,8.0,11.0,9.0,,2.0,12.0,5.0,,,64.0,1.0,6.0,0.25842696629213485,0.26744186046511625,0.5144508670520231,0.55,0.5319148936170213,0.4398148148148148,0.4583333333333333,0.423728813559322,0.48155737704918034,0.48148148148148145,0.463768115942029,0.046242774566473986,0.04285714285714286,0.10204081632653061,31.917336394948332,0.5588235294117647,0.3125,0.14624505928853754,0.04741379310344827,0.25,0.013605442176870748,0.17886178861788618,0.03430079155672823,0.10526315789473684,0.038461538461538464,,0.009900990099009901,0.021739130434782608,0.12,0.1917808219178082,0.1375,0.23,0.375,0.02654867256637168,0.4166666666666667,0.32407407407407407,0.7142857142857143,0.746268656716418,0.28,0.22685185185185186,0.4489795918367347,0.5,0.09090909090909091,0.25,0.3148148148148148,0.3148148148148148,0.4117647058823529,0.4166666666666667,0.7,0.14285714285714285,0.3898305084745763,0.6521739130434783,0.5231481481481481,0.4917583333333334,0.4740977272727274,0.4814228813559322,0.1059322033898305,0.12953367875647667,0.11016949152542373,0.2711864406779661,8.820809248554914,1.0,7.0,,,2.0,3.0,36.0,,4.0,,10.0,4.0,43.0,,4.0,,12.0,9.0,3.0,36.0,3.0,,14.0,2.0,1.0,1.0,,0.75,0.09302325581395349,,,0.09302325581395349,0.19907407407407407,,,,0.032407407407407406,0.14285714285714285,0.14285714285714285,1.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.6666666666666666,,,,0.16666666666666666,,,0.03389830508474576,0.1694915254237288,,0.08333333333333333,,25.225581395348843,1.0,1.0,1.0,,,,2.0,2.0,,True,,,,
2034,1610612739,Mike Miller,Mike Miller,2034,CLE,1365.0,23,40,40,7,2,5.0,80,52,1.0,7,0.175,-14.0,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,7.0,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,3.0,,,,,,,,0.75,,1.5,0.75,,1.5,,,,4.166666666666667,,,0.35,,0.2,,0.32,,,,,,,0.3333333333333333,0.4444444444444444,0.25,0.25,,,,,,,,,,,,,,,,,,,,,1.0,0.582225,,0.6249,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,1.0,2.0,,,1.0,1.0,3.0,,1.0,,,,,,,,1.0,0.5,,1.0,0.5,1.0,,,,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,1.0,,,,,25.75,,,,1.0,,1.0,,,,True,,,,
201567,1610612739,Kevin Love,Kevin Love,201567,CLE,5798.0,97,188,186,51,53,28.0,374,194,11.0,50,0.2712765957446808,36.0,5.0,8.0,1.0,2.0,2.0,3.0,1.0,6.0,2.0,5.0,8.0,19.0,14.0,57.0,1.0,2.0,5.0,16.0,2.0,3.0,2.0,12.0,10.0,6.0,2.0,4.0,7.0,2.0,9.0,1.0,4.0,3.0,,20.0,3.0,2.0,10.0,10.0,2.0,22.0,5.0,27.0,1.0,1.0,1.0,,2.0,,2.0,2.0,,,,4.0,,1.0,6.0,,,2.0,16.0,1.0,19.0,,7.0,1.0,2.0,1.0,,1.0,2.0,,,,12.0,,1.0,0.625,0.7142857142857143,0.42105263157894735,0.5,0.6666666666666666,0.5375,1.1,0.7142857142857143,0.5816326530612245,0.8888888888888888,0.6666666666666666,0.21052631578947367,0.25,0.3333333333333333,24.311926605504585,0.5,0.5,0.15873015873015872,0.04081632653061224,0.3333333333333333,0.07894736842105263,0.21505376344086022,0.05747126436781609,0.05555555555555555,,0.07142857142857142,0.038461538461538464,0.16666666666666666,0.15789473684210525,0.15789473684210525,0.16,0.3448275862068966,,0.05555555555555555,,0.2,0.625,0.8333333333333334,0.6,0.15,0.16666666666666666,0.25,,0.125,0.4,0.4,1.0,0.4,0.5,,0.42857142857142855,0.6666666666666666,0.725,0.5327375,0.4662833333333333,0.6339928571428571,0.16666666666666666,0.2692307692307692,0.2807017543859649,0.21052631578947367,7.578947368421052,2.0,7.0,1.0,1.0,2.0,7.0,14.0,2.0,2.0,1.0,2.0,9.0,21.0,3.0,3.0,2.0,4.0,24.0,3.0,14.0,7.0,1.0,1.0,,1.0,,1.0,0.8888888888888888,0.42857142857142855,1.0,0.5,0.42857142857142855,0.525,0.047619047619047616,,0.07142857142857142,0.175,0.2857142857142857,0.2857142857142857,1.0,0.35,0.5,0.5384615384615384,0.8571428571428571,0.2,1.0,1.0,0.4,1.0,0.5,0.2857142857142857,0.2857142857142857,0.5,0.5,0.045454545454545456,24.76666666666667,,,,1.0,,0.5,2.0,,,True,,,,
2747,1610612739,JR Smith,JR Smith,2747,CLE,13304.0,222,426,422,127,123,59.0,848,434,20.0,126,0.2981220657276995,45.0,4.0,4.0,,,1.0,1.0,1.0,4.0,8.0,14.0,13.0,22.0,1.0,90.0,,1.0,1.0,13.0,5.0,7.0,1.0,29.0,8.0,18.0,,,5.0,3.0,8.0,2.0,4.0,,1.0,19.0,,3.0,7.0,17.0,3.0,27.0,3.0,30.0,,7.0,7.0,,3.0,,1.0,3.0,2.0,,,6.0,,3.0,10.0,,2.0,,4.0,1.0,2.0,,1.0,,1.0,,1.0,,1.0,,,,29.0,2.0,,0.3076923076923077,0.3076923076923077,0.5909090909090909,,0.7142857142857143,0.5235294117647059,0.8571428571428571,0.6363636363636364,0.5232558139534884,0.8125,0.6304347826086957,,,,18.623481781376515,0.5,0.375,0.10625,0.026785714285714284,0.11666666666666667,,0.10909090909090909,0.014018691588785047,0.027777777777777776,0.02702702702702703,0.02564102564102564,,,0.125,0.046511627906976744,0.1320754716981132,0.1111111111111111,0.16666666666666666,,,0.047058823529411764,1.0,1.0,0.25,0.047058823529411764,0.25,0.25,1.0,0.16470588235294117,0.5714285714285714,0.5714285714285714,0.25,,,,0.045454545454545456,1.0,0.788235294117647,0.49595588235294125,0.40096,0.4694227272727272,0.011627906976744186,0.043478260869565216,0.14444444444444443,0.32222222222222224,13.5,4.0,13.0,1.0,2.0,4.0,17.0,50.0,3.0,4.0,5.0,11.0,21.0,63.0,4.0,6.0,6.0,15.0,60.0,3.0,50.0,17.0,1.0,1.0,3.0,2.0,,,0.9523809523809523,0.3333333333333333,0.6666666666666666,0.4,0.3333333333333333,0.7411764705882353,0.015873015873015872,,0.02,0.15294117647058825,0.3076923076923077,0.3076923076923077,1.0,0.5882352941176471,0.34,0.3469387755102041,0.9411764705882353,0.2857142857142857,0.5,1.0,0.5714285714285714,0.75,1.0,0.18181818181818182,0.5,0.45454545454545453,0.34,,25.400000000000002,1.0,,,1.0,,0.25,,,,True,,,,
203521,1610612739,Matthew Dellavedova,Matthew Dellavedova,203521,CLE,4996.0,83,168,162,62,64,18.0,330,173,10.0,59,0.36904761904761907,8.0,,,,,,,,1.0,,1.0,,2.0,2.0,11.0,,,,3.0,,,,6.0,,,,,8.0,5.0,13.0,3.0,6.0,,2.0,31.0,,1.0,2.0,4.0,,6.0,1.0,7.0,,,,,3.0,,3.0,1.0,,,,4.0,,2.0,4.0,,1.0,,5.0,,4.0,,1.0,1.0,,,,,,,,,6.0,1.0,,,,,,,0.375,1.5,0.75,0.39285714285714285,1.5,0.6,,,,9.574468085106384,0.75,,0.0625,0.02564102564102564,0.07692307692307693,,0.06666666666666667,0.014084507042253521,,0.125,,,,0.08333333333333333,,0.10526315789473684,0.05263157894736842,0.14285714285714285,,,,,,,0.08333333333333333,,,,0.08333333333333333,,,,,,,,,0.8333333333333334,0.48392083333333336,0.55545,0.5356125,0.07692307692307693,0.3333333333333333,0.2727272727272727,0.5454545454545454,13.8,1.0,3.0,,,2.0,2.0,7.0,1.0,1.0,1.0,2.0,3.0,10.0,1.0,1.0,2.0,4.0,9.0,,7.0,2.0,,2.0,1.0,2.0,,,1.0,0.3,1.0,0.5,0.3,0.8333333333333334,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.5833333333333334,0.2857142857142857,0.2857142857142857,1.0,,,,1.0,1.0,1.0,0.5,0.5,0.5,0.2857142857142857,,25.22,1.0,,,1.0,,0.5,,,,True,,,,
