EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PtsAssisted3s,NonHeaveArc3FGM,LostBallOutOfBoundsTurnovers,Charge Fouls,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,LongMidRangePctBlocked,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,LongMidRangeFGM,Corner3FGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3Accuracy,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,BlockingFouls,PenaltyCorner3Accuracy,Fg3aBlocked,BlockingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,SecondChanceTurnovers,Offensive Fouls,on,3SecondViolations,HeaveAttempts,3pt And 1 Free Throw Trips,Clear Path Fouls,OffensiveGoaltends,Charge Fouls Drawn,BlockedCorner3
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,10159.0,169.0,33,323,320,56.0,53.0,40.0,643,20.0,30.0,8.0,11.0,7.0,7.0,18.0,30.0,2.0,1.0,1.0,38.0,62.0,1.0,18.0,94.0,343.0,9.0,13.0,18.0,10.0,11.0,1.0,6.0,26.0,42.0,34.0,8.0,1.0,3.0,10.0,6.0,16.0,4.0,2.0,7.0,2.0,1.0,38.0,4.0,9.0,1.0,13.0,26.0,5.0,44.0,14.0,58.0,2.0,6.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,11.0,15.0,20.0,5.0,31.0,3.0,15.0,2.0,8.0,4.0,1.0,3.0,8.0,5.0,1.0,26.0,53.0,2.0,0.5526315789473685,0.6176470588235294,0.6129032258064516,0.6923076923076923,0.9090909090909091,0.6031746031746031,0.6923076923076923,0.8333333333333334,0.6103896103896104,0.6923076923076923,0.7647058823529411,0.015873015873015872,0.04838709677419355,0.06666666666666667,0.03333333333333333,21.50537634408602,0.6666666666666666,0.38461538461538464,0.05555555555555555,0.23636363636363636,0.07964601769911504,0.28888888888888886,0.08695652173913043,0.25161290322580643,0.08176100628930817,0.05405405405405406,0.06521739130434782,0.13333333333333333,0.09090909090909091,0.07692307692307693,0.375,0.17857142857142858,0.18,0.25,0.38461538461538464,0.09090909090909091,0.625,0.47619047619047616,0.6666666666666666,0.7142857142857143,0.65,0.47619047619047616,0.6,0.6206896551724138,0.4444444444444444,0.031746031746031744,0.015873015873015872,0.8461538461538461,0.7272727272727273,0.375,0.5833333333333334,1.0,0.08333333333333333,0.49206349206349204,0.45825634920634917,0.51805,0.47060416666666666,0.2,0.20270270270270271,0.19148936170212766,0.2765957446808511,5.40483870967742,27.6,0.17337461300309598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,2792.0,47.0,-8,89,95,34.0,40.0,12.0,184,2.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,5.0,,2.0,5.0,7.0,11.0,21.0,106.0,1.0,1.0,6.0,1.0,1.0,,7.0,9.0,,4.0,,5.0,1.0,8.0,6.0,14.0,4.0,2.0,5.0,3.0,,34.0,,2.0,,1.0,4.0,,5.0,2.0,7.0,,2.0,1.0,1.0,3.0,,3.0,2.0,,5.0,3.0,2.0,7.0,14.0,,16.0,1.0,5.0,2.0,1.0,1.0,,,1.0,1.0,,9.0,32.0,2.0,,,0.4,1.0,1.0,0.4166666666666667,0.625,1.0,0.5526315789473685,0.6,0.9,0.5833333333333334,0.2,,,23.762376237623762,0.6,,,0.16666666666666666,0.07407407407407407,0.07692307692307693,,0.13513513513513514,0.046511627906976744,,0.0625,0.25,,,,,0.26666666666666666,,0.3333333333333333,,1.0,0.16666666666666666,1.0,1.0,,0.16666666666666666,,,,0.08333333333333333,0.4166666666666667,0.25,1.0,,1.0,1.0,,0.75,0.5136791666666667,0.5410333333333334,0.6037,0.35294117647058826,0.5555555555555556,0.2857142857142857,0.42857142857142855,6.4799999999999995,24.74285714285714,0.38202247191011235,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,1.0,0.16666666666666666,0.4,0.4,1.0,0.75,0.3333333333333333,1.0,0.4,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201158,1610612759,Marco Belinelli,Marco Belinelli,201158,SAS,2235.0,37.0,17,71,73,5.0,8.0,4.0,144,1.0,1.0,,,,,,,2.0,11.0,2.0,2.0,3.0,12.0,2.0,30.0,73.0,,,,,,2.0,,3.0,4.0,,,11.0,,2.0,3.0,5.0,2.0,1.0,2.0,,,13.0,2.0,,,2.0,2.0,,4.0,2.0,6.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,5.0,2.0,,3.0,,,,,,,,,,,3.0,5.0,,1.0,1.0,0.6666666666666666,,,0.9333333333333333,,0.75,0.9375,,0.75,0.8,,,,22.666666666666668,,,,0.07692307692307693,,0.25,0.13333333333333333,0.11764705882352941,0.07142857142857142,,,,0.14285714285714285,,,,0.2,0.3333333333333333,,0.25,,0.06666666666666667,1.0,1.0,1.0,,,,,0.13333333333333333,0.7333333333333333,,,,,,1.0,0.8666666666666667,0.49737333333333333,,0.327675,0.0625,,,0.1,11.966666666666667,25.708333333333332,0.07042253521126761,1.0,7.0,,,8.0,,,,21.0,7.0,,1.0,,1.0,1.0,0.875,0.6666666666666666,,0.6666666666666666,,0.06666666666666667,0.6363636363636364,0.6363636363636364,0.8571428571428571,,,,0.6363636363636364,0.07692307692307693,1.0,1.0,1.0,1.0,3.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201168,1610612759,Tiago Splitter,Tiago Splitter,201168,SAS,5122.0,85.0,-7,161,163,7.0,10.0,22.0,324,7.0,14.0,2.0,4.0,,,,4.0,,,,7.0,18.0,,3.0,17.0,171.0,2.0,5.0,4.0,,,,,,10.0,4.0,2.0,,6.0,4.0,2.0,6.0,1.0,1.0,3.0,1.0,,14.0,1.0,8.0,,3.0,7.0,,10.0,9.0,19.0,,4.0,4.0,,1.0,,,2.0,1.0,3.0,,9.0,13.0,13.0,,11.0,1.0,6.0,,1.0,1.0,,,1.0,,,,7.0,,0.7142857142857143,0.8333333333333334,0.3888888888888889,0.4,,0.3888888888888889,0.4,,0.3695652173913043,0.3333333333333333,,,0.3333333333333333,0.2857142857142857,0.5,13.90374331550802,0.3333333333333333,,,0.14,0.11940298507462686,0.13043478260869565,0.045454545454545456,0.136986301369863,0.10112359550561797,0.2222222222222222,0.1111111111111111,0.045454545454545456,0.0625,,0.07692307692307693,,0.21428571428571427,0.16666666666666666,,,,0.7777777777777778,0.5,0.7,0.7142857142857143,0.2222222222222222,,,,,,0.8,0.5,0.5,,,,0.7777777777777778,0.5316944444444444,0.5491,,0.2608695652173913,0.2608695652173913,0.23529411764705882,,2.6944444444444446,,0.043478260869565216,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,12211.0,204.0,26,390,392,76.0,77.0,49.0,782,5.0,11.0,1.0,3.0,,5.0,,4.0,6.0,25.0,4.0,9.0,21.0,40.0,4.0,58.0,418.0,1.0,4.0,8.0,,6.0,6.0,1.0,1.0,16.0,2.0,,25.0,4.0,11.0,4.0,15.0,2.0,2.0,6.0,3.0,2.0,34.0,1.0,5.0,1.0,6.0,8.0,1.0,15.0,7.0,22.0,,7.0,5.0,2.0,2.0,2.0,,3.0,2.0,5.0,,3.0,12.0,5.0,,6.0,1.0,2.0,1.0,5.0,3.0,,2.0,7.0,6.0,,,72.0,,0.8888888888888888,0.8888888888888888,0.42857142857142855,0.25,,0.4426229508196721,0.4,,0.4523809523809524,0.4,0.038461538461538464,0.6557377049180327,0.19047619047619047,0.2727272727272727,0.25,15.178571428571427,0.4,0.06666666666666667,0.038461538461538464,0.06299212598425197,0.03759398496240601,0.10714285714285714,0.016666666666666666,0.07650273224043716,0.031088082901554404,0.05,0.03389830508474576,0.029411764705882353,0.021739130434782608,,0.027777777777777776,0.16129032258064516,0.03333333333333333,0.10256410256410256,0.11764705882352941,,0.8571428571428571,0.18032786885245902,0.45454545454545453,0.625,0.8,0.06557377049180328,,,,0.09836065573770492,0.4098360655737705,0.3,0.3333333333333333,,0.4166666666666667,,0.3333333333333333,0.8360655737704918,0.5236377049180327,0.5317,0.5554374999999999,0.03225806451612903,0.09090909090909091,0.13793103448275862,0.017241379310344827,7.909523809523811,24.7225,0.19487179487179487,15.0,5.0,,3.0,12.0,2.0,6.0,,36.0,5.0,1.0,,,,2.0,1.0,0.3,0.3333333333333333,0.3,,0.2459016393442623,0.2,0.2,1.0,0.3,,,0.2,,4.0,7.0,,,,,0.6666666666666666,0.6666666666666666,1.0,0.4666666666666667,0.4666666666666667,1.0,,,,,2.0,3.0,2.0,1.0,2.0,2.0,0.3,0.6666666666666666,1.0,0.16666666666666666,,,,,,,,,,True,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,495.0,8.0,7,17,17,6.0,11.0,3.0,34,,,,,,,,,,3.0,,,,3.0,,3.0,16.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,1.0,5.0,,,,,,,1.0,1.0,,,1.0,1.0,,,6.0,,,,,,,0.5,,,0.5,,,1.0,,,,15.0,,0.3333333333333333,,0.25,,,,0.16666666666666666,,,,,,,0.5,,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,0.6057,,,,,,,,25.3,0.35294117647058826,,1.0,,,1.0,,,,3.0,1.0,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,2580.0,43.0,21,87,93,32.0,35.0,8.0,180,1.0,2.0,,,1.0,1.0,,2.0,4.0,6.0,2.0,3.0,8.0,10.0,6.0,30.0,93.0,,,3.0,1.0,2.0,3.0,4.0,12.0,2.0,4.0,,6.0,,,2.0,2.0,1.0,1.0,,,,6.0,,1.0,,2.0,4.0,,6.0,1.0,7.0,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,3.0,,6.0,,1.0,2.0,,,,,,,,8.0,30.0,,0.3333333333333333,0.3333333333333333,0.375,,0.5,0.6666666666666666,1.5,0.8,0.7142857142857143,1.5,0.8571428571428571,0.5555555555555556,,,,23.157894736842106,1.0,,,0.16,0.047619047619047616,0.16666666666666666,,0.16216216216216217,0.027777777777777776,,0.08333333333333333,,,,0.5,,0.15384615384615385,0.2222222222222222,,0.1111111111111111,,0.1111111111111111,0.5,0.5,1.0,0.1111111111111111,,,,0.2222222222222222,0.3333333333333333,,,,0.2,1.0,0.4,0.6666666666666666,0.4944794117647058,,0.5092375,0.05263157894736842,0.1111111111111111,0.1,0.4,11.362499999999999,25.11,0.367816091954023,4.0,2.0,,,6.0,1.0,1.0,,18.0,2.0,,,,,,1.0,0.6,1.0,0.6,,0.2222222222222222,0.3333333333333333,0.3333333333333333,1.0,,,,0.3333333333333333,,2.0,4.0,1.0,2.0,,0.6666666666666666,0.5,0.5,,1.0,1.0,1.0,0.5,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,0.2,1.0,1.0,1.0,,,,,,,True,,,,,,,
202695,1610612759,Kawhi Leonard,Kawhi Leonard,202695,SAS,8757.0,146.0,10,283,282,55.0,60.0,38.0,565,9.0,14.0,2.0,3.0,2.0,3.0,8.0,21.0,15.0,9.0,2.0,24.0,50.0,13.0,13.0,79.0,307.0,4.0,6.0,10.0,2.0,8.0,3.0,5.0,9.0,20.0,28.0,6.0,9.0,3.0,5.0,2.0,7.0,1.0,1.0,3.0,1.0,1.0,16.0,2.0,6.0,1.0,8.0,10.0,4.0,22.0,9.0,31.0,3.0,5.0,3.0,2.0,3.0,,,1.0,3.0,4.0,,9.0,13.0,10.0,,15.0,1.0,7.0,1.0,2.0,1.0,,1.0,2.0,2.0,,7.0,51.0,,0.4166666666666667,0.47619047619047616,0.48,0.6666666666666666,0.25,0.5238095238095238,0.5714285714285714,0.18181818181818182,0.5642857142857143,0.625,0.32142857142857145,0.20634920634920634,0.06,,0.09523809523809523,22.424242424242426,0.75,0.4444444444444444,0.047619047619047616,0.11235955056179775,0.05825242718446602,0.1951219512195122,0.04878048780487805,0.13846153846153847,0.05555555555555555,0.029411764705882353,0.046511627906976744,0.11538461538461539,0.03571428571428571,0.07692307692307693,0.11538461538461539,0.15,0.09302325581395349,0.2,0.1875,0.10344827586206896,1.0,0.2222222222222222,0.6428571428571429,0.6428571428571429,0.4444444444444444,0.3333333333333333,0.38095238095238093,0.42105263157894735,0.5,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.6666666666666666,,0.2727272727272727,0.6666666666666666,0.18181818181818182,0.42857142857142855,0.47865317460317464,0.47425,0.4597818181818182,0.10144927536231885,0.125,0.12658227848101267,0.11392405063291139,9.814,24.792307692307695,0.19434628975265017,4.0,4.0,,1.0,6.0,,1.0,2.0,18.0,4.0,,,,,1.0,1.0,0.46153846153846156,,0.46153846153846156,0.06666666666666667,0.06349206349206349,0.4444444444444444,0.5,1.0,0.14285714285714285,,,0.4444444444444444,,7.0,2.0,,,,,0.4666666666666667,0.5,0.2857142857142857,0.5,0.5,1.0,,,1.0,,,,1.0,,,,,,,0.09090909090909091,,,,1.0,2.0,0.07692307692307693,0.1111111111111111,,,True,,,,,,,
2564,1610612759,Boris Diaw,Boris Diaw,2564,SAS,6465.0,108.0,19,204,200,53.0,41.0,27.0,404,7.0,10.0,1.0,2.0,1.0,4.0,8.0,15.0,5.0,8.0,1.0,19.0,30.0,8.0,3.0,44.0,221.0,2.0,6.0,4.0,5.0,10.0,1.0,,10.0,24.0,14.0,2.0,8.0,1.0,10.0,5.0,15.0,2.0,3.0,6.0,3.0,1.0,35.0,1.0,3.0,1.0,5.0,11.0,2.0,18.0,5.0,23.0,1.0,4.0,4.0,,2.0,,2.0,,,2.0,2.0,1.0,9.0,5.0,1.0,5.0,1.0,3.0,,,,,,,,,10.0,50.0,,0.631578947368421,0.6666666666666666,0.6333333333333333,0.3333333333333333,0.5,0.5394736842105263,0.3333333333333333,0.45454545454545453,0.55,0.3333333333333333,0.45454545454545453,0.21052631578947367,0.03333333333333333,0.1,,17.796610169491526,1.0,0.5,0.09090909090909091,0.16417910447761194,0.046153846153846156,0.15151515151515152,0.027777777777777776,0.16,0.039603960396039604,0.05555555555555555,0.06060606060606061,,,0.16666666666666666,0.13636363636363635,0.05,0.28,0.18181818181818182,0.09090909090909091,0.058823529411764705,,0.2631578947368421,0.7,0.7777777777777778,0.8571428571428571,0.39473684210526316,0.5333333333333333,0.5333333333333333,0.5,0.13157894736842105,0.21052631578947367,0.3333333333333333,0.5,,0.36363636363636365,0.25,0.09090909090909091,0.47368421052631576,0.45324868421052633,0.394675,0.4583818181818182,0.075,0.09375,0.09090909090909091,0.22727272727272727,7.1,25.0125,0.25980392156862747,,1.0,,,1.0,,,,3.0,1.0,,,,,1.0,1.0,0.125,,0.125,,,0.125,0.125,1.0,,,,0.125,,4.0,,,,,,0.8,0.8,0.5,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,9281.0,155.0,15,291,288,37.0,41.0,39.0,579,11.0,19.0,2.0,4.0,1.0,3.0,12.0,26.0,23.0,2.0,1.0,29.0,68.0,4.0,6.0,64.0,310.0,2.0,6.0,4.0,4.0,8.0,2.0,2.0,10.0,10.0,48.0,2.0,2.0,6.0,15.0,5.0,20.0,4.0,1.0,6.0,5.0,4.0,45.0,1.0,2.0,1.0,2.0,14.0,,16.0,4.0,20.0,1.0,2.0,1.0,1.0,8.0,1.0,4.0,1.0,4.0,9.0,2.0,1.0,7.0,11.0,,13.0,1.0,6.0,1.0,,,,,,,,10.0,35.0,1.0,0.1724137931034483,0.17857142857142858,0.4264705882352941,0.3333333333333333,0.5,0.4027777777777778,0.2857142857142857,0.4,0.41025641025641024,0.2857142857142857,0.4166666666666667,0.05555555555555555,0.08823529411764706,0.2631578947368421,0.038461538461538464,25.66371681415929,0.8888888888888888,,0.05263157894736842,0.13861386138613863,0.01818181818181818,0.04878048780487805,0.024390243902439025,0.11267605633802817,0.019867549668874173,0.02857142857142857,0.021739130434782608,,,0.07692307692307693,0.125,0.043478260869565216,0.1956521739130435,0.07142857142857142,,0.027777777777777776,,0.2638888888888889,0.5789473684210527,0.7857142857142857,0.2727272727272727,0.3611111111111111,0.46153846153846156,0.48,0.16666666666666666,0.3194444444444444,0.027777777777777776,0.5714285714285714,0.5,,0.3,0.3333333333333333,0.1,0.3194444444444444,0.4632951388888889,0.4808833333333334,0.476595,0.07792207792207792,0.0821917808219178,0.0625,0.15625,9.875,25.424999999999997,0.12714776632302405,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,0.027777777777777776,,,,,,,,,6.0,,,,,,0.2608695652173913,0.2608695652173913,,,,,,,,1.0,,1.0,1.0,,,,0.14285714285714285,,,0.1,,1.0,,,,,,1.0,,True,,,,,,,
