EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGA,Fg2aBlocked,LongMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,ThreePtAssists,Arc3Assists,OffThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,PtsUnassisted2s,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,TwoPtShootingFoulsDrawnPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyFG2M,LostBallTurnovers,PenaltyFg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,DeadBallTurnovers,Fouls,Offensive Fouls,3SecondViolations,on,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Corner3Assists,AtRimAssists,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,ShootingFouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFtPoints,HeaveAttempts,Fg3aBlocked,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PtsUnassisted3s,Technical Free Throw Trips,StepOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Blocked3s,BlockedArc3,PenaltyCorner3FGM,BlockingFouls,3pt And 1 Free Throw Trips,PenaltyCorner3Accuracy,Clear Path Fouls,OffensiveGoaltends,BlockedCorner3
201158,1610612759,Marco Belinelli,Marco Belinelli,201158,SAS,720.0,12.0,5.0,24,23,12.0,2.0,1.0,47,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,11.0,23.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,6.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,12.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,0.5,0.5,0.6666666666666666,1.5,0.375,0.7857142857142857,1.5,0.6,0.6666666666666666,28.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.6666666666666666,1.0,0.48918333333333336,0.492525,0.14285714285714285,0.2,0.2727272727272727,0.5454545454545454,19.0,24.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201965,1610612759,Jeff Ayres,Jeff Ayres,201965,SAS,720.0,12.0,5.0,24,23,12.0,2.0,1.0,47,,,,,,,,,,,,1.0,,,,,23.0,,,,,,,,,,,,,2.0,2.0,,4.0,,,,,12.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,1.0,,0.8591,,,,,,0.1,,0.5,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,0.25,0.25,0.25,0.16666666666666666,1.0,0.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,16.0,,3.0,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,212.0,4.0,5.0,7,6,6.0,,1.0,13,,1.0,,,,,,,,,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,1.0,,3.0,,,,,6.0,,,,,,,,,,,,,,,,25.0,1.0,,,,,,,,,,,,,,,,,0.3092,0.3092,,,,,15.3,,0.8571428571428571,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202695,1610612759,Kawhi Leonard,Kawhi Leonard,202695,SAS,36.0,1.0,3.0,1,2,,,,3,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,1.5,,,,100.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.4346,,1.0,,,,19.3,,,,,,1.0,,1.0,1.0,,,,0.5,0.5,,,0.5,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202709,1610612759,Cory Joseph,Cory Joseph,202709,SAS,704.0,12.0,2.0,23,22,12.0,2.0,1.0,45,2.0,2.0,,,,,,,,,5.0,5.0,,,,10.0,23.0,,,,2.0,,,,4.0,2.0,,,,,,,,,,,4.0,12.0,0.2,0.2,,,,,,1.0,1.0,,1.0,1.0,,1.0,,25.0,0.4,1.0,1.0,,,,,,,,,,,,,0.4,,0.5037,0.665,,,,0.4,9.260000000000002,,0.5217391304347826,2.0,,,1.0,,1.0,1.0,,,,0.3333333333333333,0.09090909090909091,,,0.3333333333333333,0.4,,,,,1.0,,1.0,1.0,1.0,,,,8.0,,,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2588,1610612759,Matt Bonner,Matt Bonner,2588,SAS,704.0,12.0,2.0,23,22,12.0,2.0,1.0,45,,,,,,2.0,,,,1.0,,,,2.0,,,23.0,,,,,,1.0,,,,,2.0,,,1.0,,3.0,,,,,12.0,,,,,,,,,,,,,,,1.0,12.5,,,,,,1.0,,,,,,,,1.0,,1.0,,0.5749500000000001,0.5331,,,,,,24.6,0.5217391304347826,,,,,1.0,1.0,1.0,,,0.125,,0.09090909090909091,0.16666666666666666,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203382,1610612759,Aron Baynes,Aron Baynes,203382,SAS,488.0,8.0,,17,16,6.0,2.0,,33,1.0,2.0,,,,,,,,,1.0,2.0,,,2.0,4.0,20.0,,,,,,,,,2.0,,,,,,,,1.0,2.0,,,6.0,1.0,1.0,,,,,,0.5,0.5,,,0.6666666666666666,,,,23.52941176470588,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,0.38645,,0.3333333333333333,,,,16.7,,0.35294117647058826,,,,,3.0,3.0,3.0,,,0.42857142857142855,,0.375,0.6,,,,,,,,,,1.0,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,1.0,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,15008.0,250.0,17.0,483,481,111.0,115.0,56.0,964,1.0,4.0,,,,1.0,,,,1.0,53.0,89.0,,1.0,19.0,125.0,522.0,,,22.0,24.0,,1.0,6.0,42.0,62.0,,1.0,,14.0,23.0,2.0,55.0,23.0,34.0,,42.0,108.0,0.5849056603773585,0.6458333333333334,,,,,,0.5955056179775281,0.5888888888888889,0.6875,0.72,0.5952380952380952,0.6875,0.7,0.011111111111111112,20.326678765880217,0.044444444444444446,0.25,0.25,1.0,,0.011111111111111112,,,,,,,,0.04,,0.45555555555555555,,0.4582061111111111,0.451682,0.1650485436893204,,0.176,0.336,5.662921348314606,27.6,0.22981366459627328,40.0,9.0,2.0,15.0,37.0,59.0,78.0,0.10112359550561797,0.075,0.23717948717948717,0.22727272727272727,0.23423423423423423,0.21428571428571427,0.19402985074626866,0.20833333333333334,0.4444444444444444,9.0,7.0,8.0,19.0,4.0,3.0,7.0,2.0,0.5714285714285714,0.1038961038961039,0.07758620689655173,0.12280701754385964,44.0,4.0,17.0,0.16666666666666666,27.0,10.0,11.0,25.0,45.0,18.0,1.0,0.75,0.675,0.7297297297297297,0.5,0.5555555555555556,0.6410256410256411,0.48,0.44,0.9090909090909091,3.0,26.0,1.0,1.0,False,9.0,13.0,11.0,16.0,10.0,2.0,10.0,10.0,1.0,7.0,2.0,9.0,6.0,3.0,1.0,17.0,5.0,1.0,2.0,10.0,5.0,1.0,4.0,10.0,6.0,2.0,3.0,2.0,0.6875,0.13333333333333333,0.22580645161290322,0.047619047619047616,0.06451612903225806,0.0425531914893617,0.047619047619047616,0.1111111111111111,0.05,0.3191489361702128,0.2777777777777778,0.07142857142857142,0.6,0.6666666666666666,0.8125,0.6923076923076923,0.3333333333333333,0.5076666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,7870.0,131.0,-15.0,256,264,87.0,104.0,34.0,520,,2.0,6.0,,5.0,16.0,2.0,4.0,,4.0,7.0,21.0,8.0,22.0,18.0,56.0,301.0,3.0,5.0,12.0,6.0,,4.0,11.0,15.0,4.0,24.0,14.0,5.0,17.0,32.0,6.0,79.0,30.0,23.0,1.0,15.0,85.0,0.2857142857142857,0.2857142857142857,1.0,0.36363636363636365,0.6,,0.4,0.3333333333333333,0.4418604651162791,0.6111111111111112,0.2,0.5283018867924528,0.6,0.46875,0.5116279069767442,22.789115646258505,0.046511627906976744,,,,0.13953488372093023,0.37209302325581395,0.3125,0.3333333333333333,1.0,0.4444444444444444,0.5,1.0,,0.4,,0.7906976744186046,0.35714285714285715,0.509609756097561,0.48167499999999996,0.16326530612244897,0.043478260869565216,0.21428571428571427,0.26785714285714285,4.9190476190476184,26.981818181818184,0.33984375,12.0,3.0,2.0,5.0,13.0,20.0,24.0,0.14285714285714285,0.08333333333333333,0.18571428571428572,0.13513513513513514,0.16822429906542055,0.1,0.22580645161290322,0.13333333333333333,0.27906976744186046,15.0,12.0,1.0,4.0,10.0,7.0,14.0,3.0,0.7142857142857143,0.022727272727272728,0.032520325203252036,,10.0,2.0,7.0,0.2692307692307692,7.0,2.0,5.0,,7.0,2.0,3.0,0.3333333333333333,0.5833333333333334,0.6363636363636364,0.16279069767441862,,,,0.5,0.4,4.0,19.0,,,False,1.0,2.0,1.0,4.0,,3.0,9.0,3.0,,2.0,1.0,4.0,2.0,2.0,2.0,3.0,,1.0,4.0,6.0,4.0,,2.0,6.0,3.0,,2.0,4.0,0.25,0.14285714285714285,0.1,,0.0379746835443038,,0.058823529411764705,0.058823529411764705,0.09090909090909091,0.21052631578947367,0.14285714285714285,0.05,0.5,0.2857142857142857,0.2222222222222222,0.5,,0.56223,3.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,0.045454545454545456,0.5,0.0625,0.5,0.5,1.0,0.1111111111111111,1.0,1.0,,,,,,,,,,,,,,
