EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,FG3M,FtPoints,PtsAssisted3s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,BlockingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGM,Fg3aBlocked,Corner3Assists,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APctBlocked,AtRimPctBlocked,Corner3PctBlocked,BlocksRecoveredPct,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,SecondChanceFtPoints,OffThreePtRebounds,Charge Fouls,BlockedShortMidRange,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,LongMidRangePctBlocked,on,HeaveAttempts
101123,1610612748,Gerald Green,Gerald Green,101123,MIA,1483.0,25,11,46,45,6,12.0,8.0,91,1.0,4.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,9.0,3.0,6.0,35,1.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,5.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.25,0.3333333333333333,0.25,0.3333333333333333,0.25,20.33898305084746,0.2,0.05263157894736842,0.25,0.21739130434782608,0.04,0.2,0.3333333333333333,0.2857142857142857,0.4,0.1111111111111111,0.3333333333333333,0.25,0.25,1.0,0.16666666666666666,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.6666666666666666,0.5,1.0,0.3333333333333333,0.5833333333333334,0.49727083333333333,0.5763666666666666,0.3333333333333333,8.855555555555556,24.46666666666667,0.13043478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1626159,1610612748,Justise Winslow,Justise Winslow,1626159,MIA,5072.0,85,-16,151,155,28,46.0,20.0,306,5.0,6.0,1.0,2.0,1.0,4.0,,2.0,3.0,1.0,,6.0,12.0,4.0,18.0,179,1.0,2.0,,2.0,6.0,6.0,1.0,4.0,2.0,7.0,10.0,4.0,14.0,,1.0,1.0,,4.0,8.0,3.0,,27,0.5,0.6,0.5,0.5,0.46875,0.5,0.5,0.5,0.25,12.209302325581396,0.15217391304347827,0.07142857142857142,0.07692307692307693,0.125,0.057971014492753624,0.18181818181818182,0.06666666666666667,0.2857142857142857,0.043478260869565216,,0.375,0.8333333333333334,0.8333333333333334,0.4,0.25,0.25,0.3333333333333333,0.125,,,0.1875,0.0625,1.0,0.5,,,0.625,0.5049375,0.47424999999999995,0.1111111111111111,6.2749999999999995,23.9,0.18543046357615894,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,0.25,0.25,0.08333333333333333,0.25,0.6666666666666666,0.3333333333333333,0.047619047619047616,0.041666666666666664,0.11764705882352941,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
201609,1610612748,Goran Dragic,Goran Dragic,201609,MIA,12429.0,207,28,386,385,33,47.0,38.0,771,14.0,23.0,1.0,1.0,8.0,22.0,9.0,15.0,3.0,14.0,1.0,31.0,60.0,17.0,105.0,377,2.0,3.0,1.0,4.0,16.0,46.0,14.0,1.0,9.0,20.0,30.0,1.0,31.0,,1.0,,1.0,12.0,21.0,18.0,,33,0.25806451612903225,0.25806451612903225,0.5166666666666667,0.6666666666666666,0.577922077922078,0.5,0.5977011494252874,0.5,0.22077922077922077,23.83177570093458,0.12345679012345678,0.007042253521126761,0.16363636363636364,0.1336405529953917,0.005714285714285714,,0.09615384615384616,0.1864406779661017,0.17777777777777778,,0.2987012987012987,0.6086956521739131,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.36363636363636365,0.38095238095238093,0.19480519480519481,0.6,0.6,0.03896103896103896,0.18181818181818182,0.25,1.0,,0.25,0.5194805194805194,0.49771168831168827,0.39325,0.0380952380952381,7.968333333333333,24.84705882352941,0.08549222797927461,2.0,9.0,16.0,9.0,,3.0,18.0,9.0,27.0,4.0,10.0,4.0,63.0,1.0,8.0,4.0,7.0,4.0,2.0,15.0,2.0,1.0,,23.0,10.0,,0.3333333333333333,0.5294117647058824,0.5294117647058824,0.05,0.045454545454545456,0.5333333333333333,0.16666666666666666,0.01639344262295082,,0.0784313725490196,0.1,0.125,0.6666666666666666,1.0,1.0,0.12790697674418605,0.14492753623188406,1.0,1.0,7.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,12.0,18.0,7.0,1.0,5.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,12.0,1.0,0.75,0.9,0.9166666666666666,0.058823529411764705,0.08695652173913043,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.14285714285714285,0.2,1.0,0.2,1.0,0.5,0.4632899999999999,0.058823529411764705,0.11428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
202355,1610612748,Hassan Whiteside,Hassan Whiteside,202355,MIA,17475.0,291,45,539,542,72,85.0,59.0,1081,36.0,46.0,10.0,14.0,11.0,21.0,,2.0,,,,47.0,69.0,,120.0,542,12.0,16.0,,36.0,62.0,32.0,,23.0,30.0,47.0,83.0,26.0,109.0,,8.0,8.0,,16.0,34.0,34.0,1.0,70,0.6595744680851063,0.8611111111111112,0.6811594202898551,0.75,0.6811594202898551,0.75,0.6818181818181818,0.75,,16.721854304635762,0.21962616822429906,0.12169312169312169,0.37037037037037035,0.26101694915254237,0.1092436974789916,0.10416666666666667,0.1791044776119403,0.19480519480519481,0.35294117647058826,,0.6666666666666666,0.782608695652174,0.8372093023255814,0.6111111111111112,0.30434782608695654,0.5238095238095238,0.5789473684210527,0.028985507246376812,,,,,0.875,0.7142857142857143,,,0.6666666666666666,0.5776,0.6209066666666667,0.3,3.8884057971014494,,0.13358070500927643,,,26.0,,22.0,5.0,3.0,,3.0,,3.0,,6.0,6.0,4.0,1.0,9.0,3.0,1.0,13.0,,7.0,4.0,44.0,22.0,2.0,,,,0.07246376811594203,0.09523809523809523,0.3076923076923077,0.5454545454545454,0.1891891891891892,0.05970149253731343,0.2857142857142857,0.46153846153846156,0.8181818181818182,,,,0.25882352941176473,0.25882352941176473,2.0,2.0,,,,2.0,3.0,,,7.0,11.0,,,,,,1.0,,1.0,2.0,4.0,,1.0,6.0,,,,3.0,28.0,14.0,3.0,28.0,19.0,10.0,,0.6666666666666666,0.6666666666666666,0.6111111111111112,,0.06521739130434782,,0.6785714285714286,,,,,0.6666666666666666,1.0,,,,0.5884666666666667,,0.09166666666666666,12.0,3.0,1.0,11.0,3.0,1.0,2.0,0.061224489795918366,0.02857142857142857,0.14285714285714285,,,,,,,,,,,,,,,,,,,True,
2207,1610612748,Joe Johnson,Joe Johnson,2207,MIA,14150.0,236,64,441,440,56,69.0,45.0,881,4.0,9.0,2.0,2.0,13.0,25.0,4.0,15.0,3.0,13.0,1.0,21.0,49.0,16.0,70.0,429,2.0,4.0,1.0,7.0,4.0,38.0,13.0,2.0,7.0,19.0,26.0,3.0,29.0,2.0,4.0,1.0,3.0,4.0,11.0,12.0,,54,0.09523809523809523,0.1,0.42857142857142855,0.5,0.5076923076923077,0.7,0.5147058823529411,0.7,0.24615384615384617,15.195071868583161,0.1043956043956044,0.013071895424836602,0.10294117647058823,0.104,0.015789473684210527,,0.06779661016949153,0.09375,0.125,0.05714285714285714,0.13846153846153847,0.4444444444444444,0.4444444444444444,0.25,0.38461538461538464,0.52,0.5416666666666666,0.23076923076923078,0.26666666666666666,0.26666666666666666,0.046153846153846156,0.2,0.4,1.0,,0.2,0.38461538461538464,0.42657109374999996,0.39093750000000005,0.1,10.053061224489797,26.28125,0.12698412698412698,1.0,8.0,4.0,18.0,2.0,1.0,12.0,5.0,17.0,,8.0,1.0,39.0,,5.0,4.0,1.0,1.0,,6.0,,1.0,1.0,7.0,1.0,1.0,0.75,0.5,0.5,0.02040816326530612,0.04,0.8333333333333334,,0.03076923076923077,,0.15254237288135594,,0.07692307692307693,0.3333333333333333,0.3333333333333333,1.0,0.015384615384615385,0.02040816326530612,,1.0,7.0,1.0,2.0,1.0,5.0,1.0,2.0,3.0,8.0,6.0,7.0,,5.0,3.0,,1.0,,1.0,,,,1.0,,,,3.0,1.0,1.0,,1.0,1.0,7.0,0.5,0.2,0.35714285714285715,0.4,,,,1.0,,0.5384615384615384,0.5384615384615384,0.7142857142857143,0.14285714285714285,,0.2857142857142857,0.5,0.5384615384615384,0.46587142857142855,,0.11428571428571428,,1.0,,,,,2.0,0.02702702702702703,0.034482758620689655,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,True,
1626196,1610612748,Josh Richardson,Josh Richardson,1626196,MIA,7202.0,120,24,217,217,44,50.0,25.0,434,2.0,6.0,,,1.0,4.0,3.0,7.0,7.0,8.0,1.0,6.0,17.0,15.0,28.0,222,1.0,1.0,2.0,8.0,6.0,6.0,8.0,1.0,4.0,3.0,7.0,4.0,11.0,1.0,,,,1.0,4.0,3.0,1.0,43,0.5,0.5,0.35294117647058826,1.0,0.421875,1.3333333333333333,0.42424242424242425,1.3333333333333333,0.46875,15.853658536585366,0.041666666666666664,0.014705882352941176,0.11764705882352941,0.0660377358490566,0.04395604395604396,,0.05263157894736842,,0.06666666666666667,0.05,0.1875,0.3333333333333333,0.4,0.5,0.125,0.25,0.25,0.21875,0.42857142857142855,0.42857142857142855,0.21875,0.25,,,,0.3333333333333333,0.65625,0.4919828125,0.526525,0.2857142857142857,10.305882352941177,24.39333333333333,0.20276497695852536,3.0,5.0,1.0,15.0,,1.0,7.0,3.0,10.0,2.0,5.0,,23.0,,3.0,2.0,3.0,1.0,,6.0,,,,3.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.058823529411764705,,0.5,,,0.034482758620689655,0.07692307692307693,0.5,1.0,0.42857142857142855,0.42857142857142855,1.0,0.06060606060606061,0.1111111111111111,1.0,1.0,2.0,,1.0,2.0,4.0,,2.0,1.0,5.0,,2.0,,1.0,2.0,1.0,,,3.0,,,,1.0,,,,,4.0,1.0,1.0,4.0,4.0,5.0,,0.5,0.3333333333333333,0.35714285714285715,,0.16666666666666666,,1.0,0.3333333333333333,0.25,0.25,1.0,0.16666666666666666,1.0,0.16666666666666666,,0.25,0.44813333333333333,,0.17857142857142858,,3.0,1.0,2.0,,,,0.13043478260869565,0.0625,0.2857142857142857,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,,,,,,True,
2736,1610612748,Luol Deng,Luol Deng,2736,MIA,14699.0,245,42,454,461,61,61.0,49.0,915,7.0,15.0,1.0,2.0,10.0,13.0,5.0,16.0,17.0,17.0,2.0,22.0,44.0,34.0,112.0,460,4.0,6.0,3.0,14.0,26.0,18.0,17.0,7.0,6.0,25.0,32.0,9.0,41.0,,5.0,3.0,2.0,6.0,11.0,15.0,2.0,59,0.5909090909090909,0.6190476190476191,0.5,0.6666666666666666,0.6474358974358975,0.6111111111111112,0.6666666666666666,0.7,0.4358974358974359,19.094488188976378,0.13297872340425532,0.045454545454545456,0.09375,0.12301587301587301,0.04568527918781726,0.024390243902439025,0.14035087719298245,0.15492957746478872,0.11320754716981132,,0.19230769230769232,0.4666666666666667,0.5,0.8571428571428571,0.16666666666666666,0.7692307692307693,0.8333333333333334,0.20512820512820512,0.3125,0.3125,0.21794871794871795,0.21794871794871795,0.2222222222222222,0.5,1.0,0.2222222222222222,0.6282051282051282,0.5027326923076922,0.47122499999999995,0.125,9.80909090909091,24.30294117647059,0.1343612334801762,13.0,19.0,11.0,57.0,2.0,2.0,9.0,6.0,15.0,5.0,3.0,4.0,36.0,1.0,6.0,4.0,7.0,2.0,1.0,13.0,,3.0,2.0,14.0,6.0,1.0,1.0,0.5588235294117647,0.5588235294117647,0.045454545454545456,0.07692307692307693,0.46153846153846156,0.1111111111111111,0.05172413793103448,0.05454545454545454,0.1,,0.3,0.7647058823529411,0.7647058823529411,1.0,0.07317073170731707,0.125,1.0,3.0,6.0,,1.0,1.0,4.0,2.0,3.0,3.0,11.0,,6.0,,1.0,2.0,4.0,,2.0,3.0,,1.0,1.0,2.0,,,,2.0,2.0,2.0,,2.0,2.0,11.0,0.6666666666666666,0.25,0.5714285714285714,0.6111111111111112,,0.06666666666666667,,1.0,0.8,0.35294117647058826,0.35294117647058826,1.0,0.42857142857142855,0.3333333333333333,0.14285714285714285,,0.35294117647058826,0.4912785714285714,,0.09821428571428571,3.0,2.0,1.0,,,,2.0,0.046511627906976744,0.06666666666666667,,,1.0,0.3333333333333333,,,1.0,1.0,2.0,,0.1111111111111111,1.0,1.0,0.2857142857142857,2.0,1.0,,,,True,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,14576.0,243,36,452,455,54,55.0,49.0,907,18.0,26.0,1.0,2.0,20.0,48.0,13.0,41.0,,4.0,,51.0,115.0,4.0,128.0,453,5.0,8.0,,11.0,24.0,78.0,4.0,4.0,7.0,28.0,35.0,5.0,40.0,2.0,7.0,4.0,3.0,6.0,12.0,17.0,1.0,52,0.23529411764705882,0.23529411764705882,0.4434782608695652,0.625,0.46638655462184875,0.625,0.49230769230769234,0.6111111111111112,0.03361344537815126,30.357142857142858,0.14893617021276595,0.025157232704402517,0.1044776119402985,0.13725490196078433,0.025380710659898477,0.023809523809523808,0.16129032258064516,0.12307692307692308,0.1206896551724138,0.03333333333333333,0.2184873949579832,0.6923076923076923,0.72,0.3888888888888889,0.40336134453781514,0.4166666666666667,0.43478260869565216,0.3445378151260504,0.3170731707317073,0.325,,0.03361344537815126,0.25,0.5,1.0,,0.25210084033613445,0.43890840336134446,0.4101625,0.0859375,10.432173913043478,25.275000000000002,0.11946902654867257,,3.0,17.0,3.0,,4.0,22.0,11.0,33.0,3.0,14.0,,77.0,,18.0,10.0,5.0,8.0,1.0,23.0,,1.0,,23.0,11.0,,0.3333333333333333,0.75,0.75,0.034782608695652174,0.041666666666666664,0.782608695652174,,0.016129032258064516,0.03636363636363636,0.16393442622950818,,0.15,,,,0.08527131782945736,0.088,2.0,2.0,3.0,1.0,1.0,9.0,22.0,1.0,1.0,4.0,25.0,6.0,3.0,,8.0,8.0,3.0,,,1.0,1.0,,1.0,1.0,,,,1.0,4.0,2.0,,5.0,4.0,25.0,1.0,0.4090909090909091,0.45652173913043476,0.5,,0.038461538461538464,,0.8,0.15384615384615385,0.75,0.75,0.3333333333333333,0.08695652173913043,1.0,0.043478260869565216,1.0,0.75,0.4258543478260869,,0.1953125,1.0,1.0,,2.0,,,1.0,0.02631578947368421,,0.09090909090909091,,,,,,,,,,,,,,,,1.0,1.0,0.024390243902439025,True,
1627362,1610612748,Briante Weber,Briante Weber,1627362,MIA,78.0,1,-1,2,3,2,,,5,,,,,,,,1.0,,,,,1.0,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.4079,,,16.1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
2748,1610612748,Dorell Wright,Dorell Wright,2748,MIA,211.0,4,-8,7,7,4,,2.0,14,,,,,,,,1.0,,1.0,,,1.0,1.0,,11,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,4,,,,,,,,,0.5,20.0,,,,,,,,,,,,,,,,,,0.5,,,,0.5,,,,,0.5,0.46699999999999997,,,16.4,26.3,0.5714285714285714,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,True,
