EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,SecondChanceTsPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,OffRebounds,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG2M,PtsUnassisted2s,Fg2aBlocked,Corner3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,FG2APctBlocked,LongMidRangePctBlocked,DefAtRimReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,DeadBallTurnovers,Charge Fouls,BlockedAtRim,Steals,LostBallSteals,SecondChanceFG2A,SecondChanceShotQualityAvg,SecondChanceAtRimFGA,OffThreePtRebounds,Loose Ball Fouls Drawn,AtRimPctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SecondChanceAtRimFrequency,SecondChanceArc3FGA,SecondChanceFG3A,LostBallTurnovers,SecondChanceArc3Frequency,on,SecondChanceAtRimFGM,SecondChanceFG2M,FTDefRebounds,SelfOReb,BadPassSteals,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,DefFTReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,PtsPutbacks,HeaveAttempts,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,SecondChanceFg3Pct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,ShortMidRangeAssists,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,DefensiveGoaltends,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,PtsUnassisted3s,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Offensive Fouls,3pt And 1 Free Throw Trips,Technical Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,3SecondViolations
101123,1610612748,Gerald Green,Gerald Green,101123,MIA,912.0,15.0,9.0,31,31.0,17.0,20.0,1.0,62,1.0,1.0,4.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,5.0,11.0,24.0,2.0,1.0,2.0,3.0,2.0,9.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,17.0,1.0,1.0,1.0,0.6,0.5,0.6,0.2,0.55,0.375,0.55,0.375,0.5,34.375,1.0,0.16666666666666666,0.05,0.25,0.1,1.0,1.0,1.0,0.4,0.2,0.5,0.5,1.0,0.3,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,0.6,0.6666666666666666,0.49155000000000004,0.4664625,0.2727272727272727,14.180000000000001,24.360000000000003,0.5483870967741935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626159,1610612748,Justise Winslow,Justise Winslow,1626159,MIA,510.0,8.0,3.0,18,18.0,4.0,18.0,1.0,36,,,,,,,,,,,,,,1.0,15.0,,,,1.0,,,,,,2.0,2.0,,,,,1.0,4.0,,,,,,,,,,0.5,0.5,,5.2631578947368425,,,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,1.0,,,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626196,1610612748,Josh Richardson,Josh Richardson,1626196,MIA,567.0,9.0,4.0,18,18.0,18.0,7.0,1.0,36,,,1.0,,,,,,,,1.0,,,,14.0,1.0,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,5.2631578947368425,,,,,,,,,1.0,,,,,,,,,,,,,0.3631,0.3631,,19.9,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204020,1610612748,Tyler Johnson,Tyler Johnson,204020,MIA,510.0,8.0,3.0,18,18.0,4.0,18.0,1.0,36,1.0,1.0,2.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,5.0,15.0,,,,,2.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,,,4.0,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,0.625,,0.625,,0.25,21.05263157894737,,0.2,0.18181818181818182,,0.25,1.0,1.0,1.0,0.5,,,,,0.25,1.0,1.0,1.0,,,0.5,1.0,0.4401125,,,12.966666666666667,25.3,0.2222222222222222,,,,,1.0,2.0,1.0,5.0,1.0,,,,,,,0.16666666666666666,,0.25,,,,,,,,,1.0,1.0,1.0,1.0,0.2,0.125,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2748,1610612748,Dorell Wright,Dorell Wright,2748,MIA,1134.0,19.0,1.0,39,38.0,22.0,20.0,3.0,77,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,5.0,16.0,35.0,4.0,2.0,3.0,14.0,,6.0,4.0,1.0,1.0,6.0,6.0,,,,,14.0,22.0,,,1.0,0.4,0.6666666666666666,0.4,0.6,0.6,0.8571428571428571,0.6666666666666666,0.875,0.5,27.906976744186046,,0.125,0.2608695652173913,0.16666666666666666,0.1,1.0,1.0,,0.3,0.1,1.0,1.0,1.0,0.4,0.25,0.25,1.0,0.14285714285714285,1.0,0.6,0.25,0.48832000000000003,0.5023071428571428,0.875,13.580000000000002,25.46,0.5641025641025641,4.0,,,2.0,2.0,2.0,1.0,6.0,5.0,2.0,2.0,3.0,4.0,1.0,,0.3333333333333333,0.5,0.14285714285714285,0.09090909090909091,0.16666666666666666,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,0.75,0.2,0.3333333333333333,0.5,0.1,1.0,1.0,0.3333333333333333,0.5,0.14285714285714285,1.0,0.2857142857142857,0.5,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201177,1610612748,Josh McRoberts,Josh McRoberts,201177,MIA,758.0,13.0,11.0,27,26.0,13.0,15.0,,53,,,,,,,,,,,,,,,19.0,,,,,,,,,1.0,3.0,3.0,,,1.0,,,13.0,,,,,,,,,,,,,3.7037037037037033,,0.25,0.17647058823529413,0.5,,,,,,,,,,,,,,,,,,,,,,,0.48148148148148145,,,,,1.0,2.0,1.0,5.0,2.0,,1.0,,,,,0.15384615384615385,,0.3333333333333333,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627362,1610612748,Briante Weber,Briante Weber,1627362,MIA,283.0,5.0,9.0,10,10.0,10.0,2.0,,20,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,1610612748,Joe Johnson,Joe Johnson,2207,MIA,259.0,4.0,-6.0,8,7.0,8.0,,2.0,15,,,1.0,,,,,1.0,1.0,,2.0,1.0,1.0,3.0,11.0,2.0,1.0,1.0,3.0,,3.0,1.0,1.0,1.0,2.0,2.0,,,,,3.0,8.0,,,1.0,1.0,1.0,1.0,,0.5,0.5,0.5,0.5,0.3333333333333333,27.272727272727273,,1.0,0.6666666666666666,1.0,,,,,0.3333333333333333,,,,,0.3333333333333333,1.0,1.0,1.0,,,0.3333333333333333,1.0,0.42078333333333334,0.42078333333333334,1.0,10.0,25.8,1.0,,,,,,,,,1.0,,1.0,,,,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,0.3333333333333333,,,,,,,0.3333333333333333,1.0,,,,,,1.0,0.3839,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,1610612748,Amar'e Stoudemire,Amar'e Stoudemire,2405,MIA,11.0,,,1,,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,1610612748,Luol Deng,Luol Deng,2736,MIA,222.0,4.0,-8.0,8,7.0,5.0,,2.0,15,,2.0,,,1.0,,,,,,2.0,,1.0,,11.0,2.0,,,,,,,,,,2.0,,,,,,5.0,,,,,,,,,,,,0.3333333333333333,27.272727272727273,,,,,0.6666666666666666,,,,,0.3333333333333333,,,,,,,,,,1.0,,0.5108666666666667,0.49495,,2.35,23.4,0.625,,,,,1.0,1.0,1.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,0.25,0.2857142857142857,,,,2.0,,,,,,,,1.0,,,,,0.5,,,,,,,,1.0,,,,,,,,,1.0,0.549,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
