EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PtsUnassisted3s,DefTwoPtRebounds,DefRebounds,Rebounds,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Avg2ptShotDistance,PenaltyAtRimFGA,Corner3FGA,TwoPtAssists,LongMidRangeAssists,FTDefRebounds,StepOutOfBoundsTurnovers,FoulsDrawn,DefFTReboundPct,DefLongMidRangeReboundPct,Corner3Frequency,PenaltyAtRimFrequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PenaltyFtPoints,PtsPutbacks,Loose Ball Fouls,FTA,NonShootingFoulsDrawn,SecondChanceFg2Pct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,AtRimAssists,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyCorner3FGA,PenaltyCorner3Frequency,ShortMidRangeAssists,2pt And 1 Free Throw Trips,on,PenaltyAtRimFGM,PenaltyAtRimAccuracy,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFtPoints,HeaveAttempts,Fg3aBlocked,Corner3Assists,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,BlockedShortMidRange,BlockingFouls,Charge Fouls,DefensiveGoaltends,Defensive 3 Seconds Violations,3SecondViolations
1626192,1610612757,Pat Connaughton,Pat Connaughton,1626192,POR,108.0,2,3.0,2,3,2,3,1.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5,1.5,1.0,33.333333333333336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4722,0.4722,1.0,1.0,26.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626242,1610612757,Luis Montero,Luis Montero,1626242,POR,108.0,2,3.0,2,3,2,3,1.0,5,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,3,,,,1.0,1.0,3.0,,1.0,1.0,3.0,2,,1.0,,1.0,1.0,1.5,,1.5,1.5,,1.5,1.0,33.333333333333336,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,0.43635,0.43635,,1.0,25.8,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203148,1610612757,Brian Roberts,Brian Roberts,203148,POR,108.0,2,3.0,2,3,2,3,1.0,5,,1.0,,,,1.0,,1.0,,3,,,,,1.0,,,1.0,,,2,,,,,,,,,,,,1.0,33.333333333333336,1.0,,,,,,,1.0,,1.0,,0.4797,0.4797,,,25.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203943,1610612757,Noah Vonleh,Noah Vonleh,203943,POR,108.0,2,3.0,2,3,2,3,1.0,5,,,,,,,,,,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,1610612757,Chris Kaman,Chris Kaman,2549,POR,1944.0,32,-1.0,63,65,17,29,8.0,128,,,,,,,,,14.0,57,,,,,,4.0,,,,4.0,17,,,,,,0.3888888888888889,,0.5,0.3888888888888889,,0.5,,33.333333333333336,,,,,,,,,,0.2222222222222222,,0.39006111111111114,0.366325,,0.2857142857142857,,0.2698412698412698,,5.0,6.0,8.0,0.21739130434782608,0.17142857142857143,0.4444444444444444,3.0,4.0,5.0,4.0,9.0,7.0,18.0,2.0,4.0,10.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,4.0,1.0,1.0,6.0,1.0,2.0,3.0,10.0,1.0,1.0,0.7142857142857143,0.7142857142857143,0.3888888888888889,0.5,0.05555555555555555,0.25,0.8333333333333334,0.041666666666666664,0.08333333333333333,0.1,0.058823529411764705,0.14285714285714285,0.14285714285714285,0.2,0.1111111111111111,0.1,0.2222222222222222,0.75,1.0,0.3333333333333333,0.2777777777777778,0.5,0.4444444444444444,0.4444444444444444,1.0,11.605555555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201945,1610612757,Gerald Henderson,Gerald Henderson,201945,POR,1769.0,29,-2.0,59,59,15,23,6.0,118,,,,,,,,1.0,8.0,52,,,,,,,,,,,15,,,,,,0.5,,,0.5,,,0.125,15.15151515151515,,,,,,,,,,0.5,,0.49978124999999995,0.50885,,,23.8,0.2542372881355932,,4.0,6.0,7.0,0.2222222222222222,0.16666666666666666,0.2857142857142857,1.0,3.0,,3.0,4.0,4.0,7.0,,2.0,2.0,6.0,,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,2.0,,2.0,,1.0,,4.0,1.0,,0.25,0.25,0.5714285714285714,,,,,,0.08333333333333333,0.125,0.03225806451612903,,0.2,0.3333333333333333,0.1111111111111111,,0.375,0.3333333333333333,0.3333333333333333,,,0.5,0.75,0.75,0.3333333333333333,11.142857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.125,0.125,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202329,1610612757,Al-Farouq Aminu,Al-Farouq Aminu,202329,POR,246.0,4,,10,10,3,9,3.0,20,,1.0,,,,,,1.0,2.0,6,,,,,,,,1.0,,,3,,,,,,0.5,,,0.5,,,0.5,15.384615384615383,0.5,,,,,,,,,0.5,,0.5049250000000001,,,,25.5,0.3,,,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,18.8,,,,,2.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202334,1610612757,Ed Davis,Ed Davis,202334,POR,1239.0,21,-7.0,39,40,10,13,7.0,79,,,,,,,,,5.0,35,,,2.0,,,1.0,,,,1.0,10,,,,,,0.5,0.5,,0.5,0.5,0.25,,12.765957446808512,,,,,,,,,,0.75,,0.556225,0.6295,0.4,0.2,,0.2564102564102564,,3.0,8.0,12.0,0.16666666666666666,0.3076923076923077,,1.0,3.0,1.0,,,2.0,4.0,,1.0,2.0,2.0,1.0,,2.0,,4.0,,4.0,5.0,4.0,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,1.0,0.5,1.0,0.5,,0.25,0.3333333333333333,1.0,0.21052631578947367,0.625,,0.16666666666666666,,,0.2,0.6,,0.75,0.3333333333333333,0.5,,0.25,,,,,2.95,1.0,,2.0,2.0,,,1.0,,0.2857142857142857,,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.5,0.3333333333333333,0.2857142857142857,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.7403,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203081,1610612757,Damian Lillard,Damian Lillard,203081,POR,1182.0,20,-11.0,39,41,13,25,5.0,80,,3.0,,,,,,3.0,3.0,37,,,,,,,,3.0,,,13,,,,,,0.16666666666666666,,,0.21428571428571427,,,0.5,22.727272727272727,0.5,,,,,,,,,1.0,,0.4955416666666667,0.3413,,,26.066666666666666,0.3333333333333333,,,2.0,2.0,,0.09523809523809523,,1.0,3.0,,,,1.0,3.0,,1.0,,2.0,1.0,,4.0,,8.0,,,2.0,,,,,,3.0,2.0,,1.0,3.0,2.0,1.0,,2.0,,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,1.0,,0.25,,,,,,0.16666666666666666,,0.5,0.3333333333333333,0.5,,,,,,,2.433333333333333,1.0,,4.0,2.0,,,4.0,,,,1.0,,,,1.0,,,,,,2.0,,,,,0.5,,,,,,,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.25,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203459,1610612757,Allen Crabbe,Allen Crabbe,203459,POR,1333.0,22,-5.0,44,44,13,18,4.0,88,,1.0,,,,,,2.0,2.0,39,,,,,1.0,,,1.0,,,13,,,,,,0.2,,,0.2,,,0.4,10.204081632653061,0.2,,,,,,,,,0.6,,0.52488,0.4778,,,25.1,0.29545454545454547,,,2.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,0.2,1.0,1.0,1.0,0.2,0.2,,,,9.433333333333334,,1.0,,,2.0,,,0.4,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.5,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
