EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGA,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,TsPct,SecondChanceTsPct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,SecondChanceFG2M,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,ShortMidRangeAssists,BadPassTurnovers,DeadBallTurnovers,Loose Ball Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,PenaltyTsPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,PenaltyPointsPct,Steals,BadPassSteals,LongMidRangeFGM,ThreePtAssists,Arc3Assists,PenaltyTurnovers,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,AtRimAssists,StepOutOfBoundsTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,PtsUnassisted3s,BlockingFouls,LongMidRangePctBlocked,FTDefRebounds,LostBallSteals,DefFTReboundPct,SelfOReb,BadPassOutOfBoundsTurnovers,SelfORebPct,HeaveAttempts,Charge Fouls Drawn,Technical Free Throw Trips,Corner3Assists,Fg3aBlocked,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,on,PtsPutbacks,OffThreePtRebounds,BlockingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,PenaltyCorner3FGM,SecondChanceTurnovers,Charge Fouls,BlockedLongMidRange,OffCorner3ReboundPct,PenaltyCorner3Accuracy,FTOffRebounds,LostBallOutOfBoundsTurnovers,OffFTReboundPct,Travels,SecondChanceAtRimPctAssisted,Corner3PctBlocked
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,541.0,9,8,19,16,8.0,9.0,4,35,2.0,1.0,1.0,2.0,3.0,3.0,15,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,7.0,0.375,0.5,21.73913043478261,1.0,0.2,0.14285714285714285,0.3333333333333333,0.25,0.14285714285714285,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.6213,0.6151,0.6151,0.5,0.5,0.6666666666666666,1.85,0.42105263157894735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1626246,1610612759,Boban Marjanovic,Boban Marjanovic,1626246,SAS,1555.0,26,8,48,46,15.0,26.0,6,94,3.0,1.0,1.0,10.0,4.0,16.0,45,1.0,2.0,4.0,2.0,3.0,3.0,1.0,6.0,4.0,2.0,3.0,5.0,4.0,9.0,1.0,,2.0,2.0,4.0,2.0,,4.0,1.0,15.0,0.6666666666666666,1.0,25.925925925925924,0.5,0.25,0.2,0.2222222222222222,0.23809523809523808,0.19047619047619047,0.4,0.3333333333333333,0.3333333333333333,0.3,1.0,0.5,0.3,0.5068900000000001,0.6093,0.6473,0.09090909090909091,0.09090909090909091,0.25,7.220000000000001,0.3125,3.0,1.0,1.0,3.0,6.0,1.0,6.0,1.0,1.0,2.0,4.0,10.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.6,1.0,0.5,0.6,1.0,0.5,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.2,0.25,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6,0.5,0.5,1.0,0.1,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201980,1610612759,Danny Green,Danny Green,201980,SAS,374.0,6,8,13,13,8.0,,2,26,,,,1.0,,,4,,,,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,6.666666666666667,,,,,,,,,,,,,,0.3988,,0.3988,,,,19.1,0.6153846153846154,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,484.0,8,10,16,14,5.0,6.0,2,30,,,,3.0,,4.0,11,,,,1.0,1.0,2.0,,5.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,5.0,0.6666666666666666,,22.22222222222222,1.0,0.125,,,0.1,,,,,,,,,0.39033333333333337,,0.4013,,,,13.066666666666668,0.3125,,,,,1.0,2.0,2.0,,1.0,,2.0,,4.0,1.0,,,,,,,,,,2.0,,,,,0.6666666666666666,,1.0,0.6666666666666666,,1.0,1.0,,,,0.3333333333333333,,,,,,0.3333333333333333,,,,0.6666666666666666,,,0.5,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,1610612759,Kevin Martin,Kevin Martin,2755,SAS,2956.0,49,10,93,89,30.0,43.0,9,182,6.0,,1.0,12.0,2.0,22.0,84,1.0,,3.0,1.0,2.0,3.0,,7.0,,2.0,2.0,4.0,,4.0,3.0,2.0,6.0,,5.0,2.0,,3.0,2.0,29.0,0.5238095238095238,0.75,26.470588235294116,0.5,0.06666666666666667,,0.13333333333333333,0.08888888888888889,,,0.1111111111111111,0.2,0.3,,0.5,0.7,0.5369050000000001,0.5089,0.6752499999999999,0.09523809523809523,0.15384615384615385,0.13636363636363635,8.066666666666666,0.3225806451612903,1.0,,,1.0,2.0,4.0,4.0,,,1.0,4.0,6.0,2.0,1.0,1.0,3.0,,,,,,,,4.0,1.0,,0.75,0.75,0.3333333333333333,,,0.5,0.75,0.75,0.6666666666666666,,,0.08333333333333333,,0.1,,0.16666666666666666,0.2,,0.1,0.5,0.5,1.0,0.2,,,0.18181818181818182,1.0,1.0,2.0,1.0,1.0,5.0,0.5,0.5,2.0,2.0,1.0,1.0,2.0,6.0,1.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,12.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,0.4,0.08333333333333333,0.16666666666666666,1.0,0.1,1.0,1.0,1.0,0.3,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,1.0,0.5,1.0,0.3333333333333333,24.612499999999997,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889,1610612759,Andre Miller,Andre Miller,1889,SAS,1043.0,17,1,33,32,13.0,16.0,4,65,1.0,,,2.0,2.0,7.0,30,,,,,1.0,2.0,1.0,5.0,,1.0,1.0,2.0,,2.0,,,,1.0,1.0,1.0,,2.0,,12.0,0.7,,13.513513513513514,,0.125,,0.16666666666666666,0.14285714285714285,,,1.0,,0.25,,,0.75,0.48889999999999995,,,,,,8.35,0.3939393939393939,1.0,,,,,1.0,1.0,,,2.0,2.0,2.0,,,,,,1.0,,,,,,2.0,,1.0,1.0,1.0,0.5,,,0.625,,,0.5,,,,,0.25,,1.0,1.0,1.0,,,,,0.25,,,0.2857142857142857,,,,1.0,1.0,,,,,,,,1.0,2.0,,1.0,1.0,2.0,,,,1.0,,2.0,1.0,1.0,,,,,,0.5,,,0.5,0.5,0.5,,,,,,,0.5,0.5,0.5,,,,,1.0,,0.5,31.85,3.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203937,1610612759,Kyle Anderson,Kyle Anderson,203937,SAS,2159.0,36,-4,66,63,17.0,37.0,6,129,,,,9.0,2.0,6.0,69,1.0,,,4.0,1.0,1.0,1.0,2.0,,3.0,1.0,6.0,,6.0,,,,2.0,5.0,1.0,,2.0,,16.0,0.2727272727272727,,15.277777777777779,,0.05555555555555555,,0.3,0.14285714285714285,,,0.2,,,,,0.1,0.36063999999999996,0.3384,0.3373,,,,14.11111111111111,0.25757575757575757,,,,2.0,4.0,5.0,2.0,,1.0,2.0,4.0,2.0,2.0,,,,,1.0,,,,,,2.0,,,0.5,0.5,0.2222222222222222,,0.25,0.2,,0.25,0.4,,,,,0.42857142857142855,,,,,0.4,0.5,0.5,0.5,0.5,,,0.6666666666666666,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.1,,,,0.1,,,,,,,,,,,,,,24.7,,,,2.0,1.0,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2561,1610612759,David West,David West,2561,SAS,1624.0,27,-3,52,51,23.0,19.0,3,103,3.0,1.0,1.0,6.0,,6.0,45,1.0,,,3.0,2.0,2.0,,4.0,1.0,2.0,5.0,7.0,1.0,8.0,1.0,,2.0,1.0,2.0,,,,,22.0,0.5,,14.545454545454545,0.5,0.3333333333333333,0.058823529411764705,0.25,0.30434782608695654,0.047619047619047616,0.25,0.25,0.25,0.5,1.0,0.3333333333333333,0.5,0.5549666666666666,0.5551,0.5869,,,,8.183333333333334,0.4423076923076923,1.0,,1.0,1.0,1.0,2.0,3.0,,3.0,,6.0,4.0,2.0,,1.0,1.0,1.0,,,,,,,6.0,,,0.6666666666666666,0.6666666666666666,0.5,,1.0,0.5,,1.0,1.0,,,0.42857142857142855,0.25,0.25,,0.3333333333333333,0.3333333333333333,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.3333333333333333,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,274.0,5,-5,10,10,2.0,6.0,2,20,,,,,,,8,,,,,,,,,,,,,,,1.0,,1.0,,1.0,2.0,,,,2.0,,,16.666666666666668,1.0,,,,,,,,,,,,1.0,,,,,,,,0.2,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,,43.6,,,,,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201988,1610612759,Patty Mills,Patty Mills,201988,SAS,737.0,12,6,22,21,12.0,6.0,1,43,1.0,,,1.0,1.0,12.0,19,,,,,2.0,2.0,1.0,4.0,,,1.0,1.0,,1.0,,,,,,2.0,,2.0,,12.0,1.2,,21.73913043478261,,0.125,,,0.08333333333333333,,,,,0.25,,,1.0,0.549075,,0.4503,,,,0.7,0.5454545454545454,1.0,,,,,,1.0,,,1.0,4.0,2.0,,,,,,1.0,,,,,,4.0,,1.0,1.0,1.0,1.0,,,1.375,,1.5,1.0,,,,0.5,,,1.0,1.0,1.0,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,3.0,3.0,1.0,1.0,3.0,3.0,,,1.0,1.0,,3.0,3.0,,1.0,,,,,1.0,,1.0,1.0,0.75,,,,,,,,0.75,1.0,1.0,,,,,1.0,1.0,1.0,24.599999999999998,9.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
